"ple0044_h","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1988","no migration background","Male","2017","0.61826141785378","0.601820136448066","0.634702699259495","2"
"No","1988","no migration background","Female","2779","0.79017349685245","0.776901835816554","0.803445157888345","2"
"No","1988","direct migration background","Male","902","0.651584545339302","0.626608216818846","0.676560873859758","2"
"No","1988","direct migration background","Female","956","0.772359559265919","0.749096047737072","0.795623070794766","2"
"No","1988","indirect migration background","Male","69","0.688606864930034","0.599179657393204","0.778034072466864","2"
"No","1988","indirect migration background","Female","83","0.646228589133349","0.558070266227428","0.734386912039269","2"
"Yes","1988","no migration background","Male","1337","0.38173858214622","0.365297300740505","0.398179863551934","1"
"Yes","1988","no migration background","Female","837","0.20982650314755","0.196554842111655","0.223098164183446","1"
"Yes","1988","direct migration background","Male","496","0.348415454660698","0.323439126140242","0.373391783181154","1"
"Yes","1988","direct migration background","Female","292","0.227640440734081","0.204376929205234","0.250903952262928","1"
"Yes","1988","indirect migration background","Male","34","0.311393135069966","0.221965927533136","0.400820342606796","1"
"Yes","1988","indirect migration background","Female","30","0.353771410866651","0.265613087960731","0.441929733772572","1"
"No","1989","no migration background","Male","2055","0.645184818169036","0.628798340681698","0.661571295656375","2"
"No","1989","no migration background","Female","2690","0.789244437591185","0.775753940147024","0.802734935035346","2"
"No","1989","direct migration background","Male","873","0.679327728027253","0.654365665895942","0.704289790158564","2"
"No","1989","direct migration background","Female","979","0.800391276789189","0.778134956142952","0.822647597435425","2"
"No","1989","indirect migration background","Male","84","0.761739113464648","0.685831574596047","0.837646652333248","2"
"No","1989","indirect migration background","Female","104","0.742719832220813","0.669252494505612","0.816187169936013","2"
"Yes","1989","no migration background","Male","1220","0.354815181830964","0.338428704343625","0.371201659318302","1"
"Yes","1989","no migration background","Female","821","0.210755562408815","0.197265064964654","0.224246059852976","1"
"Yes","1989","direct migration background","Male","470","0.320672271972747","0.295710209841436","0.345634334104058","1"
"Yes","1989","direct migration background","Female","260","0.199608723210811","0.177352402564575","0.221865043857048","1"
"Yes","1989","indirect migration background","Male","37","0.238260886535352","0.162353347666752","0.314168425403953","1"
"Yes","1989","indirect migration background","Female","32","0.257280167779187","0.183812830063987","0.330747505494388","1"
"No","1990","no migration background","Male","","","","","2"
"No","1990","no migration background","Female","","","","","2"
"No","1990","direct migration background","Male","","","","","2"
"No","1990","direct migration background","Female","","","","","2"
"No","1990","indirect migration background","Male","","","","","2"
"No","1990","indirect migration background","Female","","","","","2"
"Yes","1990","no migration background","Male","","","","","1"
"Yes","1990","no migration background","Female","","","","","1"
"Yes","1990","direct migration background","Male","","","","","1"
"Yes","1990","direct migration background","Female","","","","","1"
"Yes","1990","indirect migration background","Male","","","","","1"
"Yes","1990","indirect migration background","Female","","","","","1"
"No","1991","no migration background","Male","3974","0.73721462805301","0.725117001398162","0.749312254707857","2"
"No","1991","no migration background","Female","4782","0.841342352877188","0.831732845271239","0.850951860483137","2"
"No","1991","direct migration background","Male","933","0.678480630817461","0.653730509054291","0.703230752580631","2"
"No","1991","direct migration background","Female","982","0.809677198222206","0.787993338369225","0.831361058075187","2"
"No","1991","indirect migration background","Male","116","0.674470735664826","0.604240098316609","0.744701373013043","2"
"No","1991","indirect migration background","Female","122","0.714966810744905","0.648273478914494","0.781660142575316","2"
"Yes","1991","no migration background","Male","1111","0.26278537194699","0.250687745292143","0.274882998601838","1"
"Yes","1991","no migration background","Female","771","0.158657647122812","0.149048139516863","0.168267154728761","1"
"Yes","1991","direct migration background","Male","435","0.321519369182539","0.296769247419369","0.346269490945709","1"
"Yes","1991","direct migration background","Female","277","0.190322801777794","0.168638941924813","0.212006661630775","1"
"Yes","1991","indirect migration background","Male","55","0.325529264335174","0.255298626986957","0.395759901683391","1"
"Yes","1991","indirect migration background","Female","54","0.285033189255095","0.218339857424684","0.351726521085506","1"
"No","1992","no migration background","Male","2859","0.62164911290799","0.608088018282591","0.635210207533389","2"
"No","1992","no migration background","Female","3885","0.769037655374756","0.757803136899319","0.780272173850193","2"
"No","1992","direct migration background","Male","889","0.664652078031432","0.63910588633777","0.690198269725093","2"
"No","1992","direct migration background","Female","953","0.792934555536728","0.770103400005137","0.81576571106832","2"
"No","1992","indirect migration background","Male","151","0.728072393895674","0.66731090423383","0.788833883557519","2"
"No","1992","indirect migration background","Female","147","0.774603050411271","0.716106039647408","0.833100061175133","2"
"Yes","1992","no migration background","Male","2054","0.37835088709201","0.364789792466611","0.391911981717409","1"
"Yes","1992","direct migration background","Male","423","0.335347921968568","0.309801730274907","0.36089411366223","1"
"Yes","1992","direct migration background","Female","257","0.207065444463272","0.18423428893168","0.229896599994864","1"
"Yes","1992","indirect migration background","Male","55","0.271927606104325","0.211166116442481","0.33268909576617","1"
"Yes","1992","no migration background","Female","1521","0.230962344625244","0.219727826149807","0.242196863100681","1"
"Yes","1992","indirect migration background","Female","49","0.225396949588729","0.166899938824867","0.283893960352592","1"
"No","1993","no migration background","Male","","","","","2"
"No","1993","no migration background","Female","","","","","2"
"No","1993","direct migration background","Male","","","","","2"
"No","1993","direct migration background","Female","","","","","2"
"No","1993","indirect migration background","Male","","","","","2"
"No","1993","indirect migration background","Female","","","","","2"
"Yes","1993","no migration background","Male","","","","","1"
"Yes","1993","no migration background","Female","","","","","1"
"Yes","1993","direct migration background","Male","","","","","1"
"Yes","1993","direct migration background","Female","","","","","1"
"Yes","1993","indirect migration background","Male","","","","","1"
"Yes","1993","indirect migration background","Female","","","","","1"
"No","1994","no migration background","Male","2904","0.64341796490639","0.629787769821004","0.657048159991776","2"
"No","1994","no migration background","Female","4011","0.803603630366807","0.79286455784148","0.814342702892134","2"
"No","1994","direct migration background","Male","796","0.670586984278768","0.643994714664888","0.697179253892648","2"
"No","1994","direct migration background","Female","911","0.821119000640687","0.798861756679182","0.843376244602191","2"
"No","1994","indirect migration background","Male","169","0.685376708330507","0.627465887550349","0.743287529110665","2"
"No","1994","indirect migration background","Female","189","0.797232237702239","0.746887170022544","0.847577305381934","2"
"Yes","1994","no migration background","Male","1840","0.35658203509361","0.342951840008224","0.370212230178996","1"
"Yes","1994","no migration background","Female","1246","0.196396369633193","0.185657297107866","0.20713544215852","1"
"Yes","1994","direct migration background","Male","404","0.329413015721232","0.302820746107352","0.356005285335112","1"
"Yes","1994","direct migration background","Female","228","0.178880999359313","0.156623755397809","0.201138243320818","1"
"Yes","1994","indirect migration background","Male","78","0.314623291669493","0.256712470889335","0.372534112449651","1"
"Yes","1994","indirect migration background","Female","56","0.202767762297761","0.152422694618066","0.253112829977456","1"
"No","1995","no migration background","Male","2850","0.649270091270767","0.635539532841285","0.663000649700248","2"
"No","1995","no migration background","Female","3875","0.800209721303705","0.789254290240202","0.811165152367207","2"
"No","1995","direct migration background","Male","935","0.703176444106301","0.678886881109484","0.727466007103118","2"
"No","1995","direct migration background","Female","1052","0.788237900276701","0.766403577681615","0.810072222871788","2"
"No","1995","indirect migration background","Male","163","0.606967505312002","0.546179316994326","0.667755693629679","2"
"No","1995","indirect migration background","Female","183","0.729590064145531","0.674530994999913","0.78464913329115","2"
"Yes","1995","no migration background","Male","1790","0.350729908729233","0.336999350299752","0.364460467158715","1"
"Yes","1995","no migration background","Female","1242","0.199790278696295","0.188834847632793","0.210745709759798","1"
"Yes","1995","direct migration background","Male","424","0.296823555893699","0.272533992896882","0.321113118890515","1"
"Yes","1995","direct migration background","Female","293","0.211762099723298","0.189927777128212","0.233596422318385","1"
"Yes","1995","indirect migration background","Male","85","0.393032494687998","0.332244306370321","0.453820683005674","1"
"Yes","1995","indirect migration background","Female","67","0.270409935854469","0.21535086670885","0.325469005000087","1"
"No","1996","no migration background","Male","2881","0.655653642280545","0.64185037332617","0.669456911234919","2"
"No","1996","no migration background","Female","3828","0.797454632752655","0.786353622510433","0.808555642994876","2"
"No","1996","direct migration background","Male","889","0.694866296442583","0.669571592362749","0.720161000522417","2"
"No","1996","direct migration background","Female","979","0.803702046406361","0.781621086467075","0.825783006345647","2"
"No","1996","indirect migration background","Male","175","0.701980454690126","0.645731284921357","0.758229624458894","2"
"No","1996","indirect migration background","Female","210","0.817404547862898","0.771151090918947","0.86365800480685","2"
"Yes","1996","no migration background","Male","1671","0.344346357719455","0.330543088765081","0.35814962667383","1"
"Yes","1996","no migration background","Female","1207","0.202545367247345","0.191444357005124","0.213646377489567","1"
"Yes","1996","direct migration background","Male","384","0.305133703557417","0.279838999477583","0.330428407637251","1"
"Yes","1996","direct migration background","Female","264","0.196297953593639","0.174216993654353","0.218378913532925","1"
"Yes","1996","indirect migration background","Male","79","0.298019545309874","0.241770375541106","0.354268715078643","1"
"Yes","1996","indirect migration background","Female","58","0.182595452137102","0.13634199519315","0.228848909081053","1"
"No","1997","no migration background","Male","2843","0.660181026837275","0.646356085269328","0.674005968405222","2"
"No","1997","no migration background","Female","3744","0.799780032564261","0.788627846494522","0.810932218634001","2"
"No","1997","direct migration background","Male","830","0.683802066145225","0.657645335154847","0.709958797135603","2"
"No","1997","direct migration background","Female","943","0.821217496358791","0.799392014335905","0.843042978381676","2"
"No","1997","indirect migration background","Male","192","0.657664689980688","0.602087423031511","0.713241956929865","2"
"No","1997","indirect migration background","Female","215","0.806016242726794","0.758851139501167","0.85318134595242","2"
"Yes","1997","no migration background","Male","1666","0.339818973162725","0.325994031594778","0.353643914730672","1"
"Yes","1997","no migration background","Female","1202","0.200219967435738","0.189067781365999","0.211372153505478","1"
"Yes","1997","direct migration background","Male","384","0.316197933854775","0.290041202864398","0.342354664845153","1"
"Yes","1997","direct migration background","Female","241","0.178782503641209","0.156957021618324","0.200607985664095","1"
"Yes","1997","indirect migration background","Male","88","0.342335310019312","0.286758043070135","0.397912576968489","1"
"Yes","1997","indirect migration background","Female","55","0.193983757273206","0.14681865404758","0.241148860498833","1"
"No","1998","no migration background","Male","3242","0.652589554158074","0.639624247594448","0.6655548607217","2"
"No","1998","no migration background","Female","4273","0.79624377541975","0.785744757993564","0.806742792845935","2"
"No","1998","direct migration background","Male","791","0.675379676272602","0.648387927625391","0.702371424919814","2"
"No","1998","direct migration background","Female","920","0.813199318325226","0.790663371564398","0.835735265086054","2"
"No","1998","indirect migration background","Male","200","0.70495064123261","0.652460736494171","0.75744054597105","2"
"No","1998","indirect migration background","Female","213","0.832200817089555","0.787954024006052","0.876447610173058","2"
"Yes","1998","no migration background","Male","1939","0.347410445841926","0.3344451392783","0.360375752405551","1"
"Yes","1998","no migration background","Female","1381","0.20375622458025","0.193257207154065","0.214255242006436","1"
"Yes","1998","direct migration background","Male","365","0.324620323727398","0.297628575080186","0.351612072374609","1"
"Yes","1998","direct migration background","Female","229","0.186800681674774","0.164264734913946","0.209336628435602","1"
"Yes","1998","indirect migration background","Male","90","0.29504935876739","0.24255945402895","0.347539263505829","1"
"Yes","1998","indirect migration background","Female","61","0.167799182910445","0.123552389826942","0.212045975993948","1"
"No","1999","no migration background","Male","3150","0.649247824167523","0.636045665999617","0.662449982335428","2"
"No","1999","no migration background","Female","4023","0.775357586285368","0.764299704435404","0.786415468135332","2"
"No","1999","indirect migration background","Male","187","0.637142919452525","0.582274390766685","0.692011448138365","2"
"No","1999","direct migration background","Male","714","0.662820443358049","0.634293816177656","0.691347070538442","2"
"No","1999","direct migration background","Female","833","0.795630508145148","0.771389805449086","0.819871210841211","2"
"No","1999","indirect migration background","Female","204","0.761641235514021","0.712087122353499","0.811195348674542","2"
"Yes","1999","no migration background","Male","1869","0.350752175832477","0.337550017664572","0.363954334000383","1"
"Yes","1999","direct migration background","Male","341","0.337179556641951","0.308652929461558","0.365706183822344","1"
"Yes","1999","no migration background","Female","1449","0.224642413714632","0.213584531864668","0.235700295564596","1"
"Yes","1999","direct migration background","Female","230","0.204369491854852","0.180128789158789","0.228610194550914","1"
"Yes","1999","indirect migration background","Male","108","0.362857080547475","0.307988551861635","0.417725609233315","1"
"Yes","1999","indirect migration background","Female","80","0.238358764485979","0.188804651325458","0.287912877646501","1"
"No","2000","no migration background","Male","5969","0.656576775104687","0.646892575813606","0.666260974395769","2"
"No","2000","no migration background","Female","7593","0.771544809264904","0.763381599483866","0.779708019045943","2"
"No","2000","indirect migration background","Male","253","0.678098728476808","0.632024576097422","0.724172880856194","2"
"No","2000","direct migration background","Male","1069","0.670438494285927","0.64716501555199","0.693711973019864","2"
"No","2000","direct migration background","Female","1269","0.77013608935358","0.749840872898238","0.790431305808922","2"
"No","2000","indirect migration background","Female","309","0.738127929674976","0.695467186221611","0.780788673128342","2"
"Yes","2000","no migration background","Male","3267","0.343423224895313","0.333739025604231","0.353107424186394","1"
"Yes","2000","direct migration background","Male","498","0.329561505714073","0.306288026980136","0.35283498444801","1"
"Yes","2000","no migration background","Female","2568","0.228455190735096","0.220291980954057","0.236618400516134","1"
"Yes","2000","direct migration background","Female","382","0.22986391064642","0.209568694191078","0.250159127101762","1"
"Yes","2000","indirect migration background","Male","142","0.321901271523192","0.275827119143806","0.367975423902578","1"
"Yes","2000","indirect migration background","Female","99","0.261872070325024","0.219211326871658","0.304532813778389","1"
"No","2001","no migration background","Male","5513","0.654690211348178","0.644583498904398","0.664796923791958","2"
"No","2001","no migration background","Female","6918","0.765053261894867","0.756439878483944","0.773666645305789","2"
"No","2001","indirect migration background","Male","240","0.65010072985309","0.601634586092625","0.698566873613555","2"
"No","2001","direct migration background","Male","945","0.670131301297188","0.645396759841652","0.694865842752724","2"
"No","2001","direct migration background","Female","1098","0.754034053739489","0.731859909405455","0.776208198073523","2"
"No","2001","indirect migration background","Female","287","0.760910026631022","0.717911900792531","0.803908152469513","2"
"Yes","2001","no migration background","Male","2989","0.345309788651822","0.335203076208042","0.355416501095602","1"
"Yes","2001","direct migration background","Male","443","0.329868698702812","0.305134157247276","0.354603240158348","1"
"Yes","2001","no migration background","Female","2389","0.234946738105133","0.226333354694211","0.243560121516056","1"
"Yes","2001","direct migration background","Female","351","0.245965946260511","0.223791801926477","0.268140090594545","1"
"Yes","2001","indirect migration background","Male","132","0.34989927014691","0.301433126386445","0.398365413907375","1"
"Yes","2001","indirect migration background","Female","91","0.239089973368978","0.196091847530487","0.282088099207469","1"
"No","2002","no migration background","Male","5744","0.657027868432681","0.647287469050181","0.666768267815181","2"
"No","2002","indirect migration background","Male","216","0.607470339532625","0.556602272110293","0.658338406954957","2"
"No","2002","no migration background","Female","7228","0.769422684338871","0.761082605501181","0.777762763176562","2"
"No","2002","direct migration background","Male","905","0.702975822204212","0.678259615230407","0.727692029178016","2"
"No","2002","direct migration background","Female","1054","0.752881545776206","0.730319397319423","0.775443694232989","2"
"No","2002","indirect migration background","Female","302","0.788637135908137","0.748526503497752","0.828747768318522","2"
"Yes","2002","no migration background","Male","3380","0.342972131567319","0.333231732184819","0.352712530949819","1"
"Yes","2002","direct migration background","Male","408","0.297024177795788","0.272307970821984","0.321740384769593","1"
"Yes","2002","direct migration background","Female","350","0.247118454223794","0.224556305767011","0.269680602680577","1"
"Yes","2002","indirect migration background","Male","138","0.392529660467375","0.341661593045043","0.443397727889707","1"
"Yes","2002","no migration background","Female","2570","0.230577315661129","0.222237236823438","0.238917394498819","1"
"Yes","2002","indirect migration background","Female","96","0.211362864091863","0.171252231681478","0.251473496502248","1"
"No","2003","no migration background","Male","5680","0.66521382538383","0.655360113009136","0.675067537758525","2"
"No","2003","no migration background","Female","7084","0.779045817765879","0.770702881963609","0.787388753568149","2"
"No","2003","direct migration background","Male","817","0.661135577687282","0.634694611796395","0.687576543578169","2"
"No","2003","indirect migration background","Male","211","0.590908755196944","0.53997837917859","0.641839131215299","2"
"No","2003","direct migration background","Female","977","0.746865302510119","0.723400188192882","0.770330416827355","2"
"No","2003","indirect migration background","Female","303","0.8089233041772","0.770298695725765","0.847547912628636","2"
"Yes","2003","no migration background","Male","3131","0.33478617461617","0.324932462241475","0.344639886990864","1"
"Yes","2003","direct migration background","Male","414","0.338864422312718","0.312423456421831","0.365305388203605","1"
"Yes","2003","direct migration background","Female","342","0.253134697489881","0.229669583172645","0.276599811807118","1"
"Yes","2003","no migration background","Female","2416","0.220954182234121","0.212611246431851","0.229297118036391","1"
"Yes","2003","indirect migration background","Male","147","0.409091244803056","0.358160868784701","0.46002162082141","1"
"Yes","2003","indirect migration background","Female","95","0.1910766958228","0.152452087371364","0.229701304274235","1"
"No","2004","no migration background","Male","5531","0.669453014254334","0.659489517807221","0.679416510701446","2"
"No","2004","no migration background","Female","6822","0.765261028270708","0.756643801542161","0.773878254999254","2"
"No","2004","direct migration background","Male","817","0.690530540372854","0.664298733092163","0.716762347653545","2"
"No","2004","indirect migration background","Male","241","0.703074982221156","0.657196417691415","0.748953546750897","2"
"No","2004","direct migration background","Female","967","0.758479296405502","0.735095885277084","0.781862707533919","2"
"No","2004","indirect migration background","Female","302","0.749371901931043","0.707216944417926","0.79152685944416","2"
"Yes","2004","no migration background","Male","3032","0.330546985745666","0.320583489298554","0.340510482192779","1"
"Yes","2004","direct migration background","Male","376","0.309469459627146","0.283237652346455","0.335701266907837","1"
"Yes","2004","direct migration background","Female","320","0.241520703594498","0.218137292466081","0.264904114722916","1"
"Yes","2004","no migration background","Female","2471","0.234738971729292","0.226121745000746","0.243356198457839","1"
"Yes","2004","indirect migration background","Male","140","0.296925017778844","0.251046453249103","0.342803582308585","1"
"Yes","2004","indirect migration background","Female","104","0.250628098068957","0.20847314055584","0.292783055582074","1"
"No","2005","no migration background","Male","5376","0.665994709563217","0.655799460741697","0.676189958384736","2"
"No","2005","no migration background","Female","6552","0.763059364151486","0.754247229316393","0.771871498986579","2"
"No","2005","direct migration background","Male","754","0.69596594259232","0.668707907799601","0.723223977385039","2"
"No","2005","indirect migration background","Male","268","0.699971874477385","0.654778910800747","0.745164838154023","2"
"No","2005","direct migration background","Female","911","0.727467288282433","0.702512670870582","0.752421905694284","2"
"No","2005","indirect migration background","Female","312","0.769095730159844","0.728600151630422","0.809591308689265","2"
"Yes","2005","no migration background","Male","2845","0.334005290436783","0.323810041615263","0.344200539258303","1"
"Yes","2005","direct migration background","Male","340","0.30403405740768","0.276776022614961","0.331292092200399","1"
"Yes","2005","direct migration background","Female","312","0.272532711717567","0.247578094305716","0.297487329129417","1"
"Yes","2005","no migration background","Female","2392","0.236940635848514","0.228128501013421","0.245752770683608","1"
"Yes","2005","indirect migration background","Male","127","0.300028125522615","0.254835161845977","0.345221089199253","1"
"Yes","2005","indirect migration background","Female","104","0.230904269840156","0.190408691310735","0.271399848369578","1"
"No","2006","no migration background","Male","5799","0.665678786652506","0.655824563338172","0.67553300996684","2"
"No","2006","no migration background","Female","7000","0.75660409725158","0.748021613471751","0.765186581031408","2"
"No","2006","direct migration background","Male","741","0.690130506222815","0.662537920999475","0.717723091446154","2"
"No","2006","direct migration background","Female","915","0.732584166913343","0.708047509047219","0.757120824779466","2"
"No","2006","indirect migration background","Male","258","0.724877759051912","0.68032755718978","0.769427960914044","2"
"No","2006","indirect migration background","Female","305","0.750984243721619","0.709328322160476","0.792640165282763","2"
"Yes","2006","no migration background","Male","3005","0.334321213347494","0.32446699003316","0.344175436661828","1"
"Yes","2006","no migration background","Female","2604","0.24339590274842","0.234813418968592","0.251978386528249","1"
"Yes","2006","direct migration background","Male","338","0.309869493777185","0.282276908553846","0.337462079000525","1"
"Yes","2006","direct migration background","Female","335","0.267415833086657","0.242879175220534","0.291952490952781","1"
"Yes","2006","indirect migration background","Male","128","0.275122240948088","0.230572039085956","0.31967244281022","1"
"Yes","2006","indirect migration background","Female","109","0.249015756278381","0.207359834717237","0.290671677839524","1"
"No","2007","no migration background","Male","5488","0.668555840453758","0.658396914525811","0.678714766381706","2"
"No","2007","no migration background","Female","6595","0.766022761605145","0.757266035865384","0.774779487344906","2"
"No","2007","direct migration background","Male","638","0.66021957277109","0.63018027458986","0.69025887095232","2"
"No","2007","direct migration background","Female","824","0.735932924930265","0.710057535098562","0.761808314761968","2"
"No","2007","indirect migration background","Male","221","0.627467960364999","0.577455472470282","0.677480448259717","2"
"No","2007","indirect migration background","Female","306","0.769983160447965","0.729097471902899","0.810868848993031","2"
"Yes","2007","no migration background","Male","2760","0.331444159546242","0.321285233618294","0.341603085474189","1"
"Yes","2007","no migration background","Female","2384","0.233977238394855","0.225220512655094","0.242733964134616","1"
"Yes","2007","direct migration background","Male","317","0.33978042722891","0.30974112904768","0.36981972541014","1"
"Yes","2007","direct migration background","Female","291","0.264067075069735","0.238191685238032","0.289942464901438","1"
"Yes","2007","indirect migration background","Male","138","0.372532039635001","0.322519551740283","0.422544527529718","1"
"Yes","2007","indirect migration background","Female","101","0.230016839552035","0.189131151006969","0.270902528097101","1"
"No","2008","no migration background","Male","5362","0.685563177981046","0.675286498657745","0.695839857304348","2"
"No","2008","no migration background","Female","6373","0.768474566680686","0.75955403187923","0.777395101482142","2"
"No","2008","direct migration background","Male","559","0.633710557894222","0.601473001205034","0.665948114583409","2"
"No","2008","direct migration background","Female","748","0.761179156177138","0.734766589273156","0.78759172308112","2"
"No","2008","indirect migration background","Male","230","0.623226784181927","0.573170350298944","0.673283218064909","2"
"No","2008","indirect migration background","Female","293","0.744220612217173","0.70103006799619","0.787411156438155","2"
"Yes","2008","no migration background","Male","2479","0.314436822018953","0.304160142695652","0.324713501342255","1"
"Yes","2008","no migration background","Female","2216","0.231525433319314","0.222604898517858","0.24044596812077","1"
"Yes","2008","direct migration background","Male","299","0.366289442105778","0.334051885416591","0.398526998794966","1"
"Yes","2008","direct migration background","Female","253","0.238820843822862","0.21240827691888","0.265233410726844","1"
"Yes","2008","indirect migration background","Male","130","0.376773215818073","0.326716781935091","0.426829649701056","1"
"Yes","2008","indirect migration background","Female","99","0.255779387782827","0.212588843561845","0.29896993200381","1"
"No","2009","no migration background","Male","5119","0.696568307411041","0.686081483343323","0.70705513147876","2"
"No","2009","no migration background","Female","6055","0.774190403768837","0.765048213840227","0.783332593697447","2"
"No","2009","direct migration background","Male","509","0.684834012090416","0.651428662859848","0.718239361320983","2"
"No","2009","direct migration background","Female","641","0.700359867021239","0.670161561483027","0.730558172559451","2"
"No","2009","indirect migration background","Male","221","0.683500844339997","0.633694863969232","0.733306824710762","2"
"No","2009","indirect migration background","Female","258","0.721423992478418","0.674985969355179","0.767862015601657","2"
"Yes","2009","no migration background","Male","2264","0.303431692588959","0.29294486852124","0.313918516656677","1"
"Yes","2009","no migration background","Female","1980","0.225809596231163","0.216667406302553","0.234951786159773","1"
"Yes","2009","direct migration background","Male","234","0.315165987909584","0.281760638679017","0.348571337140152","1"
"Yes","2009","direct migration background","Female","243","0.299640132978761","0.269441827440549","0.329838438516973","1"
"Yes","2009","indirect migration background","Male","114","0.316499155660003","0.266693175289238","0.366305136030768","1"
"Yes","2009","indirect migration background","Female","100","0.278576007521582","0.232137984398343","0.325014030644821","1"
"No","2010","no migration background","Male","6107","0.694278372269012","0.684763301568508","0.703793442969516","2"
"No","2010","no migration background","Female","7918","0.768769032902205","0.760808534895099","0.776729530909311","2"
"No","2010","direct migration background","Male","807","0.663704252274882","0.637812537937634","0.689595966612129","2"
"No","2010","direct migration background","Female","1210","0.745819063249335","0.724397663019224","0.767240463479446","2"
"No","2010","indirect migration background","Male","334","0.666055066936558","0.625043276240553","0.707066857632563","2"
"No","2010","indirect migration background","Female","465","0.727350114353271","0.692465386434424","0.762234842272118","2"
"Yes","2010","no migration background","Male","2899","0.305721627730988","0.296206557030484","0.315236698431492","1"
"Yes","2010","no migration background","Female","2858","0.231230967097795","0.223270469090689","0.239191465104901","1"
"Yes","2010","direct migration background","Male","472","0.336295747725119","0.310404033387871","0.362187462062366","1"
"Yes","2010","direct migration background","Female","377","0.254180936750665","0.232759536520554","0.275602336980776","1"
"Yes","2010","indirect migration background","Male","174","0.333944933063442","0.292933142367437","0.374956723759447","1"
"Yes","2010","indirect migration background","Female","161","0.272649885646729","0.237765157727882","0.307534613565576","1"
"No","2011","no migration background","Male","5675","0.778736775911051","0.769373569968194","0.788099981853908","2"
"No","2011","no migration background","Female","7743","0.843393359482788","0.836201989575322","0.850584729390254","2"
"No","2011","direct migration background","Male","785","0.733958158090323","0.708594643101439","0.759321673079208","2"
"No","2011","direct migration background","Female","1219","0.788877306572787","0.768632257682203","0.809122355463371","2"
"No","2011","indirect migration background","Male","289","0.786876242657007","0.746233319491157","0.827519165822857","2"
"No","2011","indirect migration background","Female","428","0.752850684039739","0.717219682934733","0.788481685144745","2"
"Yes","2011","no migration background","Male","1875","0.221263224088949","0.211900018146092","0.230626430031806","1"
"Yes","2011","no migration background","Female","2068","0.156606640517212","0.149415270609747","0.163798010424678","1"
"Yes","2011","direct migration background","Male","381","0.266041841909677","0.240678326920792","0.291405356898561","1"
