"pli0165","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Daily","2019","35-65 y.","1161","0.629557289165673","0.607135389940098","0.651979188391249"
"Daily","2019","66 and older","6","","",""
"Min 1x per week","2019","16-34 y.","244","0.137714257836952","0.121582853072388","0.153845662601515"
"Min 1x per week","2019","35-65 y.","301","0.18927554987645","0.171087835101232","0.207463264651669"
"Min 1x per week","2019","66 and older","3","","",""
"Min 1x per month","2019","16-34 y.","22","","",""
"Min 1x per month","2019","35-65 y.","42","0.0220051978524263","0.015193974005767","0.0288164216990855"
"Min 1x per month","2019","66 and older","1","","",""
"Rarely","2019","16-34 y.","77","0.0487011384655651","0.0386252076160489","0.0587770693150813"
"Rarely","2019","35-65 y.","102","0.0581925049330105","0.0473230231662789","0.0690619866997421"
"Rarely","2019","66 and older","6","","",""
"Never","2019","16-34 y.","104","0.0630008269506945","0.0516271768938273","0.0743744770075617"
"Never","2019","35-65 y.","176","0.10096945817244","0.0869807865013034","0.114958129843576"
"Never","2019","66 and older","18","","",""
