"pli0165","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Daily","2019","Employed","Part Time","411","0.803097749507085","0.769017184118138","0.837178314896032","1"
"Min 1x per month","2019","Not Employed","Not Working","52","0.0188943680942192","0.0137578275668425","0.0240309086215959","3"
"Min 1x per month","2019","Employed","Not Working","","","","","3"
"Min 1x per month","2019","Not Employed","Part Time","","","","","3"
"Min 1x per month","2019","Not Employed","Full Time","","","","","3"
"Min 1x per month","2019","Employed","Full Time","7","","","","3"
"Min 1x per month","2019","Employed","Part Time","6","","","","3"
"Min 1x per week","2019","Not Employed","Full Time","","","","","2"
"Min 1x per week","2019","Not Employed","Part Time","","","","","2"
"Min 1x per week","2019","Not Employed","Not Working","428","0.166844334825017","0.152778501819265","0.180910167830769","2"
"Min 1x per week","2019","Employed","Full Time","54","0.146062117598637","0.108903008759501","0.183221226437773","2"
"Min 1x per week","2019","Employed","Not Working","","","","","2"
"Min 1x per week","2019","Employed","Part Time","66","0.110582394925794","0.0837046329818068","0.137460156869781","2"
"Never","2019","Not Employed","Full Time","","","","","5"
"Never","2019","Not Employed","Part Time","","","","","5"
"Never","2019","Not Employed","Not Working","258","0.0939971050485159","0.0829875775491586","0.105006632547873","5"
"Never","2019","Employed","Full Time","16","","","","5"
"Never","2019","Employed","Part Time","24","","","","5"
"Never","2019","Employed","Not Working","","","","","5"
"Rarely","2019","Not Employed","Full Time","","","","","4"
"Rarely","2019","Not Employed","Part Time","","","","","4"
"Rarely","2019","Not Employed","Not Working","157","0.063030966011881","0.0538627201869995","0.0721992118367626","4"
"Rarely","2019","Employed","Full Time","12","","","","4"
"Rarely","2019","Employed","Not Working","","","","","4"
"Rarely","2019","Employed","Part Time","16","","","","4"
