"year","age_gr","migback","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2015","66 and older","no migration background","","","","","","","","",""
"2016","16-34 y.","direct migration background","","","","","","","","",""
"2016","16-34 y.","indirect migration background","","","","","","","","",""
"2016","16-34 y.","no migration background","","","","","","","","",""
"2016","35-65 y.","direct migration background","","","","","","","","",""
"2016","35-65 y.","indirect migration background","","","","","","","","",""
"2016","35-65 y.","no migration background","","","","","","","","",""
"2016","66 and older","direct migration background","","","","","","","","",""
"2016","66 and older","indirect migration background","","","","","","","","",""
"2016","66 and older","no migration background","","","","","","","","",""
"2017","16-34 y.","direct migration background","3.03","3","2502","2.97","3.09","1","2","4","6"
"2017","16-34 y.","indirect migration background","3.26","3","975","3.15","3.37","1","2","5","6"
"2017","16-34 y.","no migration background","3.3","3","4089","3.25","3.35","1","2","5","6"
"2017","35-65 y.","direct migration background","2.99","3","4308","2.94","3.04","1","1","4","5"
"2017","35-65 y.","indirect migration background","3.26","3","723","3.13","3.39","1","2","5","6"
"2017","35-65 y.","no migration background","3.26","3","11642","3.23","3.29","1","2","5","6"
"2017","66 and older","direct migration background","2.71","2","446","2.56","2.86","1","1","4","5"
"2017","66 and older","indirect migration background","","","","","","","","",""
"2017","66 and older","no migration background","2.83","2","4563","2.78","2.88","1","1","4","5"
"2018","16-34 y.","direct migration background","","","","","","","","",""
"2018","16-34 y.","indirect migration background","","","","","","","","",""
"2018","16-34 y.","no migration background","","","","","","","","",""
"2018","35-65 y.","direct migration background","","","","","","","","",""
"2018","35-65 y.","indirect migration background","","","","","","","","",""
"2018","35-65 y.","no migration background","","","","","","","","",""
"2018","66 and older","direct migration background","","","","","","","","",""
"2018","66 and older","indirect migration background","","","","","","","","",""
"2018","66 and older","no migration background","","","","","","","","",""
"2019","16-34 y.","direct migration background","2.94","3","805","2.82","3.06","1","1","4","5"
"2019","16-34 y.","indirect migration background","3.28","3","876","3.16","3.4","1","2","5","6"
"2019","16-34 y.","no migration background","3.16","3","3743","3.11","3.21","1","2","4","5"
"2019","35-65 y.","direct migration background","2.82","2","2605","2.75","2.89","1","1","4","5"
"2019","35-65 y.","indirect migration background","3.11","3","786","2.99","3.23","1","2","4","6"
"2019","35-65 y.","no migration background","3.05","3","11742","3.02","3.08","1","2","4","5"
"2019","66 and older","direct migration background","2.7","2","421","2.54","2.86","1","1","4","5"
"2019","66 and older","indirect migration background","3.03","3","36","2.51","3.55","1","2","4","5"
"2019","66 and older","no migration background","2.7","2","4735","2.65","2.75","1","1","4","5"
