"year","migback","pgisced97","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2009","indirect migration background","middle vocational","3.28","3","288","3.09","3.47","1","2","4","5"
"2009","indirect migration background","vocational + Abi","3.29","3","36","2.76","3.82","2","2","4","6"
"2009","no migration background","general elemantary","2.86","3","1290","2.77","2.95","1","1","4","5"
"2009","no migration background","higher education","3.11","3","3646","3.06","3.16","1","2","4","5"
"2009","no migration background","higher vocational","3.27","3","1200","3.18","3.36","1","2","5","6"
"2009","no migration background","in school","3.28","3","252","3.09","3.47","1","2","4","5"
"2009","no migration background","inadequately","3.8","4","67","3.34","4.26","1","2","5","6"
"2009","no migration background","middle vocational","3.09","3","8145","3.05","3.13","1","2","4","5"
"2009","no migration background","vocational + Abi","3.14","3","794","3.03","3.25","1","2","4","6"
"2010","direct migration background","general elemantary","","","","","","","","",""
"2010","direct migration background","higher education","","","","","","","","",""
"2010","direct migration background","higher vocational","","","","","","","","",""
"2010","direct migration background","in school","","","","","","","","",""
"2010","direct migration background","inadequately","","","","","","","","",""
"2010","direct migration background","middle vocational","","","","","","","","",""
"2010","direct migration background","vocational + Abi","","","","","","","","",""
"2010","indirect migration background","general elemantary","","","","","","","","",""
"2010","indirect migration background","higher education","","","","","","","","",""
"2010","indirect migration background","higher vocational","","","","","","","","",""
"2010","indirect migration background","in school","","","","","","","","",""
"2010","indirect migration background","inadequately","","","","","","","","",""
"2010","indirect migration background","middle vocational","","","","","","","","",""
"2010","indirect migration background","vocational + Abi","","","","","","","","",""
"2010","no migration background","general elemantary","","","","","","","","",""
"2010","no migration background","higher education","","","","","","","","",""
"2010","no migration background","higher vocational","","","","","","","","",""
"2010","no migration background","in school","","","","","","","","",""
"2010","no migration background","inadequately","","","","","","","","",""
"2010","no migration background","middle vocational","","","","","","","","",""
"2010","no migration background","vocational + Abi","","","","","","","","",""
"2011","direct migration background","general elemantary","","","","","","","","",""
"2011","direct migration background","higher education","","","","","","","","",""
"2011","direct migration background","higher vocational","","","","","","","","",""
"2011","direct migration background","in school","","","","","","","","",""
"2011","direct migration background","inadequately","","","","","","","","",""
"2011","direct migration background","middle vocational","","","","","","","","",""
"2011","direct migration background","vocational + Abi","","","","","","","","",""
"2011","indirect migration background","general elemantary","","","","","","","","",""
"2011","indirect migration background","higher education","","","","","","","","",""
"2011","indirect migration background","higher vocational","","","","","","","","",""
"2011","indirect migration background","in school","","","","","","","","",""
"2011","indirect migration background","inadequately","","","","","","","","",""
"2011","indirect migration background","middle vocational","","","","","","","","",""
"2011","indirect migration background","vocational + Abi","","","","","","","","",""
"2011","no migration background","general elemantary","","","","","","","","",""
"2011","no migration background","higher education","","","","","","","","",""
"2011","no migration background","higher vocational","","","","","","","","",""
"2011","no migration background","in school","","","","","","","","",""
"2011","no migration background","inadequately","","","","","","","","",""
"2011","no migration background","middle vocational","","","","","","","","",""
"2011","no migration background","vocational + Abi","","","","","","","","",""
"2012","direct migration background","general elemantary","2.78","2","214","2.55","3.01","1","1","4","5"
"2012","direct migration background","higher education","2.78","2","228","2.56","3","1","1","4","6"
"2012","direct migration background","higher vocational","","","","","","","","",""
"2012","direct migration background","in school","","","","","","","","",""
"2012","direct migration background","inadequately","2.93","3","67","2.5","3.36","1","1","4","5"
"2012","direct migration background","middle vocational","2.79","2","384","2.61","2.97","1","1","4","5"
"2012","direct migration background","vocational + Abi","3.14","3","144","2.85","3.43","1","2","5","6"
"2012","indirect migration background","general elemantary","3.24","3","87","2.84","3.64","1","2","5","6"
"2012","indirect migration background","higher education","3.08","2","75","2.67","3.49","1","2","5","6"
"2012","indirect migration background","higher vocational","","","","","","","","",""
"2012","indirect migration background","in school","3.64","4","35","3.13","4.15","2","2","5","5"
"2012","indirect migration background","inadequately","","","","","","","","",""
"2012","indirect migration background","middle vocational","3.11","2","180","2.85","3.37","1","2","5","6"
"2012","indirect migration background","vocational + Abi","2.97","3","46","2.49","3.45","1","2","4","5"
"2012","no migration background","general elemantary","3.37","3","479","3.21","3.53","1","2","5","6"
"2012","no migration background","higher education","3","3","1193","2.91","3.09","1","2","4","5"
"2012","no migration background","higher vocational","3.15","3","318","2.96","3.34","1","2","5","5"
"2012","no migration background","in school","3.21","3","148","2.96","3.46","1","2","4","6"
"2012","no migration background","inadequately","3.48","3","74","3.04","3.92","1","2","5","6"
"2012","no migration background","middle vocational","3.23","3","2687","3.16","3.3","1","2","5","6"
"2012","no migration background","vocational + Abi","3.13","3","565","2.99","3.27","1","2","5","5"
"2013","direct migration background","general elemantary","2.73","2","332","2.55","2.91","1","1","4","5"
"2013","direct migration background","higher education","2.99","3","352","2.82","3.16","1","2","4","5"
"2013","direct migration background","higher vocational","2.63","2","72","2.27","2.99","1","1","4","5"
"2013","direct migration background","in school","","","","","","","","",""
"2013","direct migration background","inadequately","2.95","3","66","2.52","3.38","1","1","4","5"
"2013","direct migration background","middle vocational","3.03","3","634","2.9","3.16","1","1","4","6"
"2013","direct migration background","vocational + Abi","2.97","2","188","2.73","3.21","1","1","4","5"
"2013","indirect migration background","general elemantary","3.82","4","116","3.48","4.16","1","2","5","7"
"2013","indirect migration background","higher education","3.07","3","114","2.79","3.35","1","2","4","5"
"2013","indirect migration background","higher vocational","3.39","3","30","2.68","4.1","2","2","5","5"
"2013","indirect migration background","in school","3.51","3.16","53","3.11","3.91","1","2","5","5"
"2013","indirect migration background","inadequately","","","","","","","","",""
"2013","indirect migration background","middle vocational","3.21","3","306","3.02","3.4","1","2","5","6"
"2013","indirect migration background","vocational + Abi","3.19","3","37","2.7","3.68","2","2","4","6"
"2013","no migration background","general elemantary","2.9","3","1389","2.81","2.99","1","1","4","5"
"2013","no migration background","higher education","3.03","3","3995","2.98","3.08","1","2","4","5"
"2013","no migration background","higher vocational","3.17","3","1226","3.08","3.26","1","2","5","5"
"2013","no migration background","in school","3.48","3","195","3.27","3.69","1","2","5","6"
"2013","no migration background","inadequately","3.01","3","115","2.66","3.36","1","1","4","6"
"2013","no migration background","middle vocational","3.1","3","8453","3.06","3.14","1","2","4","5"
"2013","no migration background","vocational + Abi","3.01","3","873","2.9","3.12","1","2","4","5"
"2014","direct migration background","general elemantary","","","","","","","","",""
"2014","direct migration background","higher education","","","","","","","","",""
"2014","direct migration background","higher vocational","","","","","","","","",""
"2014","direct migration background","in school","","","","","","","","",""
"2014","direct migration background","inadequately","","","","","","","","",""
"2014","direct migration background","middle vocational","","","","","","","","",""
"2014","direct migration background","vocational + Abi","","","","","","","","",""
"2014","indirect migration background","general elemantary","","","","","","","","",""
"2014","indirect migration background","higher education","","","","","","","","",""
"2014","indirect migration background","higher vocational","","","","","","","","",""
"2014","indirect migration background","in school","","","","","","","","",""
"2014","indirect migration background","inadequately","","","","","","","","",""
"2014","indirect migration background","middle vocational","","","","","","","","",""
"2014","indirect migration background","vocational + Abi","","","","","","","","",""
"2014","no migration background","general elemantary","","","","","","","","",""
"2014","no migration background","higher education","","","","","","","","",""
"2014","no migration background","higher vocational","","","","","","","","",""
"2014","no migration background","in school","","","","","","","","",""
"2014","no migration background","inadequately","","","","","","","","",""
"2014","no migration background","middle vocational","","","","","","","","",""
"2014","no migration background","vocational + Abi","","","","","","","","",""
"2015","direct migration background","general elemantary","","","","","","","","",""
"2015","direct migration background","higher education","","","","","","","","",""
"2015","direct migration background","higher vocational","","","","","","","","",""
"2015","direct migration background","in school","","","","","","","","",""
"2015","direct migration background","inadequately","","","","","","","","",""
"2015","direct migration background","middle vocational","","","","","","","","",""
"2015","direct migration background","vocational + Abi","","","","","","","","",""
"2015","indirect migration background","general elemantary","","","","","","","","",""
"2015","indirect migration background","higher education","","","","","","","","",""
"2015","indirect migration background","higher vocational","","","","","","","","",""
"2015","indirect migration background","in school","","","","","","","","",""
"2015","indirect migration background","inadequately","","","","","","","","",""
"2015","indirect migration background","middle vocational","","","","","","","","",""
"2015","indirect migration background","vocational + Abi","","","","","","","","",""
"2015","no migration background","general elemantary","","","","","","","","",""
"2015","no migration background","higher education","","","","","","","","",""
"2015","no migration background","higher vocational","","","","","","","","",""
"2015","no migration background","in school","","","","","","","","",""
"2015","no migration background","inadequately","","","","","","","","",""
"2015","no migration background","middle vocational","","","","","","","","",""
"2015","no migration background","vocational + Abi","","","","","","","","",""
"2016","direct migration background","general elemantary","","","","","","","","",""
"2016","direct migration background","higher education","","","","","","","","",""
"2016","direct migration background","higher vocational","","","","","","","","",""
"2016","direct migration background","in school","","","","","","","","",""
"2016","direct migration background","inadequately","","","","","","","","",""
"2016","direct migration background","middle vocational","","","","","","","","",""
"2016","direct migration background","vocational + Abi","","","","","","","","",""
"2016","indirect migration background","general elemantary","","","","","","","","",""
"2016","indirect migration background","higher education","","","","","","","","",""
"2016","indirect migration background","higher vocational","","","","","","","","",""
"2016","indirect migration background","in school","","","","","","","","",""
"2016","indirect migration background","inadequately","","","","","","","","",""
"2016","indirect migration background","middle vocational","","","","","","","","",""
"2016","indirect migration background","vocational + Abi","","","","","","","","",""
"2016","no migration background","general elemantary","","","","","","","","",""
"2016","no migration background","higher education","","","","","","","","",""
"2016","no migration background","higher vocational","","","","","","","","",""
"2016","no migration background","in school","","","","","","","","",""
"2016","no migration background","inadequately","","","","","","","","",""
"2016","no migration background","middle vocational","","","","","","","","",""
"2016","no migration background","vocational + Abi","","","","","","","","",""
"2017","direct migration background","general elemantary","2.82","2","1291","2.73","2.91","1","1","4","5"
"2017","direct migration background","higher education","2.92","2","1658","2.84","3","1","2","4","5"
"2017","direct migration background","higher vocational","3.21","3","91","2.86","3.56","1","2","5","5"
"2017","direct migration background","in school","3.05","3","35","2.49","3.61","2","2","4","5"
"2017","direct migration background","inadequately","2.58","2","1156","2.5","2.66","1","1","4","5"
"2017","direct migration background","middle vocational","3.12","3","1996","3.04","3.2","1","2","4","6"
"2017","direct migration background","vocational + Abi","3.01","3","713","2.88","3.14","1","2","4","5"
"2017","indirect migration background","general elemantary","3.09","3","281","2.88","3.3","1","1","4","5"
"2017","indirect migration background","higher education","3.29","3","284","3.1","3.48","1","2","5","5"
"2017","indirect migration background","higher vocational","3.24","2","59","2.76","3.72","1","2","5","6"
"2017","indirect migration background","in school","3.26","3","88","2.89","3.63","1","2","5","6"
"2017","indirect migration background","inadequately","3.71","4","39","3.18","4.24","1","3","5","6"
"2017","indirect migration background","middle vocational","3.3","3","721","3.17","3.43","1","2","5","6"
"2017","indirect migration background","vocational + Abi","3.26","3","130","2.98","3.54","1","2","5","6"
"2017","no migration background","general elemantary","2.96","2","1712","2.88","3.04","1","1","4","6"
"2017","no migration background","higher education","3.09","3","5065","3.05","3.13","1","2","4","5"
"2017","no migration background","higher vocational","3.29","3","1390","3.2","3.38","1","2","5","6"
"2017","no migration background","in school","3.52","3","290","3.33","3.71","1","2","5","6"
"2017","no migration background","inadequately","3.11","3","169","2.81","3.41","1","1","5","6"
"2017","no migration background","middle vocational","3.18","3","9846","3.15","3.21","1","2","5","6"
"2017","no migration background","vocational + Abi","3.15","3","1442","3.07","3.23","1","2","5","5"
"2018","direct migration background","general elemantary","","","","","","","","",""
"2018","direct migration background","higher education","","","","","","","","",""
"2018","direct migration background","higher vocational","","","","","","","","",""
"2018","direct migration background","in school","","","","","","","","",""
"2018","direct migration background","inadequately","","","","","","","","",""
"2018","direct migration background","middle vocational","","","","","","","","",""
"2018","direct migration background","vocational + Abi","","","","","","","","",""
"2018","indirect migration background","general elemantary","","","","","","","","",""
"2018","indirect migration background","higher education","","","","","","","","",""
"2018","indirect migration background","higher vocational","","","","","","","","",""
"2018","indirect migration background","in school","","","","","","","","",""
"2018","indirect migration background","inadequately","","","","","","","","",""
"2018","indirect migration background","middle vocational","","","","","","","","",""
"2018","indirect migration background","vocational + Abi","","","","","","","","",""
"2018","no migration background","general elemantary","","","","","","","","",""
"2018","no migration background","higher education","","","","","","","","",""
"2018","no migration background","higher vocational","","","","","","","","",""
"2018","no migration background","in school","","","","","","","","",""
"2018","no migration background","inadequately","","","","","","","","",""
"2018","no migration background","middle vocational","","","","","","","","",""
"2018","no migration background","vocational + Abi","","","","","","","","",""
"2019","direct migration background","general elemantary","2.66","2","589","2.53","2.79","1","1","4","5"
"2019","direct migration background","higher education","2.89","2","1065","2.79","2.99","1","1","4","6"
"2019","direct migration background","higher vocational","3.03","3","73","2.62","3.44","1","2","4","5"
"2019","direct migration background","in school","2.8","2","42","2.23","3.37","1","1","4","5"
"2019","direct migration background","inadequately","2.8","2","202","2.56","3.04","1","1","4","5"
"2019","direct migration background","middle vocational","2.88","2","1226","2.78","2.98","1","1","4","5"
"2019","direct migration background","vocational + Abi","2.75","2","518","2.61","2.89","1","1","4","5"
"2019","indirect migration background","general elemantary","3.29","3","236","3.06","3.52","1","1","5","6"
"2019","indirect migration background","higher education","3.06","3","336","2.88","3.24","1","2","4","5"
"2019","indirect migration background","higher vocational","2.92","3","74","2.5","3.34","1","2","3","5"
"2019","indirect migration background","in school","3.68","4","81","3.29","4.07","1","2","5","6"
"2019","indirect migration background","inadequately","3.07","3","38","2.5","3.64","1","1","4","5"
"2019","indirect migration background","middle vocational","3.22","3","665","3.08","3.36","1","2","5","5"
"2019","indirect migration background","vocational + Abi","3.02","2","141","2.72","3.32","1","2","4","6"
"2019","no migration background","general elemantary","2.87","2","1576","2.79","2.95","1","1","4","5"
"2019","no migration background","higher education","2.93","3","5599","2.89","2.97","1","2","4","5"
"2019","no migration background","higher vocational","3.1","3","1517","3.01","3.19","1","2","4","6"
"2019","no migration background","in school","3.13","3","204","2.92","3.34","1","2","4","5"
"2019","no migration background","inadequately","2.96","2","147","2.64","3.28","1","1","4","6"
"2019","no migration background","middle vocational","2.98","3","9190","2.95","3.01","1","2","4","5"
"2019","no migration background","vocational + Abi","3.02","3","1507","2.94","3.1","1","2","4","5"
