"m11104","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","Brandenburg","no migration background","","","","","1"
"Almost never or never","1984","Brandenburg","direct migration background","","","","","1"
"Almost never or never","1984","Brandenburg","indirect migration background","","","","","1"
"Almost never or never","1984","Mecklenburg-Western Pomerania","no migration background","","","","","1"
"Almost never or never","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"Almost never or never","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Almost never or never","1984","Saxony","no migration background","","","","","1"
"Almost never or never","1984","Saxony","direct migration background","","","","","1"
"Almost never or never","1984","Saxony","indirect migration background","","","","","1"
"Almost never or never","1984","Saxony-Anhalt","no migration background","","","","","1"
"Almost never or never","1984","Saxony-Anhalt","direct migration background","","","","","1"
"Almost never or never","1984","Saxony-Anhalt","indirect migration background","","","","","1"
"Almost never or never","1984","Thuringia","no migration background","","","","","1"
"Almost never or never","1984","Thuringia","direct migration background","","","","","1"
"Almost never or never","1984","Thuringia","indirect migration background","","","","","1"
"At lease once a week","1984","North Rhine-Westphalia","indirect migration background","","","","","4"
"At lease once a week","1984","North Rhine-Westphalia","direct migration background","","","","","4"
"At lease once a week","1984","Lower Saxony","indirect migration background","","","","","4"
"At lease once a week","1984","Bremen","no migration background","","","","","4"
"At lease once a week","1984","Bremen","direct migration background","","","","","4"
"At lease once a week","1984","Bremen","indirect migration background","","","","","4"
"At lease once a week","1984","North Rhine-Westphalia","no migration background","","","","","4"
"At lease once a week","1984","Hesse","no migration background","","","","","4"
"At lease once a week","1984","Hesse","direct migration background","","","","","4"
"At lease once a week","1984","Rhineland-Palatinate,Saarland","no migration background","","","","","4"
"At lease once a week","1984","Hamburg","direct migration background","","","","","4"
"At lease once a week","1984","Hamburg","indirect migration background","","","","","4"
"At lease once a week","1984","Lower Saxony","no migration background","","","","","4"
"At lease once a week","1984","Lower Saxony","direct migration background","","","","","4"
"At lease once a week","1984","Hesse","indirect migration background","","","","","4"
"At lease once a week","1984","Schleswig-Holstein","no migration background","","","","","4"
"At lease once a week","1984","Schleswig-Holstein","direct migration background","","","","","4"
"At lease once a week","1984","Schleswig-Holstein","indirect migration background","","","","","4"
"At lease once a week","1984","Hamburg","no migration background","","","","","4"
"At lease once a week","1984","Rhineland-Palatinate,Saarland","direct migration background","","","","","4"
"At lease once a week","1984","Rhineland-Palatinate,Saarland","indirect migration background","","","","","4"
"At lease once a week","1984","Baden-Württemberg","no migration background","","","","","4"
"At lease once a week","1984","Baden-Württemberg","direct migration background","","","","","4"
"At lease once a week","1984","Baden-Württemberg","indirect migration background","","","","","4"
"At lease once a week","1984","Bavaria","no migration background","","","","","4"
"At lease once a week","1984","Bavaria","direct migration background","","","","","4"
"At lease once a week","1984","Bavaria","indirect migration background","","","","","4"
"At lease once a week","1984","Berlin","no migration background","","","","","4"
"At lease once a week","1984","Berlin","direct migration background","","","","","4"
"At lease once a week","1984","Berlin","indirect migration background","","","","","4"
"At lease once a week","1984","Brandenburg","no migration background","","","","","4"
"At lease once a week","1984","Brandenburg","direct migration background","","","","","4"
"At lease once a week","1984","Brandenburg","indirect migration background","","","","","4"
"At lease once a week","1984","Mecklenburg-Western Pomerania","no migration background","","","","","4"
"At lease once a week","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","4"
"At lease once a week","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","4"
"At lease once a week","1984","Saxony","no migration background","","","","","4"
"At lease once a week","1984","Saxony","direct migration background","","","","","4"
"At lease once a week","1984","Saxony","indirect migration background","","","","","4"
"At lease once a week","1984","Saxony-Anhalt","no migration background","","","","","4"
"At lease once a week","1984","Saxony-Anhalt","direct migration background","","","","","4"
"At lease once a week","1984","Saxony-Anhalt","indirect migration background","","","","","4"
"At lease once a week","1984","Thuringia","no migration background","","","","","4"
"At lease once a week","1984","Thuringia","direct migration background","","","","","4"
"At lease once a week","1984","Thuringia","indirect migration background","","","","","4"
"At least once a month","1984","North Rhine-Westphalia","indirect migration background","12","","","","3"
"At least once a month","1984","Bavaria","no migration background","316","0.19311713669303","0.173659154176326","0.212575119209735","3"
"At least once a month","1984","Schleswig-Holstein","indirect migration background","3","","","","3"
"At least once a month","1984","Rhineland-Palatinate,Saarland","direct migration background","24","","","","3"
"At least once a month","1984","Schleswig-Holstein","direct migration background","3","","","","3"
"At least once a month","1984","Lower Saxony","indirect migration background","5","","","","3"
"At least once a month","1984","Baden-Württemberg","direct migration background","93","0.12492638208888","0.103068754091651","0.146784010086108","3"
"At least once a month","1984","Baden-Württemberg","indirect migration background","10","","","","3"
"At least once a month","1984","North Rhine-Westphalia","direct migration background","90","0.105191002376481","0.0856405419031487","0.124741462849812","3"
"At least once a month","1984","Hesse","no migration background","172","0.219442645737535","0.190037814719131","0.248847476755938","3"
"At least once a month","1984","Hamburg","no migration background","50","0.215464991757888","0.160379690765263","0.270550292750514","3"
"At least once a month","1984","Hesse","indirect migration background","5","","","","3"
"At least once a month","1984","Rhineland-Palatinate,Saarland","no migration background","136","0.185704791692639","0.156731520042356","0.214678063342922","3"
"At least once a month","1984","Rhineland-Palatinate,Saarland","indirect migration background","1","","","","3"
"At least once a month","1984","Baden-Württemberg","no migration background","216","0.155519188806679","0.136006054404364","0.175032323208994","3"
"At least once a month","1984","Brandenburg","indirect migration background","","","","","3"
"At least once a month","1984","Mecklenburg-Western Pomerania","no migration background","","","","","3"
"At least once a month","1984","Schleswig-Holstein","no migration background","90","0.246016160966118","0.200303790918839","0.291728531013398","3"
"At least once a month","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"At least once a month","1984","Hesse","direct migration background","55","0.109971148500007","0.0816871643654598","0.138255132634554","3"
"At least once a month","1984","Bavaria","indirect migration background","6","","","","3"
"At least once a month","1984","Berlin","no migration background","65","0.202309728786309","0.155670518021137","0.248948939551482","3"
"At least once a month","1984","Berlin","direct migration background","4","","","","3"
"At least once a month","1984","Berlin","indirect migration background","","","","","3"
"At least once a month","1984","Brandenburg","no migration background","","","","","3"
"At least once a month","1984","Brandenburg","direct migration background","","","","","3"
"At least once a month","1984","Bremen","indirect migration background","","","","","3"
"At least once a month","1984","North Rhine-Westphalia","no migration background","451","0.188727561440856","0.172505338991187","0.204949783890526","3"
"At least once a month","1984","Saxony","no migration background","","","","","3"
"At least once a month","1984","Saxony","direct migration background","","","","","3"
"At least once a month","1984","Bremen","no migration background","15","","","","3"
"At least once a month","1984","Bavaria","direct migration background","52","0.163933088003208","0.12965134364591","0.198214832360507","3"
"At least once a month","1984","Hamburg","direct migration background","6","","","","3"
"At least once a month","1984","Hamburg","indirect migration background","","","","","3"
"At least once a month","1984","Lower Saxony","no migration background","210","0.198075781605016","0.173435400873103","0.222716162336929","3"
"At least once a month","1984","Lower Saxony","direct migration background","25","","","","3"
"At least once a month","1984","Bremen","direct migration background","3","","","","3"
"At least once a month","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"At least once a month","1984","Saxony","indirect migration background","","","","","3"
"At least once a month","1984","Saxony-Anhalt","no migration background","","","","","3"
"At least once a month","1984","Saxony-Anhalt","direct migration background","","","","","3"
"At least once a month","1984","Saxony-Anhalt","indirect migration background","","","","","3"
"At least once a month","1984","Thuringia","no migration background","","","","","3"
"At least once a month","1984","Thuringia","direct migration background","","","","","3"
"At least once a month","1984","Thuringia","indirect migration background","","","","","3"
"Several times a year","1984","Hamburg","direct migration background","18","","","","2"
"Several times a year","1984","Lower Saxony","indirect migration background","","","","","2"
"Several times a year","1984","Hamburg","no migration background","39","0.170044346455532","0.119711702211114","0.22037699069995","2"
"Several times a year","1984","Schleswig-Holstein","indirect migration background","","","","","2"
"Several times a year","1984","Schleswig-Holstein","direct migration background","8","","","","2"
"Several times a year","1984","Lower Saxony","direct migration background","23","","","","2"
"Several times a year","1984","Schleswig-Holstein","no migration background","62","0.178305033738144","0.137678663995957","0.218931403480331","2"
"Several times a year","1984","Rhineland-Palatinate,Saarland","indirect migration background","1","","","","2"
"Several times a year","1984","Lower Saxony","no migration background","198","0.182529120130977","0.158647307546634","0.206410932715321","2"
"Several times a year","1984","North Rhine-Westphalia","no migration background","428","0.179274120562082","0.163371555113375","0.195176686010788","2"
"Several times a year","1984","North Rhine-Westphalia","direct migration background","165","0.191355910870474","0.166288921784351","0.216422899956598","2"
"Several times a year","1984","Hamburg","indirect migration background","","","","","2"
"Several times a year","1984","Rhineland-Palatinate,Saarland","no migration background","107","0.14619541948527","0.119872068964131","0.172518770006409","2"
"Several times a year","1984","Hesse","direct migration background","77","0.119986933948472","0.0906097136391438","0.1493641542578","2"
"Several times a year","1984","Saxony-Anhalt","indirect migration background","","","","","2"
"Several times a year","1984","Thuringia","no migration background","","","","","2"
"Several times a year","1984","Bremen","no migration background","13","","","","2"
"Several times a year","1984","Bremen","direct migration background","2","","","","2"
"Several times a year","1984","North Rhine-Westphalia","indirect migration background","8","","","","2"
"Several times a year","1984","Hesse","indirect migration background","3","","","","2"
"Several times a year","1984","Thuringia","indirect migration background","","","","","2"
"Several times a year","1984","Bremen","indirect migration background","","","","","2"
"Several times a year","1984","Hesse","no migration background","134","0.158625805631246","0.13266983483206","0.184581776430432","2"
"Several times a year","1984","Rhineland-Palatinate,Saarland","direct migration background","20","","","","2"
"Several times a year","1984","Baden-Württemberg","no migration background","261","0.185748998395321","0.164808715577903","0.20668928121274","2"
"Several times a year","1984","Baden-Württemberg","direct migration background","123","0.14263924715855","0.119520996299449","0.16575749801765","2"
"Several times a year","1984","Bavaria","direct migration background","77","0.173009081596447","0.137982810510826","0.208035352682069","2"
"Several times a year","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"Several times a year","1984","Saxony","no migration background","","","","","2"
"Several times a year","1984","Saxony","direct migration background","","","","","2"
"Several times a year","1984","Saxony","indirect migration background","","","","","2"
"Several times a year","1984","Saxony-Anhalt","no migration background","","","","","2"
"Several times a year","1984","Saxony-Anhalt","direct migration background","","","","","2"
"Several times a year","1984","Thuringia","direct migration background","","","","","2"
"Several times a year","1984","Baden-Württemberg","indirect migration background","5","","","","2"
"Several times a year","1984","Bavaria","no migration background","345","0.201463758205252","0.181692790012425","0.22123472639808","2"
"Several times a year","1984","Bavaria","indirect migration background","7","","","","2"
"Several times a year","1984","Berlin","indirect migration background","","","","","2"
"Several times a year","1984","Brandenburg","no migration background","","","","","2"
"Several times a year","1984","Brandenburg","direct migration background","","","","","2"
"Several times a year","1984","Brandenburg","indirect migration background","","","","","2"
"Several times a year","1984","Mecklenburg-Western Pomerania","no migration background","","","","","2"
"Several times a year","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"Several times a year","1984","Berlin","no migration background","56","0.185737697289396","0.140587686955537","0.230887707623255","2"
"Several times a year","1984","Berlin","direct migration background","36","0.252523810720537","0.173800199338192","0.331247422102881","2"
"Almost never or never","1985","Schleswig-Holstein","no migration background","166","0.55761743739322","0.502149769587583","0.613085105198857","1"
"Almost never or never","1985","Schleswig-Holstein","direct migration background","26","","","","1"
"Almost never or never","1985","Schleswig-Holstein","indirect migration background","","","","","1"
"Almost never or never","1985","Hamburg","no migration background","99","0.518720335031541","0.450155979177713","0.587284690885368","1"
"Almost never or never","1985","Hamburg","direct migration background","49","0.51317479344795","0.396085210938412","0.630264375957489","1"
"Almost never or never","1985","Hamburg","indirect migration background","1","","","","1"
"Almost never or never","1985","Lower Saxony","no migration background","522","0.589428629195756","0.557811927536215","0.621045330855298","1"
"Almost never or never","1985","Lower Saxony","direct migration background","109","0.701917558520442","0.62967402475386","0.774161092287023","1"
"Almost never or never","1985","Lower Saxony","indirect migration background","3","","","","1"
"Almost never or never","1985","Bremen","no migration background","58","0.688968950875067","0.592795591691409","0.785142310058726","1"
"Almost never or never","1985","Bremen","direct migration background","16","","","","1"
"Almost never or never","1985","Bremen","indirect migration background","","","","","1"
"Almost never or never","1985","North Rhine-Westphalia","no migration background","1133","0.56774319868797","0.546550378197","0.588936019178939","1"
"Almost never or never","1985","North Rhine-Westphalia","direct migration background","598","0.747736292947942","0.717640574553613","0.77783201134227","1"
"Almost never or never","1985","North Rhine-Westphalia","indirect migration background","15","","","","1"
"Almost never or never","1985","Hesse","no migration background","390","0.588415013217152","0.551880499016311","0.624949527417993","1"
"Almost never or never","1985","Hesse","direct migration background","305","0.72868577623581","0.685646734815116","0.771724817656504","1"
"Almost never or never","1985","Hesse","indirect migration background","4","","","","1"
"Almost never or never","1985","Rhineland-Palatinate,Saarland","no migration background","362","0.605358079003035","0.567038929440135","0.643677228565935","1"
"Almost never or never","1985","Rhineland-Palatinate,Saarland","direct migration background","102","0.778062850460207","0.706353534831944","0.849772166088469","1"
"Almost never or never","1985","Rhineland-Palatinate,Saarland","indirect migration background","3","","","","1"
"Almost never or never","1985","Baden-Württemberg","no migration background","680","0.587414880271957","0.559699168686762","0.615130591857153","1"
"Almost never or never","1985","Baden-Württemberg","direct migration background","583","0.683636103037906","0.65126798489702","0.716004221178792","1"
"Almost never or never","1985","Baden-Württemberg","indirect migration background","15","","","","1"
"Almost never or never","1985","Bavaria","no migration background","785","0.559874668016391","0.534490041096472","0.58525929493631","1"
"Almost never or never","1985","Bavaria","direct migration background","255","0.556589327607472","0.507535772448799","0.605642882766145","1"
"Almost never or never","1985","Bavaria","indirect migration background","12","","","","1"
"Almost never or never","1985","Berlin","no migration background","139","0.575147083645788","0.514945630853595","0.635348536437981","1"
"Almost never or never","1985","Berlin","direct migration background","73","0.671598270564166","0.580459008583891","0.762737532544442","1"
"Almost never or never","1985","Berlin","indirect migration background","1","","","","1"
"Almost never or never","1985","Brandenburg","no migration background","","","","","1"
"Almost never or never","1985","Brandenburg","direct migration background","","","","","1"
"Almost never or never","1985","Brandenburg","indirect migration background","","","","","1"
"Almost never or never","1985","Mecklenburg-Western Pomerania","no migration background","","","","","1"
"Almost never or never","1985","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"Almost never or never","1985","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Almost never or never","1985","Saxony","no migration background","","","","","1"
"Almost never or never","1985","Saxony","direct migration background","","","","","1"
"Almost never or never","1985","Saxony","indirect migration background","","","","","1"
"Almost never or never","1985","Saxony-Anhalt","no migration background","","","","","1"
"Almost never or never","1985","Saxony-Anhalt","direct migration background","","","","","1"
"Almost never or never","1985","Saxony-Anhalt","indirect migration background","","","","","1"
"Almost never or never","1985","Thuringia","no migration background","","","","","1"
"Almost never or never","1985","Thuringia","direct migration background","","","","","1"
"Almost never or never","1985","Thuringia","indirect migration background","","","","","1"
"At lease once a week","1985","North Rhine-Westphalia","indirect migration background","16","","","","4"
"At lease once a week","1985","Hesse","indirect migration background","2","","","","4"
"At lease once a week","1985","Rhineland-Palatinate,Saarland","no migration background","139","0.208898874386369","0.177028135404697","0.24076961336804","4"
"At lease once a week","1985","North Rhine-Westphalia","no migration background","558","0.251055795172686","0.232505461347976","0.269606128997397","4"
"At lease once a week","1985","Hesse","direct migration background","52","0.166307625849582","0.130265104943488","0.202350146755675","4"
"At lease once a week","1985","Bremen","indirect migration background","","","","","4"
"At lease once a week","1985","North Rhine-Westphalia","direct migration background","97","0.133348683467559","0.109791700700672","0.156905666234446","4"
"At lease once a week","1985","Hamburg","indirect migration background","1","","","","4"
"At lease once a week","1985","Lower Saxony","indirect migration background","4","","","","4"
"At lease once a week","1985","Hesse","no migration background","188","0.259265362754819","0.226731526354588","0.291799199155051","4"
"At lease once a week","1985","Bremen","no migration background","13","","","","4"
"At lease once a week","1985","Bremen","direct migration background","1","","","","4"
"At lease once a week","1985","Schleswig-Holstein","no migration background","85","0.265364723356201","0.216055266741569","0.314674179970833","4"
"At lease once a week","1985","Schleswig-Holstein","direct migration background","6","","","","4"
"At lease once a week","1985","Schleswig-Holstein","indirect migration background","","","","","4"
"At lease once a week","1985","Hamburg","no migration background","65","0.304816139496513","0.241647455832132","0.367984823160895","4"
"At lease once a week","1985","Hamburg","direct migration background","16","","","","4"
"At lease once a week","1985","Lower Saxony","no migration background","242","0.246847899047302","0.219136230216357","0.274559567878247","4"
"At lease once a week","1985","Lower Saxony","direct migration background","24","","","","4"
"At lease once a week","1985","Rhineland-Palatinate,Saarland","direct migration background","14","","","","4"
"At lease once a week","1985","Rhineland-Palatinate,Saarland","indirect migration background","3","","","","4"
"At lease once a week","1985","Baden-Württemberg","no migration background","286","0.225877673137823","0.202335950947757","0.249419395327889","4"
"At lease once a week","1985","Baden-Württemberg","direct migration background","109","0.182287899646275","0.155416478839796","0.209159320452754","4"
"At lease once a week","1985","Baden-Württemberg","indirect migration background","9","","","","4"
"At lease once a week","1985","Bavaria","no migration background","390","0.25189816118958","0.229699332850624","0.274096989528535","4"
"At lease once a week","1985","Bavaria","direct migration background","61","0.246659640828534","0.204095424196241","0.289223857460827","4"
"At lease once a week","1985","Bavaria","indirect migration background","11","","","","4"
"At lease once a week","1985","Berlin","no migration background","67","0.240995401788604","0.188908947963314","0.293081855613893","4"
"At lease once a week","1985","Berlin","direct migration background","9","","","","4"
"At lease once a week","1985","Berlin","indirect migration background","2","","","","4"
"At lease once a week","1985","Brandenburg","no migration background","","","","","4"
"At lease once a week","1985","Brandenburg","direct migration background","","","","","4"
"At lease once a week","1985","Brandenburg","indirect migration background","","","","","4"
"At lease once a week","1985","Mecklenburg-Western Pomerania","no migration background","","","","","4"
"At lease once a week","1985","Mecklenburg-Western Pomerania","direct migration background","","","","","4"
"At lease once a week","1985","Mecklenburg-Western Pomerania","indirect migration background","","","","","4"
"At lease once a week","1985","Saxony","no migration background","","","","","4"
"At lease once a week","1985","Saxony","direct migration background","","","","","4"
"At lease once a week","1985","Saxony","indirect migration background","","","","","4"
"At lease once a week","1985","Saxony-Anhalt","no migration background","","","","","4"
"At lease once a week","1985","Saxony-Anhalt","direct migration background","","","","","4"
"At lease once a week","1985","Saxony-Anhalt","indirect migration background","","","","","4"
"At lease once a week","1985","Thuringia","no migration background","","","","","4"
"At lease once a week","1985","Thuringia","direct migration background","","","","","4"
"At lease once a week","1985","Thuringia","indirect migration background","","","","","4"
"At least once a month","1985","Schleswig-Holstein","direct migration background","1","","","","3"
"At least once a month","1985","Hesse","indirect migration background","1","","","","3"
"At least once a month","1985","Baden-Württemberg","indirect migration background","3","","","","3"
"At least once a month","1985","Bavaria","no migration background","87","0.0548778917299671","0.0432318091967933","0.0665239742631408","3"
"At least once a month","1985","Rhineland-Palatinate,Saarland","indirect migration background","","","","","3"
"At least once a month","1985","Brandenburg","direct migration background","","","","","3"
"At least once a month","1985","Baden-Württemberg","direct migration background","30","0.0281202192171923","0.0166141463015016","0.0396262921328829","3"
"At least once a month","1985","Schleswig-Holstein","no migration background","16","","","","3"
"At least once a month","1985","Saxony","direct migration background","","","","","3"
"At least once a month","1985","Saxony","no migration background","","","","","3"
"At least once a month","1985","Rhineland-Palatinate,Saarland","no migration background","33","0.0505771049279869","0.0333974310349605","0.0677567788210132","3"
"At least once a month","1985","Hamburg","direct migration background","3","","","","3"
"At least once a month","1985","Hamburg","indirect migration background","","","","","3"
"At least once a month","1985","Lower Saxony","no migration background","42","0.0364078124566823","0.0243699176324745","0.0484457072808902","3"
"At least once a month","1985","Lower Saxony","direct migration background","4","","","","3"
"At least once a month","1985","Lower Saxony","indirect migration background","","","","","3"
"At least once a month","1985","Bremen","indirect migration background","","","","","3"
"At least once a month","1985","North Rhine-Westphalia","no migration background","103","0.0470600106415935","0.0380005851333654","0.0561194361498215","3"
"At least once a month","1985","North Rhine-Westphalia","direct migration background","23","","","","3"
"At least once a month","1985","North Rhine-Westphalia","indirect migration background","3","","","","3"
"At least once a month","1985","Schleswig-Holstein","indirect migration background","","","","","3"
"At least once a month","1985","Hesse","direct migration background","17","","","","3"
"At least once a month","1985","Rhineland-Palatinate,Saarland","direct migration background","4","","","","3"
"At least once a month","1985","Baden-Württemberg","no migration background","74","0.0566987627151035","0.0436788289757266","0.0697186964544804","3"
"At least once a month","1985","Bavaria","direct migration background","21","","","","3"
"At least once a month","1985","Bavaria","indirect migration background","2","","","","3"
"At least once a month","1985","Berlin","direct migration background","5","","","","3"
"At least once a month","1985","Berlin","indirect migration background","1","","","","3"
"At least once a month","1985","Brandenburg","no migration background","","","","","3"
"At least once a month","1985","Mecklenburg-Western Pomerania","no migration background","","","","","3"
"At least once a month","1985","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"At least once a month","1985","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"At least once a month","1985","Hamburg","no migration background","17","","","","3"
"At least once a month","1985","Saxony","indirect migration background","","","","","3"
"At least once a month","1985","Saxony-Anhalt","no migration background","","","","","3"
"At least once a month","1985","Saxony-Anhalt","direct migration background","","","","","3"
"At least once a month","1985","Brandenburg","indirect migration background","","","","","3"
"At least once a month","1985","Hesse","no migration background","26","","","","3"
"At least once a month","1985","Bremen","no migration background","6","","","","3"
"At least once a month","1985","Bremen","direct migration background","3","","","","3"
"At least once a month","1985","Berlin","no migration background","17","","","","3"
"At least once a month","1985","Saxony-Anhalt","indirect migration background","","","","","3"
"At least once a month","1985","Thuringia","no migration background","","","","","3"
"At least once a month","1985","Thuringia","direct migration background","","","","","3"
"At least once a month","1985","Thuringia","indirect migration background","","","","","3"
"Several times a year","1985","Schleswig-Holstein","no migration background","41","0.126271015621833","0.0891762235546824","0.163365807688984","2"
"Several times a year","1985","Hamburg","no migration background","23","","","","2"
"Several times a year","1985","Schleswig-Holstein","direct migration background","6","","","","2"
"Several times a year","1985","Lower Saxony","direct migration background","17","","","","2"
"Several times a year","1985","Lower Saxony","indirect migration background","1","","","","2"
"Several times a year","1985","Schleswig-Holstein","indirect migration background","1","","","","2"
"Several times a year","1985","Hamburg","direct migration background","2","","","","2"
"Several times a year","1985","Hamburg","indirect migration background","","","","","2"
"Several times a year","1985","Lower Saxony","no migration background","124","0.127315659300259","0.105892864889831","0.148738453710686","2"
"Several times a year","1985","Bremen","no migration background","12","","","","2"
"Several times a year","1985","North Rhine-Westphalia","no migration background","305","0.13414099549775","0.119561374881704","0.148720616113797","2"
"Several times a year","1985","Hesse","indirect migration background","4","","","","2"
"Several times a year","1985","Rhineland-Palatinate,Saarland","no migration background","91","0.135165941682609","0.108361416916872","0.161970466448347","2"
"Several times a year","1985","Saxony-Anhalt","indirect migration background","","","","","2"
"Several times a year","1985","Thuringia","indirect migration background","","","","","2"
"Several times a year","1985","North Rhine-Westphalia","direct migration background","82","0.0967229512031356","0.0762406685592437","0.117205233847027","2"
"Several times a year","1985","Hesse","direct migration background","36","0.0831262159346399","0.0564035399526976","0.109848891916582","2"
"Several times a year","1985","Bremen","direct migration background","6","","","","2"
"Several times a year","1985","Bremen","indirect migration background","","","","","2"
"Several times a year","1985","North Rhine-Westphalia","indirect migration background","9","","","","2"
"Several times a year","1985","Hesse","no migration background","93","0.116715182404001","0.0928785026746977","0.140551862133304","2"
"Several times a year","1985","Rhineland-Palatinate,Saarland","direct migration background","9","","","","2"
"Several times a year","1985","Rhineland-Palatinate,Saarland","indirect migration background","2","","","","2"
"Several times a year","1985","Baden-Württemberg","no migration background","172","0.130008683875116","0.111074768973482","0.148942598776751","2"
"Several times a year","1985","Baden-Württemberg","direct migration background","71","0.105955778098626","0.0845341083179401","0.127377447879313","2"
"Several times a year","1985","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"Several times a year","1985","Saxony","no migration background","","","","","2"
"Several times a year","1985","Saxony","indirect migration background","","","","","2"
"Several times a year","1985","Saxony-Anhalt","no migration background","","","","","2"
"Several times a year","1985","Saxony-Anhalt","direct migration background","","","","","2"
"Several times a year","1985","Thuringia","no migration background","","","","","2"
"Several times a year","1985","Thuringia","direct migration background","","","","","2"
"Several times a year","1985","Baden-Württemberg","indirect migration background","6","","","","2"
"Several times a year","1985","Bavaria","no migration background","207","0.133349279064062","0.115965084239461","0.150733473888663","2"
"Several times a year","1985","Bavaria","direct migration background","57","0.123404749701182","0.090928529723551","0.155880969678812","2"
"Several times a year","1985","Bavaria","indirect migration background","5","","","","2"
"Several times a year","1985","Berlin","indirect migration background","","","","","2"
"Several times a year","1985","Brandenburg","indirect migration background","","","","","2"
"Several times a year","1985","Mecklenburg-Western Pomerania","no migration background","","","","","2"
"Several times a year","1985","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"Several times a year","1985","Saxony","direct migration background","","","","","2"
"Several times a year","1985","Berlin","no migration background","36","0.125660282617727","0.0852922737567259","0.166028291478729","2"
"Several times a year","1985","Berlin","direct migration background","15","","","","2"
"Several times a year","1985","Brandenburg","no migration background","","","","","2"
"Several times a year","1985","Brandenburg","direct migration background","","","","","2"
"Almost never or never","1986","Schleswig-Holstein","no migration background","156","0.561174267233355","0.503152647489578","0.619195886977133","1"
"Almost never or never","1986","Schleswig-Holstein","direct migration background","22","","","","1"
"Almost never or never","1986","Schleswig-Holstein","indirect migration background","","","","","1"
