"m11104","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"At least once a month","1984","direct migration background","middle vocational","141","0.143595589608647","0.122085351484243","0.165105827733052"
"At least once a month","1984","direct migration background","vocational + Abi","22","","",""
"At least once a month","1984","direct migration background","higher vocational","10","","",""
"At least once a month","1984","direct migration background","higher education","25","","",""
"At least once a month","1984","indirect migration background","in school","3","","",""
"At least once a month","1984","indirect migration background","inadequately","","","",""
"At least once a month","1984","indirect migration background","general elemantary","21","","",""
"At least once a month","1984","indirect migration background","middle vocational","16","","",""
"At least once a month","1984","indirect migration background","vocational + Abi","","","",""
"At least once a month","1984","indirect migration background","higher vocational","1","","",""
"At least once a month","1984","indirect migration background","higher education","1","","",""
"At lease once a week","1984","no migration background","in school","","","",""
"At lease once a week","1984","no migration background","inadequately","","","",""
"At lease once a week","1984","no migration background","general elemantary","","","",""
"At lease once a week","1984","no migration background","middle vocational","","","",""
"At lease once a week","1984","no migration background","vocational + Abi","","","",""
"At lease once a week","1984","no migration background","higher vocational","","","",""
"At lease once a week","1984","no migration background","higher education","","","",""
"At lease once a week","1984","direct migration background","in school","","","",""
"At lease once a week","1984","direct migration background","inadequately","","","",""
"At lease once a week","1984","direct migration background","general elemantary","","","",""
"At lease once a week","1984","direct migration background","middle vocational","","","",""
"At lease once a week","1984","direct migration background","vocational + Abi","","","",""
"At lease once a week","1984","direct migration background","higher vocational","","","",""
"At lease once a week","1984","direct migration background","higher education","","","",""
"At lease once a week","1984","indirect migration background","in school","","","",""
"At lease once a week","1984","indirect migration background","inadequately","","","",""
"At lease once a week","1984","indirect migration background","general elemantary","","","",""
"At lease once a week","1984","indirect migration background","middle vocational","","","",""
"At lease once a week","1984","indirect migration background","vocational + Abi","","","",""
"At lease once a week","1984","indirect migration background","higher vocational","","","",""
"At lease once a week","1984","indirect migration background","higher education","","","",""
"Almost never or never","1985","no migration background","in school","29","","",""
"Almost never or never","1985","no migration background","inadequately","55","0.695841149085458","0.595654266172769","0.796028031998146"
"Almost never or never","1985","no migration background","general elemantary","1402","0.708299558322386","0.688689888857252","0.727909227787521"
"Almost never or never","1985","no migration background","middle vocational","2288","0.570663105918998","0.555654067261559","0.585672144576438"
"Almost never or never","1985","no migration background","vocational + Abi","65","0.394606202878617","0.321348891912116","0.467863513845118"
"Almost never or never","1985","no migration background","higher vocational","264","0.490996647108793","0.449628483233667","0.532364810983919"
"Almost never or never","1985","no migration background","higher education","204","0.346323572926309","0.309374732502022","0.383272413350596"
"Almost never or never","1985","direct migration background","in school","10","","",""
"Almost never or never","1985","direct migration background","inadequately","662","0.855069482344171","0.829925664141995","0.880213300546347"
"Almost never or never","1985","direct migration background","general elemantary","674","0.752935578177261","0.725035156637015","0.780835999717507"
"Almost never or never","1985","direct migration background","middle vocational","587","0.643323585323542","0.61202831052638","0.674618860120704"
"Almost never or never","1985","direct migration background","vocational + Abi","60","0.561602291578279","0.46530887892712","0.657895704229439"
"Almost never or never","1985","direct migration background","higher vocational","24","","",""
"Almost never or never","1985","direct migration background","higher education","50","0.472131222221465","0.378411888934673","0.565850555508256"
"Almost never or never","1985","indirect migration background","in school","1","","",""
"Almost never or never","1985","indirect migration background","inadequately","4","","",""
"Almost never or never","1985","indirect migration background","general elemantary","18","","",""
"Almost never or never","1985","indirect migration background","middle vocational","28","","",""
"Almost never or never","1985","indirect migration background","vocational + Abi","","","",""
"Almost never or never","1985","indirect migration background","higher vocational","1","","",""
"Almost never or never","1985","indirect migration background","higher education","1","","",""
"Several times a year","1985","no migration background","in school","21","","",""
"Several times a year","1985","no migration background","inadequately","9","","",""
"Several times a year","1985","no migration background","general elemantary","196","0.0840718695921397","0.0721003495767807","0.0960433896074988"
"Several times a year","1985","no migration background","middle vocational","630","0.141554614623801","0.130984438486682","0.152124790760921"
"Several times a year","1985","no migration background","vocational + Abi","35","0.196259353510685","0.136731094150827","0.255787612870542"
"Several times a year","1985","no migration background","higher vocational","95","0.154537463222829","0.124626476915006","0.184448449530653"
"Several times a year","1985","no migration background","higher education","116","0.175712068616172","0.146157907178388","0.205266230053956"
"Several times a year","1985","direct migration background","in school","2","","",""
"Several times a year","1985","direct migration background","inadequately","45","0.0571554866848692","0.0405749109925575","0.073736062377181"
"Several times a year","1985","direct migration background","general elemantary","87","0.0692152007062463","0.0527959954200025","0.0856344059924902"
"Several times a year","1985","direct migration background","middle vocational","116","0.13039561397925","0.10839579087007","0.152395437088431"
"Several times a year","1985","direct migration background","vocational + Abi","13","","",""
"Several times a year","1985","direct migration background","higher vocational","9","","",""
"Several times a year","1985","direct migration background","higher education","22","","",""
"Several times a year","1985","indirect migration background","in school","","","",""
"Several times a year","1985","indirect migration background","inadequately","","","",""
"Several times a year","1985","indirect migration background","general elemantary","13","","",""
"Several times a year","1985","indirect migration background","middle vocational","9","","",""
"Several times a year","1985","indirect migration background","vocational + Abi","","","",""
"Several times a year","1985","indirect migration background","higher vocational","2","","",""
"Several times a year","1985","indirect migration background","higher education","2","","",""
"At least once a month","1985","no migration background","in school","12","","",""
"At least once a month","1985","no migration background","inadequately","3","","",""
"At least once a month","1985","no migration background","general elemantary","84","0.0368177362700224","0.0286936219846436","0.0449418505554013"
"At least once a month","1985","no migration background","middle vocational","223","0.0494562226142334","0.0428817577903585","0.0560306874381082"
"At least once a month","1985","no migration background","vocational + Abi","7","","",""
"At least once a month","1985","no migration background","higher vocational","38","0.0643611064952737","0.0440547248286753","0.084667488161872"
"At least once a month","1985","no migration background","higher education","51","0.072753408281469","0.052583558234447","0.0929232583284909"
"At least once a month","1985","direct migration background","in school","3","","",""
"At least once a month","1985","direct migration background","inadequately","11","","",""
"At least once a month","1985","direct migration background","general elemantary","36","0.0265639811458613","0.016161737111437","0.0369662251802855"
"At least once a month","1985","direct migration background","middle vocational","44","0.0371729787529494","0.0248130874041949","0.0495328701017038"
"At least once a month","1985","direct migration background","vocational + Abi","7","","",""
"At least once a month","1985","direct migration background","higher vocational","4","","",""
"At least once a month","1985","direct migration background","higher education","5","","",""
"At least once a month","1985","indirect migration background","in school","","","",""
"At least once a month","1985","indirect migration background","inadequately","1","","",""
"At least once a month","1985","indirect migration background","general elemantary","3","","",""
"At least once a month","1985","indirect migration background","middle vocational","6","","",""
"At least once a month","1985","indirect migration background","vocational + Abi","","","",""
"At least once a month","1985","indirect migration background","higher vocational","","","",""
"At least once a month","1985","indirect migration background","higher education","","","",""
"At lease once a week","1985","no migration background","in school","93","0.604091855989167","0.527102453322158","0.681081258656176"
"At lease once a week","1985","no migration background","inadequately","14","","",""
"At lease once a week","1985","no migration background","general elemantary","382","0.170810835815452","0.154574883673515","0.187046787957389"
"At lease once a week","1985","no migration background","middle vocational","1037","0.238326056842967","0.22540689953749","0.251245214148444"
"At lease once a week","1985","no migration background","vocational + Abi","64","0.364214704558785","0.292090005625449","0.436339403492122"
"At lease once a week","1985","no migration background","higher vocational","164","0.290104783173104","0.252552077786815","0.327657488559393"
"At lease once a week","1985","no migration background","higher education","266","0.40521095017605","0.367086776126975","0.443335124225125"
"At lease once a week","1985","direct migration background","in school","7","","",""
"At lease once a week","1985","direct migration background","inadequately","35","0.0697059155478456","0.0515174714125562","0.087894359683135"
"At lease once a week","1985","direct migration background","general elemantary","121","0.151285239970631","0.128105641575586","0.174464838365677"
"At lease once a week","1985","direct migration background","middle vocational","153","0.189107821944258","0.163524134643523","0.214691509244993"
"At lease once a week","1985","direct migration background","vocational + Abi","22","","",""
"At lease once a week","1985","direct migration background","higher vocational","11","","",""
"At lease once a week","1985","direct migration background","higher education","32","0.317441805692341","0.230056835001426","0.404826776383256"
"At lease once a week","1985","indirect migration background","in school","9","","",""
"At lease once a week","1985","indirect migration background","inadequately","","","",""
"At lease once a week","1985","indirect migration background","general elemantary","24","","",""
"At lease once a week","1985","indirect migration background","middle vocational","12","","",""
"At lease once a week","1985","indirect migration background","vocational + Abi","","","",""
"At lease once a week","1985","indirect migration background","higher vocational","1","","",""
"At lease once a week","1985","indirect migration background","higher education","1","","",""
"Almost never or never","1986","no migration background","in school","21","","",""
"Almost never or never","1986","no migration background","inadequately","55","0.671138598515982","0.570672159782114","0.771605037249849"
"Almost never or never","1986","no migration background","general elemantary","1297","0.707979858608499","0.687588401408345","0.728371315808652"
"Almost never or never","1986","no migration background","middle vocational","2150","0.562991215213389","0.547686607077221","0.578295823349557"
"Almost never or never","1986","no migration background","vocational + Abi","60","0.371200639923151","0.298999463944042","0.44340181590226"
"Almost never or never","1986","no migration background","higher vocational","247","0.506968013763094","0.463747058737822","0.550188968788365"
"Almost never or never","1986","no migration background","higher education","217","0.368295642051591","0.330750073211312","0.405841210891871"
"Almost never or never","1986","direct migration background","in school","4","","",""
"Almost never or never","1986","direct migration background","inadequately","600","0.852237968951739","0.825759954725724","0.878715983177754"
"Almost never or never","1986","direct migration background","general elemantary","643","0.734273682110357","0.705699552095401","0.762847812125312"
"Almost never or never","1986","direct migration background","middle vocational","576","0.648945365425376","0.617247469396648","0.680643261454103"
"Almost never or never","1986","direct migration background","vocational + Abi","63","0.537153747282545","0.440860205784944","0.633447288780147"
"Almost never or never","1986","direct migration background","higher vocational","26","","",""
"Almost never or never","1986","direct migration background","higher education","51","0.492518127079417","0.398229873894823","0.586806380264011"
"Almost never or never","1986","indirect migration background","in school","1","","",""
"Almost never or never","1986","indirect migration background","inadequately","4","","",""
"Almost never or never","1986","indirect migration background","general elemantary","24","","",""
"Almost never or never","1986","indirect migration background","middle vocational","24","","",""
"Almost never or never","1986","indirect migration background","vocational + Abi","","","",""
"Almost never or never","1986","indirect migration background","higher vocational","3","","",""
"Almost never or never","1986","indirect migration background","higher education","1","","",""
"Several times a year","1986","no migration background","in school","23","","",""
"Several times a year","1986","no migration background","inadequately","8","","",""
"Several times a year","1986","no migration background","general elemantary","170","0.0805851985474429","0.0683780341587129","0.0927923629361729"
"Several times a year","1986","no migration background","middle vocational","575","0.13058393258811","0.120187483666392","0.140980381509828"
"Several times a year","1986","no migration background","vocational + Abi","35","0.195515546999604","0.136245763067323","0.254785330931886"
"Several times a year","1986","no migration background","higher vocational","83","0.158972326147255","0.127361747982868","0.190582904311642"
"Several times a year","1986","no migration background","higher education","83","0.132004216836651","0.105655700094161","0.15835273357914"
"Several times a year","1986","direct migration background","in school","8","","",""
"Several times a year","1986","direct migration background","inadequately","41","0.0507605316301728","0.0343820167226987","0.0671390465376469"
"Several times a year","1986","direct migration background","general elemantary","82","0.0737818958287653","0.0568713241989613","0.0906924674585692"
"Several times a year","1986","direct migration background","middle vocational","90","0.095810396660497","0.0762636228647005","0.115357170456294"
"Several times a year","1986","direct migration background","vocational + Abi","12","","",""
"Several times a year","1986","direct migration background","higher vocational","9","","",""
"Several times a year","1986","direct migration background","higher education","26","","",""
"Several times a year","1986","indirect migration background","in school","2","","",""
"Several times a year","1986","indirect migration background","inadequately","1","","",""
"Several times a year","1986","indirect migration background","general elemantary","9","","",""
"Several times a year","1986","indirect migration background","middle vocational","10","","",""
"Several times a year","1986","indirect migration background","vocational + Abi","","","",""
"Several times a year","1986","indirect migration background","higher vocational","","","",""
"Several times a year","1986","indirect migration background","higher education","1","","",""
"At least once a month","1986","no migration background","in school","5","","",""
"At least once a month","1986","no migration background","inadequately","2","","",""
"At least once a month","1986","no migration background","general elemantary","74","0.0357243810601631","0.0274007205824094","0.0440480415379168"
"At least once a month","1986","no migration background","middle vocational","245","0.0559496071591244","0.048858363129697","0.0630408511885517"
"At least once a month","1986","no migration background","vocational + Abi","12","","",""
"At least once a month","1986","no migration background","higher vocational","30","0.0488809103559312","0.0302405792030484","0.0675212415088141"
"At least once a month","1986","no migration background","higher education","59","0.0921065405567253","0.0695970253689361","0.114616055744515"
"At least once a month","1986","direct migration background","in school","1","","",""
"At least once a month","1986","direct migration background","inadequately","13","","",""
"At least once a month","1986","direct migration background","general elemantary","41","0.0525408491674313","0.038107884729099","0.0669738136057637"
"At least once a month","1986","direct migration background","middle vocational","49","0.0462516836657155","0.0323034350727374","0.0601999322586935"
"At least once a month","1986","direct migration background","vocational + Abi","6","","",""
"At least once a month","1986","direct migration background","higher vocational","4","","",""
"At least once a month","1986","direct migration background","higher education","8","","",""
"At least once a month","1986","indirect migration background","in school","","","",""
"At least once a month","1986","indirect migration background","inadequately","","","",""
"At least once a month","1986","indirect migration background","general elemantary","6","","",""
"At least once a month","1986","indirect migration background","middle vocational","5","","",""
"At least once a month","1986","indirect migration background","vocational + Abi","","","",""
"At least once a month","1986","indirect migration background","higher vocational","1","","",""
"At least once a month","1986","indirect migration background","higher education","","","",""
"At lease once a week","1986","no migration background","in school","96","0.655959851150925","0.578637102705924","0.733282599595926"
"At lease once a week","1986","no migration background","inadequately","19","","",""
"At lease once a week","1986","no migration background","general elemantary","369","0.175710561783895","0.158643050107959","0.192778073459831"
"At lease once a week","1986","no migration background","middle vocational","1065","0.250475245039377","0.237106159036016","0.263844331042737"
"At lease once a week","1986","no migration background","vocational + Abi","65","0.349642511637286","0.278378206352428","0.420906816922144"
"At lease once a week","1986","no migration background","higher vocational","154","0.28517874973372","0.246146477041145","0.324211022426296"
"At lease once a week","1986","no migration background","higher education","275","0.407593600555032","0.369343990578276","0.445843210531788"
"At lease once a week","1986","direct migration background","in school","17","","",""
"At lease once a week","1986","direct migration background","inadequately","36","0.075260814102913","0.0555766203035966","0.0949450079022294"
"At lease once a week","1986","direct migration background","general elemantary","152","0.139403572893447","0.116997617234205","0.161809528552688"
"At lease once a week","1986","direct migration background","middle vocational","156","0.208992554248412","0.181990630519641","0.235994477977183"
"At lease once a week","1986","direct migration background","vocational + Abi","22","","",""
"At lease once a week","1986","direct migration background","higher vocational","11","","",""
"At lease once a week","1986","direct migration background","higher education","23","","",""
"At lease once a week","1986","indirect migration background","in school","8","","",""
"At lease once a week","1986","indirect migration background","inadequately","2","","",""
"At lease once a week","1986","indirect migration background","general elemantary","20","","",""
"At lease once a week","1986","indirect migration background","middle vocational","23","","",""
"At lease once a week","1986","indirect migration background","vocational + Abi","1","","",""
"At lease once a week","1986","indirect migration background","higher vocational","2","","",""
"At lease once a week","1986","indirect migration background","higher education","2","","",""
"Almost never or never","1987","no migration background","in school","","","",""
"Almost never or never","1987","no migration background","inadequately","","","",""
"Almost never or never","1987","no migration background","general elemantary","","","",""
"Almost never or never","1987","no migration background","middle vocational","","","",""
"Almost never or never","1987","no migration background","vocational + Abi","","","",""
"Almost never or never","1987","no migration background","higher vocational","","","",""
"Almost never or never","1987","no migration background","higher education","","","",""
"Almost never or never","1987","direct migration background","in school","","","",""
"Almost never or never","1987","direct migration background","inadequately","","","",""
"Almost never or never","1987","direct migration background","general elemantary","","","",""
"Almost never or never","1987","direct migration background","middle vocational","","","",""
"Almost never or never","1987","direct migration background","vocational + Abi","","","",""
"Almost never or never","1987","direct migration background","higher vocational","","","",""
"Almost never or never","1987","direct migration background","higher education","","","",""
"Almost never or never","1987","indirect migration background","in school","","","",""
"Almost never or never","1987","indirect migration background","inadequately","","","",""
"Almost never or never","1987","indirect migration background","general elemantary","","","",""
"Almost never or never","1987","indirect migration background","middle vocational","","","",""
"Almost never or never","1987","indirect migration background","vocational + Abi","","","",""
"Almost never or never","1987","indirect migration background","higher vocational","","","",""
"Almost never or never","1987","indirect migration background","higher education","","","",""
"Several times a year","1987","no migration background","in school","","","",""
"Several times a year","1987","no migration background","inadequately","","","",""
"Several times a year","1987","no migration background","general elemantary","","","",""
"Several times a year","1987","no migration background","middle vocational","","","",""
"Several times a year","1987","no migration background","vocational + Abi","","","",""
"Several times a year","1987","no migration background","higher vocational","","","",""
"Several times a year","1987","no migration background","higher education","","","",""
"Several times a year","1987","direct migration background","in school","","","",""
"Several times a year","1987","direct migration background","inadequately","","","",""
"Several times a year","1987","direct migration background","general elemantary","","","",""
"Several times a year","1987","direct migration background","middle vocational","","","",""
"Several times a year","1987","direct migration background","vocational + Abi","","","",""
"Several times a year","1987","direct migration background","higher vocational","","","",""
"Several times a year","1987","direct migration background","higher education","","","",""
"Several times a year","1987","indirect migration background","in school","","","",""
"Several times a year","1987","indirect migration background","inadequately","","","",""
"Several times a year","1987","indirect migration background","general elemantary","","","",""
"Several times a year","1987","indirect migration background","middle vocational","","","",""
"Several times a year","1987","indirect migration background","vocational + Abi","","","",""
"Several times a year","1987","indirect migration background","higher vocational","","","",""
"Several times a year","1987","indirect migration background","higher education","","","",""
"At least once a month","1987","no migration background","in school","","","",""
"At least once a month","1987","no migration background","inadequately","","","",""
"At least once a month","1987","no migration background","general elemantary","","","",""
"At least once a month","1987","no migration background","middle vocational","","","",""
"At least once a month","1987","no migration background","vocational + Abi","","","",""
"At least once a month","1987","no migration background","higher vocational","","","",""
"At least once a month","1987","no migration background","higher education","","","",""
"At least once a month","1987","direct migration background","in school","","","",""
"At least once a month","1987","direct migration background","inadequately","","","",""
"At least once a month","1987","direct migration background","general elemantary","","","",""
"At least once a month","1987","direct migration background","middle vocational","","","",""
"At least once a month","1987","direct migration background","vocational + Abi","","","",""
"At least once a month","1987","direct migration background","higher vocational","","","",""
"At least once a month","1987","direct migration background","higher education","","","",""
"At least once a month","1987","indirect migration background","in school","","","",""
"At least once a month","1987","indirect migration background","inadequately","","","",""
"At least once a month","1987","indirect migration background","general elemantary","","","",""
"At least once a month","1987","indirect migration background","middle vocational","","","",""
"At least once a month","1987","indirect migration background","vocational + Abi","","","",""
"At least once a month","1987","indirect migration background","higher vocational","","","",""
"At least once a month","1987","indirect migration background","higher education","","","",""
"At lease once a week","1987","no migration background","in school","","","",""
"At lease once a week","1987","no migration background","inadequately","","","",""
"At lease once a week","1987","no migration background","general elemantary","","","",""
"At lease once a week","1987","no migration background","middle vocational","","","",""
"At lease once a week","1987","no migration background","vocational + Abi","","","",""
"At lease once a week","1987","no migration background","higher vocational","","","",""
"At lease once a week","1987","no migration background","higher education","","","",""
"At lease once a week","1987","direct migration background","in school","","","",""
"At lease once a week","1987","direct migration background","inadequately","","","",""
"At lease once a week","1987","direct migration background","general elemantary","","","",""
"At lease once a week","1987","direct migration background","middle vocational","","","",""
"At lease once a week","1987","direct migration background","vocational + Abi","","","",""
"At lease once a week","1987","direct migration background","higher vocational","","","",""
"At lease once a week","1987","direct migration background","higher education","","","",""
"At lease once a week","1987","indirect migration background","in school","","","",""
"At lease once a week","1987","indirect migration background","inadequately","","","",""
"At lease once a week","1987","indirect migration background","general elemantary","","","",""
"At lease once a week","1987","indirect migration background","middle vocational","","","",""
"At lease once a week","1987","indirect migration background","vocational + Abi","","","",""
"At lease once a week","1987","indirect migration background","higher vocational","","","",""
"At lease once a week","1987","indirect migration background","higher education","","","",""
"Almost never or never","1988","no migration background","in school","13","","",""
"Almost never or never","1988","no migration background","inadequately","43","0.670780308905515","0.557407429357613","0.784153188453417"
"Almost never or never","1988","no migration background","general elemantary","1114","0.696072806788065","0.67434230427648","0.717803309299651"
"Almost never or never","1988","no migration background","middle vocational","1966","0.541144590197012","0.525286486317041","0.557002694076983"
"Almost never or never","1988","no migration background","vocational + Abi","64","0.383499162568615","0.310620720311317","0.456377604825914"
"Almost never or never","1988","no migration background","higher vocational","207","0.466792755827549","0.42197452706478","0.511610984590319"
"Almost never or never","1988","no migration background","higher education","200","0.354649154253741","0.316684401179309","0.392613907328174"
"Almost never or never","1988","direct migration background","in school","7","","",""
"Almost never or never","1988","direct migration background","inadequately","557","0.871250405052657","0.844908527712921","0.897592282392394"
"Almost never or never","1988","direct migration background","general elemantary","656","0.770378088536018","0.742976078169549","0.797780098902486"
"Almost never or never","1988","direct migration background","middle vocational","542","0.642524996959706","0.609662170294709","0.675387823624704"
"Almost never or never","1988","direct migration background","vocational + Abi","59","0.609740573996545","0.5121603697384","0.70732077825469"
"Almost never or never","1988","direct migration background","higher vocational","27","","",""
"Almost never or never","1988","direct migration background","higher education","38","0.395112570747813","0.291183670587056","0.49904147090857"
"Almost never or never","1988","indirect migration background","in school","2","","",""
"Almost never or never","1988","indirect migration background","inadequately","8","","",""
"Almost never or never","1988","indirect migration background","general elemantary","25","","",""
"Almost never or never","1988","indirect migration background","middle vocational","31","0.529913439594834","0.42563413182512","0.634192747364549"
"Almost never or never","1988","indirect migration background","vocational + Abi","1","","",""
"Almost never or never","1988","indirect migration background","higher vocational","3","","",""
"Almost never or never","1988","indirect migration background","higher education","3","","",""
"Several times a year","1988","no migration background","in school","12","","",""
"Several times a year","1988","no migration background","inadequately","9","","",""
"Several times a year","1988","no migration background","general elemantary","169","0.0868155175147189","0.0735129461769457","0.100118088852492"
"Several times a year","1988","no migration background","middle vocational","598","0.147745645695944","0.136452923896735","0.159038367495153"
"Several times a year","1988","no migration background","vocational + Abi","33","0.201847591637804","0.141688019890919","0.262007163384688"
"Several times a year","1988","no migration background","higher vocational","93","0.174015823323709","0.139957375718088","0.20807427092933"
"Several times a year","1988","no migration background","higher education","112","0.174910691877075","0.14476384937491","0.205057534379239"
"Several times a year","1988","direct migration background","in school","","","",""
"Several times a year","1988","direct migration background","inadequately","23","","",""
"Several times a year","1988","direct migration background","general elemantary","88","0.0773856708802493","0.0599770577111026","0.094794284049396"
"Several times a year","1988","direct migration background","middle vocational","95","0.127263946006783","0.10441157774005","0.150116314273515"
"Several times a year","1988","direct migration background","vocational + Abi","13","","",""
"Several times a year","1988","direct migration background","higher vocational","9","","",""
"Several times a year","1988","direct migration background","higher education","18","","",""
"Several times a year","1988","indirect migration background","in school","2","","",""
"Several times a year","1988","indirect migration background","inadequately","1","","",""
"Several times a year","1988","indirect migration background","general elemantary","11","","",""
"Several times a year","1988","indirect migration background","middle vocational","21","","",""
"Several times a year","1988","indirect migration background","vocational + Abi","2","","",""
"Several times a year","1988","indirect migration background","higher vocational","1","","",""
"Several times a year","1988","indirect migration background","higher education","","","",""
"At least once a month","1988","no migration background","in school","8","","",""
"At least once a month","1988","no migration background","inadequately","2","","",""
"At least once a month","1988","no migration background","general elemantary","75","0.0356445755257168","0.0268852040772638","0.0444039469741699"
"At least once a month","1988","no migration background","middle vocational","243","0.0600648952858951","0.0525032558175064","0.0676265347542838"
"At least once a month","1988","no migration background","vocational + Abi","13","","",""
"At least once a month","1988","no migration background","higher vocational","33","0.0708819244824788","0.047827843232902","0.0939360057320556"
"At least once a month","1988","no migration background","higher education","41","0.0704181325555727","0.0501147102832327","0.0907215548279127"
"At least once a month","1988","direct migration background","in school","","","",""
"At least once a month","1988","direct migration background","inadequately","11","","",""
"At least once a month","1988","direct migration background","general elemantary","38","0.0298628590816258","0.0187735098779221","0.0409522082853296"
"At least once a month","1988","direct migration background","middle vocational","25","","",""
"At least once a month","1988","direct migration background","vocational + Abi","4","","",""
"At least once a month","1988","direct migration background","higher vocational","3","","",""
"At least once a month","1988","direct migration background","higher education","3","","",""
"At least once a month","1988","indirect migration background","in school","1","","",""
"At least once a month","1988","indirect migration background","inadequately","","","",""
"At least once a month","1988","indirect migration background","general elemantary","8","","",""
"At least once a month","1988","indirect migration background","middle vocational","7","","",""
"At least once a month","1988","indirect migration background","vocational + Abi","","","",""
"At least once a month","1988","indirect migration background","higher vocational","1","","",""
"At least once a month","1988","indirect migration background","higher education","1","","",""
"At lease once a week","1988","no migration background","in school","91","0.713233470597301","0.63363268821587","0.792834252978732"
"At lease once a week","1988","no migration background","inadequately","12","","",""
"At lease once a week","1988","no migration background","general elemantary","363","0.181467100171499","0.163258578997791","0.199675621345206"
"At lease once a week","1988","no migration background","middle vocational","986","0.251044868821149","0.237245467522424","0.264844270119874"
