"ple0011","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2013","higher vocational","West Germany","77","1","1","1"
"Yes","2013","higher vocational","East Germany","34","1","1","1"
"Yes","2013","higher education","West Germany","242","1","1","1"
"Yes","2013","higher education","East Germany","104","1","1","1"
"Yes","2014","in school","West Germany","","","",""
"Yes","2014","in school","East Germany","","","",""
"Yes","2014","inadequately","West Germany","","","",""
"Yes","2014","inadequately","East Germany","","","",""
"Yes","2014","general elemantary","West Germany","","","",""
"Yes","2014","general elemantary","East Germany","","","",""
"Yes","2014","middle vocational","West Germany","","","",""
"Yes","2014","middle vocational","East Germany","","","",""
"Yes","2014","vocational + Abi","West Germany","","","",""
"Yes","2014","vocational + Abi","East Germany","","","",""
"Yes","2014","higher vocational","West Germany","","","",""
"Yes","2014","higher vocational","East Germany","","","",""
"Yes","2014","higher education","West Germany","","","",""
"Yes","2014","higher education","East Germany","","","",""
"Yes","2015","in school","West Germany","6","","",""
"Yes","2015","in school","East Germany","","","",""
"Yes","2015","inadequately","West Germany","46","1","1","1"
"Yes","2015","inadequately","East Germany","5","","",""
"Yes","2015","general elemantary","West Germany","259","1","1","1"
"Yes","2015","general elemantary","East Germany","37","1","1","1"
"Yes","2015","middle vocational","West Germany","833","1","1","1"
"Yes","2015","middle vocational","East Germany","248","1","1","1"
"Yes","2015","vocational + Abi","West Germany","136","1","1","1"
"Yes","2015","vocational + Abi","East Germany","19","","",""
"Yes","2015","higher vocational","West Germany","101","1","1","1"
"Yes","2015","higher vocational","East Germany","39","1","1","1"
"Yes","2015","higher education","West Germany","325","1","1","1"
"Yes","2015","higher education","East Germany","104","1","1","1"
"Yes","2016","in school","West Germany","","","",""
"Yes","2016","in school","East Germany","","","",""
"Yes","2016","inadequately","West Germany","","","",""
"Yes","2016","inadequately","East Germany","","","",""
"Yes","2016","general elemantary","West Germany","","","",""
"Yes","2016","general elemantary","East Germany","","","",""
"Yes","2016","middle vocational","West Germany","","","",""
"Yes","2016","middle vocational","East Germany","","","",""
"Yes","2016","vocational + Abi","West Germany","","","",""
"Yes","2016","vocational + Abi","East Germany","","","",""
"Yes","2016","higher vocational","West Germany","","","",""
"Yes","2016","higher vocational","East Germany","","","",""
"Yes","2016","higher education","West Germany","","","",""
"Yes","2016","higher education","East Germany","","","",""
"Yes","2017","in school","West Germany","10","","",""
"Yes","2017","in school","East Germany","3","","",""
"Yes","2017","inadequately","West Germany","53","1","1","1"
"Yes","2017","inadequately","East Germany","7","","",""
"Yes","2017","general elemantary","West Germany","271","1","1","1"
"Yes","2017","general elemantary","East Germany","32","1","1","1"
"Yes","2017","middle vocational","West Germany","875","1","1","1"
"Yes","2017","middle vocational","East Germany","263","1","1","1"
"Yes","2017","vocational + Abi","West Germany","167","1","1","1"
"Yes","2017","vocational + Abi","East Germany","19","","",""
"Yes","2017","higher vocational","West Germany","109","1","1","1"
"Yes","2017","higher vocational","East Germany","33","1","1","1"
"Yes","2017","higher education","West Germany","390","1","1","1"
"Yes","2017","higher education","East Germany","102","1","1","1"
"Yes","2018","in school","West Germany","","","",""
"Yes","2018","in school","East Germany","","","",""
"Yes","2018","inadequately","West Germany","","","",""
"Yes","2018","inadequately","East Germany","","","",""
"Yes","2018","general elemantary","West Germany","","","",""
"Yes","2018","general elemantary","East Germany","","","",""
"Yes","2018","middle vocational","West Germany","","","",""
"Yes","2018","middle vocational","East Germany","","","",""
"Yes","2018","vocational + Abi","West Germany","","","",""
"Yes","2018","vocational + Abi","East Germany","","","",""
"Yes","2018","higher vocational","West Germany","","","",""
"Yes","2018","higher vocational","East Germany","","","",""
"Yes","2018","higher education","West Germany","","","",""
"Yes","2018","higher education","East Germany","","","",""
"Yes","2019","in school","West Germany","3","","",""
"Yes","2019","in school","East Germany","2","","",""
"Yes","2019","inadequately","West Germany","56","1","1","1"
"Yes","2019","inadequately","East Germany","5","","",""
"Yes","2019","general elemantary","West Germany","232","1","1","1"
"Yes","2019","general elemantary","East Germany","31","1","1","1"
"Yes","2019","middle vocational","West Germany","833","1","1","1"
"Yes","2019","middle vocational","East Germany","241","1","1","1"
"Yes","2019","vocational + Abi","West Germany","153","1","1","1"
"Yes","2019","vocational + Abi","East Germany","21","","",""
"Yes","2019","higher vocational","West Germany","120","1","1","1"
"Yes","2019","higher vocational","East Germany","28","","",""
"Yes","2019","higher education","West Germany","429","1","1","1"
"Yes","2019","higher education","East Germany","123","1","1","1"
