"year","education","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2009","college entrance qualification","Male","","","","","","","","",""
"2009","lower secondary degree","Female","","","","","","","","",""
"2009","lower secondary degree","Male","","","","","","","","",""
"2009","no degree/no degree yet","Female","","","","","","","","",""
"2009","no degree/no degree yet","Male","","","","","","","","",""
"2009","Other degree","Female","","","","","","","","",""
"2009","Other degree","Male","","","","","","","","",""
"2009","secondary school degree","Female","","","","","","","","",""
"2009","secondary school degree","Male","","","","","","","","",""
"2010","college entrance qualification","Female","6.5","7","2258","6.47","6.53","6","6","7","7"
"2010","college entrance qualification","Male","6.37","7","2407","6.34","6.4","5","6","7","7"
"2010","lower secondary degree","Female","6.36","7","2750","6.32","6.4","5","6","7","7"
"2010","lower secondary degree","Male","6.38","7","2619","6.34","6.42","5","6","7","7"
"2010","no degree/no degree yet","Female","6.37","7","198","6.23","6.51","5","6","7","7"
"2010","no degree/no degree yet","Male","6.36","7","219","6.22","6.5","5","6","7","7"
"2010","Other degree","Female","6.42","7","397","6.32","6.52","5","6","7","7"
"2010","Other degree","Male","6.3","7","320","6.19","6.41","5","6","7","7"
"2010","secondary school degree","Female","6.46","7","2903","6.43","6.49","5","6","7","7"
"2010","secondary school degree","Male","6.4","7","2148","6.36","6.44","5","6","7","7"
"2011","college entrance qualification","Female","","","","","","","","",""
"2011","college entrance qualification","Male","","","","","","","","",""
"2011","lower secondary degree","Female","","","","","","","","",""
"2011","lower secondary degree","Male","","","","","","","","",""
"2011","no degree/no degree yet","Female","","","","","","","","",""
"2011","no degree/no degree yet","Male","","","","","","","","",""
"2011","Other degree","Female","","","","","","","","",""
"2011","Other degree","Male","","","","","","","","",""
"2011","secondary school degree","Female","","","","","","","","",""
"2011","secondary school degree","Male","","","","","","","","",""
"2012","college entrance qualification","Female","","","","","","","","",""
"2012","college entrance qualification","Male","","","","","","","","",""
"2012","lower secondary degree","Female","","","","","","","","",""
"2012","lower secondary degree","Male","","","","","","","","",""
"2012","no degree/no degree yet","Female","","","","","","","","",""
"2012","no degree/no degree yet","Male","","","","","","","","",""
"2012","Other degree","Female","","","","","","","","",""
"2012","Other degree","Male","","","","","","","","",""
"2012","secondary school degree","Female","","","","","","","","",""
"2012","secondary school degree","Male","","","","","","","","",""
"2013","college entrance qualification","Female","","","","","","","","",""
"2013","college entrance qualification","Male","","","","","","","","",""
"2013","lower secondary degree","Female","","","","","","","","",""
"2013","lower secondary degree","Male","","","","","","","","",""
"2013","no degree/no degree yet","Female","","","","","","","","",""
"2013","no degree/no degree yet","Male","","","","","","","","",""
"2013","Other degree","Female","","","","","","","","",""
"2013","Other degree","Male","","","","","","","","",""
"2013","secondary school degree","Female","","","","","","","","",""
"2013","secondary school degree","Male","","","","","","","","",""
"2014","college entrance qualification","Female","","","","","","","","",""
"2014","college entrance qualification","Male","","","","","","","","",""
"2014","lower secondary degree","Female","","","","","","","","",""
"2014","lower secondary degree","Male","","","","","","","","",""
"2014","no degree/no degree yet","Female","","","","","","","","",""
"2014","no degree/no degree yet","Male","","","","","","","","",""
"2014","Other degree","Female","","","","","","","","",""
"2014","Other degree","Male","","","","","","","","",""
"2014","secondary school degree","Female","","","","","","","","",""
"2014","secondary school degree","Male","","","","","","","","",""
"2015","college entrance qualification","Female","6.47","7","3751","6.44","6.5","6","6","7","7"
"2015","college entrance qualification","Male","6.4","7","3463","6.37","6.43","5","6","7","7"
"2015","lower secondary degree","Female","6.37","7","3235","6.34","6.4","5","6","7","7"
"2015","lower secondary degree","Male","6.35","7","3161","6.32","6.38","5","6","7","7"
"2015","no degree/no degree yet","Female","6.34","7","540","6.25","6.43","5","6","7","7"
"2015","no degree/no degree yet","Male","6.2","7","418","6.09","6.31","5","6","7","7"
"2015","Other degree","Female","6.4","7","2167","6.36","6.44","5","6","7","7"
"2015","Other degree","Male","6.18","7","1859","6.13","6.23","5","6","7","7"
"2015","secondary school degree","Female","6.43","7","4266","6.4","6.46","5","6","7","7"
"2015","secondary school degree","Male","6.44","7","2940","6.41","6.47","5","6","7","7"
"2016","college entrance qualification","Female","","","","","","","","",""
"2016","college entrance qualification","Male","","","","","","","","",""
"2016","lower secondary degree","Female","","","","","","","","",""
"2016","lower secondary degree","Male","","","","","","","","",""
"2016","no degree/no degree yet","Female","6.26","7","663","6.19","6.33","4","6","7","7"
"2016","no degree/no degree yet","Male","6.49","7","938","6.44","6.54","5","7","7","7"
"2016","Other degree","Female","6.43","7","849","6.38","6.48","5","6","7","7"
"2016","Other degree","Male","6.74","7","1520","6.71","6.77","6","7","7","7"
"2016","secondary school degree","Female","","","","","","","","",""
"2016","secondary school degree","Male","","","","","","","","",""
"2017","college entrance qualification","Female","","","","","","","","",""
"2017","college entrance qualification","Male","","","","","","","","",""
"2017","lower secondary degree","Female","","","","","","","","",""
"2017","lower secondary degree","Male","","","","","","","","",""
"2017","no degree/no degree yet","Female","6.77","7","568","6.73","6.81","6","7","7","7"
"2017","no degree/no degree yet","Male","6.8","7","683","6.75","6.85","6","7","7","7"
"2017","Other degree","Female","6.81","7","592","6.77","6.85","6","7","7","7"
"2017","Other degree","Male","6.81","7","853","6.77","6.85","6","7","7","7"
"2017","secondary school degree","Female","","","","","","","","",""
"2017","secondary school degree","Male","","","","","","","","",""
"2018","college entrance qualification","Female","","","","","","","","",""
"2018","college entrance qualification","Male","","","","","","","","",""
"2018","lower secondary degree","Female","","","","","","","","",""
"2018","lower secondary degree","Male","","","","","","","","",""
"2018","no degree/no degree yet","Female","6.83","7","99","6.74","6.92","6","7","7","7"
"2018","no degree/no degree yet","Male","6.58","7","76","6.34","6.82","6","7","7","7"
"2018","Other degree","Female","6.83","7","102","6.73","6.93","6","7","7","7"
"2018","Other degree","Male","6.84","7","80","6.74","6.94","6","7","7","7"
"2018","secondary school degree","Female","","","","","","","","",""
"2018","secondary school degree","Male","","","","","","","","",""
"2019","college entrance qualification","Female","","","","","","","","",""
"2019","college entrance qualification","Male","","","","","","","","",""
"2019","lower secondary degree","Female","","","","","","","","",""
"2019","lower secondary degree","Male","","","","","","","","",""
"2019","no degree/no degree yet","Female","6.54","7","73","6.29","6.79","5","7","7","7"
"2019","no degree/no degree yet","Male","6.63","7","67","6.43","6.83","5","7","7","7"
"2019","Other degree","Female","6.85","7","48","6.66","7.04","6","7","7","7"
"2019","Other degree","Male","6.94","7","41","6.81","7.07","7","7","7","7"
"2019","secondary school degree","Female","","","","","","","","",""
"2019","secondary school degree","Male","","","","","","","","",""
