"plb0050","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Yes","2001","Part Time","inadequately","17","","","","1"
"Yes","2001","Part Time","general elemantary","189","0.393784752789336","0.349800036397305","0.437769469181367","1"
"Yes","2001","Part Time","middle vocational","779","0.392966197882164","0.371238217609693","0.414694178154635","1"
"Yes","2001","Part Time","vocational + Abi","90","0.433974979862184","0.366941987945255","0.501007971779113","1"
"Yes","2001","Part Time","higher vocational","118","0.435342537302169","0.375872179894789","0.494812894709549","1"
"Yes","2001","Part Time","higher education","311","0.53421208438187","0.492674219322244","0.575749949441496","1"
"Yes","2001","Not Working","in school","1","","","","1"
"Yes","2001","Not Working","inadequately","1","","","","1"
"Yes","2001","Not Working","general elemantary","5","","","","1"
"Yes","2001","Not Working","middle vocational","30","0.25400592311318","0.171909199573867","0.336102646652493","1"
"Yes","2001","Not Working","vocational + Abi","3","","","","1"
"Yes","2001","Not Working","higher vocational","4","","","","1"
"Yes","2001","Not Working","higher education","9","","","","1"
"No","2002","Not Working","higher education","","","","","2"
"No","2002","Not Working","vocational + Abi","","","","","2"
"No","2002","Not Working","middle vocational","","","","","2"
"No","2002","Not Working","higher vocational","","","","","2"
"No","2002","Not Working","inadequately","","","","","2"
"No","2002","Not Working","general elemantary","","","","","2"
"No","2002","Part Time","higher vocational","","","","","2"
"No","2002","Not Working","in school","","","","","2"
"No","2002","Part Time","higher education","","","","","2"
"No","2002","Part Time","middle vocational","","","","","2"
"No","2002","Part Time","vocational + Abi","","","","","2"
"No","2002","Full Time","in school","","","","","2"
"No","2002","Full Time","general elemantary","","","","","2"
"No","2002","Full Time","middle vocational","","","","","2"
"No","2002","Full Time","higher vocational","","","","","2"
"No","2002","Part Time","in school","","","","","2"
"No","2002","Part Time","inadequately","","","","","2"
"No","2002","Part Time","general elemantary","","","","","2"
"No","2002","Full Time","inadequately","","","","","2"
"No","2002","Full Time","higher education","","","","","2"
"No","2002","Full Time","vocational + Abi","","","","","2"
"Yes","2002","Full Time","in school","","","","","1"
"Yes","2002","Full Time","inadequately","","","","","1"
"Yes","2002","Full Time","general elemantary","","","","","1"
"Yes","2002","Full Time","middle vocational","","","","","1"
"Yes","2002","Full Time","vocational + Abi","","","","","1"
"Yes","2002","Full Time","higher vocational","","","","","1"
"Yes","2002","Full Time","higher education","","","","","1"
"Yes","2002","Part Time","in school","","","","","1"
"Yes","2002","Part Time","inadequately","","","","","1"
"Yes","2002","Part Time","general elemantary","","","","","1"
"Yes","2002","Part Time","middle vocational","","","","","1"
"Yes","2002","Part Time","vocational + Abi","","","","","1"
"Yes","2002","Part Time","higher vocational","","","","","1"
"Yes","2002","Part Time","higher education","","","","","1"
"Yes","2002","Not Working","in school","","","","","1"
"Yes","2002","Not Working","inadequately","","","","","1"
"Yes","2002","Not Working","general elemantary","","","","","1"
"Yes","2002","Not Working","middle vocational","","","","","1"
"Yes","2002","Not Working","vocational + Abi","","","","","1"
"Yes","2002","Not Working","higher vocational","","","","","1"
"Yes","2002","Not Working","higher education","","","","","1"
"No","2003","Not Working","higher education","","","","","2"
"No","2003","Not Working","inadequately","","","","","2"
"No","2003","Not Working","middle vocational","","","","","2"
"No","2003","Not Working","general elemantary","","","","","2"
"No","2003","Not Working","vocational + Abi","","","","","2"
"No","2003","Not Working","higher vocational","","","","","2"
"No","2003","Part Time","vocational + Abi","","","","","2"
"No","2003","Part Time","higher education","","","","","2"
"No","2003","Part Time","middle vocational","","","","","2"
"No","2003","Part Time","higher vocational","","","","","2"
"No","2003","Not Working","in school","","","","","2"
"No","2003","Full Time","in school","","","","","2"
"No","2003","Full Time","inadequately","","","","","2"
"No","2003","Full Time","general elemantary","","","","","2"
"No","2003","Full Time","middle vocational","","","","","2"
"No","2003","Full Time","higher vocational","","","","","2"
"No","2003","Full Time","higher education","","","","","2"
"No","2003","Part Time","in school","","","","","2"
"No","2003","Part Time","inadequately","","","","","2"
"No","2003","Part Time","general elemantary","","","","","2"
"No","2003","Full Time","vocational + Abi","","","","","2"
"Yes","2003","Full Time","in school","","","","","1"
"Yes","2003","Full Time","inadequately","","","","","1"
"Yes","2003","Full Time","general elemantary","","","","","1"
"Yes","2003","Full Time","middle vocational","","","","","1"
"Yes","2003","Full Time","vocational + Abi","","","","","1"
"Yes","2003","Full Time","higher vocational","","","","","1"
"Yes","2003","Full Time","higher education","","","","","1"
"Yes","2003","Part Time","in school","","","","","1"
"Yes","2003","Part Time","inadequately","","","","","1"
"Yes","2003","Part Time","general elemantary","","","","","1"
"Yes","2003","Part Time","middle vocational","","","","","1"
"Yes","2003","Part Time","vocational + Abi","","","","","1"
"Yes","2003","Part Time","higher vocational","","","","","1"
"Yes","2003","Part Time","higher education","","","","","1"
"Yes","2003","Not Working","in school","","","","","1"
"Yes","2003","Not Working","inadequately","","","","","1"
"Yes","2003","Not Working","general elemantary","","","","","1"
"Yes","2003","Not Working","middle vocational","","","","","1"
"Yes","2003","Not Working","vocational + Abi","","","","","1"
"Yes","2003","Not Working","higher vocational","","","","","1"
"Yes","2003","Not Working","higher education","","","","","1"
"No","2004","Not Working","higher education","","","","","2"
"No","2004","Not Working","middle vocational","","","","","2"
"No","2004","Not Working","inadequately","","","","","2"
"No","2004","Not Working","general elemantary","","","","","2"
"No","2004","Not Working","higher vocational","","","","","2"
"No","2004","Not Working","vocational + Abi","","","","","2"
"No","2004","Part Time","middle vocational","","","","","2"
"No","2004","Part Time","vocational + Abi","","","","","2"
"No","2004","Part Time","higher vocational","","","","","2"
"No","2004","Part Time","higher education","","","","","2"
"No","2004","Not Working","in school","","","","","2"
"No","2004","Full Time","in school","","","","","2"
"No","2004","Full Time","inadequately","","","","","2"
"No","2004","Full Time","general elemantary","","","","","2"
"No","2004","Full Time","middle vocational","","","","","2"
"No","2004","Full Time","higher vocational","","","","","2"
"No","2004","Full Time","higher education","","","","","2"
"No","2004","Part Time","in school","","","","","2"
"No","2004","Part Time","inadequately","","","","","2"
"No","2004","Part Time","general elemantary","","","","","2"
"No","2004","Full Time","vocational + Abi","","","","","2"
"Yes","2004","Not Working","general elemantary","","","","","1"
"Yes","2004","Not Working","middle vocational","","","","","1"
"Yes","2004","Not Working","vocational + Abi","","","","","1"
"Yes","2004","Not Working","higher vocational","","","","","1"
"Yes","2004","Not Working","higher education","","","","","1"
"Yes","2004","Full Time","in school","","","","","1"
"Yes","2004","Full Time","inadequately","","","","","1"
"Yes","2004","Full Time","general elemantary","","","","","1"
"Yes","2004","Full Time","middle vocational","","","","","1"
"Yes","2004","Full Time","vocational + Abi","","","","","1"
"Yes","2004","Full Time","higher vocational","","","","","1"
"Yes","2004","Full Time","higher education","","","","","1"
"Yes","2004","Part Time","in school","","","","","1"
"Yes","2004","Part Time","inadequately","","","","","1"
"Yes","2004","Part Time","general elemantary","","","","","1"
"Yes","2004","Part Time","middle vocational","","","","","1"
"Yes","2004","Part Time","vocational + Abi","","","","","1"
"Yes","2004","Part Time","higher vocational","","","","","1"
"Yes","2004","Part Time","higher education","","","","","1"
"Yes","2004","Not Working","in school","","","","","1"
"Yes","2004","Not Working","inadequately","","","","","1"
"No","2005","Not Working","higher education","","","","","2"
"No","2005","Not Working","inadequately","","","","","2"
"No","2005","Not Working","vocational + Abi","","","","","2"
"No","2005","Not Working","general elemantary","","","","","2"
"No","2005","Not Working","middle vocational","","","","","2"
"No","2005","Not Working","higher vocational","","","","","2"
"No","2005","Part Time","vocational + Abi","","","","","2"
"No","2005","Not Working","in school","","","","","2"
"No","2005","Part Time","middle vocational","","","","","2"
"No","2005","Part Time","higher vocational","","","","","2"
"No","2005","Part Time","higher education","","","","","2"
"No","2005","Full Time","higher vocational","","","","","2"
"No","2005","Full Time","higher education","","","","","2"
"No","2005","Part Time","in school","","","","","2"
"No","2005","Part Time","inadequately","","","","","2"
"No","2005","Part Time","general elemantary","","","","","2"
"No","2005","Full Time","in school","","","","","2"
"No","2005","Full Time","inadequately","","","","","2"
"No","2005","Full Time","general elemantary","","","","","2"
"No","2005","Full Time","middle vocational","","","","","2"
"No","2005","Full Time","vocational + Abi","","","","","2"
"Yes","2005","Not Working","general elemantary","","","","","1"
"Yes","2005","Not Working","middle vocational","","","","","1"
"Yes","2005","Not Working","vocational + Abi","","","","","1"
"Yes","2005","Not Working","higher vocational","","","","","1"
"Yes","2005","Not Working","higher education","","","","","1"
"Yes","2005","Full Time","in school","","","","","1"
"Yes","2005","Full Time","inadequately","","","","","1"
"Yes","2005","Full Time","general elemantary","","","","","1"
"Yes","2005","Full Time","middle vocational","","","","","1"
"Yes","2005","Full Time","vocational + Abi","","","","","1"
"Yes","2005","Full Time","higher vocational","","","","","1"
"Yes","2005","Full Time","higher education","","","","","1"
"Yes","2005","Part Time","in school","","","","","1"
"Yes","2005","Part Time","inadequately","","","","","1"
"Yes","2005","Part Time","general elemantary","","","","","1"
"Yes","2005","Part Time","middle vocational","","","","","1"
"Yes","2005","Part Time","vocational + Abi","","","","","1"
"Yes","2005","Part Time","higher vocational","","","","","1"
"Yes","2005","Part Time","higher education","","","","","1"
"Yes","2005","Not Working","in school","","","","","1"
"Yes","2005","Not Working","inadequately","","","","","1"
"No","2006","Not Working","higher education","19","","","","2"
"No","2006","Not Working","inadequately","3","","","","2"
"No","2006","Not Working","middle vocational","78","0.70398545610471","0.616669862725776","0.791301049483643","2"
"No","2006","Not Working","general elemantary","24","","","","2"
"No","2006","Not Working","vocational + Abi","7","","","","2"
"No","2006","Not Working","higher vocational","3","","","","2"
"No","2006","Part Time","vocational + Abi","154","0.557564261564264","0.499388558566592","0.615739964561936","2"
"No","2006","Part Time","higher education","383","0.518530560189831","0.483077203190889","0.553983917188772","2"
"No","2006","Part Time","middle vocational","1202","0.612086858998775","0.590731500470702","0.633442217526848","2"
"No","2006","Part Time","higher vocational","163","0.609410515253482","0.551956094314368","0.666864936192595","2"
"No","2006","Not Working","in school","3","","","","2"
"No","2006","Full Time","higher vocational","369","0.494176375094551","0.459089771185718","0.529262979003384","2"
"No","2006","Full Time","higher education","858","0.368759777284187","0.349360123602806","0.388159430965567","2"
"No","2006","Part Time","in school","30","0.955670751763196","0.885445961373468","1.02589554215292","2"
"No","2006","Part Time","inadequately","15","","","","2"
"No","2006","Part Time","general elemantary","233","0.618710088090379","0.569875497758566","0.667544678422193","2"
"No","2006","Full Time","in school","1","","","","2"
"No","2006","Full Time","inadequately","20","","","","2"
"No","2006","Full Time","general elemantary","242","0.526108346909026","0.481670362994319","0.570546330823732","2"
"No","2006","Full Time","middle vocational","1794","0.453646543572235","0.437838386089175","0.469454701055296","2"
"No","2006","Full Time","vocational + Abi","246","0.471736081259669","0.429670733820702","0.513801428698636","2"
"Yes","2006","Not Working","general elemantary","7","","","","1"
"Yes","2006","Not Working","middle vocational","27","","","","1"
"Yes","2006","Not Working","vocational + Abi","2","","","","1"
"Yes","2006","Not Working","higher vocational","1","","","","1"
"Yes","2006","Not Working","higher education","15","","","","1"
"Yes","2006","Full Time","in school","1","","","","1"
"Yes","2006","Full Time","inadequately","24","","","","1"
"Yes","2006","Full Time","general elemantary","243","0.473891653090974","0.429453669176268","0.518329637005681","1"
"Yes","2006","Full Time","middle vocational","2016","0.546353456427765","0.530545298944704","0.562161613910826","1"
"Yes","2006","Full Time","vocational + Abi","295","0.528263918740331","0.486198571301364","0.570329266179298","1"
"Yes","2006","Full Time","higher vocational","411","0.505823624905449","0.470737020996616","0.540910228814282","1"
"Yes","2006","Full Time","higher education","1518","0.631240222715813","0.611840569034433","0.650639876397194","1"
"Yes","2006","Part Time","in school","3","","","","1"
"Yes","2006","Part Time","inadequately","7","","","","1"
"Yes","2006","Part Time","general elemantary","147","0.381289911909621","0.332455321577807","0.430124502241434","1"
"Yes","2006","Part Time","middle vocational","798","0.387913141001225","0.366557782473152","0.409268499529298","1"
"Yes","2006","Part Time","vocational + Abi","126","0.442435738435736","0.384260035438064","0.500611441433408","1"
"Yes","2006","Part Time","higher vocational","114","0.390589484746518","0.333135063807405","0.448043905685632","1"
"Yes","2006","Part Time","higher education","380","0.481469439810169","0.446016082811228","0.516922796809111","1"
"Yes","2006","Not Working","in school","","","","","1"
"Yes","2006","Not Working","inadequately","","","","","1"
"No","2007","Not Working","higher education","","","","","2"
"No","2007","Not Working","vocational + Abi","","","","","2"
"No","2007","Not Working","middle vocational","","","","","2"
"No","2007","Not Working","higher vocational","","","","","2"
"No","2007","Not Working","inadequately","","","","","2"
"No","2007","Not Working","general elemantary","","","","","2"
"No","2007","Part Time","middle vocational","","","","","2"
"No","2007","Part Time","vocational + Abi","","","","","2"
"No","2007","Part Time","higher vocational","","","","","2"
"No","2007","Part Time","higher education","","","","","2"
"No","2007","Not Working","in school","","","","","2"
"No","2007","Full Time","higher vocational","","","","","2"
"No","2007","Full Time","higher education","","","","","2"
"No","2007","Part Time","in school","","","","","2"
"No","2007","Part Time","inadequately","","","","","2"
"No","2007","Part Time","general elemantary","","","","","2"
"No","2007","Full Time","in school","","","","","2"
"No","2007","Full Time","inadequately","","","","","2"
"No","2007","Full Time","general elemantary","","","","","2"
"No","2007","Full Time","middle vocational","","","","","2"
"No","2007","Full Time","vocational + Abi","","","","","2"
"Yes","2007","Not Working","general elemantary","","","","","1"
"Yes","2007","Not Working","middle vocational","","","","","1"
"Yes","2007","Not Working","vocational + Abi","","","","","1"
"Yes","2007","Not Working","higher vocational","","","","","1"
"Yes","2007","Not Working","higher education","","","","","1"
"Yes","2007","Part Time","vocational + Abi","","","","","1"
"Yes","2007","Part Time","higher vocational","","","","","1"
"Yes","2007","Part Time","higher education","","","","","1"
"Yes","2007","Not Working","in school","","","","","1"
"Yes","2007","Not Working","inadequately","","","","","1"
"Yes","2007","Full Time","in school","","","","","1"
"Yes","2007","Full Time","inadequately","","","","","1"
"Yes","2007","Full Time","general elemantary","","","","","1"
"Yes","2007","Full Time","middle vocational","","","","","1"
"Yes","2007","Full Time","vocational + Abi","","","","","1"
"Yes","2007","Full Time","higher vocational","","","","","1"
"Yes","2007","Full Time","higher education","","","","","1"
"Yes","2007","Part Time","in school","","","","","1"
"Yes","2007","Part Time","inadequately","","","","","1"
"Yes","2007","Part Time","general elemantary","","","","","1"
"Yes","2007","Part Time","middle vocational","","","","","1"
"No","2008","Not Working","higher vocational","","","","","2"
"No","2008","Not Working","higher education","","","","","2"
"No","2008","Not Working","inadequately","","","","","2"
"No","2008","Not Working","vocational + Abi","","","","","2"
"No","2008","Not Working","general elemantary","","","","","2"
"No","2008","Not Working","middle vocational","","","","","2"
"No","2008","Part Time","vocational + Abi","","","","","2"
"No","2008","Not Working","in school","","","","","2"
"No","2008","Part Time","middle vocational","","","","","2"
"No","2008","Part Time","higher vocational","","","","","2"
"No","2008","Part Time","higher education","","","","","2"
"No","2008","Full Time","higher vocational","","","","","2"
"No","2008","Full Time","higher education","","","","","2"
"No","2008","Part Time","in school","","","","","2"
"No","2008","Part Time","inadequately","","","","","2"
"No","2008","Part Time","general elemantary","","","","","2"
"No","2008","Full Time","in school","","","","","2"
"No","2008","Full Time","inadequately","","","","","2"
"No","2008","Full Time","general elemantary","","","","","2"
"No","2008","Full Time","middle vocational","","","","","2"
"No","2008","Full Time","vocational + Abi","","","","","2"
"Yes","2008","Not Working","general elemantary","","","","","1"
"Yes","2008","Not Working","middle vocational","","","","","1"
"Yes","2008","Not Working","vocational + Abi","","","","","1"
"Yes","2008","Not Working","higher vocational","","","","","1"
"Yes","2008","Not Working","higher education","","","","","1"
"Yes","2008","Part Time","vocational + Abi","","","","","1"
"Yes","2008","Part Time","higher vocational","","","","","1"
"Yes","2008","Part Time","higher education","","","","","1"
"Yes","2008","Not Working","in school","","","","","1"
"Yes","2008","Not Working","inadequately","","","","","1"
"Yes","2008","Full Time","general elemantary","","","","","1"
"Yes","2008","Full Time","middle vocational","","","","","1"
"Yes","2008","Full Time","higher vocational","","","","","1"
"Yes","2008","Part Time","in school","","","","","1"
"Yes","2008","Part Time","inadequately","","","","","1"
"Yes","2008","Part Time","middle vocational","","","","","1"
"Yes","2008","Full Time","in school","","","","","1"
"Yes","2008","Full Time","inadequately","","","","","1"
"Yes","2008","Full Time","vocational + Abi","","","","","1"
"Yes","2008","Full Time","higher education","","","","","1"
"Yes","2008","Part Time","general elemantary","","","","","1"
"No","2009","Not Working","general elemantary","","","","","2"
"No","2009","Not Working","vocational + Abi","","","","","2"
"No","2009","Not Working","higher education","","","","","2"
"No","2009","Not Working","middle vocational","","","","","2"
"No","2009","Not Working","higher vocational","","","","","2"
"No","2009","Not Working","inadequately","","","","","2"
"No","2009","Part Time","vocational + Abi","","","","","2"
"No","2009","Part Time","higher vocational","","","","","2"
"No","2009","Not Working","in school","","","","","2"
"No","2009","Part Time","middle vocational","","","","","2"
"No","2009","Part Time","higher education","","","","","2"
"No","2009","Full Time","higher vocational","","","","","2"
"No","2009","Full Time","higher education","","","","","2"
"No","2009","Part Time","in school","","","","","2"
"No","2009","Part Time","inadequately","","","","","2"
"No","2009","Part Time","general elemantary","","","","","2"
"No","2009","Full Time","in school","","","","","2"
"No","2009","Full Time","inadequately","","","","","2"
"No","2009","Full Time","general elemantary","","","","","2"
"No","2009","Full Time","middle vocational","","","","","2"
"No","2009","Full Time","vocational + Abi","","","","","2"
"Yes","2009","Not Working","general elemantary","","","","","1"
"Yes","2009","Not Working","middle vocational","","","","","1"
"Yes","2009","Not Working","vocational + Abi","","","","","1"
"Yes","2009","Not Working","higher vocational","","","","","1"
"Yes","2009","Not Working","higher education","","","","","1"
"Yes","2009","Part Time","vocational + Abi","","","","","1"
"Yes","2009","Part Time","higher vocational","","","","","1"
"Yes","2009","Part Time","higher education","","","","","1"
"Yes","2009","Not Working","in school","","","","","1"
"Yes","2009","Not Working","inadequately","","","","","1"
"Yes","2009","Full Time","in school","","","","","1"
"Yes","2009","Full Time","general elemantary","","","","","1"
"Yes","2009","Full Time","vocational + Abi","","","","","1"
"Yes","2009","Full Time","higher vocational","","","","","1"
"Yes","2009","Part Time","in school","","","","","1"
"Yes","2009","Part Time","general elemantary","","","","","1"
"Yes","2009","Full Time","inadequately","","","","","1"
"Yes","2009","Full Time","middle vocational","","","","","1"
"Yes","2009","Full Time","higher education","","","","","1"
"Yes","2009","Part Time","inadequately","","","","","1"
"Yes","2009","Part Time","middle vocational","","","","","1"
"No","2010","Not Working","inadequately","","","","","2"
"No","2010","Not Working","middle vocational","","","","","2"
"No","2010","Not Working","higher education","","","","","2"
"No","2010","Not Working","general elemantary","","","","","2"
"No","2010","Not Working","vocational + Abi","","","","","2"
"No","2010","Not Working","higher vocational","","","","","2"
"No","2010","Part Time","middle vocational","","","","","2"
"No","2010","Part Time","vocational + Abi","","","","","2"
"No","2010","Part Time","higher vocational","","","","","2"
"No","2010","Part Time","higher education","","","","","2"
"No","2010","Not Working","in school","","","","","2"
"No","2010","Full Time","higher vocational","","","","","2"
"No","2010","Full Time","higher education","","","","","2"
"No","2010","Part Time","in school","","","","","2"
"No","2010","Part Time","inadequately","","","","","2"
"No","2010","Part Time","general elemantary","","","","","2"
"No","2010","Full Time","in school","","","","","2"
"No","2010","Full Time","inadequately","","","","","2"
"No","2010","Full Time","general elemantary","","","","","2"
"No","2010","Full Time","middle vocational","","","","","2"
"No","2010","Full Time","vocational + Abi","","","","","2"
"Yes","2010","Not Working","general elemantary","","","","","1"
"Yes","2010","Not Working","middle vocational","","","","","1"
"Yes","2010","Not Working","vocational + Abi","","","","","1"
"Yes","2010","Not Working","higher vocational","","","","","1"
"Yes","2010","Not Working","higher education","","","","","1"
"Yes","2010","Part Time","vocational + Abi","","","","","1"
"Yes","2010","Part Time","higher vocational","","","","","1"
"Yes","2010","Part Time","higher education","","","","","1"
"Yes","2010","Not Working","in school","","","","","1"
"Yes","2010","Not Working","inadequately","","","","","1"
"Yes","2010","Full Time","higher education","","","","","1"
"Yes","2010","Part Time","in school","","","","","1"
"Yes","2010","Part Time","inadequately","","","","","1"
"Yes","2010","Part Time","general elemantary","","","","","1"
"Yes","2010","Part Time","middle vocational","","","","","1"
"Yes","2010","Full Time","inadequately","","","","","1"
"Yes","2010","Full Time","general elemantary","","","","","1"
"Yes","2010","Full Time","vocational + Abi","","","","","1"
"Yes","2010","Full Time","in school","","","","","1"
"Yes","2010","Full Time","middle vocational","","","","","1"
"Yes","2010","Full Time","higher vocational","","","","","1"
"No","2011","Part Time","middle vocational","1117","0.572170489715034","0.550165479504939","0.59417549992513","2"
"No","2011","Part Time","higher vocational","130","0.666493921494216","0.605826704629154","0.727161138359279","2"
"No","2011","Not Working","in school","3","","","","2"
"No","2011","Not Working","middle vocational","41","0.44540036228884","0.329793399819366","0.561007324758313","2"
"No","2011","Not Working","higher vocational","2","","","","2"
"No","2011","Part Time","vocational + Abi","165","0.553657146460161","0.496833490314786","0.610480802605537","2"
"No","2011","Part Time","higher education","335","0.457591941252004","0.421889366060439","0.493294516443569","2"
"No","2011","Not Working","inadequately","3","","","","2"
"No","2011","Not Working","general elemantary","18","","","","2"
"No","2011","Not Working","vocational + Abi","7","","","","2"
"No","2011","Not Working","higher education","16","","","","2"
"No","2011","Full Time","higher vocational","287","0.442989158758209","0.404504603062356","0.481473714454063","2"
"No","2011","Full Time","higher education","743","0.338957932248374","0.319014178059625","0.358901686437123","2"
"No","2011","Part Time","in school","14","","","","2"
"No","2011","Part Time","inadequately","22","","","","2"
"No","2011","Part Time","general elemantary","187","0.581439662716369","0.526523699293163","0.636355626139575","2"
"No","2011","Full Time","in school","3","","","","2"
"No","2011","Full Time","inadequately","17","","","","2"
"No","2011","Full Time","general elemantary","205","0.459873849421173","0.41243522119989","0.507312477642456","2"
"No","2011","Full Time","middle vocational","1584","0.46032181363474","0.443648980667887","0.476994646601593","2"
"No","2011","Full Time","vocational + Abi","206","0.364258237898949","0.323366333506842","0.405150142291056","2"
"Yes","2011","Not Working","general elemantary","8","","","","1"
"Yes","2011","Not Working","middle vocational","30","0.55459963771116","0.438992675241687","0.670206600180634","1"
"Yes","2011","Not Working","vocational + Abi","3","","","","1"
"Yes","2011","Not Working","higher vocational","3","","","","1"
"Yes","2011","Not Working","higher education","17","","","","1"
"Yes","2011","Part Time","vocational + Abi","129","0.446342853539839","0.389519197394463","0.503166509685214","1"
"Yes","2011","Part Time","higher vocational","102","0.333506078505784","0.272838861640722","0.394173295370847","1"
"Yes","2011","Part Time","higher education","413","0.542408058747996","0.506705483556431","0.578110633939561","1"
"Yes","2011","Not Working","in school","","","","","1"
"Yes","2011","Not Working","inadequately","","","","","1"
"Yes","2011","Part Time","in school","10","","","","1"
"Yes","2011","Part Time","middle vocational","825","0.427829510284966","0.40582450007487","0.449834520495062","1"
"Yes","2011","Full Time","higher education","1421","0.661042067751626","0.641098313562877","0.680985821940375","1"
"Yes","2011","Part Time","inadequately","13","","","","1"
"Yes","2011","Part Time","general elemantary","123","0.418560337283631","0.363644373860425","0.473476300706837","1"
"Yes","2011","Full Time","higher vocational","353","0.557010841241791","0.518526285545937","0.595495396937644","1"
"Yes","2011","Full Time","inadequately","14","","","","1"
"Yes","2011","Full Time","middle vocational","1849","0.53967818636526","0.523005353398407","0.556351019332113","1"
"Yes","2011","Full Time","in school","2","","","","1"
"Yes","2011","Full Time","general elemantary","219","0.540126150578827","0.492687522357544","0.58756477880011","1"
"Yes","2011","Full Time","vocational + Abi","326","0.635741762101051","0.594849857708944","0.676633666493158","1"
"No","2012","Part Time","vocational + Abi","","","","","2"
"No","2012","Not Working","in school","","","","","2"
"No","2012","Not Working","general elemantary","","","","","2"
"No","2012","Not Working","higher vocational","","","","","2"
"No","2012","Not Working","higher education","","","","","2"
"No","2012","Part Time","middle vocational","","","","","2"
"No","2012","Part Time","higher vocational","","","","","2"
"No","2012","Part Time","higher education","","","","","2"
"No","2012","Not Working","inadequately","","","","","2"
"No","2012","Not Working","middle vocational","","","","","2"
"No","2012","Not Working","vocational + Abi","","","","","2"
"No","2012","Full Time","higher vocational","","","","","2"
"No","2012","Full Time","higher education","","","","","2"
"No","2012","Part Time","in school","","","","","2"
"No","2012","Part Time","inadequately","","","","","2"
"No","2012","Part Time","general elemantary","","","","","2"
"No","2012","Full Time","in school","","","","","2"
"No","2012","Full Time","inadequately","","","","","2"
"No","2012","Full Time","general elemantary","","","","","2"
"No","2012","Full Time","middle vocational","","","","","2"
"No","2012","Full Time","vocational + Abi","","","","","2"
"Yes","2012","Not Working","general elemantary","","","","","1"
"Yes","2012","Not Working","middle vocational","","","","","1"
"Yes","2012","Not Working","vocational + Abi","","","","","1"
"Yes","2012","Not Working","higher vocational","","","","","1"
"Yes","2012","Not Working","higher education","","","","","1"
"Yes","2012","Part Time","vocational + Abi","","","","","1"
"Yes","2012","Part Time","higher vocational","","","","","1"
"Yes","2012","Part Time","higher education","","","","","1"
"Yes","2012","Not Working","in school","","","","","1"
"Yes","2012","Not Working","inadequately","","","","","1"
"Yes","2012","Part Time","in school","","","","","1"
"Yes","2012","Part Time","inadequately","","","","","1"
"Yes","2012","Part Time","middle vocational","","","","","1"
"Yes","2012","Full Time","higher education","","","","","1"
"Yes","2012","Part Time","general elemantary","","","","","1"
"Yes","2012","Full Time","middle vocational","","","","","1"
"Yes","2012","Full Time","vocational + Abi","","","","","1"
"Yes","2012","Full Time","general elemantary","","","","","1"
"Yes","2012","Full Time","higher vocational","","","","","1"
"Yes","2012","Full Time","in school","","","","","1"
"Yes","2012","Full Time","inadequately","","","","","1"
"No","2013","Part Time","middle vocational","","","","","2"
