"plb0050","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Single parent ","middle vocational","197","0.54295763441235","0.491852697057492","0.594062571767208","2"
"No","2001","Single parent ","vocational + Abi","7","","","","2"
"No","2001","Single parent ","higher vocational","21","","","","2"
"No","2001","Single parent ","higher education","43","0.400120966751803","0.30361415019694","0.496627783306666","2"
"No","2001","Couple + C. LE 16 ","in school","","","","","2"
"No","2001","Couple + C. LE 16 ","inadequately","15","","","","2"
"No","2001","Couple + C. LE 16 ","general elemantary","100","0.454506740163769","0.386839060930954","0.522174419396584","2"
"No","2001","Couple + C. LE 16 ","middle vocational","988","0.519833360482205","0.497321282205101","0.542345438759309","2"
"No","2001","Couple + C. LE 16 ","vocational + Abi","124","0.568554163258308","0.503255992165563","0.633852334351053","2"
"No","2001","Couple + C. LE 16 ","higher vocational","191","0.510135998711595","0.460395174567576","0.559876822855614","2"
"No","2001","Couple + C. LE 16 ","higher education","289","0.392864866121976","0.35777142933739","0.427958302906562","2"
"Yes","2001","1-pers.-HH","in school","","","","","1"
"Yes","2001","1-pers.-HH","inadequately","2","","","","1"
"Yes","2001","1-pers.-HH","general elemantary","41","0.52388531407981","0.419538148694575","0.628232479465044","1"
"Yes","2001","1-pers.-HH","middle vocational","377","0.500846971933056","0.465181826734067","0.536512117132045","1"
"Yes","2001","1-pers.-HH","vocational + Abi","59","0.601793944436704","0.506324314124491","0.697263574748917","1"
"Yes","2001","1-pers.-HH","higher vocational","66","0.496784774332908","0.411490053839406","0.58207949482641","1"
"Yes","2001","1-pers.-HH","higher education","195","0.555162363165796","0.502026318579487","0.608298407752105","1"
"Yes","2001","(Married) couple without C. ","in school","1","","","","1"
"Yes","2001","(Married) couple without C. ","inadequately","13","","","","1"
"Yes","2001","(Married) couple without C. ","general elemantary","107","0.455579738065504","0.38991967514875","0.521239800982259","1"
"Yes","2001","(Married) couple without C. ","middle vocational","838","0.509075524417453","0.48491737900882","0.533233669826085","1"
"Yes","2001","(Married) couple without C. ","vocational + Abi","113","0.538344910725035","0.469080415674118","0.607609405775952","1"
"Yes","2001","(Married) couple without C. ","higher vocational","155","0.552815124068007","0.494050595604093","0.611579652531921","1"
"Yes","2001","(Married) couple without C. ","higher education","425","0.589360610273612","0.553301423644772","0.625419796902452","1"
"Yes","2001","Single parent ","in school","1","","","","1"
"Yes","2001","Single parent ","inadequately","4","","","","1"
"Yes","2001","Single parent ","general elemantary","45","0.425772772263944","0.33208411052558","0.519461434002307","1"
"Yes","2001","Single parent ","middle vocational","168","0.45704236558765","0.405937428232792","0.508147302942508","1"
"Yes","2001","Single parent ","vocational + Abi","19","","","","1"
"Yes","2001","Single parent ","higher vocational","21","","","","1"
"Yes","2001","Single parent ","higher education","56","0.599879033248197","0.503372216693334","0.69638584980306","1"
"Yes","2001","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2001","Couple + C. LE 16 ","inadequately","9","","","","1"
"Yes","2001","Couple + C. LE 16 ","general elemantary","108","0.545493259836231","0.477825580603416","0.613160939069046","1"
"Yes","2001","Couple + C. LE 16 ","middle vocational","904","0.480166639517795","0.457654561240691","0.502678717794899","1"
"Yes","2001","Couple + C. LE 16 ","vocational + Abi","97","0.431445836741692","0.366147665648947","0.496744007834437","1"
"Yes","2001","Couple + C. LE 16 ","higher vocational","197","0.489864001288405","0.440123177144386","0.539604825432424","1"
"Yes","2001","Couple + C. LE 16 ","higher education","455","0.607135133878024","0.572041697093438","0.64222857066261","1"
"Yes","2001","Couple + C. GT 16 ","in school","8","","","","1"
"Yes","2001","Couple + C. GT 16 ","inadequately","16","","","","1"
"Yes","2001","Couple + C. GT 16 ","general elemantary","145","0.401853379643728","0.349968756076521","0.453738003210934","1"
"Yes","2001","Couple + C. GT 16 ","middle vocational","619","0.518816913851817","0.490710787955625","0.54692303974801","1"
"Yes","2001","Couple + C. GT 16 ","vocational + Abi","53","0.588250170240747","0.48928462236194","0.687215718119554","1"
"Yes","2001","Couple + C. GT 16 ","higher vocational","76","0.528971662208004","0.451868023436081","0.606075300979927","1"
"Yes","2001","Couple + C. GT 16 ","higher education","257","0.60005940979956","0.55298376334815","0.64713505625097","1"
"Yes","2001","Couple + C. LE and GT 16","in school","3","","","","1"
"Yes","2001","Couple + C. LE and GT 16","inadequately","6","","","","1"
"Yes","2001","Couple + C. LE and GT 16","general elemantary","104","0.447255798836045","0.383954298200539","0.51055729947155","1"
"Yes","2001","Couple + C. LE and GT 16","middle vocational","248","0.437875393472281","0.396857674823806","0.478893112120755","1"
"Yes","2001","Couple + C. LE and GT 16","vocational + Abi","24","","","","1"
"Yes","2001","Couple + C. LE and GT 16","higher vocational","52","0.564062493314039","0.4663823646287","0.661742621999378","1"
"Yes","2001","Couple + C. LE and GT 16","higher education","113","0.607520079569332","0.537533248831883","0.67750691030678","1"
"No","2002","1-pers.-HH","inadequately","","","","","2"
"No","2002","Couple + C. GT 16 ","higher vocational","","","","","2"
"No","2002","Couple + C. GT 16 ","vocational + Abi","","","","","2"
"No","2002","Couple + C. LE and GT 16","middle vocational","","","","","2"
"No","2002","Couple + C. GT 16 ","in school","","","","","2"
"No","2002","Couple + C. GT 16 ","inadequately","","","","","2"
"No","2002","Couple + C. GT 16 ","general elemantary","","","","","2"
"No","2002","(Married) couple without C. ","vocational + Abi","","","","","2"
"No","2002","Couple + C. LE and GT 16","vocational + Abi","","","","","2"
"No","2002","Couple + C. LE and GT 16","higher education","","","","","2"
"No","2002","1-pers.-HH","general elemantary","","","","","2"
"No","2002","Couple + C. GT 16 ","middle vocational","","","","","2"
"No","2002","Couple + C. LE and GT 16","higher vocational","","","","","2"
"No","2002","1-pers.-HH","middle vocational","","","","","2"
"No","2002","1-pers.-HH","vocational + Abi","","","","","2"
"No","2002","1-pers.-HH","higher vocational","","","","","2"
"No","2002","(Married) couple without C. ","higher vocational","","","","","2"
"No","2002","(Married) couple without C. ","higher education","","","","","2"
"No","2002","1-pers.-HH","in school","","","","","2"
"No","2002","Single parent ","higher vocational","","","","","2"
"No","2002","Single parent ","higher education","","","","","2"
"No","2002","Couple + C. LE 16 ","in school","","","","","2"
"No","2002","Couple + C. LE 16 ","inadequately","","","","","2"
"No","2002","Couple + C. LE 16 ","general elemantary","","","","","2"
"No","2002","Couple + C. LE 16 ","middle vocational","","","","","2"
"No","2002","Couple + C. LE 16 ","vocational + Abi","","","","","2"
"No","2002","Couple + C. LE 16 ","higher vocational","","","","","2"
"No","2002","Couple + C. LE 16 ","higher education","","","","","2"
"No","2002","Couple + C. GT 16 ","higher education","","","","","2"
"No","2002","Couple + C. LE and GT 16","in school","","","","","2"
"No","2002","Couple + C. LE and GT 16","inadequately","","","","","2"
"No","2002","Couple + C. LE and GT 16","general elemantary","","","","","2"
"No","2002","(Married) couple without C. ","middle vocational","","","","","2"
"No","2002","1-pers.-HH","higher education","","","","","2"
"No","2002","(Married) couple without C. ","in school","","","","","2"
"No","2002","(Married) couple without C. ","inadequately","","","","","2"
"No","2002","(Married) couple without C. ","general elemantary","","","","","2"
"No","2002","Single parent ","in school","","","","","2"
"No","2002","Single parent ","inadequately","","","","","2"
"No","2002","Single parent ","general elemantary","","","","","2"
"No","2002","Single parent ","middle vocational","","","","","2"
"No","2002","Single parent ","vocational + Abi","","","","","2"
"Yes","2002","1-pers.-HH","in school","","","","","1"
"Yes","2002","1-pers.-HH","inadequately","","","","","1"
"Yes","2002","1-pers.-HH","general elemantary","","","","","1"
"Yes","2002","1-pers.-HH","middle vocational","","","","","1"
"Yes","2002","1-pers.-HH","vocational + Abi","","","","","1"
"Yes","2002","1-pers.-HH","higher vocational","","","","","1"
"Yes","2002","1-pers.-HH","higher education","","","","","1"
"Yes","2002","(Married) couple without C. ","in school","","","","","1"
"Yes","2002","(Married) couple without C. ","inadequately","","","","","1"
"Yes","2002","(Married) couple without C. ","general elemantary","","","","","1"
"Yes","2002","(Married) couple without C. ","middle vocational","","","","","1"
"Yes","2002","(Married) couple without C. ","vocational + Abi","","","","","1"
"Yes","2002","(Married) couple without C. ","higher vocational","","","","","1"
"Yes","2002","(Married) couple without C. ","higher education","","","","","1"
"Yes","2002","Single parent ","in school","","","","","1"
"Yes","2002","Single parent ","inadequately","","","","","1"
"Yes","2002","Single parent ","general elemantary","","","","","1"
"Yes","2002","Single parent ","middle vocational","","","","","1"
"Yes","2002","Single parent ","vocational + Abi","","","","","1"
"Yes","2002","Single parent ","higher vocational","","","","","1"
"Yes","2002","Single parent ","higher education","","","","","1"
"Yes","2002","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2002","Couple + C. LE 16 ","inadequately","","","","","1"
"Yes","2002","Couple + C. LE 16 ","general elemantary","","","","","1"
"Yes","2002","Couple + C. LE 16 ","middle vocational","","","","","1"
"Yes","2002","Couple + C. LE 16 ","vocational + Abi","","","","","1"
"Yes","2002","Couple + C. LE 16 ","higher vocational","","","","","1"
"Yes","2002","Couple + C. LE 16 ","higher education","","","","","1"
"Yes","2002","Couple + C. GT 16 ","in school","","","","","1"
"Yes","2002","Couple + C. GT 16 ","inadequately","","","","","1"
"Yes","2002","Couple + C. GT 16 ","general elemantary","","","","","1"
"Yes","2002","Couple + C. GT 16 ","middle vocational","","","","","1"
"Yes","2002","Couple + C. GT 16 ","vocational + Abi","","","","","1"
"Yes","2002","Couple + C. GT 16 ","higher vocational","","","","","1"
"Yes","2002","Couple + C. GT 16 ","higher education","","","","","1"
"Yes","2002","Couple + C. LE and GT 16","in school","","","","","1"
"Yes","2002","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2002","Couple + C. LE and GT 16","general elemantary","","","","","1"
"Yes","2002","Couple + C. LE and GT 16","middle vocational","","","","","1"
"Yes","2002","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"Yes","2002","Couple + C. LE and GT 16","higher vocational","","","","","1"
"Yes","2002","Couple + C. LE and GT 16","higher education","","","","","1"
"No","2003","1-pers.-HH","inadequately","","","","","2"
"No","2003","1-pers.-HH","general elemantary","","","","","2"
"No","2003","(Married) couple without C. ","higher vocational","","","","","2"
"No","2003","(Married) couple without C. ","higher education","","","","","2"
"No","2003","(Married) couple without C. ","vocational + Abi","","","","","2"
"No","2003","Couple + C. GT 16 ","in school","","","","","2"
"No","2003","Couple + C. GT 16 ","inadequately","","","","","2"
"No","2003","Couple + C. GT 16 ","general elemantary","","","","","2"
"No","2003","Couple + C. GT 16 ","middle vocational","","","","","2"
"No","2003","Couple + C. GT 16 ","vocational + Abi","","","","","2"
"No","2003","Couple + C. GT 16 ","higher vocational","","","","","2"
"No","2003","Couple + C. LE and GT 16","higher education","","","","","2"
"No","2003","1-pers.-HH","middle vocational","","","","","2"
"No","2003","1-pers.-HH","vocational + Abi","","","","","2"
"No","2003","Couple + C. LE and GT 16","middle vocational","","","","","2"
"No","2003","Couple + C. LE and GT 16","vocational + Abi","","","","","2"
"No","2003","Couple + C. LE and GT 16","higher vocational","","","","","2"
"No","2003","1-pers.-HH","in school","","","","","2"
"No","2003","1-pers.-HH","higher vocational","","","","","2"
"No","2003","(Married) couple without C. ","middle vocational","","","","","2"
"No","2003","Single parent ","higher vocational","","","","","2"
"No","2003","Single parent ","higher education","","","","","2"
"No","2003","Couple + C. LE 16 ","in school","","","","","2"
"No","2003","Couple + C. LE 16 ","inadequately","","","","","2"
"No","2003","Couple + C. LE 16 ","general elemantary","","","","","2"
"No","2003","Couple + C. LE 16 ","middle vocational","","","","","2"
"No","2003","Couple + C. LE 16 ","vocational + Abi","","","","","2"
"No","2003","Couple + C. LE 16 ","higher vocational","","","","","2"
"No","2003","Couple + C. LE 16 ","higher education","","","","","2"
"No","2003","Couple + C. GT 16 ","higher education","","","","","2"
"No","2003","Couple + C. LE and GT 16","in school","","","","","2"
"No","2003","Couple + C. LE and GT 16","inadequately","","","","","2"
"No","2003","Couple + C. LE and GT 16","general elemantary","","","","","2"
"No","2003","1-pers.-HH","higher education","","","","","2"
"No","2003","(Married) couple without C. ","in school","","","","","2"
"No","2003","(Married) couple without C. ","inadequately","","","","","2"
"No","2003","(Married) couple without C. ","general elemantary","","","","","2"
"No","2003","Single parent ","in school","","","","","2"
"No","2003","Single parent ","inadequately","","","","","2"
"No","2003","Single parent ","general elemantary","","","","","2"
"No","2003","Single parent ","middle vocational","","","","","2"
"No","2003","Single parent ","vocational + Abi","","","","","2"
"Yes","2003","1-pers.-HH","in school","","","","","1"
"Yes","2003","1-pers.-HH","inadequately","","","","","1"
"Yes","2003","1-pers.-HH","general elemantary","","","","","1"
"Yes","2003","1-pers.-HH","middle vocational","","","","","1"
"Yes","2003","1-pers.-HH","vocational + Abi","","","","","1"
"Yes","2003","1-pers.-HH","higher vocational","","","","","1"
"Yes","2003","1-pers.-HH","higher education","","","","","1"
"Yes","2003","(Married) couple without C. ","in school","","","","","1"
"Yes","2003","(Married) couple without C. ","inadequately","","","","","1"
"Yes","2003","(Married) couple without C. ","general elemantary","","","","","1"
"Yes","2003","(Married) couple without C. ","middle vocational","","","","","1"
"Yes","2003","(Married) couple without C. ","vocational + Abi","","","","","1"
"Yes","2003","(Married) couple without C. ","higher vocational","","","","","1"
"Yes","2003","(Married) couple without C. ","higher education","","","","","1"
"Yes","2003","Single parent ","in school","","","","","1"
"Yes","2003","Single parent ","inadequately","","","","","1"
"Yes","2003","Single parent ","general elemantary","","","","","1"
"Yes","2003","Single parent ","middle vocational","","","","","1"
"Yes","2003","Single parent ","vocational + Abi","","","","","1"
"Yes","2003","Single parent ","higher vocational","","","","","1"
"Yes","2003","Single parent ","higher education","","","","","1"
"Yes","2003","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2003","Couple + C. LE 16 ","inadequately","","","","","1"
"Yes","2003","Couple + C. LE 16 ","general elemantary","","","","","1"
"Yes","2003","Couple + C. LE 16 ","middle vocational","","","","","1"
"Yes","2003","Couple + C. LE 16 ","vocational + Abi","","","","","1"
"Yes","2003","Couple + C. LE 16 ","higher vocational","","","","","1"
"Yes","2003","Couple + C. LE 16 ","higher education","","","","","1"
"Yes","2003","Couple + C. GT 16 ","in school","","","","","1"
"Yes","2003","Couple + C. GT 16 ","inadequately","","","","","1"
"Yes","2003","Couple + C. GT 16 ","general elemantary","","","","","1"
"Yes","2003","Couple + C. GT 16 ","middle vocational","","","","","1"
"Yes","2003","Couple + C. GT 16 ","vocational + Abi","","","","","1"
"Yes","2003","Couple + C. GT 16 ","higher vocational","","","","","1"
"Yes","2003","Couple + C. GT 16 ","higher education","","","","","1"
"Yes","2003","Couple + C. LE and GT 16","in school","","","","","1"
"Yes","2003","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2003","Couple + C. LE and GT 16","general elemantary","","","","","1"
"Yes","2003","Couple + C. LE and GT 16","middle vocational","","","","","1"
"Yes","2003","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"Yes","2003","Couple + C. LE and GT 16","higher vocational","","","","","1"
"Yes","2003","Couple + C. LE and GT 16","higher education","","","","","1"
"No","2004","(Married) couple without C. ","middle vocational","","","","","2"
"No","2004","Couple + C. GT 16 ","in school","","","","","2"
"No","2004","Couple + C. GT 16 ","inadequately","","","","","2"
"No","2004","1-pers.-HH","inadequately","","","","","2"
"No","2004","Couple + C. GT 16 ","general elemantary","","","","","2"
"No","2004","(Married) couple without C. ","vocational + Abi","","","","","2"
"No","2004","(Married) couple without C. ","higher vocational","","","","","2"
"No","2004","(Married) couple without C. ","higher education","","","","","2"
"No","2004","Couple + C. GT 16 ","middle vocational","","","","","2"
"No","2004","Couple + C. GT 16 ","vocational + Abi","","","","","2"
"No","2004","1-pers.-HH","general elemantary","","","","","2"
"No","2004","1-pers.-HH","middle vocational","","","","","2"
"No","2004","1-pers.-HH","vocational + Abi","","","","","2"
"No","2004","1-pers.-HH","in school","","","","","2"
"No","2004","(Married) couple without C. ","in school","","","","","2"
"No","2004","(Married) couple without C. ","inadequately","","","","","2"
"No","2004","(Married) couple without C. ","general elemantary","","","","","2"
"No","2004","Couple + C. GT 16 ","higher vocational","","","","","2"
"No","2004","Couple + C. LE and GT 16","middle vocational","","","","","2"
"No","2004","Couple + C. LE and GT 16","vocational + Abi","","","","","2"
"No","2004","Couple + C. LE and GT 16","higher vocational","","","","","2"
"No","2004","Couple + C. LE and GT 16","higher education","","","","","2"
"No","2004","1-pers.-HH","higher vocational","","","","","2"
"No","2004","1-pers.-HH","higher education","","","","","2"
"No","2004","Single parent ","in school","","","","","2"
"No","2004","Single parent ","inadequately","","","","","2"
"No","2004","Single parent ","general elemantary","","","","","2"
"No","2004","Single parent ","middle vocational","","","","","2"
"No","2004","Single parent ","vocational + Abi","","","","","2"
"No","2004","Single parent ","higher vocational","","","","","2"
"No","2004","Single parent ","higher education","","","","","2"
"No","2004","Couple + C. LE 16 ","in school","","","","","2"
"No","2004","Couple + C. LE 16 ","inadequately","","","","","2"
"No","2004","Couple + C. LE 16 ","general elemantary","","","","","2"
"No","2004","Couple + C. LE 16 ","middle vocational","","","","","2"
"No","2004","Couple + C. LE 16 ","vocational + Abi","","","","","2"
"No","2004","Couple + C. LE 16 ","higher vocational","","","","","2"
"No","2004","Couple + C. LE 16 ","higher education","","","","","2"
"No","2004","Couple + C. GT 16 ","higher education","","","","","2"
"No","2004","Couple + C. LE and GT 16","in school","","","","","2"
"No","2004","Couple + C. LE and GT 16","inadequately","","","","","2"
"No","2004","Couple + C. LE and GT 16","general elemantary","","","","","2"
"Yes","2004","1-pers.-HH","in school","","","","","1"
"Yes","2004","1-pers.-HH","inadequately","","","","","1"
"Yes","2004","1-pers.-HH","general elemantary","","","","","1"
"Yes","2004","1-pers.-HH","middle vocational","","","","","1"
"Yes","2004","1-pers.-HH","vocational + Abi","","","","","1"
"Yes","2004","1-pers.-HH","higher vocational","","","","","1"
"Yes","2004","1-pers.-HH","higher education","","","","","1"
"Yes","2004","(Married) couple without C. ","in school","","","","","1"
"Yes","2004","(Married) couple without C. ","inadequately","","","","","1"
"Yes","2004","(Married) couple without C. ","general elemantary","","","","","1"
"Yes","2004","(Married) couple without C. ","middle vocational","","","","","1"
"Yes","2004","(Married) couple without C. ","vocational + Abi","","","","","1"
"Yes","2004","(Married) couple without C. ","higher vocational","","","","","1"
"Yes","2004","(Married) couple without C. ","higher education","","","","","1"
"Yes","2004","Single parent ","in school","","","","","1"
"Yes","2004","Single parent ","inadequately","","","","","1"
"Yes","2004","Single parent ","general elemantary","","","","","1"
"Yes","2004","Single parent ","middle vocational","","","","","1"
"Yes","2004","Single parent ","vocational + Abi","","","","","1"
"Yes","2004","Single parent ","higher vocational","","","","","1"
"Yes","2004","Single parent ","higher education","","","","","1"
"Yes","2004","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2004","Couple + C. LE 16 ","inadequately","","","","","1"
"Yes","2004","Couple + C. LE 16 ","general elemantary","","","","","1"
"Yes","2004","Couple + C. LE 16 ","middle vocational","","","","","1"
"Yes","2004","Couple + C. LE 16 ","vocational + Abi","","","","","1"
"Yes","2004","Couple + C. LE 16 ","higher vocational","","","","","1"
"Yes","2004","Couple + C. LE 16 ","higher education","","","","","1"
"Yes","2004","Couple + C. GT 16 ","in school","","","","","1"
"Yes","2004","Couple + C. GT 16 ","inadequately","","","","","1"
"Yes","2004","Couple + C. GT 16 ","general elemantary","","","","","1"
"Yes","2004","Couple + C. GT 16 ","middle vocational","","","","","1"
"Yes","2004","Couple + C. GT 16 ","vocational + Abi","","","","","1"
"Yes","2004","Couple + C. GT 16 ","higher vocational","","","","","1"
"Yes","2004","Couple + C. GT 16 ","higher education","","","","","1"
"Yes","2004","Couple + C. LE and GT 16","in school","","","","","1"
"Yes","2004","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2004","Couple + C. LE and GT 16","general elemantary","","","","","1"
"Yes","2004","Couple + C. LE and GT 16","middle vocational","","","","","1"
"Yes","2004","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"Yes","2004","Couple + C. LE and GT 16","higher vocational","","","","","1"
"Yes","2004","Couple + C. LE and GT 16","higher education","","","","","1"
"No","2005","(Married) couple without C. ","middle vocational","","","","","2"
"No","2005","(Married) couple without C. ","vocational + Abi","","","","","2"
"No","2005","(Married) couple without C. ","higher vocational","","","","","2"
"No","2005","(Married) couple without C. ","higher education","","","","","2"
"No","2005","1-pers.-HH","vocational + Abi","","","","","2"
"No","2005","1-pers.-HH","higher vocational","","","","","2"
"No","2005","1-pers.-HH","higher education","","","","","2"
"No","2005","(Married) couple without C. ","in school","","","","","2"
"No","2005","(Married) couple without C. ","inadequately","","","","","2"
"No","2005","(Married) couple without C. ","general elemantary","","","","","2"
"No","2005","Couple + C. GT 16 ","in school","","","","","2"
"No","2005","Couple + C. GT 16 ","inadequately","","","","","2"
"No","2005","Couple + C. GT 16 ","general elemantary","","","","","2"
"No","2005","Couple + C. LE and GT 16","middle vocational","","","","","2"
"No","2005","Couple + C. LE and GT 16","vocational + Abi","","","","","2"
"No","2005","1-pers.-HH","inadequately","","","","","2"
"No","2005","1-pers.-HH","general elemantary","","","","","2"
"No","2005","1-pers.-HH","middle vocational","","","","","2"
"No","2005","Couple + C. GT 16 ","middle vocational","","","","","2"
"No","2005","Couple + C. GT 16 ","vocational + Abi","","","","","2"
"No","2005","Couple + C. LE and GT 16","higher vocational","","","","","2"
"No","2005","Couple + C. LE and GT 16","higher education","","","","","2"
"No","2005","1-pers.-HH","in school","","","","","2"
"No","2005","Couple + C. GT 16 ","higher vocational","","","","","2"
"No","2005","Couple + C. GT 16 ","higher education","","","","","2"
"No","2005","Couple + C. LE and GT 16","in school","","","","","2"
"No","2005","Couple + C. LE and GT 16","inadequately","","","","","2"
"No","2005","Couple + C. LE and GT 16","general elemantary","","","","","2"
"No","2005","Single parent ","in school","","","","","2"
"No","2005","Single parent ","inadequately","","","","","2"
"No","2005","Single parent ","general elemantary","","","","","2"
"No","2005","Single parent ","middle vocational","","","","","2"
"No","2005","Single parent ","vocational + Abi","","","","","2"
"No","2005","Single parent ","higher vocational","","","","","2"
"No","2005","Single parent ","higher education","","","","","2"
"No","2005","Couple + C. LE 16 ","in school","","","","","2"
"No","2005","Couple + C. LE 16 ","inadequately","","","","","2"
"No","2005","Couple + C. LE 16 ","general elemantary","","","","","2"
"No","2005","Couple + C. LE 16 ","middle vocational","","","","","2"
"No","2005","Couple + C. LE 16 ","vocational + Abi","","","","","2"
"No","2005","Couple + C. LE 16 ","higher vocational","","","","","2"
"No","2005","Couple + C. LE 16 ","higher education","","","","","2"
"Yes","2005","1-pers.-HH","in school","","","","","1"
"Yes","2005","1-pers.-HH","inadequately","","","","","1"
"Yes","2005","1-pers.-HH","general elemantary","","","","","1"
"Yes","2005","1-pers.-HH","middle vocational","","","","","1"
"Yes","2005","1-pers.-HH","vocational + Abi","","","","","1"
"Yes","2005","1-pers.-HH","higher vocational","","","","","1"
"Yes","2005","1-pers.-HH","higher education","","","","","1"
"Yes","2005","(Married) couple without C. ","in school","","","","","1"
"Yes","2005","(Married) couple without C. ","inadequately","","","","","1"
"Yes","2005","(Married) couple without C. ","general elemantary","","","","","1"
"Yes","2005","(Married) couple without C. ","middle vocational","","","","","1"
"Yes","2005","(Married) couple without C. ","vocational + Abi","","","","","1"
"Yes","2005","(Married) couple without C. ","higher vocational","","","","","1"
"Yes","2005","(Married) couple without C. ","higher education","","","","","1"
"Yes","2005","Single parent ","in school","","","","","1"
"Yes","2005","Single parent ","inadequately","","","","","1"
"Yes","2005","Single parent ","general elemantary","","","","","1"
"Yes","2005","Single parent ","middle vocational","","","","","1"
"Yes","2005","Single parent ","vocational + Abi","","","","","1"
"Yes","2005","Single parent ","higher vocational","","","","","1"
"Yes","2005","Single parent ","higher education","","","","","1"
"Yes","2005","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2005","Couple + C. LE 16 ","inadequately","","","","","1"
"Yes","2005","Couple + C. LE 16 ","general elemantary","","","","","1"
"Yes","2005","Couple + C. LE 16 ","middle vocational","","","","","1"
"Yes","2005","Couple + C. LE 16 ","vocational + Abi","","","","","1"
"Yes","2005","Couple + C. LE 16 ","higher vocational","","","","","1"
"Yes","2005","Couple + C. LE 16 ","higher education","","","","","1"
"Yes","2005","Couple + C. GT 16 ","in school","","","","","1"
"Yes","2005","Couple + C. GT 16 ","inadequately","","","","","1"
"Yes","2005","Couple + C. GT 16 ","general elemantary","","","","","1"
"Yes","2005","Couple + C. GT 16 ","middle vocational","","","","","1"
"Yes","2005","Couple + C. GT 16 ","vocational + Abi","","","","","1"
"Yes","2005","Couple + C. GT 16 ","higher vocational","","","","","1"
"Yes","2005","Couple + C. GT 16 ","higher education","","","","","1"
"Yes","2005","Couple + C. LE and GT 16","in school","","","","","1"
"Yes","2005","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2005","Couple + C. LE and GT 16","general elemantary","","","","","1"
"Yes","2005","Couple + C. LE and GT 16","middle vocational","","","","","1"
