"plb0050","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2006","vocational + Abi","Female","241","0.508411503954415","0.463310559995484","0.553512447913347"
"Yes","2006","higher vocational","Male","303","0.485926298653261","0.446489340960138","0.525363256346384"
"Yes","2006","higher vocational","Female","223","0.472240095032452","0.425803942273755","0.518676247791149"
"Yes","2006","higher education","Male","1083","0.599723756867467","0.576969027991601","0.622478485743333"
"Yes","2006","higher education","Female","830","0.578050562941056","0.552106284687336","0.603994841194776"
"No","2006","in school","Male","17","","",""
"No","2006","in school","Female","17","","",""
"No","2006","inadequately","Male","20","","",""
"No","2006","inadequately","Female","18","","",""
"No","2006","general elemantary","Male","214","0.554856802800414","0.506395204168653","0.603318401432175"
"No","2006","general elemantary","Female","285","0.58306408138435","0.539497012817942","0.626631149950757"
"No","2006","middle vocational","Male","1521","0.488730661093414","0.471091408714076","0.506369913472751"
"No","2006","middle vocational","Female","1553","0.53464038684994","0.516263154795684","0.553017618904196"
"No","2006","vocational + Abi","Male","176","0.529362966180368","0.4776586969447","0.581067235416036"
"No","2006","vocational + Abi","Female","231","0.491588496045585","0.446487552086653","0.536689440004516"
"No","2006","higher vocational","Male","314","0.514073701346739","0.474636743653616","0.553510659039862"
"No","2006","higher vocational","Female","221","0.527759904967548","0.481323752208851","0.574196057726246"
"No","2006","higher education","Male","698","0.400276243132533","0.377521514256667","0.4230309720084"
"No","2006","higher education","Female","562","0.421949437058944","0.396005158805224","0.447893715312664"
"Yes","2007","in school","Male","","","",""
"Yes","2007","in school","Female","","","",""
"Yes","2007","inadequately","Male","","","",""
"Yes","2007","inadequately","Female","","","",""
"Yes","2007","general elemantary","Male","","","",""
"Yes","2007","general elemantary","Female","","","",""
"Yes","2007","middle vocational","Male","","","",""
"Yes","2007","middle vocational","Female","","","",""
"Yes","2007","vocational + Abi","Male","","","",""
"Yes","2007","vocational + Abi","Female","","","",""
"Yes","2007","higher vocational","Male","","","",""
"Yes","2007","higher vocational","Female","","","",""
"Yes","2007","higher education","Male","","","",""
"Yes","2007","higher education","Female","","","",""
"No","2007","in school","Male","","","",""
"No","2007","in school","Female","","","",""
"No","2007","inadequately","Male","","","",""
"No","2007","inadequately","Female","","","",""
"No","2007","general elemantary","Male","","","",""
"No","2007","general elemantary","Female","","","",""
"No","2007","middle vocational","Male","","","",""
"No","2007","middle vocational","Female","","","",""
"No","2007","vocational + Abi","Male","","","",""
"No","2007","vocational + Abi","Female","","","",""
"No","2007","higher vocational","Male","","","",""
"No","2007","higher vocational","Female","","","",""
"No","2007","higher education","Male","","","",""
"No","2007","higher education","Female","","","",""
"Yes","2008","in school","Male","","","",""
"Yes","2008","in school","Female","","","",""
"Yes","2008","inadequately","Male","","","",""
"Yes","2008","inadequately","Female","","","",""
"Yes","2008","general elemantary","Male","","","",""
"Yes","2008","general elemantary","Female","","","",""
"Yes","2008","middle vocational","Male","","","",""
"Yes","2008","middle vocational","Female","","","",""
"Yes","2008","vocational + Abi","Male","","","",""
"Yes","2008","vocational + Abi","Female","","","",""
"Yes","2008","higher vocational","Male","","","",""
"Yes","2008","higher vocational","Female","","","",""
"Yes","2008","higher education","Male","","","",""
"Yes","2008","higher education","Female","","","",""
"No","2008","in school","Male","","","",""
"No","2008","in school","Female","","","",""
"No","2008","inadequately","Male","","","",""
"No","2008","inadequately","Female","","","",""
"No","2008","general elemantary","Male","","","",""
"No","2008","general elemantary","Female","","","",""
"No","2008","middle vocational","Male","","","",""
"No","2008","middle vocational","Female","","","",""
"No","2008","vocational + Abi","Male","","","",""
"No","2008","vocational + Abi","Female","","","",""
"No","2008","higher vocational","Male","","","",""
"No","2008","higher vocational","Female","","","",""
"No","2008","higher education","Male","","","",""
"No","2008","higher education","Female","","","",""
"Yes","2009","in school","Male","","","",""
"Yes","2009","in school","Female","","","",""
"Yes","2009","inadequately","Male","","","",""
"Yes","2009","inadequately","Female","","","",""
"Yes","2009","general elemantary","Male","","","",""
"Yes","2009","general elemantary","Female","","","",""
"Yes","2009","middle vocational","Male","","","",""
"Yes","2009","middle vocational","Female","","","",""
"Yes","2009","vocational + Abi","Male","","","",""
"Yes","2009","vocational + Abi","Female","","","",""
"Yes","2009","higher vocational","Male","","","",""
"Yes","2009","higher vocational","Female","","","",""
"Yes","2009","higher education","Male","","","",""
"Yes","2009","higher education","Female","","","",""
"No","2009","in school","Male","","","",""
"No","2009","in school","Female","","","",""
"No","2009","inadequately","Male","","","",""
"No","2009","inadequately","Female","","","",""
"No","2009","general elemantary","Male","","","",""
"No","2009","general elemantary","Female","","","",""
"No","2009","middle vocational","Male","","","",""
"No","2009","middle vocational","Female","","","",""
"No","2009","vocational + Abi","Male","","","",""
"No","2009","vocational + Abi","Female","","","",""
"No","2009","higher vocational","Male","","","",""
"No","2009","higher vocational","Female","","","",""
"No","2009","higher education","Male","","","",""
"No","2009","higher education","Female","","","",""
"Yes","2010","in school","Male","","","",""
"Yes","2010","in school","Female","","","",""
"Yes","2010","inadequately","Male","","","",""
"Yes","2010","inadequately","Female","","","",""
"Yes","2010","general elemantary","Male","","","",""
"Yes","2010","general elemantary","Female","","","",""
"Yes","2010","middle vocational","Male","","","",""
"Yes","2010","middle vocational","Female","","","",""
"Yes","2010","vocational + Abi","Male","","","",""
"Yes","2010","vocational + Abi","Female","","","",""
"Yes","2010","higher vocational","Male","","","",""
"Yes","2010","higher vocational","Female","","","",""
"Yes","2010","higher education","Male","","","",""
"Yes","2010","higher education","Female","","","",""
"No","2010","in school","Male","","","",""
"No","2010","in school","Female","","","",""
"No","2010","inadequately","Male","","","",""
"No","2010","inadequately","Female","","","",""
"No","2010","general elemantary","Male","","","",""
"No","2010","general elemantary","Female","","","",""
"No","2010","middle vocational","Male","","","",""
"No","2010","middle vocational","Female","","","",""
"No","2010","vocational + Abi","Male","","","",""
"No","2010","vocational + Abi","Female","","","",""
"No","2010","higher vocational","Male","","","",""
"No","2010","higher vocational","Female","","","",""
"No","2010","higher education","Male","","","",""
"No","2010","higher education","Female","","","",""
"Yes","2011","in school","Male","8","","",""
"Yes","2011","in school","Female","4","","",""
"Yes","2011","inadequately","Male","14","","",""
"Yes","2011","inadequately","Female","13","","",""
"Yes","2011","general elemantary","Male","167","0.51507889458459","0.461561112327945","0.568596676841235"
"Yes","2011","general elemantary","Female","183","0.465401606744663","0.417979440385308","0.512823773104017"
"Yes","2011","middle vocational","Male","1441","0.534914477269312","0.51623858344999","0.553590371088634"
"Yes","2011","middle vocational","Female","1263","0.469709237602638","0.450904997992057","0.488513477213219"
"Yes","2011","vocational + Abi","Male","186","0.590124176907748","0.536406402636224","0.643841951179272"
"Yes","2011","vocational + Abi","Female","272","0.573463182281709","0.53070713349551","0.616219231067908"
"Yes","2011","higher vocational","Male","283","0.517076090308875","0.474967952010899","0.559184228606851"
"Yes","2011","higher vocational","Female","175","0.471782841949157","0.418405643519571","0.525160040378743"
"Yes","2011","higher education","Male","959","0.627912732274722","0.603740067319741","0.652085397229702"
"Yes","2011","higher education","Female","892","0.630748197608975","0.605549278321239","0.655947116896712"
"No","2011","in school","Male","12","","",""
"No","2011","in school","Female","8","","",""
"No","2011","inadequately","Male","24","","",""
"No","2011","inadequately","Female","18","","",""
"No","2011","general elemantary","Male","168","0.48492110541541","0.431403323158765","0.538438887672055"
"No","2011","general elemantary","Female","242","0.534598393255337","0.487176226895983","0.582020559614692"
"No","2011","middle vocational","Male","1299","0.465085522730688","0.446409628911366","0.48376141655001"
"No","2011","middle vocational","Female","1443","0.530290762397362","0.511486522786781","0.549095002007943"
"No","2011","vocational + Abi","Male","136","0.409875823092252","0.356158048820728","0.463593597363776"
"No","2011","vocational + Abi","Female","242","0.426536817718291","0.383780768932092","0.46929286650449"
"No","2011","higher vocational","Male","258","0.482923909691125","0.440815771393149","0.525032047989101"
"No","2011","higher vocational","Female","161","0.528217158050843","0.474839959621257","0.581594356480429"
"No","2011","higher education","Male","577","0.372087267725278","0.347914602770298","0.396259932680259"
"No","2011","higher education","Female","517","0.369251802391025","0.344052883103288","0.394450721678761"
"Yes","2012","in school","Male","","","",""
"Yes","2012","in school","Female","","","",""
"Yes","2012","inadequately","Male","","","",""
"Yes","2012","inadequately","Female","","","",""
"Yes","2012","general elemantary","Male","","","",""
"Yes","2012","general elemantary","Female","","","",""
"Yes","2012","middle vocational","Male","","","",""
"Yes","2012","middle vocational","Female","","","",""
"Yes","2012","vocational + Abi","Male","","","",""
"Yes","2012","vocational + Abi","Female","","","",""
"Yes","2012","higher vocational","Male","","","",""
"Yes","2012","higher vocational","Female","","","",""
"Yes","2012","higher education","Male","","","",""
"Yes","2012","higher education","Female","","","",""
"No","2012","in school","Male","","","",""
"No","2012","in school","Female","","","",""
"No","2012","inadequately","Male","","","",""
"No","2012","inadequately","Female","","","",""
"No","2012","general elemantary","Male","","","",""
"No","2012","general elemantary","Female","","","",""
"No","2012","middle vocational","Male","","","",""
"No","2012","middle vocational","Female","","","",""
"No","2012","vocational + Abi","Male","","","",""
"No","2012","vocational + Abi","Female","","","",""
"No","2012","higher vocational","Male","","","",""
"No","2012","higher vocational","Female","","","",""
"No","2012","higher education","Male","","","",""
"No","2012","higher education","Female","","","",""
"Yes","2013","in school","Male","","","",""
"Yes","2013","in school","Female","","","",""
"Yes","2013","inadequately","Male","","","",""
"Yes","2013","inadequately","Female","","","",""
"Yes","2013","general elemantary","Male","","","",""
"Yes","2013","general elemantary","Female","","","",""
"Yes","2013","middle vocational","Male","","","",""
"Yes","2013","middle vocational","Female","","","",""
"Yes","2013","vocational + Abi","Male","","","",""
"Yes","2013","vocational + Abi","Female","","","",""
"Yes","2013","higher vocational","Male","","","",""
"Yes","2013","higher vocational","Female","","","",""
"Yes","2013","higher education","Male","","","",""
"Yes","2013","higher education","Female","","","",""
"No","2013","in school","Male","","","",""
"No","2013","in school","Female","","","",""
"No","2013","inadequately","Male","","","",""
"No","2013","inadequately","Female","","","",""
"No","2013","general elemantary","Male","","","",""
"No","2013","general elemantary","Female","","","",""
"No","2013","middle vocational","Male","","","",""
"No","2013","middle vocational","Female","","","",""
"No","2013","vocational + Abi","Male","","","",""
"No","2013","vocational + Abi","Female","","","",""
"No","2013","higher vocational","Male","","","",""
"No","2013","higher vocational","Female","","","",""
"No","2013","higher education","Male","","","",""
"No","2013","higher education","Female","","","",""
"Yes","2014","in school","Male","","","",""
"Yes","2014","in school","Female","","","",""
"Yes","2014","inadequately","Male","","","",""
"Yes","2014","inadequately","Female","","","",""
"Yes","2014","general elemantary","Male","","","",""
"Yes","2014","general elemantary","Female","","","",""
"Yes","2014","middle vocational","Male","","","",""
"Yes","2014","middle vocational","Female","","","",""
"Yes","2014","vocational + Abi","Male","","","",""
"Yes","2014","vocational + Abi","Female","","","",""
"Yes","2014","higher vocational","Male","","","",""
"Yes","2014","higher vocational","Female","","","",""
"Yes","2014","higher education","Male","","","",""
"Yes","2014","higher education","Female","","","",""
"No","2014","in school","Male","","","",""
"No","2014","in school","Female","","","",""
"No","2014","inadequately","Male","","","",""
"No","2014","inadequately","Female","","","",""
"No","2014","general elemantary","Male","","","",""
"No","2014","general elemantary","Female","","","",""
"No","2014","middle vocational","Male","","","",""
"No","2014","middle vocational","Female","","","",""
"No","2014","vocational + Abi","Male","","","",""
"No","2014","vocational + Abi","Female","","","",""
"No","2014","higher vocational","Male","","","",""
"No","2014","higher vocational","Female","","","",""
"No","2014","higher education","Male","","","",""
"No","2014","higher education","Female","","","",""
"Yes","2015","in school","Male","","","",""
"Yes","2015","in school","Female","","","",""
"Yes","2015","inadequately","Male","","","",""
"Yes","2015","inadequately","Female","","","",""
"Yes","2015","general elemantary","Male","","","",""
"Yes","2015","general elemantary","Female","","","",""
"Yes","2015","middle vocational","Male","","","",""
"Yes","2015","middle vocational","Female","","","",""
"Yes","2015","vocational + Abi","Male","","","",""
"Yes","2015","vocational + Abi","Female","","","",""
"Yes","2015","higher vocational","Male","","","",""
"Yes","2015","higher vocational","Female","","","",""
"Yes","2015","higher education","Male","","","",""
"Yes","2015","higher education","Female","","","",""
"No","2015","in school","Male","","","",""
"No","2015","in school","Female","","","",""
"No","2015","inadequately","Male","","","",""
"No","2015","inadequately","Female","","","",""
"No","2015","general elemantary","Male","","","",""
"No","2015","general elemantary","Female","","","",""
"No","2015","middle vocational","Male","","","",""
"No","2015","middle vocational","Female","","","",""
"No","2015","vocational + Abi","Male","","","",""
"No","2015","vocational + Abi","Female","","","",""
"No","2015","higher vocational","Male","","","",""
"No","2015","higher vocational","Female","","","",""
"No","2015","higher education","Male","","","",""
"No","2015","higher education","Female","","","",""
"Yes","2016","in school","Male","6","","",""
"Yes","2016","in school","Female","7","","",""
"Yes","2016","inadequately","Male","40","0.496179521563234","0.391117490897195","0.601241552229272"
"Yes","2016","inadequately","Female","20","","",""
"Yes","2016","general elemantary","Male","242","0.42427953643206","0.384229581287116","0.464329491577003"
"Yes","2016","general elemantary","Female","217","0.443425021996586","0.402315862501752","0.48453418149142"
"Yes","2016","middle vocational","Male","1510","0.526886513121563","0.508749398671458","0.545023627571667"
"Yes","2016","middle vocational","Female","1478","0.463388645204614","0.446359654181258","0.480417636227971"
"Yes","2016","vocational + Abi","Male","305","0.559678332225951","0.518996139579317","0.600360524872585"
"Yes","2016","vocational + Abi","Female","442","0.522781555157749","0.489874032089764","0.555689078225734"
"Yes","2016","higher vocational","Male","302","0.578657817963829","0.536580443056525","0.620735192871133"
"Yes","2016","higher vocational","Female","193","0.567472872713975","0.515119086181296","0.619826659246653"
"Yes","2016","higher education","Male","1210","0.662845946271456","0.641321555075827","0.684370337467086"
"Yes","2016","higher education","Female","1211","0.642830474858214","0.621307611631478","0.66435333808495"
"No","2016","in school","Male","14","","",""
"No","2016","in school","Female","25","","",""
"No","2016","inadequately","Male","47","0.503820478436766","0.398758447770728","0.608882509102805"
"No","2016","inadequately","Female","40","0.531964918803285","0.405708587513607","0.658221250092963"
"No","2016","general elemantary","Male","343","0.57572046356794","0.535670508422997","0.615770418712884"
"No","2016","general elemantary","Female","344","0.556574978003414","0.51546581850858","0.597684137498248"
"No","2016","middle vocational","Male","1401","0.473113486878437","0.454976372428333","0.491250601328542"
"No","2016","middle vocational","Female","1816","0.536611354795385","0.519582363772028","0.553640345818742"
"No","2016","vocational + Abi","Male","267","0.440321667774049","0.399639475127415","0.481003860420683"
"No","2016","vocational + Abi","Female","443","0.477218444842251","0.444310921774266","0.510125967910236"
"No","2016","higher vocational","Male","227","0.421342182036171","0.379264807128867","0.463419556943475"
"No","2016","higher vocational","Female","151","0.432527127286025","0.380173340753347","0.484880913818704"
"No","2016","higher education","Male","643","0.337154053728544","0.315629662532914","0.358678444924173"
"No","2016","higher education","Female","693","0.357169525141786","0.33564666191505","0.378692388368522"
"Yes","2017","in school","Male","","","",""
"Yes","2017","in school","Female","","","",""
"Yes","2017","inadequately","Male","","","",""
"Yes","2017","inadequately","Female","","","",""
"Yes","2017","general elemantary","Male","","","",""
"Yes","2017","general elemantary","Female","","","",""
"Yes","2017","middle vocational","Male","","","",""
"Yes","2017","middle vocational","Female","","","",""
"Yes","2017","vocational + Abi","Male","","","",""
"Yes","2017","vocational + Abi","Female","","","",""
"Yes","2017","higher vocational","Male","","","",""
"Yes","2017","higher vocational","Female","","","",""
"Yes","2017","higher education","Male","","","",""
"Yes","2017","higher education","Female","","","",""
"No","2017","in school","Male","","","",""
"No","2017","in school","Female","","","",""
"No","2017","inadequately","Male","","","",""
"No","2017","inadequately","Female","","","",""
"No","2017","general elemantary","Male","","","",""
"No","2017","general elemantary","Female","","","",""
"No","2017","middle vocational","Male","","","",""
"No","2017","middle vocational","Female","","","",""
"No","2017","vocational + Abi","Male","","","",""
"No","2017","vocational + Abi","Female","","","",""
"No","2017","higher vocational","Male","","","",""
"No","2017","higher vocational","Female","","","",""
"No","2017","higher education","Male","","","",""
"No","2017","higher education","Female","","","",""
"Yes","2018","in school","Male","","","",""
"Yes","2018","in school","Female","","","",""
"Yes","2018","inadequately","Male","","","",""
"Yes","2018","inadequately","Female","","","",""
"Yes","2018","general elemantary","Male","","","",""
"Yes","2018","general elemantary","Female","","","",""
"Yes","2018","middle vocational","Male","","","",""
"Yes","2018","middle vocational","Female","","","",""
"Yes","2018","vocational + Abi","Male","","","",""
"Yes","2018","vocational + Abi","Female","","","",""
"Yes","2018","higher vocational","Male","","","",""
"Yes","2018","higher vocational","Female","","","",""
"Yes","2018","higher education","Male","","","",""
"Yes","2018","higher education","Female","","","",""
"No","2018","in school","Male","","","",""
"No","2018","in school","Female","","","",""
"No","2018","inadequately","Male","","","",""
"No","2018","inadequately","Female","","","",""
"No","2018","general elemantary","Male","","","",""
"No","2018","general elemantary","Female","","","",""
"No","2018","middle vocational","Male","","","",""
"No","2018","middle vocational","Female","","","",""
"No","2018","vocational + Abi","Male","","","",""
"No","2018","vocational + Abi","Female","","","",""
"No","2018","higher vocational","Male","","","",""
"No","2018","higher vocational","Female","","","",""
"No","2018","higher education","Male","","","",""
"No","2018","higher education","Female","","","",""
"Yes","2019","in school","Male","10","","",""
"Yes","2019","in school","Female","13","","",""
"Yes","2019","inadequately","Male","36","0.476123161967383","0.368678882406465","0.583567441528301"
"Yes","2019","inadequately","Female","28","","",""
"Yes","2019","general elemantary","Male","251","0.438543092998265","0.398367376098832","0.478718809897698"
"Yes","2019","general elemantary","Female","208","0.381647004029589","0.341447950882145","0.421846057177032"
"Yes","2019","middle vocational","Male","1474","0.527301450512705","0.509612217791182","0.544990683234228"
"Yes","2019","middle vocational","Female","1533","0.457236030667185","0.440552286140232","0.473919775194138"
"Yes","2019","vocational + Abi","Male","331","0.589847747671566","0.552294465818354","0.627401029524778"
"Yes","2019","vocational + Abi","Female","478","0.549648838361936","0.518290491844797","0.581007184879076"
"Yes","2019","higher vocational","Male","330","0.574075217095928","0.538519901419684","0.609630532772172"
"Yes","2019","higher vocational","Female","190","0.592881187993586","0.543484172152221","0.64227820383495"
"Yes","2019","higher education","Male","1269","0.634401534103204","0.615447286691402","0.653355781515005"
"Yes","2019","higher education","Female","1325","0.657432782958952","0.637691735991004","0.677173829926901"
"No","2019","in school","Male","17","","",""
"No","2019","in school","Female","18","","",""
"No","2019","inadequately","Male","47","0.523876838032617","0.416432558471699","0.631321117593535"
"No","2019","inadequately","Female","39","0.483739464034648","0.364078936487654","0.603399991581641"
"No","2019","general elemantary","Male","335","0.561456907001735","0.521281190102302","0.601632623901168"
"No","2019","general elemantary","Female","353","0.618352995970411","0.578153942822968","0.658552049117855"
"No","2019","middle vocational","Male","1586","0.472698549487295","0.455009316765772","0.490387782208818"
"No","2019","middle vocational","Female","1892","0.542763969332815","0.526080224805862","0.559447713859768"
"No","2019","vocational + Abi","Male","328","0.410152252328434","0.372598970475222","0.447705534181646"
"No","2019","vocational + Abi","Female","489","0.450351161638064","0.418992815120924","0.481709508155203"
"No","2019","higher vocational","Male","413","0.425924782904072","0.390369467227828","0.461480098580317"
"No","2019","higher vocational","Female","190","0.407118812006414","0.35772179616505","0.456515827847779"
"No","2019","higher education","Male","1211","0.365598465896796","0.346644218484995","0.384552713308598"
"No","2019","higher education","Female","895","0.342567217041048","0.322826170073099","0.362308264008996"
