"plb0050","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2003","in school","Urban Area","","","","","2"
"No","2003","general elemantary","Urban Area","","","","","2"
"No","2003","general elemantary","Rural Area","","","","","2"
"No","2003","middle vocational","Urban Area","","","","","2"
"Yes","2003","in school","Urban Area","","","","","1"
"Yes","2003","in school","Rural Area","","","","","1"
"Yes","2003","inadequately","Urban Area","","","","","1"
"Yes","2003","inadequately","Rural Area","","","","","1"
"Yes","2003","general elemantary","Urban Area","","","","","1"
"Yes","2003","general elemantary","Rural Area","","","","","1"
"Yes","2003","middle vocational","Urban Area","","","","","1"
"Yes","2003","middle vocational","Rural Area","","","","","1"
"Yes","2003","vocational + Abi","Urban Area","","","","","1"
"Yes","2003","vocational + Abi","Rural Area","","","","","1"
"Yes","2003","higher vocational","Urban Area","","","","","1"
"Yes","2003","higher vocational","Rural Area","","","","","1"
"Yes","2003","higher education","Urban Area","","","","","1"
"Yes","2003","higher education","Rural Area","","","","","1"
"No","2004","higher vocational","Urban Area","","","","","2"
"No","2004","in school","Rural Area","","","","","2"
"No","2004","inadequately","Urban Area","","","","","2"
"No","2004","general elemantary","Urban Area","","","","","2"
"No","2004","higher vocational","Rural Area","","","","","2"
"No","2004","higher education","Urban Area","","","","","2"
"No","2004","higher education","Rural Area","","","","","2"
"No","2004","inadequately","Rural Area","","","","","2"
"No","2004","in school","Urban Area","","","","","2"
"No","2004","general elemantary","Rural Area","","","","","2"
"No","2004","middle vocational","Urban Area","","","","","2"
"No","2004","middle vocational","Rural Area","","","","","2"
"No","2004","vocational + Abi","Urban Area","","","","","2"
"No","2004","vocational + Abi","Rural Area","","","","","2"
"Yes","2004","in school","Urban Area","","","","","1"
"Yes","2004","in school","Rural Area","","","","","1"
"Yes","2004","inadequately","Urban Area","","","","","1"
"Yes","2004","inadequately","Rural Area","","","","","1"
"Yes","2004","general elemantary","Urban Area","","","","","1"
"Yes","2004","general elemantary","Rural Area","","","","","1"
"Yes","2004","middle vocational","Urban Area","","","","","1"
"Yes","2004","middle vocational","Rural Area","","","","","1"
"Yes","2004","vocational + Abi","Urban Area","","","","","1"
"Yes","2004","vocational + Abi","Rural Area","","","","","1"
"Yes","2004","higher vocational","Urban Area","","","","","1"
"Yes","2004","higher vocational","Rural Area","","","","","1"
"Yes","2004","higher education","Urban Area","","","","","1"
"Yes","2004","higher education","Rural Area","","","","","1"
"No","2005","general elemantary","Urban Area","","","","","2"
"No","2005","in school","Rural Area","","","","","2"
"No","2005","inadequately","Rural Area","","","","","2"
"No","2005","higher vocational","Urban Area","","","","","2"
"No","2005","higher vocational","Rural Area","","","","","2"
"No","2005","higher education","Rural Area","","","","","2"
"No","2005","inadequately","Urban Area","","","","","2"
"No","2005","higher education","Urban Area","","","","","2"
"No","2005","in school","Urban Area","","","","","2"
"No","2005","general elemantary","Rural Area","","","","","2"
"No","2005","middle vocational","Urban Area","","","","","2"
"No","2005","middle vocational","Rural Area","","","","","2"
"No","2005","vocational + Abi","Urban Area","","","","","2"
"No","2005","vocational + Abi","Rural Area","","","","","2"
"Yes","2005","in school","Urban Area","","","","","1"
"Yes","2005","in school","Rural Area","","","","","1"
"Yes","2005","inadequately","Urban Area","","","","","1"
"Yes","2005","inadequately","Rural Area","","","","","1"
"Yes","2005","general elemantary","Urban Area","","","","","1"
"Yes","2005","general elemantary","Rural Area","","","","","1"
"Yes","2005","middle vocational","Urban Area","","","","","1"
"Yes","2005","middle vocational","Rural Area","","","","","1"
"Yes","2005","vocational + Abi","Urban Area","","","","","1"
"Yes","2005","vocational + Abi","Rural Area","","","","","1"
"Yes","2005","higher vocational","Urban Area","","","","","1"
"Yes","2005","higher vocational","Rural Area","","","","","1"
"Yes","2005","higher education","Urban Area","","","","","1"
"Yes","2005","higher education","Rural Area","","","","","1"
"No","2006","general elemantary","Urban Area","301","0.538314427738519","0.498121882247746","0.578506973229292","2"
"No","2006","in school","Rural Area","8","","","","2"
"No","2006","inadequately","Urban Area","23","","","","2"
"No","2006","inadequately","Rural Area","15","","","","2"
"No","2006","higher vocational","Urban Area","312","0.467203112026926","0.429592669251258","0.504813554802595","2"
"No","2006","higher vocational","Rural Area","223","0.624753879965848","0.576388977928476","0.673118782003221","2"
"No","2006","higher education","Rural Area","344","0.431390614190712","0.398593291266532","0.464187937114893","2"
"No","2006","higher education","Urban Area","916","0.402375358444098","0.382321519172353","0.422429197715842","2"
"No","2006","in school","Urban Area","26","","","","2"
"No","2006","general elemantary","Rural Area","198","0.634031490702176","0.57997156503504","0.688091416369312","2"
"No","2006","middle vocational","Urban Area","1880","0.49901827493199","0.483021664222851","0.515014885641129","2"
"No","2006","middle vocational","Rural Area","1194","0.528828872209689","0.507787834228856","0.549869910190523","2"
"No","2006","vocational + Abi","Urban Area","306","0.505329192077116","0.466380617267791","0.544277766886441","2"
"No","2006","vocational + Abi","Rural Area","101","0.520750951211663","0.450990281106858","0.590511621316469","2"
"Yes","2006","in school","Urban Area","3","","","","1"
"Yes","2006","in school","Rural Area","1","","","","1"
"Yes","2006","inadequately","Urban Area","27","","","","1"
"Yes","2006","inadequately","Rural Area","4","","","","1"
"Yes","2006","general elemantary","Urban Area","290","0.461685572261481","0.421493026770708","0.501878117752254","1"
"Yes","2006","general elemantary","Rural Area","107","0.365968509297824","0.311908583630688","0.42002843496496","1"
"Yes","2006","middle vocational","Urban Area","1873","0.50098172506801","0.484985114358871","0.516978335777149","1"
"Yes","2006","middle vocational","Rural Area","968","0.471171127790311","0.450130089809477","0.492212165771144","1"
"Yes","2006","vocational + Abi","Urban Area","327","0.494670807922884","0.455722233113559","0.533619382732209","1"
"Yes","2006","vocational + Abi","Rural Area","96","0.479249048788337","0.409488378683531","0.549009718893142","1"
"Yes","2006","higher vocational","Urban Area","364","0.532796887973074","0.495186445197405","0.570407330748742","1"
"Yes","2006","higher vocational","Rural Area","162","0.375246120034152","0.326881217996779","0.423611022071524","1"
"Yes","2006","higher education","Urban Area","1381","0.597624641555902","0.577570802284158","0.617678480827647","1"
"Yes","2006","higher education","Rural Area","532","0.568609385809288","0.535812062885107","0.601406708733468","1"
"No","2007","in school","Urban Area","","","","","2"
"No","2007","in school","Rural Area","","","","","2"
"No","2007","inadequately","Urban Area","","","","","2"
"No","2007","inadequately","Rural Area","","","","","2"
"No","2007","general elemantary","Urban Area","","","","","2"
"No","2007","higher vocational","Urban Area","","","","","2"
"No","2007","higher vocational","Rural Area","","","","","2"
"No","2007","higher education","Rural Area","","","","","2"
"No","2007","higher education","Urban Area","","","","","2"
"No","2007","general elemantary","Rural Area","","","","","2"
"No","2007","middle vocational","Urban Area","","","","","2"
"No","2007","middle vocational","Rural Area","","","","","2"
"No","2007","vocational + Abi","Urban Area","","","","","2"
"No","2007","vocational + Abi","Rural Area","","","","","2"
"Yes","2007","in school","Urban Area","","","","","1"
"Yes","2007","in school","Rural Area","","","","","1"
"Yes","2007","inadequately","Urban Area","","","","","1"
"Yes","2007","inadequately","Rural Area","","","","","1"
"Yes","2007","general elemantary","Urban Area","","","","","1"
"Yes","2007","general elemantary","Rural Area","","","","","1"
"Yes","2007","middle vocational","Urban Area","","","","","1"
"Yes","2007","middle vocational","Rural Area","","","","","1"
"Yes","2007","vocational + Abi","Urban Area","","","","","1"
"Yes","2007","vocational + Abi","Rural Area","","","","","1"
"Yes","2007","higher vocational","Urban Area","","","","","1"
"Yes","2007","higher vocational","Rural Area","","","","","1"
"Yes","2007","higher education","Urban Area","","","","","1"
"Yes","2007","higher education","Rural Area","","","","","1"
"No","2008","in school","Urban Area","","","","","2"
"No","2008","in school","Rural Area","","","","","2"
"No","2008","inadequately","Urban Area","","","","","2"
"No","2008","inadequately","Rural Area","","","","","2"
"No","2008","general elemantary","Urban Area","","","","","2"
"No","2008","higher vocational","Urban Area","","","","","2"
"No","2008","higher vocational","Rural Area","","","","","2"
"No","2008","higher education","Urban Area","","","","","2"
"No","2008","higher education","Rural Area","","","","","2"
"No","2008","general elemantary","Rural Area","","","","","2"
"No","2008","middle vocational","Urban Area","","","","","2"
"No","2008","middle vocational","Rural Area","","","","","2"
"No","2008","vocational + Abi","Urban Area","","","","","2"
"No","2008","vocational + Abi","Rural Area","","","","","2"
"Yes","2008","in school","Urban Area","","","","","1"
"Yes","2008","in school","Rural Area","","","","","1"
"Yes","2008","inadequately","Urban Area","","","","","1"
"Yes","2008","inadequately","Rural Area","","","","","1"
"Yes","2008","general elemantary","Urban Area","","","","","1"
"Yes","2008","general elemantary","Rural Area","","","","","1"
"Yes","2008","middle vocational","Urban Area","","","","","1"
"Yes","2008","middle vocational","Rural Area","","","","","1"
"Yes","2008","vocational + Abi","Urban Area","","","","","1"
"Yes","2008","vocational + Abi","Rural Area","","","","","1"
"Yes","2008","higher vocational","Urban Area","","","","","1"
"Yes","2008","higher vocational","Rural Area","","","","","1"
"Yes","2008","higher education","Urban Area","","","","","1"
"Yes","2008","higher education","Rural Area","","","","","1"
"No","2009","in school","Urban Area","","","","","2"
"No","2009","in school","Rural Area","","","","","2"
"No","2009","inadequately","Urban Area","","","","","2"
"No","2009","inadequately","Rural Area","","","","","2"
"No","2009","general elemantary","Urban Area","","","","","2"
"No","2009","higher vocational","Urban Area","","","","","2"
"No","2009","higher vocational","Rural Area","","","","","2"
"No","2009","higher education","Urban Area","","","","","2"
"No","2009","higher education","Rural Area","","","","","2"
"No","2009","general elemantary","Rural Area","","","","","2"
"No","2009","middle vocational","Urban Area","","","","","2"
"No","2009","middle vocational","Rural Area","","","","","2"
"No","2009","vocational + Abi","Urban Area","","","","","2"
"No","2009","vocational + Abi","Rural Area","","","","","2"
"Yes","2009","in school","Urban Area","","","","","1"
"Yes","2009","in school","Rural Area","","","","","1"
"Yes","2009","inadequately","Urban Area","","","","","1"
"Yes","2009","inadequately","Rural Area","","","","","1"
"Yes","2009","general elemantary","Urban Area","","","","","1"
"Yes","2009","general elemantary","Rural Area","","","","","1"
"Yes","2009","middle vocational","Urban Area","","","","","1"
"Yes","2009","middle vocational","Rural Area","","","","","1"
"Yes","2009","vocational + Abi","Urban Area","","","","","1"
"Yes","2009","vocational + Abi","Rural Area","","","","","1"
"Yes","2009","higher vocational","Urban Area","","","","","1"
"Yes","2009","higher vocational","Rural Area","","","","","1"
"Yes","2009","higher education","Urban Area","","","","","1"
"Yes","2009","higher education","Rural Area","","","","","1"
"No","2010","in school","Urban Area","","","","","2"
"No","2010","in school","Rural Area","","","","","2"
"No","2010","inadequately","Urban Area","","","","","2"
"No","2010","inadequately","Rural Area","","","","","2"
"No","2010","general elemantary","Urban Area","","","","","2"
"No","2010","higher vocational","Urban Area","","","","","2"
"No","2010","higher vocational","Rural Area","","","","","2"
"No","2010","higher education","Urban Area","","","","","2"
"No","2010","higher education","Rural Area","","","","","2"
"No","2010","general elemantary","Rural Area","","","","","2"
"No","2010","middle vocational","Urban Area","","","","","2"
"No","2010","middle vocational","Rural Area","","","","","2"
"No","2010","vocational + Abi","Urban Area","","","","","2"
"No","2010","vocational + Abi","Rural Area","","","","","2"
"Yes","2010","general elemantary","Urban Area","","","","","1"
"Yes","2010","general elemantary","Rural Area","","","","","1"
"Yes","2010","middle vocational","Urban Area","","","","","1"
"Yes","2010","middle vocational","Rural Area","","","","","1"
"Yes","2010","vocational + Abi","Urban Area","","","","","1"
"Yes","2010","in school","Urban Area","","","","","1"
"Yes","2010","in school","Rural Area","","","","","1"
"Yes","2010","inadequately","Urban Area","","","","","1"
"Yes","2010","inadequately","Rural Area","","","","","1"
"Yes","2010","vocational + Abi","Rural Area","","","","","1"
"Yes","2010","higher vocational","Urban Area","","","","","1"
"Yes","2010","higher vocational","Rural Area","","","","","1"
"Yes","2010","higher education","Urban Area","","","","","1"
"Yes","2010","higher education","Rural Area","","","","","1"
"No","2011","in school","Urban Area","17","","","","2"
"No","2011","in school","Rural Area","3","","","","2"
"No","2011","inadequately","Urban Area","27","","","","2"
"No","2011","inadequately","Rural Area","15","","","","2"
"No","2011","general elemantary","Urban Area","261","0.487792603342342","0.444023287699072","0.531561918985611","2"
"No","2011","general elemantary","Rural Area","149","0.553045876701004","0.492496418359397","0.613595335042612","2"
"No","2011","middle vocational","Urban Area","1605","0.480624978925529","0.463596545647985","0.497653412203073","2"
"No","2011","middle vocational","Rural Area","1137","0.521317265494443","0.500147422618801","0.542487108370084","2"
"No","2011","vocational + Abi","Urban Area","277","0.432348388910379","0.393163216195326","0.471533561625431","2"
"No","2011","vocational + Abi","Rural Area","101","0.377877732600521","0.314097642670279","0.441657822530763","2"
"No","2011","higher vocational","Urban Area","238","0.486584409966229","0.443911092712112","0.529257727220345","2"
"No","2011","higher vocational","Rural Area","181","0.52286145184847","0.470533994369869","0.575188909327071","2"
"No","2011","higher education","Urban Area","783","0.355070896990481","0.334657395696623","0.375484398284338","2"
"No","2011","higher education","Rural Area","311","0.421326822989849","0.387815521418448","0.45483812456125","2"
"Yes","2011","general elemantary","Urban Area","240","0.512207396657658","0.468438081014389","0.555976712300928","1"
"Yes","2011","general elemantary","Rural Area","110","0.446954123298996","0.386404664957388","0.507503581640603","1"
"Yes","2011","middle vocational","Urban Area","1702","0.519375021074471","0.502346587796927","0.536403454352015","1"
"Yes","2011","middle vocational","Rural Area","1002","0.478682734505557","0.457512891629916","0.499852577381199","1"
"Yes","2011","vocational + Abi","Urban Area","337","0.567651611089621","0.528466438374569","0.606836783804674","1"
"Yes","2011","in school","Urban Area","9","","","","1"
"Yes","2011","in school","Rural Area","3","","","","1"
"Yes","2011","inadequately","Urban Area","21","","","","1"
"Yes","2011","inadequately","Rural Area","6","","","","1"
"Yes","2011","vocational + Abi","Rural Area","121","0.622122267399479","0.558342177469237","0.685902357329721","1"
"Yes","2011","higher vocational","Urban Area","289","0.513415590033771","0.470742272779655","0.556088907287888","1"
"Yes","2011","higher vocational","Rural Area","169","0.47713854815153","0.424811090672929","0.529466005630131","1"
"Yes","2011","higher education","Urban Area","1328","0.644929103009519","0.624515601715662","0.665342604303377","1"
"Yes","2011","higher education","Rural Area","523","0.578673177010151","0.54516187543875","0.612184478581552","1"
"No","2012","in school","Urban Area","","","","","2"
"No","2012","in school","Rural Area","","","","","2"
"No","2012","inadequately","Urban Area","","","","","2"
"No","2012","inadequately","Rural Area","","","","","2"
"No","2012","general elemantary","Urban Area","","","","","2"
"No","2012","general elemantary","Rural Area","","","","","2"
"No","2012","middle vocational","Urban Area","","","","","2"
"No","2012","middle vocational","Rural Area","","","","","2"
"No","2012","vocational + Abi","Urban Area","","","","","2"
"No","2012","vocational + Abi","Rural Area","","","","","2"
"No","2012","higher vocational","Urban Area","","","","","2"
"No","2012","higher vocational","Rural Area","","","","","2"
"No","2012","higher education","Urban Area","","","","","2"
"No","2012","higher education","Rural Area","","","","","2"
"Yes","2012","general elemantary","Urban Area","","","","","1"
"Yes","2012","general elemantary","Rural Area","","","","","1"
"Yes","2012","middle vocational","Urban Area","","","","","1"
"Yes","2012","middle vocational","Rural Area","","","","","1"
"Yes","2012","vocational + Abi","Urban Area","","","","","1"
"Yes","2012","in school","Urban Area","","","","","1"
"Yes","2012","in school","Rural Area","","","","","1"
"Yes","2012","inadequately","Urban Area","","","","","1"
"Yes","2012","inadequately","Rural Area","","","","","1"
"Yes","2012","vocational + Abi","Rural Area","","","","","1"
"Yes","2012","higher vocational","Urban Area","","","","","1"
"Yes","2012","higher vocational","Rural Area","","","","","1"
"Yes","2012","higher education","Urban Area","","","","","1"
"Yes","2012","higher education","Rural Area","","","","","1"
"No","2013","in school","Urban Area","","","","","2"
"No","2013","in school","Rural Area","","","","","2"
"No","2013","inadequately","Urban Area","","","","","2"
"No","2013","inadequately","Rural Area","","","","","2"
"No","2013","general elemantary","Urban Area","","","","","2"
"No","2013","general elemantary","Rural Area","","","","","2"
"No","2013","middle vocational","Urban Area","","","","","2"
"No","2013","middle vocational","Rural Area","","","","","2"
"No","2013","vocational + Abi","Urban Area","","","","","2"
"No","2013","vocational + Abi","Rural Area","","","","","2"
"No","2013","higher vocational","Urban Area","","","","","2"
"No","2013","higher vocational","Rural Area","","","","","2"
"No","2013","higher education","Urban Area","","","","","2"
"No","2013","higher education","Rural Area","","","","","2"
"Yes","2013","general elemantary","Urban Area","","","","","1"
"Yes","2013","general elemantary","Rural Area","","","","","1"
"Yes","2013","middle vocational","Urban Area","","","","","1"
"Yes","2013","middle vocational","Rural Area","","","","","1"
"Yes","2013","vocational + Abi","Urban Area","","","","","1"
"Yes","2013","in school","Rural Area","","","","","1"
"Yes","2013","in school","Urban Area","","","","","1"
"Yes","2013","inadequately","Urban Area","","","","","1"
"Yes","2013","inadequately","Rural Area","","","","","1"
"Yes","2013","vocational + Abi","Rural Area","","","","","1"
"Yes","2013","higher vocational","Urban Area","","","","","1"
"Yes","2013","higher vocational","Rural Area","","","","","1"
"Yes","2013","higher education","Urban Area","","","","","1"
"Yes","2013","higher education","Rural Area","","","","","1"
"No","2014","in school","Urban Area","","","","","2"
"No","2014","in school","Rural Area","","","","","2"
"No","2014","inadequately","Urban Area","","","","","2"
"No","2014","inadequately","Rural Area","","","","","2"
"No","2014","general elemantary","Urban Area","","","","","2"
"No","2014","general elemantary","Rural Area","","","","","2"
"No","2014","middle vocational","Urban Area","","","","","2"
"No","2014","middle vocational","Rural Area","","","","","2"
"No","2014","vocational + Abi","Urban Area","","","","","2"
"No","2014","vocational + Abi","Rural Area","","","","","2"
"No","2014","higher vocational","Urban Area","","","","","2"
"No","2014","higher vocational","Rural Area","","","","","2"
"No","2014","higher education","Urban Area","","","","","2"
"No","2014","higher education","Rural Area","","","","","2"
"Yes","2014","general elemantary","Urban Area","","","","","1"
"Yes","2014","general elemantary","Rural Area","","","","","1"
"Yes","2014","middle vocational","Urban Area","","","","","1"
"Yes","2014","middle vocational","Rural Area","","","","","1"
"Yes","2014","vocational + Abi","Urban Area","","","","","1"
"Yes","2014","higher education","Rural Area","","","","","1"
"Yes","2014","in school","Rural Area","","","","","1"
"Yes","2014","in school","Urban Area","","","","","1"
"Yes","2014","inadequately","Urban Area","","","","","1"
"Yes","2014","inadequately","Rural Area","","","","","1"
"Yes","2014","higher vocational","Urban Area","","","","","1"
"Yes","2014","higher vocational","Rural Area","","","","","1"
"Yes","2014","higher education","Urban Area","","","","","1"
"Yes","2014","vocational + Abi","Rural Area","","","","","1"
"No","2015","in school","Urban Area","","","","","2"
"No","2015","in school","Rural Area","","","","","2"
"No","2015","inadequately","Urban Area","","","","","2"
"No","2015","inadequately","Rural Area","","","","","2"
"No","2015","general elemantary","Urban Area","","","","","2"
"No","2015","general elemantary","Rural Area","","","","","2"
"No","2015","middle vocational","Urban Area","","","","","2"
"No","2015","middle vocational","Rural Area","","","","","2"
"No","2015","vocational + Abi","Urban Area","","","","","2"
"No","2015","vocational + Abi","Rural Area","","","","","2"
"No","2015","higher vocational","Urban Area","","","","","2"
"No","2015","higher vocational","Rural Area","","","","","2"
"No","2015","higher education","Urban Area","","","","","2"
"No","2015","higher education","Rural Area","","","","","2"
"Yes","2015","general elemantary","Urban Area","","","","","1"
"Yes","2015","general elemantary","Rural Area","","","","","1"
"Yes","2015","middle vocational","Urban Area","","","","","1"
"Yes","2015","middle vocational","Rural Area","","","","","1"
"Yes","2015","vocational + Abi","Urban Area","","","","","1"
"Yes","2015","higher education","Rural Area","","","","","1"
"Yes","2015","in school","Rural Area","","","","","1"
"Yes","2015","higher vocational","Rural Area","","","","","1"
"Yes","2015","in school","Urban Area","","","","","1"
"Yes","2015","inadequately","Urban Area","","","","","1"
"Yes","2015","inadequately","Rural Area","","","","","1"
"Yes","2015","higher vocational","Urban Area","","","","","1"
"Yes","2015","higher education","Urban Area","","","","","1"
"Yes","2015","vocational + Abi","Rural Area","","","","","1"
"No","2016","in school","Urban Area","30","0.792307012344809","0.668137827699024","0.916476196990594","2"
"No","2016","in school","Rural Area","9","","","","2"
"No","2016","inadequately","Urban Area","64","0.567896099831242","0.473145497895472","0.662646701767013","2"
"No","2016","inadequately","Rural Area","23","","","","2"
"No","2016","general elemantary","Urban Area","455","0.573207028129018","0.537855877531453","0.608558178726583","2"
"No","2016","general elemantary","Rural Area","232","0.55243175075653","0.503333170883274","0.601530330629785","2"
"No","2016","middle vocational","Urban Area","1902","0.506747607792136","0.490638270204943","0.52285694537933","2"
"No","2016","middle vocational","Rural Area","1315","0.499054464277379","0.479474429731953","0.518634498822804","2"
"No","2016","vocational + Abi","Urban Area","524","0.473127165501506","0.443253392556013","0.503000938446999","2"
"No","2016","vocational + Abi","Rural Area","186","0.416928602426014","0.367614152559199","0.46624305229283","2"
"No","2016","higher vocational","Urban Area","216","0.407889112257031","0.365891190620247","0.449887033893815","2"
"No","2016","higher vocational","Rural Area","162","0.45933804356042","0.406904106601659","0.511771980519181","2"
"No","2016","higher education","Urban Area","974","0.34037372833886","0.322641546536333","0.358105910141388","2"
"No","2016","higher education","Rural Area","362","0.366520630902505","0.33686244630253","0.39617881550248","2"
"Yes","2016","general elemantary","Urban Area","297","0.426792971870982","0.391441821273417","0.462144122468547","1"
"Yes","2016","general elemantary","Rural Area","162","0.44756824924347","0.398469669370214","0.496666829116726","1"
"Yes","2016","middle vocational","Urban Area","1798","0.493252392207864","0.47714305462067","0.509361729795057","1"
"Yes","2016","middle vocational","Rural Area","1190","0.500945535722621","0.481365501177196","0.520525570268047","1"
"Yes","2016","vocational + Abi","Urban Area","549","0.526872834498494","0.496999061553001","0.556746607443987","1"
"Yes","2016","higher education","Rural Area","652","0.633479369097495","0.60382118449752","0.66313755369747","1"
"Yes","2016","higher vocational","Urban Area","310","0.592110887742969","0.550112966106185","0.634108809379753","1"
"Yes","2016","in school","Urban Area","11","","","","1"
"Yes","2016","in school","Rural Area","2","","","","1"
"Yes","2016","inadequately","Urban Area","41","0.432103900168758","0.337353298232987","0.526854502104528","1"
"Yes","2016","vocational + Abi","Rural Area","198","0.583071397573986","0.53375694770717","0.632385847440801","1"
"Yes","2016","higher vocational","Rural Area","185","0.54066195643958","0.488228019480819","0.593095893398341","1"
"Yes","2016","higher education","Urban Area","1769","0.65962627166114","0.641894089858613","0.677358453463667","1"
"Yes","2016","inadequately","Rural Area","19","","","","1"
"No","2017","in school","Urban Area","","","","","2"
"No","2017","in school","Rural Area","","","","","2"
"No","2017","inadequately","Urban Area","","","","","2"
"No","2017","inadequately","Rural Area","","","","","2"
"No","2017","general elemantary","Urban Area","","","","","2"
"No","2017","general elemantary","Rural Area","","","","","2"
"No","2017","middle vocational","Urban Area","","","","","2"
"No","2017","middle vocational","Rural Area","","","","","2"
"No","2017","vocational + Abi","Urban Area","","","","","2"
"No","2017","vocational + Abi","Rural Area","","","","","2"
"No","2017","higher vocational","Urban Area","","","","","2"
"No","2017","higher vocational","Rural Area","","","","","2"
"No","2017","higher education","Urban Area","","","","","2"
"No","2017","higher education","Rural Area","","","","","2"
"Yes","2017","middle vocational","Rural Area","","","","","1"
"Yes","2017","vocational + Abi","Urban Area","","","","","1"
"Yes","2017","vocational + Abi","Rural Area","","","","","1"
"Yes","2017","higher education","Rural Area","","","","","1"
"Yes","2017","general elemantary","Urban Area","","","","","1"
"Yes","2017","general elemantary","Rural Area","","","","","1"
"Yes","2017","middle vocational","Urban Area","","","","","1"
"Yes","2017","higher vocational","Urban Area","","","","","1"
"Yes","2017","higher vocational","Rural Area","","","","","1"
