"plb0050","year","education","n","percent","lower_confidence","upper_confidence"
"No","2006","no degree/no degree yet","74","0.679522634134149","0.593097567226853","0.765947701041445"
"Yes","2007","lower secondary degree","","","",""
"Yes","2007","secondary school degree","","","",""
"Yes","2007","college entrance qualification","","","",""
"Yes","2007","Other degree","","","",""
"Yes","2007","no degree/no degree yet","","","",""
"No","2007","lower secondary degree","","","",""
"No","2007","secondary school degree","","","",""
"No","2007","college entrance qualification","","","",""
"No","2007","Other degree","","","",""
"No","2007","no degree/no degree yet","","","",""
"Yes","2008","lower secondary degree","","","",""
"Yes","2008","secondary school degree","","","",""
"Yes","2008","college entrance qualification","","","",""
"Yes","2008","Other degree","","","",""
"Yes","2008","no degree/no degree yet","","","",""
"No","2008","lower secondary degree","","","",""
"No","2008","secondary school degree","","","",""
"No","2008","college entrance qualification","","","",""
"No","2008","Other degree","","","",""
"No","2008","no degree/no degree yet","","","",""
"Yes","2009","lower secondary degree","","","",""
"Yes","2009","secondary school degree","","","",""
"Yes","2009","college entrance qualification","","","",""
"Yes","2009","Other degree","","","",""
"Yes","2009","no degree/no degree yet","","","",""
"No","2009","lower secondary degree","","","",""
"No","2009","secondary school degree","","","",""
"No","2009","college entrance qualification","","","",""
"No","2009","Other degree","","","",""
"No","2009","no degree/no degree yet","","","",""
"Yes","2010","lower secondary degree","","","",""
"Yes","2010","secondary school degree","","","",""
"Yes","2010","college entrance qualification","","","",""
"Yes","2010","Other degree","","","",""
"Yes","2010","no degree/no degree yet","","","",""
"No","2010","lower secondary degree","","","",""
"No","2010","secondary school degree","","","",""
"No","2010","college entrance qualification","","","",""
"No","2010","Other degree","","","",""
"No","2010","no degree/no degree yet","","","",""
"Yes","2011","lower secondary degree","1169","0.487273438183167","0.467617147197761","0.506929729168572"
"Yes","2011","secondary school degree","2065","0.524348790358745","0.508908924391563","0.539788656325927"
"Yes","2011","college entrance qualification","2250","0.606476048837592","0.590666268360481","0.622285829314703"
"Yes","2011","Other degree","248","0.499093789888039","0.455742010095731","0.542445569680347"
"Yes","2011","no degree/no degree yet","43","0.325685191981884","0.240404748275056","0.410965635688713"
"No","2011","lower secondary degree","1315","0.512726561816833","0.493070270831428","0.532382852802239"
"No","2011","secondary school degree","1954","0.475651209641255","0.460211343674073","0.491091075608438"
"No","2011","college entrance qualification","1418","0.393523951162408","0.377714170685297","0.409333731639519"
"No","2011","Other degree","263","0.500906210111961","0.457554430319653","0.544257989904269"
"No","2011","no degree/no degree yet","73","0.674314808018116","0.589034364311287","0.759595251724944"
"Yes","2012","lower secondary degree","","","",""
"Yes","2012","secondary school degree","","","",""
"Yes","2012","college entrance qualification","","","",""
"Yes","2012","Other degree","","","",""
"Yes","2012","no degree/no degree yet","","","",""
"No","2012","lower secondary degree","","","",""
"No","2012","secondary school degree","","","",""
"No","2012","college entrance qualification","","","",""
"No","2012","Other degree","","","",""
"No","2012","no degree/no degree yet","","","",""
"Yes","2013","lower secondary degree","","","",""
"Yes","2013","secondary school degree","","","",""
"Yes","2013","college entrance qualification","","","",""
"Yes","2013","Other degree","","","",""
"Yes","2013","no degree/no degree yet","","","",""
"No","2013","lower secondary degree","","","",""
"No","2013","secondary school degree","","","",""
"No","2013","college entrance qualification","","","",""
"No","2013","Other degree","","","",""
"No","2013","no degree/no degree yet","","","",""
"Yes","2014","lower secondary degree","","","",""
"Yes","2014","secondary school degree","","","",""
"Yes","2014","college entrance qualification","","","",""
"Yes","2014","Other degree","","","",""
"Yes","2014","no degree/no degree yet","","","",""
"No","2014","lower secondary degree","","","",""
"No","2014","secondary school degree","","","",""
"No","2014","college entrance qualification","","","",""
"No","2014","Other degree","","","",""
"No","2014","no degree/no degree yet","","","",""
"Yes","2015","lower secondary degree","","","",""
"Yes","2015","secondary school degree","","","",""
"Yes","2015","college entrance qualification","","","",""
"Yes","2015","Other degree","","","",""
"Yes","2015","no degree/no degree yet","","","",""
"No","2015","lower secondary degree","","","",""
"No","2015","secondary school degree","","","",""
"No","2015","college entrance qualification","","","",""
"No","2015","Other degree","","","",""
"No","2015","no degree/no degree yet","","","",""
"Yes","2016","lower secondary degree","1128","0.472669429595566","0.45289636749567","0.492442491695462"
"Yes","2016","secondary school degree","2202","0.521275964809554","0.506290801500079","0.536261128119029"
"Yes","2016","college entrance qualification","2800","0.63006929124683","0.615974499585184","0.644164082908476"
"Yes","2016","Other degree","844","0.441901845352181","0.419842972566975","0.463960718137387"
"Yes","2016","no degree/no degree yet","88","0.394785116291884","0.333452941698586","0.456117290885182"
"No","2016","lower secondary degree","1321","0.527330570404434","0.507557508304538","0.54710363250433"
"No","2016","secondary school degree","2067","0.478724035190446","0.463738871880971","0.493709198499921"
"No","2016","college entrance qualification","1707","0.36993070875317","0.355835917091524","0.384025500414816"
"No","2016","Other degree","1103","0.558098154647819","0.536039281862613","0.580157027433025"
"No","2016","no degree/no degree yet","156","0.605214883708116","0.543882709114818","0.666547058301414"
"Yes","2017","lower secondary degree","","","",""
"Yes","2017","secondary school degree","","","",""
"Yes","2017","college entrance qualification","","","",""
"Yes","2017","Other degree","","","",""
"Yes","2017","no degree/no degree yet","","","",""
"No","2017","lower secondary degree","","","",""
"No","2017","secondary school degree","","","",""
"No","2017","college entrance qualification","","","",""
"No","2017","Other degree","","","",""
"No","2017","no degree/no degree yet","","","",""
"Yes","2018","lower secondary degree","","","",""
"Yes","2018","secondary school degree","","","",""
"Yes","2018","college entrance qualification","","","",""
"Yes","2018","Other degree","","","",""
"Yes","2018","no degree/no degree yet","","","",""
"No","2018","lower secondary degree","","","",""
"No","2018","secondary school degree","","","",""
"No","2018","college entrance qualification","","","",""
"No","2018","Other degree","","","",""
"No","2018","no degree/no degree yet","","","",""
"Yes","2019","lower secondary degree","989","0.455834161781864","0.435502087018869","0.476166236544859"
"Yes","2019","secondary school degree","2303","0.521385753288342","0.507404527439395","0.53536697913729"
"Yes","2019","college entrance qualification","3179","0.617198605019577","0.60483134352068","0.629565866518473"
"Yes","2019","Other degree","723","0.49373851114892","0.468888943217645","0.518588079080194"
"Yes","2019","no degree/no degree yet","92","0.474528022157455","0.411614192741095","0.537441851573815"
"No","2019","lower secondary degree","1316","0.544165838218136","0.523833763455141","0.564497912981131"
"No","2019","secondary school degree","2601","0.478614246711658","0.46463302086271","0.492595472560605"
"No","2019","college entrance qualification","2755","0.382801394980423","0.370434133481527","0.39516865647932"
"No","2019","Other degree","832","0.50626148885108","0.481411920919806","0.531111056782355"
"No","2019","no degree/no degree yet","150","0.525471977842545","0.462558148426185","0.588385807258905"
