"plb0050","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Yes","2001","35-65 y.","in school","","","","","1"
"Yes","2001","35-65 y.","inadequately","39","0.557540232556209","0.439489514250899","0.67559095086152","1"
"Yes","2001","35-65 y.","general elemantary","301","0.516831520607092","0.475663150909804","0.557999890304381","1"
"Yes","2001","35-65 y.","middle vocational","2282","0.519485317565794","0.504815812216701","0.534154822914887","1"
"Yes","2001","35-65 y.","vocational + Abi","201","0.5468512182682","0.496800387204583","0.596902049331816","1"
"Yes","2001","35-65 y.","higher vocational","456","0.543028953855657","0.509638611741816","0.576419295969499","1"
"Yes","2001","35-65 y.","higher education","1222","0.604769975595401","0.583402061387018","0.626137889803785","1"
"Yes","2001","66 and older","in school","","","","","1"
"Yes","2001","66 and older","inadequately","","","","","1"
"Yes","2001","66 and older","general elemantary","","","","","1"
"Yes","2001","66 and older","middle vocational","5","","","","1"
"Yes","2001","66 and older","vocational + Abi","","","","","1"
"Yes","2001","66 and older","higher vocational","2","","","","1"
"Yes","2001","66 and older","higher education","5","","","","1"
"No","2002","66 and older","higher education","","","","","2"
"No","2002","66 and older","vocational + Abi","","","","","2"
"No","2002","66 and older","middle vocational","","","","","2"
"No","2002","66 and older","higher vocational","","","","","2"
"No","2002","66 and older","inadequately","","","","","2"
"No","2002","66 and older","general elemantary","","","","","2"
"No","2002","35-65 y.","higher vocational","","","","","2"
"No","2002","66 and older","in school","","","","","2"
"No","2002","35-65 y.","higher education","","","","","2"
"No","2002","35-65 y.","middle vocational","","","","","2"
"No","2002","35-65 y.","vocational + Abi","","","","","2"
"No","2002","16-34 y.","in school","","","","","2"
"No","2002","16-34 y.","general elemantary","","","","","2"
"No","2002","16-34 y.","middle vocational","","","","","2"
"No","2002","16-34 y.","higher vocational","","","","","2"
"No","2002","35-65 y.","in school","","","","","2"
"No","2002","35-65 y.","inadequately","","","","","2"
"No","2002","35-65 y.","general elemantary","","","","","2"
"No","2002","16-34 y.","inadequately","","","","","2"
"No","2002","16-34 y.","higher education","","","","","2"
"No","2002","16-34 y.","vocational + Abi","","","","","2"
"Yes","2002","16-34 y.","in school","","","","","1"
"Yes","2002","16-34 y.","inadequately","","","","","1"
"Yes","2002","16-34 y.","general elemantary","","","","","1"
"Yes","2002","16-34 y.","middle vocational","","","","","1"
"Yes","2002","16-34 y.","vocational + Abi","","","","","1"
"Yes","2002","16-34 y.","higher vocational","","","","","1"
"Yes","2002","16-34 y.","higher education","","","","","1"
"Yes","2002","35-65 y.","in school","","","","","1"
"Yes","2002","35-65 y.","inadequately","","","","","1"
"Yes","2002","35-65 y.","general elemantary","","","","","1"
"Yes","2002","35-65 y.","middle vocational","","","","","1"
"Yes","2002","35-65 y.","vocational + Abi","","","","","1"
"Yes","2002","35-65 y.","higher vocational","","","","","1"
"Yes","2002","35-65 y.","higher education","","","","","1"
"Yes","2002","66 and older","in school","","","","","1"
"Yes","2002","66 and older","inadequately","","","","","1"
"Yes","2002","66 and older","general elemantary","","","","","1"
"Yes","2002","66 and older","middle vocational","","","","","1"
"Yes","2002","66 and older","vocational + Abi","","","","","1"
"Yes","2002","66 and older","higher vocational","","","","","1"
"Yes","2002","66 and older","higher education","","","","","1"
"No","2003","66 and older","higher education","","","","","2"
"No","2003","66 and older","inadequately","","","","","2"
"No","2003","66 and older","middle vocational","","","","","2"
"No","2003","66 and older","general elemantary","","","","","2"
"No","2003","66 and older","vocational + Abi","","","","","2"
"No","2003","66 and older","higher vocational","","","","","2"
"No","2003","35-65 y.","vocational + Abi","","","","","2"
"No","2003","35-65 y.","higher education","","","","","2"
"No","2003","35-65 y.","middle vocational","","","","","2"
"No","2003","35-65 y.","higher vocational","","","","","2"
"No","2003","66 and older","in school","","","","","2"
"No","2003","16-34 y.","in school","","","","","2"
"No","2003","16-34 y.","inadequately","","","","","2"
"No","2003","16-34 y.","general elemantary","","","","","2"
"No","2003","16-34 y.","middle vocational","","","","","2"
"No","2003","16-34 y.","higher vocational","","","","","2"
"No","2003","16-34 y.","higher education","","","","","2"
"No","2003","35-65 y.","in school","","","","","2"
"No","2003","35-65 y.","inadequately","","","","","2"
"No","2003","35-65 y.","general elemantary","","","","","2"
"No","2003","16-34 y.","vocational + Abi","","","","","2"
"Yes","2003","16-34 y.","in school","","","","","1"
"Yes","2003","16-34 y.","inadequately","","","","","1"
"Yes","2003","16-34 y.","general elemantary","","","","","1"
"Yes","2003","16-34 y.","middle vocational","","","","","1"
"Yes","2003","16-34 y.","vocational + Abi","","","","","1"
"Yes","2003","16-34 y.","higher vocational","","","","","1"
"Yes","2003","16-34 y.","higher education","","","","","1"
"Yes","2003","35-65 y.","in school","","","","","1"
"Yes","2003","35-65 y.","inadequately","","","","","1"
"Yes","2003","35-65 y.","general elemantary","","","","","1"
"Yes","2003","35-65 y.","middle vocational","","","","","1"
"Yes","2003","35-65 y.","vocational + Abi","","","","","1"
"Yes","2003","35-65 y.","higher vocational","","","","","1"
"Yes","2003","35-65 y.","higher education","","","","","1"
"Yes","2003","66 and older","in school","","","","","1"
"Yes","2003","66 and older","inadequately","","","","","1"
"Yes","2003","66 and older","general elemantary","","","","","1"
"Yes","2003","66 and older","middle vocational","","","","","1"
"Yes","2003","66 and older","vocational + Abi","","","","","1"
"Yes","2003","66 and older","higher vocational","","","","","1"
"Yes","2003","66 and older","higher education","","","","","1"
"No","2004","66 and older","higher education","","","","","2"
"No","2004","66 and older","middle vocational","","","","","2"
"No","2004","66 and older","inadequately","","","","","2"
"No","2004","66 and older","general elemantary","","","","","2"
"No","2004","66 and older","higher vocational","","","","","2"
"No","2004","66 and older","vocational + Abi","","","","","2"
"No","2004","35-65 y.","middle vocational","","","","","2"
"No","2004","35-65 y.","vocational + Abi","","","","","2"
"No","2004","35-65 y.","higher vocational","","","","","2"
"No","2004","35-65 y.","higher education","","","","","2"
"No","2004","66 and older","in school","","","","","2"
"No","2004","16-34 y.","in school","","","","","2"
"No","2004","16-34 y.","inadequately","","","","","2"
"No","2004","16-34 y.","general elemantary","","","","","2"
"No","2004","16-34 y.","middle vocational","","","","","2"
"No","2004","16-34 y.","higher vocational","","","","","2"
"No","2004","16-34 y.","higher education","","","","","2"
"No","2004","35-65 y.","in school","","","","","2"
"No","2004","35-65 y.","inadequately","","","","","2"
"No","2004","35-65 y.","general elemantary","","","","","2"
"No","2004","16-34 y.","vocational + Abi","","","","","2"
"Yes","2004","66 and older","general elemantary","","","","","1"
"Yes","2004","66 and older","middle vocational","","","","","1"
"Yes","2004","66 and older","vocational + Abi","","","","","1"
"Yes","2004","66 and older","higher vocational","","","","","1"
"Yes","2004","66 and older","higher education","","","","","1"
"Yes","2004","16-34 y.","in school","","","","","1"
"Yes","2004","16-34 y.","inadequately","","","","","1"
"Yes","2004","16-34 y.","general elemantary","","","","","1"
"Yes","2004","16-34 y.","middle vocational","","","","","1"
"Yes","2004","16-34 y.","vocational + Abi","","","","","1"
"Yes","2004","16-34 y.","higher vocational","","","","","1"
"Yes","2004","16-34 y.","higher education","","","","","1"
"Yes","2004","35-65 y.","in school","","","","","1"
"Yes","2004","35-65 y.","inadequately","","","","","1"
"Yes","2004","35-65 y.","general elemantary","","","","","1"
"Yes","2004","35-65 y.","middle vocational","","","","","1"
"Yes","2004","35-65 y.","vocational + Abi","","","","","1"
"Yes","2004","35-65 y.","higher vocational","","","","","1"
"Yes","2004","35-65 y.","higher education","","","","","1"
"Yes","2004","66 and older","in school","","","","","1"
"Yes","2004","66 and older","inadequately","","","","","1"
"No","2005","66 and older","higher education","","","","","2"
"No","2005","66 and older","inadequately","","","","","2"
"No","2005","66 and older","vocational + Abi","","","","","2"
"No","2005","66 and older","general elemantary","","","","","2"
"No","2005","66 and older","middle vocational","","","","","2"
"No","2005","66 and older","higher vocational","","","","","2"
"No","2005","35-65 y.","vocational + Abi","","","","","2"
"No","2005","66 and older","in school","","","","","2"
"No","2005","35-65 y.","middle vocational","","","","","2"
"No","2005","35-65 y.","higher vocational","","","","","2"
"No","2005","35-65 y.","higher education","","","","","2"
"No","2005","16-34 y.","higher vocational","","","","","2"
"No","2005","16-34 y.","higher education","","","","","2"
"No","2005","35-65 y.","in school","","","","","2"
"No","2005","35-65 y.","inadequately","","","","","2"
"No","2005","35-65 y.","general elemantary","","","","","2"
"No","2005","16-34 y.","in school","","","","","2"
"No","2005","16-34 y.","inadequately","","","","","2"
"No","2005","16-34 y.","general elemantary","","","","","2"
"No","2005","16-34 y.","middle vocational","","","","","2"
"No","2005","16-34 y.","vocational + Abi","","","","","2"
"Yes","2005","66 and older","general elemantary","","","","","1"
"Yes","2005","66 and older","middle vocational","","","","","1"
"Yes","2005","66 and older","vocational + Abi","","","","","1"
"Yes","2005","66 and older","higher vocational","","","","","1"
"Yes","2005","66 and older","higher education","","","","","1"
"Yes","2005","16-34 y.","in school","","","","","1"
"Yes","2005","16-34 y.","inadequately","","","","","1"
"Yes","2005","16-34 y.","general elemantary","","","","","1"
"Yes","2005","16-34 y.","middle vocational","","","","","1"
"Yes","2005","16-34 y.","vocational + Abi","","","","","1"
"Yes","2005","16-34 y.","higher vocational","","","","","1"
"Yes","2005","16-34 y.","higher education","","","","","1"
"Yes","2005","35-65 y.","in school","","","","","1"
"Yes","2005","35-65 y.","inadequately","","","","","1"
"Yes","2005","35-65 y.","general elemantary","","","","","1"
"Yes","2005","35-65 y.","middle vocational","","","","","1"
"Yes","2005","35-65 y.","vocational + Abi","","","","","1"
"Yes","2005","35-65 y.","higher vocational","","","","","1"
"Yes","2005","35-65 y.","higher education","","","","","1"
"Yes","2005","66 and older","in school","","","","","1"
"Yes","2005","66 and older","inadequately","","","","","1"
"No","2006","66 and older","higher education","51","0.728468535490614","0.62034832244587","0.836588748535359","2"
"No","2006","66 and older","inadequately","1","","","","2"
"No","2006","66 and older","middle vocational","70","0.914489973979557","0.852030154895943","0.976949793063171","2"
"No","2006","66 and older","general elemantary","19","","","","2"
"No","2006","66 and older","vocational + Abi","4","","","","2"
"No","2006","66 and older","higher vocational","13","","","","2"
"No","2006","35-65 y.","vocational + Abi","232","0.493972122562089","0.449928408634379","0.538015836489798","2"
"No","2006","35-65 y.","higher education","1015","0.399224341871876","0.380560548247708","0.417888135496044","2"
"No","2006","35-65 y.","middle vocational","2140","0.485910881055142","0.470989570339824","0.500832191770461","2"
"No","2006","35-65 y.","higher vocational","436","0.519318389424379","0.486456902339445","0.552179876509314","2"
"No","2006","66 and older","in school","1","","","","2"
"No","2006","16-34 y.","higher vocational","86","0.483424761631137","0.405992964688777","0.560856558573497","2"
"No","2006","16-34 y.","higher education","194","0.417033619107027","0.372121361732629","0.461945876481425","2"
"No","2006","35-65 y.","in school","2","","","","2"
"No","2006","35-65 y.","inadequately","18","","","","2"
"No","2006","35-65 y.","general elemantary","209","0.504126443454972","0.45642329109069","0.551829595819255","2"
"No","2006","16-34 y.","in school","31","0.959849246323496","0.894811956727842","1.02488653591915","2"
"No","2006","16-34 y.","inadequately","19","","","","2"
"No","2006","16-34 y.","general elemantary","271","0.61224018390254","0.567322103377323","0.657158264427757","2"
"No","2006","16-34 y.","middle vocational","864","0.546770845113313","0.52181064815907","0.571731042067557","2"
"No","2006","16-34 y.","vocational + Abi","171","0.519297692069658","0.465473143756265","0.57312224038305","2"
"Yes","2006","66 and older","general elemantary","3","","","","1"
"Yes","2006","66 and older","middle vocational","7","","","","1"
"Yes","2006","66 and older","vocational + Abi","","","","","1"
"Yes","2006","66 and older","higher vocational","","","","","1"
"Yes","2006","66 and older","higher education","14","","","","1"
"Yes","2006","16-34 y.","in school","4","","","","1"
"Yes","2006","16-34 y.","inadequately","7","","","","1"
"Yes","2006","16-34 y.","general elemantary","181","0.38775981609746","0.342841735572243","0.432677896622677","1"
"Yes","2006","16-34 y.","middle vocational","664","0.453229154886687","0.428268957932443","0.47818935184093","1"
"Yes","2006","16-34 y.","vocational + Abi","160","0.480702307930342","0.42687775961695","0.534526856243735","1"
"Yes","2006","16-34 y.","higher vocational","74","0.516575238368863","0.439143441426503","0.594007035311223","1"
"Yes","2006","16-34 y.","higher education","269","0.582966380892973","0.538054123518575","0.627878638267371","1"
"Yes","2006","35-65 y.","in school","","","","","1"
"Yes","2006","35-65 y.","inadequately","24","","","","1"
"Yes","2006","35-65 y.","general elemantary","213","0.495873556545028","0.448170404180745","0.54357670890931","1"
"Yes","2006","35-65 y.","middle vocational","2170","0.514089118944858","0.499167808229539","0.529010429660177","1"
"Yes","2006","35-65 y.","vocational + Abi","263","0.506027877437911","0.461984163510202","0.550071591365621","1"
"Yes","2006","35-65 y.","higher vocational","452","0.480681610575621","0.447820123490687","0.513543097660556","1"
"Yes","2006","35-65 y.","higher education","1630","0.600775658128124","0.582111864503956","0.619439451752292","1"
"Yes","2006","66 and older","in school","","","","","1"
"Yes","2006","66 and older","inadequately","","","","","1"
"No","2007","66 and older","higher education","","","","","2"
"No","2007","66 and older","vocational + Abi","","","","","2"
"No","2007","66 and older","middle vocational","","","","","2"
"No","2007","66 and older","higher vocational","","","","","2"
"No","2007","66 and older","inadequately","","","","","2"
"No","2007","66 and older","general elemantary","","","","","2"
"No","2007","35-65 y.","middle vocational","","","","","2"
"No","2007","35-65 y.","vocational + Abi","","","","","2"
"No","2007","35-65 y.","higher vocational","","","","","2"
"No","2007","35-65 y.","higher education","","","","","2"
"No","2007","66 and older","in school","","","","","2"
"No","2007","16-34 y.","higher vocational","","","","","2"
"No","2007","16-34 y.","higher education","","","","","2"
"No","2007","35-65 y.","in school","","","","","2"
"No","2007","35-65 y.","inadequately","","","","","2"
"No","2007","35-65 y.","general elemantary","","","","","2"
"No","2007","16-34 y.","in school","","","","","2"
"No","2007","16-34 y.","inadequately","","","","","2"
"No","2007","16-34 y.","general elemantary","","","","","2"
"No","2007","16-34 y.","middle vocational","","","","","2"
"No","2007","16-34 y.","vocational + Abi","","","","","2"
"Yes","2007","66 and older","general elemantary","","","","","1"
"Yes","2007","66 and older","middle vocational","","","","","1"
"Yes","2007","66 and older","vocational + Abi","","","","","1"
"Yes","2007","66 and older","higher vocational","","","","","1"
"Yes","2007","66 and older","higher education","","","","","1"
"Yes","2007","35-65 y.","vocational + Abi","","","","","1"
"Yes","2007","35-65 y.","higher vocational","","","","","1"
"Yes","2007","35-65 y.","higher education","","","","","1"
"Yes","2007","66 and older","in school","","","","","1"
"Yes","2007","66 and older","inadequately","","","","","1"
"Yes","2007","16-34 y.","in school","","","","","1"
"Yes","2007","16-34 y.","inadequately","","","","","1"
"Yes","2007","16-34 y.","general elemantary","","","","","1"
"Yes","2007","16-34 y.","middle vocational","","","","","1"
"Yes","2007","16-34 y.","vocational + Abi","","","","","1"
"Yes","2007","16-34 y.","higher vocational","","","","","1"
"Yes","2007","16-34 y.","higher education","","","","","1"
"Yes","2007","35-65 y.","in school","","","","","1"
"Yes","2007","35-65 y.","inadequately","","","","","1"
"Yes","2007","35-65 y.","general elemantary","","","","","1"
"Yes","2007","35-65 y.","middle vocational","","","","","1"
"No","2008","66 and older","higher vocational","","","","","2"
"No","2008","66 and older","higher education","","","","","2"
"No","2008","66 and older","inadequately","","","","","2"
"No","2008","66 and older","vocational + Abi","","","","","2"
"No","2008","66 and older","general elemantary","","","","","2"
"No","2008","66 and older","middle vocational","","","","","2"
"No","2008","35-65 y.","vocational + Abi","","","","","2"
"No","2008","66 and older","in school","","","","","2"
"No","2008","35-65 y.","middle vocational","","","","","2"
"No","2008","35-65 y.","higher vocational","","","","","2"
"No","2008","35-65 y.","higher education","","","","","2"
"No","2008","16-34 y.","higher vocational","","","","","2"
"No","2008","16-34 y.","higher education","","","","","2"
"No","2008","35-65 y.","in school","","","","","2"
"No","2008","35-65 y.","inadequately","","","","","2"
"No","2008","35-65 y.","general elemantary","","","","","2"
"No","2008","16-34 y.","in school","","","","","2"
"No","2008","16-34 y.","inadequately","","","","","2"
"No","2008","16-34 y.","general elemantary","","","","","2"
"No","2008","16-34 y.","middle vocational","","","","","2"
"No","2008","16-34 y.","vocational + Abi","","","","","2"
"Yes","2008","66 and older","general elemantary","","","","","1"
"Yes","2008","66 and older","middle vocational","","","","","1"
"Yes","2008","66 and older","vocational + Abi","","","","","1"
"Yes","2008","66 and older","higher vocational","","","","","1"
"Yes","2008","66 and older","higher education","","","","","1"
"Yes","2008","35-65 y.","vocational + Abi","","","","","1"
"Yes","2008","35-65 y.","higher vocational","","","","","1"
"Yes","2008","35-65 y.","higher education","","","","","1"
"Yes","2008","66 and older","in school","","","","","1"
"Yes","2008","66 and older","inadequately","","","","","1"
"Yes","2008","16-34 y.","general elemantary","","","","","1"
"Yes","2008","16-34 y.","middle vocational","","","","","1"
"Yes","2008","16-34 y.","higher vocational","","","","","1"
"Yes","2008","35-65 y.","in school","","","","","1"
"Yes","2008","35-65 y.","inadequately","","","","","1"
"Yes","2008","35-65 y.","middle vocational","","","","","1"
"Yes","2008","16-34 y.","in school","","","","","1"
"Yes","2008","16-34 y.","inadequately","","","","","1"
"Yes","2008","16-34 y.","vocational + Abi","","","","","1"
"Yes","2008","16-34 y.","higher education","","","","","1"
"Yes","2008","35-65 y.","general elemantary","","","","","1"
"No","2009","66 and older","general elemantary","","","","","2"
"No","2009","66 and older","vocational + Abi","","","","","2"
"No","2009","66 and older","higher education","","","","","2"
"No","2009","66 and older","middle vocational","","","","","2"
"No","2009","66 and older","higher vocational","","","","","2"
"No","2009","66 and older","inadequately","","","","","2"
"No","2009","35-65 y.","vocational + Abi","","","","","2"
"No","2009","35-65 y.","higher vocational","","","","","2"
"No","2009","66 and older","in school","","","","","2"
"No","2009","35-65 y.","middle vocational","","","","","2"
"No","2009","35-65 y.","higher education","","","","","2"
"No","2009","16-34 y.","higher vocational","","","","","2"
"No","2009","16-34 y.","higher education","","","","","2"
"No","2009","35-65 y.","in school","","","","","2"
"No","2009","35-65 y.","inadequately","","","","","2"
"No","2009","35-65 y.","general elemantary","","","","","2"
"No","2009","16-34 y.","in school","","","","","2"
"No","2009","16-34 y.","inadequately","","","","","2"
"No","2009","16-34 y.","general elemantary","","","","","2"
"No","2009","16-34 y.","middle vocational","","","","","2"
"No","2009","16-34 y.","vocational + Abi","","","","","2"
"Yes","2009","66 and older","general elemantary","","","","","1"
"Yes","2009","66 and older","middle vocational","","","","","1"
"Yes","2009","66 and older","vocational + Abi","","","","","1"
"Yes","2009","66 and older","higher vocational","","","","","1"
"Yes","2009","66 and older","higher education","","","","","1"
"Yes","2009","35-65 y.","vocational + Abi","","","","","1"
"Yes","2009","35-65 y.","higher vocational","","","","","1"
"Yes","2009","35-65 y.","higher education","","","","","1"
"Yes","2009","66 and older","in school","","","","","1"
"Yes","2009","66 and older","inadequately","","","","","1"
"Yes","2009","16-34 y.","in school","","","","","1"
"Yes","2009","16-34 y.","general elemantary","","","","","1"
"Yes","2009","16-34 y.","vocational + Abi","","","","","1"
"Yes","2009","16-34 y.","higher vocational","","","","","1"
"Yes","2009","35-65 y.","in school","","","","","1"
"Yes","2009","35-65 y.","general elemantary","","","","","1"
"Yes","2009","16-34 y.","inadequately","","","","","1"
"Yes","2009","16-34 y.","middle vocational","","","","","1"
"Yes","2009","16-34 y.","higher education","","","","","1"
"Yes","2009","35-65 y.","inadequately","","","","","1"
"Yes","2009","35-65 y.","middle vocational","","","","","1"
"No","2010","66 and older","inadequately","","","","","2"
"No","2010","66 and older","middle vocational","","","","","2"
"No","2010","66 and older","higher education","","","","","2"
"No","2010","66 and older","general elemantary","","","","","2"
"No","2010","66 and older","vocational + Abi","","","","","2"
"No","2010","66 and older","higher vocational","","","","","2"
"No","2010","35-65 y.","middle vocational","","","","","2"
"No","2010","35-65 y.","vocational + Abi","","","","","2"
"No","2010","35-65 y.","higher vocational","","","","","2"
"No","2010","35-65 y.","higher education","","","","","2"
"No","2010","66 and older","in school","","","","","2"
"No","2010","16-34 y.","higher vocational","","","","","2"
"No","2010","16-34 y.","higher education","","","","","2"
"No","2010","35-65 y.","in school","","","","","2"
"No","2010","35-65 y.","inadequately","","","","","2"
"No","2010","35-65 y.","general elemantary","","","","","2"
"No","2010","16-34 y.","in school","","","","","2"
"No","2010","16-34 y.","inadequately","","","","","2"
"No","2010","16-34 y.","general elemantary","","","","","2"
"No","2010","16-34 y.","middle vocational","","","","","2"
"No","2010","16-34 y.","vocational + Abi","","","","","2"
"Yes","2010","66 and older","general elemantary","","","","","1"
"Yes","2010","66 and older","middle vocational","","","","","1"
"Yes","2010","66 and older","vocational + Abi","","","","","1"
"Yes","2010","66 and older","higher vocational","","","","","1"
"Yes","2010","66 and older","higher education","","","","","1"
"Yes","2010","35-65 y.","vocational + Abi","","","","","1"
"Yes","2010","35-65 y.","higher vocational","","","","","1"
"Yes","2010","35-65 y.","higher education","","","","","1"
"Yes","2010","66 and older","in school","","","","","1"
"Yes","2010","66 and older","inadequately","","","","","1"
"Yes","2010","16-34 y.","higher education","","","","","1"
"Yes","2010","35-65 y.","in school","","","","","1"
"Yes","2010","35-65 y.","inadequately","","","","","1"
"Yes","2010","35-65 y.","general elemantary","","","","","1"
"Yes","2010","35-65 y.","middle vocational","","","","","1"
"Yes","2010","16-34 y.","inadequately","","","","","1"
"Yes","2010","16-34 y.","general elemantary","","","","","1"
"Yes","2010","16-34 y.","vocational + Abi","","","","","1"
"Yes","2010","16-34 y.","in school","","","","","1"
"Yes","2010","16-34 y.","middle vocational","","","","","1"
"Yes","2010","16-34 y.","higher vocational","","","","","1"
"No","2011","35-65 y.","middle vocational","2031","0.479997616282538","0.464749683448565","0.49524554911651","2"
"No","2011","35-65 y.","higher vocational","348","0.471772621111639","0.43614069996407","0.507404542259208","2"
"No","2011","66 and older","in school","","","","","2"
"No","2011","66 and older","middle vocational","65","0.850272361002727","0.771592322344812","0.928952399660642","2"
"No","2011","66 and older","higher vocational","13","","","","2"
"No","2011","35-65 y.","vocational + Abi","242","0.409238662303595","0.368331819651515","0.450145504955674","2"
"No","2011","35-65 y.","higher education","832","0.346262641719855","0.326973042441577","0.365552240998133","2"
"No","2011","66 and older","inadequately","1","","","","2"
"No","2011","66 and older","general elemantary","12","","","","2"
"No","2011","66 and older","vocational + Abi","3","","","","2"
"No","2011","66 and older","higher education","60","0.720013434376011","0.618398777282746","0.821628091469276","2"
"No","2011","16-34 y.","higher vocational","58","0.593433323044628","0.501221481166563","0.685645164922694","2"
"No","2011","16-34 y.","higher education","202","0.410345760835162","0.368585983465938","0.452105538204386","2"
"No","2011","35-65 y.","in school","","","","","2"
"No","2011","35-65 y.","inadequately","23","","","","2"
"No","2011","35-65 y.","general elemantary","209","0.503897311157066","0.455021736644941","0.552772885669192","2"
"No","2011","16-34 y.","in school","20","","","","2"
"No","2011","16-34 y.","inadequately","18","","","","2"
"No","2011","16-34 y.","general elemantary","189","0.509468985302288","0.456331531093974","0.562606439510602","2"
"No","2011","16-34 y.","middle vocational","646","0.516482997795531","0.488702091061738","0.544263904529324","2"
"No","2011","16-34 y.","vocational + Abi","133","0.431363591480664","0.373144587948703","0.489582595012626","2"
"Yes","2011","66 and older","general elemantary","6","","","","1"
"Yes","2011","66 and older","middle vocational","14","","","","1"
"Yes","2011","66 and older","vocational + Abi","","","","","1"
"Yes","2011","66 and older","higher vocational","1","","","","1"
"Yes","2011","66 and older","higher education","15","","","","1"
"Yes","2011","35-65 y.","vocational + Abi","313","0.590761337696405","0.549854495044326","0.631668180348485","1"
"Yes","2011","35-65 y.","higher vocational","406","0.528227378888361","0.492595457740792","0.56385930003593","1"
"Yes","2011","35-65 y.","higher education","1505","0.653737358280145","0.634447759001867","0.673026957558423","1"
"Yes","2011","66 and older","in school","","","","","1"
"Yes","2011","66 and older","inadequately","","","","","1"
"Yes","2011","35-65 y.","in school","","","","","1"
"Yes","2011","35-65 y.","middle vocational","2093","0.520002383717462","0.50475445088349","0.535250316551435","1"
"Yes","2011","16-34 y.","higher education","331","0.589654239164838","0.547894461795614","0.631414016534062","1"
"Yes","2011","35-65 y.","inadequately","16","","","","1"
"Yes","2011","35-65 y.","general elemantary","193","0.496102688842934","0.447227114330808","0.544978263355059","1"
"Yes","2011","16-34 y.","higher vocational","51","0.406566676955371","0.314354835077306","0.498778518833437","1"
"Yes","2011","16-34 y.","inadequately","11","","","","1"
"Yes","2011","16-34 y.","middle vocational","597","0.483517002204469","0.455736095470676","0.511297908938262","1"
"Yes","2011","16-34 y.","in school","12","","","","1"
"Yes","2011","16-34 y.","general elemantary","151","0.490531014697712","0.437393560489398","0.543668468906026","1"
"Yes","2011","16-34 y.","vocational + Abi","145","0.568636408519336","0.510417404987374","0.626855412051297","1"
"No","2012","35-65 y.","vocational + Abi","","","","","2"
"No","2012","66 and older","in school","","","","","2"
"No","2012","66 and older","general elemantary","","","","","2"
"No","2012","66 and older","higher vocational","","","","","2"
"No","2012","66 and older","higher education","","","","","2"
"No","2012","35-65 y.","middle vocational","","","","","2"
"No","2012","35-65 y.","higher vocational","","","","","2"
"No","2012","35-65 y.","higher education","","","","","2"
"No","2012","66 and older","inadequately","","","","","2"
"No","2012","66 and older","middle vocational","","","","","2"
"No","2012","66 and older","vocational + Abi","","","","","2"
"No","2012","16-34 y.","higher vocational","","","","","2"
"No","2012","16-34 y.","higher education","","","","","2"
"No","2012","35-65 y.","in school","","","","","2"
"No","2012","35-65 y.","inadequately","","","","","2"
"No","2012","35-65 y.","general elemantary","","","","","2"
"No","2012","16-34 y.","in school","","","","","2"
"No","2012","16-34 y.","inadequately","","","","","2"
"No","2012","16-34 y.","general elemantary","","","","","2"
