"plb0050","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2010","lower secondary degree","no migration background","","","",""
"Yes","2010","lower secondary degree","direct migration background","","","",""
"Yes","2010","lower secondary degree","indirect migration background","","","",""
"Yes","2010","secondary school degree","no migration background","","","",""
"Yes","2010","secondary school degree","direct migration background","","","",""
"Yes","2010","secondary school degree","indirect migration background","","","",""
"Yes","2010","college entrance qualification","no migration background","","","",""
"Yes","2010","college entrance qualification","direct migration background","","","",""
"Yes","2010","college entrance qualification","indirect migration background","","","",""
"Yes","2010","Other degree","no migration background","","","",""
"Yes","2010","Other degree","direct migration background","","","",""
"Yes","2010","Other degree","indirect migration background","","","",""
"Yes","2010","no degree/no degree yet","no migration background","","","",""
"Yes","2010","no degree/no degree yet","direct migration background","","","",""
"Yes","2010","no degree/no degree yet","indirect migration background","","","",""
"No","2010","lower secondary degree","no migration background","","","",""
"No","2010","lower secondary degree","direct migration background","","","",""
"No","2010","lower secondary degree","indirect migration background","","","",""
"No","2010","secondary school degree","no migration background","","","",""
"No","2010","secondary school degree","direct migration background","","","",""
"No","2010","secondary school degree","indirect migration background","","","",""
"No","2010","college entrance qualification","no migration background","","","",""
"No","2010","college entrance qualification","direct migration background","","","",""
"No","2010","college entrance qualification","indirect migration background","","","",""
"No","2010","Other degree","no migration background","","","",""
"No","2010","Other degree","direct migration background","","","",""
"No","2010","Other degree","indirect migration background","","","",""
"No","2010","no degree/no degree yet","no migration background","","","",""
"No","2010","no degree/no degree yet","direct migration background","","","",""
"No","2010","no degree/no degree yet","indirect migration background","","","",""
"Yes","2011","lower secondary degree","no migration background","997","0.488087867232028","0.466874999656962","0.509300734807093"
"Yes","2011","lower secondary degree","direct migration background","98","0.487012617001729","0.418590799122779","0.555434434880678"
"Yes","2011","lower secondary degree","indirect migration background","74","0.475776201273832","0.394767552731753","0.55678484981591"
"Yes","2011","secondary school degree","no migration background","1924","0.520434868330306","0.504468600261594","0.536401136399018"
"Yes","2011","secondary school degree","direct migration background","62","0.57548308095391","0.48592207932484","0.665044082582981"
"Yes","2011","secondary school degree","indirect migration background","79","0.575421360350549","0.493836308288657","0.657006412412442"
"Yes","2011","college entrance qualification","no migration background","2055","0.607430828062248","0.590916929990749","0.623944726133747"
"Yes","2011","college entrance qualification","direct migration background","97","0.583930139853462","0.506081450523276","0.661778829183648"
"Yes","2011","college entrance qualification","indirect migration background","98","0.616554190797329","0.540008655102156","0.693099726492502"
"Yes","2011","Other degree","no migration background","22","","",""
"Yes","2011","Other degree","direct migration background","223","0.499303432073987","0.453511925232154","0.54509493891582"
"Yes","2011","Other degree","indirect migration background","3","","",""
"Yes","2011","no degree/no degree yet","no migration background","22","","",""
"Yes","2011","no degree/no degree yet","direct migration background","19","","",""
"Yes","2011","no degree/no degree yet","indirect migration background","2","","",""
"No","2011","lower secondary degree","no migration background","1136","0.511912132767972","0.490699265192907","0.533125000343038"
"No","2011","lower secondary degree","direct migration background","107","0.512987382998271","0.444565565119322","0.581409200877221"
"No","2011","lower secondary degree","indirect migration background","72","0.524223798726168","0.44321515018409","0.605232447268247"
"No","2011","secondary school degree","no migration background","1837","0.479565131669694","0.463598863600982","0.495531399738406"
"No","2011","secondary school degree","direct migration background","55","0.42451691904609","0.334955917417019","0.51407792067516"
"No","2011","secondary school degree","indirect migration background","62","0.424578639649451","0.342993587587559","0.506163691711343"
"No","2011","college entrance qualification","no migration background","1304","0.392569171937752","0.376055273866253","0.409083070009251"
"No","2011","college entrance qualification","direct migration background","57","0.416069860146538","0.338221170816351","0.493918549476724"
"No","2011","college entrance qualification","indirect migration background","57","0.383445809202671","0.306900273507498","0.459991344897844"
"No","2011","Other degree","no migration background","25","","",""
"No","2011","Other degree","direct migration background","235","0.500696567926013","0.45490506108418","0.546488074767846"
"No","2011","Other degree","indirect migration background","3","","",""
"No","2011","no degree/no degree yet","no migration background","46","0.709434346880284","0.601521815989296","0.817346877771272"
"No","2011","no degree/no degree yet","direct migration background","16","","",""
"No","2011","no degree/no degree yet","indirect migration background","11","","",""
"Yes","2012","lower secondary degree","no migration background","","","",""
"Yes","2012","lower secondary degree","direct migration background","","","",""
"Yes","2012","lower secondary degree","indirect migration background","","","",""
"Yes","2012","secondary school degree","no migration background","","","",""
"Yes","2012","secondary school degree","direct migration background","","","",""
"Yes","2012","secondary school degree","indirect migration background","","","",""
"Yes","2012","college entrance qualification","no migration background","","","",""
"Yes","2012","college entrance qualification","direct migration background","","","",""
"Yes","2012","college entrance qualification","indirect migration background","","","",""
"Yes","2012","Other degree","no migration background","","","",""
"Yes","2012","Other degree","direct migration background","","","",""
"Yes","2012","Other degree","indirect migration background","","","",""
"Yes","2012","no degree/no degree yet","no migration background","","","",""
"Yes","2012","no degree/no degree yet","direct migration background","","","",""
"Yes","2012","no degree/no degree yet","indirect migration background","","","",""
"No","2012","lower secondary degree","no migration background","","","",""
"No","2012","lower secondary degree","direct migration background","","","",""
"No","2012","lower secondary degree","indirect migration background","","","",""
"No","2012","secondary school degree","no migration background","","","",""
"No","2012","secondary school degree","direct migration background","","","",""
"No","2012","secondary school degree","indirect migration background","","","",""
"No","2012","college entrance qualification","no migration background","","","",""
"No","2012","college entrance qualification","direct migration background","","","",""
"No","2012","college entrance qualification","indirect migration background","","","",""
"No","2012","Other degree","no migration background","","","",""
"No","2012","Other degree","direct migration background","","","",""
"No","2012","Other degree","indirect migration background","","","",""
"No","2012","no degree/no degree yet","no migration background","","","",""
"No","2012","no degree/no degree yet","direct migration background","","","",""
"No","2012","no degree/no degree yet","indirect migration background","","","",""
"Yes","2013","lower secondary degree","no migration background","","","",""
"Yes","2013","lower secondary degree","direct migration background","","","",""
"Yes","2013","lower secondary degree","indirect migration background","","","",""
"Yes","2013","secondary school degree","no migration background","","","",""
"Yes","2013","secondary school degree","direct migration background","","","",""
"Yes","2013","secondary school degree","indirect migration background","","","",""
"Yes","2013","college entrance qualification","no migration background","","","",""
"Yes","2013","college entrance qualification","direct migration background","","","",""
"Yes","2013","college entrance qualification","indirect migration background","","","",""
"Yes","2013","Other degree","no migration background","","","",""
"Yes","2013","Other degree","direct migration background","","","",""
"Yes","2013","Other degree","indirect migration background","","","",""
"Yes","2013","no degree/no degree yet","no migration background","","","",""
"Yes","2013","no degree/no degree yet","direct migration background","","","",""
"Yes","2013","no degree/no degree yet","indirect migration background","","","",""
"No","2013","lower secondary degree","no migration background","","","",""
"No","2013","lower secondary degree","direct migration background","","","",""
"No","2013","lower secondary degree","indirect migration background","","","",""
"No","2013","secondary school degree","no migration background","","","",""
"No","2013","secondary school degree","direct migration background","","","",""
"No","2013","secondary school degree","indirect migration background","","","",""
"No","2013","college entrance qualification","no migration background","","","",""
"No","2013","college entrance qualification","direct migration background","","","",""
"No","2013","college entrance qualification","indirect migration background","","","",""
"No","2013","Other degree","no migration background","","","",""
"No","2013","Other degree","direct migration background","","","",""
"No","2013","Other degree","indirect migration background","","","",""
"No","2013","no degree/no degree yet","no migration background","","","",""
"No","2013","no degree/no degree yet","direct migration background","","","",""
"No","2013","no degree/no degree yet","indirect migration background","","","",""
"Yes","2014","lower secondary degree","no migration background","","","",""
"Yes","2014","lower secondary degree","direct migration background","","","",""
"Yes","2014","lower secondary degree","indirect migration background","","","",""
"Yes","2014","secondary school degree","no migration background","","","",""
"Yes","2014","secondary school degree","direct migration background","","","",""
"Yes","2014","secondary school degree","indirect migration background","","","",""
"Yes","2014","college entrance qualification","no migration background","","","",""
"Yes","2014","college entrance qualification","direct migration background","","","",""
"Yes","2014","college entrance qualification","indirect migration background","","","",""
"Yes","2014","Other degree","no migration background","","","",""
"Yes","2014","Other degree","direct migration background","","","",""
"Yes","2014","Other degree","indirect migration background","","","",""
"Yes","2014","no degree/no degree yet","no migration background","","","",""
"Yes","2014","no degree/no degree yet","direct migration background","","","",""
"Yes","2014","no degree/no degree yet","indirect migration background","","","",""
"No","2014","lower secondary degree","no migration background","","","",""
"No","2014","lower secondary degree","direct migration background","","","",""
"No","2014","lower secondary degree","indirect migration background","","","",""
"No","2014","secondary school degree","no migration background","","","",""
"No","2014","secondary school degree","direct migration background","","","",""
"No","2014","secondary school degree","indirect migration background","","","",""
"No","2014","college entrance qualification","no migration background","","","",""
"No","2014","college entrance qualification","direct migration background","","","",""
"No","2014","college entrance qualification","indirect migration background","","","",""
"No","2014","Other degree","no migration background","","","",""
"No","2014","Other degree","direct migration background","","","",""
"No","2014","Other degree","indirect migration background","","","",""
"No","2014","no degree/no degree yet","no migration background","","","",""
"No","2014","no degree/no degree yet","direct migration background","","","",""
"No","2014","no degree/no degree yet","indirect migration background","","","",""
"Yes","2015","lower secondary degree","no migration background","","","",""
"Yes","2015","lower secondary degree","direct migration background","","","",""
"Yes","2015","lower secondary degree","indirect migration background","","","",""
"Yes","2015","secondary school degree","no migration background","","","",""
"Yes","2015","secondary school degree","direct migration background","","","",""
"Yes","2015","secondary school degree","indirect migration background","","","",""
"Yes","2015","college entrance qualification","no migration background","","","",""
"Yes","2015","college entrance qualification","direct migration background","","","",""
"Yes","2015","college entrance qualification","indirect migration background","","","",""
"Yes","2015","Other degree","no migration background","","","",""
"Yes","2015","Other degree","direct migration background","","","",""
"Yes","2015","Other degree","indirect migration background","","","",""
"Yes","2015","no degree/no degree yet","no migration background","","","",""
"Yes","2015","no degree/no degree yet","direct migration background","","","",""
"Yes","2015","no degree/no degree yet","indirect migration background","","","",""
"No","2015","lower secondary degree","no migration background","","","",""
"No","2015","lower secondary degree","direct migration background","","","",""
"No","2015","lower secondary degree","indirect migration background","","","",""
"No","2015","secondary school degree","no migration background","","","",""
"No","2015","secondary school degree","direct migration background","","","",""
"No","2015","secondary school degree","indirect migration background","","","",""
"No","2015","college entrance qualification","no migration background","","","",""
"No","2015","college entrance qualification","direct migration background","","","",""
"No","2015","college entrance qualification","indirect migration background","","","",""
"No","2015","Other degree","no migration background","","","",""
"No","2015","Other degree","direct migration background","","","",""
"No","2015","Other degree","indirect migration background","","","",""
"No","2015","no degree/no degree yet","no migration background","","","",""
"No","2015","no degree/no degree yet","direct migration background","","","",""
"No","2015","no degree/no degree yet","indirect migration background","","","",""
"Yes","2016","lower secondary degree","no migration background","894","0.476050791210245","0.453821253733065","0.498280328687425"
"Yes","2016","lower secondary degree","direct migration background","122","0.37939616339172","0.323159600419909","0.435632726363531"
"Yes","2016","lower secondary degree","indirect migration background","112","0.563670583300555","0.498725838606561","0.62861532799455"
"Yes","2016","secondary school degree","no migration background","1954","0.521320558752116","0.505380882283956","0.537260235220276"
"Yes","2016","secondary school degree","direct migration background","104","0.470008020269391","0.40508145244454","0.534934588094241"
"Yes","2016","secondary school degree","indirect migration background","144","0.555799573804357","0.496422260723423","0.615176886885292"
"Yes","2016","college entrance qualification","no migration background","2447","0.642255329770447","0.627141658330193","0.657369001210701"
"Yes","2016","college entrance qualification","direct migration background","146","0.48660506803744","0.42774479003372","0.54546534604116"
"Yes","2016","college entrance qualification","indirect migration background","207","0.615044921872997","0.565194826520169","0.664895017225824"
"Yes","2016","Other degree","no migration background","20","","",""
"Yes","2016","Other degree","direct migration background","809","0.441640315602757","0.419084962256529","0.464195668948985"
"Yes","2016","Other degree","indirect migration background","15","","",""
"Yes","2016","no degree/no degree yet","no migration background","27","","",""
"Yes","2016","no degree/no degree yet","direct migration background","49","0.3612883160002","0.279027723745187","0.443548908255212"
"Yes","2016","no degree/no degree yet","indirect migration background","12","","",""
"No","2016","lower secondary degree","no migration background","1045","0.523949208789755","0.501719671312575","0.546178746266935"
"No","2016","lower secondary degree","direct migration background","164","0.62060383660828","0.56436727363647","0.676840399580091"
"No","2016","lower secondary degree","indirect migration background","112","0.436329416699445","0.37138467200545","0.501274161393439"
"No","2016","secondary school degree","no migration background","1819","0.478679441247884","0.462739764779724","0.494619117716044"
"No","2016","secondary school degree","direct migration background","123","0.529991979730609","0.465065411905759","0.59491854755546"
