"plb0050","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2006","inadequately","38","0.526071377945921","0.408255899442374","0.643886856449468","2"
"Yes","2006","higher vocational","526","0.480730003081919","0.450666635422755","0.510793370741084","1"
"Yes","2006","higher education","1913","0.590791363061774","0.57368323393351","0.607899492190038","1"
"Yes","2006","in school","4","","","","1"
"Yes","2006","inadequately","31","0.473928622054079","0.356113143550532","0.591744100557626","1"
"Yes","2006","general elemantary","397","0.431074020179224","0.398647683014583","0.463500357343865","1"
"Yes","2006","middle vocational","2841","0.49063601807845","0.47789616129009","0.50337587486681","1"
"Yes","2006","vocational + Abi","423","0.491071332209658","0.457061084643081","0.525081579776234","1"
"No","2007","higher education","","","","","2"
"No","2007","vocational + Abi","","","","","2"
"No","2007","higher vocational","","","","","2"
"No","2007","in school","","","","","2"
"No","2007","general elemantary","","","","","2"
"No","2007","middle vocational","","","","","2"
"No","2007","inadequately","","","","","2"
"Yes","2007","higher vocational","","","","","1"
"Yes","2007","higher education","","","","","1"
"Yes","2007","middle vocational","","","","","1"
"Yes","2007","vocational + Abi","","","","","1"
"Yes","2007","in school","","","","","1"
"Yes","2007","inadequately","","","","","1"
"Yes","2007","general elemantary","","","","","1"
"No","2008","higher education","","","","","2"
"No","2008","vocational + Abi","","","","","2"
"No","2008","higher vocational","","","","","2"
"No","2008","general elemantary","","","","","2"
"No","2008","middle vocational","","","","","2"
"No","2008","in school","","","","","2"
"No","2008","inadequately","","","","","2"
"Yes","2008","higher vocational","","","","","1"
"Yes","2008","higher education","","","","","1"
"Yes","2008","middle vocational","","","","","1"
"Yes","2008","vocational + Abi","","","","","1"
"Yes","2008","in school","","","","","1"
"Yes","2008","inadequately","","","","","1"
"Yes","2008","general elemantary","","","","","1"
"No","2009","higher education","","","","","2"
"No","2009","vocational + Abi","","","","","2"
"No","2009","higher vocational","","","","","2"
"No","2009","general elemantary","","","","","2"
"No","2009","middle vocational","","","","","2"
"No","2009","in school","","","","","2"
"No","2009","inadequately","","","","","2"
"Yes","2009","higher vocational","","","","","1"
"Yes","2009","higher education","","","","","1"
"Yes","2009","middle vocational","","","","","1"
"Yes","2009","vocational + Abi","","","","","1"
"Yes","2009","in school","","","","","1"
"Yes","2009","inadequately","","","","","1"
"Yes","2009","general elemantary","","","","","1"
"No","2010","higher education","","","","","2"
"No","2010","vocational + Abi","","","","","2"
"No","2010","higher vocational","","","","","2"
"No","2010","general elemantary","","","","","2"
"No","2010","middle vocational","","","","","2"
"No","2010","in school","","","","","2"
"No","2010","inadequately","","","","","2"
"Yes","2010","higher vocational","","","","","1"
"Yes","2010","higher education","","","","","1"
"Yes","2010","middle vocational","","","","","1"
"Yes","2010","vocational + Abi","","","","","1"
"Yes","2010","inadequately","","","","","1"
"Yes","2010","general elemantary","","","","","1"
"Yes","2010","in school","","","","","1"
"No","2011","vocational + Abi","378","0.419001221048353","0.385555527479082","0.452446914617625","2"
"No","2011","higher vocational","419","0.499555075187785","0.466463447707933","0.532646702667638","2"
"No","2011","higher education","1094","0.370822287385025","0.353377124821364","0.388267449948686","2"
"No","2011","general elemantary","410","0.510059892653925","0.474519405289283","0.545600380018568","2"
"No","2011","middle vocational","2742","0.495483204149478","0.482204320803897","0.508762087495059","2"
"No","2011","in school","20","","","","2"
"No","2011","inadequately","42","0.694855565786487","0.586207113932293","0.803504017640681","2"
"Yes","2011","higher vocational","458","0.500444924812215","0.467353297332362","0.533536552292067","1"
"Yes","2011","higher education","1851","0.629177712614975","0.611732550051314","0.646622875178636","1"
"Yes","2011","middle vocational","2704","0.504516795850522","0.491237912504941","0.517795679196103","1"
"Yes","2011","vocational + Abi","458","0.580998778951647","0.547553085382375","0.614444472520919","1"
"Yes","2011","inadequately","27","","","","1"
"Yes","2011","general elemantary","350","0.489940107346075","0.454399619981432","0.525480594710717","1"
"Yes","2011","in school","12","","","","1"
"No","2012","vocational + Abi","","","","","2"
"No","2012","higher vocational","","","","","2"
"No","2012","higher education","","","","","2"
"No","2012","general elemantary","","","","","2"
"No","2012","middle vocational","","","","","2"
"No","2012","in school","","","","","2"
"No","2012","inadequately","","","","","2"
"Yes","2012","higher vocational","","","","","1"
"Yes","2012","higher education","","","","","1"
"Yes","2012","middle vocational","","","","","1"
"Yes","2012","vocational + Abi","","","","","1"
"Yes","2012","inadequately","","","","","1"
"Yes","2012","general elemantary","","","","","1"
"Yes","2012","in school","","","","","1"
"No","2013","vocational + Abi","","","","","2"
"No","2013","higher vocational","","","","","2"
"No","2013","higher education","","","","","2"
"No","2013","general elemantary","","","","","2"
"No","2013","middle vocational","","","","","2"
"No","2013","in school","","","","","2"
"No","2013","inadequately","","","","","2"
"Yes","2013","higher vocational","","","","","1"
"Yes","2013","middle vocational","","","","","1"
"Yes","2013","vocational + Abi","","","","","1"
"Yes","2013","higher education","","","","","1"
"Yes","2013","inadequately","","","","","1"
"Yes","2013","general elemantary","","","","","1"
"Yes","2013","in school","","","","","1"
"No","2014","general elemantary","","","","","2"
"No","2014","middle vocational","","","","","2"
"No","2014","vocational + Abi","","","","","2"
"No","2014","higher vocational","","","","","2"
"No","2014","higher education","","","","","2"
"No","2014","in school","","","","","2"
"No","2014","inadequately","","","","","2"
"Yes","2014","higher vocational","","","","","1"
"Yes","2014","middle vocational","","","","","1"
"Yes","2014","vocational + Abi","","","","","1"
"Yes","2014","higher education","","","","","1"
"Yes","2014","inadequately","","","","","1"
"Yes","2014","general elemantary","","","","","1"
"Yes","2014","in school","","","","","1"
"No","2015","general elemantary","","","","","2"
"No","2015","middle vocational","","","","","2"
"No","2015","vocational + Abi","","","","","2"
"No","2015","higher vocational","","","","","2"
"No","2015","higher education","","","","","2"
"No","2015","in school","","","","","2"
"No","2015","inadequately","","","","","2"
"Yes","2015","higher vocational","","","","","1"
"Yes","2015","middle vocational","","","","","1"
"Yes","2015","vocational + Abi","","","","","1"
"Yes","2015","higher education","","","","","1"
"Yes","2015","inadequately","","","","","1"
"Yes","2015","general elemantary","","","","","1"
"Yes","2015","in school","","","","","1"
"No","2016","general elemantary","687","0.566615925288264","0.537925522541105","0.595306328035424","2"
"No","2016","middle vocational","3217","0.503890991505638","0.491450599893449","0.516331383117828","2"
"No","2016","vocational + Abi","710","0.46023047077314","0.434638119874381","0.485822821671899","2"
"No","2016","higher vocational","378","0.425374221841358","0.392578355678766","0.45817008800395","2"
"No","2016","higher education","1336","0.346493409401512","0.331277428006469","0.361709390796556","2"
"No","2016","in school","39","0.816853249990376","0.711725335739707","0.921981164241046","2"
"No","2016","inadequately","87","0.514079607961008","0.433284107640082","0.594875108281935","2"
"Yes","2016","middle vocational","2988","0.496109008494362","0.483668616882172","0.508549400106551","1"
"Yes","2016","higher vocational","495","0.574625778158642","0.54182991199605","0.607421644321234","1"
"Yes","2016","inadequately","60","0.485920392038991","0.405124891718065","0.566715892359918","1"
"Yes","2016","general elemantary","459","0.433384074711736","0.404693671964576","0.462074477458895","1"
"Yes","2016","vocational + Abi","747","0.53976952922686","0.514177178328101","0.565361880125619","1"
"Yes","2016","higher education","2421","0.653506590598488","0.638290609203444","0.668722571993531","1"
"Yes","2016","in school","13","","","","1"
"No","2017","in school","","","","","2"
"No","2017","inadequately","","","","","2"
"No","2017","general elemantary","","","","","2"
"No","2017","middle vocational","","","","","2"
"No","2017","vocational + Abi","","","","","2"
"No","2017","higher vocational","","","","","2"
"No","2017","higher education","","","","","2"
"Yes","2017","middle vocational","","","","","1"
"Yes","2017","higher vocational","","","","","1"
"Yes","2017","inadequately","","","","","1"
"Yes","2017","general elemantary","","","","","1"
"Yes","2017","vocational + Abi","","","","","1"
"Yes","2017","higher education","","","","","1"
"Yes","2017","in school","","","","","1"
"No","2018","in school","","","","","2"
"No","2018","inadequately","","","","","2"
"No","2018","general elemantary","","","","","2"
"No","2018","middle vocational","","","","","2"
"No","2018","vocational + Abi","","","","","2"
"No","2018","higher vocational","","","","","2"
"No","2018","higher education","","","","","2"
"Yes","2018","middle vocational","","","","","1"
"Yes","2018","higher vocational","","","","","1"
"Yes","2018","general elemantary","","","","","1"
"Yes","2018","vocational + Abi","","","","","1"
"Yes","2018","higher education","","","","","1"
"Yes","2018","inadequately","","","","","1"
"Yes","2018","in school","","","","","1"
"No","2019","in school","35","0.569317397234982","0.44188202661754","0.696752767852424","2"
"No","2019","inadequately","86","0.504965316895814","0.424954067835896","0.584976565955731","2"
"No","2019","general elemantary","688","0.586972272141887","0.55847752685029","0.615467017433483","2"
"No","2019","middle vocational","3479","0.50743049969689","0.495264489271728","0.519596510122051","2"
"No","2019","vocational + Abi","817","0.431443795054254","0.407370439187162","0.455517150921345","2"
"No","2019","higher vocational","603","0.41941101943788","0.390549942958914","0.448272095916845","2"
"No","2019","higher education","2106","0.354826233314627","0.341151879515849","0.368500587113404","2"
"Yes","2019","inadequately","64","0.495034683104186","0.415023434044269","0.575045932164104","1"
"Yes","2019","middle vocational","3008","0.49256950030311","0.480403489877949","0.504735510728272","1"
"Yes","2019","higher vocational","520","0.58058898056212","0.551727904083155","0.609450057041085","1"
"Yes","2019","general elemantary","459","0.413027727858114","0.384532982566517","0.44152247314971","1"
"Yes","2019","vocational + Abi","809","0.568556204945746","0.544482849078655","0.592629560812838","1"
"Yes","2019","in school","23","","","","1"
"Yes","2019","higher education","2597","0.645173766685373","0.631499412886596","0.658848120484151","1"
