"plb0050","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2006","no degree/no degree yet","Male","19","","",""
"Yes","2006","no degree/no degree yet","Female","19","","",""
"No","2006","lower secondary degree","Male","896","0.50626476196383","0.483142472337463","0.529387051590197"
"No","2006","lower secondary degree","Female","729","0.576709346437928","0.549097632217575","0.604321060658282"
"No","2006","secondary school degree","Male","980","0.471802600890543","0.449935341884136","0.493669859896949"
"No","2006","secondary school degree","Female","1202","0.510139173895015","0.489836930067001","0.53044141772303"
"No","2006","college entrance qualification","Male","868","0.435194466604256","0.413923950861624","0.456464982346888"
"No","2006","college entrance qualification","Female","754","0.447670468692332","0.424366411279227","0.470974526105436"
"No","2006","Other degree","Male","149","0.539436515572242","0.483860965095972","0.595012066048512"
"No","2006","Other degree","Female","149","0.533157461816699","0.474928842357951","0.591386081275447"
"No","2006","no degree/no degree yet","Male","42","0.678514061622563","0.561309749402344","0.795718373842782"
"No","2006","no degree/no degree yet","Female","32","0.680976453180521","0.553055873115205","0.808897033245838"
"Yes","2007","lower secondary degree","Male","","","",""
"Yes","2007","lower secondary degree","Female","","","",""
"Yes","2007","secondary school degree","Male","","","",""
"Yes","2007","secondary school degree","Female","","","",""
"Yes","2007","college entrance qualification","Male","","","",""
"Yes","2007","college entrance qualification","Female","","","",""
"Yes","2007","Other degree","Male","","","",""
"Yes","2007","Other degree","Female","","","",""
"Yes","2007","no degree/no degree yet","Male","","","",""
"Yes","2007","no degree/no degree yet","Female","","","",""
"No","2007","lower secondary degree","Male","","","",""
"No","2007","lower secondary degree","Female","","","",""
"No","2007","secondary school degree","Male","","","",""
"No","2007","secondary school degree","Female","","","",""
"No","2007","college entrance qualification","Male","","","",""
"No","2007","college entrance qualification","Female","","","",""
"No","2007","Other degree","Male","","","",""
"No","2007","Other degree","Female","","","",""
"No","2007","no degree/no degree yet","Male","","","",""
"No","2007","no degree/no degree yet","Female","","","",""
"Yes","2008","lower secondary degree","Male","","","",""
"Yes","2008","lower secondary degree","Female","","","",""
"Yes","2008","secondary school degree","Male","","","",""
"Yes","2008","secondary school degree","Female","","","",""
"Yes","2008","college entrance qualification","Male","","","",""
"Yes","2008","college entrance qualification","Female","","","",""
"Yes","2008","Other degree","Male","","","",""
"Yes","2008","Other degree","Female","","","",""
"Yes","2008","no degree/no degree yet","Male","","","",""
"Yes","2008","no degree/no degree yet","Female","","","",""
"No","2008","lower secondary degree","Male","","","",""
"No","2008","lower secondary degree","Female","","","",""
"No","2008","secondary school degree","Male","","","",""
"No","2008","secondary school degree","Female","","","",""
"No","2008","college entrance qualification","Male","","","",""
"No","2008","college entrance qualification","Female","","","",""
"No","2008","Other degree","Male","","","",""
"No","2008","Other degree","Female","","","",""
"No","2008","no degree/no degree yet","Male","","","",""
"No","2008","no degree/no degree yet","Female","","","",""
"Yes","2009","lower secondary degree","Male","","","",""
"Yes","2009","lower secondary degree","Female","","","",""
"Yes","2009","secondary school degree","Male","","","",""
"Yes","2009","secondary school degree","Female","","","",""
"Yes","2009","college entrance qualification","Male","","","",""
"Yes","2009","college entrance qualification","Female","","","",""
"Yes","2009","Other degree","Male","","","",""
"Yes","2009","Other degree","Female","","","",""
"Yes","2009","no degree/no degree yet","Male","","","",""
"Yes","2009","no degree/no degree yet","Female","","","",""
"No","2009","lower secondary degree","Male","","","",""
"No","2009","lower secondary degree","Female","","","",""
"No","2009","secondary school degree","Male","","","",""
"No","2009","secondary school degree","Female","","","",""
"No","2009","college entrance qualification","Male","","","",""
"No","2009","college entrance qualification","Female","","","",""
"No","2009","Other degree","Male","","","",""
"No","2009","Other degree","Female","","","",""
"No","2009","no degree/no degree yet","Male","","","",""
"No","2009","no degree/no degree yet","Female","","","",""
"Yes","2010","lower secondary degree","Male","","","",""
"Yes","2010","lower secondary degree","Female","","","",""
"Yes","2010","secondary school degree","Male","","","",""
"Yes","2010","secondary school degree","Female","","","",""
"Yes","2010","college entrance qualification","Male","","","",""
"Yes","2010","college entrance qualification","Female","","","",""
"Yes","2010","Other degree","Male","","","",""
"Yes","2010","Other degree","Female","","","",""
"Yes","2010","no degree/no degree yet","Male","","","",""
"Yes","2010","no degree/no degree yet","Female","","","",""
"No","2010","lower secondary degree","Male","","","",""
"No","2010","lower secondary degree","Female","","","",""
"No","2010","secondary school degree","Male","","","",""
"No","2010","secondary school degree","Female","","","",""
"No","2010","college entrance qualification","Male","","","",""
"No","2010","college entrance qualification","Female","","","",""
"No","2010","Other degree","Male","","","",""
"No","2010","Other degree","Female","","","",""
"No","2010","no degree/no degree yet","Male","","","",""
"No","2010","no degree/no degree yet","Female","","","",""
"Yes","2011","lower secondary degree","Male","748","0.519970581341155","0.494317376522599","0.545623786159712"
"Yes","2011","lower secondary degree","Female","421","0.436512132428262","0.406179974147526","0.466844290708998"
"Yes","2011","secondary school degree","Male","967","0.556755318360712","0.533787063090821","0.579723573630602"
"Yes","2011","secondary school degree","Female","1098","0.493074442956785","0.472286840458391","0.513862045455179"
"Yes","2011","college entrance qualification","Male","1151","0.610903158327059","0.588782028259132","0.633024288394986"
"Yes","2011","college entrance qualification","Female","1099","0.601324616705641","0.578718034951108","0.623931198460175"
"Yes","2011","Other degree","Male","125","0.492080250496695","0.430719096548489","0.5534414044449"
"Yes","2011","Other degree","Female","123","0.506202532820269","0.444958371146251","0.567446694494287"
"Yes","2011","no degree/no degree yet","Male","24","","",""
"Yes","2011","no degree/no degree yet","Female","19","","",""
"No","2011","lower secondary degree","Male","709","0.480029418658845","0.454376213840288","0.505682623477401"
"No","2011","lower secondary degree","Female","606","0.563487867571738","0.533155709291003","0.593820025852474"
"No","2011","secondary school degree","Male","830","0.443244681639288","0.420276426369398","0.466212936909179"
"No","2011","secondary school degree","Female","1124","0.506925557043215","0.486137954544821","0.52771315954161"
"No","2011","college entrance qualification","Male","715","0.389096841672941","0.366975711605014","0.411217971740868"
"No","2011","college entrance qualification","Female","703","0.398675383294359","0.376068801539825","0.421281965048892"
"No","2011","Other degree","Male","130","0.507919749503305","0.4465585955551","0.569280903451511"
"No","2011","Other degree","Female","133","0.493797467179731","0.432553305505713","0.555041628853749"
"No","2011","no degree/no degree yet","Male","43","0.690597876056561","0.579913848408447","0.801281903704676"
"No","2011","no degree/no degree yet","Female","30","0.63584204578829","0.501110413086461","0.770573678490119"
"Yes","2012","lower secondary degree","Male","","","",""
"Yes","2012","lower secondary degree","Female","","","",""
"Yes","2012","secondary school degree","Male","","","",""
"Yes","2012","secondary school degree","Female","","","",""
"Yes","2012","college entrance qualification","Male","","","",""
"Yes","2012","college entrance qualification","Female","","","",""
"Yes","2012","Other degree","Male","","","",""
"Yes","2012","Other degree","Female","","","",""
"Yes","2012","no degree/no degree yet","Male","","","",""
"Yes","2012","no degree/no degree yet","Female","","","",""
"No","2012","lower secondary degree","Male","","","",""
"No","2012","lower secondary degree","Female","","","",""
"No","2012","secondary school degree","Male","","","",""
"No","2012","secondary school degree","Female","","","",""
"No","2012","college entrance qualification","Male","","","",""
"No","2012","college entrance qualification","Female","","","",""
"No","2012","Other degree","Male","","","",""
"No","2012","Other degree","Female","","","",""
"No","2012","no degree/no degree yet","Male","","","",""
"No","2012","no degree/no degree yet","Female","","","",""
"Yes","2013","lower secondary degree","Male","","","",""
"Yes","2013","lower secondary degree","Female","","","",""
"Yes","2013","secondary school degree","Male","","","",""
"Yes","2013","secondary school degree","Female","","","",""
"Yes","2013","college entrance qualification","Male","","","",""
"Yes","2013","college entrance qualification","Female","","","",""
"Yes","2013","Other degree","Male","","","",""
"Yes","2013","Other degree","Female","","","",""
"Yes","2013","no degree/no degree yet","Male","","","",""
"Yes","2013","no degree/no degree yet","Female","","","",""
"No","2013","lower secondary degree","Male","","","",""
"No","2013","lower secondary degree","Female","","","",""
"No","2013","secondary school degree","Male","","","",""
"No","2013","secondary school degree","Female","","","",""
"No","2013","college entrance qualification","Male","","","",""
"No","2013","college entrance qualification","Female","","","",""
"No","2013","Other degree","Male","","","",""
"No","2013","Other degree","Female","","","",""
"No","2013","no degree/no degree yet","Male","","","",""
"No","2013","no degree/no degree yet","Female","","","",""
"Yes","2014","lower secondary degree","Male","","","",""
"Yes","2014","lower secondary degree","Female","","","",""
"Yes","2014","secondary school degree","Male","","","",""
"Yes","2014","secondary school degree","Female","","","",""
"Yes","2014","college entrance qualification","Male","","","",""
"Yes","2014","college entrance qualification","Female","","","",""
"Yes","2014","Other degree","Male","","","",""
"Yes","2014","Other degree","Female","","","",""
"Yes","2014","no degree/no degree yet","Male","","","",""
"Yes","2014","no degree/no degree yet","Female","","","",""
"No","2014","lower secondary degree","Male","","","",""
"No","2014","lower secondary degree","Female","","","",""
"No","2014","secondary school degree","Male","","","",""
"No","2014","secondary school degree","Female","","","",""
"No","2014","college entrance qualification","Male","","","",""
"No","2014","college entrance qualification","Female","","","",""
"No","2014","Other degree","Male","","","",""
"No","2014","Other degree","Female","","","",""
"No","2014","no degree/no degree yet","Male","","","",""
"No","2014","no degree/no degree yet","Female","","","",""
"Yes","2015","lower secondary degree","Male","","","",""
"Yes","2015","lower secondary degree","Female","","","",""
"Yes","2015","secondary school degree","Male","","","",""
"Yes","2015","secondary school degree","Female","","","",""
"Yes","2015","college entrance qualification","Male","","","",""
"Yes","2015","college entrance qualification","Female","","","",""
"Yes","2015","Other degree","Male","","","",""
"Yes","2015","Other degree","Female","","","",""
"Yes","2015","no degree/no degree yet","Male","","","",""
"Yes","2015","no degree/no degree yet","Female","","","",""
"No","2015","lower secondary degree","Male","","","",""
"No","2015","lower secondary degree","Female","","","",""
"No","2015","secondary school degree","Male","","","",""
"No","2015","secondary school degree","Female","","","",""
"No","2015","college entrance qualification","Male","","","",""
"No","2015","college entrance qualification","Female","","","",""
"No","2015","Other degree","Male","","","",""
"No","2015","Other degree","Female","","","",""
"No","2015","no degree/no degree yet","Male","","","",""
"No","2015","no degree/no degree yet","Female","","","",""
"Yes","2016","lower secondary degree","Male","708","0.492417150914133","0.466340560970688","0.518493740857578"
"Yes","2016","lower secondary degree","Female","420","0.443653403442948","0.413415384178626","0.47389142270727"
"Yes","2016","secondary school degree","Male","976","0.539988750012604","0.516925874538586","0.563051625486621"
"Yes","2016","secondary school degree","Female","1226","0.503644051707776","0.483946195658636","0.523341907756917"
"Yes","2016","college entrance qualification","Male","1353","0.640448357573103","0.620064660483871","0.660832054662335"
"Yes","2016","college entrance qualification","Female","1447","0.618521985943073","0.598998629057096","0.638045342829051"
"Yes","2016","Other degree","Male","464","0.493096709455296","0.461953805877251","0.524239613033341"
"Yes","2016","Other degree","Female","380","0.388214515862252","0.357338049541908","0.419090982182596"
"Yes","2016","no degree/no degree yet","Male","55","0.487000521158547","0.401079468366149","0.572921573950945"
"Yes","2016","no degree/no degree yet","Female","33","0.282333300559065","0.199703231557963","0.364963369560168"
"No","2016","lower secondary degree","Male","704","0.507582849085867","0.481506259142422","0.533659439029312"
"No","2016","lower secondary degree","Female","617","0.556346596557052","0.52610857729273","0.586584615821374"
"No","2016","secondary school degree","Male","818","0.460011249987396","0.436948374513379","0.483074125461414"
"No","2016","secondary school degree","Female","1249","0.496355948292224","0.476658092243083","0.516053804341364"
"No","2016","college entrance qualification","Male","776","0.359551642426897","0.339167945337665","0.379935339516129"
"No","2016","college entrance qualification","Female","931","0.381478014056927","0.361954657170949","0.401001370942904"
"No","2016","Other degree","Male","526","0.506903290544704","0.475760386966659","0.538046194122749"
"No","2016","Other degree","Female","577","0.611785484137748","0.580909017817404","0.642661950458092"
"No","2016","no degree/no degree yet","Male","75","0.512999478841452","0.427078426049054","0.598920531633851"
"No","2016","no degree/no degree yet","Female","81","0.717666699440935","0.635036630439832","0.800296768442037"
"Yes","2017","lower secondary degree","Male","","","",""
"Yes","2017","lower secondary degree","Female","","","",""
"Yes","2017","secondary school degree","Male","","","",""
"Yes","2017","secondary school degree","Female","","","",""
"Yes","2017","college entrance qualification","Male","","","",""
"Yes","2017","college entrance qualification","Female","","","",""
"Yes","2017","Other degree","Male","","","",""
"Yes","2017","Other degree","Female","","","",""
"Yes","2017","no degree/no degree yet","Male","","","",""
"Yes","2017","no degree/no degree yet","Female","","","",""
"No","2017","lower secondary degree","Male","","","",""
"No","2017","lower secondary degree","Female","","","",""
"No","2017","secondary school degree","Male","","","",""
"No","2017","secondary school degree","Female","","","",""
"No","2017","college entrance qualification","Male","","","",""
"No","2017","college entrance qualification","Female","","","",""
"No","2017","Other degree","Male","","","",""
"No","2017","Other degree","Female","","","",""
"No","2017","no degree/no degree yet","Male","","","",""
"No","2017","no degree/no degree yet","Female","","","",""
"Yes","2018","lower secondary degree","Male","","","",""
"Yes","2018","lower secondary degree","Female","","","",""
"Yes","2018","secondary school degree","Male","","","",""
"Yes","2018","secondary school degree","Female","","","",""
"Yes","2018","college entrance qualification","Male","","","",""
"Yes","2018","college entrance qualification","Female","","","",""
"Yes","2018","Other degree","Male","","","",""
"Yes","2018","Other degree","Female","","","",""
"Yes","2018","no degree/no degree yet","Male","","","",""
"Yes","2018","no degree/no degree yet","Female","","","",""
"No","2018","lower secondary degree","Male","","","",""
"No","2018","lower secondary degree","Female","","","",""
"No","2018","secondary school degree","Male","","","",""
"No","2018","secondary school degree","Female","","","",""
"No","2018","college entrance qualification","Male","","","",""
"No","2018","college entrance qualification","Female","","","",""
"No","2018","Other degree","Male","","","",""
"No","2018","Other degree","Female","","","",""
"No","2018","no degree/no degree yet","Male","","","",""
"No","2018","no degree/no degree yet","Female","","","",""
"Yes","2019","lower secondary degree","Male","628","0.487092924026725","0.460547797922049","0.513638050131401"
"Yes","2019","lower secondary degree","Female","360","0.40661950286309","0.37525175227057","0.43798725345561"
"Yes","2019","secondary school degree","Male","1041","0.551096548959252","0.530303194125647","0.571889903792857"
"Yes","2019","secondary school degree","Female","1262","0.494648363195148","0.475810600511369","0.513486125878926"
"Yes","2019","college entrance qualification","Male","1520","0.617458412437648","0.600087422813219","0.634829402062078"
"Yes","2019","college entrance qualification","Female","1656","0.61678688496901","0.599162197257341","0.634411572680679"
"Yes","2019","Other degree","Male","376","0.538110194794027","0.502873941804547","0.573346447783507"
"Yes","2019","Other degree","Female","347","0.444287513152072","0.409550381912405","0.479024644391739"
"Yes","2019","no degree/no degree yet","Male","46","0.458620002108292","0.373292301559545","0.543947702657039"
"Yes","2019","no degree/no degree yet","Female","46","0.489737646230411","0.39674146600944","0.582733826451381"
"No","2019","lower secondary degree","Male","734","0.512907075973275","0.486361949868599","0.539452202077951"
"No","2019","lower secondary degree","Female","582","0.59338049713691","0.562012746544389","0.62474824772943"
"No","2019","secondary school degree","Male","1157","0.448903451040748","0.428110096207144","0.469696805874353"
"No","2019","secondary school degree","Female","1444","0.505351636804852","0.486513874121074","0.524189399488631"
"No","2019","college entrance qualification","Male","1487","0.382541587562352","0.365170597937922","0.399912577186781"
"No","2019","college entrance qualification","Female","1267","0.38321311503099","0.365588427319321","0.400837802742659"
"No","2019","Other degree","Male","393","0.461889805205973","0.426653552216493","0.497126058195453"
"No","2019","Other degree","Female","439","0.555712486847928","0.520975355608261","0.590449618087595"
"No","2019","no degree/no degree yet","Male","85","0.541379997891708","0.456052297342961","0.626707698440455"
"No","2019","no degree/no degree yet","Female","65","0.510262353769589","0.417266173548619","0.60325853399056"
