"plb0050","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2014","no migration background","Rural Area","","","","","2"
"No","2014","direct migration background","Urban Area","","","","","2"
"No","2014","direct migration background","Rural Area","","","","","2"
"No","2014","indirect migration background","Urban Area","","","","","2"
"No","2014","indirect migration background","Rural Area","","","","","2"
"Yes","2014","direct migration background","Urban Area","","","","","1"
"Yes","2014","direct migration background","Rural Area","","","","","1"
"Yes","2014","no migration background","Urban Area","","","","","1"
"Yes","2014","indirect migration background","Urban Area","","","","","1"
"Yes","2014","indirect migration background","Rural Area","","","","","1"
"Yes","2014","no migration background","Rural Area","","","","","1"
"No","2015","no migration background","Urban Area","","","","","2"
"No","2015","no migration background","Rural Area","","","","","2"
"No","2015","direct migration background","Urban Area","","","","","2"
"No","2015","direct migration background","Rural Area","","","","","2"
"No","2015","indirect migration background","Urban Area","","","","","2"
"No","2015","indirect migration background","Rural Area","","","","","2"
"Yes","2015","direct migration background","Urban Area","","","","","1"
"Yes","2015","direct migration background","Rural Area","","","","","1"
"Yes","2015","no migration background","Urban Area","","","","","1"
"Yes","2015","no migration background","Rural Area","","","","","1"
"Yes","2015","indirect migration background","Urban Area","","","","","1"
"Yes","2015","indirect migration background","Rural Area","","","","","1"
"No","2016","no migration background","Urban Area","2726","0.434674504663551","0.422340373342974","0.447008635984127","2"
"No","2016","no migration background","Rural Area","1820","0.459994071367694","0.444293629093192","0.475694513642197","2"
"No","2016","direct migration background","Urban Area","1166","0.568103953048521","0.546998543719747","0.589209362377294","2"
"No","2016","direct migration background","Rural Area","422","0.545097609442823","0.508900229708667","0.581294989176979","2"
"No","2016","indirect migration background","Urban Area","380","0.428736852337753","0.394570856632848","0.462902848042658","2"
"No","2016","indirect migration background","Rural Area","101","0.443311554776523","0.374463175324975","0.512159934228071","2"
"Yes","2016","direct migration background","Urban Area","950","0.431896046951479","0.410790637622706","0.453001456280253","1"
"Yes","2016","direct migration background","Rural Area","305","0.454902390557177","0.418705010823021","0.491099770291333","1"
"Yes","2016","no migration background","Urban Area","3479","0.565325495336449","0.552991364015873","0.577659626657026","1"
"Yes","2016","no migration background","Rural Area","2051","0.540005928632305","0.524305486357803","0.555706370906808","1"
"Yes","2016","indirect migration background","Urban Area","426","0.571263147662247","0.537097151957342","0.605429143367152","1"
"Yes","2016","indirect migration background","Rural Area","99","0.556688445223477","0.487840065771929","0.625536824675024","1"
"No","2017","no migration background","Urban Area","","","","","2"
"No","2017","no migration background","Rural Area","","","","","2"
"No","2017","direct migration background","Urban Area","","","","","2"
"No","2017","direct migration background","Rural Area","","","","","2"
"No","2017","indirect migration background","Urban Area","","","","","2"
"No","2017","indirect migration background","Rural Area","","","","","2"
"Yes","2017","direct migration background","Urban Area","","","","","1"
"Yes","2017","direct migration background","Rural Area","","","","","1"
"Yes","2017","no migration background","Urban Area","","","","","1"
"Yes","2017","no migration background","Rural Area","","","","","1"
"Yes","2017","indirect migration background","Urban Area","","","","","1"
"Yes","2017","indirect migration background","Rural Area","","","","","1"
"No","2018","no migration background","Urban Area","","","","","2"
"No","2018","no migration background","Rural Area","","","","","2"
"No","2018","direct migration background","Urban Area","","","","","2"
"No","2018","direct migration background","Rural Area","","","","","2"
"No","2018","indirect migration background","Urban Area","","","","","2"
"No","2018","indirect migration background","Rural Area","","","","","2"
"Yes","2018","direct migration background","Urban Area","","","","","1"
"Yes","2018","direct migration background","Rural Area","","","","","1"
"Yes","2018","no migration background","Urban Area","","","","","1"
"Yes","2018","no migration background","Rural Area","","","","","1"
"Yes","2018","indirect migration background","Urban Area","","","","","1"
"Yes","2018","indirect migration background","Rural Area","","","","","1"
"No","2019","no migration background","Urban Area","3424","0.43377873322164","0.422123011167169","0.445434455276111","2"
"No","2019","no migration background","Rural Area","2415","0.482414240218032","0.467842069017693","0.496986411418371","2"
"No","2019","direct migration background","Urban Area","886","0.502997795755537","0.478923752573761","0.527071838937313","2"
"No","2019","direct migration background","Rural Area","319","0.521961375024637","0.481824802253295","0.562097947795979","2"
"No","2019","indirect migration background","Urban Area","426","0.452115742981497","0.418716024899084","0.48551546106391","2"
"No","2019","indirect migration background","Rural Area","135","0.472194462049839","0.407107906704571","0.537281017395106","2"
"Yes","2019","direct migration background","Urban Area","771","0.497002204244463","0.472928161062687","0.521076247426239","1"
"Yes","2019","direct migration background","Rural Area","276","0.478038624975363","0.437902052204021","0.518175197746705","1"
"Yes","2019","no migration background","Urban Area","3521","0.56622126677836","0.554565544723889","0.577876988832831","1"
"Yes","2019","indirect migration background","Urban Area","427","0.547884257018503","0.514484538936089","0.581283975100916","1"
"Yes","2019","no migration background","Rural Area","2102","0.517585759781968","0.503013588581629","0.532157930982306","1"
"Yes","2019","indirect migration background","Rural Area","91","0.527805537950161","0.462718982604894","0.592892093295429","1"
