"year","education","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2018","no degree/no degree yet","Female","6.47","7","96","6.23","6.71","6","7","7","7"
"2018","no degree/no degree yet","Male","6.56","7","77","6.35","6.77","6","7","7","7"
"2018","Other degree","Female","6.86","7","101","6.74","6.98","6","7","7","7"
"2018","Other degree","Male","6.79","7","80","6.61","6.97","6","7","7","7"
"2018","secondary school degree","Female","","","","","","","","",""
"2018","secondary school degree","Male","","","","","","","","",""
"2019","college entrance qualification","Female","","","","","","","","",""
"2019","college entrance qualification","Male","","","","","","","","",""
"2019","lower secondary degree","Female","","","","","","","","",""
"2019","lower secondary degree","Male","","","","","","","","",""
"2019","no degree/no degree yet","Female","6.41","7","73","6.1","6.72","5","7","7","7"
"2019","no degree/no degree yet","Male","6.42","7","67","6.07","6.77","5","6","7","7"
"2019","Other degree","Female","6.28","7","47","5.98","6.58","5","6","7","7"
"2019","Other degree","Male","6.85","7","40","6.64","7.06","6","7","7","7"
"2019","secondary school degree","Female","","","","","","","","",""
"2019","secondary school degree","Male","","","","","","","","",""
