"pli0081","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1990","16-34 y.","vocational + Abi","57","0.387990675521368","0.313638140083268","0.462343210959468","3"
"Min 1x per month","1990","16-34 y.","higher vocational","60","0.332243446440955","0.260374147250359","0.40411274563155","3"
"Min 1x per month","1990","16-34 y.","higher education","65","0.314150439485236","0.249495938508802","0.37880494046167","3"
"Min 1x per week","1990","66 and older","in school","","","","","2"
"Min 1x per week","1990","66 and older","inadequately","11","","","","2"
"Min 1x per week","1990","66 and older","general elemantary","137","0.336778038904287","0.289446564294863","0.384109513513711","2"
"Min 1x per week","1990","66 and older","middle vocational","171","0.348941923157766","0.307121900973111","0.390761945342421","2"
"Min 1x per week","1990","66 and older","vocational + Abi","7","","","","2"
"Min 1x per week","1990","66 and older","higher vocational","22","","","","2"
"Min 1x per week","1990","66 and older","higher education","23","","","","2"
"Min 1x per week","1990","16-34 y.","in school","39","0.198485097620034","0.136874573070969","0.260095622169098","2"
"Min 1x per week","1990","16-34 y.","inadequately","64","0.331530110928282","0.258356928603163","0.404703293253401","2"
"Min 1x per week","1990","16-34 y.","general elemantary","373","0.347415470474461","0.316928009356536","0.377902931592385","2"
"Min 1x per week","1990","16-34 y.","middle vocational","785","0.435052588033014","0.411811724163422","0.458293451902606","2"
"Min 1x per week","1990","16-34 y.","vocational + Abi","67","0.390623741468174","0.316179998385483","0.465067484550866","2"
"Min 1x per week","1990","16-34 y.","higher vocational","68","0.429870506027238","0.35433316426317","0.505407847791305","2"
"Min 1x per week","1990","16-34 y.","higher education","65","0.387101149819344","0.31925548072297","0.454946818915719","2"
"Min 1x per week","1990","35-65 y.","in school","","","","","2"
"Min 1x per week","1990","35-65 y.","inadequately","192","0.388381575354154","0.343696799850268","0.43306635085804","2"
"Min 1x per week","1990","35-65 y.","general elemantary","439","0.375748000526064","0.347744237955755","0.403751763096373","2"
"Min 1x per week","1990","35-65 y.","middle vocational","771","0.331644950919493","0.312416626824393","0.350873275014592","2"
"Min 1x per week","1990","35-65 y.","vocational + Abi","34","0.279587677372691","0.194150923749085","0.365024430996296","2"
"Min 1x per week","1990","35-65 y.","higher vocational","71","0.269456185618328","0.217301551163102","0.321610820073554","2"
"Min 1x per week","1990","35-65 y.","higher education","128","0.288421154026756","0.245994761544846","0.330847546508667","2"
"Never","1990","66 and older","in school","","","","","5"
"Never","1990","66 and older","vocational + Abi","","","","","5"
"Never","1990","66 and older","inadequately","1","","","","5"
"Never","1990","66 and older","general elemantary","13","","","","5"
"Never","1990","66 and older","middle vocational","18","","","","5"
"Never","1990","35-65 y.","in school","","","","","5"
"Never","1990","35-65 y.","inadequately","52","0.144061840615696","0.111867045556584","0.176256635674808","5"
"Never","1990","35-65 y.","general elemantary","69","0.0381560261109787","0.0270790311146192","0.0492330211073383","5"
"Never","1990","66 and older","higher vocational","3","","","","5"
"Never","1990","66 and older","higher education","4","","","","5"
"Never","1990","35-65 y.","middle vocational","74","0.0216947749549822","0.0157447897847349","0.0276447601252294","5"
"Never","1990","35-65 y.","vocational + Abi","8","","","","5"
"Never","1990","35-65 y.","higher vocational","3","","","","5"
"Never","1990","35-65 y.","higher education","6","","","","5"
"Never","1990","16-34 y.","in school","12","","","","5"
"Never","1990","16-34 y.","inadequately","11","","","","5"
"Never","1990","16-34 y.","general elemantary","52","0.0328416085252113","0.0214301985696987","0.0442530184807239","5"
"Never","1990","16-34 y.","middle vocational","37","0.016824471250395","0.0107952167078481","0.0228537257929419","5"
"Never","1990","16-34 y.","vocational + Abi","5","","","","5"
"Never","1990","16-34 y.","higher vocational","1","","","","5"
"Never","1990","16-34 y.","higher education","1","","","","5"
"Rarely","1990","16-34 y.","general elemantary","200","0.237972317929196","0.210705975155247","0.265238660703146","4"
"Rarely","1990","16-34 y.","middle vocational","315","0.188795660974655","0.170449782440103","0.207141539509206","4"
"Rarely","1990","16-34 y.","vocational + Abi","32","0.186655198760201","0.127203603610017","0.246106793910385","4"
"Rarely","1990","16-34 y.","higher vocational","27","","","","4"
"Rarely","1990","16-34 y.","higher education","57","0.24727206804761","0.187179323098998","0.307364812996223","4"
"Rarely","1990","35-65 y.","in school","","","","","4"
"Rarely","1990","35-65 y.","inadequately","76","0.163314125371184","0.129423226762252","0.197205023980117","4"
"Rarely","1990","35-65 y.","general elemantary","221","0.195965949485408","0.173014210021693","0.218917688949123","4"
"Rarely","1990","35-65 y.","middle vocational","568","0.250176846491076","0.23248781307576","0.267865879906392","4"
"Rarely","1990","35-65 y.","vocational + Abi","36","0.363370614389082","0.271809008635799","0.454932220142366","4"
"Rarely","1990","35-65 y.","higher vocational","87","0.305215346630028","0.251083357623254","0.359347335636803","4"
"Rarely","1990","35-65 y.","higher education","149","0.334626899474047","0.290436891475364","0.37881690747273","4"
"Rarely","1990","66 and older","in school","","","","","4"
"Rarely","1990","66 and older","inadequately","1","","","","4"
"Rarely","1990","16-34 y.","in school","43","0.315284023549484","0.243514284727103","0.387053762371866","4"
"Rarely","1990","16-34 y.","inadequately","31","0.26378838880233","0.195290261576999","0.332286516027661","4"
"Rarely","1990","66 and older","general elemantary","66","0.177993120921184","0.139685247913071","0.216300993929297","4"
"Rarely","1990","66 and older","middle vocational","119","0.256049767125457","0.2177556595624","0.294343874688515","4"
"Rarely","1990","66 and older","vocational + Abi","6","","","","4"
"Rarely","1990","66 and older","higher vocational","15","","","","4"
"Rarely","1990","66 and older","higher education","16","","","","4"
"Daily","1991","16-34 y.","in school","","","","","1"
"Daily","1991","16-34 y.","inadequately","","","","","1"
"Daily","1991","16-34 y.","general elemantary","","","","","1"
"Daily","1991","16-34 y.","middle vocational","","","","","1"
"Daily","1991","16-34 y.","vocational + Abi","","","","","1"
"Daily","1991","16-34 y.","higher vocational","","","","","1"
"Daily","1991","16-34 y.","higher education","","","","","1"
"Daily","1991","35-65 y.","in school","","","","","1"
"Daily","1991","35-65 y.","inadequately","","","","","1"
"Daily","1991","35-65 y.","general elemantary","","","","","1"
"Daily","1991","35-65 y.","middle vocational","","","","","1"
"Daily","1991","35-65 y.","vocational + Abi","","","","","1"
"Daily","1991","35-65 y.","higher vocational","","","","","1"
"Daily","1991","35-65 y.","higher education","","","","","1"
"Daily","1991","66 and older","in school","","","","","1"
"Daily","1991","66 and older","inadequately","","","","","1"
"Daily","1991","66 and older","general elemantary","","","","","1"
"Daily","1991","66 and older","middle vocational","","","","","1"
"Daily","1991","66 and older","vocational + Abi","","","","","1"
"Daily","1991","66 and older","higher vocational","","","","","1"
"Daily","1991","66 and older","higher education","","","","","1"
"Min 1x per month","1991","66 and older","middle vocational","","","","","3"
"Min 1x per month","1991","66 and older","vocational + Abi","","","","","3"
"Min 1x per month","1991","35-65 y.","in school","","","","","3"
"Min 1x per month","1991","35-65 y.","inadequately","","","","","3"
"Min 1x per month","1991","35-65 y.","general elemantary","","","","","3"
"Min 1x per month","1991","35-65 y.","middle vocational","","","","","3"
"Min 1x per month","1991","35-65 y.","vocational + Abi","","","","","3"
"Min 1x per month","1991","35-65 y.","higher vocational","","","","","3"
"Min 1x per month","1991","35-65 y.","higher education","","","","","3"
"Min 1x per month","1991","66 and older","in school","","","","","3"
"Min 1x per month","1991","66 and older","inadequately","","","","","3"
"Min 1x per month","1991","66 and older","general elemantary","","","","","3"
"Min 1x per month","1991","66 and older","higher vocational","","","","","3"
"Min 1x per month","1991","66 and older","higher education","","","","","3"
"Min 1x per month","1991","16-34 y.","in school","","","","","3"
"Min 1x per month","1991","16-34 y.","inadequately","","","","","3"
"Min 1x per month","1991","16-34 y.","general elemantary","","","","","3"
"Min 1x per month","1991","16-34 y.","middle vocational","","","","","3"
"Min 1x per month","1991","16-34 y.","vocational + Abi","","","","","3"
"Min 1x per month","1991","16-34 y.","higher vocational","","","","","3"
"Min 1x per month","1991","16-34 y.","higher education","","","","","3"
"Min 1x per week","1991","66 and older","in school","","","","","2"
"Min 1x per week","1991","66 and older","inadequately","","","","","2"
"Min 1x per week","1991","66 and older","general elemantary","","","","","2"
"Min 1x per week","1991","66 and older","middle vocational","","","","","2"
"Min 1x per week","1991","66 and older","vocational + Abi","","","","","2"
"Min 1x per week","1991","66 and older","higher vocational","","","","","2"
"Min 1x per week","1991","66 and older","higher education","","","","","2"
"Min 1x per week","1991","35-65 y.","vocational + Abi","","","","","2"
"Min 1x per week","1991","35-65 y.","higher vocational","","","","","2"
"Min 1x per week","1991","35-65 y.","higher education","","","","","2"
"Min 1x per week","1991","16-34 y.","in school","","","","","2"
"Min 1x per week","1991","16-34 y.","inadequately","","","","","2"
"Min 1x per week","1991","16-34 y.","general elemantary","","","","","2"
"Min 1x per week","1991","16-34 y.","middle vocational","","","","","2"
"Min 1x per week","1991","16-34 y.","vocational + Abi","","","","","2"
"Min 1x per week","1991","16-34 y.","higher vocational","","","","","2"
"Min 1x per week","1991","16-34 y.","higher education","","","","","2"
"Min 1x per week","1991","35-65 y.","in school","","","","","2"
"Min 1x per week","1991","35-65 y.","inadequately","","","","","2"
"Min 1x per week","1991","35-65 y.","general elemantary","","","","","2"
"Min 1x per week","1991","35-65 y.","middle vocational","","","","","2"
"Never","1991","66 and older","vocational + Abi","","","","","5"
"Never","1991","66 and older","in school","","","","","5"
"Never","1991","66 and older","inadequately","","","","","5"
"Never","1991","66 and older","general elemantary","","","","","5"
"Never","1991","66 and older","middle vocational","","","","","5"
"Never","1991","66 and older","higher vocational","","","","","5"
"Never","1991","66 and older","higher education","","","","","5"
"Never","1991","35-65 y.","in school","","","","","5"
"Never","1991","35-65 y.","inadequately","","","","","5"
"Never","1991","35-65 y.","general elemantary","","","","","5"
"Never","1991","35-65 y.","middle vocational","","","","","5"
"Never","1991","35-65 y.","vocational + Abi","","","","","5"
"Never","1991","35-65 y.","higher vocational","","","","","5"
"Never","1991","35-65 y.","higher education","","","","","5"
"Never","1991","16-34 y.","in school","","","","","5"
"Never","1991","16-34 y.","inadequately","","","","","5"
"Never","1991","16-34 y.","general elemantary","","","","","5"
"Never","1991","16-34 y.","middle vocational","","","","","5"
"Never","1991","16-34 y.","vocational + Abi","","","","","5"
"Never","1991","16-34 y.","higher vocational","","","","","5"
"Never","1991","16-34 y.","higher education","","","","","5"
"Rarely","1991","16-34 y.","general elemantary","","","","","4"
"Rarely","1991","16-34 y.","middle vocational","","","","","4"
"Rarely","1991","16-34 y.","vocational + Abi","","","","","4"
"Rarely","1991","16-34 y.","higher vocational","","","","","4"
"Rarely","1991","16-34 y.","higher education","","","","","4"
"Rarely","1991","35-65 y.","in school","","","","","4"
"Rarely","1991","35-65 y.","inadequately","","","","","4"
"Rarely","1991","35-65 y.","general elemantary","","","","","4"
"Rarely","1991","35-65 y.","middle vocational","","","","","4"
"Rarely","1991","35-65 y.","vocational + Abi","","","","","4"
"Rarely","1991","35-65 y.","higher vocational","","","","","4"
"Rarely","1991","35-65 y.","higher education","","","","","4"
"Rarely","1991","66 and older","in school","","","","","4"
"Rarely","1991","66 and older","inadequately","","","","","4"
"Rarely","1991","66 and older","vocational + Abi","","","","","4"
"Rarely","1991","66 and older","higher vocational","","","","","4"
"Rarely","1991","66 and older","higher education","","","","","4"
"Rarely","1991","16-34 y.","in school","","","","","4"
"Rarely","1991","16-34 y.","inadequately","","","","","4"
"Rarely","1991","66 and older","general elemantary","","","","","4"
"Rarely","1991","66 and older","middle vocational","","","","","4"
"Daily","1992","35-65 y.","general elemantary","","","","","1"
"Daily","1992","35-65 y.","middle vocational","","","","","1"
"Daily","1992","35-65 y.","vocational + Abi","","","","","1"
"Daily","1992","35-65 y.","higher vocational","","","","","1"
"Daily","1992","35-65 y.","higher education","","","","","1"
"Daily","1992","66 and older","in school","","","","","1"
"Daily","1992","66 and older","inadequately","","","","","1"
"Daily","1992","16-34 y.","in school","","","","","1"
"Daily","1992","16-34 y.","inadequately","","","","","1"
"Daily","1992","16-34 y.","general elemantary","","","","","1"
"Daily","1992","16-34 y.","middle vocational","","","","","1"
"Daily","1992","16-34 y.","vocational + Abi","","","","","1"
"Daily","1992","16-34 y.","higher vocational","","","","","1"
"Daily","1992","16-34 y.","higher education","","","","","1"
"Daily","1992","35-65 y.","in school","","","","","1"
"Daily","1992","35-65 y.","inadequately","","","","","1"
"Daily","1992","66 and older","general elemantary","","","","","1"
"Daily","1992","66 and older","middle vocational","","","","","1"
"Daily","1992","66 and older","vocational + Abi","","","","","1"
"Daily","1992","66 and older","higher vocational","","","","","1"
"Daily","1992","66 and older","higher education","","","","","1"
"Min 1x per month","1992","35-65 y.","general elemantary","","","","","3"
"Min 1x per month","1992","66 and older","higher vocational","","","","","3"
"Min 1x per month","1992","35-65 y.","in school","","","","","3"
"Min 1x per month","1992","66 and older","vocational + Abi","","","","","3"
"Min 1x per month","1992","35-65 y.","middle vocational","","","","","3"
"Min 1x per month","1992","35-65 y.","vocational + Abi","","","","","3"
"Min 1x per month","1992","35-65 y.","inadequately","","","","","3"
"Min 1x per month","1992","16-34 y.","in school","","","","","3"
"Min 1x per month","1992","16-34 y.","inadequately","","","","","3"
"Min 1x per month","1992","16-34 y.","general elemantary","","","","","3"
"Min 1x per month","1992","35-65 y.","higher vocational","","","","","3"
"Min 1x per month","1992","35-65 y.","higher education","","","","","3"
"Min 1x per month","1992","66 and older","in school","","","","","3"
"Min 1x per month","1992","66 and older","inadequately","","","","","3"
"Min 1x per month","1992","66 and older","general elemantary","","","","","3"
"Min 1x per month","1992","66 and older","middle vocational","","","","","3"
"Min 1x per month","1992","66 and older","higher education","","","","","3"
"Min 1x per month","1992","16-34 y.","middle vocational","","","","","3"
"Min 1x per month","1992","16-34 y.","vocational + Abi","","","","","3"
"Min 1x per month","1992","16-34 y.","higher vocational","","","","","3"
"Min 1x per month","1992","16-34 y.","higher education","","","","","3"
"Min 1x per week","1992","66 and older","in school","","","","","2"
"Min 1x per week","1992","66 and older","inadequately","","","","","2"
"Min 1x per week","1992","66 and older","general elemantary","","","","","2"
"Min 1x per week","1992","66 and older","middle vocational","","","","","2"
"Min 1x per week","1992","66 and older","vocational + Abi","","","","","2"
"Min 1x per week","1992","66 and older","higher vocational","","","","","2"
"Min 1x per week","1992","66 and older","higher education","","","","","2"
"Min 1x per week","1992","35-65 y.","in school","","","","","2"
"Min 1x per week","1992","35-65 y.","inadequately","","","","","2"
"Min 1x per week","1992","35-65 y.","general elemantary","","","","","2"
"Min 1x per week","1992","35-65 y.","middle vocational","","","","","2"
"Min 1x per week","1992","35-65 y.","vocational + Abi","","","","","2"
"Min 1x per week","1992","35-65 y.","higher vocational","","","","","2"
"Min 1x per week","1992","35-65 y.","higher education","","","","","2"
"Min 1x per week","1992","16-34 y.","in school","","","","","2"
"Min 1x per week","1992","16-34 y.","inadequately","","","","","2"
"Min 1x per week","1992","16-34 y.","general elemantary","","","","","2"
"Min 1x per week","1992","16-34 y.","middle vocational","","","","","2"
"Min 1x per week","1992","16-34 y.","vocational + Abi","","","","","2"
"Min 1x per week","1992","16-34 y.","higher vocational","","","","","2"
"Min 1x per week","1992","16-34 y.","higher education","","","","","2"
"Never","1992","66 and older","higher vocational","","","","","5"
"Never","1992","35-65 y.","in school","","","","","5"
"Never","1992","35-65 y.","inadequately","","","","","5"
"Never","1992","35-65 y.","general elemantary","","","","","5"
"Never","1992","35-65 y.","middle vocational","","","","","5"
"Never","1992","66 and older","in school","","","","","5"
"Never","1992","66 and older","inadequately","","","","","5"
"Never","1992","66 and older","general elemantary","","","","","5"
"Never","1992","66 and older","middle vocational","","","","","5"
"Never","1992","66 and older","vocational + Abi","","","","","5"
"Never","1992","66 and older","higher education","","","","","5"
"Never","1992","35-65 y.","vocational + Abi","","","","","5"
"Never","1992","35-65 y.","higher vocational","","","","","5"
"Never","1992","35-65 y.","higher education","","","","","5"
"Never","1992","16-34 y.","in school","","","","","5"
"Never","1992","16-34 y.","inadequately","","","","","5"
"Never","1992","16-34 y.","general elemantary","","","","","5"
"Never","1992","16-34 y.","middle vocational","","","","","5"
"Never","1992","16-34 y.","vocational + Abi","","","","","5"
"Never","1992","16-34 y.","higher vocational","","","","","5"
"Never","1992","16-34 y.","higher education","","","","","5"
"Rarely","1992","16-34 y.","in school","","","","","4"
"Rarely","1992","16-34 y.","inadequately","","","","","4"
"Rarely","1992","16-34 y.","general elemantary","","","","","4"
"Rarely","1992","16-34 y.","middle vocational","","","","","4"
"Rarely","1992","16-34 y.","vocational + Abi","","","","","4"
"Rarely","1992","16-34 y.","higher vocational","","","","","4"
"Rarely","1992","16-34 y.","higher education","","","","","4"
"Rarely","1992","35-65 y.","in school","","","","","4"
"Rarely","1992","35-65 y.","inadequately","","","","","4"
"Rarely","1992","35-65 y.","general elemantary","","","","","4"
"Rarely","1992","35-65 y.","middle vocational","","","","","4"
"Rarely","1992","35-65 y.","vocational + Abi","","","","","4"
"Rarely","1992","35-65 y.","higher vocational","","","","","4"
"Rarely","1992","35-65 y.","higher education","","","","","4"
"Rarely","1992","66 and older","in school","","","","","4"
"Rarely","1992","66 and older","inadequately","","","","","4"
"Rarely","1992","66 and older","general elemantary","","","","","4"
"Rarely","1992","66 and older","middle vocational","","","","","4"
"Rarely","1992","66 and older","vocational + Abi","","","","","4"
"Rarely","1992","66 and older","higher vocational","","","","","4"
"Rarely","1992","66 and older","higher education","","","","","4"
"Daily","1993","35-65 y.","general elemantary","","","","","1"
"Daily","1993","35-65 y.","middle vocational","","","","","1"
"Daily","1993","35-65 y.","vocational + Abi","","","","","1"
"Daily","1993","35-65 y.","higher vocational","","","","","1"
"Daily","1993","35-65 y.","higher education","","","","","1"
"Daily","1993","66 and older","in school","","","","","1"
"Daily","1993","66 and older","inadequately","","","","","1"
"Daily","1993","16-34 y.","in school","","","","","1"
"Daily","1993","16-34 y.","inadequately","","","","","1"
"Daily","1993","16-34 y.","general elemantary","","","","","1"
"Daily","1993","16-34 y.","middle vocational","","","","","1"
"Daily","1993","16-34 y.","vocational + Abi","","","","","1"
"Daily","1993","16-34 y.","higher vocational","","","","","1"
"Daily","1993","16-34 y.","higher education","","","","","1"
"Daily","1993","35-65 y.","in school","","","","","1"
"Daily","1993","35-65 y.","inadequately","","","","","1"
"Daily","1993","66 and older","general elemantary","","","","","1"
"Daily","1993","66 and older","middle vocational","","","","","1"
"Daily","1993","66 and older","vocational + Abi","","","","","1"
"Daily","1993","66 and older","higher vocational","","","","","1"
"Daily","1993","66 and older","higher education","","","","","1"
"Min 1x per month","1993","35-65 y.","vocational + Abi","","","","","3"
"Min 1x per month","1993","35-65 y.","middle vocational","","","","","3"
"Min 1x per month","1993","66 and older","middle vocational","","","","","3"
"Min 1x per month","1993","66 and older","vocational + Abi","","","","","3"
"Min 1x per month","1993","35-65 y.","general elemantary","","","","","3"
"Min 1x per month","1993","66 and older","higher vocational","","","","","3"
"Min 1x per month","1993","35-65 y.","in school","","","","","3"
"Min 1x per month","1993","35-65 y.","inadequately","","","","","3"
"Min 1x per month","1993","35-65 y.","higher vocational","","","","","3"
"Min 1x per month","1993","35-65 y.","higher education","","","","","3"
"Min 1x per month","1993","66 and older","in school","","","","","3"
"Min 1x per month","1993","66 and older","inadequately","","","","","3"
"Min 1x per month","1993","66 and older","general elemantary","","","","","3"
"Min 1x per month","1993","66 and older","higher education","","","","","3"
"Min 1x per month","1993","16-34 y.","in school","","","","","3"
"Min 1x per month","1993","16-34 y.","inadequately","","","","","3"
"Min 1x per month","1993","16-34 y.","general elemantary","","","","","3"
"Min 1x per month","1993","16-34 y.","middle vocational","","","","","3"
"Min 1x per month","1993","16-34 y.","vocational + Abi","","","","","3"
"Min 1x per month","1993","16-34 y.","higher vocational","","","","","3"
"Min 1x per month","1993","16-34 y.","higher education","","","","","3"
"Min 1x per week","1993","66 and older","in school","","","","","2"
"Min 1x per week","1993","66 and older","inadequately","","","","","2"
"Min 1x per week","1993","66 and older","general elemantary","","","","","2"
"Min 1x per week","1993","66 and older","middle vocational","","","","","2"
"Min 1x per week","1993","66 and older","vocational + Abi","","","","","2"
"Min 1x per week","1993","66 and older","higher vocational","","","","","2"
"Min 1x per week","1993","66 and older","higher education","","","","","2"
"Min 1x per week","1993","35-65 y.","in school","","","","","2"
"Min 1x per week","1993","35-65 y.","inadequately","","","","","2"
"Min 1x per week","1993","35-65 y.","general elemantary","","","","","2"
"Min 1x per week","1993","35-65 y.","middle vocational","","","","","2"
"Min 1x per week","1993","35-65 y.","vocational + Abi","","","","","2"
"Min 1x per week","1993","35-65 y.","higher vocational","","","","","2"
"Min 1x per week","1993","35-65 y.","higher education","","","","","2"
"Min 1x per week","1993","16-34 y.","vocational + Abi","","","","","2"
"Min 1x per week","1993","16-34 y.","higher vocational","","","","","2"
"Min 1x per week","1993","16-34 y.","higher education","","","","","2"
"Min 1x per week","1993","16-34 y.","general elemantary","","","","","2"
"Min 1x per week","1993","16-34 y.","middle vocational","","","","","2"
"Min 1x per week","1993","16-34 y.","inadequately","","","","","2"
"Min 1x per week","1993","16-34 y.","in school","","","","","2"
"Never","1993","66 and older","vocational + Abi","","","","","5"
"Never","1993","66 and older","higher vocational","","","","","5"
"Never","1993","35-65 y.","in school","","","","","5"
"Never","1993","35-65 y.","inadequately","","","","","5"
"Never","1993","35-65 y.","general elemantary","","","","","5"
"Never","1993","66 and older","in school","","","","","5"
"Never","1993","66 and older","inadequately","","","","","5"
"Never","1993","66 and older","general elemantary","","","","","5"
"Never","1993","66 and older","middle vocational","","","","","5"
"Never","1993","66 and older","higher education","","","","","5"
"Never","1993","35-65 y.","middle vocational","","","","","5"
"Never","1993","35-65 y.","vocational + Abi","","","","","5"
"Never","1993","35-65 y.","higher vocational","","","","","5"
"Never","1993","35-65 y.","higher education","","","","","5"
"Never","1993","16-34 y.","in school","","","","","5"
"Never","1993","16-34 y.","inadequately","","","","","5"
"Never","1993","16-34 y.","general elemantary","","","","","5"
"Never","1993","16-34 y.","middle vocational","","","","","5"
"Never","1993","16-34 y.","vocational + Abi","","","","","5"
"Never","1993","16-34 y.","higher vocational","","","","","5"
"Never","1993","16-34 y.","higher education","","","","","5"
"Rarely","1993","16-34 y.","general elemantary","","","","","4"
"Rarely","1993","16-34 y.","middle vocational","","","","","4"
"Rarely","1993","16-34 y.","vocational + Abi","","","","","4"
"Rarely","1993","16-34 y.","higher vocational","","","","","4"
"Rarely","1993","16-34 y.","higher education","","","","","4"
"Rarely","1993","35-65 y.","in school","","","","","4"
"Rarely","1993","35-65 y.","inadequately","","","","","4"
"Rarely","1993","35-65 y.","general elemantary","","","","","4"
"Rarely","1993","35-65 y.","middle vocational","","","","","4"
"Rarely","1993","35-65 y.","vocational + Abi","","","","","4"
"Rarely","1993","35-65 y.","higher vocational","","","","","4"
"Rarely","1993","35-65 y.","higher education","","","","","4"
"Rarely","1993","66 and older","in school","","","","","4"
"Rarely","1993","66 and older","inadequately","","","","","4"
"Rarely","1993","16-34 y.","in school","","","","","4"
"Rarely","1993","16-34 y.","inadequately","","","","","4"
"Rarely","1993","66 and older","general elemantary","","","","","4"
"Rarely","1993","66 and older","middle vocational","","","","","4"
"Rarely","1993","66 and older","vocational + Abi","","","","","4"
"Rarely","1993","66 and older","higher vocational","","","","","4"
"Rarely","1993","66 and older","higher education","","","","","4"
"Daily","1994","16-34 y.","in school","","","","","1"
"Daily","1994","16-34 y.","inadequately","","","","","1"
"Daily","1994","16-34 y.","general elemantary","","","","","1"
"Daily","1994","16-34 y.","middle vocational","","","","","1"
"Daily","1994","16-34 y.","vocational + Abi","","","","","1"
"Daily","1994","16-34 y.","higher vocational","","","","","1"
"Daily","1994","16-34 y.","higher education","","","","","1"
"Daily","1994","35-65 y.","in school","","","","","1"
"Daily","1994","35-65 y.","inadequately","","","","","1"
"Daily","1994","35-65 y.","general elemantary","","","","","1"
"Daily","1994","35-65 y.","middle vocational","","","","","1"
"Daily","1994","35-65 y.","vocational + Abi","","","","","1"
"Daily","1994","35-65 y.","higher vocational","","","","","1"
"Daily","1994","35-65 y.","higher education","","","","","1"
"Daily","1994","66 and older","in school","","","","","1"
"Daily","1994","66 and older","inadequately","","","","","1"
"Daily","1994","66 and older","general elemantary","","","","","1"
"Daily","1994","66 and older","middle vocational","","","","","1"
"Daily","1994","66 and older","vocational + Abi","","","","","1"
"Daily","1994","66 and older","higher vocational","","","","","1"
"Daily","1994","66 and older","higher education","","","","","1"
"Min 1x per month","1994","16-34 y.","in school","","","","","3"
"Min 1x per month","1994","16-34 y.","inadequately","","","","","3"
"Min 1x per month","1994","16-34 y.","general elemantary","","","","","3"
"Min 1x per month","1994","16-34 y.","middle vocational","","","","","3"
"Min 1x per month","1994","16-34 y.","vocational + Abi","","","","","3"
