"pli0081","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Rarely","1992","inadequately","Rural Area","","","",""
"Rarely","1992","general elemantary","Urban Area","","","",""
"Rarely","1992","general elemantary","Rural Area","","","",""
"Rarely","1992","middle vocational","Urban Area","","","",""
"Rarely","1992","middle vocational","Rural Area","","","",""
"Rarely","1992","vocational + Abi","Urban Area","","","",""
"Rarely","1992","vocational + Abi","Rural Area","","","",""
"Rarely","1992","higher vocational","Urban Area","","","",""
"Rarely","1992","higher vocational","Rural Area","","","",""
"Rarely","1992","higher education","Urban Area","","","",""
"Rarely","1992","higher education","Rural Area","","","",""
"Never","1992","in school","Urban Area","","","",""
"Never","1992","in school","Rural Area","","","",""
"Never","1992","inadequately","Urban Area","","","",""
"Never","1992","inadequately","Rural Area","","","",""
"Never","1992","general elemantary","Urban Area","","","",""
"Never","1992","general elemantary","Rural Area","","","",""
"Never","1992","middle vocational","Urban Area","","","",""
"Never","1992","middle vocational","Rural Area","","","",""
"Never","1992","vocational + Abi","Urban Area","","","",""
"Never","1992","vocational + Abi","Rural Area","","","",""
"Never","1992","higher vocational","Urban Area","","","",""
"Never","1992","higher vocational","Rural Area","","","",""
"Never","1992","higher education","Urban Area","","","",""
"Never","1992","higher education","Rural Area","","","",""
"Daily","1993","in school","Urban Area","","","",""
"Daily","1993","in school","Rural Area","","","",""
"Daily","1993","inadequately","Urban Area","","","",""
"Daily","1993","inadequately","Rural Area","","","",""
"Daily","1993","general elemantary","Urban Area","","","",""
"Daily","1993","general elemantary","Rural Area","","","",""
"Daily","1993","middle vocational","Urban Area","","","",""
"Daily","1993","middle vocational","Rural Area","","","",""
"Daily","1993","vocational + Abi","Urban Area","","","",""
"Daily","1993","vocational + Abi","Rural Area","","","",""
"Daily","1993","higher vocational","Urban Area","","","",""
"Daily","1993","higher vocational","Rural Area","","","",""
"Daily","1993","higher education","Urban Area","","","",""
"Daily","1993","higher education","Rural Area","","","",""
"Min 1x per week","1993","in school","Urban Area","","","",""
"Min 1x per week","1993","in school","Rural Area","","","",""
"Min 1x per week","1993","inadequately","Urban Area","","","",""
"Min 1x per week","1993","inadequately","Rural Area","","","",""
"Min 1x per week","1993","general elemantary","Urban Area","","","",""
"Min 1x per week","1993","general elemantary","Rural Area","","","",""
"Min 1x per week","1993","middle vocational","Urban Area","","","",""
"Min 1x per week","1993","middle vocational","Rural Area","","","",""
"Min 1x per week","1993","vocational + Abi","Urban Area","","","",""
"Min 1x per week","1993","vocational + Abi","Rural Area","","","",""
"Min 1x per week","1993","higher vocational","Urban Area","","","",""
"Min 1x per week","1993","higher vocational","Rural Area","","","",""
"Min 1x per week","1993","higher education","Urban Area","","","",""
"Min 1x per week","1993","higher education","Rural Area","","","",""
"Min 1x per month","1993","in school","Urban Area","","","",""
"Min 1x per month","1993","in school","Rural Area","","","",""
"Min 1x per month","1993","inadequately","Urban Area","","","",""
"Min 1x per month","1993","inadequately","Rural Area","","","",""
"Min 1x per month","1993","general elemantary","Urban Area","","","",""
"Min 1x per month","1993","general elemantary","Rural Area","","","",""
"Min 1x per month","1993","middle vocational","Urban Area","","","",""
"Min 1x per month","1993","middle vocational","Rural Area","","","",""
"Min 1x per month","1993","vocational + Abi","Urban Area","","","",""
"Min 1x per month","1993","vocational + Abi","Rural Area","","","",""
"Min 1x per month","1993","higher vocational","Urban Area","","","",""
"Min 1x per month","1993","higher vocational","Rural Area","","","",""
"Min 1x per month","1993","higher education","Urban Area","","","",""
"Min 1x per month","1993","higher education","Rural Area","","","",""
"Rarely","1993","in school","Urban Area","","","",""
"Rarely","1993","in school","Rural Area","","","",""
"Rarely","1993","inadequately","Urban Area","","","",""
"Rarely","1993","inadequately","Rural Area","","","",""
"Rarely","1993","general elemantary","Urban Area","","","",""
"Rarely","1993","general elemantary","Rural Area","","","",""
"Rarely","1993","middle vocational","Urban Area","","","",""
"Rarely","1993","middle vocational","Rural Area","","","",""
"Rarely","1993","vocational + Abi","Urban Area","","","",""
"Rarely","1993","vocational + Abi","Rural Area","","","",""
"Rarely","1993","higher vocational","Urban Area","","","",""
"Rarely","1993","higher vocational","Rural Area","","","",""
"Rarely","1993","higher education","Urban Area","","","",""
"Rarely","1993","higher education","Rural Area","","","",""
"Never","1993","in school","Urban Area","","","",""
"Never","1993","in school","Rural Area","","","",""
"Never","1993","inadequately","Urban Area","","","",""
"Never","1993","inadequately","Rural Area","","","",""
"Never","1993","general elemantary","Urban Area","","","",""
"Never","1993","general elemantary","Rural Area","","","",""
"Never","1993","middle vocational","Urban Area","","","",""
"Never","1993","middle vocational","Rural Area","","","",""
"Never","1993","vocational + Abi","Urban Area","","","",""
"Never","1993","vocational + Abi","Rural Area","","","",""
"Never","1993","higher vocational","Urban Area","","","",""
"Never","1993","higher vocational","Rural Area","","","",""
"Never","1993","higher education","Urban Area","","","",""
"Never","1993","higher education","Rural Area","","","",""
"Daily","1994","in school","Urban Area","","","",""
"Daily","1994","in school","Rural Area","","","",""
"Daily","1994","inadequately","Urban Area","","","",""
"Daily","1994","inadequately","Rural Area","","","",""
"Daily","1994","general elemantary","Urban Area","","","",""
"Daily","1994","general elemantary","Rural Area","","","",""
"Daily","1994","middle vocational","Urban Area","","","",""
"Daily","1994","middle vocational","Rural Area","","","",""
"Daily","1994","vocational + Abi","Urban Area","","","",""
"Daily","1994","vocational + Abi","Rural Area","","","",""
"Daily","1994","higher vocational","Urban Area","","","",""
"Daily","1994","higher vocational","Rural Area","","","",""
"Daily","1994","higher education","Urban Area","","","",""
"Daily","1994","higher education","Rural Area","","","",""
"Min 1x per week","1994","in school","Urban Area","","","",""
"Min 1x per week","1994","in school","Rural Area","","","",""
"Min 1x per week","1994","inadequately","Urban Area","","","",""
"Min 1x per week","1994","inadequately","Rural Area","","","",""
"Min 1x per week","1994","general elemantary","Urban Area","","","",""
"Min 1x per week","1994","general elemantary","Rural Area","","","",""
"Min 1x per week","1994","middle vocational","Urban Area","","","",""
"Min 1x per week","1994","middle vocational","Rural Area","","","",""
"Min 1x per week","1994","vocational + Abi","Urban Area","","","",""
"Min 1x per week","1994","vocational + Abi","Rural Area","","","",""
"Min 1x per week","1994","higher vocational","Urban Area","","","",""
"Min 1x per week","1994","higher vocational","Rural Area","","","",""
"Min 1x per week","1994","higher education","Urban Area","","","",""
"Min 1x per week","1994","higher education","Rural Area","","","",""
"Min 1x per month","1994","in school","Urban Area","","","",""
"Min 1x per month","1994","in school","Rural Area","","","",""
"Min 1x per month","1994","inadequately","Urban Area","","","",""
"Min 1x per month","1994","inadequately","Rural Area","","","",""
"Min 1x per month","1994","general elemantary","Urban Area","","","",""
"Min 1x per month","1994","general elemantary","Rural Area","","","",""
"Min 1x per month","1994","middle vocational","Urban Area","","","",""
"Min 1x per month","1994","middle vocational","Rural Area","","","",""
"Min 1x per month","1994","vocational + Abi","Urban Area","","","",""
"Min 1x per month","1994","vocational + Abi","Rural Area","","","",""
"Min 1x per month","1994","higher vocational","Urban Area","","","",""
"Min 1x per month","1994","higher vocational","Rural Area","","","",""
"Min 1x per month","1994","higher education","Urban Area","","","",""
"Min 1x per month","1994","higher education","Rural Area","","","",""
"Rarely","1994","in school","Urban Area","","","",""
"Rarely","1994","in school","Rural Area","","","",""
"Rarely","1994","inadequately","Urban Area","","","",""
"Rarely","1994","inadequately","Rural Area","","","",""
"Rarely","1994","general elemantary","Urban Area","","","",""
"Rarely","1994","general elemantary","Rural Area","","","",""
"Rarely","1994","middle vocational","Urban Area","","","",""
"Rarely","1994","middle vocational","Rural Area","","","",""
"Rarely","1994","vocational + Abi","Urban Area","","","",""
"Rarely","1994","vocational + Abi","Rural Area","","","",""
"Rarely","1994","higher vocational","Urban Area","","","",""
"Rarely","1994","higher vocational","Rural Area","","","",""
"Rarely","1994","higher education","Urban Area","","","",""
"Rarely","1994","higher education","Rural Area","","","",""
"Never","1994","in school","Urban Area","","","",""
"Never","1994","in school","Rural Area","","","",""
"Never","1994","inadequately","Urban Area","","","",""
"Never","1994","inadequately","Rural Area","","","",""
"Never","1994","general elemantary","Urban Area","","","",""
"Never","1994","general elemantary","Rural Area","","","",""
"Never","1994","middle vocational","Urban Area","","","",""
"Never","1994","middle vocational","Rural Area","","","",""
"Never","1994","vocational + Abi","Urban Area","","","",""
"Never","1994","vocational + Abi","Rural Area","","","",""
"Never","1994","higher vocational","Urban Area","","","",""
"Never","1994","higher vocational","Rural Area","","","",""
"Never","1994","higher education","Urban Area","","","",""
"Never","1994","higher education","Rural Area","","","",""
"Daily","1995","in school","Urban Area","13","","",""
"Daily","1995","in school","Rural Area","5","","",""
"Daily","1995","inadequately","Urban Area","68","0.148315548301138","0.115293745027776","0.181337351574499"
"Daily","1995","inadequately","Rural Area","8","","",""
"Daily","1995","general elemantary","Urban Area","187","0.102170615711718","0.0879478541793206","0.116393377244115"
"Daily","1995","general elemantary","Rural Area","64","0.0991563261535875","0.0778799128347169","0.120432739472458"
"Daily","1995","middle vocational","Urban Area","360","0.076359761180506","0.068413688430154","0.084305833930858"
"Daily","1995","middle vocational","Rural Area","197","0.0815725509149567","0.0706785685252212","0.0924665333046922"
"Daily","1995","vocational + Abi","Urban Area","26","","",""
"Daily","1995","vocational + Abi","Rural Area","3","","",""
"Daily","1995","higher vocational","Urban Area","25","","",""
"Daily","1995","higher vocational","Rural Area","17","","",""
"Daily","1995","higher education","Urban Area","41","0.0296694313006066","0.0197457529231793","0.039593109678034"
"Daily","1995","higher education","Rural Area","41","0.0589906491495182","0.0406654043233961","0.0773158939756403"
"Min 1x per week","1995","in school","Urban Area","62","0.300496681554683","0.236797143545182","0.364196219564184"
"Min 1x per week","1995","in school","Rural Area","26","","",""
"Min 1x per week","1995","inadequately","Urban Area","196","0.36459983578515","0.319880022536737","0.409319649033562"
"Min 1x per week","1995","inadequately","Rural Area","48","0.405354828289922","0.300982528790636","0.509727127789207"
"Min 1x per week","1995","general elemantary","Urban Area","765","0.415737130272832","0.392593175796859","0.438881084748804"
"Min 1x per week","1995","general elemantary","Rural Area","286","0.356307789630727","0.322214785311671","0.390400793949782"
"Min 1x per week","1995","middle vocational","Urban Area","1778","0.390702089260308","0.376103646040412","0.405300532480204"
"Min 1x per week","1995","middle vocational","Rural Area","978","0.39961779102074","0.380122553349235","0.419113028692246"
"Min 1x per week","1995","vocational + Abi","Urban Area","142","0.355196376061621","0.306032581288915","0.404360170834327"
"Min 1x per week","1995","vocational + Abi","Rural Area","47","0.381595165403985","0.292422133021341","0.47076819778663"
"Min 1x per week","1995","higher vocational","Urban Area","199","0.382109168412235","0.338319956877817","0.425898379946654"
"Min 1x per week","1995","higher vocational","Rural Area","104","0.394767236173339","0.338509680619734","0.451024791726944"
"Min 1x per week","1995","higher education","Urban Area","384","0.327953380602418","0.300495692383744","0.355411068821093"
"Min 1x per week","1995","higher education","Rural Area","226","0.350591649884386","0.313479086979551","0.387704212789221"
"Min 1x per month","1995","in school","Urban Area","66","0.344775075013464","0.278738477491649","0.410811672535278"
"Min 1x per month","1995","in school","Rural Area","33","0.332353571583919","0.232796455997467","0.431910687170371"
"Min 1x per month","1995","inadequately","Urban Area","81","0.221361250230329","0.182787941651364","0.259934558809295"
"Min 1x per month","1995","inadequately","Rural Area","12","","",""
"Min 1x per month","1995","general elemantary","Urban Area","418","0.259325134061696","0.238744434871801","0.279905833251592"
"Min 1x per month","1995","general elemantary","Rural Area","216","0.269907970279129","0.238306292065462","0.301509648492797"
"Min 1x per month","1995","middle vocational","Urban Area","1192","0.285146711139235","0.271638075838876","0.298655346439594"
"Min 1x per month","1995","middle vocational","Rural Area","753","0.31532024001538","0.29682704758779","0.333813432442969"
"Min 1x per month","1995","vocational + Abi","Urban Area","111","0.32010399248045","0.272178764212262","0.368029220748639"
"Min 1x per month","1995","vocational + Abi","Rural Area","30","0.279967702763618","0.197549029179945","0.362386376347291"
"Min 1x per month","1995","higher vocational","Urban Area","152","0.316372843009958","0.274461963703516","0.358283722316399"
"Min 1x per month","1995","higher vocational","Rural Area","95","0.299197310493406","0.246495466065184","0.351899154921627"
"Min 1x per month","1995","higher education","Urban Area","398","0.339655766583603","0.311956842252077","0.367354690915128"
"Min 1x per month","1995","higher education","Rural Area","233","0.349298921524664","0.312217991851181","0.386379851198147"
"Rarely","1995","in school","Urban Area","49","0.276488841299504","0.214347163640354","0.338630518958654"
"Rarely","1995","in school","Rural Area","20","","",""
"Rarely","1995","inadequately","Urban Area","58","0.165706725182933","0.131160744630869","0.200252705734996"
"Rarely","1995","inadequately","Rural Area","12","","",""
"Rarely","1995","general elemantary","Urban Area","290","0.182300812363708","0.164170090283177","0.20043153444424"
"Rarely","1995","general elemantary","Rural Area","160","0.23945070115502","0.209070878808745","0.269830523501294"
"Rarely","1995","middle vocational","Urban Area","841","0.217110132931765","0.204774563093652","0.229445702769878"
"Rarely","1995","middle vocational","Rural Area","459","0.189192309397167","0.173603861041846","0.204780757752487"
"Rarely","1995","vocational + Abi","Urban Area","76","0.223605185128338","0.180801649145236","0.266408721111441"
"Rarely","1995","vocational + Abi","Rural Area","28","","",""
"Rarely","1995","higher vocational","Urban Area","89","0.230982358959425","0.193000599583298","0.268964118335553"
"Rarely","1995","higher vocational","Rural Area","71","0.229084034293781","0.18071693710861","0.277451131478952"
"Rarely","1995","higher education","Urban Area","272","0.268379700819232","0.242463226576899","0.294296175061565"
"Rarely","1995","higher education","Rural Area","127","0.226045668665325","0.19351320219897","0.258578135131679"
"Never","1995","in school","Urban Area","9","","",""
"Never","1995","in school","Rural Area","2","","",""
"Never","1995","inadequately","Urban Area","42","0.100016640500451","0.0721412181239848","0.127892062876917"
"Never","1995","inadequately","Rural Area","5","","",""
"Never","1995","general elemantary","Urban Area","82","0.0404663075900454","0.0312129164684","0.0497196987116908"
"Never","1995","general elemantary","Rural Area","32","0.0351772127815372","0.0220622223784527","0.0482922031846216"
"Never","1995","middle vocational","Urban Area","120","0.0306813054881859","0.0255214320950173","0.0358411788813544"
"Never","1995","middle vocational","Rural Area","38","0.0142971086517565","0.00957224431161406","0.0190219729918989"
"Never","1995","vocational + Abi","Urban Area","9","","",""
"Never","1995","vocational + Abi","Rural Area","6","","",""
"Never","1995","higher vocational","Urban Area","8","","",""
"Never","1995","higher vocational","Rural Area","3","","",""
"Never","1995","higher education","Urban Area","28","","",""
"Never","1995","higher education","Rural Area","8","","",""
"Daily","1996","in school","Urban Area","","","",""
"Daily","1996","in school","Rural Area","","","",""
"Daily","1996","inadequately","Urban Area","","","",""
"Daily","1996","inadequately","Rural Area","","","",""
"Daily","1996","general elemantary","Urban Area","","","",""
"Daily","1996","general elemantary","Rural Area","","","",""
"Daily","1996","middle vocational","Urban Area","","","",""
"Daily","1996","middle vocational","Rural Area","","","",""
"Daily","1996","vocational + Abi","Urban Area","","","",""
"Daily","1996","vocational + Abi","Rural Area","","","",""
"Daily","1996","higher vocational","Urban Area","","","",""
"Daily","1996","higher vocational","Rural Area","","","",""
"Daily","1996","higher education","Urban Area","","","",""
"Daily","1996","higher education","Rural Area","","","",""
"Min 1x per week","1996","in school","Urban Area","","","",""
"Min 1x per week","1996","in school","Rural Area","","","",""
"Min 1x per week","1996","inadequately","Urban Area","","","",""
"Min 1x per week","1996","inadequately","Rural Area","","","",""
"Min 1x per week","1996","general elemantary","Urban Area","","","",""
"Min 1x per week","1996","general elemantary","Rural Area","","","",""
"Min 1x per week","1996","middle vocational","Urban Area","","","",""
"Min 1x per week","1996","middle vocational","Rural Area","","","",""
"Min 1x per week","1996","vocational + Abi","Urban Area","","","",""
"Min 1x per week","1996","vocational + Abi","Rural Area","","","",""
"Min 1x per week","1996","higher vocational","Urban Area","","","",""
"Min 1x per week","1996","higher vocational","Rural Area","","","",""
"Min 1x per week","1996","higher education","Urban Area","","","",""
"Min 1x per week","1996","higher education","Rural Area","","","",""
"Min 1x per month","1996","in school","Urban Area","","","",""
"Min 1x per month","1996","in school","Rural Area","","","",""
"Min 1x per month","1996","inadequately","Urban Area","","","",""
"Min 1x per month","1996","inadequately","Rural Area","","","",""
"Min 1x per month","1996","general elemantary","Urban Area","","","",""
"Min 1x per month","1996","general elemantary","Rural Area","","","",""
