"plh0204_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","indirect migration background","(1c) basic vocational qualification","12","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","(2b) intermediate general qualification","1","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","(2a) intermediate vocational","9","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","(2c_gen) general maturity certificate","3","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","(3a) lower tertiary education","1","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","(3b) higher tertiary education","2","","",""
"1","2004","no migration background","(0) in school","6","","",""
"1","2004","no migration background","(1a) inadequately completed","5","","",""
"1","2004","no migration background","(1b) general elementary school","125","0.0938701693454303","0.0781189485904338","0.109621390100427"
"1","2004","no migration background","(1c) basic vocational qualification","330","0.0645824903453977","0.0579097222936261","0.0712552583971693"
"1","2004","no migration background","(2b) intermediate general qualification","17","","",""
"1","2004","no migration background","(2a) intermediate vocational","170","0.0407788606261916","0.0351353930137737","0.0464223282386095"
"1","2004","no migration background","(2c_gen) general maturity certificate","10","","",""
"1","2004","no migration background","(2c_voc) vocational maturity certificate","40","0.0344714628380723","0.0242300787936259","0.0447128468825187"
"1","2004","no migration background","(3a) lower tertiary education","56","0.035996445429036","0.0268830608226909","0.045109830035381"
"1","2004","no migration background","(3b) higher tertiary education","55","0.0303940501180491","0.0233336153084067","0.0374544849276914"
"1","2004","direct migration background","(0) in school","1","","",""
"1","2004","direct migration background","(1a) inadequately completed","18","","",""
"1","2004","direct migration background","(1b) general elementary school","62","0.12023966351462","0.0934923610794178","0.146986965949822"
"1","2004","direct migration background","(1c) basic vocational qualification","54","0.0942979411192146","0.0729810790546369","0.115614803183792"
"1","2004","direct migration background","(2b) intermediate general qualification","1","","",""
"1","2004","direct migration background","(2a) intermediate vocational","7","","",""
"1","2004","direct migration background","(2c_gen) general maturity certificate","5","","",""
"1","2004","direct migration background","(2c_voc) vocational maturity certificate","15","","",""
"1","2004","direct migration background","(3a) lower tertiary education","4","","",""
"1","2004","direct migration background","(3b) higher tertiary education","10","","",""
"1","2004","indirect migration background","(0) in school","3","","",""
"1","2004","indirect migration background","(1a) inadequately completed","","","",""
"1","2004","indirect migration background","(1b) general elementary school","7","","",""
"1","2004","indirect migration background","(1c) basic vocational qualification","7","","",""
"1","2004","indirect migration background","(2b) intermediate general qualification","6","","",""
"1","2004","indirect migration background","(2a) intermediate vocational","6","","",""
"1","2004","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"1","2004","indirect migration background","(2c_voc) vocational maturity certificate","4","","",""
"1","2004","indirect migration background","(3a) lower tertiary education","","","",""
"1","2004","indirect migration background","(3b) higher tertiary education","1","","",""
"2","2004","no migration background","(0) in school","21","","",""
"2","2004","no migration background","(1a) inadequately completed","4","","",""
"2","2004","no migration background","(1b) general elementary school","174","0.137057479228882","0.118483818513576","0.155631139944188"
"2","2004","no migration background","(1c) basic vocational qualification","598","0.114286961701556","0.105649408208095","0.122924515195018"
"2","2004","no migration background","(2b) intermediate general qualification","30","0.0879954722281235","0.0629380722577759","0.113052872198471"
"2","2004","no migration background","(2a) intermediate vocational","453","0.0944828479507821","0.0861365487185726","0.102829147182992"
"2","2004","no migration background","(2c_gen) general maturity certificate","43","0.0521893419513566","0.035011964382677","0.0693667195200362"
"2","2004","no migration background","(2c_voc) vocational maturity certificate","89","0.0738834667084822","0.0591991856152874","0.088567747801677"
"2","2004","no migration background","(3a) lower tertiary education","129","0.0838350286239777","0.0702765746055153","0.09739348264244"
"2","2004","no migration background","(3b) higher tertiary education","198","0.080684456035751","0.0694831989963831","0.0918857130751189"
"2","2004","direct migration background","(0) in school","2","","",""
"2","2004","direct migration background","(1a) inadequately completed","31","0.179757847438908","0.122372787573972","0.237142907303843"
"2","2004","direct migration background","(1b) general elementary school","94","0.169481590981453","0.13862770850542","0.200335473457486"
"2","2004","direct migration background","(1c) basic vocational qualification","86","0.107464579076902","0.0848741284887337","0.130055029665069"
"2","2004","direct migration background","(2b) intermediate general qualification","6","","",""
"2","2004","direct migration background","(2a) intermediate vocational","13","","",""
"2","2004","direct migration background","(2c_gen) general maturity certificate","12","","",""
"2","2004","direct migration background","(2c_voc) vocational maturity certificate","29","","",""
"2","2004","direct migration background","(3a) lower tertiary education","6","","",""
"2","2004","direct migration background","(3b) higher tertiary education","32","0.155554772043918","0.11302692457097","0.198082619516866"
"2","2004","indirect migration background","(0) in school","5","","",""
"2","2004","indirect migration background","(1a) inadequately completed","","","",""
"2","2004","indirect migration background","(1b) general elementary school","11","","",""
"2","2004","indirect migration background","(1c) basic vocational qualification","17","","",""
"2","2004","indirect migration background","(2b) intermediate general qualification","8","","",""
"2","2004","indirect migration background","(2a) intermediate vocational","16","","",""
"2","2004","indirect migration background","(2c_gen) general maturity certificate","4","","",""
"2","2004","indirect migration background","(2c_voc) vocational maturity certificate","3","","",""
"2","2004","indirect migration background","(3a) lower tertiary education","2","","",""
"2","2004","indirect migration background","(3b) higher tertiary education","7","","",""
"3","2004","no migration background","(0) in school","51","0.0879178706110235","0.062921314095659","0.112914427126388"
"3","2004","no migration background","(1a) inadequately completed","14","","",""
"3","2004","no migration background","(1b) general elementary school","168","0.117830231566043","0.100417790703984","0.135242672428102"
"3","2004","no migration background","(1c) basic vocational qualification","668","0.12204274177993","0.113156082032811","0.130929401527048"
"3","2004","no migration background","(2b) intermediate general qualification","53","0.107641223482481","0.0802276022861271","0.135054844678836"
"3","2004","no migration background","(2a) intermediate vocational","616","0.130541025774941","0.120927843423464","0.140154208126418"
"3","2004","no migration background","(2c_gen) general maturity certificate","56","0.115821175044411","0.0911056867194882","0.140536663369334"
"3","2004","no migration background","(2c_voc) vocational maturity certificate","175","0.124186328774241","0.10567280907396","0.142699848474521"
"3","2004","no migration background","(3a) lower tertiary education","193","0.130222531470477","0.113757683839686","0.146687379101268"
"3","2004","no migration background","(3b) higher tertiary education","335","0.149391849799137","0.134730709621212","0.164052989977061"
"3","2004","direct migration background","(0) in school","2","","",""
"3","2004","direct migration background","(1a) inadequately completed","15","","",""
"3","2004","direct migration background","(1b) general elementary school","71","0.126351807515444","0.0990285205063695","0.153675094524519"
"3","2004","direct migration background","(1c) basic vocational qualification","107","0.131691008265109","0.107025236830076","0.156356779700141"
"3","2004","direct migration background","(2b) intermediate general qualification","6","","",""
"3","2004","direct migration background","(2a) intermediate vocational","17","","",""
"3","2004","direct migration background","(2c_gen) general maturity certificate","13","","",""
"3","2004","direct migration background","(2c_voc) vocational maturity certificate","39","0.122025494814726","0.0838231713026714","0.16022781832678"
"3","2004","direct migration background","(3a) lower tertiary education","12","","",""
"3","2004","direct migration background","(3b) higher tertiary education","23","","",""
"3","2004","indirect migration background","(0) in school","7","","",""
"3","2004","indirect migration background","(1a) inadequately completed","1","","",""
"3","2004","indirect migration background","(1b) general elementary school","16","","",""
"3","2004","indirect migration background","(1c) basic vocational qualification","13","","",""
"3","2004","indirect migration background","(2b) intermediate general qualification","10","","",""
"3","2004","indirect migration background","(2a) intermediate vocational","16","","",""
"3","2004","indirect migration background","(2c_gen) general maturity certificate","8","","",""
"3","2004","indirect migration background","(2c_voc) vocational maturity certificate","7","","",""
"3","2004","indirect migration background","(3a) lower tertiary education","1","","",""
"3","2004","indirect migration background","(3b) higher tertiary education","3","","",""
"4","2004","no migration background","(0) in school","48","0.103441671168092","0.0765596653837328","0.130323676952451"
"4","2004","no migration background","(1a) inadequately completed","4","","",""
"4","2004","no migration background","(1b) general elementary school","129","0.101850086605159","0.085515418262647","0.11818475494767"
"4","2004","no migration background","(1c) basic vocational qualification","573","0.100725993571515","0.0925552291783636","0.108896757964666"
"4","2004","no migration background","(2b) intermediate general qualification","42","0.0633922269654987","0.0418394006963544","0.084945053234643"
"4","2004","no migration background","(2a) intermediate vocational","532","0.106464329189226","0.0976634282828747","0.115265230095578"
"4","2004","no migration background","(2c_gen) general maturity certificate","75","0.113518406613742","0.089018007344887","0.138018805882597"
"4","2004","no migration background","(2c_voc) vocational maturity certificate","133","0.103532492515695","0.086430297687221","0.12063468734417"
"4","2004","no migration background","(3a) lower tertiary education","195","0.124889165478007","0.108715647901411","0.141062683054602"
"4","2004","no migration background","(3b) higher tertiary education","261","0.114064651832636","0.1009904231033","0.127138880561973"
"4","2004","direct migration background","(0) in school","4","","",""
"4","2004","direct migration background","(1a) inadequately completed","10","","",""
"4","2004","direct migration background","(1b) general elementary school","44","0.0856067023898992","0.0625978835719129","0.108615521207885"
"4","2004","direct migration background","(1c) basic vocational qualification","66","0.0854389848167361","0.0650491421631946","0.105828827470278"
"4","2004","direct migration background","(2b) intermediate general qualification","5","","",""
"4","2004","direct migration background","(2a) intermediate vocational","20","","",""
"4","2004","direct migration background","(2c_gen) general maturity certificate","9","","",""
"4","2004","direct migration background","(2c_voc) vocational maturity certificate","24","","",""
"4","2004","direct migration background","(3a) lower tertiary education","14","","",""
"4","2004","direct migration background","(3b) higher tertiary education","38","0.124715659442896","0.0859469751497922","0.163484343735999"
"4","2004","indirect migration background","(0) in school","7","","",""
"4","2004","indirect migration background","(1a) inadequately completed","","","",""
"4","2004","indirect migration background","(1b) general elementary school","9","","",""
"4","2004","indirect migration background","(1c) basic vocational qualification","9","","",""
"4","2004","indirect migration background","(2b) intermediate general qualification","7","","",""
"4","2004","indirect migration background","(2a) intermediate vocational","15","","",""
"4","2004","indirect migration background","(2c_gen) general maturity certificate","4","","",""
"4","2004","indirect migration background","(2c_voc) vocational maturity certificate","8","","",""
"4","2004","indirect migration background","(3a) lower tertiary education","2","","",""
"4","2004","indirect migration background","(3b) higher tertiary education","2","","",""
"5","2004","no migration background","(0) in school","107","0.210796400778796","0.174792400562859","0.246800400994733"
"5","2004","no migration background","(1a) inadequately completed","17","","",""
"5","2004","no migration background","(1b) general elementary school","246","0.181817276212471","0.160986860861676","0.202647691563266"
"5","2004","no migration background","(1c) basic vocational qualification","1216","0.24210082476895","0.230471627457649","0.253730022080251"
"5","2004","no migration background","(2b) intermediate general qualification","111","0.211567422223447","0.175441909250071","0.247692935196823"
"5","2004","no migration background","(2a) intermediate vocational","1136","0.23643880815539","0.224314682547626","0.248562933763155"
"5","2004","no migration background","(2c_gen) general maturity certificate","122","0.194066106341233","0.163521838892024","0.224610373790443"
"5","2004","no migration background","(2c_voc) vocational maturity certificate","274","0.236933780041355","0.213064416228825","0.260803143853884"
"5","2004","no migration background","(3a) lower tertiary education","371","0.240144814250336","0.219246435543468","0.261043192957204"
"5","2004","no migration background","(3b) higher tertiary education","451","0.194162272190866","0.177893838370556","0.210430706011176"
"5","2004","direct migration background","(0) in school","18","","",""
"5","2004","direct migration background","(1a) inadequately completed","17","","",""
"5","2004","direct migration background","(1b) general elementary school","79","0.120720384689985","0.0939269906617746","0.147513778718195"
"5","2004","direct migration background","(1c) basic vocational qualification","130","0.186770008272447","0.158342437152947","0.215197579391948"
"5","2004","direct migration background","(2b) intermediate general qualification","9","","",""
"5","2004","direct migration background","(2a) intermediate vocational","47","0.330879733241051","0.257042916096609","0.404716550385493"
"5","2004","direct migration background","(2c_gen) general maturity certificate","20","","",""
"5","2004","direct migration background","(2c_voc) vocational maturity certificate","51","0.221036522401031","0.172606563068173","0.269466481733888"
"5","2004","direct migration background","(3a) lower tertiary education","14","","",""
"5","2004","direct migration background","(3b) higher tertiary education","59","0.219442966259","0.170879559778865","0.268006372739136"
"5","2004","indirect migration background","(0) in school","17","","",""
"5","2004","indirect migration background","(1a) inadequately completed","1","","",""
"5","2004","indirect migration background","(1b) general elementary school","25","","",""
"5","2004","indirect migration background","(1c) basic vocational qualification","30","0.221056716854301","0.150797958901178","0.291315474807424"
"5","2004","indirect migration background","(2b) intermediate general qualification","12","","",""
"5","2004","indirect migration background","(2a) intermediate vocational","26","","",""
"5","2004","indirect migration background","(2c_gen) general maturity certificate","17","","",""
"5","2004","indirect migration background","(2c_voc) vocational maturity certificate","13","","",""
"5","2004","indirect migration background","(3a) lower tertiary education","1","","",""
"5","2004","indirect migration background","(3b) higher tertiary education","8","","",""
"6","2004","no migration background","(0) in school","74","0.132802944771568","0.102846699264696","0.162759190278441"
"6","2004","no migration background","(1a) inadequately completed","8","","",""
"6","2004","no migration background","(1b) general elementary school","75","0.0516508783974267","0.0396978436351667","0.0636039131596866"
"6","2004","no migration background","(1c) basic vocational qualification","468","0.0870709030129983","0.0794166830892617","0.0947251229367349"
"6","2004","no migration background","(2b) intermediate general qualification","62","0.105767203937401","0.078564745619281","0.132969662255522"
"6","2004","no migration background","(2a) intermediate vocational","557","0.121614175819438","0.112287993906876","0.130940357732"
"6","2004","no migration background","(2c_gen) general maturity certificate","95","0.13523184702201","0.108820260426777","0.161643433617244"
"6","2004","no migration background","(2c_voc) vocational maturity certificate","169","0.130734094154566","0.111809917550677","0.149658270758456"
"6","2004","no migration background","(3a) lower tertiary education","192","0.103655036125454","0.0887427795404209","0.118567292710487"
"6","2004","no migration background","(3b) higher tertiary education","307","0.14933016145087","0.134671517083534","0.163988805818206"
"6","2004","direct migration background","(0) in school","10","","",""
"6","2004","direct migration background","(1a) inadequately completed","7","","",""
"6","2004","direct migration background","(1b) general elementary school","31","0.06200287460564","0.0421702318355595","0.0818355173757205"
"6","2004","direct migration background","(1c) basic vocational qualification","55","0.0814942436584128","0.0615377655435604","0.101450721773265"
"6","2004","direct migration background","(2b) intermediate general qualification","3","","",""
"6","2004","direct migration background","(2a) intermediate vocational","16","","",""
"6","2004","direct migration background","(2c_gen) general maturity certificate","10","","",""
"6","2004","direct migration background","(2c_voc) vocational maturity certificate","37","0.143886408146039","0.102922713646628","0.184850102645449"
"6","2004","direct migration background","(3a) lower tertiary education","6","","",""
"6","2004","direct migration background","(3b) higher tertiary education","39","0.130866771322522","0.0912933261668874","0.170440216478157"
"6","2004","indirect migration background","(0) in school","10","","",""
"6","2004","indirect migration background","(1a) inadequately completed","1","","",""
"6","2004","indirect migration background","(1b) general elementary school","14","","",""
"6","2004","indirect migration background","(1c) basic vocational qualification","15","","",""
"6","2004","indirect migration background","(2b) intermediate general qualification","9","","",""
"6","2004","indirect migration background","(2a) intermediate vocational","11","","",""
"6","2004","indirect migration background","(2c_gen) general maturity certificate","19","","",""
"6","2004","indirect migration background","(2c_voc) vocational maturity certificate","6","","",""
"6","2004","indirect migration background","(3a) lower tertiary education","5","","",""
"6","2004","indirect migration background","(3b) higher tertiary education","7","","",""
"7","2004","no migration background","(0) in school","79","0.166180588951602","0.133321858570068","0.199039319333136"
"7","2004","no migration background","(1a) inadequately completed","7","","",""
"7","2004","no migration background","(1b) general elementary school","59","0.0403836597017787","0.0297518582498932","0.0510154611536642"
"7","2004","no migration background","(1c) basic vocational qualification","404","0.0762185590524513","0.0690147719244318","0.0834223461804708"
"7","2004","no migration background","(2b) intermediate general qualification","80","0.159736330258262","0.127330959878903","0.192141700637621"
"7","2004","no migration background","(2a) intermediate vocational","579","0.120577139399843","0.111285325855465","0.12986895294422"
"7","2004","no migration background","(2c_gen) general maturity certificate","139","0.205049271777583","0.173867242230858","0.236231301324307"
"7","2004","no migration background","(2c_voc) vocational maturity certificate","174","0.143654499234337","0.123965195226744","0.16334380324193"
"7","2004","no migration background","(3a) lower tertiary education","237","0.141591479521726","0.124535520558465","0.158647438484988"
"7","2004","no migration background","(3b) higher tertiary education","357","0.151565098116626","0.136816579889739","0.166313616343513"
"7","2004","direct migration background","(0) in school","10","","",""
"7","2004","direct migration background","(1a) inadequately completed","4","","",""
"7","2004","direct migration background","(1b) general elementary school","19","","",""
"7","2004","direct migration background","(1c) basic vocational qualification","57","0.0750375273208439","0.0558207390125061","0.0942543156291816"
"7","2004","direct migration background","(2b) intermediate general qualification","4","","",""
"7","2004","direct migration background","(2a) intermediate vocational","14","","",""
"7","2004","direct migration background","(2c_gen) general maturity certificate","20","","",""
"7","2004","direct migration background","(2c_voc) vocational maturity certificate","24","","",""
"7","2004","direct migration background","(3a) lower tertiary education","7","","",""
"7","2004","direct migration background","(3b) higher tertiary education","30","0.0844894330089236","0.0518547898798117","0.117124076138036"
"7","2004","indirect migration background","(0) in school","13","","",""
"7","2004","indirect migration background","(1a) inadequately completed","3","","",""
"7","2004","indirect migration background","(1b) general elementary school","11","","",""
"7","2004","indirect migration background","(1c) basic vocational qualification","11","","",""
"7","2004","indirect migration background","(2b) intermediate general qualification","8","","",""
"7","2004","indirect migration background","(2a) intermediate vocational","17","","",""
"7","2004","indirect migration background","(2c_gen) general maturity certificate","16","","",""
"7","2004","indirect migration background","(2c_voc) vocational maturity certificate","11","","",""
"7","2004","indirect migration background","(3a) lower tertiary education","5","","",""
"7","2004","indirect migration background","(3b) higher tertiary education","4","","",""
"8","2004","no migration background","(0) in school","59","0.11913800724994","0.0905421096660401","0.147733904833839"
"8","2004","no migration background","(1a) inadequately completed","4","","",""
"8","2004","no migration background","(1b) general elementary school","62","0.0458241534488025","0.0345309633610119","0.057117343536593"
"8","2004","no migration background","(1c) basic vocational qualification","269","0.0524297320169669","0.0463785471768584","0.0584809168570755"
"8","2004","no migration background","(2b) intermediate general qualification","47","0.103393405855543","0.0764622663231512","0.130324545387935"
"8","2004","no migration background","(2a) intermediate vocational","349","0.0705694575721183","0.0632616688582737","0.0778772462859629"
"8","2004","no migration background","(2c_gen) general maturity certificate","72","0.120807214691572","0.0956366098951798","0.145977819487965"
"8","2004","no migration background","(2c_voc) vocational maturity certificate","84","0.06224346441851","0.0486810139043642","0.0758059149326558"
"8","2004","no migration background","(3a) lower tertiary education","144","0.0813621792358695","0.0679871721855271","0.0947371862862119"
"8","2004","no migration background","(3b) higher tertiary education","202","0.0821685327816814","0.0708738571892666","0.0934632083740962"
"8","2004","direct migration background","(0) in school","7","","",""
"8","2004","direct migration background","(1a) inadequately completed","3","","",""
"8","2004","direct migration background","(1b) general elementary school","9","","",""
"8","2004","direct migration background","(1c) basic vocational qualification","45","0.0689936333493957","0.0505068936644222","0.0874803730343693"
"8","2004","direct migration background","(2b) intermediate general qualification","7","","",""
"8","2004","direct migration background","(2a) intermediate vocational","6","","",""
"8","2004","direct migration background","(2c_gen) general maturity certificate","9","","",""
"8","2004","direct migration background","(2c_voc) vocational maturity certificate","23","","",""
"8","2004","direct migration background","(3a) lower tertiary education","7","","",""
"8","2004","direct migration background","(3b) higher tertiary education","18","","",""
"8","2004","indirect migration background","(0) in school","9","","",""
"8","2004","indirect migration background","(1a) inadequately completed","1","","",""
"8","2004","indirect migration background","(1b) general elementary school","11","","",""
"8","2004","indirect migration background","(1c) basic vocational qualification","12","","",""
"8","2004","indirect migration background","(2b) intermediate general qualification","9","","",""
"8","2004","indirect migration background","(2a) intermediate vocational","9","","",""
"8","2004","indirect migration background","(2c_gen) general maturity certificate","10","","",""
"8","2004","indirect migration background","(2c_voc) vocational maturity certificate","5","","",""
"8","2004","indirect migration background","(3a) lower tertiary education","","","",""
"8","2004","indirect migration background","(3b) higher tertiary education","5","","",""
"9","2004","no migration background","(0) in school","30","0.0585746679151152","0.037845947732585","0.0793033880976455"
"9","2004","no migration background","(1a) inadequately completed","","","",""
"9","2004","no migration background","(1b) general elementary school","15","","",""
"9","2004","no migration background","(1c) basic vocational qualification","63","0.00984572336128416","0.00716519049919657","0.0125262562233717"
"9","2004","no migration background","(2b) intermediate general qualification","18","","",""
"9","2004","no migration background","(2a) intermediate vocational","71","0.0139034382401121","0.0105623345730521","0.0172445419071721"
"9","2004","no migration background","(2c_gen) general maturity certificate","14","","",""
"9","2004","no migration background","(2c_voc) vocational maturity certificate","24","","",""
"9","2004","no migration background","(3a) lower tertiary education","37","0.0190083400870148","0.0123277422746433","0.0256889378993863"
"9","2004","no migration background","(3b) higher tertiary education","37","0.0110778992075742","0.00677313597209867","0.0153826624430497"
"9","2004","direct migration background","(0) in school","1","","",""
"9","2004","direct migration background","(1a) inadequately completed","3","","",""
"9","2004","direct migration background","(1b) general elementary school","5","","",""
"9","2004","direct migration background","(1c) basic vocational qualification","10","","",""
"9","2004","direct migration background","(2b) intermediate general qualification","3","","",""
"9","2004","direct migration background","(2a) intermediate vocational","2","","",""
"9","2004","direct migration background","(2c_gen) general maturity certificate","2","","",""
"9","2004","direct migration background","(2c_voc) vocational maturity certificate","3","","",""
"9","2004","direct migration background","(3a) lower tertiary education","1","","",""
"9","2004","direct migration background","(3b) higher tertiary education","9","","",""
"9","2004","indirect migration background","(0) in school","2","","",""
"9","2004","indirect migration background","(1a) inadequately completed","","","",""
"9","2004","indirect migration background","(1b) general elementary school","3","","",""
"9","2004","indirect migration background","(1c) basic vocational qualification","3","","",""
"9","2004","indirect migration background","(2b) intermediate general qualification","1","","",""
"9","2004","indirect migration background","(2a) intermediate vocational","4","","",""
"9","2004","indirect migration background","(2c_gen) general maturity certificate","3","","",""
"9","2004","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"9","2004","indirect migration background","(3a) lower tertiary education","1","","",""
"9","2004","indirect migration background","(3b) higher tertiary education","4","","",""
"10 Very willing to take risks","2004","no migration background","(0) in school","7","","",""
"10 Very willing to take risks","2004","no migration background","(1a) inadequately completed","2","","",""
"10 Very willing to take risks","2004","no migration background","(1b) general elementary school","12","","",""
"10 Very willing to take risks","2004","no migration background","(1c) basic vocational qualification","43","0.00767847913046697","0.00530869003526","0.0100482682256739"
"10 Very willing to take risks","2004","no migration background","(2b) intermediate general qualification","6","","",""
"10 Very willing to take risks","2004","no migration background","(2a) intermediate vocational","36","0.00846182951498081","0.0058481280752765","0.0110755309546851"
"10 Very willing to take risks","2004","no migration background","(2c_gen) general maturity certificate","10","","",""
"10 Very willing to take risks","2004","no migration background","(2c_voc) vocational maturity certificate","7","","",""
"10 Very willing to take risks","2004","no migration background","(3a) lower tertiary education","11","","",""
"10 Very willing to take risks","2004","no migration background","(3b) higher tertiary education","22","","",""
"10 Very willing to take risks","2004","direct migration background","(0) in school","2","","",""
"10 Very willing to take risks","2004","direct migration background","(1a) inadequately completed","1","","",""
"10 Very willing to take risks","2004","direct migration background","(1b) general elementary school","9","","",""
"10 Very willing to take risks","2004","direct migration background","(1c) basic vocational qualification","12","","",""
"10 Very willing to take risks","2004","direct migration background","(2b) intermediate general qualification","","","",""
"10 Very willing to take risks","2004","direct migration background","(2a) intermediate vocational","1","","",""
"10 Very willing to take risks","2004","direct migration background","(2c_gen) general maturity certificate","2","","",""
"10 Very willing to take risks","2004","direct migration background","(2c_voc) vocational maturity certificate","1","","",""
"10 Very willing to take risks","2004","direct migration background","(3a) lower tertiary education","","","",""
"10 Very willing to take risks","2004","direct migration background","(3b) higher tertiary education","1","","",""
"10 Very willing to take risks","2004","indirect migration background","(0) in school","2","","",""
"10 Very willing to take risks","2004","indirect migration background","(1a) inadequately completed","1","","",""
"10 Very willing to take risks","2004","indirect migration background","(1b) general elementary school","4","","",""
"10 Very willing to take risks","2004","indirect migration background","(1c) basic vocational qualification","5","","",""
"10 Very willing to take risks","2004","indirect migration background","(2b) intermediate general qualification","","","",""
"10 Very willing to take risks","2004","indirect migration background","(2a) intermediate vocational","3","","",""
"10 Very willing to take risks","2004","indirect migration background","(2c_gen) general maturity certificate","2","","",""
"10 Very willing to take risks","2004","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"10 Very willing to take risks","2004","indirect migration background","(3a) lower tertiary education","","","",""
"10 Very willing to take risks","2004","indirect migration background","(3b) higher tertiary education","","","",""
"0 Not at all Willing to take risks","2005","no migration background","(0) in school","","","",""
"0 Not at all Willing to take risks","2005","no migration background","(1a) inadequately completed","","","",""
"0 Not at all Willing to take risks","2005","no migration background","(1b) general elementary school","","","",""
"0 Not at all Willing to take risks","2005","no migration background","(1c) basic vocational qualification","","","",""
"0 Not at all Willing to take risks","2005","no migration background","(2b) intermediate general qualification","","","",""
"0 Not at all Willing to take risks","2005","no migration background","(2a) intermediate vocational","","","",""
"0 Not at all Willing to take risks","2005","no migration background","(2c_gen) general maturity certificate","","","",""
"0 Not at all Willing to take risks","2005","no migration background","(2c_voc) vocational maturity certificate","","","",""
"0 Not at all Willing to take risks","2005","no migration background","(3a) lower tertiary education","","","",""
"0 Not at all Willing to take risks","2005","no migration background","(3b) higher tertiary education","","","",""
"0 Not at all Willing to take risks","2005","direct migration background","(0) in school","","","",""
"0 Not at all Willing to take risks","2005","direct migration background","(1a) inadequately completed","","","",""
"0 Not at all Willing to take risks","2005","direct migration background","(1b) general elementary school","","","",""
"0 Not at all Willing to take risks","2005","direct migration background","(1c) basic vocational qualification","","","",""
"0 Not at all Willing to take risks","2005","direct migration background","(2b) intermediate general qualification","","","",""
"0 Not at all Willing to take risks","2005","direct migration background","(2a) intermediate vocational","","","",""
"0 Not at all Willing to take risks","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
"0 Not at all Willing to take risks","2005","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"0 Not at all Willing to take risks","2005","direct migration background","(3a) lower tertiary education","","","",""
"0 Not at all Willing to take risks","2005","direct migration background","(3b) higher tertiary education","","","",""
"0 Not at all Willing to take risks","2005","indirect migration background","(0) in school","","","",""
"0 Not at all Willing to take risks","2005","indirect migration background","(1a) inadequately completed","","","",""
"0 Not at all Willing to take risks","2005","indirect migration background","(1b) general elementary school","","","",""
