"plh0204_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"3","2007","no migration background","Rural Area","","","","","3"
"3","2007","direct migration background","Urban Area","","","","","3"
"3","2007","direct migration background","Rural Area","","","","","3"
"3","2007","no migration background","Urban Area","","","","","3"
"4","2007","direct migration background","Urban Area","","","","","4"
"4","2007","direct migration background","Rural Area","","","","","4"
"4","2007","no migration background","Rural Area","","","","","4"
"4","2007","no migration background","Urban Area","","","","","4"
"4","2007","indirect migration background","Urban Area","","","","","4"
"4","2007","indirect migration background","Rural Area","","","","","4"
"5","2007","indirect migration background","Rural Area","","","","","5"
"5","2007","direct migration background","Urban Area","","","","","5"
"5","2007","indirect migration background","Urban Area","","","","","5"
"5","2007","no migration background","Rural Area","","","","","5"
"5","2007","no migration background","Urban Area","","","","","5"
"5","2007","direct migration background","Rural Area","","","","","5"
"6","2007","direct migration background","Urban Area","","","","","6"
"6","2007","no migration background","Rural Area","","","","","6"
"6","2007","direct migration background","Rural Area","","","","","6"
"6","2007","no migration background","Urban Area","","","","","6"
"6","2007","indirect migration background","Urban Area","","","","","6"
"6","2007","indirect migration background","Rural Area","","","","","6"
"7","2007","indirect migration background","Rural Area","","","","","7"
"7","2007","indirect migration background","Urban Area","","","","","7"
"7","2007","no migration background","Rural Area","","","","","7"
"7","2007","no migration background","Urban Area","","","","","7"
"7","2007","direct migration background","Urban Area","","","","","7"
"7","2007","direct migration background","Rural Area","","","","","7"
"8","2007","no migration background","Rural Area","","","","","8"
"8","2007","direct migration background","Urban Area","","","","","8"
"8","2007","direct migration background","Rural Area","","","","","8"
"8","2007","no migration background","Urban Area","","","","","8"
"8","2007","indirect migration background","Urban Area","","","","","8"
"8","2007","indirect migration background","Rural Area","","","","","8"
"9","2007","indirect migration background","Rural Area","","","","","9"
"9","2007","no migration background","Urban Area","","","","","9"
"9","2007","indirect migration background","Urban Area","","","","","9"
"9","2007","no migration background","Rural Area","","","","","9"
"9","2007","direct migration background","Urban Area","","","","","9"
"9","2007","direct migration background","Rural Area","","","","","9"
"0 Not at all Willing to take risks","2008","no migration background","Urban Area","448","0.0455747687212355","0.0416062942424378","0.0495432432000333","0"
"0 Not at all Willing to take risks","2008","no migration background","Rural Area","255","0.0493168536967571","0.0438817783161452","0.0547519290773689","0"
"0 Not at all Willing to take risks","2008","direct migration background","Urban Area","117","0.0712371058622409","0.0584852274338861","0.0839889842905958","0"
"0 Not at all Willing to take risks","2008","direct migration background","Rural Area","27","","","","0"
"0 Not at all Willing to take risks","2008","indirect migration background","Urban Area","23","","","","0"
"0 Not at all Willing to take risks","2008","indirect migration background","Rural Area","3","","","","0"
"1","2008","indirect migration background","Urban Area","28","","","","1"
"1","2008","no migration background","Rural Area","311","0.0508520334452789","0.0453374702711452","0.0563665966194127","1"
"1","2008","no migration background","Urban Area","552","0.0580540518495882","0.0536044653026356","0.0625036383965408","1"
"1","2008","direct migration background","Urban Area","122","0.0705722468155055","0.0578754727229479","0.083269020908063","1"
"1","2008","direct migration background","Rural Area","31","0.0686475368714797","0.0420814259090177","0.0952136478339416","1"
"1","2008","indirect migration background","Rural Area","5","","","","1"
"10 Very willing to take risks","2008","no migration background","Rural Area","70","0.0144821107496512","0.0114833751066523","0.01748084639265","10"
"10 Very willing to take risks","2008","indirect migration background","Urban Area","20","","","","10"
"10 Very willing to take risks","2008","indirect migration background","Rural Area","2","","","","10"
"10 Very willing to take risks","2008","direct migration background","Urban Area","29","","","","10"
"10 Very willing to take risks","2008","no migration background","Urban Area","104","0.010716334950646","0.00875715666867003","0.0126755132326221","10"
"10 Very willing to take risks","2008","direct migration background","Rural Area","4","","","","10"
"2","2008","no migration background","Rural Area","794","0.130770775798709","0.122308006473215","0.139233545124204","2"
"2","2008","direct migration background","Urban Area","187","0.129580210083862","0.112930666977642","0.146229753190083","2"
"2","2008","direct migration background","Rural Area","50","0.134409532289468","0.0985726899102742","0.170246374668661","2"
"2","2008","no migration background","Urban Area","1266","0.118569014507222","0.112417668435409","0.124720360579035","2"
"2","2008","indirect migration background","Urban Area","56","0.101761637916997","0.0786785860437304","0.124844689790264","2"
"2","2008","indirect migration background","Rural Area","16","","","","2"
"3","2008","indirect migration background","Rural Area","17","","","","3"
"3","2008","no migration background","Urban Area","1652","0.15729060369457","0.150363037138786","0.164218170250354","3"
"3","2008","no migration background","Rural Area","922","0.143685222524614","0.134880558969061","0.152489886080167","3"
"3","2008","direct migration background","Urban Area","206","0.121230274837704","0.105049038909169","0.137411510766239","3"
"3","2008","direct migration background","Rural Area","38","0.0963876740714082","0.0653806352888244","0.127394712853992","3"
"3","2008","indirect migration background","Urban Area","84","0.109207841938671","0.0853944922833979","0.133021191593944","3"
"4","2008","direct migration background","Urban Area","147","0.0945375131222599","0.0800329076638704","0.109042118580649","4"
"4","2008","direct migration background","Rural Area","31","0.0853766196004802","0.056017089782821","0.114736149418139","4"
"4","2008","indirect migration background","Rural Area","7","","","","4"
"4","2008","no migration background","Rural Area","687","0.114244064881602","0.106259268373803","0.122228861389401","4"
"4","2008","no migration background","Urban Area","1266","0.117904736292349","0.111768334758686","0.124041137826011","4"
"4","2008","indirect migration background","Urban Area","53","0.0679815678492595","0.0487633451081477","0.0871997905903714","4"
"5","2008","indirect migration background","Rural Area","21","","","","5"
"5","2008","no migration background","Urban Area","2121","0.203011684284632","0.195357888093199","0.210665480476064","5"
"5","2008","no migration background","Rural Area","1257","0.202276980234697","0.192193991393641","0.212359969075753","5"
"5","2008","direct migration background","Urban Area","254","0.166095653449599","0.147645250537041","0.184546056362156","5"
"5","2008","indirect migration background","Urban Area","112","0.228405376227982","0.196353523300311","0.260457229155653","5"
"5","2008","direct migration background","Rural Area","82","0.261669821316426","0.215489112119702","0.307850530513149","5"
"6","2008","indirect migration background","Rural Area","11","","","","6"
"6","2008","no migration background","Rural Area","646","0.102789835976843","0.095167077274303","0.110412594679383","6"
"6","2008","direct migration background","Urban Area","162","0.121679649549526","0.105472596644286","0.137886702454766","6"
"6","2008","direct migration background","Rural Area","25","","","","6"
"6","2008","indirect migration background","Urban Area","81","0.119916499370602","0.0951133519656003","0.144719646775603","6"
"6","2008","no migration background","Urban Area","1106","0.0994506608614704","0.0937562605855653","0.105145061137375","6"
"7","2008","no migration background","Urban Area","1156","0.103885311219402","0.0980796823490681","0.109690940089736","7"
"7","2008","no migration background","Rural Area","610","0.10036910836456","0.0928264887442166","0.107911727984903","7"
"7","2008","indirect migration background","Urban Area","88","0.138153786639276","0.111808576373171","0.16449899690538","7"
"7","2008","indirect migration background","Rural Area","14","","","","7"
"7","2008","direct migration background","Urban Area","167","0.105933972881656","0.0906769067579368","0.121191039005376","7"
"7","2008","direct migration background","Rural Area","35","0.113950724984969","0.0805661422370612","0.147335307732878","7"
"8","2008","indirect migration background","Urban Area","92","0.100263691696098","0.0773320655639142","0.123195317828281","8"
"8","2008","indirect migration background","Rural Area","11","","","","8"
"8","2008","no migration background","Urban Area","750","0.067070281296195","0.0623105774982727","0.0718299850941174","8"
"8","2008","no migration background","Rural Area","427","0.0700059991866269","0.063601315344022","0.0764106830292317","8"
"8","2008","direct migration background","Urban Area","128","0.0694038075107583","0.0568046679696422","0.0820029470518745","8"
"8","2008","direct migration background","Rural Area","18","","","","8"
"9","2008","no migration background","Urban Area","189","0.0184725523226904","0.0159103992288588","0.021034705416522","9"
"9","2008","direct migration background","Urban Area","44","0.0335643134861353","0.0246354955918095","0.042493131380461","9"
"9","2008","no migration background","Rural Area","118","0.021207015140661","0.0175906257145092","0.0248234045668129","9"
"9","2008","direct migration background","Rural Area","7","","","","9"
"9","2008","indirect migration background","Urban Area","22","","","","9"
"9","2008","indirect migration background","Rural Area","5","","","","9"
"0 Not at all Willing to take risks","2009","direct migration background","Urban Area","187","0.141048701878047","0.122460682775956","0.159636720980138","0"
"0 Not at all Willing to take risks","2009","no migration background","Urban Area","866","0.0949728137410455","0.0891909742749073","0.100754653207184","0"
"0 Not at all Willing to take risks","2009","no migration background","Rural Area","482","0.09181158527799","0.0843782595713764","0.0992449109846037","0"
"0 Not at all Willing to take risks","2009","direct migration background","Rural Area","53","0.192803963240431","0.149238703965987","0.236369222514875","0"
"0 Not at all Willing to take risks","2009","indirect migration background","Urban Area","30","0.0454681391359245","0.0287287959658171","0.0622074823060319","0"
"0 Not at all Willing to take risks","2009","indirect migration background","Rural Area","4","","","","0"
"1","2009","indirect migration background","Urban Area","27","","","","1"
"1","2009","no migration background","Rural Area","452","0.077689724135476","0.0707989700038623","0.0845804782670898","1"
"1","2009","direct migration background","Urban Area","120","0.0899653679521459","0.0746851012869509","0.105245634617341","1"
"1","2009","direct migration background","Rural Area","31","0.0793877937201025","0.0495334145163053","0.1092421729239","1"
"1","2009","no migration background","Urban Area","711","0.0763131927348806","0.0710772155399176","0.0815491699298435","1"
"1","2009","indirect migration background","Rural Area","12","","","","1"
"10 Very willing to take risks","2009","indirect migration background","Urban Area","7","","","","10"
"10 Very willing to take risks","2009","indirect migration background","Rural Area","1","","","","10"
"10 Very willing to take risks","2009","no migration background","Urban Area","30","0.00268283148328909","0.00166271701101562","0.00370294595556256","10"
"10 Very willing to take risks","2009","no migration background","Rural Area","19","","","","10"
"10 Very willing to take risks","2009","direct migration background","Urban Area","6","","","","10"
"10 Very willing to take risks","2009","direct migration background","Rural Area","","","","","10"
"2","2009","direct migration background","Urban Area","179","0.121160314328022","0.103734249759759","0.138586378896285","2"
"2","2009","indirect migration background","Rural Area","9","","","","2"
"2","2009","no migration background","Urban Area","1430","0.140750576560038","0.133892216523532","0.147608936596544","2"
"2","2009","no migration background","Rural Area","902","0.149718280913493","0.140533574522223","0.158902987304763","2"
"2","2009","direct migration background","Rural Area","47","0.168129748263423","0.126830429076692","0.209429067450155","2"
"2","2009","indirect migration background","Urban Area","60","0.0935132052948949","0.0701190795068275","0.116907331082962","2"
"3","2009","no migration background","Urban Area","1627","0.156459602301321","0.149295040748678","0.163624163853964","3"
"3","2009","no migration background","Rural Area","953","0.158925528809123","0.149513992999151","0.168337064619095","3"
"3","2009","direct migration background","Urban Area","232","0.162892809211338","0.143172860276692","0.182612758145985","3"
"3","2009","direct migration background","Rural Area","50","0.0940218326301499","0.0617914073452646","0.126252257915035","3"
"3","2009","indirect migration background","Urban Area","78","0.104598113869673","0.0800080001458612","0.129188227593485","3"
"3","2009","indirect migration background","Rural Area","18","","","","3"
"4","2009","indirect migration background","Rural Area","15","","","","4"
"4","2009","direct migration background","Urban Area","148","0.113432876390391","0.0964977057570172","0.130368047023764","4"
"4","2009","no migration background","Rural Area","666","0.110419301187584","0.102351380620299","0.118487221754868","4"
"4","2009","indirect migration background","Urban Area","72","0.123016173666045","0.0966245258333561","0.149407821498734","4"
"4","2009","no migration background","Urban Area","1152","0.113701080861076","0.107440595987351","0.119961565734801","4"
"4","2009","direct migration background","Rural Area","30","0.0976668731438798","0.064883781568929","0.130449964718831","4"
