"ple0081_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2005","lower secondary degree","direct migration background","","","",""
"Yes","2005","lower secondary degree","indirect migration background","","","",""
"Yes","2005","secondary school degree","no migration background","","","",""
"Yes","2005","secondary school degree","direct migration background","","","",""
"Yes","2005","secondary school degree","indirect migration background","","","",""
"Yes","2005","college entrance qualification","no migration background","","","",""
"Yes","2005","college entrance qualification","direct migration background","","","",""
"Yes","2005","college entrance qualification","indirect migration background","","","",""
"Yes","2005","Other degree","no migration background","","","",""
"Yes","2005","Other degree","direct migration background","","","",""
"Yes","2005","Other degree","indirect migration background","","","",""
"Yes","2005","no degree/no degree yet","no migration background","","","",""
"Yes","2005","no degree/no degree yet","direct migration background","","","",""
"Yes","2005","no degree/no degree yet","indirect migration background","","","",""
"No","2005","lower secondary degree","no migration background","","","",""
"No","2005","lower secondary degree","direct migration background","","","",""
"No","2005","lower secondary degree","indirect migration background","","","",""
"No","2005","secondary school degree","no migration background","","","",""
"No","2005","secondary school degree","direct migration background","","","",""
"No","2005","secondary school degree","indirect migration background","","","",""
"No","2005","college entrance qualification","no migration background","","","",""
"No","2005","college entrance qualification","direct migration background","","","",""
"No","2005","college entrance qualification","indirect migration background","","","",""
"No","2005","Other degree","no migration background","","","",""
"No","2005","Other degree","direct migration background","","","",""
"No","2005","Other degree","indirect migration background","","","",""
"No","2005","no degree/no degree yet","no migration background","","","",""
"No","2005","no degree/no degree yet","direct migration background","","","",""
"No","2005","no degree/no degree yet","indirect migration background","","","",""
"Yes","2006","lower secondary degree","no migration background","1917","0.286426473038022","0.275687462712524","0.29716548336352"
"Yes","2006","lower secondary degree","direct migration background","203","0.348776750544254","0.309923900322629","0.38762960076588"
"Yes","2006","lower secondary degree","indirect migration background","135","0.530672668989027","0.468685799922707","0.592659538055347"
"Yes","2006","secondary school degree","no migration background","1912","0.336267224256899","0.32434107141831","0.348193377095489"
"Yes","2006","secondary school degree","direct migration background","71","0.335568203377731","0.276562207767902","0.39457419898756"
"Yes","2006","secondary school degree","indirect migration background","94","0.398171869842425","0.331646399689814","0.464697339995035"
"Yes","2006","college entrance qualification","no migration background","1139","0.239063851747533","0.227393655807766","0.2507340476873"
"Yes","2006","college entrance qualification","direct migration background","67","0.219142105161554","0.170775695665758","0.267508514657351"
"Yes","2006","college entrance qualification","indirect migration background","61","0.261627662936839","0.202602413782135","0.320652912091542"
"Yes","2006","Other degree","no migration background","44","0.292960110580397","0.219883034815119","0.366037186345674"
"Yes","2006","Other degree","direct migration background","299","0.317632584387788","0.289297117234094","0.345968051541481"
"Yes","2006","Other degree","indirect migration background","6","","",""
"Yes","2006","no degree/no degree yet","no migration background","108","0.304847834370857","0.260069640600707","0.349626028141006"
"Yes","2006","no degree/no degree yet","direct migration background","53","0.340276773507728","0.271816879917745","0.40873666709771"
"Yes","2006","no degree/no degree yet","indirect migration background","17","","",""
"No","2006","lower secondary degree","no migration background","4891","0.713573526961978","0.70283451663648","0.724312537287476"
"No","2006","lower secondary degree","direct migration background","375","0.651223249455746","0.61237039923412","0.690076099677371"
"No","2006","lower secondary degree","indirect migration background","114","0.469327331010973","0.407340461944653","0.531314200077293"
"No","2006","secondary school degree","no migration background","4116","0.663732775743101","0.651806622904511","0.67565892858169"
"No","2006","secondary school degree","direct migration background","175","0.664431796622269","0.60542580101244","0.723437792232098"
"No","2006","secondary school degree","indirect migration background","114","0.601828130157575","0.535302660004965","0.668353600310186"
"No","2006","college entrance qualification","no migration background","3992","0.760936148252467","0.7492659523127","0.772606344192235"
"No","2006","college entrance qualification","direct migration background","214","0.780857894838446","0.732491485342649","0.829224304334243"
"No","2006","college entrance qualification","indirect migration background","152","0.738372337063161","0.679347087908458","0.797397586217865"
"No","2006","Other degree","no migration background","105","0.707039889419603","0.633962813654326","0.780116965184881"
"No","2006","Other degree","direct migration background","738","0.682367415612212","0.654031948458519","0.710702882765906"
"No","2006","Other degree","indirect migration background","12","","",""
"No","2006","no degree/no degree yet","no migration background","298","0.695152165629143","0.650373971858994","0.739930359399293"
"No","2006","no degree/no degree yet","direct migration background","131","0.659723226492272","0.59126333290229","0.728183120082255"
"No","2006","no degree/no degree yet","indirect migration background","50","0.649983248090772","0.535772707619948","0.764193788561597"
"Yes","2007","lower secondary degree","no migration background","","","",""
"Yes","2007","lower secondary degree","direct migration background","","","",""
"Yes","2007","lower secondary degree","indirect migration background","","","",""
"Yes","2007","secondary school degree","no migration background","","","",""
"Yes","2007","secondary school degree","direct migration background","","","",""
"Yes","2007","secondary school degree","indirect migration background","","","",""
"Yes","2007","college entrance qualification","no migration background","","","",""
"Yes","2007","college entrance qualification","direct migration background","","","",""
"Yes","2007","college entrance qualification","indirect migration background","","","",""
"Yes","2007","Other degree","no migration background","","","",""
"Yes","2007","Other degree","direct migration background","","","",""
"Yes","2007","Other degree","indirect migration background","","","",""
"Yes","2007","no degree/no degree yet","no migration background","","","",""
"Yes","2007","no degree/no degree yet","direct migration background","","","",""
"Yes","2007","no degree/no degree yet","indirect migration background","","","",""
"No","2007","lower secondary degree","no migration background","","","",""
"No","2007","lower secondary degree","direct migration background","","","",""
"No","2007","lower secondary degree","indirect migration background","","","",""
"No","2007","secondary school degree","no migration background","","","",""
"No","2007","secondary school degree","direct migration background","","","",""
"No","2007","secondary school degree","indirect migration background","","","",""
"No","2007","college entrance qualification","no migration background","","","",""
"No","2007","college entrance qualification","direct migration background","","","",""
"No","2007","college entrance qualification","indirect migration background","","","",""
"No","2007","Other degree","no migration background","","","",""
"No","2007","Other degree","direct migration background","","","",""
"No","2007","Other degree","indirect migration background","","","",""
"No","2007","no degree/no degree yet","no migration background","","","",""
"No","2007","no degree/no degree yet","direct migration background","","","",""
"No","2007","no degree/no degree yet","indirect migration background","","","",""
"Yes","2008","lower secondary degree","no migration background","1599","0.288064337632959","0.276406672852049","0.299722002413868"
"Yes","2008","lower secondary degree","direct migration background","154","0.347991895427625","0.304836388114006","0.391147402741244"
"Yes","2008","lower secondary degree","indirect migration background","121","0.53891908927086","0.474215105257996","0.603623073283724"
"Yes","2008","secondary school degree","no migration background","1595","0.305498030616941","0.293166793625936","0.317829267607946"
"Yes","2008","secondary school degree","direct migration background","58","0.347792058600313","0.282754032390007","0.412830084810618"
"Yes","2008","secondary school degree","indirect migration background","72","0.356754613290217","0.28899504729289","0.424514179287544"
"Yes","2008","college entrance qualification","no migration background","954","0.212264201829193","0.200576329790941","0.223952073867446"
"Yes","2008","college entrance qualification","direct migration background","48","0.192407122282826","0.143346950699393","0.24146729386626"
"Yes","2008","college entrance qualification","indirect migration background","46","0.144387774278832","0.0954302782260602","0.193345270331604"
"Yes","2008","Other degree","no migration background","38","0.334892646437294","0.251146109714563","0.418639183160025"
"Yes","2008","Other degree","direct migration background","208","0.296193845541188","0.264847722648919","0.327539968433457"
"Yes","2008","Other degree","indirect migration background","6","","",""
"Yes","2008","no degree/no degree yet","no migration background","73","0.226326492226135","0.183631054822967","0.269021929629303"
"Yes","2008","no degree/no degree yet","direct migration background","40","0.357827388261894","0.272766315694693","0.442888460829095"
"Yes","2008","no degree/no degree yet","indirect migration background","19","","",""
"No","2008","lower secondary degree","no migration background","4198","0.711935662367041","0.700277997586132","0.723593327147951"
"No","2008","lower secondary degree","direct migration background","314","0.652008104572375","0.608852597258756","0.695163611885994"
"No","2008","lower secondary degree","indirect migration background","107","0.46108091072914","0.396376926716276","0.525784894742004"
"No","2008","secondary school degree","no migration background","3765","0.694501969383059","0.682170732392054","0.706833206374064"
"No","2008","secondary school degree","direct migration background","148","0.652207941399687","0.587169915189382","0.717245967609993"
"No","2008","secondary school degree","indirect migration background","120","0.643245386709783","0.575485820712456","0.71100495270711"
"No","2008","college entrance qualification","no migration background","3748","0.787735798170807","0.776047926132554","0.799423670209059"
"No","2008","college entrance qualification","direct migration background","200","0.807592877717173","0.75853270613374","0.856653049300607"
"No","2008","college entrance qualification","indirect migration background","152","0.855612225721168","0.806654729668396","0.90456972177394"
"No","2008","Other degree","no migration background","84","0.665107353562706","0.581360816839975","0.748853890285437"
"No","2008","Other degree","direct migration background","607","0.703806154458812","0.672460031566543","0.735152277351081"
"No","2008","Other degree","indirect migration background","8","","",""
"No","2008","no degree/no degree yet","no migration background","296","0.773673507773865","0.730978070370697","0.816368945177033"
"No","2008","no degree/no degree yet","direct migration background","82","0.642172611738106","0.557111539170905","0.727233684305308"
"No","2008","no degree/no degree yet","indirect migration background","41","0.607287309994136","0.483719020070509","0.730855599917763"
"Yes","2009","lower secondary degree","no migration background","","","",""
"Yes","2009","lower secondary degree","direct migration background","","","",""
"Yes","2009","lower secondary degree","indirect migration background","","","",""
"Yes","2009","secondary school degree","no migration background","","","",""
"Yes","2009","secondary school degree","direct migration background","","","",""
"Yes","2009","secondary school degree","indirect migration background","","","",""
"Yes","2009","college entrance qualification","no migration background","","","",""
"Yes","2009","college entrance qualification","direct migration background","","","",""
"Yes","2009","college entrance qualification","indirect migration background","","","",""
"Yes","2009","Other degree","no migration background","","","",""
"Yes","2009","Other degree","direct migration background","","","",""
"Yes","2009","Other degree","indirect migration background","","","",""
"Yes","2009","no degree/no degree yet","no migration background","","","",""
"Yes","2009","no degree/no degree yet","direct migration background","","","",""
"Yes","2009","no degree/no degree yet","indirect migration background","","","",""
"No","2009","lower secondary degree","no migration background","","","",""
"No","2009","lower secondary degree","direct migration background","","","",""
"No","2009","lower secondary degree","indirect migration background","","","",""
"No","2009","secondary school degree","no migration background","","","",""
"No","2009","secondary school degree","direct migration background","","","",""
"No","2009","secondary school degree","indirect migration background","","","",""
"No","2009","college entrance qualification","no migration background","","","",""
"No","2009","college entrance qualification","direct migration background","","","",""
"No","2009","college entrance qualification","indirect migration background","","","",""
"No","2009","Other degree","no migration background","","","",""
"No","2009","Other degree","direct migration background","","","",""
"No","2009","Other degree","indirect migration background","","","",""
"No","2009","no degree/no degree yet","no migration background","","","",""
"No","2009","no degree/no degree yet","direct migration background","","","",""
"No","2009","no degree/no degree yet","indirect migration background","","","",""
"Yes","2010","lower secondary degree","no migration background","1302","0.264460866503702","0.252032937626739","0.276888795380666"
"Yes","2010","lower secondary degree","direct migration background","120","0.330890787744561","0.28268508803405","0.379096487455072"
"Yes","2010","lower secondary degree","indirect migration background","92","0.510215252521659","0.437388968500315","0.583041536543003"
"Yes","2010","secondary school degree","no migration background","1405","0.307119278003345","0.293974465518351","0.320264090488339"
"Yes","2010","secondary school degree","direct migration background","32","0.268267939150221","0.199183541378264","0.337352336922178"
"Yes","2010","secondary school degree","indirect migration background","54","0.448809023845169","0.370759972013755","0.526858075676583"
"Yes","2010","college entrance qualification","no migration background","830","0.20821828940647","0.196061053393768","0.220375525419172"
"Yes","2010","college entrance qualification","direct migration background","40","0.219005415784771","0.162935954111502","0.275074877458039"
"Yes","2010","college entrance qualification","indirect migration background","46","0.23673728743446","0.174810413077603","0.298664161791316"
"Yes","2010","Other degree","no migration background","30","0.313592893448132","0.22265977546302","0.404526011433245"
"Yes","2010","Other degree","direct migration background","140","0.252226865661159","0.217791231410389","0.286662499911928"
"Yes","2010","Other degree","indirect migration background","3","","",""
"Yes","2010","no degree/no degree yet","no migration background","51","0.193914763184199","0.147770314923344","0.240059211445055"
"Yes","2010","no degree/no degree yet","direct migration background","26","","",""
"Yes","2010","no degree/no degree yet","indirect migration background","12","","",""
"No","2010","lower secondary degree","no migration background","3536","0.735539133496298","0.723111204619334","0.747967062373261"
"No","2010","lower secondary degree","direct migration background","246","0.669109212255439","0.620903512544928","0.71731491196595"
"No","2010","lower secondary degree","indirect migration background","89","0.489784747478341","0.416958463456997","0.562611031499685"
"No","2010","secondary school degree","no migration background","3326","0.692880721996655","0.679735909511661","0.706025534481649"
"No","2010","secondary school degree","direct migration background","126","0.731732060849779","0.662647663077822","0.800816458621736"
"No","2010","secondary school degree","indirect migration background","102","0.551190976154831","0.473141924323417","0.629240027986245"
"No","2010","college entrance qualification","no migration background","3455","0.79178171059353","0.779624474580828","0.803938946606232"
"No","2010","college entrance qualification","direct migration background","169","0.780994584215229","0.724925122541961","0.837064045888498"
"No","2010","college entrance qualification","indirect migration background","135","0.76326271256554","0.701335838208684","0.825189586922397"
"No","2010","Other degree","no migration background","70","0.686407106551868","0.595473988566755","0.77734022453698"
"No","2010","Other degree","direct migration background","471","0.747773134338841","0.713337500088072","0.782208768589611"
"No","2010","Other degree","indirect migration background","9","","",""
"No","2010","no degree/no degree yet","no migration background","231","0.806085236815801","0.759940788554945","0.852229685076656"
"No","2010","no degree/no degree yet","direct migration background","62","0.68387092122892","0.58672466993125","0.781017172526589"
"No","2010","no degree/no degree yet","indirect migration background","39","0.664273988963183","0.53466679094584","0.793881186980527"
"Yes","2011","lower secondary degree","no migration background","","","",""
"Yes","2011","lower secondary degree","direct migration background","","","",""
"Yes","2011","lower secondary degree","indirect migration background","","","",""
"Yes","2011","secondary school degree","no migration background","","","",""
"Yes","2011","secondary school degree","direct migration background","","","",""
"Yes","2011","secondary school degree","indirect migration background","","","",""
"Yes","2011","college entrance qualification","no migration background","","","",""
"Yes","2011","college entrance qualification","direct migration background","","","",""
"Yes","2011","college entrance qualification","indirect migration background","","","",""
"Yes","2011","Other degree","no migration background","","","",""
"Yes","2011","Other degree","direct migration background","","","",""
"Yes","2011","Other degree","indirect migration background","","","",""
"Yes","2011","no degree/no degree yet","no migration background","","","",""
"Yes","2011","no degree/no degree yet","direct migration background","","","",""
"Yes","2011","no degree/no degree yet","indirect migration background","","","",""
"No","2011","lower secondary degree","no migration background","","","",""
"No","2011","lower secondary degree","direct migration background","","","",""
"No","2011","lower secondary degree","indirect migration background","","","",""
"No","2011","secondary school degree","no migration background","","","",""
"No","2011","secondary school degree","direct migration background","","","",""
"No","2011","secondary school degree","indirect migration background","","","",""
"No","2011","college entrance qualification","no migration background","","","",""
"No","2011","college entrance qualification","direct migration background","","","",""
"No","2011","college entrance qualification","indirect migration background","","","",""
"No","2011","Other degree","no migration background","","","",""
"No","2011","Other degree","direct migration background","","","",""
"No","2011","Other degree","indirect migration background","","","",""
"No","2011","no degree/no degree yet","no migration background","","","",""
"No","2011","no degree/no degree yet","direct migration background","","","",""
"No","2011","no degree/no degree yet","indirect migration background","","","",""
"Yes","2012","lower secondary degree","no migration background","1610","0.267379702893738","0.256142322306979","0.278617083480496"
"Yes","2012","lower secondary degree","direct migration background","108","0.304800046773305","0.257116455196825","0.352483638349785"
"Yes","2012","lower secondary degree","indirect migration background","103","0.524619433798401","0.455408295478067","0.593830572118735"
"Yes","2012","secondary school degree","no migration background","1675","0.302060390464107","0.290112327240014","0.314008453688201"
"Yes","2012","secondary school degree","direct migration background","51","0.310565326888142","0.245949631555171","0.375181022221114"
"Yes","2012","secondary school degree","indirect migration background","56","0.33640567691384","0.268867061134193","0.403944292693487"
"Yes","2012","college entrance qualification","no migration background","970","0.196792757553099","0.18598572285485","0.207599792251347"
"Yes","2012","college entrance qualification","direct migration background","48","0.225203563926206","0.170983240447412","0.279423887404999"
"Yes","2012","college entrance qualification","indirect migration background","54","0.199341232602799","0.150306896193176","0.248375569012423"
"Yes","2012","Other degree","no migration background","52","0.277226301349134","0.211281609460309","0.343170993237958"
"Yes","2012","Other degree","direct migration background","236","0.271702980583184","0.243880630256914","0.299525330909453"
"Yes","2012","Other degree","indirect migration background","3","","",""
"Yes","2012","no degree/no degree yet","no migration background","112","0.332703039469579","0.284364934957026","0.381041143982131"
"Yes","2012","no degree/no degree yet","direct migration background","24","","",""
"Yes","2012","no degree/no degree yet","indirect migration background","15","","",""
"No","2012","lower secondary degree","no migration background","4349","0.732620297106262","0.721382916519504","0.743857677693021"
"No","2012","lower secondary degree","direct migration background","250","0.695199953226695","0.647516361650215","0.742883544803175"
"No","2012","lower secondary degree","indirect migration background","97","0.475380566201599","0.406169427881265","0.544591704521933"
"No","2012","secondary school degree","no migration background","3998","0.697939609535893","0.685991546311799","0.709887672759986"
"No","2012","secondary school degree","direct migration background","146","0.689434673111858","0.624818977778886","0.754050368444829"
"No","2012","secondary school degree","indirect migration background","132","0.66359432308616","0.596055707306513","0.731132938865807"
"No","2012","college entrance qualification","no migration background","4229","0.803207242446901","0.792400207748652","0.81401427714515"
"No","2012","college entrance qualification","direct migration background","180","0.774796436073794","0.720576112595001","0.829016759552588"
"No","2012","college entrance qualification","indirect migration background","201","0.800658767397201","0.751624430987577","0.849693103806824"
"No","2012","Other degree","no migration background","125","0.722773698650866","0.656829006762042","0.788718390539691"
"No","2012","Other degree","direct migration background","746","0.728297019416816","0.700474669090547","0.756119369743086"
"No","2012","Other degree","indirect migration background","12","","",""
"No","2012","no degree/no degree yet","no migration background","253","0.667296960530421","0.618958856017869","0.715635065042974"
"No","2012","no degree/no degree yet","direct migration background","93","0.744015892422308","0.664938422054539","0.823093362790078"
"No","2012","no degree/no degree yet","indirect migration background","52","0.781437141840364","0.682480284385638","0.88039399929509"
"Yes","2013","lower secondary degree","no migration background","","","",""
"Yes","2013","lower secondary degree","direct migration background","","","",""
"Yes","2013","lower secondary degree","indirect migration background","","","",""
"Yes","2013","secondary school degree","no migration background","","","",""
"Yes","2013","secondary school degree","direct migration background","","","",""
"Yes","2013","secondary school degree","indirect migration background","","","",""
"Yes","2013","college entrance qualification","no migration background","","","",""
"Yes","2013","college entrance qualification","direct migration background","","","",""
"Yes","2013","college entrance qualification","indirect migration background","","","",""
"Yes","2013","Other degree","no migration background","","","",""
"Yes","2013","Other degree","direct migration background","","","",""
"Yes","2013","Other degree","indirect migration background","","","",""
"Yes","2013","no degree/no degree yet","no migration background","","","",""
"Yes","2013","no degree/no degree yet","direct migration background","","","",""
"Yes","2013","no degree/no degree yet","indirect migration background","","","",""
"No","2013","lower secondary degree","no migration background","","","",""
"No","2013","lower secondary degree","direct migration background","","","",""
"No","2013","lower secondary degree","indirect migration background","","","",""
"No","2013","secondary school degree","no migration background","","","",""
"No","2013","secondary school degree","direct migration background","","","",""
"No","2013","secondary school degree","indirect migration background","","","",""
"No","2013","college entrance qualification","no migration background","","","",""
"No","2013","college entrance qualification","direct migration background","","","",""
"No","2013","college entrance qualification","indirect migration background","","","",""
"No","2013","Other degree","no migration background","","","",""
"No","2013","Other degree","direct migration background","","","",""
"No","2013","Other degree","indirect migration background","","","",""
"No","2013","no degree/no degree yet","no migration background","","","",""
"No","2013","no degree/no degree yet","direct migration background","","","",""
"No","2013","no degree/no degree yet","indirect migration background","","","",""
"Yes","2014","lower secondary degree","no migration background","1783","0.282943596748474","0.271448244041953","0.294438949454996"
"Yes","2014","lower secondary degree","direct migration background","232","0.303781408323272","0.26695256463138","0.340610252015165"
"Yes","2014","lower secondary degree","indirect migration background","220","0.488867118065313","0.441230575714645","0.53650366041598"
"Yes","2014","secondary school degree","no migration background","1967","0.289191602889836","0.278309335082112","0.300073870697559"
"Yes","2014","secondary school degree","direct migration background","134","0.318455880381706","0.274163884602944","0.362747876160468"
"Yes","2014","secondary school degree","indirect migration background","163","0.397393652546782","0.352429158948425","0.442358146145139"
"Yes","2014","college entrance qualification","no migration background","1120","0.188232042007896","0.178658971595967","0.197805112419825"
"Yes","2014","college entrance qualification","direct migration background","108","0.230752003971091","0.192783503267745","0.268720504674436"
"Yes","2014","college entrance qualification","indirect migration background","138","0.252509984043841","0.216686663222554","0.288333304865128"
"Yes","2014","Other degree","no migration background","70","0.350534303296804","0.28159251404036","0.419476092553249"
"Yes","2014","Other degree","direct migration background","862","0.289003694703105","0.272942688597178","0.305064700809032"
"Yes","2014","Other degree","indirect migration background","25","","",""
"Yes","2014","no degree/no degree yet","no migration background","149","0.324796772263471","0.282989899843843","0.366603644683099"
"Yes","2014","no degree/no degree yet","direct migration background","134","0.333494554764424","0.286277931101709","0.380711178427139"
"Yes","2014","no degree/no degree yet","indirect migration background","43","0.338510647317849","0.261222225260602","0.415799069375096"
"No","2014","lower secondary degree","no migration background","4115","0.717056403251526","0.705561050545004","0.728551755958047"
"No","2014","lower secondary degree","direct migration background","367","0.696218591676728","0.659389747984835","0.73304743536862"
"No","2014","lower secondary degree","indirect migration background","203","0.511132881934687","0.46349633958402","0.558769424285354"
"No","2014","secondary school degree","no migration background","4701","0.710808397110165","0.699926129302441","0.721690664917888"
"No","2014","secondary school degree","direct migration background","291","0.681544119618294","0.637252123839532","0.725836115397056"
"No","2014","secondary school degree","indirect migration background","292","0.602606347453218","0.557641853854861","0.647570841051575"
"No","2014","college entrance qualification","no migration background","5285","0.811767957992104","0.802194887580175","0.821341028404033"
"No","2014","college entrance qualification","direct migration background","365","0.769247996028909","0.731279495325564","0.807216496732255"
"No","2014","college entrance qualification","indirect migration background","427","0.747490015956159","0.711666695134872","0.783313336777446"
