"ple0081_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2003","secondary school degree","vocational + Abi","","","",""
"Yes","2003","secondary school degree","higher vocational","","","",""
"Yes","2003","secondary school degree","higher education","","","",""
"Yes","2003","college entrance qualification","in school","","","",""
"Yes","2003","college entrance qualification","inadequately","","","",""
"Yes","2003","college entrance qualification","general elemantary","","","",""
"Yes","2003","college entrance qualification","middle vocational","","","",""
"Yes","2003","college entrance qualification","vocational + Abi","","","",""
"Yes","2003","college entrance qualification","higher vocational","","","",""
"Yes","2003","college entrance qualification","higher education","","","",""
"Yes","2003","Other degree","in school","","","",""
"Yes","2003","Other degree","inadequately","","","",""
"Yes","2003","Other degree","general elemantary","","","",""
"Yes","2003","Other degree","middle vocational","","","",""
"Yes","2003","Other degree","vocational + Abi","","","",""
"Yes","2003","Other degree","higher vocational","","","",""
"Yes","2003","Other degree","higher education","","","",""
"Yes","2003","no degree/no degree yet","in school","","","",""
"Yes","2003","no degree/no degree yet","inadequately","","","",""
"Yes","2003","no degree/no degree yet","general elemantary","","","",""
"Yes","2003","no degree/no degree yet","middle vocational","","","",""
"Yes","2003","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2003","no degree/no degree yet","higher vocational","","","",""
"Yes","2003","no degree/no degree yet","higher education","","","",""
"No","2003","lower secondary degree","in school","","","",""
"No","2003","lower secondary degree","inadequately","","","",""
"No","2003","lower secondary degree","general elemantary","","","",""
"No","2003","lower secondary degree","middle vocational","","","",""
"No","2003","lower secondary degree","vocational + Abi","","","",""
"No","2003","lower secondary degree","higher vocational","","","",""
"No","2003","lower secondary degree","higher education","","","",""
"No","2003","secondary school degree","in school","","","",""
"No","2003","secondary school degree","inadequately","","","",""
"No","2003","secondary school degree","general elemantary","","","",""
"No","2003","secondary school degree","middle vocational","","","",""
"No","2003","secondary school degree","vocational + Abi","","","",""
"No","2003","secondary school degree","higher vocational","","","",""
"No","2003","secondary school degree","higher education","","","",""
"No","2003","college entrance qualification","in school","","","",""
"No","2003","college entrance qualification","inadequately","","","",""
"No","2003","college entrance qualification","general elemantary","","","",""
"No","2003","college entrance qualification","middle vocational","","","",""
"No","2003","college entrance qualification","vocational + Abi","","","",""
"No","2003","college entrance qualification","higher vocational","","","",""
"No","2003","college entrance qualification","higher education","","","",""
"No","2003","Other degree","in school","","","",""
"No","2003","Other degree","inadequately","","","",""
"No","2003","Other degree","general elemantary","","","",""
"No","2003","Other degree","middle vocational","","","",""
"No","2003","Other degree","vocational + Abi","","","",""
"No","2003","Other degree","higher vocational","","","",""
"No","2003","Other degree","higher education","","","",""
"No","2003","no degree/no degree yet","in school","","","",""
"No","2003","no degree/no degree yet","inadequately","","","",""
"No","2003","no degree/no degree yet","general elemantary","","","",""
"No","2003","no degree/no degree yet","middle vocational","","","",""
"No","2003","no degree/no degree yet","vocational + Abi","","","",""
"No","2003","no degree/no degree yet","higher vocational","","","",""
"No","2003","no degree/no degree yet","higher education","","","",""
"Yes","2004","lower secondary degree","in school","","","",""
"Yes","2004","lower secondary degree","inadequately","","","",""
"Yes","2004","lower secondary degree","general elemantary","488","0.284730752281199","0.262822574661669","0.306638929900729"
"Yes","2004","lower secondary degree","middle vocational","1677","0.310895629436493","0.298378803834735","0.323412455038252"
"Yes","2004","lower secondary degree","vocational + Abi","10","","",""
"Yes","2004","lower secondary degree","higher vocational","121","0.244884082209871","0.206374622533758","0.283393541885984"
"Yes","2004","lower secondary degree","higher education","33","0.217321971965763","0.158679174406768","0.275964769524758"
"Yes","2004","secondary school degree","in school","","","",""
"Yes","2004","secondary school degree","inadequately","","","",""
"Yes","2004","secondary school degree","general elemantary","245","0.424476385685728","0.385221132208583","0.463731639162873"
"Yes","2004","secondary school degree","middle vocational","1479","0.347426054020905","0.333140998166346","0.361711109875465"
"Yes","2004","secondary school degree","vocational + Abi","9","","",""
"Yes","2004","secondary school degree","higher vocational","201","0.271675429508574","0.239429339313409","0.303921519703739"
"Yes","2004","secondary school degree","higher education","144","0.227201691987809","0.194864143299184","0.259539240676434"
"Yes","2004","college entrance qualification","in school","","","",""
"Yes","2004","college entrance qualification","inadequately","","","",""
"Yes","2004","college entrance qualification","general elemantary","","","",""
"Yes","2004","college entrance qualification","middle vocational","249","0.326718199942463","0.293697799092895","0.359738600792031"
"Yes","2004","college entrance qualification","vocational + Abi","281","0.289189275697613","0.260716048721809","0.317662502673417"
"Yes","2004","college entrance qualification","higher vocational","96","0.243876300379477","0.199942751804382","0.287809848954573"
"Yes","2004","college entrance qualification","higher education","665","0.231926005571736","0.217444430207712","0.24640758093576"
"Yes","2004","Other degree","in school","","","",""
"Yes","2004","Other degree","inadequately","18","","",""
"Yes","2004","Other degree","general elemantary","78","0.207133977920502","0.164858715264136","0.249409240576868"
"Yes","2004","Other degree","middle vocational","138","0.331900510486282","0.28739247830607","0.376408542666493"
"Yes","2004","Other degree","vocational + Abi","39","0.292161778107627","0.211795428962527","0.372528127252727"
"Yes","2004","Other degree","higher vocational","14","","",""
"Yes","2004","Other degree","higher education","38","0.209039794081751","0.151373345105014","0.266706243058489"
"Yes","2004","no degree/no degree yet","in school","150","0.234872267859161","0.20200372098833","0.267740814729993"
"Yes","2004","no degree/no degree yet","inadequately","83","0.400979423200829","0.335316060724265","0.466642785677393"
"Yes","2004","no degree/no degree yet","general elemantary","","","",""
"Yes","2004","no degree/no degree yet","middle vocational","21","","",""
"Yes","2004","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2004","no degree/no degree yet","higher vocational","","","",""
"Yes","2004","no degree/no degree yet","higher education","","","",""
"No","2004","lower secondary degree","in school","","","",""
"No","2004","lower secondary degree","inadequately","","","",""
"No","2004","lower secondary degree","general elemantary","1142","0.715269247718801","0.693361070099271","0.737177425338331"
"No","2004","lower secondary degree","middle vocational","3576","0.689104370563507","0.676587544961748","0.701621196165265"
"No","2004","lower secondary degree","vocational + Abi","17","","",""
"No","2004","lower secondary degree","higher vocational","358","0.755115917790129","0.716606458114016","0.793625377466242"
"No","2004","lower secondary degree","higher education","157","0.782678028034237","0.724035230475242","0.841320825593232"
"No","2004","secondary school degree","in school","","","",""
"No","2004","secondary school degree","inadequately","","","",""
"No","2004","secondary school degree","general elemantary","364","0.575523614314272","0.536268360837127","0.614778867791417"
"No","2004","secondary school degree","middle vocational","2789","0.652573945979094","0.638288890124535","0.666859001833654"
"No","2004","secondary school degree","vocational + Abi","30","0.860271780923171","0.751460057749491","0.969083504096851"
"No","2004","secondary school degree","higher vocational","530","0.728324570491426","0.696078480296261","0.760570660686591"
"No","2004","secondary school degree","higher education","501","0.772798308012191","0.740460759323566","0.805135856700816"
"No","2004","college entrance qualification","in school","","","",""
"No","2004","college entrance qualification","inadequately","","","",""
"No","2004","college entrance qualification","general elemantary","","","",""
"No","2004","college entrance qualification","middle vocational","526","0.673281800057537","0.640261399207969","0.706302200907105"
"No","2004","college entrance qualification","vocational + Abi","693","0.710810724302387","0.682337497326583","0.739283951278191"
"No","2004","college entrance qualification","higher vocational","271","0.756123699620523","0.712190151045427","0.800057248195618"
"No","2004","college entrance qualification","higher education","2598","0.768073994428264","0.75359241906424","0.782555569792288"
"No","2004","Other degree","in school","","","",""
"No","2004","Other degree","inadequately","22","","",""
"No","2004","Other degree","general elemantary","275","0.792866022079498","0.750590759423132","0.835141284735864"
"No","2004","Other degree","middle vocational","292","0.668099489513718","0.623591457333507","0.71260752169393"
"No","2004","Other degree","vocational + Abi","84","0.707838221892373","0.627471872747273","0.788204571037473"
"No","2004","Other degree","higher vocational","45","0.787080547558195","0.682623115510062","0.891537979606327"
"No","2004","Other degree","higher education","153","0.790960205918249","0.733293756941511","0.848626654894986"
"No","2004","no degree/no degree yet","in school","489","0.765127732140839","0.732259185270007","0.79799627901167"
"No","2004","no degree/no degree yet","inadequately","131","0.599020576799171","0.533357214322607","0.664683939275735"
"No","2004","no degree/no degree yet","general elemantary","","","",""
"No","2004","no degree/no degree yet","middle vocational","28","","",""
"No","2004","no degree/no degree yet","vocational + Abi","","","",""
"No","2004","no degree/no degree yet","higher vocational","5","","",""
"No","2004","no degree/no degree yet","higher education","2","","",""
"Yes","2005","lower secondary degree","in school","","","",""
"Yes","2005","lower secondary degree","inadequately","","","",""
"Yes","2005","lower secondary degree","general elemantary","","","",""
"Yes","2005","lower secondary degree","middle vocational","","","",""
"Yes","2005","lower secondary degree","vocational + Abi","","","",""
"Yes","2005","lower secondary degree","higher vocational","","","",""
"Yes","2005","lower secondary degree","higher education","","","",""
"Yes","2005","secondary school degree","in school","","","",""
"Yes","2005","secondary school degree","inadequately","","","",""
"Yes","2005","secondary school degree","general elemantary","","","",""
"Yes","2005","secondary school degree","middle vocational","","","",""
"Yes","2005","secondary school degree","vocational + Abi","","","",""
"Yes","2005","secondary school degree","higher vocational","","","",""
"Yes","2005","secondary school degree","higher education","","","",""
"Yes","2005","college entrance qualification","in school","","","",""
"Yes","2005","college entrance qualification","inadequately","","","",""
"Yes","2005","college entrance qualification","general elemantary","","","",""
"Yes","2005","college entrance qualification","middle vocational","","","",""
"Yes","2005","college entrance qualification","vocational + Abi","","","",""
"Yes","2005","college entrance qualification","higher vocational","","","",""
"Yes","2005","college entrance qualification","higher education","","","",""
"Yes","2005","Other degree","in school","","","",""
"Yes","2005","Other degree","inadequately","","","",""
"Yes","2005","Other degree","general elemantary","","","",""
"Yes","2005","Other degree","middle vocational","","","",""
"Yes","2005","Other degree","vocational + Abi","","","",""
"Yes","2005","Other degree","higher vocational","","","",""
"Yes","2005","Other degree","higher education","","","",""
"Yes","2005","no degree/no degree yet","in school","","","",""
"Yes","2005","no degree/no degree yet","inadequately","","","",""
"Yes","2005","no degree/no degree yet","general elemantary","","","",""
"Yes","2005","no degree/no degree yet","middle vocational","","","",""
"Yes","2005","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2005","no degree/no degree yet","higher vocational","","","",""
"Yes","2005","no degree/no degree yet","higher education","","","",""
"No","2005","lower secondary degree","in school","","","",""
"No","2005","lower secondary degree","inadequately","","","",""
"No","2005","lower secondary degree","general elemantary","","","",""
"No","2005","lower secondary degree","middle vocational","","","",""
"No","2005","lower secondary degree","vocational + Abi","","","",""
"No","2005","lower secondary degree","higher vocational","","","",""
"No","2005","lower secondary degree","higher education","","","",""
"No","2005","secondary school degree","in school","","","",""
"No","2005","secondary school degree","inadequately","","","",""
"No","2005","secondary school degree","general elemantary","","","",""
"No","2005","secondary school degree","middle vocational","","","",""
"No","2005","secondary school degree","vocational + Abi","","","",""
"No","2005","secondary school degree","higher vocational","","","",""
"No","2005","secondary school degree","higher education","","","",""
"No","2005","college entrance qualification","in school","","","",""
"No","2005","college entrance qualification","inadequately","","","",""
"No","2005","college entrance qualification","general elemantary","","","",""
"No","2005","college entrance qualification","middle vocational","","","",""
"No","2005","college entrance qualification","vocational + Abi","","","",""
"No","2005","college entrance qualification","higher vocational","","","",""
"No","2005","college entrance qualification","higher education","","","",""
"No","2005","Other degree","in school","","","",""
"No","2005","Other degree","inadequately","","","",""
"No","2005","Other degree","general elemantary","","","",""
"No","2005","Other degree","middle vocational","","","",""
"No","2005","Other degree","vocational + Abi","","","",""
"No","2005","Other degree","higher vocational","","","",""
"No","2005","Other degree","higher education","","","",""
"No","2005","no degree/no degree yet","in school","","","",""
"No","2005","no degree/no degree yet","inadequately","","","",""
"No","2005","no degree/no degree yet","general elemantary","","","",""
"No","2005","no degree/no degree yet","middle vocational","","","",""
"No","2005","no degree/no degree yet","vocational + Abi","","","",""
"No","2005","no degree/no degree yet","higher vocational","","","",""
"No","2005","no degree/no degree yet","higher education","","","",""
"Yes","2006","lower secondary degree","in school","","","",""
"Yes","2006","lower secondary degree","inadequately","","","",""
"Yes","2006","lower secondary degree","general elemantary","475","0.290074245379823","0.267754774567146","0.3123937161925"
"Yes","2006","lower secondary degree","middle vocational","1648","0.312912002577161","0.300482581363857","0.325341423790465"
"Yes","2006","lower secondary degree","vocational + Abi","5","","",""
"Yes","2006","lower secondary degree","higher vocational","102","0.23355448022386","0.195783407592337","0.271325552855382"
"Yes","2006","lower secondary degree","higher education","25","","",""
"Yes","2006","secondary school degree","in school","","","",""
"Yes","2006","secondary school degree","inadequately","","","",""
"Yes","2006","secondary school degree","general elemantary","250","0.467676023436979","0.427174218267662","0.508177828606296"
"Yes","2006","secondary school degree","middle vocational","1472","0.343194828205471","0.329229689448794","0.357159966962148"
"Yes","2006","secondary school degree","vocational + Abi","7","","",""
"Yes","2006","secondary school degree","higher vocational","192","0.277274971202116","0.244779247844898","0.309770694559335"
"Yes","2006","secondary school degree","higher education","156","0.246203478342167","0.214175476454575","0.27823148022976"
"Yes","2006","college entrance qualification","in school","","","",""
"Yes","2006","college entrance qualification","inadequately","","","",""
"Yes","2006","college entrance qualification","general elemantary","","","",""
"Yes","2006","college entrance qualification","middle vocational","227","0.269480599608961","0.237915524100367","0.301045675117555"
"Yes","2006","college entrance qualification","vocational + Abi","287","0.286613721279105","0.258999020387199","0.314228422171011"
"Yes","2006","college entrance qualification","higher vocational","92","0.246237046039947","0.202633024263228","0.289841067816667"
"Yes","2006","college entrance qualification","higher education","661","0.212551144619699","0.198921322328958","0.226180966910439"
"Yes","2006","Other degree","in school","","","",""
"Yes","2006","Other degree","inadequately","26","","",""
"Yes","2006","Other degree","general elemantary","84","0.25939011168172","0.21202903102996","0.306751192333481"
"Yes","2006","Other degree","middle vocational","138","0.382678974490119","0.336632218254155","0.428725730726083"
"Yes","2006","Other degree","vocational + Abi","46","0.336013146988448","0.255127713295991","0.416898580680905"
"Yes","2006","Other degree","higher vocational","16","","",""
"Yes","2006","Other degree","higher education","39","0.212222078499424","0.156655506159695","0.267788650839153"
"Yes","2006","no degree/no degree yet","in school","87","0.240542154827599","0.198498518332048","0.28258579132315"
"Yes","2006","no degree/no degree yet","inadequately","75","0.460567054679071","0.390427598556193","0.53070651080195"
"Yes","2006","no degree/no degree yet","general elemantary","","","",""
"Yes","2006","no degree/no degree yet","middle vocational","16","","",""
"Yes","2006","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2006","no degree/no degree yet","higher vocational","","","",""
"Yes","2006","no degree/no degree yet","higher education","","","",""
"No","2006","lower secondary degree","in school","","","",""
"No","2006","lower secondary degree","inadequately","","","",""
"No","2006","lower secondary degree","general elemantary","1113","0.709925754620177","0.6876062838075","0.732245225432854"
"No","2006","lower secondary degree","middle vocational","3698","0.687087997422839","0.674658576209535","0.699517418636143"
"No","2006","lower secondary degree","vocational + Abi","18","","",""
"No","2006","lower secondary degree","higher vocational","380","0.766445519776141","0.728674447144618","0.804216592407663"
"No","2006","lower secondary degree","higher education","171","0.840017250580481","0.788695585776877","0.891338915384085"
"No","2006","secondary school degree","in school","","","",""
"No","2006","secondary school degree","inadequately","","","",""
"No","2006","secondary school degree","general elemantary","333","0.532323976563021","0.491822171393704","0.572825781732338"
"No","2006","secondary school degree","middle vocational","2968","0.656805171794529","0.642840033037852","0.670770310551206"
"No","2006","secondary school degree","vocational + Abi","28","","",""
"No","2006","secondary school degree","higher vocational","537","0.722725028797884","0.690229305440665","0.755220752155102"
"No","2006","secondary school degree","higher education","539","0.753796521657833","0.72176851977024","0.785824523545425"
"No","2006","college entrance qualification","in school","","","",""
"No","2006","college entrance qualification","inadequately","","","",""
"No","2006","college entrance qualification","general elemantary","","","",""
"No","2006","college entrance qualification","middle vocational","532","0.730519400391039","0.698954324882445","0.762084475899633"
"No","2006","college entrance qualification","vocational + Abi","743","0.713386278720895","0.685771577828989","0.741000979612801"
"No","2006","college entrance qualification","higher vocational","283","0.753762953960053","0.710158932183333","0.797366975736772"
"No","2006","college entrance qualification","higher education","2800","0.787448855380301","0.773819033089561","0.801078677671042"
"No","2006","Other degree","in school","","","",""
"No","2006","Other degree","inadequately","22","","",""
"No","2006","Other degree","general elemantary","245","0.74060988831828","0.69324880766652","0.78797096897004"
"No","2006","Other degree","middle vocational","290","0.617321025509881","0.571274269273917","0.663367781745845"
"No","2006","Other degree","vocational + Abi","85","0.663986853011552","0.583101419319095","0.744872286704009"
"No","2006","Other degree","higher vocational","44","0.715125054003443","0.60091861493393","0.829331493072956"
"No","2006","Other degree","higher education","169","0.787777921500576","0.732211349160847","0.843344493840305"
"No","2006","no degree/no degree yet","in school","310","0.759457845172401","0.71741420867685","0.801501481667952"
"No","2006","no degree/no degree yet","inadequately","119","0.539432945320929","0.46929348919805","0.609572401443807"
"No","2006","no degree/no degree yet","general elemantary","","","",""
"No","2006","no degree/no degree yet","middle vocational","40","0.762386377819715","0.650911422027798","0.873861333611632"
"No","2006","no degree/no degree yet","vocational + Abi","","","",""
"No","2006","no degree/no degree yet","higher vocational","5","","",""
"No","2006","no degree/no degree yet","higher education","5","","",""
"Yes","2007","lower secondary degree","in school","","","",""
"Yes","2007","lower secondary degree","inadequately","","","",""
"Yes","2007","lower secondary degree","general elemantary","","","",""
"Yes","2007","lower secondary degree","middle vocational","","","",""
"Yes","2007","lower secondary degree","vocational + Abi","","","",""
"Yes","2007","lower secondary degree","higher vocational","","","",""
"Yes","2007","lower secondary degree","higher education","","","",""
"Yes","2007","secondary school degree","in school","","","",""
"Yes","2007","secondary school degree","inadequately","","","",""
"Yes","2007","secondary school degree","general elemantary","","","",""
"Yes","2007","secondary school degree","middle vocational","","","",""
"Yes","2007","secondary school degree","vocational + Abi","","","",""
"Yes","2007","secondary school degree","higher vocational","","","",""
"Yes","2007","secondary school degree","higher education","","","",""
"Yes","2007","college entrance qualification","in school","","","",""
"Yes","2007","college entrance qualification","inadequately","","","",""
"Yes","2007","college entrance qualification","general elemantary","","","",""
"Yes","2007","college entrance qualification","middle vocational","","","",""
"Yes","2007","college entrance qualification","vocational + Abi","","","",""
"Yes","2007","college entrance qualification","higher vocational","","","",""
"Yes","2007","college entrance qualification","higher education","","","",""
"Yes","2007","Other degree","in school","","","",""
"Yes","2007","Other degree","inadequately","","","",""
"Yes","2007","Other degree","general elemantary","","","",""
"Yes","2007","Other degree","middle vocational","","","",""
"Yes","2007","Other degree","vocational + Abi","","","",""
"Yes","2007","Other degree","higher vocational","","","",""
"Yes","2007","Other degree","higher education","","","",""
"Yes","2007","no degree/no degree yet","in school","","","",""
"Yes","2007","no degree/no degree yet","inadequately","","","",""
"Yes","2007","no degree/no degree yet","general elemantary","","","",""
"Yes","2007","no degree/no degree yet","middle vocational","","","",""
"Yes","2007","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2007","no degree/no degree yet","higher vocational","","","",""
"Yes","2007","no degree/no degree yet","higher education","","","",""
"No","2007","lower secondary degree","in school","","","",""
"No","2007","lower secondary degree","inadequately","","","",""
"No","2007","lower secondary degree","general elemantary","","","",""
"No","2007","lower secondary degree","middle vocational","","","",""
"No","2007","lower secondary degree","vocational + Abi","","","",""
"No","2007","lower secondary degree","higher vocational","","","",""
"No","2007","lower secondary degree","higher education","","","",""
"No","2007","secondary school degree","in school","","","",""
"No","2007","secondary school degree","inadequately","","","",""
"No","2007","secondary school degree","general elemantary","","","",""
"No","2007","secondary school degree","middle vocational","","","",""
"No","2007","secondary school degree","vocational + Abi","","","",""
"No","2007","secondary school degree","higher vocational","","","",""
"No","2007","secondary school degree","higher education","","","",""
"No","2007","college entrance qualification","in school","","","",""
"No","2007","college entrance qualification","inadequately","","","",""
"No","2007","college entrance qualification","general elemantary","","","",""
"No","2007","college entrance qualification","middle vocational","","","",""
"No","2007","college entrance qualification","vocational + Abi","","","",""
"No","2007","college entrance qualification","higher vocational","","","",""
"No","2007","college entrance qualification","higher education","","","",""
"No","2007","Other degree","in school","","","",""
"No","2007","Other degree","inadequately","","","",""
"No","2007","Other degree","general elemantary","","","",""
"No","2007","Other degree","middle vocational","","","",""
"No","2007","Other degree","vocational + Abi","","","",""
"No","2007","Other degree","higher vocational","","","",""
"No","2007","Other degree","higher education","","","",""
"No","2007","no degree/no degree yet","in school","","","",""
"No","2007","no degree/no degree yet","inadequately","","","",""
"No","2007","no degree/no degree yet","general elemantary","","","",""
"No","2007","no degree/no degree yet","middle vocational","","","",""
"No","2007","no degree/no degree yet","vocational + Abi","","","",""
"No","2007","no degree/no degree yet","higher vocational","","","",""
"No","2007","no degree/no degree yet","higher education","","","",""
"Yes","2008","lower secondary degree","in school","","","",""
"Yes","2008","lower secondary degree","inadequately","","","",""
"Yes","2008","lower secondary degree","general elemantary","362","0.287045435494269","0.262463521646358","0.31162734934218"
"Yes","2008","lower secondary degree","middle vocational","1392","0.316458583851702","0.302987466286757","0.329929701416648"
"Yes","2008","lower secondary degree","vocational + Abi","5","","",""
"Yes","2008","lower secondary degree","higher vocational","90","0.252977175719632","0.211352708755068","0.294601642684196"
"Yes","2008","lower secondary degree","higher education","25","","",""
"Yes","2008","secondary school degree","in school","","","",""
"Yes","2008","secondary school degree","inadequately","","","",""
"Yes","2008","secondary school degree","general elemantary","180","0.370194623147824","0.326953340314665","0.413435905980983"
"Yes","2008","secondary school degree","middle vocational","1243","0.319702315467156","0.305271528480849","0.334133102453463"
"Yes","2008","secondary school degree","vocational + Abi","7","","",""
"Yes","2008","secondary school degree","higher vocational","157","0.262860956492938","0.228323245942736","0.29739866704314"
"Yes","2008","secondary school degree","higher education","138","0.226404326665281","0.193247591757844","0.259561061572717"
"Yes","2008","college entrance qualification","in school","","","",""
"Yes","2008","college entrance qualification","inadequately","","","",""
"Yes","2008","college entrance qualification","general elemantary","","","",""
"Yes","2008","college entrance qualification","middle vocational","172","0.233482002570438","0.201755249964708","0.265208755176168"
"Yes","2008","college entrance qualification","vocational + Abi","250","0.276048347070263","0.247455154287343","0.304641539853183"
"Yes","2008","college entrance qualification","higher vocational","71","0.185837730692661","0.143152740863352","0.228522720521971"
"Yes","2008","college entrance qualification","higher education","555","0.178859068825902","0.165595422156854","0.192122715494951"
"Yes","2008","Other degree","in school","","","",""
"Yes","2008","Other degree","inadequately","19","","",""
"Yes","2008","Other degree","general elemantary","55","0.242131987807388","0.189242337839206","0.29502163777557"
