"ple0081_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","2002","direct migration background","(0) in school","42","0.755008001839964","0.639220446837304","0.870795556842624"
"No","2002","direct migration background","(1a) inadequately completed","138","0.648098519703465","0.582883813446792","0.713313225960139"
"No","2002","direct migration background","(1b) general elementary school","450","0.696644320408563","0.661465782370423","0.731822858446703"
"No","2002","direct migration background","(1c) basic vocational qualification","500","0.641628076033029","0.608189851153858","0.6750663009122"
"No","2002","direct migration background","(2b) intermediate general qualification","42","0.69799158107337","0.582774255395718","0.813208906751021"
"No","2002","direct migration background","(2a) intermediate vocational","115","0.718920544611658","0.65053740346736","0.787303685755956"
"No","2002","direct migration background","(2c_gen) general maturity certificate","85","0.666860153638772","0.588504314582092","0.745215992695452"
"No","2002","direct migration background","(2c_voc) vocational maturity certificate","211","0.670975544745091","0.618922833248795","0.723028256241387"
"No","2002","direct migration background","(3a) lower tertiary education","66","0.753776553190188","0.665744629394943","0.841808476985432"
"No","2002","direct migration background","(3b) higher tertiary education","238","0.790752539264775","0.745101720921867","0.836403357607684"
"No","2002","indirect migration background","(0) in school","60","0.720541437110601","0.622210248490711","0.818872625730492"
"No","2002","indirect migration background","(1a) inadequately completed","4","","",""
"No","2002","indirect migration background","(1b) general elementary school","56","0.399978513977881","0.314097964018797","0.485859063936966"
"No","2002","indirect migration background","(1c) basic vocational qualification","60","0.368773847615043","0.288276587779999","0.449271107450087"
"No","2002","indirect migration background","(2b) intermediate general qualification","46","0.613156533862092","0.506433930503529","0.719879137220655"
"No","2002","indirect migration background","(2a) intermediate vocational","65","0.543652821076564","0.458030908840508","0.62927473331262"
"No","2002","indirect migration background","(2c_gen) general maturity certificate","61","0.662945800542729","0.56245472108458","0.763436880000878"
"No","2002","indirect migration background","(2c_voc) vocational maturity certificate","35","0.744676105734319","0.625004135172905","0.864348076295732"
"No","2002","indirect migration background","(3a) lower tertiary education","15","","",""
"No","2002","indirect migration background","(3b) higher tertiary education","33","0.696352272158083","0.564890743385006","0.827813800931159"
"Yes","2003","no migration background","(0) in school","","","",""
"Yes","2003","no migration background","(1a) inadequately completed","","","",""
"Yes","2003","no migration background","(1b) general elementary school","","","",""
"Yes","2003","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2003","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2003","no migration background","(2a) intermediate vocational","","","",""
"Yes","2003","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2003","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","no migration background","(3a) lower tertiary education","","","",""
"Yes","2003","no migration background","(3b) higher tertiary education","","","",""
"Yes","2003","direct migration background","(0) in school","","","",""
"Yes","2003","direct migration background","(1a) inadequately completed","","","",""
"Yes","2003","direct migration background","(1b) general elementary school","","","",""
"Yes","2003","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2003","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2003","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2003","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2003","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2003","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2003","indirect migration background","(0) in school","","","",""
"Yes","2003","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2003","indirect migration background","(1b) general elementary school","","","",""
"Yes","2003","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2003","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2003","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2003","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2003","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2003","indirect migration background","(3b) higher tertiary education","","","",""
"No","2003","no migration background","(0) in school","","","",""
"No","2003","no migration background","(1a) inadequately completed","","","",""
"No","2003","no migration background","(1b) general elementary school","","","",""
"No","2003","no migration background","(1c) basic vocational qualification","","","",""
"No","2003","no migration background","(2b) intermediate general qualification","","","",""
"No","2003","no migration background","(2a) intermediate vocational","","","",""
"No","2003","no migration background","(2c_gen) general maturity certificate","","","",""
"No","2003","no migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2003","no migration background","(3a) lower tertiary education","","","",""
"No","2003","no migration background","(3b) higher tertiary education","","","",""
"No","2003","direct migration background","(0) in school","","","",""
"No","2003","direct migration background","(1a) inadequately completed","","","",""
"No","2003","direct migration background","(1b) general elementary school","","","",""
"No","2003","direct migration background","(1c) basic vocational qualification","","","",""
"No","2003","direct migration background","(2b) intermediate general qualification","","","",""
"No","2003","direct migration background","(2a) intermediate vocational","","","",""
"No","2003","direct migration background","(2c_gen) general maturity certificate","","","",""
"No","2003","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2003","direct migration background","(3a) lower tertiary education","","","",""
"No","2003","direct migration background","(3b) higher tertiary education","","","",""
"No","2003","indirect migration background","(0) in school","","","",""
"No","2003","indirect migration background","(1a) inadequately completed","","","",""
"No","2003","indirect migration background","(1b) general elementary school","","","",""
"No","2003","indirect migration background","(1c) basic vocational qualification","","","",""
"No","2003","indirect migration background","(2b) intermediate general qualification","","","",""
"No","2003","indirect migration background","(2a) intermediate vocational","","","",""
"No","2003","indirect migration background","(2c_gen) general maturity certificate","","","",""
"No","2003","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2003","indirect migration background","(3a) lower tertiary education","","","",""
"No","2003","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2004","no migration background","(0) in school","121","0.273521960627492","0.234331782054537","0.312712139200446"
"Yes","2004","no migration background","(1a) inadequately completed","37","0.390104300548064","0.284529731003496","0.495678870092631"
"Yes","2004","no migration background","(1b) general elementary school","364","0.266369616829254","0.242585138673346","0.290154094985162"
"Yes","2004","no migration background","(1c) basic vocational qualification","1581","0.293963973143261","0.281617078791877","0.306310867494644"
"Yes","2004","no migration background","(2b) intermediate general qualification","199","0.433837194112059","0.390133446917018","0.477540941307101"
"Yes","2004","no migration background","(2a) intermediate vocational","1576","0.334915597866104","0.321458442916279","0.348372752815928"
"Yes","2004","no migration background","(2c_gen) general maturity certificate","215","0.339509027159899","0.302992376376622","0.376025677943175"
"Yes","2004","no migration background","(2c_voc) vocational maturity certificate","336","0.264768478154464","0.240051089814005","0.289485866494923"
"Yes","2004","no migration background","(3a) lower tertiary education","379","0.256982670426518","0.235631511197403","0.278333829655633"
"Yes","2004","no migration background","(3b) higher tertiary education","408","0.207655860760579","0.190984084157129","0.224327637364029"
"Yes","2004","direct migration background","(0) in school","9","","",""
"Yes","2004","direct migration background","(1a) inadequately completed","59","0.32641306167696","0.256941084396592","0.395885038957328"
"Yes","2004","direct migration background","(1b) general elementary school","154","0.26453141174317","0.228289370766328","0.300773452720013"
"Yes","2004","direct migration background","(1c) basic vocational qualification","244","0.331550076118414","0.297399686251997","0.365700465984831"
"Yes","2004","direct migration background","(2b) intermediate general qualification","16","","",""
"Yes","2004","direct migration background","(2a) intermediate vocational","53","0.347153571289897","0.272686444100252","0.421620698479542"
"Yes","2004","direct migration background","(2c_gen) general maturity certificate","48","0.40781721991355","0.318770930442714","0.496863509384386"
"Yes","2004","direct migration background","(2c_voc) vocational maturity certificate","84","0.295828286306206","0.242746190967294","0.348910381645119"
"Yes","2004","direct migration background","(3a) lower tertiary education","18","","",""
"Yes","2004","direct migration background","(3b) higher tertiary education","61","0.209648909832235","0.161798900632558","0.257498919031912"
"Yes","2004","indirect migration background","(0) in school","21","","",""
"Yes","2004","indirect migration background","(1a) inadequately completed","7","","",""
"Yes","2004","indirect migration background","(1b) general elementary school","63","0.445617113958727","0.358134230966415","0.533099996951039"
"Yes","2004","indirect migration background","(1c) basic vocational qualification","76","0.574182285166058","0.490461662634574","0.657902907697542"
"Yes","2004","indirect migration background","(2b) intermediate general qualification","33","0.462925707056525","0.346943398562104","0.578908015550947"
"Yes","2004","indirect migration background","(2a) intermediate vocational","61","0.437826323145794","0.353191846495156","0.522460799796431"
"Yes","2004","indirect migration background","(2c_gen) general maturity certificate","18","","",""
"Yes","2004","indirect migration background","(2c_voc) vocational maturity certificate","22","","",""
"Yes","2004","indirect migration background","(3a) lower tertiary education","4","","",""
"Yes","2004","indirect migration background","(3b) higher tertiary education","10","","",""
"No","2004","no migration background","(0) in school","376","0.726478039372508","0.687287860799554","0.765668217945463"
"No","2004","no migration background","(1a) inadequately completed","45","0.609895699451936","0.504321129907369","0.715470268996504"
"No","2004","no migration background","(1b) general elementary school","963","0.733630383170746","0.709845905014839","0.757414861326654"
"No","2004","no migration background","(1c) basic vocational qualification","3649","0.706036026856739","0.693689132505356","0.718382921208123"
"No","2004","no migration background","(2b) intermediate general qualification","295","0.566162805887941","0.522459058692899","0.609866553082982"
"No","2004","no migration background","(2a) intermediate vocational","3149","0.665084402133896","0.651627247184072","0.678541557083721"
"No","2004","no migration background","(2c_gen) general maturity certificate","431","0.660490972840101","0.623974322056825","0.697007623623378"
"No","2004","no migration background","(2c_voc) vocational maturity certificate","888","0.735231521845536","0.710514133505077","0.759948910185995"
"No","2004","no migration background","(3a) lower tertiary education","1230","0.743017329573482","0.721666170344367","0.764368488802597"
"No","2004","no migration background","(3b) higher tertiary education","1866","0.792344139239421","0.775672362635971","0.809015915842871"
"No","2004","direct migration background","(0) in school","53","0.906125288659027","0.833527953527196","0.978722623790858"
"No","2004","direct migration background","(1a) inadequately completed","116","0.67358693832304","0.604114961042672","0.743058915603408"
"No","2004","direct migration background","(1b) general elementary school","415","0.73546858825683","0.699226547279987","0.771710629233672"
"No","2004","direct migration background","(1c) basic vocational qualification","486","0.668449923881586","0.634299534015169","0.702600313748003"
"No","2004","direct migration background","(2b) intermediate general qualification","31","0.633385667301061","0.495620952440115","0.771150382162007"
"No","2004","direct migration background","(2a) intermediate vocational","104","0.652846428710103","0.578379301520458","0.727313555899748"
"No","2004","direct migration background","(2c_gen) general maturity certificate","69","0.59218278008645","0.503136490615614","0.681229069557286"
"No","2004","direct migration background","(2c_voc) vocational maturity certificate","200","0.704171713693794","0.651089618354881","0.757253809032706"
"No","2004","direct migration background","(3a) lower tertiary education","62","0.797999228027588","0.710019858038336","0.88597859801684"
"No","2004","direct migration background","(3b) higher tertiary education","217","0.790351090167765","0.742501080968088","0.838201099367442"
"No","2004","indirect migration background","(0) in school","61","0.797771769028783","0.710835421910062","0.884708116147503"
"No","2004","indirect migration background","(1a) inadequately completed","2","","",""
"No","2004","indirect migration background","(1b) general elementary school","61","0.554382886041273","0.466900003048961","0.641865769033585"
"No","2004","indirect migration background","(1c) basic vocational qualification","58","0.425817714833942","0.342097092302458","0.509538337365426"
"No","2004","indirect migration background","(2b) intermediate general qualification","38","0.537074292943475","0.421091984449054","0.653056601437896"
"No","2004","indirect migration background","(2a) intermediate vocational","71","0.562173676854206","0.477539200203569","0.646808153504844"
"No","2004","indirect migration background","(2c_gen) general maturity certificate","69","0.717664084833656","0.623076936003144","0.812251233664168"
"No","2004","indirect migration background","(2c_voc) vocational maturity certificate","37","0.598168554018836","0.473068978979198","0.723268129058475"
"No","2004","indirect migration background","(3a) lower tertiary education","14","","",""
"No","2004","indirect migration background","(3b) higher tertiary education","33","0.680402925115726","0.541023603266702","0.81978224696475"
"Yes","2005","no migration background","(0) in school","","","",""
"Yes","2005","no migration background","(1a) inadequately completed","","","",""
"Yes","2005","no migration background","(1b) general elementary school","","","",""
"Yes","2005","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2005","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2005","no migration background","(2a) intermediate vocational","","","",""
"Yes","2005","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2005","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2005","no migration background","(3a) lower tertiary education","","","",""
"Yes","2005","no migration background","(3b) higher tertiary education","","","",""
"Yes","2005","direct migration background","(0) in school","","","",""
"Yes","2005","direct migration background","(1a) inadequately completed","","","",""
"Yes","2005","direct migration background","(1b) general elementary school","","","",""
"Yes","2005","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2005","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2005","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2005","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2005","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2005","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2005","indirect migration background","(0) in school","","","",""
"Yes","2005","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2005","indirect migration background","(1b) general elementary school","","","",""
"Yes","2005","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2005","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2005","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2005","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2005","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2005","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2005","indirect migration background","(3b) higher tertiary education","","","",""
"No","2005","no migration background","(0) in school","","","",""
"No","2005","no migration background","(1a) inadequately completed","","","",""
"No","2005","no migration background","(1b) general elementary school","","","",""
"No","2005","no migration background","(1c) basic vocational qualification","","","",""
"No","2005","no migration background","(2b) intermediate general qualification","","","",""
"No","2005","no migration background","(2a) intermediate vocational","","","",""
"No","2005","no migration background","(2c_gen) general maturity certificate","","","",""
"No","2005","no migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2005","no migration background","(3a) lower tertiary education","","","",""
"No","2005","no migration background","(3b) higher tertiary education","","","",""
"No","2005","direct migration background","(0) in school","","","",""
"No","2005","direct migration background","(1a) inadequately completed","","","",""
"No","2005","direct migration background","(1b) general elementary school","","","",""
"No","2005","direct migration background","(1c) basic vocational qualification","","","",""
"No","2005","direct migration background","(2b) intermediate general qualification","","","",""
"No","2005","direct migration background","(2a) intermediate vocational","","","",""
"No","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
"No","2005","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2005","direct migration background","(3a) lower tertiary education","","","",""
"No","2005","direct migration background","(3b) higher tertiary education","","","",""
"No","2005","indirect migration background","(0) in school","","","",""
"No","2005","indirect migration background","(1a) inadequately completed","","","",""
"No","2005","indirect migration background","(1b) general elementary school","","","",""
"No","2005","indirect migration background","(1c) basic vocational qualification","","","",""
"No","2005","indirect migration background","(2b) intermediate general qualification","","","",""
"No","2005","indirect migration background","(2a) intermediate vocational","","","",""
"No","2005","indirect migration background","(2c_gen) general maturity certificate","","","",""
"No","2005","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2005","indirect migration background","(3a) lower tertiary education","","","",""
"No","2005","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2006","no migration background","(0) in school","73","0.233392460069885","0.186755041498525","0.280029878641244"
"Yes","2006","no migration background","(1a) inadequately completed","35","0.433307486961602","0.328577584414709","0.538037389508494"
"Yes","2006","no migration background","(1b) general elementary school","374","0.273867033099088","0.250078965582061","0.297655100616116"
"Yes","2006","no migration background","(1c) basic vocational qualification","1553","0.294012982377132","0.281828639104034","0.306197325650229"
"Yes","2006","no migration background","(2b) intermediate general qualification","203","0.471573186640891","0.42658644946339","0.516559923818393"
"Yes","2006","no migration background","(2a) intermediate vocational","1567","0.334017117195471","0.320797783771856","0.347236450619087"
"Yes","2006","no migration background","(2c_gen) general maturity certificate","185","0.285070637960125","0.24964941049218","0.320491865428069"
"Yes","2006","no migration background","(2c_voc) vocational maturity certificate","345","0.276146861398715","0.25170176164364","0.30059196115379"
"Yes","2006","no migration background","(3a) lower tertiary education","356","0.237079843272007","0.216863132836486","0.257296553707527"
"Yes","2006","no migration background","(3b) higher tertiary education","430","0.191127724700309","0.1755362147091","0.206719234691517"
"Yes","2006","direct migration background","(0) in school","7","","",""
"Yes","2006","direct migration background","(1a) inadequately completed","46","0.361144218745677","0.284018947411211","0.438269490080143"
"Yes","2006","direct migration background","(1b) general elementary school","151","0.297660178165201","0.257623020035901","0.3376973362945"
"Yes","2006","direct migration background","(1c) basic vocational qualification","228","0.359119912663394","0.322982097768139","0.395257727558648"
"Yes","2006","direct migration background","(2b) intermediate general qualification","16","","",""
"Yes","2006","direct migration background","(2a) intermediate vocational","44","0.330292879225423","0.256011528149234","0.404574230301612"
"Yes","2006","direct migration background","(2c_gen) general maturity certificate","45","0.413260820591025","0.324035149812545","0.502486491369505"
"Yes","2006","direct migration background","(2c_voc) vocational maturity certificate","85","0.304790284477857","0.251627181302952","0.357953387652762"
"Yes","2006","direct migration background","(3a) lower tertiary education","19","","",""
"Yes","2006","direct migration background","(3b) higher tertiary education","53","0.204251595984756","0.157851411257969","0.250651780711544"
"Yes","2006","indirect migration background","(0) in school","10","","",""
"Yes","2006","indirect migration background","(1a) inadequately completed","7","","",""
"Yes","2006","indirect migration background","(1b) general elementary school","58","0.463834142536535","0.371477100730214","0.556191184342856"
"Yes","2006","indirect migration background","(1c) basic vocational qualification","78","0.574349052518481","0.49330991150714","0.655388193529822"
"Yes","2006","indirect migration background","(2b) intermediate general qualification","33","0.489059369617535","0.369364178841021","0.608754560394048"
"Yes","2006","indirect migration background","(2a) intermediate vocational","59","0.359680278766658","0.278726344689763","0.440634212843553"
"Yes","2006","indirect migration background","(2c_gen) general maturity certificate","25","","",""
"Yes","2006","indirect migration background","(2c_voc) vocational maturity certificate","18","","",""
"Yes","2006","indirect migration background","(3a) lower tertiary education","10","","",""
"Yes","2006","indirect migration background","(3b) higher tertiary education","15","","",""
"No","2006","no migration background","(0) in school","243","0.766607539930115","0.719970121358756","0.813244958501475"
"No","2006","no migration background","(1a) inadequately completed","51","0.566692513038398","0.461962610491506","0.671422415585291"
"No","2006","no migration background","(1b) general elementary school","976","0.726132966900912","0.702344899383884","0.749921034417939"
"No","2006","no migration background","(1c) basic vocational qualification","3818","0.705987017622868","0.693802674349771","0.718171360895966"
"No","2006","no migration background","(2b) intermediate general qualification","270","0.528426813359108","0.483440076181607","0.57341355053661"
"No","2006","no migration background","(2a) intermediate vocational","3323","0.665982882804528","0.652763549380913","0.679202216228144"
"No","2006","no migration background","(2c_gen) general maturity certificate","439","0.714929362039875","0.679508134571931","0.75035058950782"
"No","2006","no migration background","(2c_voc) vocational maturity certificate","940","0.723853138601285","0.69940803884621","0.74829823835636"
"No","2006","no migration background","(3a) lower tertiary education","1344","0.762920156727993","0.742703446292473","0.783136867163514"
"No","2006","no migration background","(3b) higher tertiary education","2013","0.808872275299691","0.793280765308483","0.8244637852909"
"No","2006","direct migration background","(0) in school","27","","",""
"No","2006","direct migration background","(1a) inadequately completed","103","0.638855781254323","0.561730509919858","0.715981052588789"
"No","2006","direct migration background","(1b) general elementary school","350","0.702339821834799","0.6623026637055","0.742376979964098"
"No","2006","direct migration background","(1c) basic vocational qualification","449","0.640880087336607","0.604742272441352","0.677017902231861"
"No","2006","direct migration background","(2b) intermediate general qualification","29","","",""
"No","2006","direct migration background","(2a) intermediate vocational","110","0.669707120774577","0.595425769698388","0.743988471850766"
"No","2006","direct migration background","(2c_gen) general maturity certificate","72","0.586739179408975","0.497513508630495","0.675964850187455"
"No","2006","direct migration background","(2c_voc) vocational maturity certificate","203","0.695209715522143","0.642046612347238","0.748372818697048"
"No","2006","direct migration background","(3a) lower tertiary education","58","0.743033024131344","0.645434007163204","0.840632041099484"
"No","2006","direct migration background","(3b) higher tertiary education","237","0.795748404015244","0.749348219288456","0.842148588742031"
"No","2006","indirect migration background","(0) in school","48","0.745121510999357","0.63296764802936","0.857275373969353"
"No","2006","indirect migration background","(1a) inadequately completed","2","","",""
"No","2006","indirect migration background","(1b) general elementary school","54","0.536165857463465","0.443808815657144","0.628522899269786"
"No","2006","indirect migration background","(1c) basic vocational qualification","65","0.425650947481519","0.344611806470178","0.50669008849286"
"No","2006","indirect migration background","(2b) intermediate general qualification","34","0.510940630382465","0.391245439605952","0.630635821158979"
"No","2006","indirect migration background","(2a) intermediate vocational","76","0.640319721233342","0.559365787156447","0.721273655310237"
"No","2006","indirect migration background","(2c_gen) general maturity certificate","65","0.764045581274417","0.676325196517547","0.851765966031287"
"No","2006","indirect migration background","(2c_voc) vocational maturity certificate","46","0.780734120916594","0.679367443546398","0.882100798286791"
"No","2006","indirect migration background","(3a) lower tertiary education","20","","",""
"No","2006","indirect migration background","(3b) higher tertiary education","32","0.628633983341056","0.490500434633678","0.766767532048434"
"Yes","2007","no migration background","(0) in school","","","",""
"Yes","2007","no migration background","(1a) inadequately completed","","","",""
"Yes","2007","no migration background","(1b) general elementary school","","","",""
"Yes","2007","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2007","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2007","no migration background","(2a) intermediate vocational","","","",""
"Yes","2007","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2007","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","no migration background","(3a) lower tertiary education","","","",""
"Yes","2007","no migration background","(3b) higher tertiary education","","","",""
"Yes","2007","direct migration background","(0) in school","","","",""
"Yes","2007","direct migration background","(1a) inadequately completed","","","",""
"Yes","2007","direct migration background","(1b) general elementary school","","","",""
"Yes","2007","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2007","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2007","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2007","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2007","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2007","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2007","indirect migration background","(0) in school","","","",""
"Yes","2007","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2007","indirect migration background","(1b) general elementary school","","","",""
"Yes","2007","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2007","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2007","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2007","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2007","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2007","indirect migration background","(3b) higher tertiary education","","","",""
"No","2007","no migration background","(0) in school","","","",""
"No","2007","no migration background","(1a) inadequately completed","","","",""
"No","2007","no migration background","(1b) general elementary school","","","",""
"No","2007","no migration background","(1c) basic vocational qualification","","","",""
"No","2007","no migration background","(2b) intermediate general qualification","","","",""
"No","2007","no migration background","(2a) intermediate vocational","","","",""
"No","2007","no migration background","(2c_gen) general maturity certificate","","","",""
"No","2007","no migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2007","no migration background","(3a) lower tertiary education","","","",""
"No","2007","no migration background","(3b) higher tertiary education","","","",""
"No","2007","direct migration background","(0) in school","","","",""
"No","2007","direct migration background","(1a) inadequately completed","","","",""
"No","2007","direct migration background","(1b) general elementary school","","","",""
"No","2007","direct migration background","(1c) basic vocational qualification","","","",""
"No","2007","direct migration background","(2b) intermediate general qualification","","","",""
"No","2007","direct migration background","(2a) intermediate vocational","","","",""
"No","2007","direct migration background","(2c_gen) general maturity certificate","","","",""
"No","2007","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2007","direct migration background","(3a) lower tertiary education","","","",""
"No","2007","direct migration background","(3b) higher tertiary education","","","",""
"No","2007","indirect migration background","(0) in school","","","",""
"No","2007","indirect migration background","(1a) inadequately completed","","","",""
"No","2007","indirect migration background","(1b) general elementary school","","","",""
"No","2007","indirect migration background","(1c) basic vocational qualification","","","",""
