"ple0081_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2004","no migration background","higher education","787","0.230474097354383","0.217228026352918","0.243720168355848"
"Yes","2004","direct migration background","in school","9","","",""
"Yes","2004","direct migration background","inadequately","54","0.350617802756257","0.275740022226865","0.425495583285649"
"Yes","2004","direct migration background","general elemantary","170","0.274547454467556","0.239275969176714","0.309818939758398"
"Yes","2004","direct migration background","middle vocational","332","0.343068391956061","0.312880226544898","0.373256557367225"
"Yes","2004","direct migration background","vocational + Abi","72","0.318857076132046","0.258098019004991","0.379616133259101"
"Yes","2004","direct migration background","higher vocational","30","0.228484348745102","0.158936344556103","0.2980323529341"
"Yes","2004","direct migration background","higher education","79","0.207847959998854","0.165815604041904","0.249880315955804"
"Yes","2004","indirect migration background","in school","21","","",""
"Yes","2004","indirect migration background","inadequately","7","","",""
"Yes","2004","indirect migration background","general elemantary","95","0.45353616847297","0.382748441793489","0.524323895152452"
"Yes","2004","indirect migration background","middle vocational","144","0.483292357152018","0.429046484846152","0.537538229457884"
"Yes","2004","indirect migration background","vocational + Abi","19","","",""
"Yes","2004","indirect migration background","higher vocational","17","","",""
"Yes","2004","indirect migration background","higher education","14","","",""
"No","2004","no migration background","in school","375","0.727232237374735","0.687996793203654","0.766467681545816"
"No","2004","no migration background","inadequately","45","0.559250767474945","0.453705757587857","0.664795777362033"
"No","2004","no migration background","general elemantary","1241","0.702880776892243","0.681692676444593","0.724068877339894"
"No","2004","no migration background","middle vocational","6441","0.680971860389264","0.671622735430057","0.690320985348471"
"No","2004","no migration background","vocational + Abi","642","0.728559976596175","0.69934384684822","0.757776106344131"
"No","2004","no migration background","higher vocational","1076","0.747023407773766","0.724747613300606","0.769299202246925"
"No","2004","no migration background","higher education","3096","0.769525902645617","0.756279831644152","0.782771973647082"
"No","2004","direct migration background","in school","53","0.906125288659027","0.833527953527196","0.978722623790858"
"No","2004","direct migration background","inadequately","102","0.649382197243743","0.574504416714351","0.724259977773135"
"No","2004","direct migration background","general elemantary","445","0.725452545532444","0.690181060241602","0.760724030823286"
"No","2004","direct migration background","middle vocational","618","0.656931608043939","0.626743442632775","0.687119773455102"
"No","2004","direct migration background","vocational + Abi","154","0.681142923867954","0.620383866740899","0.741901980995008"
"No","2004","direct migration background","higher vocational","110","0.771515651254898","0.7019676470659","0.841063655443897"
"No","2004","direct migration background","higher education","279","0.792152040001146","0.750119684044196","0.834184395958096"
"No","2004","indirect migration background","in school","61","0.797771769028783","0.710835421910062","0.884708116147503"
"No","2004","indirect migration background","inadequately","6","","",""
"No","2004","indirect migration background","general elemantary","95","0.546463831527029","0.475676104847548","0.617251558206511"
"No","2004","indirect migration background","middle vocational","182","0.516707642847982","0.462461770542116","0.570953515153848"
"No","2004","indirect migration background","vocational + Abi","28","","",""
"No","2004","indirect migration background","higher vocational","26","","",""
"No","2004","indirect migration background","higher education","47","0.728939282614575","0.617391191504868","0.840487373724282"
"Yes","2005","no migration background","in school","","","",""
"Yes","2005","no migration background","inadequately","","","",""
"Yes","2005","no migration background","general elemantary","","","",""
"Yes","2005","no migration background","middle vocational","","","",""
"Yes","2005","no migration background","vocational + Abi","","","",""
"Yes","2005","no migration background","higher vocational","","","",""
"Yes","2005","no migration background","higher education","","","",""
"Yes","2005","direct migration background","in school","","","",""
"Yes","2005","direct migration background","inadequately","","","",""
"Yes","2005","direct migration background","general elemantary","","","",""
"Yes","2005","direct migration background","middle vocational","","","",""
"Yes","2005","direct migration background","vocational + Abi","","","",""
"Yes","2005","direct migration background","higher vocational","","","",""
"Yes","2005","direct migration background","higher education","","","",""
"Yes","2005","indirect migration background","in school","","","",""
"Yes","2005","indirect migration background","inadequately","","","",""
"Yes","2005","indirect migration background","general elemantary","","","",""
"Yes","2005","indirect migration background","middle vocational","","","",""
"Yes","2005","indirect migration background","vocational + Abi","","","",""
"Yes","2005","indirect migration background","higher vocational","","","",""
"Yes","2005","indirect migration background","higher education","","","",""
"No","2005","no migration background","in school","","","",""
"No","2005","no migration background","inadequately","","","",""
"No","2005","no migration background","general elemantary","","","",""
"No","2005","no migration background","middle vocational","","","",""
"No","2005","no migration background","vocational + Abi","","","",""
"No","2005","no migration background","higher vocational","","","",""
"No","2005","no migration background","higher education","","","",""
"No","2005","direct migration background","in school","","","",""
"No","2005","direct migration background","inadequately","","","",""
"No","2005","direct migration background","general elemantary","","","",""
"No","2005","direct migration background","middle vocational","","","",""
"No","2005","direct migration background","vocational + Abi","","","",""
"No","2005","direct migration background","higher vocational","","","",""
"No","2005","direct migration background","higher education","","","",""
"No","2005","indirect migration background","in school","","","",""
"No","2005","indirect migration background","inadequately","","","",""
"No","2005","indirect migration background","general elemantary","","","",""
"No","2005","indirect migration background","middle vocational","","","",""
"No","2005","indirect migration background","vocational + Abi","","","",""
"No","2005","indirect migration background","higher vocational","","","",""
"No","2005","indirect migration background","higher education","","","",""
"Yes","2006","no migration background","in school","70","0.235639976569831","0.18801095726875","0.283268995870912"
"Yes","2006","no migration background","inadequately","53","0.577493881686865","0.479194130452721","0.675793632921008"
"Yes","2006","no migration background","general elemantary","552","0.310215930716534","0.288720371631177","0.331711489801891"
"Yes","2006","no migration background","middle vocational","3070","0.315142653135355","0.305979747966539","0.324305558304171"
"Yes","2006","no migration background","vocational + Abi","261","0.28312078761891","0.254427390172264","0.311814185065556"
"Yes","2006","no migration background","higher vocational","362","0.259526685558651","0.237132261273464","0.281921109843837"
"Yes","2006","no migration background","higher education","786","0.210834025532409","0.198413351884759","0.22325469918006"
"Yes","2006","direct migration background","in school","7","","",""
"Yes","2006","direct migration background","inadequately","40","0.355188717913053","0.274159511240047","0.436217924586058"
"Yes","2006","direct migration background","general elemantary","167","0.310717170028855","0.271863576142951","0.349570763914759"
"Yes","2006","direct migration background","middle vocational","313","0.37890822191909","0.347232202526883","0.410584241311296"
"Yes","2006","direct migration background","vocational + Abi","71","0.325289995376317","0.263524506631051","0.387055484121583"
"Yes","2006","direct migration background","higher vocational","27","","",""
"Yes","2006","direct migration background","higher education","72","0.215197791282631","0.173152818856807","0.257242763708455"
"Yes","2006","indirect migration background","in school","10","","",""
"Yes","2006","indirect migration background","inadequately","8","","",""
"Yes","2006","indirect migration background","general elemantary","90","0.473923154326647","0.400154762707996","0.547691545945299"
"Yes","2006","indirect migration background","middle vocational","157","0.438574145664314","0.386588698244189","0.49055959308444"
"Yes","2006","indirect migration background","vocational + Abi","13","","",""
"Yes","2006","indirect migration background","higher vocational","16","","",""
"Yes","2006","indirect migration background","higher education","25","","",""
"No","2006","no migration background","in school","235","0.764360023430169","0.716731004129088","0.81198904273125"
"No","2006","no migration background","inadequately","44","0.422506118313135","0.324206367078992","0.520805869547279"
"No","2006","no migration background","general elemantary","1227","0.689784069283466","0.668288510198109","0.711279628368823"
"No","2006","no migration background","middle vocational","6805","0.684857346864645","0.675694441695829","0.694020252033462"
"No","2006","no migration background","vocational + Abi","686","0.71687921238109","0.688185814934444","0.745572609827736"
"No","2006","no migration background","higher vocational","1110","0.740473314441349","0.718078890156163","0.762867738726536"
"No","2006","no migration background","higher education","3357","0.789165974467591","0.77674530081994","0.801586648115241"
"No","2006","direct migration background","in school","27","","",""
"No","2006","direct migration background","inadequately","94","0.644811282086947","0.563782075413941","0.725840488759952"
"No","2006","direct migration background","general elemantary","378","0.689282829971145","0.650429236085241","0.728136423857049"
"No","2006","direct migration background","middle vocational","588","0.62109177808091","0.589415758688704","0.652767797473117"
"No","2006","direct migration background","vocational + Abi","150","0.674710004623683","0.612944515878417","0.736475493368949"
"No","2006","direct migration background","higher vocational","117","0.797483157945883","0.7318447289136","0.863121586978165"
"No","2006","direct migration background","higher education","295","0.784802208717369","0.742757236291545","0.826847181143193"
"No","2006","indirect migration background","in school","48","0.745121510999357","0.63296764802936","0.857275373969353"
"No","2006","indirect migration background","inadequately","3","","",""
"No","2006","indirect migration background","general elemantary","86","0.526076845673353","0.452308454054701","0.599845237292004"
"No","2006","indirect migration background","middle vocational","193","0.561425854335686","0.50944040691556","0.613411301755811"
"No","2006","indirect migration background","vocational + Abi","38","0.843145428958157","0.743338007054918","0.942952850861396"
"No","2006","indirect migration background","higher vocational","26","","",""
"No","2006","indirect migration background","higher education","52","0.640726935877408","0.533562286253331","0.747891585501485"
"Yes","2007","no migration background","in school","","","",""
"Yes","2007","no migration background","inadequately","","","",""
"Yes","2007","no migration background","general elemantary","","","",""
"Yes","2007","no migration background","middle vocational","","","",""
"Yes","2007","no migration background","vocational + Abi","","","",""
"Yes","2007","no migration background","higher vocational","","","",""
"Yes","2007","no migration background","higher education","","","",""
"Yes","2007","direct migration background","in school","","","",""
"Yes","2007","direct migration background","inadequately","","","",""
"Yes","2007","direct migration background","general elemantary","","","",""
"Yes","2007","direct migration background","middle vocational","","","",""
"Yes","2007","direct migration background","vocational + Abi","","","",""
"Yes","2007","direct migration background","higher vocational","","","",""
"Yes","2007","direct migration background","higher education","","","",""
"Yes","2007","indirect migration background","in school","","","",""
"Yes","2007","indirect migration background","inadequately","","","",""
"Yes","2007","indirect migration background","general elemantary","","","",""
"Yes","2007","indirect migration background","middle vocational","","","",""
"Yes","2007","indirect migration background","vocational + Abi","","","",""
"Yes","2007","indirect migration background","higher vocational","","","",""
"Yes","2007","indirect migration background","higher education","","","",""
"No","2007","no migration background","in school","","","",""
"No","2007","no migration background","inadequately","","","",""
"No","2007","no migration background","general elemantary","","","",""
"No","2007","no migration background","middle vocational","","","",""
"No","2007","no migration background","vocational + Abi","","","",""
"No","2007","no migration background","higher vocational","","","",""
"No","2007","no migration background","higher education","","","",""
"No","2007","direct migration background","in school","","","",""
"No","2007","direct migration background","inadequately","","","",""
"No","2007","direct migration background","general elemantary","","","",""
"No","2007","direct migration background","middle vocational","","","",""
"No","2007","direct migration background","vocational + Abi","","","",""
"No","2007","direct migration background","higher vocational","","","",""
"No","2007","direct migration background","higher education","","","",""
"No","2007","indirect migration background","in school","","","",""
"No","2007","indirect migration background","inadequately","","","",""
"No","2007","indirect migration background","general elemantary","","","",""
"No","2007","indirect migration background","middle vocational","","","",""
"No","2007","indirect migration background","vocational + Abi","","","",""
"No","2007","indirect migration background","higher vocational","","","",""
"No","2007","indirect migration background","higher education","","","",""
"Yes","2008","no migration background","in school","41","0.155585582544784","0.113940465063132","0.197230700026435"
"Yes","2008","no migration background","inadequately","38","0.468680063415313","0.357220067062419","0.580140059768207"
"Yes","2008","no migration background","general elemantary","408","0.280041793513983","0.256858177821759","0.303225409206206"
"Yes","2008","no migration background","middle vocational","2610","0.306091169480692","0.2964269143665","0.315755424594884"
"Yes","2008","no migration background","vocational + Abi","235","0.285793448390252","0.255668294854772","0.315918601925733"
"Yes","2008","no migration background","higher vocational","302","0.241900390835389","0.218348398466788","0.265452383203989"
"Yes","2008","no migration background","higher education","675","0.185126481230193","0.172785487377594","0.197467475082792"
"Yes","2008","direct migration background","in school","2","","",""
"Yes","2008","direct migration background","inadequately","35","0.413935945915346","0.317879499151196","0.509992392679496"
"Yes","2008","direct migration background","general elemantary","114","0.292878250837418","0.249864776643888","0.335891725030947"
"Yes","2008","direct migration background","middle vocational","232","0.362725335676984","0.327509025373338","0.39794164598063"
"Yes","2008","direct migration background","vocational + Abi","55","0.292457601630488","0.228446556545814","0.356468646715163"
"Yes","2008","direct migration background","higher vocational","21","","",""
"Yes","2008","direct migration background","higher education","55","0.197039218909472","0.153043869378227","0.241034568440716"
"Yes","2008","indirect migration background","in school","13","","",""
"Yes","2008","indirect migration background","inadequately","7","","",""
"Yes","2008","indirect migration background","general elemantary","75","0.487682203647675","0.410472243556644","0.564892163738706"
"Yes","2008","indirect migration background","middle vocational","136","0.366166181805827","0.313464752453849","0.418867611157804"
"Yes","2008","indirect migration background","vocational + Abi","9","","",""
"Yes","2008","indirect migration background","higher vocational","9","","",""
"Yes","2008","indirect migration background","higher education","20","","",""
"No","2008","no migration background","in school","250","0.844414417455216","0.802769299973564","0.886059534936868"
"No","2008","no migration background","inadequately","39","0.531319936584687","0.419859940231793","0.642779932937581"
"No","2008","no migration background","general elemantary","1033","0.719958206486017","0.696774590793794","0.743141822178241"
"No","2008","no migration background","middle vocational","6126","0.693908830519308","0.684244575405116","0.7035730856335"
"No","2008","no migration background","vocational + Abi","629","0.714206551609748","0.684081398074267","0.744331705145228"
"No","2008","no migration background","higher vocational","968","0.758099609164611","0.734547616796011","0.781651601533212"
"No","2008","no migration background","higher education","3130","0.814873518769807","0.802532524917208","0.827214512622406"
"No","2008","direct migration background","in school","8","","",""
"No","2008","direct migration background","inadequately","66","0.586064054084654","0.490007607320503","0.682120500848804"
"No","2008","direct migration background","general elemantary","316","0.707121749162583","0.664108274969053","0.750135223356112"
"No","2008","direct migration background","middle vocational","484","0.637274664323016","0.60205835401937","0.672490974626662"
"No","2008","direct migration background","vocational + Abi","139","0.707542398369511","0.643531353284837","0.771553443454186"
"No","2008","direct migration background","higher vocational","93","0.771464202891196","0.694386161048024","0.848542244734368"
"No","2008","direct migration background","higher education","259","0.802960781090528","0.758965431559284","0.846956130621773"
"No","2008","indirect migration background","in school","40","0.677085153942826","0.551199625297267","0.802970682588385"
"No","2008","indirect migration background","inadequately","2","","",""
"No","2008","indirect migration background","general elemantary","86","0.512317796352325","0.435107836261294","0.589527756443356"
"No","2008","indirect migration background","middle vocational","185","0.633833818194173","0.581132388842196","0.686535247546151"
"No","2008","indirect migration background","vocational + Abi","31","0.836843696042956","0.722334016555773","0.951353375530138"
"No","2008","indirect migration background","higher vocational","27","","",""
"No","2008","indirect migration background","higher education","66","0.801081072758078","0.716713577650784","0.885448567865371"
"Yes","2009","no migration background","in school","","","",""
"Yes","2009","no migration background","inadequately","","","",""
"Yes","2009","no migration background","general elemantary","","","",""
"Yes","2009","no migration background","middle vocational","","","",""
"Yes","2009","no migration background","vocational + Abi","","","",""
"Yes","2009","no migration background","higher vocational","","","",""
"Yes","2009","no migration background","higher education","","","",""
"Yes","2009","direct migration background","in school","","","",""
"Yes","2009","direct migration background","inadequately","","","",""
"Yes","2009","direct migration background","general elemantary","","","",""
"Yes","2009","direct migration background","middle vocational","","","",""
"Yes","2009","direct migration background","vocational + Abi","","","",""
"Yes","2009","direct migration background","higher vocational","","","",""
"Yes","2009","direct migration background","higher education","","","",""
"Yes","2009","indirect migration background","in school","","","",""
"Yes","2009","indirect migration background","inadequately","","","",""
"Yes","2009","indirect migration background","general elemantary","","","",""
"Yes","2009","indirect migration background","middle vocational","","","",""
"Yes","2009","indirect migration background","vocational + Abi","","","",""
"Yes","2009","indirect migration background","higher vocational","","","",""
"Yes","2009","indirect migration background","higher education","","","",""
"No","2009","no migration background","in school","","","",""
"No","2009","no migration background","inadequately","","","",""
"No","2009","no migration background","general elemantary","","","",""
"No","2009","no migration background","middle vocational","","","",""
"No","2009","no migration background","vocational + Abi","","","",""
"No","2009","no migration background","higher vocational","","","",""
"No","2009","no migration background","higher education","","","",""
"No","2009","direct migration background","in school","","","",""
"No","2009","direct migration background","inadequately","","","",""
"No","2009","direct migration background","general elemantary","","","",""
"No","2009","direct migration background","middle vocational","","","",""
"No","2009","direct migration background","vocational + Abi","","","",""
"No","2009","direct migration background","higher vocational","","","",""
"No","2009","direct migration background","higher education","","","",""
"No","2009","indirect migration background","in school","","","",""
"No","2009","indirect migration background","inadequately","","","",""
"No","2009","indirect migration background","general elemantary","","","",""
"No","2009","indirect migration background","middle vocational","","","",""
"No","2009","indirect migration background","vocational + Abi","","","",""
"No","2009","indirect migration background","higher vocational","","","",""
"No","2009","indirect migration background","higher education","","","",""
"Yes","2010","no migration background","in school","24","","",""
"Yes","2010","no migration background","inadequately","31","0.527173503250547","0.402899600847209","0.651447405653885"
"Yes","2010","no migration background","general elemantary","333","0.270712770319203","0.245425064967803","0.296000475670603"
"Yes","2010","no migration background","middle vocational","2234","0.293017415527838","0.282735164377222","0.303299666678454"
"Yes","2010","no migration background","vocational + Abi","195","0.291903006165223","0.259665081888416","0.324140930442029"
"Yes","2010","no migration background","higher vocational","267","0.239679077799361","0.214931168878778","0.264426986719945"
"Yes","2010","no migration background","higher education","592","0.180769894771876","0.167984195851446","0.193555593692306"
"Yes","2010","direct migration background","in school","1","","",""
"Yes","2010","direct migration background","inadequately","22","","",""
"Yes","2010","direct migration background","general elemantary","78","0.273936288147877","0.22567228747929","0.322200288816463"
"Yes","2010","direct migration background","middle vocational","169","0.327256515333242","0.287718181904848","0.366794848761635"
"Yes","2010","direct migration background","vocational + Abi","35","0.195223258993587","0.130707237596974","0.2597392803902"
"Yes","2010","direct migration background","higher vocational","13","","",""
"Yes","2010","direct migration background","higher education","48","0.188375759914836","0.142161951735562","0.23458956809411"
"Yes","2010","indirect migration background","in school","8","","",""
"Yes","2010","indirect migration background","inadequately","6","","",""
"Yes","2010","indirect migration background","general elemantary","51","0.472536340320234","0.383211685508946","0.561860995131522"
"Yes","2010","indirect migration background","middle vocational","106","0.419217622763","0.360142154266689","0.478293091259311"
"Yes","2010","indirect migration background","vocational + Abi","9","","",""
"Yes","2010","indirect migration background","higher vocational","11","","",""
"Yes","2010","indirect migration background","higher education","21","","",""
"No","2010","no migration background","in school","196","0.889473632913561","0.84804160051753","0.930905665309591"
"No","2010","no migration background","inadequately","31","0.472826496749453","0.348552594346115","0.597100399152792"
"No","2010","no migration background","general elemantary","853","0.729287229680797","0.703999524329397","0.754574935032198"
"No","2010","no migration background","middle vocational","5293","0.706982584472162","0.696700333321546","0.717264835622778"
"No","2010","no migration background","vocational + Abi","569","0.708096993834777","0.675859069557971","0.740334918111584"
"No","2010","no migration background","higher vocational","876","0.760320922200639","0.735573013280055","0.785068831121222"
"No","2010","no migration background","higher education","2888","0.819230105228124","0.806444406307694","0.832015804148554"
"No","2010","direct migration background","in school","6","","",""
"No","2010","direct migration background","inadequately","48","0.613933954404278","0.499885159346403","0.727982749462154"
"No","2010","direct migration background","general elemantary","250","0.726063711852123","0.677799711183536","0.77432771252071"
"No","2010","direct migration background","middle vocational","372","0.672743484666758","0.633205151238364","0.712281818095152"
"No","2010","direct migration background","vocational + Abi","110","0.804776741006413","0.7402607196098","0.869292762403026"
"No","2010","direct migration background","higher vocational","72","0.734517188986946","0.64064048921003","0.828393888763862"
"No","2010","direct migration background","higher education","227","0.811624240085164","0.76541043190589","0.857838048264439"
"No","2010","indirect migration background","in school","37","0.696411106459865","0.562067309642218","0.830754903277513"
"No","2010","indirect migration background","inadequately","3","","",""
"No","2010","indirect migration background","general elemantary","69","0.527463659679766","0.438139004868478","0.616788314491054"
"No","2010","indirect migration background","middle vocational","162","0.580782377237","0.521706908740689","0.639857845733311"
"No","2010","indirect migration background","vocational + Abi","28","","",""
"No","2010","indirect migration background","higher vocational","21","","",""
"No","2010","indirect migration background","higher education","64","0.785111540794295","0.697792118291429","0.872430963297161"
"Yes","2011","no migration background","in school","","","",""
"Yes","2011","no migration background","inadequately","","","",""
"Yes","2011","no migration background","general elemantary","","","",""
"Yes","2011","no migration background","middle vocational","","","",""
"Yes","2011","no migration background","vocational + Abi","","","",""
"Yes","2011","no migration background","higher vocational","","","",""
"Yes","2011","no migration background","higher education","","","",""
"Yes","2011","direct migration background","in school","","","",""
"Yes","2011","direct migration background","inadequately","","","",""
"Yes","2011","direct migration background","general elemantary","","","",""
"Yes","2011","direct migration background","middle vocational","","","",""
"Yes","2011","direct migration background","vocational + Abi","","","",""
"Yes","2011","direct migration background","higher vocational","","","",""
"Yes","2011","direct migration background","higher education","","","",""
"Yes","2011","indirect migration background","in school","","","",""
"Yes","2011","indirect migration background","inadequately","","","",""
"Yes","2011","indirect migration background","general elemantary","","","",""
"Yes","2011","indirect migration background","middle vocational","","","",""
"Yes","2011","indirect migration background","vocational + Abi","","","",""
"Yes","2011","indirect migration background","higher vocational","","","",""
"Yes","2011","indirect migration background","higher education","","","",""
"No","2011","no migration background","in school","","","",""
"No","2011","no migration background","inadequately","","","",""
"No","2011","no migration background","general elemantary","","","",""
"No","2011","no migration background","middle vocational","","","",""
"No","2011","no migration background","vocational + Abi","","","",""
"No","2011","no migration background","higher vocational","","","",""
"No","2011","no migration background","higher education","","","",""
"No","2011","direct migration background","in school","","","",""
"No","2011","direct migration background","inadequately","","","",""
"No","2011","direct migration background","general elemantary","","","",""
"No","2011","direct migration background","middle vocational","","","",""
"No","2011","direct migration background","vocational + Abi","","","",""
"No","2011","direct migration background","higher vocational","","","",""
"No","2011","direct migration background","higher education","","","",""
"No","2011","indirect migration background","in school","","","",""
"No","2011","indirect migration background","inadequately","","","",""
"No","2011","indirect migration background","general elemantary","","","",""
"No","2011","indirect migration background","middle vocational","","","",""
"No","2011","indirect migration background","vocational + Abi","","","",""
"No","2011","indirect migration background","higher vocational","","","",""
"No","2011","indirect migration background","higher education","","","",""
"Yes","2012","no migration background","in school","35","0.186164153843087","0.134135175404276","0.238193132281898"
"Yes","2012","no migration background","inadequately","76","0.52766937459111","0.442503595690702","0.612835153491517"
"Yes","2012","no migration background","general elemantary","454","0.276260053877147","0.254246823650533","0.298273284103761"
"Yes","2012","no migration background","middle vocational","2682","0.288991438812904","0.279745381590418","0.29823749603539"
"Yes","2012","no migration background","vocational + Abi","238","0.271586190123198","0.243183101659095","0.299989278587301"
"Yes","2012","no migration background","higher vocational","315","0.233256879847184","0.210425478902509","0.25608828079186"
"Yes","2012","no migration background","higher education","675","0.171389286676897","0.159923835473102","0.182854737880692"
"Yes","2012","direct migration background","in school","2","","",""
"Yes","2012","direct migration background","inadequately","17","","",""
"Yes","2012","direct migration background","general elemantary","114","0.287196172008117","0.243076554000292","0.331315790015942"
"Yes","2012","direct migration background","middle vocational","210","0.337881291931919","0.303499311553996","0.372263272309842"
"Yes","2012","direct migration background","vocational + Abi","53","0.219781055304399","0.16481137425553","0.274750736353268"
