"ple0081_h","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Yes","2003","Not Employed","lower secondary degree","","","",""
"Yes","2003","Not Employed","secondary school degree","","","",""
"Yes","2003","Not Employed","college entrance qualification","","","",""
"Yes","2003","Not Employed","Other degree","","","",""
"Yes","2003","Not Employed","no degree/no degree yet","","","",""
"Yes","2003","Employed","lower secondary degree","","","",""
"Yes","2003","Employed","secondary school degree","","","",""
"Yes","2003","Employed","college entrance qualification","","","",""
"Yes","2003","Employed","Other degree","","","",""
"Yes","2003","Employed","no degree/no degree yet","","","",""
"No","2003","Not Employed","lower secondary degree","","","",""
"No","2003","Not Employed","secondary school degree","","","",""
"No","2003","Not Employed","college entrance qualification","","","",""
"No","2003","Not Employed","Other degree","","","",""
"No","2003","Not Employed","no degree/no degree yet","","","",""
"No","2003","Employed","lower secondary degree","","","",""
"No","2003","Employed","secondary school degree","","","",""
"No","2003","Employed","college entrance qualification","","","",""
"No","2003","Employed","Other degree","","","",""
"No","2003","Employed","no degree/no degree yet","","","",""
"Yes","2004","Not Employed","lower secondary degree","748","0.18623667551214","0.174107068579792","0.198366282444487"
"Yes","2004","Not Employed","secondary school degree","413","0.252103467012698","0.230846979646295","0.2733599543791"
"Yes","2004","Not Employed","college entrance qualification","240","0.175082819549816","0.154376262504999","0.195789376594633"
"Yes","2004","Not Employed","Other degree","127","0.23018304869284","0.193791801872581","0.266574295513098"
"Yes","2004","Not Employed","no degree/no degree yet","176","0.246187960479329","0.214343391978264","0.278032528980393"
"Yes","2004","Employed","lower secondary degree","1581","0.432458593947758","0.416324487798939","0.448592700096576"
"Yes","2004","Employed","secondary school degree","1665","0.366558242816414","0.352766066063126","0.380350419569702"
"Yes","2004","Employed","college entrance qualification","1051","0.290879648440303","0.276952291576755","0.304807005303851"
"Yes","2004","Employed","Other degree","198","0.298251824983621","0.263916741751328","0.332586908215914"
"Yes","2004","Employed","no degree/no degree yet","78","0.425806968132139","0.35828426472314","0.493329671541138"
"No","2004","Not Employed","lower secondary degree","3209","0.81376332448786","0.801633717555513","0.825892931420208"
"No","2004","Not Employed","secondary school degree","1190","0.747896532987302","0.7266400456209","0.769153020353705"
"No","2004","Not Employed","college entrance qualification","1054","0.824917180450184","0.804210623405367","0.845623737495001"
"No","2004","Not Employed","Other degree","387","0.76981695130716","0.733425704486902","0.806208198127419"
"No","2004","Not Employed","no degree/no degree yet","527","0.753812039520671","0.721967471019607","0.785656608021736"
"No","2004","Employed","lower secondary degree","2041","0.567541406052242","0.551407299903424","0.583675512201061"
"No","2004","Employed","secondary school degree","3024","0.633441757183586","0.619649580430297","0.647233933936874"
"No","2004","Employed","college entrance qualification","3034","0.709120351559697","0.695192994696149","0.723047708423245"
"No","2004","Employed","Other degree","484","0.701748175016379","0.667413091784086","0.736083258248672"
"No","2004","Employed","no degree/no degree yet","128","0.574193031867861","0.506670328458863","0.64171573527686"
"Yes","2005","Not Employed","lower secondary degree","","","",""
"Yes","2005","Not Employed","secondary school degree","","","",""
"Yes","2005","Not Employed","college entrance qualification","","","",""
"Yes","2005","Not Employed","Other degree","","","",""
"Yes","2005","Not Employed","no degree/no degree yet","","","",""
"Yes","2005","Employed","lower secondary degree","","","",""
"Yes","2005","Employed","secondary school degree","","","",""
"Yes","2005","Employed","college entrance qualification","","","",""
"Yes","2005","Employed","Other degree","","","",""
"Yes","2005","Employed","no degree/no degree yet","","","",""
"No","2005","Not Employed","lower secondary degree","","","",""
"No","2005","Not Employed","secondary school degree","","","",""
"No","2005","Not Employed","college entrance qualification","","","",""
"No","2005","Not Employed","Other degree","","","",""
"No","2005","Not Employed","no degree/no degree yet","","","",""
"No","2005","Employed","lower secondary degree","","","",""
"No","2005","Employed","secondary school degree","","","",""
"No","2005","Employed","college entrance qualification","","","",""
"No","2005","Employed","Other degree","","","",""
"No","2005","Employed","no degree/no degree yet","","","",""
"Yes","2006","Not Employed","lower secondary degree","812","0.195750841319211","0.183733956990423","0.207767725648"
"Yes","2006","Not Employed","secondary school degree","448","0.267978749770113","0.247310161058195","0.288647338482032"
"Yes","2006","Not Employed","college entrance qualification","246","0.168636113454171","0.149188605119489","0.188083621788853"
"Yes","2006","Not Employed","Other degree","137","0.241780690194937","0.205965262182345","0.277596118207528"
"Yes","2006","Not Employed","no degree/no degree yet","113","0.26111068586298","0.222455366253689","0.299766005472271"
"Yes","2006","Employed","lower secondary degree","1443","0.423872328340469","0.407375352074861","0.440369304606076"
"Yes","2006","Employed","secondary school degree","1629","0.367408979935852","0.353652557067223","0.381165402804482"
"Yes","2006","Employed","college entrance qualification","1021","0.264382308788119","0.251046663714045","0.277717953862193"
"Yes","2006","Employed","Other degree","212","0.378122741323412","0.340986651150871","0.415258831495953"
"Yes","2006","Employed","no degree/no degree yet","65","0.476061416603545","0.398916584876558","0.553206248330531"
"No","2006","Not Employed","lower secondary degree","3376","0.804249158680789","0.792232274352","0.816266043009577"
"No","2006","Not Employed","secondary school degree","1316","0.732021250229887","0.711352661517968","0.752689838941805"
"No","2006","Not Employed","college entrance qualification","1178","0.831363886545829","0.811916378211146","0.850811394880511"
"No","2006","Not Employed","Other degree","412","0.758219309805063","0.722403881792472","0.794034737817655"
"No","2006","Not Employed","no degree/no degree yet","383","0.73888931413702","0.700233994527729","0.777544633746311"
"No","2006","Employed","lower secondary degree","2004","0.576127671659531","0.559630695393924","0.592624647925139"
"No","2006","Employed","secondary school degree","3089","0.632591020064148","0.618834597195518","0.646347442932777"
"No","2006","Employed","college entrance qualification","3180","0.735617691211881","0.722282046137806","0.748953336285955"
"No","2006","Employed","Other degree","443","0.621877258676588","0.584741168504047","0.659013348849129"
"No","2006","Employed","no degree/no degree yet","96","0.523938583396455","0.446793751669469","0.601083415123442"
"Yes","2007","Not Employed","lower secondary degree","","","",""
"Yes","2007","Not Employed","secondary school degree","","","",""
"Yes","2007","Not Employed","college entrance qualification","","","",""
"Yes","2007","Not Employed","Other degree","","","",""
"Yes","2007","Not Employed","no degree/no degree yet","","","",""
"Yes","2007","Employed","lower secondary degree","","","",""
"Yes","2007","Employed","secondary school degree","","","",""
"Yes","2007","Employed","college entrance qualification","","","",""
"Yes","2007","Employed","Other degree","","","",""
"Yes","2007","Employed","no degree/no degree yet","","","",""
"No","2007","Not Employed","lower secondary degree","","","",""
"No","2007","Not Employed","secondary school degree","","","",""
"No","2007","Not Employed","college entrance qualification","","","",""
"No","2007","Not Employed","Other degree","","","",""
"No","2007","Not Employed","no degree/no degree yet","","","",""
"No","2007","Employed","lower secondary degree","","","",""
"No","2007","Employed","secondary school degree","","","",""
"No","2007","Employed","college entrance qualification","","","",""
"No","2007","Employed","Other degree","","","",""
"No","2007","Employed","no degree/no degree yet","","","",""
"Yes","2008","Not Employed","lower secondary degree","651","0.191902974839642","0.178994269856101","0.204811679823184"
"Yes","2008","Not Employed","secondary school degree","342","0.230858192705461","0.20999458310096","0.251721802309963"
"Yes","2008","Not Employed","college entrance qualification","193","0.146667821140003","0.127803251668219","0.165532390611787"
"Yes","2008","Not Employed","Other degree","85","0.216250690702934","0.176784311232864","0.255717070173005"
"Yes","2008","Not Employed","no degree/no degree yet","68","0.18681934827455","0.149091624180367","0.224547072368732"
"Yes","2008","Employed","lower secondary degree","1223","0.430175178630576","0.412211354167673","0.448139003093479"
"Yes","2008","Employed","secondary school degree","1383","0.340913729627216","0.326562713946403","0.355264745308029"
"Yes","2008","Employed","college entrance qualification","855","0.229827529966138","0.216445474902668","0.243209585029608"
"Yes","2008","Employed","Other degree","167","0.374773561717179","0.333678690224078","0.41586843321028"
"Yes","2008","Employed","no degree/no degree yet","64","0.51207245054823","0.429567138647023","0.594577762449437"
"No","2008","Not Employed","lower secondary degree","2924","0.808097025160358","0.795188320176816","0.821005730143899"
"No","2008","Not Employed","secondary school degree","1225","0.769141807294539","0.748278197690037","0.79000541689904"
"No","2008","Not Employed","college entrance qualification","1158","0.853332178859997","0.834467609388213","0.872196748331781"
"No","2008","Not Employed","Other degree","333","0.783749309297066","0.744282929826995","0.823215688767136"
"No","2008","Not Employed","no degree/no degree yet","342","0.81318065172545","0.775452927631268","0.850908375819633"
"No","2008","Employed","lower secondary degree","1695","0.569824821369424","0.551860996906521","0.587788645832326"
"No","2008","Employed","secondary school degree","2808","0.659086270372784","0.644735254691971","0.673437286053597"
"No","2008","Employed","college entrance qualification","2942","0.770172470033862","0.756790414970392","0.783554525097332"
"No","2008","Employed","Other degree","366","0.625226438282821","0.58413156678972","0.666321309775922"
"No","2008","Employed","no degree/no degree yet","77","0.48792754945177","0.405422237550563","0.570432861352977"
"Yes","2009","Not Employed","lower secondary degree","","","",""
"Yes","2009","Not Employed","secondary school degree","","","",""
"Yes","2009","Not Employed","college entrance qualification","","","",""
"Yes","2009","Not Employed","Other degree","","","",""
"Yes","2009","Not Employed","no degree/no degree yet","","","",""
"Yes","2009","Employed","lower secondary degree","","","",""
"Yes","2009","Employed","secondary school degree","","","",""
"Yes","2009","Employed","college entrance qualification","","","",""
"Yes","2009","Employed","Other degree","","","",""
"Yes","2009","Employed","no degree/no degree yet","","","",""
"No","2009","Not Employed","lower secondary degree","","","",""
"No","2009","Not Employed","secondary school degree","","","",""
"No","2009","Not Employed","college entrance qualification","","","",""
"No","2009","Not Employed","Other degree","","","",""
"No","2009","Not Employed","no degree/no degree yet","","","",""
"No","2009","Employed","lower secondary degree","","","",""
"No","2009","Employed","secondary school degree","","","",""
"No","2009","Employed","college entrance qualification","","","",""
"No","2009","Employed","Other degree","","","",""
"No","2009","Employed","no degree/no degree yet","","","",""
"Yes","2010","Not Employed","lower secondary degree","525","0.172137915034542","0.158640732586065","0.18563509748302"
"Yes","2010","Not Employed","secondary school degree","298","0.225329811757185","0.203149486437291","0.247510137077079"
"Yes","2010","Not Employed","college entrance qualification","173","0.147358092919379","0.127418830875213","0.167297354963544"
"Yes","2010","Not Employed","Other degree","63","0.224739557088367","0.17935898324061","0.270120130936125"
"Yes","2010","Not Employed","no degree/no degree yet","50","0.193911581373415","0.149971474255058","0.237851688491771"
"Yes","2010","Employed","lower secondary degree","989","0.408071712115782","0.388326472649932","0.427816951581631"
"Yes","2010","Employed","secondary school degree","1193","0.342079692643982","0.326756244910205","0.357403140377759"
"Yes","2010","Employed","college entrance qualification","743","0.231933394413231","0.217872000491346","0.245994788335116"
"Yes","2010","Employed","Other degree","110","0.283020345208166","0.238764687517814","0.327276002898518"
"Yes","2010","Employed","no degree/no degree yet","39","0.396768630264347","0.305344177067497","0.488193083461198"
"No","2010","Not Employed","lower secondary degree","2480","0.827862084965458","0.81436490251698","0.841359267413935"
"No","2010","Not Employed","secondary school degree","1065","0.774670188242815","0.752489862922921","0.796850513562709"
"No","2010","Not Employed","college entrance qualification","1041","0.852641907080621","0.832702645036456","0.872581169124787"
"No","2010","Not Employed","Other degree","262","0.775260442911633","0.729879869063875","0.82064101675939"
"No","2010","Not Employed","no degree/no degree yet","261","0.806088418626585","0.762148311508229","0.850028525744942"
"No","2010","Employed","lower secondary degree","1391","0.591928287884218","0.572183048418369","0.611673527350068"
"No","2010","Employed","secondary school degree","2489","0.657920307356018","0.642596859622241","0.673243755089795"
"No","2010","Employed","college entrance qualification","2718","0.768066605586769","0.754005211664884","0.782127999508654"
"No","2010","Employed","Other degree","288","0.716979654791834","0.672723997101482","0.761235312482186"
"No","2010","Employed","no degree/no degree yet","71","0.603231369735653","0.511806916538802","0.694655822932503"
"Yes","2011","Not Employed","lower secondary degree","","","",""
"Yes","2011","Not Employed","secondary school degree","","","",""
"Yes","2011","Not Employed","college entrance qualification","","","",""
"Yes","2011","Not Employed","Other degree","","","",""
"Yes","2011","Not Employed","no degree/no degree yet","","","",""
"Yes","2011","Employed","lower secondary degree","","","",""
"Yes","2011","Employed","secondary school degree","","","",""
"Yes","2011","Employed","college entrance qualification","","","",""
"Yes","2011","Employed","Other degree","","","",""
"Yes","2011","Employed","no degree/no degree yet","","","",""
"No","2011","Not Employed","lower secondary degree","","","",""
"No","2011","Not Employed","secondary school degree","","","",""
"No","2011","Not Employed","college entrance qualification","","","",""
"No","2011","Not Employed","Other degree","","","",""
"No","2011","Not Employed","no degree/no degree yet","","","",""
"No","2011","Employed","lower secondary degree","","","",""
"No","2011","Employed","secondary school degree","","","",""
"No","2011","Employed","college entrance qualification","","","",""
"No","2011","Employed","Other degree","","","",""
"No","2011","Employed","no degree/no degree yet","","","",""
"Yes","2012","Not Employed","lower secondary degree","684","0.184010942155418","0.171587254217864","0.196434630092972"
"Yes","2012","Not Employed","secondary school degree","367","0.212208967299745","0.193063391925571","0.231354542673918"
"Yes","2012","Not Employed","college entrance qualification","203","0.139815189467195","0.122381096420852","0.157249282513539"
"Yes","2012","Not Employed","Other degree","117","0.239862570507384","0.202984195417387","0.276740945597382"
"Yes","2012","Not Employed","no degree/no degree yet","77","0.231633224380149","0.188234247261586","0.275032201498712"
"Yes","2012","Employed","lower secondary degree","1137","0.398481196157544","0.380281915881437","0.416680476433652"
"Yes","2012","Employed","secondary school degree","1415","0.339046508614049","0.32490726533319","0.353185751894907"
"Yes","2012","Employed","college entrance qualification","869","0.218687925138844","0.206129889152397","0.23124596112529"
"Yes","2012","Employed","Other degree","174","0.295998923383288","0.261146168568307","0.33085167819827"
"Yes","2012","Employed","no degree/no degree yet","74","0.427558517381259","0.356460916021714","0.498656118740804"
"No","2012","Not Employed","lower secondary degree","3053","0.815989057844582","0.803565369907027","0.828412745782136"
"No","2012","Not Employed","secondary school degree","1385","0.787791032700255","0.768645457326082","0.806936608074429"
"No","2012","Not Employed","college entrance qualification","1317","0.860184810532805","0.842750717486461","0.877618903579148"
"No","2012","Not Employed","Other degree","398","0.760137429492616","0.723259054402619","0.797015804582613"
"No","2012","Not Employed","no degree/no degree yet","286","0.768366775619851","0.724967798501288","0.811765752738414"
"No","2012","Employed","lower secondary degree","1643","0.601518803842456","0.583319523566348","0.619718084118563"
"No","2012","Employed","secondary school degree","2891","0.660953491385951","0.646814248105093","0.67509273466681"
"No","2012","Employed","college entrance qualification","3293","0.781312074861156","0.76875403887471","0.793870110847602"
"No","2012","Employed","Other degree","485","0.704001076616712","0.66914832180173","0.738853831431693"
"No","2012","Employed","no degree/no degree yet","112","0.572441482618741","0.501343881259196","0.643539083978286"
"Yes","2013","Not Employed","lower secondary degree","","","",""
"Yes","2013","Not Employed","secondary school degree","","","",""
"Yes","2013","Not Employed","college entrance qualification","","","",""
"Yes","2013","Not Employed","Other degree","","","",""
"Yes","2013","Not Employed","no degree/no degree yet","","","",""
"Yes","2013","Employed","lower secondary degree","","","",""
"Yes","2013","Employed","secondary school degree","","","",""
"Yes","2013","Employed","college entrance qualification","","","",""
"Yes","2013","Employed","Other degree","","","",""
"Yes","2013","Employed","no degree/no degree yet","","","",""
"No","2013","Not Employed","lower secondary degree","","","",""
"No","2013","Not Employed","secondary school degree","","","",""
"No","2013","Not Employed","college entrance qualification","","","",""
"No","2013","Not Employed","Other degree","","","",""
"No","2013","Not Employed","no degree/no degree yet","","","",""
"No","2013","Employed","lower secondary degree","","","",""
"No","2013","Employed","secondary school degree","","","",""
"No","2013","Employed","college entrance qualification","","","",""
"No","2013","Employed","Other degree","","","",""
"No","2013","Employed","no degree/no degree yet","","","",""
"Yes","2014","Not Employed","lower secondary degree","778","0.195993581008803","0.182926136838219","0.209061025179386"
"Yes","2014","Not Employed","secondary school degree","503","0.215089914382327","0.197316388357334","0.23286344040732"
"Yes","2014","Not Employed","college entrance qualification","250","0.141465295628538","0.125019403978624","0.157911187278451"
"Yes","2014","Not Employed","Other degree","293","0.269227474823599","0.242761483669293","0.295693465977905"
"Yes","2014","Not Employed","no degree/no degree yet","174","0.260232321335647","0.226733179790447","0.293731462880847"
"Yes","2014","Employed","lower secondary degree","1457","0.412872975337084","0.396262369743872","0.429483580930296"
"Yes","2014","Employed","secondary school degree","1761","0.328115378307625","0.315701002564967","0.340529754050284"
"Yes","2014","Employed","college entrance qualification","1116","0.211618003955961","0.201031058604613","0.222204949307308"
"Yes","2014","Employed","Other degree","664","0.311561299769484","0.292343542781508","0.330779056757459"
"Yes","2014","Employed","no degree/no degree yet","152","0.469692416028711","0.417406495101208","0.521978336956214"
"No","2014","Not Employed","lower secondary degree","2767","0.804006418991197","0.790938974820613","0.817073863161781"
"No","2014","Not Employed","secondary school degree","1550","0.784910085617673","0.76713655959268","0.802683611642666"
"No","2014","Not Employed","college entrance qualification","1475","0.858534704371462","0.842088812721549","0.874980596021376"
"No","2014","Not Employed","Other degree","786","0.730772525176401","0.704306534022095","0.757238516330707"
"No","2014","Not Employed","no degree/no degree yet","485","0.739767678664353","0.706268537119153","0.773266820209553"
"No","2014","Employed","lower secondary degree","1918","0.587127024662916","0.570516419069704","0.603737630256128"
"No","2014","Employed","secondary school degree","3734","0.671884621692375","0.659470245949716","0.684298997435033"
"No","2014","Employed","college entrance qualification","4602","0.788381996044039","0.777795050692692","0.798968941395387"
"No","2014","Employed","Other degree","1567","0.688438700230516","0.669220943242541","0.707656457218492"
"No","2014","Employed","no degree/no degree yet","198","0.530307583971289","0.478021663043786","0.582593504898792"
"Yes","2015","Not Employed","lower secondary degree","","","",""
"Yes","2015","Not Employed","secondary school degree","","","",""
"Yes","2015","Not Employed","college entrance qualification","","","",""
"Yes","2015","Not Employed","Other degree","","","",""
"Yes","2015","Not Employed","no degree/no degree yet","","","",""
"Yes","2015","Employed","lower secondary degree","","","",""
"Yes","2015","Employed","secondary school degree","","","",""
"Yes","2015","Employed","college entrance qualification","","","",""
"Yes","2015","Employed","Other degree","","","",""
"Yes","2015","Employed","no degree/no degree yet","","","",""
"No","2015","Not Employed","lower secondary degree","","","",""
"No","2015","Not Employed","secondary school degree","","","",""
"No","2015","Not Employed","college entrance qualification","","","",""
"No","2015","Not Employed","Other degree","","","",""
"No","2015","Not Employed","no degree/no degree yet","","","",""
"No","2015","Employed","lower secondary degree","","","",""
"No","2015","Employed","secondary school degree","","","",""
"No","2015","Employed","college entrance qualification","","","",""
"No","2015","Employed","Other degree","","","",""
"No","2015","Employed","no degree/no degree yet","","","",""
"Yes","2016","Not Employed","lower secondary degree","607","0.186567081438441","0.172613021833441","0.200521141043441"
"Yes","2016","Not Employed","secondary school degree","411","0.210666387883614","0.191952518375877","0.229380257391352"
"Yes","2016","Not Employed","college entrance qualification","195","0.125124676967181","0.108664033791384","0.141585320142979"
"Yes","2016","Not Employed","Other degree","250","0.268306549616872","0.239860605285785","0.296752493947958"
"Yes","2016","Not Employed","no degree/no degree yet","139","0.309407196315504","0.269091085391037","0.349723307239971"
"Yes","2016","Employed","lower secondary degree","1222","0.39109325327363","0.373199208244153","0.408987298303107"
"Yes","2016","Employed","secondary school degree","1483","0.316732073134555","0.30357715557054","0.32988699069857"
"Yes","2016","Employed","college entrance qualification","927","0.19931288361036","0.188503730580456","0.210122036640264"
"Yes","2016","Employed","Other degree","698","0.269388390318047","0.251328126196667","0.287448654439427"
"Yes","2016","Employed","no degree/no degree yet","128","0.388244644009349","0.334080794437197","0.4424084935815"
"No","2016","Not Employed","lower secondary degree","2387","0.813432918561559","0.799478858956559","0.827386978166559"
"No","2016","Not Employed","secondary school degree","1413","0.789333612116385","0.770619742608648","0.808047481624123"
"No","2016","Not Employed","college entrance qualification","1357","0.874875323032819","0.858414679857021","0.891335966208616"
"No","2016","Not Employed","Other degree","682","0.731693450383128","0.703247506052041","0.760139394714215"
"No","2016","Not Employed","no degree/no degree yet","366","0.690592803684496","0.650276692760029","0.730908914608963"
"No","2016","Employed","lower secondary degree","1635","0.60890674672637","0.591012701696892","0.626800791755847"
"No","2016","Employed","secondary school degree","3321","0.683267926865445","0.67011300930143","0.69642284442946"
"No","2016","Employed","college entrance qualification","4320","0.80068711638964","0.789877963359736","0.811496269419544"
"No","2016","Employed","Other degree","1620","0.730611609681953","0.712551345560573","0.748671873803333"
"No","2016","Employed","no degree/no degree yet","183","0.611755355990651","0.5575915064185","0.665919205562802"
"Yes","2017","Not Employed","lower secondary degree","","","",""
"Yes","2017","Not Employed","secondary school degree","","","",""
"Yes","2017","Not Employed","college entrance qualification","","","",""
"Yes","2017","Not Employed","Other degree","","","",""
"Yes","2017","Not Employed","no degree/no degree yet","","","",""
"Yes","2017","Employed","lower secondary degree","","","",""
"Yes","2017","Employed","secondary school degree","","","",""
"Yes","2017","Employed","college entrance qualification","","","",""
"Yes","2017","Employed","Other degree","","","",""
"Yes","2017","Employed","no degree/no degree yet","","","",""
"No","2017","Not Employed","lower secondary degree","","","",""
"No","2017","Not Employed","secondary school degree","","","",""
"No","2017","Not Employed","college entrance qualification","","","",""
"No","2017","Not Employed","Other degree","","","",""
"No","2017","Not Employed","no degree/no degree yet","","","",""
"No","2017","Employed","lower secondary degree","","","",""
"No","2017","Employed","secondary school degree","","","",""
"No","2017","Employed","college entrance qualification","","","",""
"No","2017","Employed","Other degree","","","",""
"No","2017","Employed","no degree/no degree yet","","","",""
"Yes","2018","Not Employed","lower secondary degree","616","0.18881372866088","0.174440472062865","0.203186985258896"
"Yes","2018","Not Employed","secondary school degree","391","0.172881412749291","0.156006558949337","0.189756266549245"
"Yes","2018","Not Employed","college entrance qualification","208","0.136409267224231","0.120016473575753","0.152802060872709"
"Yes","2018","Not Employed","Other degree","208","0.22671578454399","0.198567684899783","0.254863884188196"
"Yes","2018","Not Employed","no degree/no degree yet","150","0.281732936202694","0.244341471122296","0.319124401283093"
"Yes","2018","Employed","lower secondary degree","1205","0.392674487175753","0.374808202564649","0.410540771786857"
"Yes","2018","Employed","secondary school degree","1601","0.310660007191722","0.298218990630207","0.323101023753237"
"Yes","2018","Employed","college entrance qualification","1049","0.186915902589125","0.177031881661777","0.196799923516474"
"Yes","2018","Employed","Other degree","614","0.294273233794425","0.274679419168039","0.313867048420811"
"Yes","2018","Employed","no degree/no degree yet","140","0.456999310135145","0.402419620119515","0.511579000150775"
"No","2018","Not Employed","lower secondary degree","2232","0.81118627133912","0.796813014741104","0.825559527937135"
"No","2018","Not Employed","secondary school degree","1538","0.827118587250709","0.810243733450755","0.843993441050664"
"No","2018","Not Employed","college entrance qualification","1476","0.863590732775769","0.847197939127291","0.879983526424247"
"No","2018","Not Employed","Other degree","642","0.77328421545601","0.745136115811804","0.801432315100217"
"No","2018","Not Employed","no degree/no degree yet","406","0.718267063797306","0.680875598716907","0.755658528877704"
"No","2018","Employed","lower secondary degree","1665","0.607325512824247","0.589459228213143","0.625191797435351"
"No","2018","Employed","secondary school degree","3714","0.689339992808278","0.676898976246763","0.701781009369793"
"No","2018","Employed","college entrance qualification","4927","0.813084097410875","0.803200076483526","0.822968118338223"
"No","2018","Employed","Other degree","1464","0.705726766205575","0.686132951579189","0.725320580831961"
"No","2018","Employed","no degree/no degree yet","180","0.543000689864855","0.488420999849225","0.597580379880485"
