"pli0080","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","1990","general elemantary","Male","34","0.0389432618188065","0.0260658312047397","0.0518206924328732","5"
"Never","1990","general elemantary","Female","65","0.0531702487785429","0.0422001523086778","0.064140345248408","5"
"Never","1990","middle vocational","Male","60","0.0315927633950189","0.0246877830012609","0.0384977437887769","5"
"Never","1990","middle vocational","Female","43","0.0267462407341552","0.019824245657733","0.0336682358105773","5"
"Never","1990","vocational + Abi","Male","5","","","","5"
"Rarely","1990","in school","Male","9","","","","4"
"Rarely","1990","general elemantary","Female","345","0.236004727323582","0.215243843439949","0.256765611207216","4"
"Rarely","1990","middle vocational","Male","535","0.247011741383394","0.229986529323228","0.26403695344356","4"
"Rarely","1990","in school","Female","4","","","","4"
"Rarely","1990","inadequately","Male","32","0.121718634978196","0.081975988115877","0.161461281840516","4"
"Rarely","1990","inadequately","Female","41","0.135553002086381","0.100998775936843","0.170107228235918","4"
"Rarely","1990","general elemantary","Male","142","0.229412480619792","0.201425371044952","0.257399590194632","4"
"Rarely","1990","middle vocational","Female","406","0.211060886801136","0.193553856252512","0.22856791734976","4"
"Rarely","1990","vocational + Abi","Male","31","0.187878654270325","0.128635381986371","0.247121926554279","4"
"Rarely","1990","vocational + Abi","Female","14","","","","4"
"Rarely","1990","higher vocational","Male","83","0.31154683329132","0.257493508984755","0.365600157597884","4"
"Rarely","1990","higher vocational","Female","42","0.192507436517798","0.141663973623894","0.243350899411702","4"
"Rarely","1990","higher education","Male","89","0.181643616510713","0.146787381962914","0.216499851058511","4"
"Rarely","1990","higher education","Female","32","0.13865522208632","0.0938955415912453","0.183414902581394","4"
"Daily","1991","in school","Male","","","","","1"
"Daily","1991","in school","Female","","","","","1"
"Daily","1991","inadequately","Male","","","","","1"
"Daily","1991","inadequately","Female","","","","","1"
"Daily","1991","general elemantary","Male","","","","","1"
"Daily","1991","general elemantary","Female","","","","","1"
"Daily","1991","middle vocational","Male","","","","","1"
"Daily","1991","middle vocational","Female","","","","","1"
"Daily","1991","vocational + Abi","Male","","","","","1"
"Daily","1991","vocational + Abi","Female","","","","","1"
"Daily","1991","higher vocational","Male","","","","","1"
"Daily","1991","higher vocational","Female","","","","","1"
"Daily","1991","higher education","Male","","","","","1"
"Daily","1991","higher education","Female","","","","","1"
"Min 1x per month","1991","in school","Male","","","","","3"
"Min 1x per month","1991","in school","Female","","","","","3"
"Min 1x per month","1991","inadequately","Male","","","","","3"
"Min 1x per month","1991","inadequately","Female","","","","","3"
"Min 1x per month","1991","general elemantary","Male","","","","","3"
"Min 1x per month","1991","general elemantary","Female","","","","","3"
"Min 1x per month","1991","middle vocational","Male","","","","","3"
"Min 1x per month","1991","middle vocational","Female","","","","","3"
"Min 1x per month","1991","vocational + Abi","Male","","","","","3"
"Min 1x per month","1991","vocational + Abi","Female","","","","","3"
"Min 1x per month","1991","higher vocational","Male","","","","","3"
"Min 1x per month","1991","higher vocational","Female","","","","","3"
"Min 1x per month","1991","higher education","Male","","","","","3"
"Min 1x per month","1991","higher education","Female","","","","","3"
"Min 1x per week","1991","in school","Male","","","","","2"
"Min 1x per week","1991","in school","Female","","","","","2"
"Min 1x per week","1991","inadequately","Male","","","","","2"
"Min 1x per week","1991","inadequately","Female","","","","","2"
"Min 1x per week","1991","general elemantary","Male","","","","","2"
"Min 1x per week","1991","general elemantary","Female","","","","","2"
"Min 1x per week","1991","middle vocational","Male","","","","","2"
"Min 1x per week","1991","middle vocational","Female","","","","","2"
"Min 1x per week","1991","vocational + Abi","Male","","","","","2"
"Min 1x per week","1991","vocational + Abi","Female","","","","","2"
"Min 1x per week","1991","higher vocational","Male","","","","","2"
"Min 1x per week","1991","higher vocational","Female","","","","","2"
"Min 1x per week","1991","higher education","Male","","","","","2"
"Min 1x per week","1991","higher education","Female","","","","","2"
"Never","1991","in school","Male","","","","","5"
"Never","1991","in school","Female","","","","","5"
"Never","1991","inadequately","Male","","","","","5"
"Never","1991","inadequately","Female","","","","","5"
"Never","1991","general elemantary","Male","","","","","5"
"Never","1991","general elemantary","Female","","","","","5"
"Never","1991","middle vocational","Male","","","","","5"
"Never","1991","middle vocational","Female","","","","","5"
"Never","1991","vocational + Abi","Male","","","","","5"
"Never","1991","vocational + Abi","Female","","","","","5"
"Never","1991","higher vocational","Male","","","","","5"
"Never","1991","higher vocational","Female","","","","","5"
"Never","1991","higher education","Male","","","","","5"
"Never","1991","higher education","Female","","","","","5"
"Rarely","1991","in school","Male","","","","","4"
"Rarely","1991","in school","Female","","","","","4"
"Rarely","1991","inadequately","Male","","","","","4"
"Rarely","1991","inadequately","Female","","","","","4"
"Rarely","1991","general elemantary","Male","","","","","4"
"Rarely","1991","general elemantary","Female","","","","","4"
"Rarely","1991","middle vocational","Male","","","","","4"
"Rarely","1991","middle vocational","Female","","","","","4"
"Rarely","1991","vocational + Abi","Male","","","","","4"
"Rarely","1991","vocational + Abi","Female","","","","","4"
"Rarely","1991","higher vocational","Male","","","","","4"
"Rarely","1991","higher vocational","Female","","","","","4"
"Rarely","1991","higher education","Male","","","","","4"
"Rarely","1991","higher education","Female","","","","","4"
"Daily","1992","in school","Male","","","","","1"
"Daily","1992","in school","Female","","","","","1"
"Daily","1992","inadequately","Male","","","","","1"
"Daily","1992","inadequately","Female","","","","","1"
"Daily","1992","general elemantary","Male","","","","","1"
"Daily","1992","general elemantary","Female","","","","","1"
"Daily","1992","middle vocational","Male","","","","","1"
"Daily","1992","middle vocational","Female","","","","","1"
"Daily","1992","vocational + Abi","Male","","","","","1"
"Daily","1992","vocational + Abi","Female","","","","","1"
"Daily","1992","higher vocational","Male","","","","","1"
"Daily","1992","higher vocational","Female","","","","","1"
"Daily","1992","higher education","Male","","","","","1"
"Daily","1992","higher education","Female","","","","","1"
"Min 1x per month","1992","in school","Male","","","","","3"
"Min 1x per month","1992","in school","Female","","","","","3"
"Min 1x per month","1992","higher vocational","Female","","","","","3"
"Min 1x per month","1992","higher education","Male","","","","","3"
"Min 1x per month","1992","higher education","Female","","","","","3"
"Min 1x per month","1992","inadequately","Male","","","","","3"
"Min 1x per month","1992","inadequately","Female","","","","","3"
"Min 1x per month","1992","general elemantary","Male","","","","","3"
"Min 1x per month","1992","general elemantary","Female","","","","","3"
"Min 1x per month","1992","middle vocational","Male","","","","","3"
"Min 1x per month","1992","middle vocational","Female","","","","","3"
"Min 1x per month","1992","vocational + Abi","Male","","","","","3"
"Min 1x per month","1992","vocational + Abi","Female","","","","","3"
"Min 1x per month","1992","higher vocational","Male","","","","","3"
"Min 1x per week","1992","in school","Male","","","","","2"
"Min 1x per week","1992","in school","Female","","","","","2"
"Min 1x per week","1992","inadequately","Male","","","","","2"
"Min 1x per week","1992","inadequately","Female","","","","","2"
"Min 1x per week","1992","general elemantary","Male","","","","","2"
"Min 1x per week","1992","general elemantary","Female","","","","","2"
"Min 1x per week","1992","middle vocational","Male","","","","","2"
"Min 1x per week","1992","middle vocational","Female","","","","","2"
"Min 1x per week","1992","vocational + Abi","Male","","","","","2"
"Min 1x per week","1992","vocational + Abi","Female","","","","","2"
"Min 1x per week","1992","higher vocational","Male","","","","","2"
"Min 1x per week","1992","higher vocational","Female","","","","","2"
"Min 1x per week","1992","higher education","Male","","","","","2"
"Min 1x per week","1992","higher education","Female","","","","","2"
"Never","1992","higher vocational","Female","","","","","5"
"Never","1992","higher education","Male","","","","","5"
"Never","1992","higher education","Female","","","","","5"
"Never","1992","in school","Male","","","","","5"
"Never","1992","in school","Female","","","","","5"
"Never","1992","inadequately","Male","","","","","5"
"Never","1992","inadequately","Female","","","","","5"
"Never","1992","general elemantary","Male","","","","","5"
"Never","1992","general elemantary","Female","","","","","5"
"Never","1992","middle vocational","Male","","","","","5"
"Never","1992","middle vocational","Female","","","","","5"
"Never","1992","vocational + Abi","Male","","","","","5"
"Never","1992","vocational + Abi","Female","","","","","5"
"Never","1992","higher vocational","Male","","","","","5"
"Rarely","1992","higher vocational","Female","","","","","4"
"Rarely","1992","higher education","Male","","","","","4"
"Rarely","1992","higher education","Female","","","","","4"
"Rarely","1992","in school","Male","","","","","4"
"Rarely","1992","in school","Female","","","","","4"
"Rarely","1992","inadequately","Male","","","","","4"
"Rarely","1992","inadequately","Female","","","","","4"
"Rarely","1992","general elemantary","Male","","","","","4"
"Rarely","1992","general elemantary","Female","","","","","4"
"Rarely","1992","middle vocational","Male","","","","","4"
"Rarely","1992","middle vocational","Female","","","","","4"
"Rarely","1992","vocational + Abi","Male","","","","","4"
"Rarely","1992","vocational + Abi","Female","","","","","4"
"Rarely","1992","higher vocational","Male","","","","","4"
"Daily","1993","in school","Male","","","","","1"
"Daily","1993","in school","Female","","","","","1"
"Daily","1993","inadequately","Male","","","","","1"
"Daily","1993","inadequately","Female","","","","","1"
"Daily","1993","general elemantary","Male","","","","","1"
"Daily","1993","general elemantary","Female","","","","","1"
"Daily","1993","middle vocational","Male","","","","","1"
"Daily","1993","middle vocational","Female","","","","","1"
"Daily","1993","vocational + Abi","Male","","","","","1"
"Daily","1993","vocational + Abi","Female","","","","","1"
"Daily","1993","higher vocational","Male","","","","","1"
"Daily","1993","higher vocational","Female","","","","","1"
"Daily","1993","higher education","Male","","","","","1"
"Daily","1993","higher education","Female","","","","","1"
"Min 1x per month","1993","in school","Male","","","","","3"
"Min 1x per month","1993","in school","Female","","","","","3"
"Min 1x per month","1993","inadequately","Male","","","","","3"
"Min 1x per month","1993","inadequately","Female","","","","","3"
"Min 1x per month","1993","general elemantary","Male","","","","","3"
"Min 1x per month","1993","general elemantary","Female","","","","","3"
"Min 1x per month","1993","middle vocational","Male","","","","","3"
"Min 1x per month","1993","middle vocational","Female","","","","","3"
"Min 1x per month","1993","vocational + Abi","Male","","","","","3"
"Min 1x per month","1993","vocational + Abi","Female","","","","","3"
"Min 1x per month","1993","higher vocational","Male","","","","","3"
"Min 1x per month","1993","higher vocational","Female","","","","","3"
"Min 1x per month","1993","higher education","Male","","","","","3"
"Min 1x per month","1993","higher education","Female","","","","","3"
"Min 1x per week","1993","in school","Male","","","","","2"
"Min 1x per week","1993","in school","Female","","","","","2"
"Min 1x per week","1993","inadequately","Male","","","","","2"
"Min 1x per week","1993","inadequately","Female","","","","","2"
"Min 1x per week","1993","general elemantary","Male","","","","","2"
"Min 1x per week","1993","general elemantary","Female","","","","","2"
"Min 1x per week","1993","middle vocational","Male","","","","","2"
"Min 1x per week","1993","middle vocational","Female","","","","","2"
"Min 1x per week","1993","vocational + Abi","Male","","","","","2"
"Min 1x per week","1993","vocational + Abi","Female","","","","","2"
"Min 1x per week","1993","higher vocational","Male","","","","","2"
"Min 1x per week","1993","higher vocational","Female","","","","","2"
"Min 1x per week","1993","higher education","Male","","","","","2"
"Min 1x per week","1993","higher education","Female","","","","","2"
"Never","1993","in school","Male","","","","","5"
"Never","1993","in school","Female","","","","","5"
"Never","1993","inadequately","Male","","","","","5"
"Never","1993","inadequately","Female","","","","","5"
"Never","1993","general elemantary","Male","","","","","5"
"Never","1993","general elemantary","Female","","","","","5"
"Never","1993","middle vocational","Male","","","","","5"
"Never","1993","middle vocational","Female","","","","","5"
"Never","1993","vocational + Abi","Male","","","","","5"
"Never","1993","vocational + Abi","Female","","","","","5"
"Never","1993","higher vocational","Male","","","","","5"
"Never","1993","higher vocational","Female","","","","","5"
"Never","1993","higher education","Male","","","","","5"
"Never","1993","higher education","Female","","","","","5"
"Rarely","1993","in school","Male","","","","","4"
"Rarely","1993","in school","Female","","","","","4"
"Rarely","1993","inadequately","Male","","","","","4"
"Rarely","1993","inadequately","Female","","","","","4"
"Rarely","1993","general elemantary","Male","","","","","4"
"Rarely","1993","general elemantary","Female","","","","","4"
"Rarely","1993","middle vocational","Male","","","","","4"
"Rarely","1993","middle vocational","Female","","","","","4"
"Rarely","1993","vocational + Abi","Male","","","","","4"
"Rarely","1993","vocational + Abi","Female","","","","","4"
"Rarely","1993","higher vocational","Male","","","","","4"
"Rarely","1993","higher vocational","Female","","","","","4"
"Rarely","1993","higher education","Male","","","","","4"
"Rarely","1993","higher education","Female","","","","","4"
"Daily","1994","in school","Male","","","","","1"
"Daily","1994","in school","Female","","","","","1"
"Daily","1994","inadequately","Male","","","","","1"
"Daily","1994","inadequately","Female","","","","","1"
"Daily","1994","general elemantary","Male","","","","","1"
"Daily","1994","general elemantary","Female","","","","","1"
"Daily","1994","middle vocational","Male","","","","","1"
"Daily","1994","middle vocational","Female","","","","","1"
"Daily","1994","vocational + Abi","Male","","","","","1"
"Daily","1994","vocational + Abi","Female","","","","","1"
"Daily","1994","higher vocational","Male","","","","","1"
"Daily","1994","higher vocational","Female","","","","","1"
"Daily","1994","higher education","Male","","","","","1"
"Daily","1994","higher education","Female","","","","","1"
"Min 1x per month","1994","in school","Male","","","","","3"
"Min 1x per month","1994","in school","Female","","","","","3"
"Min 1x per month","1994","inadequately","Male","","","","","3"
"Min 1x per month","1994","inadequately","Female","","","","","3"
"Min 1x per month","1994","general elemantary","Male","","","","","3"
"Min 1x per month","1994","general elemantary","Female","","","","","3"
"Min 1x per month","1994","middle vocational","Male","","","","","3"
"Min 1x per month","1994","middle vocational","Female","","","","","3"
"Min 1x per month","1994","vocational + Abi","Male","","","","","3"
"Min 1x per month","1994","vocational + Abi","Female","","","","","3"
"Min 1x per month","1994","higher vocational","Male","","","","","3"
"Min 1x per month","1994","higher vocational","Female","","","","","3"
"Min 1x per month","1994","higher education","Male","","","","","3"
"Min 1x per month","1994","higher education","Female","","","","","3"
"Min 1x per week","1994","in school","Male","","","","","2"
"Min 1x per week","1994","in school","Female","","","","","2"
"Min 1x per week","1994","inadequately","Male","","","","","2"
"Min 1x per week","1994","inadequately","Female","","","","","2"
"Min 1x per week","1994","general elemantary","Male","","","","","2"
"Min 1x per week","1994","general elemantary","Female","","","","","2"
"Min 1x per week","1994","middle vocational","Male","","","","","2"
"Min 1x per week","1994","middle vocational","Female","","","","","2"
"Min 1x per week","1994","vocational + Abi","Male","","","","","2"
"Min 1x per week","1994","vocational + Abi","Female","","","","","2"
"Min 1x per week","1994","higher vocational","Male","","","","","2"
"Min 1x per week","1994","higher vocational","Female","","","","","2"
"Min 1x per week","1994","higher education","Male","","","","","2"
"Min 1x per week","1994","higher education","Female","","","","","2"
"Never","1994","in school","Male","","","","","5"
"Never","1994","in school","Female","","","","","5"
"Never","1994","inadequately","Male","","","","","5"
"Never","1994","inadequately","Female","","","","","5"
"Never","1994","general elemantary","Male","","","","","5"
"Never","1994","general elemantary","Female","","","","","5"
"Never","1994","middle vocational","Male","","","","","5"
"Never","1994","middle vocational","Female","","","","","5"
"Never","1994","vocational + Abi","Male","","","","","5"
"Never","1994","vocational + Abi","Female","","","","","5"
"Never","1994","higher vocational","Male","","","","","5"
"Never","1994","higher vocational","Female","","","","","5"
"Never","1994","higher education","Male","","","","","5"
"Never","1994","higher education","Female","","","","","5"
"Rarely","1994","in school","Male","","","","","4"
"Rarely","1994","in school","Female","","","","","4"
"Rarely","1994","inadequately","Male","","","","","4"
"Rarely","1994","inadequately","Female","","","","","4"
"Rarely","1994","general elemantary","Male","","","","","4"
"Rarely","1994","general elemantary","Female","","","","","4"
"Rarely","1994","middle vocational","Male","","","","","4"
"Rarely","1994","middle vocational","Female","","","","","4"
"Rarely","1994","vocational + Abi","Male","","","","","4"
"Rarely","1994","vocational + Abi","Female","","","","","4"
"Rarely","1994","higher vocational","Male","","","","","4"
"Rarely","1994","higher vocational","Female","","","","","4"
"Rarely","1994","higher education","Male","","","","","4"
"Rarely","1994","higher education","Female","","","","","4"
"Daily","1995","in school","Male","45","0.283483985507857","0.209356181509027","0.357611789506686","1"
"Daily","1995","in school","Female","36","0.216501503865933","0.148760214105986","0.284242793625881","1"
"Daily","1995","inadequately","Male","23","","","","1"
"Daily","1995","inadequately","Female","32","0.0994005308144794","0.0666697949077958","0.132131266721163","1"
"Daily","1995","general elemantary","Male","116","0.116196249377448","0.0948897462616137","0.137502752493283","1"
"Daily","1995","general elemantary","Female","134","0.0747100877687751","0.0619618368795279","0.0874583386580224","1"
"Daily","1995","middle vocational","Male","199","0.0543725765653664","0.0467417750871433","0.0620033780435895","1"
"Daily","1995","middle vocational","Female","164","0.0509670848928292","0.0435028429719106","0.0584313268137477","1"
"Daily","1995","vocational + Abi","Male","15","","","","1"
"Daily","1995","vocational + Abi","Female","13","","","","1"
"Daily","1995","higher vocational","Male","4","","","","1"
"Daily","1995","higher vocational","Female","13","","","","1"
"Daily","1995","higher education","Male","15","","","","1"
"Daily","1995","higher education","Female","30","0.0452460544183298","0.0308525044232565","0.059639604413403","1"
"Min 1x per month","1995","in school","Male","14","","","","3"
"Min 1x per month","1995","in school","Female","19","","","","3"
"Min 1x per month","1995","inadequately","Male","49","0.265425996719596","0.205704875958527","0.325147117480665","3"
"Min 1x per month","1995","inadequately","Female","70","0.211218453375209","0.166566560428916","0.255870346321501","3"
"Min 1x per month","1995","general elemantary","Male","183","0.240958440505784","0.212524172513219","0.269392708498349","3"
"Min 1x per month","1995","general elemantary","Female","422","0.258611197341356","0.23738028101661","0.279842113666102","3"
"Min 1x per month","1995","middle vocational","Male","1006","0.306190290933879","0.29067942430905","0.321701157558708","3"
"Min 1x per month","1995","middle vocational","Female","1036","0.313239453648726","0.297498136479902","0.328980770817551","3"
"Min 1x per month","1995","vocational + Abi","Male","76","0.27554732609477","0.220163724175049","0.330930928014492","3"
"Min 1x per month","1995","vocational + Abi","Female","59","0.249086340291592","0.192825641688576","0.305347038894609","3"
"Min 1x per month","1995","higher vocational","Male","182","0.368572372961292","0.325097261920878","0.412047484001706","3"
"Min 1x per month","1995","higher vocational","Female","100","0.334928811381704","0.280420570260896","0.389437052502512","3"
"Min 1x per month","1995","higher education","Male","368","0.374826411718203","0.344156853100641","0.405495970335765","3"
"Min 1x per month","1995","higher education","Female","263","0.312589232883995","0.280487608746401","0.344690857021589","3"
"Min 1x per week","1995","in school","Male","65","0.47213156065861","0.390021138762536","0.554241982554684","2"
"Min 1x per week","1995","in school","Female","80","0.618687980407469","0.538800264218391","0.698575696596547","2"
"Min 1x per week","1995","inadequately","Male","107","0.443210657952292","0.376023078046609","0.510398237857975","2"
"Min 1x per week","1995","inadequately","Female","177","0.503091615808813","0.448395400440561","0.557787831177066","2"
"Min 1x per week","1995","general elemantary","Male","422","0.429861355169099","0.396946447277874","0.462776263060323","2"
"Min 1x per week","1995","general elemantary","Female","688","0.396713046605555","0.372992632134939","0.420433461076172","2"
"Min 1x per week","1995","middle vocational","Male","1309","0.361589034322646","0.345420227810456","0.377757840834835","2"
"Min 1x per week","1995","middle vocational","Female","1366","0.394776915572334","0.378187396772948","0.41136643437172","2"
"Min 1x per week","1995","vocational + Abi","Male","118","0.488981912158059","0.427017459162554","0.550946365153563","2"
"Min 1x per week","1995","vocational + Abi","Female","124","0.570725344642543","0.506335649922814","0.635115039362272","2"
"Min 1x per week","1995","higher vocational","Male","154","0.315963734003685","0.274067430861971","0.3578600371454","2"
"Min 1x per week","1995","higher vocational","Female","122","0.436121648602368","0.378848853273026","0.493394443931709","2"
"Min 1x per week","1995","higher education","Male","315","0.361659572918907","0.33121791652525","0.392101229312565","2"
"Min 1x per week","1995","higher education","Female","310","0.435729572515383","0.401390860927971","0.470068284102794","2"
"Never","1995","in school","Male","1","","","","5"
"Never","1995","in school","Female","1","","","","5"
"Never","1995","inadequately","Male","7","","","","5"
"Never","1995","inadequately","Female","14","","","","5"
"Never","1995","general elemantary","Male","28","","","","5"
"Never","1995","general elemantary","Female","82","0.0599653496535874","0.0484535245922309","0.0714771747149439","5"
"Never","1995","middle vocational","Male","101","0.0395861587704284","0.0330243879868076","0.0461479295540493","5"
"Never","1995","middle vocational","Female","91","0.0322528286215657","0.026256781576742","0.0382488756663894","5"
"Never","1995","vocational + Abi","Male","3","","","","5"
"Never","1995","vocational + Abi","Female","6","","","","5"
"Never","1995","higher vocational","Male","10","","","","5"
"Never","1995","higher vocational","Female","1","","","","5"
"Never","1995","higher education","Male","18","","","","5"
"Never","1995","higher education","Female","12","","","","5"
"Rarely","1995","in school","Male","17","","","","4"
"Rarely","1995","in school","Female","6","","","","4"
"Rarely","1995","inadequately","Male","24","","","","4"
"Rarely","1995","inadequately","Female","28","","","","4"
"Rarely","1995","general elemantary","Male","120","0.16897070106163","0.144056206930397","0.193885195192863","4"
"Rarely","1995","general elemantary","Female","308","0.210000318630726","0.190251300895261","0.229749336366192","4"
"Rarely","1995","middle vocational","Male","777","0.23826193940768","0.223925201911861","0.252598676903499","4"
"Rarely","1995","middle vocational","Female","678","0.208763717264545","0.194970017160489","0.2225574173686","4"
"Rarely","1995","vocational + Abi","Male","38","0.148057525400242","0.104032616555937","0.192082434244548","4"
"Rarely","1995","vocational + Abi","Female","25","","","","4"
"Rarely","1995","higher vocational","Male","123","0.272630639720033","0.232499420570391","0.312761858869676","4"
"Rarely","1995","higher vocational","Female","52","0.183429508053846","0.138732002318703","0.228127013788989","4"
"Rarely","1995","higher education","Male","241","0.230717916520288","0.204026256058081","0.257409576982495","4"
"Rarely","1995","higher education","Female","186","0.192070392335939","0.16479011340001","0.219350671271868","4"
"Daily","1996","in school","Male","","","","","1"
"Daily","1996","in school","Female","","","","","1"
"Daily","1996","inadequately","Male","","","","","1"
"Daily","1996","inadequately","Female","","","","","1"
"Daily","1996","general elemantary","Male","","","","","1"
"Daily","1996","general elemantary","Female","","","","","1"
"Daily","1996","middle vocational","Male","","","","","1"
"Daily","1996","middle vocational","Female","","","","","1"
"Daily","1996","vocational + Abi","Male","","","","","1"
"Daily","1996","vocational + Abi","Female","","","","","1"
"Daily","1996","higher vocational","Male","","","","","1"
"Daily","1996","higher vocational","Female","","","","","1"
"Daily","1996","higher education","Male","","","","","1"
"Daily","1996","higher education","Female","","","","","1"
"Min 1x per month","1996","in school","Male","","","","","3"
"Min 1x per month","1996","in school","Female","","","","","3"
"Min 1x per month","1996","inadequately","Male","","","","","3"
"Min 1x per month","1996","inadequately","Female","","","","","3"
"Min 1x per month","1996","general elemantary","Male","","","","","3"
"Min 1x per month","1996","general elemantary","Female","","","","","3"
"Min 1x per month","1996","middle vocational","Male","","","","","3"
"Min 1x per month","1996","middle vocational","Female","","","","","3"
"Min 1x per month","1996","vocational + Abi","Male","","","","","3"
"Min 1x per month","1996","vocational + Abi","Female","","","","","3"
"Min 1x per month","1996","higher vocational","Male","","","","","3"
"Min 1x per month","1996","higher vocational","Female","","","","","3"
"Min 1x per month","1996","higher education","Male","","","","","3"
"Min 1x per month","1996","higher education","Female","","","","","3"
"Min 1x per week","1996","in school","Male","","","","","2"
"Min 1x per week","1996","in school","Female","","","","","2"
"Min 1x per week","1996","inadequately","Male","","","","","2"
"Min 1x per week","1996","inadequately","Female","","","","","2"
"Min 1x per week","1996","general elemantary","Male","","","","","2"
"Min 1x per week","1996","general elemantary","Female","","","","","2"
"Min 1x per week","1996","middle vocational","Male","","","","","2"
"Min 1x per week","1996","middle vocational","Female","","","","","2"
"Min 1x per week","1996","vocational + Abi","Male","","","","","2"
"Min 1x per week","1996","vocational + Abi","Female","","","","","2"
"Min 1x per week","1996","higher vocational","Male","","","","","2"
"Min 1x per week","1996","higher vocational","Female","","","","","2"
"Min 1x per week","1996","higher education","Male","","","","","2"
"Min 1x per week","1996","higher education","Female","","","","","2"
"Never","1996","in school","Male","","","","","5"
"Never","1996","in school","Female","","","","","5"
"Never","1996","inadequately","Male","","","","","5"
"Never","1996","inadequately","Female","","","","","5"
"Never","1996","general elemantary","Male","","","","","5"
"Never","1996","general elemantary","Female","","","","","5"
