"pli0080","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per week","1990","Couple + C. GT 16 ","higher education","37","0.298325913832139","0.213968729017185","0.382683098647094","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","in school","24","","","","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","inadequately","51","0.4561512928703","0.364721197951765","0.547581387788835","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","general elemantary","140","0.424985585328179","0.36828557589063","0.481685594765728","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","vocational + Abi","7","","","","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","higher vocational","8","","","","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","higher education","16","","","","2"
"Never","1990","Couple + C. GT 16 ","in school","","","","","5"
"Never","1990","Couple + C. GT 16 ","middle vocational","15","","","","5"
"Never","1990","Couple + C. GT 16 ","general elemantary","18","","","","5"
"Never","1990","1-pers.-HH","in school","","","","","5"
"Never","1990","Couple + C. LE 16 ","higher education","","","","","5"
"Never","1990","Couple + C. GT 16 ","inadequately","6","","","","5"
"Never","1990","Single parent ","higher education","2","","","","5"
"Never","1990","Couple + C. LE 16 ","in school","","","","","5"
"Never","1990","Couple + C. LE and GT 16","in school","2","","","","5"
"Never","1990","Couple + C. LE and GT 16","middle vocational","6","","","","5"
"Never","1990","Couple + C. LE 16 ","higher vocational","3","","","","5"
"Never","1990","Couple + C. LE and GT 16","higher vocational","","","","","5"
"Never","1990","1-pers.-HH","inadequately","2","","","","5"
"Never","1990","1-pers.-HH","general elemantary","20","","","","5"
"Never","1990","1-pers.-HH","middle vocational","30","0.0717605258451742","0.048695795811927","0.0948252558784213","5"
"Never","1990","Single parent ","higher vocational","","","","","5"
"Never","1990","Couple + C. GT 16 ","higher vocational","2","","","","5"
"Never","1990","(Married) couple without C. ","in school","","","","","5"
"Never","1990","(Married) couple without C. ","general elemantary","23","","","","5"
"Never","1990","1-pers.-HH","higher education","","","","","5"
"Never","1990","Couple + C. LE 16 ","inadequately","4","","","","5"
"Never","1990","Couple + C. LE 16 ","middle vocational","10","","","","5"
"Never","1990","Couple + C. GT 16 ","higher education","2","","","","5"
"Never","1990","Couple + C. LE and GT 16","vocational + Abi","","","","","5"
"Never","1990","Couple + C. LE and GT 16","higher education","1","","","","5"
"Never","1990","(Married) couple without C. ","inadequately","4","","","","5"
"Never","1990","Couple + C. GT 16 ","vocational + Abi","3","","","","5"
"Never","1990","1-pers.-HH","vocational + Abi","","","","","5"
"Never","1990","1-pers.-HH","higher vocational","1","","","","5"
"Never","1990","(Married) couple without C. ","middle vocational","30","0.0275893494948421","0.0184910757589747","0.0366876232307094","5"
"Never","1990","(Married) couple without C. ","vocational + Abi","2","","","","5"
"Never","1990","(Married) couple without C. ","higher vocational","4","","","","5"
"Never","1990","Single parent ","in school","","","","","5"
"Never","1990","Single parent ","inadequately","3","","","","5"
"Never","1990","Single parent ","general elemantary","8","","","","5"
"Never","1990","Single parent ","vocational + Abi","1","","","","5"
"Never","1990","Couple + C. LE 16 ","general elemantary","13","","","","5"
"Never","1990","Couple + C. LE and GT 16","inadequately","4","","","","5"
"Never","1990","(Married) couple without C. ","higher education","3","","","","5"
"Never","1990","Single parent ","middle vocational","5","","","","5"
"Never","1990","Couple + C. LE 16 ","vocational + Abi","1","","","","5"
"Never","1990","Couple + C. LE and GT 16","general elemantary","6","","","","5"
"Rarely","1990","(Married) couple without C. ","middle vocational","264","0.242290690697729","0.218490354555197","0.266091026840261","4"
"Rarely","1990","1-pers.-HH","vocational + Abi","4","","","","4"
"Rarely","1990","1-pers.-HH","higher vocational","9","","","","4"
"Rarely","1990","Single parent ","general elemantary","31","0.224026377833121","0.155689815156353","0.292362940509889","4"
"Rarely","1990","Single parent ","middle vocational","40","0.190687834314009","0.136779919314897","0.244595749313122","4"
"Rarely","1990","Single parent ","vocational + Abi","","","","","4"
"Rarely","1990","Couple + C. LE and GT 16","vocational + Abi","1","","","","4"
"Rarely","1990","Couple + C. LE and GT 16","higher vocational","11","","","","4"
"Rarely","1990","Couple + C. GT 16 ","inadequately","16","","","","4"
"Rarely","1990","1-pers.-HH","inadequately","2","","","","4"
"Rarely","1990","Couple + C. GT 16 ","in school","5","","","","4"
"Rarely","1990","1-pers.-HH","higher education","10","","","","4"
"Rarely","1990","Couple + C. LE and GT 16","middle vocational","60","0.232999868762397","0.186315835324075","0.27968390220072","4"
"Rarely","1990","(Married) couple without C. ","vocational + Abi","12","","","","4"
"Rarely","1990","1-pers.-HH","in school","","","","","4"
"Rarely","1990","(Married) couple without C. ","general elemantary","142","0.289375475346025","0.250985604342405","0.327765346349646","4"
"Rarely","1990","Couple + C. GT 16 ","general elemantary","116","0.246678853956265","0.211165154447984","0.282192553464545","4"
"Rarely","1990","(Married) couple without C. ","inadequately","7","","","","4"
"Rarely","1990","1-pers.-HH","general elemantary","57","0.195088295998688","0.150543084210478","0.239633507786898","4"
"Rarely","1990","1-pers.-HH","middle vocational","80","0.181577391155946","0.147126913487019","0.216027868824873","4"
"Rarely","1990","(Married) couple without C. ","in school","","","","","4"
"Rarely","1990","Single parent ","in school","4","","","","4"
"Rarely","1990","Single parent ","inadequately","6","","","","4"
"Rarely","1990","Single parent ","higher vocational","5","","","","4"
"Rarely","1990","Single parent ","higher education","1","","","","4"
"Rarely","1990","Couple + C. LE 16 ","in school","","","","","4"
"Rarely","1990","Couple + C. LE 16 ","inadequately","19","","","","4"
"Rarely","1990","Couple + C. LE 16 ","general elemantary","52","0.198314928310694","0.159337366723933","0.237292489897456","4"
"Rarely","1990","Couple + C. LE 16 ","higher vocational","29","","","","4"
"Rarely","1990","Couple + C. LE 16 ","higher education","30","0.150524649976591","0.100206295577802","0.200843004375381","4"
"Rarely","1990","Couple + C. GT 16 ","middle vocational","234","0.277687852044799","0.249619328814771","0.305756375274826","4"
"Rarely","1990","Couple + C. GT 16 ","vocational + Abi","15","","","","4"
"Rarely","1990","Couple + C. GT 16 ","higher vocational","28","","","","4"
"Rarely","1990","Couple + C. GT 16 ","higher education","29","","","","4"
"Rarely","1990","Couple + C. LE and GT 16","in school","3","","","","4"
"Rarely","1990","Couple + C. LE and GT 16","inadequately","17","","","","4"
"Rarely","1990","Couple + C. LE and GT 16","general elemantary","41","0.15244521303816","0.111216720889561","0.193673705186758","4"
"Rarely","1990","Couple + C. LE and GT 16","higher education","12","","","","4"
"Rarely","1990","(Married) couple without C. ","higher vocational","41","0.283897102322954","0.212914741860089","0.35487946278582","4"
"Rarely","1990","(Married) couple without C. ","higher education","36","0.175774788769286","0.122757595128405","0.228791982410167","4"
"Rarely","1990","Couple + C. LE 16 ","middle vocational","217","0.223301289707409","0.198532482879168","0.24807009653565","4"
"Rarely","1990","Couple + C. LE 16 ","vocational + Abi","9","","","","4"
"Daily","1991","1-pers.-HH","in school","","","","","1"
"Daily","1991","1-pers.-HH","inadequately","","","","","1"
"Daily","1991","1-pers.-HH","general elemantary","","","","","1"
"Daily","1991","1-pers.-HH","middle vocational","","","","","1"
"Daily","1991","1-pers.-HH","vocational + Abi","","","","","1"
"Daily","1991","1-pers.-HH","higher vocational","","","","","1"
"Daily","1991","1-pers.-HH","higher education","","","","","1"
"Daily","1991","(Married) couple without C. ","in school","","","","","1"
"Daily","1991","(Married) couple without C. ","inadequately","","","","","1"
"Daily","1991","(Married) couple without C. ","general elemantary","","","","","1"
"Daily","1991","(Married) couple without C. ","middle vocational","","","","","1"
"Daily","1991","(Married) couple without C. ","vocational + Abi","","","","","1"
"Daily","1991","(Married) couple without C. ","higher vocational","","","","","1"
"Daily","1991","(Married) couple without C. ","higher education","","","","","1"
"Daily","1991","Single parent ","in school","","","","","1"
"Daily","1991","Single parent ","inadequately","","","","","1"
"Daily","1991","Single parent ","general elemantary","","","","","1"
"Daily","1991","Single parent ","middle vocational","","","","","1"
"Daily","1991","Single parent ","vocational + Abi","","","","","1"
"Daily","1991","Single parent ","higher vocational","","","","","1"
"Daily","1991","Single parent ","higher education","","","","","1"
"Daily","1991","Couple + C. LE 16 ","in school","","","","","1"
"Daily","1991","Couple + C. LE 16 ","inadequately","","","","","1"
"Daily","1991","Couple + C. LE 16 ","general elemantary","","","","","1"
"Daily","1991","Couple + C. LE 16 ","middle vocational","","","","","1"
"Daily","1991","Couple + C. LE 16 ","vocational + Abi","","","","","1"
"Daily","1991","Couple + C. LE 16 ","higher vocational","","","","","1"
"Daily","1991","Couple + C. LE 16 ","higher education","","","","","1"
"Daily","1991","Couple + C. GT 16 ","in school","","","","","1"
"Daily","1991","Couple + C. GT 16 ","inadequately","","","","","1"
"Daily","1991","Couple + C. GT 16 ","general elemantary","","","","","1"
"Daily","1991","Couple + C. GT 16 ","middle vocational","","","","","1"
"Daily","1991","Couple + C. GT 16 ","vocational + Abi","","","","","1"
"Daily","1991","Couple + C. GT 16 ","higher vocational","","","","","1"
"Daily","1991","Couple + C. GT 16 ","higher education","","","","","1"
"Daily","1991","Couple + C. LE and GT 16","in school","","","","","1"
"Daily","1991","Couple + C. LE and GT 16","inadequately","","","","","1"
"Daily","1991","Couple + C. LE and GT 16","general elemantary","","","","","1"
"Daily","1991","Couple + C. LE and GT 16","middle vocational","","","","","1"
"Daily","1991","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"Daily","1991","Couple + C. LE and GT 16","higher vocational","","","","","1"
"Daily","1991","Couple + C. LE and GT 16","higher education","","","","","1"
"Min 1x per month","1991","Couple + C. LE and GT 16","middle vocational","","","","","3"
"Min 1x per month","1991","Couple + C. LE and GT 16","vocational + Abi","","","","","3"
"Min 1x per month","1991","1-pers.-HH","in school","","","","","3"
"Min 1x per month","1991","1-pers.-HH","inadequately","","","","","3"
"Min 1x per month","1991","1-pers.-HH","general elemantary","","","","","3"
"Min 1x per month","1991","1-pers.-HH","middle vocational","","","","","3"
"Min 1x per month","1991","1-pers.-HH","vocational + Abi","","","","","3"
"Min 1x per month","1991","1-pers.-HH","higher vocational","","","","","3"
"Min 1x per month","1991","1-pers.-HH","higher education","","","","","3"
"Min 1x per month","1991","(Married) couple without C. ","in school","","","","","3"
"Min 1x per month","1991","(Married) couple without C. ","inadequately","","","","","3"
"Min 1x per month","1991","(Married) couple without C. ","general elemantary","","","","","3"
"Min 1x per month","1991","(Married) couple without C. ","middle vocational","","","","","3"
"Min 1x per month","1991","Single parent ","in school","","","","","3"
"Min 1x per month","1991","Single parent ","inadequately","","","","","3"
"Min 1x per month","1991","Single parent ","general elemantary","","","","","3"
"Min 1x per month","1991","Single parent ","middle vocational","","","","","3"
"Min 1x per month","1991","Single parent ","vocational + Abi","","","","","3"
"Min 1x per month","1991","Single parent ","higher vocational","","","","","3"
"Min 1x per month","1991","Single parent ","higher education","","","","","3"
"Min 1x per month","1991","Couple + C. LE 16 ","in school","","","","","3"
"Min 1x per month","1991","Couple + C. LE 16 ","inadequately","","","","","3"
"Min 1x per month","1991","Couple + C. LE 16 ","general elemantary","","","","","3"
"Min 1x per month","1991","Couple + C. LE 16 ","middle vocational","","","","","3"
"Min 1x per month","1991","Couple + C. LE 16 ","vocational + Abi","","","","","3"
"Min 1x per month","1991","Couple + C. LE 16 ","higher vocational","","","","","3"
"Min 1x per month","1991","Couple + C. LE 16 ","higher education","","","","","3"
"Min 1x per month","1991","Couple + C. GT 16 ","in school","","","","","3"
"Min 1x per month","1991","Couple + C. GT 16 ","inadequately","","","","","3"
"Min 1x per month","1991","Couple + C. GT 16 ","general elemantary","","","","","3"
"Min 1x per month","1991","Couple + C. GT 16 ","middle vocational","","","","","3"
"Min 1x per month","1991","Couple + C. GT 16 ","vocational + Abi","","","","","3"
"Min 1x per month","1991","Couple + C. GT 16 ","higher vocational","","","","","3"
"Min 1x per month","1991","Couple + C. GT 16 ","higher education","","","","","3"
"Min 1x per month","1991","Couple + C. LE and GT 16","in school","","","","","3"
"Min 1x per month","1991","Couple + C. LE and GT 16","inadequately","","","","","3"
"Min 1x per month","1991","Couple + C. LE and GT 16","general elemantary","","","","","3"
"Min 1x per month","1991","Couple + C. LE and GT 16","higher vocational","","","","","3"
"Min 1x per month","1991","Couple + C. LE and GT 16","higher education","","","","","3"
"Min 1x per month","1991","(Married) couple without C. ","vocational + Abi","","","","","3"
"Min 1x per month","1991","(Married) couple without C. ","higher vocational","","","","","3"
"Min 1x per month","1991","(Married) couple without C. ","higher education","","","","","3"
"Min 1x per week","1991","1-pers.-HH","in school","","","","","2"
"Min 1x per week","1991","1-pers.-HH","inadequately","","","","","2"
"Min 1x per week","1991","1-pers.-HH","general elemantary","","","","","2"
"Min 1x per week","1991","1-pers.-HH","middle vocational","","","","","2"
"Min 1x per week","1991","1-pers.-HH","vocational + Abi","","","","","2"
"Min 1x per week","1991","1-pers.-HH","higher vocational","","","","","2"
"Min 1x per week","1991","1-pers.-HH","higher education","","","","","2"
"Min 1x per week","1991","(Married) couple without C. ","in school","","","","","2"
"Min 1x per week","1991","(Married) couple without C. ","inadequately","","","","","2"
"Min 1x per week","1991","(Married) couple without C. ","higher education","","","","","2"
"Min 1x per week","1991","Couple + C. LE and GT 16","middle vocational","","","","","2"
"Min 1x per week","1991","(Married) couple without C. ","general elemantary","","","","","2"
"Min 1x per week","1991","(Married) couple without C. ","middle vocational","","","","","2"
"Min 1x per week","1991","(Married) couple without C. ","vocational + Abi","","","","","2"
"Min 1x per week","1991","(Married) couple without C. ","higher vocational","","","","","2"
"Min 1x per week","1991","Single parent ","in school","","","","","2"
"Min 1x per week","1991","Single parent ","inadequately","","","","","2"
"Min 1x per week","1991","Single parent ","general elemantary","","","","","2"
"Min 1x per week","1991","Single parent ","middle vocational","","","","","2"
"Min 1x per week","1991","Single parent ","vocational + Abi","","","","","2"
"Min 1x per week","1991","Single parent ","higher vocational","","","","","2"
"Min 1x per week","1991","Single parent ","higher education","","","","","2"
"Min 1x per week","1991","Couple + C. LE 16 ","in school","","","","","2"
"Min 1x per week","1991","Couple + C. LE 16 ","inadequately","","","","","2"
"Min 1x per week","1991","Couple + C. LE 16 ","general elemantary","","","","","2"
"Min 1x per week","1991","Couple + C. LE 16 ","middle vocational","","","","","2"
"Min 1x per week","1991","Couple + C. LE 16 ","vocational + Abi","","","","","2"
"Min 1x per week","1991","Couple + C. LE 16 ","higher vocational","","","","","2"
"Min 1x per week","1991","Couple + C. LE 16 ","higher education","","","","","2"
"Min 1x per week","1991","Couple + C. GT 16 ","in school","","","","","2"
"Min 1x per week","1991","Couple + C. GT 16 ","inadequately","","","","","2"
"Min 1x per week","1991","Couple + C. GT 16 ","general elemantary","","","","","2"
"Min 1x per week","1991","Couple + C. GT 16 ","middle vocational","","","","","2"
"Min 1x per week","1991","Couple + C. GT 16 ","vocational + Abi","","","","","2"
"Min 1x per week","1991","Couple + C. GT 16 ","higher vocational","","","","","2"
"Min 1x per week","1991","Couple + C. GT 16 ","higher education","","","","","2"
"Min 1x per week","1991","Couple + C. LE and GT 16","in school","","","","","2"
"Min 1x per week","1991","Couple + C. LE and GT 16","inadequately","","","","","2"
"Min 1x per week","1991","Couple + C. LE and GT 16","general elemantary","","","","","2"
"Min 1x per week","1991","Couple + C. LE and GT 16","vocational + Abi","","","","","2"
"Min 1x per week","1991","Couple + C. LE and GT 16","higher vocational","","","","","2"
"Min 1x per week","1991","Couple + C. LE and GT 16","higher education","","","","","2"
"Never","1991","1-pers.-HH","in school","","","","","5"
"Never","1991","1-pers.-HH","general elemantary","","","","","5"
"Never","1991","1-pers.-HH","vocational + Abi","","","","","5"
"Never","1991","1-pers.-HH","higher education","","","","","5"
"Never","1991","(Married) couple without C. ","in school","","","","","5"
"Never","1991","(Married) couple without C. ","inadequately","","","","","5"
"Never","1991","(Married) couple without C. ","middle vocational","","","","","5"
"Never","1991","(Married) couple without C. ","vocational + Abi","","","","","5"
"Never","1991","(Married) couple without C. ","higher vocational","","","","","5"
"Never","1991","Single parent ","in school","","","","","5"
"Never","1991","Single parent ","general elemantary","","","","","5"
"Never","1991","Single parent ","middle vocational","","","","","5"
"Never","1991","Single parent ","vocational + Abi","","","","","5"
"Never","1991","Single parent ","higher vocational","","","","","5"
"Never","1991","Single parent ","higher education","","","","","5"
"Never","1991","Couple + C. LE 16 ","in school","","","","","5"
"Never","1991","Couple + C. LE 16 ","inadequately","","","","","5"
"Never","1991","Couple + C. LE 16 ","middle vocational","","","","","5"
"Never","1991","Couple + C. LE 16 ","higher vocational","","","","","5"
"Never","1991","Couple + C. LE 16 ","higher education","","","","","5"
"Never","1991","Couple + C. GT 16 ","in school","","","","","5"
"Never","1991","Couple + C. GT 16 ","inadequately","","","","","5"
"Never","1991","Couple + C. GT 16 ","general elemantary","","","","","5"
"Never","1991","Couple + C. GT 16 ","middle vocational","","","","","5"
"Never","1991","Couple + C. GT 16 ","vocational + Abi","","","","","5"
"Never","1991","Couple + C. GT 16 ","higher vocational","","","","","5"
"Never","1991","Couple + C. GT 16 ","higher education","","","","","5"
"Never","1991","Couple + C. LE and GT 16","in school","","","","","5"
"Never","1991","Couple + C. LE and GT 16","middle vocational","","","","","5"
"Never","1991","Couple + C. LE and GT 16","higher vocational","","","","","5"
"Never","1991","1-pers.-HH","inadequately","","","","","5"
"Never","1991","1-pers.-HH","higher vocational","","","","","5"
"Never","1991","(Married) couple without C. ","general elemantary","","","","","5"
"Never","1991","Couple + C. LE and GT 16","vocational + Abi","","","","","5"
"Never","1991","Couple + C. LE and GT 16","higher education","","","","","5"
