"ple0098_v5","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Employed","secondary school degree","580","0.130914724449323","0.121024253930419","0.140805194968227"
"Yes","2002","Employed","college entrance qualification","556","0.184783929840792","0.170459016527566","0.199108843154018"
"Yes","2002","Employed","Other degree","28","","",""
"Yes","2002","Employed","no degree/no degree yet","20","","",""
"No","2002","Not Employed","lower secondary degree","3805","0.945616715110138","0.938604852253008","0.952628577967268"
"No","2002","Not Employed","secondary school degree","1218","0.856028155282815","0.837768745804433","0.874287564761196"
"No","2002","Not Employed","college entrance qualification","732","0.833406059655438","0.80900818401409","0.857803935296785"
"No","2002","Not Employed","Other degree","466","0.961193388921579","0.944004988268542","0.978381789574617"
"No","2002","Not Employed","no degree/no degree yet","537","0.964882403580611","0.949677156611699","0.980087650549523"
"No","2002","Employed","lower secondary degree","3465","0.901757142858947","0.892351634243807","0.911162651474087"
"No","2002","Employed","secondary school degree","3888","0.869085275550677","0.859194805031773","0.878975746069581"
"No","2002","Employed","college entrance qualification","2264","0.815216070159208","0.800891156845982","0.829540983472434"
"No","2002","Employed","Other degree","728","0.967307577637078","0.95463126216662","0.979983893107536"
"No","2002","Employed","no degree/no degree yet","198","0.946022245612155","0.916025238567459","0.976019252656851"
"Yes","2003","Not Employed","lower secondary degree","202","0.048744395947871","0.0419853961412171","0.0555033957545249"
"Yes","2003","Not Employed","secondary school degree","198","0.158478803471249","0.139349366192984","0.177608240749515"
"Yes","2003","Not Employed","college entrance qualification","181","0.170743234500982","0.146322038135571","0.195164430866392"
"Yes","2003","Not Employed","Other degree","12","","",""
"Yes","2003","Not Employed","no degree/no degree yet","34","0.0481499019028858","0.0306057629065134","0.0656940408992583"
"Yes","2003","Employed","lower secondary degree","387","0.108137835391605","0.0979407070360752","0.118334963747135"
"Yes","2003","Employed","secondary school degree","546","0.129743008330758","0.119689107986546","0.13979690867497"
"Yes","2003","Employed","college entrance qualification","536","0.191968291348398","0.177139956072251","0.206796626624545"
"Yes","2003","Employed","Other degree","22","","",""
"Yes","2003","Employed","no degree/no degree yet","15","","",""
"No","2003","Not Employed","lower secondary degree","3697","0.951255604052129","0.944496604245475","0.958014603858783"
"No","2003","Not Employed","secondary school degree","1202","0.841521196528751","0.822391759250485","0.860650633807016"
"No","2003","Not Employed","college entrance qualification","731","0.829256765499018","0.804835569133608","0.853677961864429"
"No","2003","Not Employed","Other degree","471","0.971524997305667","0.956691846835899","0.986358147775435"
"No","2003","Not Employed","no degree/no degree yet","538","0.951850098097114","0.934305959100742","0.969394237093487"
"No","2003","Employed","lower secondary degree","3176","0.891862164608395","0.881665036252865","0.902059292963925"
"No","2003","Employed","secondary school degree","3745","0.870256991669242","0.86020309132503","0.880310892013454"
"No","2003","Employed","college entrance qualification","2174","0.808031708651602","0.793203373375455","0.822860043927749"
"No","2003","Employed","Other degree","667","0.97665445027933","0.965379594402594","0.987929306156065"
"No","2003","Employed","no degree/no degree yet","177","0.942562855509437","0.909651250850626","0.975474460168248"
"Yes","2004","Not Employed","lower secondary degree","221","0.0540821910204354","0.0468622897988778","0.061302092241993"
"Yes","2004","Not Employed","secondary school degree","194","0.145218974052581","0.127065784427999","0.163372163677164"
"Yes","2004","Not Employed","college entrance qualification","190","0.188727191678694","0.163659700814986","0.213794682542401"
"Yes","2004","Not Employed","Other degree","14","","",""
"Yes","2004","Not Employed","no degree/no degree yet","39","0.0498775315537322","0.0320996863845551","0.0676553767229092"
"Yes","2004","Employed","lower secondary degree","390","0.118224312633965","0.107305496620775","0.129143128647155"
"Yes","2004","Employed","secondary school degree","571","0.144507549469533","0.133739885945591","0.155275212993475"
"Yes","2004","Employed","college entrance qualification","582","0.206910153342808","0.191507185452146","0.222313121233469"
"Yes","2004","Employed","Other degree","17","","",""
"Yes","2004","Employed","no degree/no degree yet","13","","",""
"No","2004","Not Employed","lower secondary degree","3549","0.945917808979565","0.938697907758007","0.953137710201122"
"No","2004","Not Employed","secondary school degree","1253","0.854781025947418","0.836627836322836","0.872934215572001"
"No","2004","Not Employed","college entrance qualification","746","0.811272808321306","0.786205317457599","0.836340299185014"
"No","2004","Not Employed","Other degree","479","0.971219168420103","0.956460916375486","0.98597742046472"
"No","2004","Not Employed","no degree/no degree yet","537","0.950122468446268","0.932344623277091","0.967900313615445"
"No","2004","Employed","lower secondary degree","2969","0.881775687366035","0.870856871352845","0.892694503379225"
"No","2004","Employed","secondary school degree","3525","0.855492450530467","0.844724787006525","0.866260114054409"
"No","2004","Employed","college entrance qualification","2075","0.793089846657192","0.77768687876653","0.808492814547854"
"No","2004","Employed","Other degree","617","0.98147540188921","0.970979553004235","0.991971250774185"
"No","2004","Employed","no degree/no degree yet","167","0.920701812438086","0.881228554899986","0.960175069976185"
"Yes","2005","Not Employed","lower secondary degree","244","0.0678867299802216","0.0596797865422281","0.0760936734182151"
"Yes","2005","Not Employed","secondary school degree","206","0.153362839578947","0.134240120739552","0.172485558418342"
"Yes","2005","Not Employed","college entrance qualification","177","0.174602902497799","0.14974575528831","0.199460049707287"
"Yes","2005","Not Employed","Other degree","15","","",""
"Yes","2005","Not Employed","no degree/no degree yet","33","0.0560433620887737","0.0374208872593538","0.0746658369181936"
"Yes","2005","Employed","lower secondary degree","383","0.131186302033415","0.119226499723972","0.143146104342858"
"Yes","2005","Employed","secondary school degree","603","0.159871415433161","0.148394383342328","0.171348447523994"
"Yes","2005","Employed","college entrance qualification","602","0.223011437297345","0.207010983562068","0.239011891032622"
"Yes","2005","Employed","Other degree","24","","",""
"Yes","2005","Employed","no degree/no degree yet","12","","",""
"No","2005","Not Employed","lower secondary degree","3365","0.932113270019778","0.923906326581785","0.940320213457772"
"No","2005","Not Employed","secondary school degree","1158","0.846637160421053","0.827514441581658","0.865759879260448"
"No","2005","Not Employed","college entrance qualification","719","0.825397097502201","0.800539950292713","0.85025424471169"
"No","2005","Not Employed","Other degree","451","0.977231109029784","0.963687802337674","0.990774415721894"
"No","2005","Not Employed","no degree/no degree yet","553","0.943956637911226","0.925334163081806","0.962579112740646"
"No","2005","Employed","lower secondary degree","2678","0.868813697966585","0.856853895657142","0.880773500276028"
"No","2005","Employed","secondary school degree","3314","0.840128584566839","0.828651552476006","0.851605616657672"
"No","2005","Employed","college entrance qualification","1998","0.776988562702655","0.760988108967378","0.792989016437932"
"No","2005","Employed","Other degree","565","0.961380691307653","0.945819587889932","0.976941794725374"
"No","2005","Employed","no degree/no degree yet","152","0.921494589983606","0.880330136396266","0.962659043570946"
"Yes","2006","Not Employed","lower secondary degree","310","0.0711625106320914","0.0631600786035687","0.0791649426606141"
"Yes","2006","Not Employed","secondary school degree","263","0.163848186080913","0.145474833021807","0.182221539140019"
"Yes","2006","Not Employed","college entrance qualification","235","0.211860671263792","0.186722033402374","0.23699930912521"
"Yes","2006","Not Employed","Other degree","19","","",""
"Yes","2006","Not Employed","no degree/no degree yet","24","","",""
"Yes","2006","Employed","lower secondary degree","469","0.131764272379038","0.12000292319054","0.143525621567536"
"Yes","2006","Employed","secondary school degree","767","0.191421058982102","0.179388948531367","0.203453169432836"
"Yes","2006","Employed","college entrance qualification","712","0.258444362792027","0.242208774664342","0.274679950919712"
"Yes","2006","Employed","Other degree","34","0.0460861339794277","0.0293510014945389","0.0628212664643165"
"Yes","2006","Employed","no degree/no degree yet","8","","",""
"No","2006","Not Employed","lower secondary degree","3655","0.928837489367909","0.920835057339386","0.936839921396431"
"No","2006","Not Employed","secondary school degree","1296","0.836151813919087","0.817778460859981","0.854525166978193"
"No","2006","Not Employed","college entrance qualification","780","0.788139328736208","0.76300069087479","0.813277966597626"
"No","2006","Not Employed","Other degree","503","0.971256975511205","0.956923676945322","0.985590274077089"
"No","2006","Not Employed","no degree/no degree yet","375","0.936212732207903","0.912234568834217","0.960190895581588"
"No","2006","Employed","lower secondary degree","2708","0.868235727620962","0.856474378432464","0.87999707680946"
"No","2006","Employed","secondary school degree","3340","0.808578941017898","0.796546830567164","0.820611051468633"
"No","2006","Employed","college entrance qualification","2081","0.741555637207973","0.725320049080288","0.757791225335658"
"No","2006","Employed","Other degree","569","0.953913866020572","0.937178733535683","0.970648998505461"
"No","2006","Employed","no degree/no degree yet","127","0.886516617353983","0.833012059027433","0.940021175680533"
"Yes","2007","Not Employed","lower secondary degree","312","0.0829713696578816","0.0740018131719739","0.0919409261437892"
"Yes","2007","Not Employed","secondary school degree","274","0.180145607216705","0.160526485954913","0.199764728478498"
"Yes","2007","Not Employed","college entrance qualification","250","0.243960915110812","0.217031119334899","0.270890710886724"
"Yes","2007","Not Employed","Other degree","20","","",""
"Yes","2007","Not Employed","no degree/no degree yet","21","","",""
"Yes","2007","Employed","lower secondary degree","471","0.150834640132209","0.137743478791424","0.163925801472995"
"Yes","2007","Employed","secondary school degree","763","0.203027349663706","0.19031781818824","0.215736881139173"
"Yes","2007","Employed","college entrance qualification","728","0.273357192604498","0.256486790799839","0.290227594409157"
"Yes","2007","Employed","Other degree","39","0.0521376935872482","0.0338072742042979","0.0704681129701986"
"Yes","2007","Employed","no degree/no degree yet","9","","",""
"No","2007","Not Employed","lower secondary degree","3321","0.917028630342118","0.908059073856211","0.925998186828026"
"No","2007","Not Employed","secondary school degree","1200","0.819854392783295","0.800235271521502","0.839473514045087"
"No","2007","Not Employed","college entrance qualification","727","0.756039084889188","0.729109289113276","0.782968880665101"
"No","2007","Not Employed","Other degree","433","0.96739353859336","0.951038468259965","0.983748608926755"
"No","2007","Not Employed","no degree/no degree yet","338","0.957565445232181","0.936713579273855","0.978417311190507"
"No","2007","Employed","lower secondary degree","2400","0.849165359867791","0.836074198527005","0.862256521208576"
"No","2007","Employed","secondary school degree","3085","0.796972650336294","0.784263118860827","0.80968218181176"
"No","2007","Employed","college entrance qualification","1953","0.726642807395502","0.709772405590843","0.743513209200161"
"No","2007","Employed","Other degree","526","0.947862306412752","0.929531887029801","0.966192725795702"
"No","2007","Employed","no degree/no degree yet","105","0.932549888161251","0.886511189468466","0.978588586854036"
"Yes","2008","Not Employed","lower secondary degree","366","0.105037237781095","0.0947238266514103","0.115350648910781"
"Yes","2008","Not Employed","secondary school degree","297","0.21049075625892","0.188959159157345","0.232022353360495"
"Yes","2008","Not Employed","college entrance qualification","254","0.265855877244473","0.237658673613798","0.294053080875149"
"Yes","2008","Not Employed","Other degree","21","","",""
"Yes","2008","Not Employed","no degree/no degree yet","27","","",""
"Yes","2008","Employed","lower secondary degree","511","0.17849481786417","0.164119974372025","0.192869661356315"
"Yes","2008","Employed","secondary school degree","840","0.236722324051073","0.223077402994435","0.25036724510771"
"Yes","2008","Employed","college entrance qualification","782","0.31515034084116","0.297143428949337","0.333157252732983"
"Yes","2008","Employed","Other degree","37","0.0659194115323379","0.0442986161374195","0.0875402069272564"
"Yes","2008","Employed","no degree/no degree yet","14","","",""
"No","2008","Not Employed","lower secondary degree","3029","0.894962762218905","0.884649351089219","0.90527617334859"
"No","2008","Not Employed","secondary school degree","1080","0.78950924374108","0.767977646639505","0.811040840842655"
"No","2008","Not Employed","college entrance qualification","689","0.734144122755527","0.705946919124851","0.762341326386203"
"No","2008","Not Employed","Other degree","381","0.943790771985418","0.921275523820865","0.966306020149971"
"No","2008","Not Employed","no degree/no degree yet","318","0.923365257098324","0.895295531917824","0.951434982278824"
"No","2008","Employed","lower secondary degree","2215","0.82150518213583","0.807130338643685","0.835880025627975"
"No","2008","Employed","secondary school degree","2888","0.763277675948927","0.74963275489229","0.776922597005565"
"No","2008","Employed","college entrance qualification","1775","0.68484965915884","0.666842747267017","0.702856571050663"
"No","2008","Employed","Other degree","469","0.934080588467662","0.912459793072743","0.95570138386258"
"No","2008","Employed","no degree/no degree yet","108","0.859377198778302","0.797691006753278","0.921063390803326"
"Yes","2009","Not Employed","lower secondary degree","","","",""
"Yes","2009","Not Employed","secondary school degree","","","",""
"Yes","2009","Not Employed","college entrance qualification","","","",""
"Yes","2009","Not Employed","Other degree","","","",""
"Yes","2009","Not Employed","no degree/no degree yet","","","",""
"Yes","2009","Employed","lower secondary degree","","","",""
"Yes","2009","Employed","secondary school degree","","","",""
"Yes","2009","Employed","college entrance qualification","","","",""
"Yes","2009","Employed","Other degree","","","",""
"Yes","2009","Employed","no degree/no degree yet","","","",""
"No","2009","Not Employed","lower secondary degree","","","",""
"No","2009","Not Employed","secondary school degree","","","",""
"No","2009","Not Employed","college entrance qualification","","","",""
"No","2009","Not Employed","Other degree","","","",""
"No","2009","Not Employed","no degree/no degree yet","","","",""
"No","2009","Employed","lower secondary degree","","","",""
"No","2009","Employed","secondary school degree","","","",""
"No","2009","Employed","college entrance qualification","","","",""
"No","2009","Employed","Other degree","","","",""
"No","2009","Employed","no degree/no degree yet","","","",""
"Yes","2010","Not Employed","lower secondary degree","357","0.108047343068118","0.0975033788861325","0.118591307250104"
"Yes","2010","Not Employed","secondary school degree","347","0.214039592779367","0.194996318013002","0.233082867545733"
"Yes","2010","Not Employed","college entrance qualification","321","0.291661665038331","0.265493912655049","0.317829417421613"
"Yes","2010","Not Employed","Other degree","40","0.0532922081150414","0.0358766460489162","0.0707077701811665"
"Yes","2010","Not Employed","no degree/no degree yet","40","0.0522681037807439","0.0325816058317816","0.0719546017297061"
"Yes","2010","Employed","lower secondary degree","601","0.181102837036287","0.167745313691156","0.194460360381418"
"Yes","2010","Employed","secondary school degree","1182","0.252762654323702","0.240650907801518","0.264874400845885"
"Yes","2010","Employed","college entrance qualification","1174","0.336432426124435","0.321166762690623","0.351698089558247"
"Yes","2010","Employed","Other degree","81","0.10699858612261","0.0864110564679447","0.127586115777275"
"Yes","2010","Employed","no degree/no degree yet","25","","",""
"No","2010","Not Employed","lower secondary degree","2973","0.891952656931882","0.881408692749896","0.902496621113868"
"No","2010","Not Employed","secondary school degree","1435","0.785960407220633","0.766917132454267","0.805003681986998"
"No","2010","Not Employed","college entrance qualification","838","0.708338334961669","0.682170582578387","0.734506087344951"
"No","2010","Not Employed","Other degree","599","0.946707791884959","0.929292229818834","0.964123353951084"
"No","2010","Not Employed","no degree/no degree yet","451","0.947731896219256","0.928045398270294","0.967418394168218"
"No","2010","Employed","lower secondary degree","2592","0.818897162963713","0.805539639618582","0.832254686308844"
"No","2010","Employed","secondary school degree","3764","0.747237345676298","0.735125599154115","0.759349092198482"
"No","2010","Employed","college entrance qualification","2506","0.663567573875565","0.648301910441753","0.678833237309377"
"No","2010","Employed","Other degree","785","0.89300141387739","0.872413884222725","0.913588943532055"
"No","2010","Employed","no degree/no degree yet","173","0.872565689293217","0.826118680670171","0.919012697916264"
"Yes","2011","Not Employed","lower secondary degree","433","0.118383574668884","0.107818672294387","0.12894847704338"
"Yes","2011","Not Employed","secondary school degree","366","0.252984687527972","0.230926209239351","0.275043165816594"
"Yes","2011","Not Employed","college entrance qualification","296","0.287456583061383","0.259750319972696","0.31516284615007"
"Yes","2011","Not Employed","Other degree","36","0.0730475726532783","0.050101084195104","0.0959940611114526"
"Yes","2011","Not Employed","no degree/no degree yet","36","0.0773961979996751","0.0490755966042092","0.105716799395141"
"Yes","2011","Employed","lower secondary degree","573","0.208647001209808","0.193368017367868","0.223925985051748"
"Yes","2011","Employed","secondary school degree","1038","0.256320145572696","0.242745811330188","0.269894479815204"
"Yes","2011","Employed","college entrance qualification","950","0.324074817106299","0.306999377886526","0.341150256326072"
"Yes","2011","Employed","Other degree","58","0.0918375143040205","0.0682529048706777","0.115422123737363"
"Yes","2011","Employed","no degree/no degree yet","19","","",""
"No","2011","Not Employed","lower secondary degree","3159","0.881616425331116","0.87105152295662","0.892181327705613"
"No","2011","Not Employed","secondary school degree","1126","0.747015312472028","0.724956834183406","0.769073790760649"
"No","2011","Not Employed","college entrance qualification","729","0.712543416938617","0.68483715384993","0.740249680027304"
"No","2011","Not Employed","Other degree","458","0.926952427346722","0.904005938888547","0.949898915804896"
"No","2011","Not Employed","no degree/no degree yet","306","0.922603802000325","0.894283200604859","0.950924403395791"
"No","2011","Employed","lower secondary degree","2144","0.791352998790192","0.776074014948253","0.806631982632132"
"No","2011","Employed","secondary school degree","2936","0.743679854427304","0.730105520184796","0.757254188669812"
"No","2011","Employed","college entrance qualification","1936","0.675925182893701","0.658849743673928","0.693000622113474"
"No","2011","Employed","Other degree","518","0.908162485695979","0.884577876262637","0.931747095129322"
"No","2011","Employed","no degree/no degree yet","128","0.91189112063937","0.866069467247769","0.957712774030971"
"Yes","2012","Not Employed","lower secondary degree","509","0.123554150534927","0.113269789085492","0.133838511984363"
"Yes","2012","Not Employed","secondary school degree","466","0.250410724960051","0.231493879730809","0.269327570189293"
"Yes","2012","Not Employed","college entrance qualification","371","0.294153111411514","0.269383545794225","0.318922677028803"
"Yes","2012","Not Employed","Other degree","40","0.0578389635973306","0.0404713088625456","0.0752066183321156"
"Yes","2012","Not Employed","no degree/no degree yet","43","0.068327489855496","0.046987690974484","0.0896672887365079"
"Yes","2012","Employed","lower secondary degree","750","0.218891027984495","0.20534989217532","0.23243216379367"
"Yes","2012","Employed","secondary school degree","1479","0.269626189676466","0.258000356931076","0.281252022421856"
"Yes","2012","Employed","college entrance qualification","1478","0.329843665314997","0.315857606971772","0.343829723658222"
"Yes","2012","Employed","Other degree","110","0.098808348727228","0.0808950780108385","0.116721619443618"
"Yes","2012","Employed","no degree/no degree yet","22","","",""
"No","2012","Not Employed","lower secondary degree","3424","0.876445849465073","0.866161488015637","0.886730210914508"
"No","2012","Not Employed","secondary school degree","1549","0.749589275039949","0.730672429810707","0.768506120269191"
"No","2012","Not Employed","college entrance qualification","929","0.705846888588486","0.681077322971197","0.730616454205775"
"No","2012","Not Employed","Other degree","654","0.942161036402669","0.924793381667884","0.959528691137454"
"No","2012","Not Employed","no degree/no degree yet","494","0.931672510144504","0.910332711263492","0.953012309025516"
"No","2012","Employed","lower secondary degree","2832","0.781108972015505","0.76756783620633","0.79465010782468"
"No","2012","Employed","secondary school degree","4118","0.730373810323534","0.718747977578144","0.741999643068924"
"No","2012","Employed","college entrance qualification","2863","0.670156334685003","0.656170276341778","0.684142393028228"
"No","2012","Employed","Other degree","956","0.901191651272772","0.883278380556383","0.919104921989161"
"No","2012","Employed","no degree/no degree yet","248","0.927257978062921","0.896279563842344","0.958236392283497"
"Yes","2013","Not Employed","lower secondary degree","473","0.137531850259873","0.125521754950451","0.149541945569296"
"Yes","2013","Not Employed","secondary school degree","405","0.285342494445264","0.262123281729848","0.30856170716068"
"Yes","2013","Not Employed","college entrance qualification","301","0.330310240363487","0.299968178564554","0.360652302162419"
"Yes","2013","Not Employed","Other degree","38","0.0839267348768081","0.0581355155857829","0.109717954167833"
"Yes","2013","Not Employed","no degree/no degree yet","42","0.153159753929259","0.111566306112796","0.194753201745722"
"Yes","2013","Employed","lower secondary degree","551","0.243272917973328","0.225995371042338","0.260550464904318"
"Yes","2013","Employed","secondary school degree","1031","0.291824619951148","0.276889267578043","0.306759972324252"
"Yes","2013","Employed","college entrance qualification","993","0.339836956786718","0.322395381340292","0.357278532233144"
"Yes","2013","Employed","Other degree","61","0.106623017210939","0.0800447860304843","0.133201248391393"
"Yes","2013","Employed","no degree/no degree yet","19","","",""
"No","2013","Not Employed","lower secondary degree","2686","0.862468149740127","0.850458054430704","0.87447824504955"
"No","2013","Not Employed","secondary school degree","1048","0.714657505554736","0.69143829283932","0.737876718270152"
"No","2013","Not Employed","college entrance qualification","622","0.669689759636513","0.639347697837581","0.700031821435446"
"No","2013","Not Employed","Other degree","406","0.916073265123192","0.890282045832167","0.941864484414217"
"No","2013","Not Employed","no degree/no degree yet","246","0.846840246070741","0.805246798254278","0.888433693887204"
"No","2013","Employed","lower secondary degree","1818","0.756727082026672","0.739449535095682","0.774004628957662"
"No","2013","Employed","secondary school degree","2528","0.708175380048852","0.693240027675748","0.723110732421957"
"No","2013","Employed","college entrance qualification","1840","0.660163043213282","0.642721467766856","0.677604618659708"
"No","2013","Employed","Other degree","457","0.893376982789062","0.866798751608607","0.919955213969516"
"No","2013","Employed","no degree/no degree yet","126","0.911728790286351","0.865553837119348","0.957903743453355"
"Yes","2014","Not Employed","lower secondary degree","485","0.141379276542197","0.129580981617145","0.153177571467249"
"Yes","2014","Not Employed","secondary school degree","490","0.298022552022375","0.277129237529633","0.318915866515118"
"Yes","2014","Not Employed","college entrance qualification","361","0.31817092239496","0.291618303909984","0.344723540879937"
"Yes","2014","Not Employed","Other degree","54","0.0726525279458561","0.0569149984496769","0.0883900574420354"
"Yes","2014","Not Employed","no degree/no degree yet","51","0.0979129716477037","0.07430907092047","0.121516872374937"
"Yes","2014","Employed","lower secondary degree","731","0.234817927459782","0.220142792883499","0.249493062036064"
"Yes","2014","Employed","secondary school degree","1388","0.288780736985153","0.276221533038936","0.30133994093137"
"Yes","2014","Employed","college entrance qualification","1468","0.340472414369943","0.326262550519272","0.354682278220613"
"Yes","2014","Employed","Other degree","198","0.0969342519040107","0.0843929518872644","0.109475551920757"
"Yes","2014","Employed","no degree/no degree yet","26","","",""
"No","2014","Not Employed","lower secondary degree","2865","0.858620723457803","0.846822428532751","0.870419018382855"
"No","2014","Not Employed","secondary school degree","1351","0.701977447977625","0.681084133484882","0.722870762470367"
"No","2014","Not Employed","college entrance qualification","821","0.68182907760504","0.655276459120063","0.708381696090016"
"No","2014","Not Employed","Other degree","991","0.927347472054144","0.911609942557965","0.943085001550323"
"No","2014","Not Employed","no degree/no degree yet","558","0.902087028352296","0.878483127625063","0.92569092907953"
"No","2014","Employed","lower secondary degree","2474","0.765182072540218","0.750506937963936","0.779857207116501"
"No","2014","Employed","secondary school degree","3614","0.711219263014847","0.69866005906863","0.723778466961064"
"No","2014","Employed","college entrance qualification","2804","0.659527585630057","0.645317721779387","0.673737449480728"
"No","2014","Employed","Other degree","1940","0.903065748095989","0.890524448079243","0.915607048112736"
"No","2014","Employed","no degree/no degree yet","305","0.932773026641599","0.905796013518052","0.959750039765147"
"Yes","2015","Not Employed","lower secondary degree","","","",""
"Yes","2015","Not Employed","secondary school degree","","","",""
"Yes","2015","Not Employed","college entrance qualification","","","",""
"Yes","2015","Not Employed","Other degree","","","",""
