"ple0098_v5","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Yes","2000","no migration background","middle vocational","940","0.0984675208002509","0.0926958848501191","0.104239156750383","1"
"Yes","2000","no migration background","vocational + Abi","108","0.161440189236546","0.134508638298573","0.188371740174519","1"
"Yes","2000","no migration background","higher vocational","161","0.111276782641799","0.0950060284656875","0.127547536817911","1"
"Yes","2000","no migration background","higher education","381","0.185011489908374","0.169424219889817","0.20059875992693","1"
"Yes","2000","direct migration background","in school","2","","","","1"
"Yes","2000","direct migration background","inadequately","4","","","","1"
"Yes","2000","direct migration background","general elemantary","5","","","","1"
"Yes","2000","direct migration background","middle vocational","41","0.0394648117920561","0.0283794320856315","0.0505501914984807","1"
"Yes","2000","direct migration background","vocational + Abi","13","","","","1"
"Yes","2000","direct migration background","higher vocational","12","","","","1"
"Yes","2000","direct migration background","higher education","34","0.123970961872702","0.0889419514156245","0.158999972329779","1"
"Yes","2000","indirect migration background","in school","2","","","","1"
"Yes","2000","indirect migration background","inadequately","","","","","1"
"Yes","2000","indirect migration background","general elemantary","9","","","","1"
"Yes","2000","indirect migration background","middle vocational","22","","","","1"
"Yes","2000","indirect migration background","vocational + Abi","1","","","","1"
"Yes","2000","indirect migration background","higher vocational","3","","","","1"
"Yes","2000","indirect migration background","higher education","7","","","","1"
"No","2001","indirect migration background","middle vocational","275","0.897027954127101","0.862636532933913","0.931419375320289","2"
"No","2001","indirect migration background","general elemantary","223","0.945256346923144","0.915857800249788","0.9746548935965","2"
"No","2001","indirect migration background","inadequately","14","","","","2"
"No","2001","indirect migration background","higher education","35","0.711503150842746","0.579129732154704","0.843876569530788","2"
"No","2001","indirect migration background","vocational + Abi","34","0.876454171646786","0.770424875601883","0.98248346769169","2"
"No","2001","indirect migration background","higher vocational","30","0.831268471571706","0.705382479388285","0.957154463755126","2"
"No","2001","direct migration background","vocational + Abi","237","0.957999559155665","0.932882162278543","0.983116956032786","2"
"No","2001","direct migration background","higher education","276","0.900809523420085","0.866871118112339","0.934747928727831","2"
"No","2001","direct migration background","middle vocational","1013","0.961035286828924","0.949302657376842","0.972767916281006","2"
"No","2001","direct migration background","higher vocational","148","0.941274424288185","0.904261447684809","0.978287400891561","2"
"No","2001","indirect migration background","in school","55","0.898029854555864","0.820151637356691","0.975908071755036","2"
"No","2001","no migration background","in school","322","0.926180606400447","0.898747912621607","0.953613300179287","2"
"No","2001","no migration background","inadequately","82","0.974601505857043","0.941154584317794","1.00804842739629","2"
"No","2001","no migration background","general elemantary","1933","0.963431213280051","0.955239763483087","0.971622663077015","2"
"No","2001","no migration background","middle vocational","8429","0.898203700215158","0.892056177064806","0.904351223365511","2"
"No","2001","no migration background","higher vocational","1133","0.878183613856775","0.860279633249918","0.896087594463632","2"
"No","2001","no migration background","higher education","1879","0.816012149662834","0.799930205694271","0.832094093631397","2"
"No","2001","direct migration background","in school","44","1","1","1","2"
"No","2001","direct migration background","inadequately","207","0.992849716199019","0.981399338264193","1.00430009413385","2"
"No","2001","direct migration background","general elemantary","757","0.992639563235967","0.986578497488798","0.998700628983136","2"
"No","2001","no migration background","vocational + Abi","574","0.825082639655795","0.796777830834682","0.853387448476909","2"
"Yes","2001","no migration background","in school","27","","","","1"
"Yes","2001","no migration background","inadequately","3","","","","1"
"Yes","2001","no migration background","general elemantary","84","0.0365687867199489","0.0283773369229848","0.044760236516913","1"
"Yes","2001","no migration background","middle vocational","865","0.101796299784842","0.0956487766344894","0.107943822935194","1"
"Yes","2001","no migration background","vocational + Abi","118","0.174917360344205","0.146612551523091","0.203222169165318","1"
"Yes","2001","no migration background","higher vocational","149","0.121816386143225","0.103912405536368","0.139720366750082","1"
"Yes","2001","no migration background","higher education","351","0.183987850337166","0.167905906368603","0.200069794305729","1"
"Yes","2001","direct migration background","in school","","","","","1"
"Yes","2001","direct migration background","inadequately","1","","","","1"
"Yes","2001","direct migration background","general elemantary","7","","","","1"
"Yes","2001","direct migration background","middle vocational","32","0.0389647131710758","0.0272320837189938","0.0506973426231578","1"
"Yes","2001","direct migration background","vocational + Abi","8","","","","1"
"Yes","2001","direct migration background","higher vocational","7","","","","1"
"Yes","2001","direct migration background","higher education","22","","","","1"
"Yes","2001","indirect migration background","in school","3","","","","1"
"Yes","2001","indirect migration background","inadequately","","","","","1"
"Yes","2001","indirect migration background","general elemantary","7","","","","1"
"Yes","2001","indirect migration background","middle vocational","25","","","","1"
"Yes","2001","indirect migration background","vocational + Abi","3","","","","1"
"Yes","2001","indirect migration background","higher vocational","4","","","","1"
"Yes","2001","indirect migration background","higher education","10","","","","1"
"No","2002","indirect migration background","higher education","43","0.801746997211919","0.694412651263267","0.90908134316057","2"
"No","2002","indirect migration background","middle vocational","274","0.919840982559082","0.889062651477572","0.950619313640592","2"
"No","2002","indirect migration background","general elemantary","188","0.940276042029429","0.907100194134687","0.973451889924172","2"
"No","2002","indirect migration background","inadequately","10","","","","2"
"No","2002","indirect migration background","higher vocational","30","0.906447044424091","0.808563743338941","1.00433034550924","2"
"No","2002","indirect migration background","vocational + Abi","32","0.93943787801997","0.86041576395696","1.01845999208298","2"
"No","2002","direct migration background","middle vocational","932","0.950246715205232","0.936612508401116","0.963880922009349","2"
"No","2002","direct migration background","vocational + Abi","219","0.955425803553269","0.928870923560863","0.981980683545675","2"
"No","2002","direct migration background","higher vocational","143","0.922422527531386","0.879613513552835","0.965231541509938","2"
"No","2002","direct migration background","higher education","277","0.906675716900876","0.874189730649559","0.939161703152194","2"
"No","2002","indirect migration background","in school","71","0.978096021471728","0.944519251944191","1.01167279099926","2"
"No","2002","no migration background","in school","331","0.924871215015818","0.897975770773078","0.951766659258559","2"
"No","2002","no migration background","inadequately","79","0.995715274374256","0.981402224300982","1.01002832444753","2"
"No","2002","no migration background","general elemantary","1830","0.959179382518823","0.950326181891482","0.968032583146163","2"
"No","2002","no migration background","middle vocational","8160","0.886280660386379","0.879807171477086","0.892754149295672","2"
"No","2002","no migration background","higher vocational","1119","0.861785316325582","0.843053239408558","0.880517393242605","2"
"No","2002","no migration background","higher education","2024","0.807389890719979","0.792014482239837","0.822765299200121","2"
"No","2002","direct migration background","in school","51","1","1","1","2"
"No","2002","direct migration background","inadequately","187","0.99234872203534","0.979893017041645","1.00480442702904","2"
"No","2002","direct migration background","general elemantary","688","0.986277803945185","0.977634995035749","0.994920612854621","2"
"No","2002","no migration background","vocational + Abi","636","0.839855825322516","0.814035888099877","0.865675762545154","2"
"Yes","2002","indirect migration background","general elemantary","8","","","","1"
"Yes","2002","indirect migration background","middle vocational","25","","","","1"
"Yes","2002","indirect migration background","vocational + Abi","3","","","","1"
"Yes","2002","indirect migration background","higher vocational","4","","","","1"
"Yes","2002","indirect migration background","higher education","10","","","","1"
"Yes","2002","no migration background","in school","38","0.0751287849841816","0.048233340741441","0.102024229226922","1"
"Yes","2002","no migration background","inadequately","1","","","","1"
"Yes","2002","no migration background","general elemantary","89","0.0408206174811775","0.0319674168538365","0.0496738181085185","1"
"Yes","2002","no migration background","middle vocational","1079","0.113719339613621","0.107245850704328","0.120192828522914","1"
"Yes","2002","no migration background","vocational + Abi","139","0.160144174677484","0.134324237454846","0.185964111900123","1"
"Yes","2002","no migration background","higher vocational","185","0.138214683674418","0.119482606757395","0.156946760591442","1"
"Yes","2002","no migration background","higher education","503","0.192610109280021","0.177234700799879","0.207985517760163","1"
"Yes","2002","direct migration background","in school","","","","","1"
"Yes","2002","direct migration background","inadequately","1","","","","1"
"Yes","2002","direct migration background","general elemantary","8","","","","1"
"Yes","2002","direct migration background","middle vocational","45","0.0497532847947676","0.0361190779906509","0.0633874915988844","1"
"Yes","2002","direct migration background","vocational + Abi","13","","","","1"
"Yes","2002","direct migration background","higher vocational","7","","","","1"
"Yes","2002","direct migration background","higher education","31","0.0933242830991237","0.0608382968478064","0.125810269350441","1"
"Yes","2002","indirect migration background","in school","2","","","","1"
"Yes","2002","indirect migration background","inadequately","","","","","1"
"No","2003","indirect migration background","higher education","41","0.779744112514076","0.666006837716887","0.893481387311266","2"
"No","2003","indirect migration background","general elemantary","173","0.92697624141925","0.88938336366632","0.964569119172179","2"
"No","2003","indirect migration background","inadequately","11","","","","2"
"No","2003","indirect migration background","middle vocational","275","0.89663715562095","0.862527450140659","0.930746861101242","2"
"No","2003","indirect migration background","higher vocational","31","0.939962349000907","0.861261187159317","1.0186635108425","2"
"No","2003","indirect migration background","vocational + Abi","37","0.742977235528944","0.609216172491079","0.87673829856681","2"
"No","2003","direct migration background","middle vocational","894","0.954558036148485","0.941194020232813","0.967922052064158","2"
"No","2003","direct migration background","vocational + Abi","209","0.96668645486569","0.94291918616894","0.99045372356244","2"
"No","2003","direct migration background","higher vocational","122","0.927932473066661","0.883307164512182","0.97255778162114","2"
"No","2003","direct migration background","higher education","263","0.902779337452043","0.868857109024092","0.936701565879994","2"
"No","2003","indirect migration background","in school","57","1","1","1","2"
"No","2003","no migration background","in school","349","0.909416392551198","0.880894424727153","0.937938360375244","2"
"No","2003","no migration background","inadequately","81","0.984708257914195","0.958309024430302","1.01110749139809","2"
"No","2003","no migration background","general elemantary","1745","0.957816311258558","0.94861184208471","0.967020780432407","2"
"No","2003","no migration background","middle vocational","7802","0.887083920293898","0.880484511009005","0.893683329578791","2"
"No","2003","no migration background","higher vocational","1104","0.865631911501191","0.846904486104406","0.884359336897976","2"
"No","2003","no migration background","higher education","1940","0.791662822263024","0.775535474072603","0.807790170453445","2"
"No","2003","direct migration background","in school","46","0.969753810161454","0.921303835253312","1.0182037850696","2"
"No","2003","direct migration background","inadequately","165","0.991214403747548","0.977018486151009","1.00541032134409","2"
"No","2003","direct migration background","general elemantary","650","0.993173164494557","0.986862407979319","0.999483921009796","2"
"No","2003","no migration background","vocational + Abi","612","0.822140731946676","0.795060957716228","0.849220506177123","2"
"Yes","2003","indirect migration background","general elemantary","11","","","","1"
"Yes","2003","indirect migration background","middle vocational","31","0.103362844379049","0.0692531388987576","0.137472549859341","1"
"Yes","2003","indirect migration background","vocational + Abi","4","","","","1"
"Yes","2003","indirect migration background","higher vocational","4","","","","1"
"Yes","2003","indirect migration background","higher education","10","","","","1"
"Yes","2003","no migration background","in school","40","0.0905836074488017","0.0620616396247561","0.119105575272847","1"
"Yes","2003","no migration background","inadequately","2","","","","1"
"Yes","2003","no migration background","general elemantary","87","0.042183688741442","0.0329792195675935","0.0513881579152905","1"
"Yes","2003","no migration background","middle vocational","1033","0.112916079706102","0.106316670421209","0.119515488990994","1"
"Yes","2003","no migration background","vocational + Abi","154","0.177859268053324","0.150779493822877","0.204939042283772","1"
"Yes","2003","no migration background","higher vocational","170","0.134368088498809","0.115640663102024","0.153095513895594","1"
"Yes","2003","no migration background","higher education","496","0.208337177736976","0.192209829546555","0.224464525927397","1"
"Yes","2003","direct migration background","in school","2","","","","1"
"Yes","2003","direct migration background","inadequately","1","","","","1"
"Yes","2003","direct migration background","general elemantary","4","","","","1"
"Yes","2003","direct migration background","middle vocational","39","0.0454419638515146","0.0320779479358422","0.0588059797671869","1"
"Yes","2003","direct migration background","vocational + Abi","10","","","","1"
"Yes","2003","direct migration background","higher vocational","7","","","","1"
"Yes","2003","direct migration background","higher education","30","0.0972206625479573","0.063298434120006","0.131142890975909","1"
"Yes","2003","indirect migration background","in school","","","","","1"
"Yes","2003","indirect migration background","inadequately","","","","","1"
"No","2004","indirect migration background","inadequately","12","","","","2"
"No","2004","indirect migration background","middle vocational","271","0.868196880262097","0.829917982913073","0.906475777611121","2"
"No","2004","indirect migration background","higher education","34","0.753803447330554","0.625042576091574","0.882564318569534","2"
"No","2004","indirect migration background","general elemantary","178","0.952619762134319","0.922005722611905","0.983233801656732","2"
"No","2004","indirect migration background","vocational + Abi","42","0.920809028778916","0.842773604793664","0.998844452764168","2"
"No","2004","indirect migration background","higher vocational","32","0.863655711760314","0.75156086697064","0.975750556549989","2"
"No","2004","direct migration background","vocational + Abi","205","0.958221853093661","0.931477229931899","0.984966476255424","2"
"No","2004","direct migration background","higher education","251","0.911956258728764","0.878884310044065","0.945028207413464","2"
"No","2004","direct migration background","middle vocational","865","0.955127619726626","0.941624799937323","0.968630439515929","2"
"No","2004","direct migration background","higher vocational","124","0.925562646803465","0.880953836457649","0.970171457149281","2"
"No","2004","indirect migration background","in school","68","0.911245784272196","0.846008042045717","0.976483526498675","2"
"No","2004","no migration background","higher vocational","1036","0.840900819593","0.820476429520454","0.861325209665545","2"
"No","2004","no migration background","higher education","1882","0.777268360892211","0.760646237673783","0.793890484110638","2"
"No","2004","direct migration background","in school","53","0.954736462597846","0.900769663029259","1.00870326216643","2"
"No","2004","direct migration background","inadequately","155","1","1","1","2"
"No","2004","direct migration background","general elemantary","601","0.979571919155418","0.968364533222364","0.990779305088472","2"
"No","2004","no migration background","in school","329","0.908637719889081","0.879119756217685","0.938155683560477","2"
"No","2004","no migration background","inadequately","82","1","1","1","2"
"No","2004","no migration background","general elemantary","1614","0.945956992025576","0.93524981798409","0.956664166067063","2"
"No","2004","no migration background","middle vocational","7536","0.882431757007302","0.875619156256184","0.88924435775842","2"
"No","2004","no migration background","vocational + Abi","598","0.810995362858135","0.783233613625625","0.838757112090645","2"
"Yes","2004","indirect migration background","general elemantary","7","","","","1"
"Yes","2004","indirect migration background","middle vocational","29","","","","1"
"Yes","2004","indirect migration background","vocational + Abi","4","","","","1"
"Yes","2004","indirect migration background","higher vocational","4","","","","1"
"Yes","2004","indirect migration background","higher education","9","","","","1"
"Yes","2004","no migration background","in school","37","0.0913622801109193","0.0618443164395235","0.120880243782315","1"
"Yes","2004","no migration background","inadequately","","","","","1"
"Yes","2004","no migration background","general elemantary","99","0.0540430079744235","0.0433358339329366","0.0647501820159103","1"
"Yes","2004","no migration background","middle vocational","1051","0.117568242992698","0.11075564224158","0.124380843743816","1"
"Yes","2004","no migration background","vocational + Abi","166","0.189004637141865","0.161242887909355","0.216766386374375","1"
"Yes","2004","no migration background","higher vocational","196","0.159099180407","0.138674790334455","0.179523570479546","1"
"Yes","2004","no migration background","higher education","525","0.222731639107789","0.206109515889362","0.239353762326217","1"
"Yes","2004","direct migration background","in school","4","","","","1"
"Yes","2004","direct migration background","inadequately","","","","","1"
"Yes","2004","direct migration background","general elemantary","11","","","","1"
"Yes","2004","direct migration background","middle vocational","38","0.0448723802733743","0.031369560484071","0.0583752000626775","1"
"Yes","2004","direct migration background","vocational + Abi","10","","","","1"
"Yes","2004","direct migration background","higher vocational","9","","","","1"
"Yes","2004","direct migration background","higher education","31","0.0880437412712357","0.0549717925865363","0.121115689955935","1"
"Yes","2004","indirect migration background","in school","5","","","","1"
"Yes","2004","indirect migration background","inadequately","","","","","1"
"No","2005","indirect migration background","higher education","38","0.856622989162348","0.757479980095399","0.955765998229297","2"
"No","2005","indirect migration background","higher vocational","30","0.82516474123732","0.701090484501879","0.94923899797276","2"
"No","2005","indirect migration background","inadequately","10","","","","2"
"No","2005","indirect migration background","middle vocational","273","0.8300957211328","0.788424422033861","0.871767020231739","2"
"No","2005","indirect migration background","general elemantary","170","0.980762297860188","0.960411213899446","1.00111338182093","2"
"No","2005","indirect migration background","vocational + Abi","40","0.904347710256502","0.816439534004911","0.992255886508094","2"
"No","2005","direct migration background","middle vocational","776","0.934184159583632","0.917264072970339","0.951104246196925","2"
"No","2005","direct migration background","vocational + Abi","193","0.941531873801608","0.90933526664992","0.973728480953295","2"
"No","2005","direct migration background","higher vocational","112","0.895984489254824","0.842467412483882","0.949501566025765","2"
"No","2005","direct migration background","higher education","232","0.901243393741346","0.865323976688497","0.937162810794194","2"
"No","2005","indirect migration background","in school","79","0.951351072716604","0.904787295235741","0.997914850197467","2"
"No","2005","no migration background","higher vocational","965","0.831321188916946","0.809678368219182","0.85296400961471","2"
"No","2005","no migration background","higher education","1837","0.777404899446389","0.760593228944668","0.79421656994811","2"
"No","2005","direct migration background","in school","48","0.95948285164234","0.904831471579962","1.01413423170472","2"
"No","2005","direct migration background","inadequately","144","0.984247225723316","0.963979980859557","1.00451447058708","2"
"No","2005","direct migration background","general elemantary","556","0.994199328259478","0.987909627918311","1.00048902860065","2"
"No","2005","no migration background","in school","343","0.900434523542166","0.870169945328271","0.930699101756061","2"
"No","2005","no migration background","inadequately","81","1","1","1","2"
"No","2005","no migration background","general elemantary","1498","0.934453479803152","0.922300189662832","0.946606769943471","2"
"No","2005","no migration background","middle vocational","7024","0.866802528783051","0.859417864107431","0.874187193458671","2"
"No","2005","no migration background","vocational + Abi","569","0.781041681713216","0.751660206819942","0.810423156606489","2"
"Yes","2005","indirect migration background","general elemantary","5","","","","1"
"Yes","2005","indirect migration background","middle vocational","39","0.1699042788672","0.128232979768261","0.211575577966139","1"
"Yes","2005","indirect migration background","vocational + Abi","3","","","","1"
"Yes","2005","indirect migration background","higher vocational","6","","","","1"
"Yes","2005","indirect migration background","higher education","10","","","","1"
"Yes","2005","direct migration background","vocational + Abi","11","","","","1"
"Yes","2005","direct migration background","higher vocational","13","","","","1"
"Yes","2005","direct migration background","higher education","33","0.0987566062586544","0.0628371892058061","0.134676023311503","1"
"Yes","2005","indirect migration background","in school","3","","","","1"
"Yes","2005","indirect migration background","inadequately","","","","","1"
"Yes","2005","no migration background","in school","33","0.099565476457834","0.0693008982439391","0.129830054671729","1"
"Yes","2005","no migration background","inadequately","","","","","1"
"Yes","2005","no migration background","general elemantary","95","0.0655465201968484","0.0533932300565291","0.0776998103371676","1"
"Yes","2005","no migration background","middle vocational","1109","0.133197471216949","0.125812806541329","0.140582135892569","1"
"Yes","2005","no migration background","vocational + Abi","192","0.218958318286784","0.189576843393511","0.248339793180057","1"
"Yes","2005","no migration background","higher vocational","185","0.168678811083054","0.14703599038529","0.190321631780818","1"
"Yes","2005","no migration background","higher education","515","0.222595100553611","0.20578343005189","0.239406771055332","1"
"Yes","2005","direct migration background","in school","2","","","","1"
"Yes","2005","direct migration background","inadequately","1","","","","1"
"Yes","2005","direct migration background","general elemantary","4","","","","1"
"Yes","2005","direct migration background","middle vocational","49","0.0658158404163685","0.0488957538030753","0.0827359270296616","1"
"No","2006","indirect migration background","higher education","44","0.843912282692616","0.747110305099729","0.940714260285504","2"
"No","2006","indirect migration background","middle vocational","271","0.833734665863211","0.792877566205361","0.874591765521061","2"
"No","2006","indirect migration background","higher vocational","29","","","","2"
"No","2006","indirect migration background","general elemantary","165","0.953327302431689","0.92207503488704","0.984579569976338","2"
"No","2006","indirect migration background","vocational + Abi","42","0.885265476456305","0.794151923064945","0.976379029847665","2"
"No","2006","indirect migration background","inadequately","10","","","","2"
"No","2006","direct migration background","middle vocational","793","0.929392535260947","0.912181451829372","0.946603618692523","2"
"No","2006","direct migration background","vocational + Abi","191","0.912545649742213","0.874154207111879","0.950937092372547","2"
"No","2006","direct migration background","higher vocational","125","0.929041497800767","0.885568912498528","0.972514083103005","2"
"No","2006","direct migration background","higher education","238","0.86425386820589","0.824418088830956","0.904089647580824","2"
"No","2006","indirect migration background","in school","46","0.935834030703899","0.866510724231084","1.00515733717671","2"
"No","2006","no migration background","higher vocational","1004","0.823407708011629","0.802045274804521","0.844770141218737","2"
"No","2006","no migration background","higher education","1950","0.741733225610121","0.724906365383736","0.758560085836506","2"
"No","2006","direct migration background","in school","30","1","1","1","2"
"No","2006","direct migration background","inadequately","130","0.978504542634755","0.953669368390503","1.00333971687901","2"
"No","2006","direct migration background","general elemantary","530","0.990506501396092","0.982304822563959","0.998708180228225","2"
"No","2006","no migration background","in school","187","0.834446009539476","0.783935078782765","0.884956940296188","2"
"No","2006","no migration background","inadequately","93","0.973781201936421","0.941650266387134","1.00591213748571","2"
"No","2006","no migration background","general elemantary","1578","0.937051498928102","0.925461991553718","0.948641006302485","2"
"No","2006","no migration background","middle vocational","7484","0.853741184349045","0.846386578698429","0.861095789999662","2"
"No","2006","no migration background","vocational + Abi","590","0.725177486893731","0.694933873914434","0.755421099873028","2"
"Yes","2006","indirect migration background","general elemantary","10","","","","1"
"Yes","2006","indirect migration background","middle vocational","48","0.166265334136789","0.125408234478939","0.207122433794639","1"
"Yes","2006","indirect migration background","vocational + Abi","5","","","","1"
"Yes","2006","indirect migration background","higher vocational","7","","","","1"
"Yes","2006","indirect migration background","higher education","10","","","","1"
"Yes","2006","direct migration background","vocational + Abi","17","","","","1"
"Yes","2006","direct migration background","higher vocational","9","","","","1"
"Yes","2006","direct migration background","higher education","46","0.13574613179411","0.0959103524191756","0.175581911169044","1"
"Yes","2006","indirect migration background","in school","2","","","","1"
"Yes","2006","indirect migration background","inadequately","1","","","","1"
"Yes","2006","no migration background","in school","21","","","","1"
"Yes","2006","no migration background","inadequately","2","","","","1"
"Yes","2006","no migration background","general elemantary","109","0.0629485010718982","0.0513589936975147","0.0745380084462816","1"
"Yes","2006","no migration background","middle vocational","1384","0.146258815650955","0.138904210000338","0.153613421301571","1"
"Yes","2006","no migration background","vocational + Abi","247","0.274822513106269","0.244578900126972","0.305066126085566","1"
"Yes","2006","no migration background","higher vocational","220","0.176592291988371","0.155229858781263","0.197954725195478","1"
"Yes","2006","no migration background","higher education","649","0.258266774389879","0.241439914163494","0.275093634616264","1"
"Yes","2006","direct migration background","in school","","","","","1"
"Yes","2006","direct migration background","inadequately","1","","","","1"
"Yes","2006","direct migration background","general elemantary","7","","","","1"
"Yes","2006","direct migration background","middle vocational","58","0.0706074647390525","0.0533963813074767","0.0878185481706283","1"
"No","2007","indirect migration background","vocational + Abi","40","0.829227842669299","0.721644599470466","0.936811085868131","2"
"No","2007","indirect migration background","higher education","49","0.844318414784027","0.752581481225709","0.936055348342344","2"
"No","2007","indirect migration background","higher vocational","26","","","","2"
"No","2007","indirect migration background","middle vocational","256","0.812864350574424","0.769165030397679","0.856563670751168","2"
"No","2007","indirect migration background","inadequately","9","","","","2"
"No","2007","indirect migration background","general elemantary","147","0.961435637927219","0.930924699913028","0.991946575941409","2"
"No","2007","direct migration background","vocational + Abi","179","0.902366765933727","0.860918595833244","0.94381493603421","2"
"No","2007","indirect migration background","in school","42","1","1","1","2"
"No","2007","direct migration background","middle vocational","703","0.929706096929857","0.911507196167465","0.947904997692249","2"
"No","2007","direct migration background","higher vocational","106","0.865057605668348","0.803927634876398","0.926187576460299","2"
"No","2007","direct migration background","higher education","234","0.86764947357703","0.828028064054838","0.907270883099222","2"
"No","2007","no migration background","higher vocational","902","0.787642613619695","0.76388103729205","0.811404189947339","2"
"No","2007","no migration background","higher education","1808","0.720989763295178","0.703358958098012","0.738620568492344","2"
