"ple0098_v5","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2000","lower secondary degree","direct migration background","24","","",""
"Yes","2000","lower secondary degree","indirect migration background","12","","",""
"Yes","2000","secondary school degree","no migration background","644","0.128018567320029","0.119362386535278","0.13667474810478"
"Yes","2000","secondary school degree","direct migration background","24","","",""
"Yes","2000","secondary school degree","indirect migration background","20","","",""
"Yes","2000","college entrance qualification","no migration background","498","0.178360152082527","0.16479870324142","0.191921600923635"
"Yes","2000","college entrance qualification","direct migration background","23","","",""
"Yes","2000","college entrance qualification","indirect migration background","9","","",""
"Yes","2000","Other degree","no migration background","4","","",""
"Yes","2000","Other degree","direct migration background","33","0.0291666802987487","0.0200992545863941","0.0382341060111034"
"Yes","2000","Other degree","indirect migration background","1","","",""
"Yes","2000","no degree/no degree yet","no migration background","28","","",""
"Yes","2000","no degree/no degree yet","direct migration background","7","","",""
"Yes","2000","no degree/no degree yet","indirect migration background","2","","",""
"No","2000","lower secondary degree","no migration background","7676","0.931011479166399","0.925534104172019","0.936488854160779"
"No","2000","lower secondary degree","direct migration background","834","0.96573874421352","0.953567473748165","0.977910014678876"
"No","2000","lower secondary degree","indirect migration background","304","0.947527681986315","0.922942941512581","0.972112422460048"
"No","2000","secondary school degree","no migration background","5079","0.871981432679971","0.86332525189522","0.880637613464722"
"No","2000","secondary school degree","direct migration background","274","0.905560876236944","0.872358072449228","0.93876368002466"
"No","2000","secondary school degree","indirect migration background","209","0.884722699583329","0.843360289721861","0.926085109444797"
"No","2000","college entrance qualification","no migration background","2563","0.821639847917473","0.808078399076365","0.83520129675858"
"No","2000","college entrance qualification","direct migration background","268","0.907985727069991","0.87477573997738","0.941195714162603"
"No","2000","college entrance qualification","indirect migration background","135","0.941070497193864","0.902607394660816","0.979533599726911"
"No","2000","Other degree","no migration background","115","0.970701220246941","0.940401252609825","1.00100118788406"
"No","2000","Other degree","direct migration background","1290","0.970833319701251","0.961765893988897","0.979900745413606"
"No","2000","Other degree","indirect migration background","19","","",""
"No","2000","no degree/no degree yet","no migration background","349","0.924618021114014","0.897968318943232","0.951267723284795"
"No","2000","no degree/no degree yet","direct migration background","374","0.981769260877322","0.968335659517138","0.995202862237507"
"No","2000","no degree/no degree yet","indirect migration background","69","0.931453366095214","0.872678379146046","0.990228353044383"
"Yes","2001","lower secondary degree","no migration background","498","0.0715478399947852","0.0656060534210941","0.0774896265684762"
"Yes","2001","lower secondary degree","direct migration background","22","","",""
"Yes","2001","lower secondary degree","indirect migration background","12","","",""
"Yes","2001","secondary school degree","no migration background","582","0.126928178839615","0.117960064139733","0.135896293539498"
"Yes","2001","secondary school degree","direct migration background","15","","",""
"Yes","2001","secondary school degree","indirect migration background","20","","",""
"Yes","2001","college entrance qualification","no migration background","479","0.180123145340275","0.16612218253596","0.194124108144589"
"Yes","2001","college entrance qualification","direct migration background","17","","",""
"Yes","2001","college entrance qualification","indirect migration background","16","","",""
"Yes","2001","Other degree","no migration background","4","","",""
"Yes","2001","Other degree","direct migration background","22","","",""
"Yes","2001","Other degree","indirect migration background","1","","",""
"Yes","2001","no degree/no degree yet","no migration background","33","0.083517063376849","0.0573675469133987","0.109666579840299"
"Yes","2001","no degree/no degree yet","direct migration background","1","","",""
"Yes","2001","no degree/no degree yet","indirect migration background","3","","",""
"No","2001","lower secondary degree","no migration background","6730","0.928452160005215","0.922510373431524","0.934393946578906"
"No","2001","lower secondary degree","direct migration background","736","0.967145254613079","0.954455348943387","0.979835160282772"
"No","2001","lower secondary degree","indirect migration background","278","0.948730346185502","0.923346894337968","0.974113798033035"
"No","2001","secondary school degree","no migration background","4711","0.873071821160385","0.864103706460502","0.882039935860267"
"No","2001","secondary school degree","direct migration background","256","0.907493257592884","0.872997011058811","0.941989504126958"
"No","2001","secondary school degree","indirect migration background","178","0.855736836011404","0.806796906909756","0.904676765113052"
"No","2001","college entrance qualification","no migration background","2415","0.819876854659725","0.805875891855411","0.83387781746404"
"No","2001","college entrance qualification","direct migration background","237","0.911288068028632","0.876321734696591","0.946254401360672"
"No","2001","college entrance qualification","indirect migration background","128","0.837782722323959","0.777570993200448","0.897994451447469"
"No","2001","Other degree","no migration background","91","0.975497741138832","0.944409046703029","1.00658643557463"
"No","2001","Other degree","direct migration background","1176","0.97876026661347","0.970595714268572","0.986924818958367"
"No","2001","Other degree","indirect migration background","18","","",""
"No","2001","no degree/no degree yet","no migration background","397","0.916482936623151","0.890333420159701","0.942632453086601"
"No","2001","no degree/no degree yet","direct migration background","271","0.994816348406706","0.986282341348167","1.00335035546524"
"No","2001","no degree/no degree yet","indirect migration background","64","0.912626992306379","0.845011535350332","0.980242449262426"
"Yes","2002","lower secondary degree","no migration background","564","0.0794044394125778","0.0730319543089226","0.085776924516233"
"Yes","2002","lower secondary degree","direct migration background","20","","",""
"Yes","2002","lower secondary degree","indirect migration background","11","","",""
"Yes","2002","secondary school degree","no migration background","740","0.137609822081214","0.128447937696134","0.146771706466295"
"Yes","2002","secondary school degree","direct migration background","24","","",""
"Yes","2002","secondary school degree","indirect migration background","18","","",""
"Yes","2002","college entrance qualification","no migration background","676","0.190958094286684","0.177567845730158","0.20434834284321"
"Yes","2002","college entrance qualification","direct migration background","25","","",""
"Yes","2002","college entrance qualification","indirect migration background","19","","",""
"Yes","2002","Other degree","no migration background","10","","",""
"Yes","2002","Other degree","direct migration background","35","0.0308041848441735","0.0207253171191127","0.0408830525692344"
"Yes","2002","Other degree","indirect migration background","2","","",""
"Yes","2002","no degree/no degree yet","no migration background","43","0.0707679057713925","0.0469152424348386","0.0946205691079465"
"Yes","2002","no degree/no degree yet","direct migration background","1","","",""
"Yes","2002","no degree/no degree yet","indirect migration background","2","","",""
"No","2002","lower secondary degree","no migration background","6351","0.920595560587422","0.914223075483767","0.926968045691077"
"No","2002","lower secondary degree","direct migration background","681","0.961437490619673","0.947183638390419","0.975691342848928"
"No","2002","lower secondary degree","indirect migration background","238","0.966076092149912","0.943590360562093","0.988561823737731"
"No","2002","secondary school degree","no migration background","4691","0.862390177918786","0.853228293533705","0.871552062303866"
"No","2002","secondary school degree","direct migration background","232","0.906350046958028","0.870661417420887","0.942038676495169"
"No","2002","secondary school degree","indirect migration background","183","0.884748779437158","0.840603647907658","0.928893910966657"
"No","2002","college entrance qualification","no migration background","2634","0.809041905713316","0.79565165715679","0.822432154269842"
"No","2002","college entrance qualification","direct migration background","227","0.903911502138956","0.867524483009312","0.9402985212686"
"No","2002","college entrance qualification","indirect migration background","135","0.889184811553594","0.839607451972029","0.938762171135158"
"No","2002","Other degree","no migration background","87","0.937425501793724","0.889227471128274","0.985623532459175"
"No","2002","Other degree","direct migration background","1094","0.969195815155826","0.959116947430766","0.979274682880887"
"No","2002","Other degree","indirect migration background","13","","",""
"No","2002","no degree/no degree yet","no migration background","401","0.929232094228607","0.905379430892054","0.953084757565161"
"No","2002","no degree/no degree yet","direct migration background","255","0.994791855738353","0.98597455362492","1.00360915785179"
"No","2002","no degree/no degree yet","indirect migration background","79","0.980811636369895","0.950935986818374","1.01068728592142"
"Yes","2003","lower secondary degree","no migration background","552","0.07985997384859","0.0732952118698114","0.0864247358273687"
"Yes","2003","lower secondary degree","direct migration background","20","","",""
"Yes","2003","lower secondary degree","indirect migration background","17","","",""
"Yes","2003","secondary school degree","no migration background","703","0.139934268230909","0.130552768872758","0.149315767589061"
"Yes","2003","secondary school degree","direct migration background","20","","",""
"Yes","2003","secondary school degree","indirect migration background","21","","",""
"Yes","2003","college entrance qualification","no migration background","672","0.19759872166827","0.183851788872595","0.211345654463945"
"Yes","2003","college entrance qualification","direct migration background","25","","",""
"Yes","2003","college entrance qualification","indirect migration background","20","","",""
"Yes","2003","Other degree","no migration background","7","","",""
"Yes","2003","Other degree","direct migration background","25","","",""
"Yes","2003","Other degree","indirect migration background","2","","",""
"Yes","2003","no degree/no degree yet","no migration background","46","0.0829565268476649","0.0580209508451541","0.107892102850176"
"Yes","2003","no degree/no degree yet","direct migration background","3","","",""
"Yes","2003","no degree/no degree yet","indirect migration background","","","",""
"No","2003","lower secondary degree","no migration background","5998","0.92014002615141","0.913575264172631","0.926704788130189"
"No","2003","lower secondary degree","direct migration background","648","0.966747825513951","0.953151345548161","0.980344305479741"
"No","2003","lower secondary degree","indirect migration background","227","0.933321837965578","0.90202065856283","0.964623017368326"
"No","2003","secondary school degree","no migration background","4550","0.860065731769091","0.850684232410939","0.869447231127242"
"No","2003","secondary school degree","direct migration background","219","0.885739775819333","0.845407776571207","0.926071775067458"
"No","2003","secondary school degree","indirect migration background","178","0.882314877737768","0.837544151890006","0.927085603585531"
"No","2003","college entrance qualification","no migration background","2551","0.80240127833173","0.788654345536055","0.816148211127405"
"No","2003","college entrance qualification","direct migration background","215","0.913251013192834","0.87764119494278","0.948860831442888"
"No","2003","college entrance qualification","indirect migration background","139","0.82863782164836","0.770065910892371","0.887209732404349"
"No","2003","Other degree","no migration background","89","0.956218968598851","0.915289684719763","0.997148252477938"
"No","2003","Other degree","direct migration background","1034","0.978031074237769","0.969202697690809","0.986859450784729"
"No","2003","Other degree","indirect migration background","15","","",""
"No","2003","no degree/no degree yet","no migration background","424","0.917043473152335","0.892107897149824","0.941979049154846"
"No","2003","no degree/no degree yet","direct migration background","226","0.987034503317458","0.972382699457864","1.00168630717705"
"No","2003","no degree/no degree yet","indirect migration background","65","1","1","1"
"Yes","2004","lower secondary degree","no migration background","572","0.0872979170036396","0.0802926179409162","0.094303216066363"
"Yes","2004","lower secondary degree","direct migration background","22","","",""
"Yes","2004","lower secondary degree","indirect migration background","17","","",""
"Yes","2004","secondary school degree","no migration background","728","0.148066199745448","0.138341539883212","0.157790859607685"
"Yes","2004","secondary school degree","direct migration background","23","","",""
"Yes","2004","secondary school degree","indirect migration background","14","","",""
"Yes","2004","college entrance qualification","no migration background","722","0.212109633213103","0.197947836834402","0.226271429591805"
"Yes","2004","college entrance qualification","direct migration background","30","0.122513108326793","0.0805031974313539","0.164523019222231"
"Yes","2004","college entrance qualification","indirect migration background","20","","",""
"Yes","2004","Other degree","no migration background","5","","",""
"Yes","2004","Other degree","direct migration background","24","","",""
"Yes","2004","Other degree","indirect migration background","2","","",""
"Yes","2004","no degree/no degree yet","no migration background","43","0.0844278664978131","0.0585668377946838","0.110288895200942"
"Yes","2004","no degree/no degree yet","direct migration background","4","","",""
"Yes","2004","no degree/no degree yet","indirect migration background","5","","",""
"No","2004","lower secondary degree","no migration background","5665","0.91270208299636","0.905696783933637","0.919707382059084"
"No","2004","lower secondary degree","direct migration background","623","0.963366519595754","0.948868686395842","0.977864352795665"
"No","2004","lower secondary degree","indirect migration background","230","0.919892708187589","0.886039157376121","0.953746258999056"
"No","2004","secondary school degree","no migration background","4396","0.851933800254552","0.842209140392315","0.861658460116788"
"No","2004","secondary school degree","direct migration background","207","0.89210987806056","0.852015434641547","0.932204321479573"
"No","2004","secondary school degree","indirect migration background","175","0.888177496656998","0.843247987206819","0.933107006107178"
"No","2004","college entrance qualification","no migration background","2479","0.787890366786897","0.773728570408195","0.802052163165598"
"No","2004","college entrance qualification","direct migration background","204","0.877486891673207","0.835476980777769","0.919496802568646"
"No","2004","college entrance qualification","indirect migration background","138","0.8529814175652","0.797764081810391","0.908198753320009"
"No","2004","Other degree","no migration background","97","0.965738412744945","0.930437860660885","1.001038964829"
"No","2004","Other degree","direct migration background","983","0.98014066744565","0.971523592216607","0.988757742674693"
"No","2004","Other degree","indirect migration background","16","","",""
"No","2004","no degree/no degree yet","no migration background","401","0.915572133502187","0.889711104799057","0.941433162205316"
"No","2004","no degree/no degree yet","direct migration background","228","0.988294937502031","0.974454996066389","1.00213487893767"
"No","2004","no degree/no degree yet","indirect migration background","75","0.922572071703502","0.864005194385599","0.981138949021406"
"Yes","2005","lower secondary degree","no migration background","581","0.101636115567861","0.0938909319988313","0.10938129913689"
"Yes","2005","lower secondary degree","direct migration background","24","","",""
"Yes","2005","lower secondary degree","indirect migration background","22","","",""
"Yes","2005","secondary school degree","no migration background","774","0.16397666987065","0.153578922630921","0.17437441711038"
"Yes","2005","secondary school degree","direct migration background","21","","",""
"Yes","2005","secondary school degree","indirect migration background","14","","",""
"Yes","2005","college entrance qualification","no migration background","721","0.215112108344369","0.200696351450361","0.229527865238377"
"Yes","2005","college entrance qualification","direct migration background","32","0.162712024573062","0.113488980616896","0.211935068529228"
"Yes","2005","college entrance qualification","indirect migration background","26","","",""
"Yes","2005","Other degree","no migration background","5","","",""
"Yes","2005","Other degree","direct migration background","33","0.0309251363870109","0.0198348019489755","0.0420154708250464"
"Yes","2005","Other degree","indirect migration background","1","","",""
"Yes","2005","no degree/no degree yet","no migration background","39","0.0900682159978843","0.0636178289108078","0.116518603084961"
"Yes","2005","no degree/no degree yet","direct migration background","3","","",""
"Yes","2005","no degree/no degree yet","indirect migration background","3","","",""
"No","2005","lower secondary degree","no migration background","5266","0.898363884432139","0.89061870086311","0.906109068001169"
"No","2005","lower secondary degree","direct migration background","556","0.960148376533361","0.944228991777271","0.976067761289451"
"No","2005","lower secondary degree","indirect migration background","221","0.897890984373572","0.85982046476345","0.935961503983693"
"No","2005","secondary school degree","no migration background","4097","0.83602333012935","0.82562558288962","0.846421077369079"
"No","2005","secondary school degree","direct migration background","198","0.895394607415669","0.854861461912853","0.935927752918485"
"No","2005","secondary school degree","indirect migration background","177","0.90449772319683","0.862816350892515","0.946179095501145"
"No","2005","college entrance qualification","no migration background","2400","0.784887891655631","0.770472134761623","0.799303648549639"
"No","2005","college entrance qualification","direct migration background","184","0.837287975426938","0.788064931470772","0.886511019383104"
"No","2005","college entrance qualification","indirect migration background","133","0.809431327833457","0.748384192767431","0.870478462899482"
"No","2005","Other degree","no migration background","94","0.965665853287679","0.929797861607301","1.00153384496806"
"No","2005","Other degree","direct migration background","903","0.969074863612989","0.957984529174953","0.980165198051025"
"No","2005","Other degree","indirect migration background","19","","",""
"No","2005","no degree/no degree yet","no migration background","411","0.909931784002116","0.883481396915039","0.936382171089192"
"No","2005","no degree/no degree yet","direct migration background","208","0.980679028814375","0.962105912268488","0.999252145360263"
"No","2005","no degree/no degree yet","indirect migration background","86","0.958006327092665","0.916335779558213","0.999676874627118"
"Yes","2006","lower secondary degree","no migration background","730","0.104327591204544","0.0968024976567712","0.111852684752317"
"Yes","2006","lower secondary degree","direct migration background","28","","",""
"Yes","2006","lower secondary degree","indirect migration background","21","","",""
"Yes","2006","secondary school degree","no migration background","977","0.186896651024539","0.176349751409333","0.197443550639746"
"Yes","2006","secondary school degree","direct migration background","27","","",""
"Yes","2006","secondary school degree","indirect migration background","26","","",""
"Yes","2006","college entrance qualification","no migration background","879","0.252503963022319","0.237920081180926","0.267087844863711"
"Yes","2006","college entrance qualification","direct migration background","38","0.211653956188511","0.158398327858621","0.264909584518401"
"Yes","2006","college entrance qualification","indirect migration background","30","0.169868282833434","0.113911248214128","0.225825317452739"
"Yes","2006","Other degree","no migration background","7","","",""
"Yes","2006","Other degree","direct migration background","44","0.0361719231439294","0.0244155925840414","0.0479282537038175"
"Yes","2006","Other degree","indirect migration background","2","","",""
"Yes","2006","no degree/no degree yet","no migration background","28","","",""
"Yes","2006","no degree/no degree yet","direct migration background","1","","",""
"Yes","2006","no degree/no degree yet","indirect migration background","3","","",""
"No","2006","lower secondary degree","no migration background","5609","0.895672408795456","0.888147315247683","0.903197502343229"
"No","2006","lower secondary degree","direct migration background","533","0.962520682975258","0.946803759819291","0.978237606131224"
"No","2006","lower secondary degree","indirect migration background","221","0.907290364211339","0.870749737242387","0.943830991180291"
"No","2006","secondary school degree","no migration background","4271","0.813103348975461","0.802556449360254","0.823650248590667"
"No","2006","secondary school degree","direct migration background","199","0.85523172507358","0.80935710584631","0.90110634430085"
"No","2006","secondary school degree","indirect migration background","166","0.849407812048692","0.798818727132471","0.899996896964912"
"No","2006","college entrance qualification","no migration background","2530","0.747496036977681","0.732912155136289","0.762079918819074"
"No","2006","college entrance qualification","direct migration background","188","0.788346043811489","0.735090415481599","0.841601672141379"
"No","2006","college entrance qualification","indirect migration background","143","0.830131717166566","0.774174682547261","0.886088751785872"
"No","2006","Other degree","no migration background","132","0.961066946746241","0.928909856580471","0.993224036912011"
"No","2006","Other degree","direct migration background","925","0.963828076856071","0.952071746296183","0.975584407415959"
"No","2006","Other degree","indirect migration background","15","","",""
"No","2006","no degree/no degree yet","no migration background","272","0.87644529639833","0.839207882452494","0.913682710344165"
"No","2006","no degree/no degree yet","direct migration background","176","0.984831758509678","0.966826054875226","1.00283746214413"
"No","2006","no degree/no degree yet","indirect migration background","54","0.916076885786715","0.844095961095069","0.988057810478361"
"Yes","2007","lower secondary degree","no migration background","735","0.119902636059125","0.111531659321429","0.12827361279682"
"Yes","2007","lower secondary degree","direct migration background","27","","",""
"Yes","2007","lower secondary degree","indirect migration background","21","","",""
"Yes","2007","secondary school degree","no migration background","988","0.201926239774965","0.190726126694518","0.213126352855413"
"Yes","2007","secondary school degree","direct migration background","27","","",""
"Yes","2007","secondary school degree","indirect migration background","22","","",""
"Yes","2007","college entrance qualification","no migration background","904","0.271131303544771","0.255908640835519","0.286353966254022"
"Yes","2007","college entrance qualification","direct migration background","43","0.229437244825831","0.1732335551293","0.285640934522363"
"Yes","2007","college entrance qualification","indirect migration background","31","0.212387826323527","0.150356527355983","0.27441912529107"
"Yes","2007","Other degree","no migration background","13","","",""
"Yes","2007","Other degree","direct migration background","43","0.0387921487530197","0.0260122072096605","0.0515720902963789"
"Yes","2007","Other degree","indirect migration background","3","","",""
"Yes","2007","no degree/no degree yet","no migration background","29","","",""
"Yes","2007","no degree/no degree yet","direct migration background","1","","",""
"Yes","2007","no degree/no degree yet","indirect migration background","","","",""
"No","2007","lower secondary degree","no migration background","5050","0.880097363940875","0.87172638720318","0.888468340678571"
"No","2007","lower secondary degree","direct migration background","470","0.946733217146706","0.926990272042006","0.966476162251407"
"No","2007","lower secondary degree","indirect migration background","201","0.908644016906993","0.870744210886589","0.946543822927397"
"No","2007","secondary school degree","no migration background","3947","0.798073760225035","0.786873647144587","0.809273873305482"
"No","2007","secondary school degree","direct migration background","176","0.8757343803305","0.830354665025811","0.92111409563519"
"No","2007","secondary school degree","indirect migration background","162","0.845879979520355","0.793709709852872","0.898050249187837"
"No","2007","college entrance qualification","no migration background","2372","0.728868696455229","0.713646033745978","0.744091359164481"
"No","2007","college entrance qualification","direct migration background","172","0.770562755174169","0.714359065477637","0.8267664448707"
"No","2007","college entrance qualification","indirect migration background","136","0.787612173676473","0.72558087470893","0.849643472644017"
"No","2007","Other degree","no migration background","112","0.934089641435053","0.890592151162123","0.977587131707983"
"No","2007","Other degree","direct migration background","834","0.96120785124698","0.948427909703621","0.973987792790339"
"No","2007","Other degree","indirect migration background","13","","",""
"No","2007","no degree/no degree yet","no migration background","250","0.914196747404929","0.881332953310308","0.94706054149955"
"No","2007","no degree/no degree yet","direct migration background","145","0.98313619817557","0.962250151151908","1.00402224519923"
"No","2007","no degree/no degree yet","indirect migration background","48","1","1","1"
"Yes","2008","lower secondary degree","no migration background","822","0.145400638210966","0.136035949141118","0.154765327280814"
"Yes","2008","lower secondary degree","direct migration background","30","0.0771883436348869","0.0527189961914365","0.101657691078337"
"Yes","2008","lower secondary degree","indirect migration background","25","","",""
"Yes","2008","secondary school degree","no migration background","1075","0.233842527397713","0.221783824148381","0.245901230647044"
"Yes","2008","secondary school degree","direct migration background","34","0.210489584110882","0.152676565705199","0.268302602516566"
"Yes","2008","secondary school degree","indirect migration background","28","","",""
"Yes","2008","college entrance qualification","no migration background","952","0.307909292381895","0.291744847283553","0.324073737480237"
"Yes","2008","college entrance qualification","direct migration background","45","0.259634353144879","0.199470282243867","0.319798424045892"
"Yes","2008","college entrance qualification","indirect migration background","39","0.258912450746891","0.191666596483612","0.326158305010171"
"Yes","2008","Other degree","no migration background","10","","",""
"Yes","2008","Other degree","direct migration background","45","0.0581804082940222","0.0417633697958842","0.0745974467921601"
"Yes","2008","Other degree","indirect migration background","3","","",""
"Yes","2008","no degree/no degree yet","no migration background","34","0.100627423895896","0.0662981133932452","0.134956734398548"
"Yes","2008","no degree/no degree yet","direct migration background","3","","",""
"Yes","2008","no degree/no degree yet","indirect migration background","4","","",""
"No","2008","lower secondary degree","no migration background","4621","0.854599361789034","0.845234672719186","0.863964050858882"
"No","2008","lower secondary degree","direct migration background","427","0.922811656365113","0.898342308921663","0.947281003808563"
"No","2008","lower secondary degree","indirect migration background","196","0.868312656231206","0.823730400509411","0.912894911953"
"No","2008","secondary school degree","no migration background","3658","0.766157472602287","0.754098769352956","0.778216175851619"
"No","2008","secondary school degree","direct migration background","157","0.789510415889118","0.731697397483434","0.847323434294801"
"No","2008","secondary school degree","indirect migration background","153","0.844704563542002","0.791940216192589","0.897468910891414"
"No","2008","college entrance qualification","no migration background","2181","0.692090707618105","0.675926262519763","0.708255152716447"
"No","2008","college entrance qualification","direct migration background","159","0.740365646855121","0.680201575954108","0.800529717756133"
"No","2008","college entrance qualification","indirect migration background","124","0.741087549253109","0.673841694989829","0.808333403516388"
"No","2008","Other degree","no migration background","103","0.924612600527725","0.875933992133467","0.973291208921983"
"No","2008","Other degree","direct migration background","736","0.941819591705978","0.92540255320784","0.958236630204116"
"No","2008","Other degree","indirect migration background","11","","",""
"No","2008","no degree/no degree yet","no migration background","261","0.899372576104104","0.865043265601452","0.933701886606755"
"No","2008","no degree/no degree yet","direct migration background","116","0.919447161503099","0.870550588403473","0.968343734602725"
"No","2008","no degree/no degree yet","indirect migration background","49","0.884507025634994","0.798459461093457","0.970554590176532"
"Yes","2009","lower secondary degree","no migration background","","","",""
"Yes","2009","lower secondary degree","direct migration background","","","",""
"Yes","2009","lower secondary degree","indirect migration background","","","",""
"Yes","2009","secondary school degree","no migration background","","","",""
"Yes","2009","secondary school degree","direct migration background","","","",""
"Yes","2009","secondary school degree","indirect migration background","","","",""
"Yes","2009","college entrance qualification","no migration background","","","",""
"Yes","2009","college entrance qualification","direct migration background","","","",""
"Yes","2009","college entrance qualification","indirect migration background","","","",""
"Yes","2009","Other degree","no migration background","","","",""
"Yes","2009","Other degree","direct migration background","","","",""
"Yes","2009","Other degree","indirect migration background","","","",""
"Yes","2009","no degree/no degree yet","no migration background","","","",""
"Yes","2009","no degree/no degree yet","direct migration background","","","",""
"Yes","2009","no degree/no degree yet","indirect migration background","","","",""
"No","2009","lower secondary degree","no migration background","","","",""
"No","2009","lower secondary degree","direct migration background","","","",""
"No","2009","lower secondary degree","indirect migration background","","","",""
"No","2009","secondary school degree","no migration background","","","",""
"No","2009","secondary school degree","direct migration background","","","",""
"No","2009","secondary school degree","indirect migration background","","","",""
"No","2009","college entrance qualification","no migration background","","","",""
"No","2009","college entrance qualification","direct migration background","","","",""
"No","2009","college entrance qualification","indirect migration background","","","",""
"No","2009","Other degree","no migration background","","","",""
"No","2009","Other degree","direct migration background","","","",""
"No","2009","Other degree","indirect migration background","","","",""
"No","2009","no degree/no degree yet","no migration background","","","",""
"No","2009","no degree/no degree yet","direct migration background","","","",""
"No","2009","no degree/no degree yet","indirect migration background","","","",""
"Yes","2010","lower secondary degree","no migration background","880","0.147531246827855","0.138297221809783","0.156765271845926"
"Yes","2010","lower secondary degree","direct migration background","42","0.0807955922408443","0.0582646260076073","0.103326558474081"
"Yes","2010","lower secondary degree","indirect migration background","36","0.143897997981147","0.103845720597","0.183950275365295"
"Yes","2010","secondary school degree","no migration background","1431","0.244269259869863","0.233538111463896","0.255000408275831"
"Yes","2010","secondary school degree","direct migration background","47","0.231093764912556","0.181272752402322","0.28091477742279"
"Yes","2010","secondary school degree","indirect migration background","51","0.206346182967636","0.160166509525345","0.252525856409926"
"Yes","2010","college entrance qualification","no migration background","1381","0.340486128580561","0.32630431583174","0.354667941329382"
"Yes","2010","college entrance qualification","direct migration background","55","0.239896986061558","0.189879979248437","0.289913992874679"
"Yes","2010","college entrance qualification","indirect migration background","59","0.194743640466805","0.147508530282355","0.241978750651256"
"Yes","2010","Other degree","no migration background","17","","",""
"Yes","2010","Other degree","direct migration background","101","0.0817385794167931","0.0670698531643732","0.0964073056692129"
"Yes","2010","Other degree","indirect migration background","3","","",""
"Yes","2010","no degree/no degree yet","no migration background","53","0.109365195280277","0.0781495816532856","0.140580808907267"
"Yes","2010","no degree/no degree yet","direct migration background","3","","",""
"Yes","2010","no degree/no degree yet","indirect migration background","9","","",""
"No","2010","lower secondary degree","no migration background","4786","0.852468753172145","0.843234728154074","0.861702778190217"
"No","2010","lower secondary degree","direct migration background","520","0.919204407759156","0.896673441525919","0.941735373992393"
"No","2010","lower secondary degree","indirect migration background","259","0.856102002018853","0.816049724634705","0.896154279403"
"No","2010","secondary school degree","no migration background","4727","0.755730740130137","0.744999591724169","0.766461888536104"
"No","2010","secondary school degree","direct migration background","228","0.768906235087444","0.71908522257721","0.818727247597678"
"No","2010","secondary school degree","indirect migration background","244","0.793653817032364","0.747474143590074","0.839833490474655"
"No","2010","college entrance qualification","no migration background","2908","0.659513871419439","0.645332058670618","0.67369568416826"
"No","2010","college entrance qualification","direct migration background","225","0.760103013938442","0.710086007125321","0.810120020751563"
"No","2010","college entrance qualification","indirect migration background","211","0.805256359533195","0.758021249348744","0.852491469717645"
