"pli0098_h","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Rarely","1997","Thuringia","Couple + C. LE and GT 16","19","","","","4"
"Rarely","1997","Schleswig-Holstein","1-pers.-HH","8","","","","4"
"Rarely","1997","Schleswig-Holstein","(Married) couple without C. ","33","0.451499570705902","0.348687526788771","0.554311614623033","4"
"Rarely","1997","Schleswig-Holstein","Single parent ","2","","","","4"
"Rarely","1997","Schleswig-Holstein","Couple + C. LE 16 ","19","","","","4"
"Rarely","1997","Schleswig-Holstein","Couple + C. GT 16 ","16","","","","4"
"Rarely","1997","Schleswig-Holstein","Couple + C. LE and GT 16","8","","","","4"
"Rarely","1997","Hamburg","1-pers.-HH","6","","","","4"
"Rarely","1997","Hamburg","(Married) couple without C. ","3","","","","4"
"Rarely","1997","Hamburg","Single parent ","","","","","4"
"Rarely","1997","Hamburg","Couple + C. LE 16 ","6","","","","4"
"Rarely","1997","Hamburg","Couple + C. GT 16 ","5","","","","4"
"Rarely","1997","Hamburg","Couple + C. LE and GT 16","3","","","","4"
"Rarely","1997","Lower Saxony","1-pers.-HH","27","","","","4"
"Rarely","1997","Lower Saxony","(Married) couple without C. ","115","0.375907136811433","0.322503670959162","0.429310602663704","4"
"Rarely","1997","Lower Saxony","Single parent ","21","","","","4"
"Rarely","1997","Lower Saxony","Couple + C. LE 16 ","97","0.513085984766992","0.44673596481266","0.579436004721325","4"
"Rarely","1997","Lower Saxony","Couple + C. GT 16 ","52","0.286128929530608","0.217377010743467","0.35488084831775","4"
"Rarely","1997","Lower Saxony","Couple + C. LE and GT 16","29","","","","4"
"Rarely","1997","Bremen","1-pers.-HH","6","","","","4"
"Rarely","1997","Bremen","(Married) couple without C. ","6","","","","4"
"Rarely","1997","Bremen","Single parent ","1","","","","4"
"Rarely","1997","Bremen","Couple + C. LE 16 ","3","","","","4"
"Rarely","1997","Bremen","Couple + C. GT 16 ","4","","","","4"
"Rarely","1997","Bremen","Couple + C. LE and GT 16","","","","","4"
"Rarely","1997","North Rhine-Westphalia","1-pers.-HH","80","0.24094935377419","0.191728702918997","0.290170004629384","4"
"Rarely","1997","North Rhine-Westphalia","(Married) couple without C. ","219","0.366415429147885","0.3299588425395","0.402872015756271","4"
"Rarely","1997","North Rhine-Westphalia","Single parent ","44","0.300917179874385","0.224393410510088","0.377440949238681","4"
"Rarely","1997","North Rhine-Westphalia","Couple + C. LE 16 ","226","0.403375071185472","0.363450586478261","0.443299555892682","4"
"Rarely","1997","Mecklenburg-Western Pomerania","Single parent ","4","","","","4"
"Rarely","1997","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","10","","","","4"
"Rarely","1997","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","14","","","","4"
"Rarely","1997","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","10","","","","4"
"Rarely","1997","Saxony","1-pers.-HH","18","","","","4"
"Rarely","1997","Saxony","(Married) couple without C. ","62","0.216681967820947","0.172564951281835","0.260798984360059","4"
"Rarely","1997","Saxony","Single parent ","4","","","","4"
"Rarely","1997","Saxony","Couple + C. LE 16 ","40","0.184459795295718","0.134115042046736","0.2348045485447","4"
"Rarely","1997","Saxony","Couple + C. GT 16 ","31","0.142746918869382","0.0946255502169423","0.190868287521821","4"
"Rarely","1997","Saxony","Couple + C. LE and GT 16","21","","","","4"
"Rarely","1997","Saxony-Anhalt","1-pers.-HH","7","","","","4"
"Rarely","1997","Saxony-Anhalt","(Married) couple without C. ","21","","","","4"
"Rarely","1997","Saxony-Anhalt","Single parent ","3","","","","4"
"Rarely","1997","Saxony-Anhalt","Couple + C. LE 16 ","14","","","","4"
"Rarely","1997","Saxony-Anhalt","Couple + C. GT 16 ","22","","","","4"
"Rarely","1997","Saxony-Anhalt","Couple + C. LE and GT 16","21","","","","4"
"Rarely","1997","Thuringia","1-pers.-HH","9","","","","4"
"Rarely","1997","Thuringia","(Married) couple without C. ","30","0.168673615803859","0.11271161581454","0.224635615793178","4"
"Rarely","1997","North Rhine-Westphalia","Couple + C. GT 16 ","127","0.307637927828813","0.264901752024168","0.350374103633458","4"
"Rarely","1997","North Rhine-Westphalia","Couple + C. LE and GT 16","74","0.285059002107738","0.229210219396726","0.340907784818751","4"
"Rarely","1997","Hesse","1-pers.-HH","25","","","","4"
"Rarely","1997","Hesse","(Married) couple without C. ","96","0.330408218335357","0.274407458013659","0.386408978657054","4"
"Rarely","1997","Hesse","Single parent ","7","","","","4"
"Rarely","1997","Hesse","Couple + C. LE 16 ","73","0.397628411385944","0.329286688693204","0.465970134078684","4"
"Rarely","1997","Hesse","Couple + C. GT 16 ","44","0.33556744507218","0.260002943202433","0.411131946941928","4"
"Rarely","1997","Hesse","Couple + C. LE and GT 16","39","0.502990094991986","0.393426736611701","0.612553453372271","4"
"Rarely","1997","Rhineland-Palatinate,Saarland","1-pers.-HH","9","","","","4"
"Rarely","1997","Rhineland-Palatinate,Saarland","(Married) couple without C. ","54","0.241494572046876","0.182763755267258","0.300225388826494","4"
"Rarely","1997","Rhineland-Palatinate,Saarland","Single parent ","10","","","","4"
"Rarely","1997","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","62","0.359522762245059","0.286743960452024","0.432301564038094","4"
"Rarely","1997","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","50","0.334276598244123","0.254404408570934","0.414148787917312","4"
"Rarely","1997","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","17","","","","4"
"Rarely","1997","Baden-Württemberg","1-pers.-HH","48","0.231781874732145","0.169263010865532","0.294300738598757","4"
"Rarely","1997","Baden-Württemberg","(Married) couple without C. ","156","0.407078549932776","0.359231158039538","0.454925941826014","4"
"Rarely","1997","Baden-Württemberg","Single parent ","30","0.39110372579985","0.283493837571131","0.498713614028569","4"
"Rarely","1997","Baden-Württemberg","Couple + C. LE 16 ","157","0.360118000471571","0.313765641132742","0.406470359810401","4"
"Rarely","1997","Baden-Württemberg","Couple + C. GT 16 ","122","0.346328714995695","0.293951498556877","0.398705931434512","4"
"Rarely","1997","Baden-Württemberg","Couple + C. LE and GT 16","93","0.547442340462647","0.478112269038501","0.616772411886793","4"
"Rarely","1997","Bavaria","1-pers.-HH","47","0.28731866584398","0.223642509735215","0.350994821952745","4"
"Rarely","1997","Bavaria","(Married) couple without C. ","128","0.289907896713275","0.247073089164104","0.332742704262446","4"
"Rarely","1997","Brandenburg","1-pers.-HH","10","","","","4"
"Rarely","1997","Brandenburg","(Married) couple without C. ","23","","","","4"
"Rarely","1997","Brandenburg","Single parent ","6","","","","4"
"Rarely","1997","Brandenburg","Couple + C. LE 16 ","23","","","","4"
"Rarely","1997","Brandenburg","Couple + C. GT 16 ","9","","","","4"
"Rarely","1997","Brandenburg","Couple + C. LE and GT 16","12","","","","4"
"Rarely","1997","Mecklenburg-Western Pomerania","1-pers.-HH","3","","","","4"
"Rarely","1997","Mecklenburg-Western Pomerania","(Married) couple without C. ","18","","","","4"
"Rarely","1997","Bavaria","Couple + C. LE 16 ","155","0.376497855542064","0.328957560534588","0.424038150549541","4"
"Rarely","1997","Bavaria","Couple + C. GT 16 ","114","0.369059896953955","0.314180117092166","0.423939676815745","4"
"Rarely","1997","Berlin","Couple + C. LE and GT 16","5","","","","4"
"Rarely","1997","Berlin","(Married) couple without C. ","26","","","","4"
"Rarely","1997","Berlin","Single parent ","4","","","","4"
"Rarely","1997","Bavaria","Single parent ","20","","","","4"
"Rarely","1997","Bavaria","Couple + C. LE and GT 16","42","0.366789398790142","0.283945812552549","0.449632985027736","4"
"Rarely","1997","Berlin","1-pers.-HH","23","","","","4"
"Rarely","1997","Berlin","Couple + C. LE 16 ","24","","","","4"
"Rarely","1997","Berlin","Couple + C. GT 16 ","9","","","","4"
"Daily","1998","Schleswig-Holstein","1-pers.-HH","1","","","","1"
"Daily","1998","Schleswig-Holstein","(Married) couple without C. ","","","","","1"
"Daily","1998","Schleswig-Holstein","Single parent ","","","","","1"
"Daily","1998","Schleswig-Holstein","Couple + C. LE 16 ","","","","","1"
"Daily","1998","Schleswig-Holstein","Couple + C. GT 16 ","","","","","1"
"Daily","1998","Schleswig-Holstein","Couple + C. LE and GT 16","","","","","1"
"Daily","1998","Hamburg","1-pers.-HH","","","","","1"
"Daily","1998","Hamburg","(Married) couple without C. ","","","","","1"
"Daily","1998","Hamburg","Single parent ","","","","","1"
"Daily","1998","Hamburg","Couple + C. LE 16 ","","","","","1"
"Daily","1998","Hamburg","Couple + C. GT 16 ","","","","","1"
"Daily","1998","Hamburg","Couple + C. LE and GT 16","","","","","1"
"Daily","1998","Lower Saxony","1-pers.-HH","1","","","","1"
"Daily","1998","Lower Saxony","(Married) couple without C. ","3","","","","1"
"Daily","1998","Lower Saxony","Single parent ","1","","","","1"
"Daily","1998","Lower Saxony","Couple + C. LE 16 ","","","","","1"
"Daily","1998","Lower Saxony","Couple + C. GT 16 ","2","","","","1"
"Daily","1998","Lower Saxony","Couple + C. LE and GT 16","4","","","","1"
"Daily","1998","Bremen","1-pers.-HH","1","","","","1"
"Daily","1998","Bremen","(Married) couple without C. ","","","","","1"
"Daily","1998","Bremen","Single parent ","","","","","1"
"Daily","1998","Bremen","Couple + C. LE 16 ","","","","","1"
"Daily","1998","Bremen","Couple + C. GT 16 ","1","","","","1"
"Daily","1998","Bremen","Couple + C. LE and GT 16","","","","","1"
"Daily","1998","North Rhine-Westphalia","1-pers.-HH","","","","","1"
"Daily","1998","North Rhine-Westphalia","(Married) couple without C. ","8","","","","1"
"Daily","1998","North Rhine-Westphalia","Single parent ","2","","","","1"
"Daily","1998","North Rhine-Westphalia","Couple + C. LE 16 ","3","","","","1"
"Daily","1998","North Rhine-Westphalia","Couple + C. GT 16 ","8","","","","1"
"Daily","1998","North Rhine-Westphalia","Couple + C. LE and GT 16","7","","","","1"
"Daily","1998","Hesse","1-pers.-HH","2","","","","1"
"Daily","1998","Hesse","(Married) couple without C. ","3","","","","1"
"Daily","1998","Hesse","Single parent ","","","","","1"
"Daily","1998","Hesse","Couple + C. LE 16 ","","","","","1"
"Daily","1998","Hesse","Couple + C. GT 16 ","5","","","","1"
"Daily","1998","Hesse","Couple + C. LE and GT 16","","","","","1"
"Daily","1998","Rhineland-Palatinate,Saarland","1-pers.-HH","1","","","","1"
"Daily","1998","Rhineland-Palatinate,Saarland","(Married) couple without C. ","2","","","","1"
"Daily","1998","Rhineland-Palatinate,Saarland","Single parent ","","","","","1"
"Daily","1998","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","","","1"
"Daily","1998","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","2","","","","1"
"Daily","1998","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","","","1"
"Daily","1998","Baden-Württemberg","1-pers.-HH","2","","","","1"
"Daily","1998","Baden-Württemberg","(Married) couple without C. ","3","","","","1"
"Daily","1998","Baden-Württemberg","Single parent ","","","","","1"
"Daily","1998","Baden-Württemberg","Couple + C. LE 16 ","3","","","","1"
"Daily","1998","Baden-Württemberg","Couple + C. GT 16 ","3","","","","1"
"Daily","1998","Baden-Württemberg","Couple + C. LE and GT 16","","","","","1"
"Daily","1998","Bavaria","1-pers.-HH","3","","","","1"
"Daily","1998","Bavaria","(Married) couple without C. ","4","","","","1"
"Daily","1998","Bavaria","Single parent ","","","","","1"
"Daily","1998","Bavaria","Couple + C. LE 16 ","3","","","","1"
"Daily","1998","Bavaria","Couple + C. GT 16 ","2","","","","1"
"Daily","1998","Bavaria","Couple + C. LE and GT 16","2","","","","1"
"Daily","1998","Berlin","1-pers.-HH","1","","","","1"
"Daily","1998","Berlin","(Married) couple without C. ","","","","","1"
"Daily","1998","Berlin","Single parent ","","","","","1"
"Daily","1998","Berlin","Couple + C. LE 16 ","","","","","1"
"Daily","1998","Berlin","Couple + C. GT 16 ","","","","","1"
"Daily","1998","Berlin","Couple + C. LE and GT 16","","","","","1"
"Daily","1998","Brandenburg","1-pers.-HH","","","","","1"
"Daily","1998","Brandenburg","(Married) couple without C. ","","","","","1"
"Daily","1998","Brandenburg","Single parent ","","","","","1"
"Daily","1998","Brandenburg","Couple + C. LE 16 ","","","","","1"
"Daily","1998","Brandenburg","Couple + C. GT 16 ","","","","","1"
"Daily","1998","Brandenburg","Couple + C. LE and GT 16","1","","","","1"
"Daily","1998","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","1"
"Daily","1998","Mecklenburg-Western Pomerania","(Married) couple without C. ","1","","","","1"
"Daily","1998","Mecklenburg-Western Pomerania","Single parent ","","","","","1"
"Daily","1998","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","1"
"Daily","1998","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","1"
"Daily","1998","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","1"
"Daily","1998","Saxony","1-pers.-HH","","","","","1"
"Daily","1998","Saxony","(Married) couple without C. ","","","","","1"
"Daily","1998","Saxony","Single parent ","","","","","1"
"Daily","1998","Saxony","Couple + C. LE 16 ","","","","","1"
"Daily","1998","Saxony","Couple + C. GT 16 ","","","","","1"
"Daily","1998","Saxony","Couple + C. LE and GT 16","","","","","1"
"Daily","1998","Saxony-Anhalt","1-pers.-HH","1","","","","1"
"Daily","1998","Saxony-Anhalt","(Married) couple without C. ","","","","","1"
"Daily","1998","Saxony-Anhalt","Single parent ","","","","","1"
"Daily","1998","Saxony-Anhalt","Couple + C. LE 16 ","1","","","","1"
"Daily","1998","Saxony-Anhalt","Couple + C. GT 16 ","","","","","1"
"Daily","1998","Saxony-Anhalt","Couple + C. LE and GT 16","1","","","","1"
"Daily","1998","Thuringia","1-pers.-HH","","","","","1"
"Daily","1998","Thuringia","(Married) couple without C. ","","","","","1"
"Daily","1998","Thuringia","Single parent ","","","","","1"
"Daily","1998","Thuringia","Couple + C. LE 16 ","","","","","1"
"Daily","1998","Thuringia","Couple + C. GT 16 ","1","","","","1"
"Daily","1998","Thuringia","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1998","Schleswig-Holstein","1-pers.-HH","2","","","","3"
"Min 1x per month","1998","Schleswig-Holstein","(Married) couple without C. ","2","","","","3"
"Min 1x per month","1998","Schleswig-Holstein","Single parent ","","","","","3"
"Min 1x per month","1998","Schleswig-Holstein","Couple + C. LE and GT 16","1","","","","3"
"Min 1x per month","1998","Hamburg","1-pers.-HH","1","","","","3"
"Min 1x per month","1998","Hamburg","Couple + C. LE 16 ","3","","","","3"
"Min 1x per month","1998","Schleswig-Holstein","Couple + C. LE 16 ","8","","","","3"
"Min 1x per month","1998","Schleswig-Holstein","Couple + C. GT 16 ","6","","","","3"
"Min 1x per month","1998","Hamburg","(Married) couple without C. ","1","","","","3"
"Min 1x per month","1998","Hamburg","Single parent ","","","","","3"
"Min 1x per month","1998","Hamburg","Couple + C. GT 16 ","2","","","","3"
"Min 1x per month","1998","Hamburg","Couple + C. LE and GT 16","3","","","","3"
"Min 1x per month","1998","Lower Saxony","1-pers.-HH","8","","","","3"
"Min 1x per month","1998","Lower Saxony","(Married) couple without C. ","31","0.0902778817448953","0.0612725715536586","0.119283191936132","3"
"Min 1x per month","1998","Lower Saxony","Single parent ","3","","","","3"
"Min 1x per month","1998","Lower Saxony","Couple + C. LE 16 ","23","","","","3"
"Min 1x per month","1998","Lower Saxony","Couple + C. GT 16 ","21","","","","3"
"Min 1x per month","1998","Lower Saxony","Couple + C. LE and GT 16","14","","","","3"
"Min 1x per month","1998","Bremen","1-pers.-HH","1","","","","3"
"Min 1x per month","1998","Bremen","(Married) couple without C. ","4","","","","3"
"Min 1x per month","1998","Bremen","Single parent ","","","","","3"
"Min 1x per month","1998","Bremen","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1998","Bremen","Couple + C. GT 16 ","1","","","","3"
"Min 1x per month","1998","Bremen","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1998","North Rhine-Westphalia","1-pers.-HH","35","0.10714248993188","0.0749684304841784","0.139316549379582","3"
"Min 1x per month","1998","North Rhine-Westphalia","(Married) couple without C. ","89","0.101635771519858","0.0812500359208062","0.122021507118911","3"
"Min 1x per month","1998","North Rhine-Westphalia","Single parent ","12","","","","3"
"Min 1x per month","1998","North Rhine-Westphalia","Couple + C. LE 16 ","66","0.115706224620354","0.0912470356808772","0.14016541355983","3"
"Min 1x per month","1998","North Rhine-Westphalia","Couple + C. GT 16 ","54","0.103932906241136","0.076284381411134","0.131581431071138","3"
"Min 1x per month","1998","North Rhine-Westphalia","Couple + C. LE and GT 16","24","","","","3"
"Min 1x per month","1998","Hesse","1-pers.-HH","10","","","","3"
"Min 1x per month","1998","Hesse","(Married) couple without C. ","31","0.102706380877521","0.0685810161376921","0.136831745617349","3"
"Min 1x per month","1998","Hesse","Single parent ","1","","","","3"
"Min 1x per month","1998","Hesse","Couple + C. LE 16 ","24","","","","3"
"Min 1x per month","1998","Hesse","Couple + C. GT 16 ","14","","","","3"
"Min 1x per month","1998","Hesse","Couple + C. LE and GT 16","3","","","","3"
"Min 1x per month","1998","Rhineland-Palatinate,Saarland","1-pers.-HH","9","","","","3"
"Min 1x per month","1998","Rhineland-Palatinate,Saarland","(Married) couple without C. ","19","","","","3"
"Min 1x per month","1998","Rhineland-Palatinate,Saarland","Single parent ","5","","","","3"
"Min 1x per month","1998","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","22","","","","3"
"Min 1x per month","1998","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","18","","","","3"
"Min 1x per month","1998","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","6","","","","3"
"Min 1x per month","1998","Baden-Württemberg","1-pers.-HH","27","","","","3"
"Min 1x per month","1998","Baden-Württemberg","(Married) couple without C. ","64","0.16123689346347","0.126757529700595","0.195716257226345","3"
"Min 1x per month","1998","Baden-Württemberg","Single parent ","9","","","","3"
"Min 1x per month","1998","Baden-Württemberg","Couple + C. LE 16 ","62","0.142946782587715","0.109902179241183","0.175991385934247","3"
"Min 1x per month","1998","Baden-Württemberg","Couple + C. GT 16 ","63","0.198262615474999","0.1570781604389","0.239447070511097","3"
"Min 1x per month","1998","Baden-Württemberg","Couple + C. LE and GT 16","30","0.196092359117614","0.135140395298261","0.257044322936967","3"
"Min 1x per month","1998","Bavaria","1-pers.-HH","35","0.13780226102166","0.0933520617163281","0.182252460326993","3"
"Min 1x per month","1998","Bavaria","(Married) couple without C. ","66","0.137266609452855","0.108295227987933","0.166237990917777","3"
"Min 1x per month","1998","Bavaria","Single parent ","16","","","","3"
"Min 1x per month","1998","Bavaria","Couple + C. LE 16 ","73","0.131031941816689","0.0994669031382844","0.162596980495093","3"
"Min 1x per month","1998","Bavaria","Couple + C. GT 16 ","42","0.119113990383561","0.0831711795459562","0.155056801221166","3"
"Min 1x per month","1998","Bavaria","Couple + C. LE and GT 16","26","","","","3"
"Min 1x per month","1998","Berlin","1-pers.-HH","6","","","","3"
"Min 1x per month","1998","Berlin","(Married) couple without C. ","2","","","","3"
"Min 1x per month","1998","Berlin","Single parent ","2","","","","3"
"Min 1x per month","1998","Berlin","Couple + C. LE 16 ","4","","","","3"
"Min 1x per month","1998","Berlin","Couple + C. GT 16 ","6","","","","3"
"Min 1x per month","1998","Berlin","Couple + C. LE and GT 16","3","","","","3"
"Min 1x per month","1998","Brandenburg","1-pers.-HH","7","","","","3"
"Min 1x per month","1998","Brandenburg","(Married) couple without C. ","3","","","","3"
"Min 1x per month","1998","Brandenburg","Single parent ","","","","","3"
"Min 1x per month","1998","Brandenburg","Couple + C. LE 16 ","5","","","","3"
"Min 1x per month","1998","Brandenburg","Couple + C. GT 16 ","3","","","","3"
"Min 1x per month","1998","Brandenburg","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1998","Mecklenburg-Western Pomerania","1-pers.-HH","3","","","","3"
"Min 1x per month","1998","Mecklenburg-Western Pomerania","(Married) couple without C. ","5","","","","3"
"Min 1x per month","1998","Mecklenburg-Western Pomerania","Single parent ","1","","","","3"
"Min 1x per month","1998","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","4","","","","3"
"Min 1x per month","1998","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","3","","","","3"
"Min 1x per month","1998","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","2","","","","3"
"Min 1x per month","1998","Saxony","1-pers.-HH","6","","","","3"
"Min 1x per month","1998","Saxony","(Married) couple without C. ","11","","","","3"
"Min 1x per month","1998","Saxony","Single parent ","4","","","","3"
"Min 1x per month","1998","Saxony","Couple + C. LE 16 ","25","","","","3"
"Min 1x per month","1998","Saxony","Couple + C. GT 16 ","11","","","","3"
"Min 1x per month","1998","Saxony","Couple + C. LE and GT 16","5","","","","3"
"Min 1x per month","1998","Saxony-Anhalt","1-pers.-HH","2","","","","3"
"Min 1x per month","1998","Saxony-Anhalt","(Married) couple without C. ","7","","","","3"
"Min 1x per month","1998","Saxony-Anhalt","Single parent ","","","","","3"
"Min 1x per month","1998","Saxony-Anhalt","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1998","Saxony-Anhalt","Couple + C. GT 16 ","6","","","","3"
"Min 1x per month","1998","Saxony-Anhalt","Couple + C. LE and GT 16","3","","","","3"
"Min 1x per month","1998","Thuringia","1-pers.-HH","2","","","","3"
"Min 1x per month","1998","Thuringia","(Married) couple without C. ","21","","","","3"
"Min 1x per month","1998","Thuringia","Single parent ","","","","","3"
"Min 1x per month","1998","Thuringia","Couple + C. LE 16 ","7","","","","3"
"Min 1x per month","1998","Thuringia","Couple + C. GT 16 ","7","","","","3"
"Min 1x per month","1998","Thuringia","Couple + C. LE and GT 16","5","","","","3"
"Min 1x per week","1998","Hesse","1-pers.-HH","15","","","","2"
"Min 1x per week","1998","Schleswig-Holstein","(Married) couple without C. ","6","","","","2"
"Min 1x per week","1998","Hamburg","1-pers.-HH","3","","","","2"
"Min 1x per week","1998","Hamburg","Couple + C. LE 16 ","2","","","","2"
"Min 1x per week","1998","Hamburg","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1998","Schleswig-Holstein","1-pers.-HH","","","","","2"
"Min 1x per week","1998","Lower Saxony","Couple + C. LE 16 ","20","","","","2"
"Min 1x per week","1998","North Rhine-Westphalia","(Married) couple without C. ","96","0.101299943380102","0.0809441115849363","0.121655775175268","2"
"Min 1x per week","1998","North Rhine-Westphalia","Single parent ","10","","","","2"
"Min 1x per week","1998","North Rhine-Westphalia","Couple + C. LE 16 ","79","0.105974161085225","0.0824377394590724","0.129510582711378","2"
"Min 1x per week","1998","North Rhine-Westphalia","Couple + C. GT 16 ","71","0.148692869424335","0.116458931054543","0.180926807794126","2"
"Min 1x per week","1998","North Rhine-Westphalia","Couple + C. LE and GT 16","33","0.155756025203942","0.11107282772055","0.200439222687334","2"
"Min 1x per week","1998","Hesse","(Married) couple without C. ","22","","","","2"
"Min 1x per week","1998","Hesse","Single parent ","2","","","","2"
"Min 1x per week","1998","Hesse","Couple + C. LE 16 ","14","","","","2"
"Min 1x per week","1998","Hesse","Couple + C. GT 16 ","12","","","","2"
"Min 1x per week","1998","Schleswig-Holstein","Single parent ","","","","","2"
"Min 1x per week","1998","Schleswig-Holstein","Couple + C. LE 16 ","6","","","","2"
"Min 1x per week","1998","Schleswig-Holstein","Couple + C. GT 16 ","2","","","","2"
"Min 1x per week","1998","Schleswig-Holstein","Couple + C. LE and GT 16","3","","","","2"
"Min 1x per week","1998","Lower Saxony","1-pers.-HH","8","","","","2"
"Min 1x per week","1998","Lower Saxony","(Married) couple without C. ","22","","","","2"
"Min 1x per week","1998","Lower Saxony","Single parent ","4","","","","2"
"Min 1x per week","1998","Hamburg","(Married) couple without C. ","","","","","2"
"Min 1x per week","1998","Hamburg","Single parent ","","","","","2"
"Min 1x per week","1998","Hamburg","Couple + C. GT 16 ","1","","","","2"
"Min 1x per week","1998","Hesse","Couple + C. LE and GT 16","12","","","","2"
"Min 1x per week","1998","Rhineland-Palatinate,Saarland","1-pers.-HH","11","","","","2"
"Min 1x per week","1998","Lower Saxony","Couple + C. GT 16 ","16","","","","2"
"Min 1x per week","1998","Lower Saxony","Couple + C. LE and GT 16","13","","","","2"
"Min 1x per week","1998","Bremen","1-pers.-HH","3","","","","2"
"Min 1x per week","1998","Bremen","(Married) couple without C. ","","","","","2"
"Min 1x per week","1998","Bremen","Couple + C. GT 16 ","3","","","","2"
"Min 1x per week","1998","Bremen","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1998","North Rhine-Westphalia","1-pers.-HH","51","0.160795648897828","0.122583195307946","0.199008102487711","2"
"Min 1x per week","1998","Rhineland-Palatinate,Saarland","(Married) couple without C. ","42","0.209068210624158","0.156400569631188","0.261735851617128","2"
"Min 1x per week","1998","Rhineland-Palatinate,Saarland","Single parent ","4","","","","2"
"Min 1x per week","1998","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","19","","","","2"
"Min 1x per week","1998","Bremen","Single parent ","","","","","2"
"Min 1x per week","1998","Bremen","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1998","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","20","","","","2"
"Min 1x per week","1998","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","9","","","","2"
"Min 1x per week","1998","Baden-Württemberg","1-pers.-HH","21","","","","2"
"Min 1x per week","1998","Baden-Württemberg","(Married) couple without C. ","59","0.126605213709025","0.0954279163317487","0.157782511086302","2"
"Min 1x per week","1998","Baden-Württemberg","Single parent ","13","","","","2"
"Min 1x per week","1998","Baden-Württemberg","Couple + C. LE 16 ","54","0.0710797188273118","0.046820795100864","0.0953386425537597","2"
"Min 1x per week","1998","Baden-Württemberg","Couple + C. GT 16 ","68","0.218818739218185","0.176110171734476","0.261527306701894","2"
"Min 1x per week","1998","Baden-Württemberg","Couple + C. LE and GT 16","11","","","","2"
"Min 1x per week","1998","Bavaria","1-pers.-HH","35","0.186882910835349","0.136613541078557","0.237152280592141","2"
"Min 1x per week","1998","Bavaria","(Married) couple without C. ","85","0.17599551868102","0.143935480193955","0.208055557168084","2"
"Min 1x per week","1998","Bavaria","Single parent ","11","","","","2"
"Min 1x per week","1998","Bavaria","Couple + C. LE 16 ","47","0.0948075640673924","0.0674039537546346","0.12221117438015","2"
"Min 1x per week","1998","Bavaria","Couple + C. GT 16 ","55","0.176024088531305","0.13376558595305","0.218282591109561","2"
"Min 1x per week","1998","Bavaria","Couple + C. LE and GT 16","32","0.240637755408114","0.174607718941439","0.306667791874789","2"
"Min 1x per week","1998","Berlin","1-pers.-HH","8","","","","2"
"Min 1x per week","1998","Berlin","(Married) couple without C. ","5","","","","2"
"Min 1x per week","1998","Berlin","Single parent ","4","","","","2"
"Min 1x per week","1998","Berlin","Couple + C. LE 16 ","4","","","","2"
"Min 1x per week","1998","Berlin","Couple + C. GT 16 ","5","","","","2"
"Min 1x per week","1998","Berlin","Couple + C. LE and GT 16","3","","","","2"
"Min 1x per week","1998","Brandenburg","1-pers.-HH","1","","","","2"
"Min 1x per week","1998","Brandenburg","(Married) couple without C. ","5","","","","2"
"Min 1x per week","1998","Brandenburg","Single parent ","1","","","","2"
"Min 1x per week","1998","Brandenburg","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1998","Brandenburg","Couple + C. GT 16 ","2","","","","2"
"Min 1x per week","1998","Brandenburg","Couple + C. LE and GT 16","1","","","","2"
"Min 1x per week","1998","Mecklenburg-Western Pomerania","1-pers.-HH","2","","","","2"
"Min 1x per week","1998","Mecklenburg-Western Pomerania","(Married) couple without C. ","2","","","","2"
"Min 1x per week","1998","Mecklenburg-Western Pomerania","Single parent ","","","","","2"
