"year","age_gr","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2006","16-34 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2006","16-34 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2006","16-34 y.","(3a) lower tertiary education","","","","","","","","",""
"2006","16-34 y.","(3b) higher tertiary education","","","","","","","","",""
"2006","35-65 y.","(0) in school","","","","","","","","",""
"2006","35-65 y.","(1a) inadequately completed","","","","","","","","",""
"2006","35-65 y.","(1b) general elementary school","","","","","","","","",""
"2006","35-65 y.","(1c) basic vocational qualification","","","","","","","","",""
"2006","35-65 y.","(2a) intermediate vocational","","","","","","","","",""
"2006","35-65 y.","(2b) intermediate general qualification","","","","","","","","",""
"2006","35-65 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2006","35-65 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2006","35-65 y.","(3a) lower tertiary education","","","","","","","","",""
"2006","35-65 y.","(3b) higher tertiary education","","","","","","","","",""
"2006","66 and older","(0) in school","","","","","","","","",""
"2006","66 and older","(1a) inadequately completed","","","","","","","","",""
"2006","66 and older","(1b) general elementary school","","","","","","","","",""
"2006","66 and older","(1c) basic vocational qualification","","","","","","","","",""
"2006","66 and older","(2a) intermediate vocational","","","","","","","","",""
"2006","66 and older","(2b) intermediate general qualification","","","","","","","","",""
"2006","66 and older","(2c_gen) general maturity certificate","","","","","","","","",""
"2006","66 and older","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2006","66 and older","(3a) lower tertiary education","","","","","","","","",""
"2006","66 and older","(3b) higher tertiary education","","","","","","","","",""
"2007","16-34 y.","(0) in school","","","","","","","","",""
"2007","16-34 y.","(1a) inadequately completed","","","","","","","","",""
"2007","16-34 y.","(1b) general elementary school","","","","","","","","",""
"2007","16-34 y.","(1c) basic vocational qualification","","","","","","","","",""
"2007","16-34 y.","(2a) intermediate vocational","","","","","","","","",""
"2007","16-34 y.","(2b) intermediate general qualification","","","","","","","","",""
"2007","16-34 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2007","16-34 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2007","16-34 y.","(3a) lower tertiary education","","","","","","","","",""
"2007","16-34 y.","(3b) higher tertiary education","","","","","","","","",""
"2007","35-65 y.","(0) in school","","","","","","","","",""
"2007","35-65 y.","(1a) inadequately completed","","","","","","","","",""
"2007","35-65 y.","(1b) general elementary school","","","","","","","","",""
"2007","35-65 y.","(1c) basic vocational qualification","","","","","","","","",""
"2007","35-65 y.","(2a) intermediate vocational","","","","","","","","",""
"2007","35-65 y.","(2b) intermediate general qualification","","","","","","","","",""
"2007","35-65 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2007","35-65 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2007","35-65 y.","(3a) lower tertiary education","","","","","","","","",""
"2007","35-65 y.","(3b) higher tertiary education","","","","","","","","",""
"2007","66 and older","(0) in school","","","","","","","","",""
"2007","66 and older","(1a) inadequately completed","","","","","","","","",""
"2007","66 and older","(1b) general elementary school","","","","","","","","",""
"2007","66 and older","(1c) basic vocational qualification","","","","","","","","",""
"2007","66 and older","(2a) intermediate vocational","","","","","","","","",""
"2007","66 and older","(2b) intermediate general qualification","","","","","","","","",""
"2007","66 and older","(2c_gen) general maturity certificate","","","","","","","","",""
"2007","66 and older","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2007","66 and older","(3a) lower tertiary education","","","","","","","","",""
"2007","66 and older","(3b) higher tertiary education","","","","","","","","",""
"2008","16-34 y.","(0) in school","","","","","","","","",""
"2008","16-34 y.","(1a) inadequately completed","","","","","","","","",""
"2008","16-34 y.","(1b) general elementary school","","","","","","","","",""
"2008","16-34 y.","(1c) basic vocational qualification","","","","","","","","",""
"2008","16-34 y.","(2a) intermediate vocational","","","","","","","","",""
"2008","16-34 y.","(2b) intermediate general qualification","","","","","","","","",""
"2008","16-34 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2008","16-34 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2008","16-34 y.","(3a) lower tertiary education","","","","","","","","",""
"2008","16-34 y.","(3b) higher tertiary education","","","","","","","","",""
"2008","35-65 y.","(0) in school","","","","","","","","",""
"2008","35-65 y.","(1a) inadequately completed","","","","","","","","",""
"2008","35-65 y.","(1b) general elementary school","","","","","","","","",""
"2008","35-65 y.","(1c) basic vocational qualification","","","","","","","","",""
"2008","35-65 y.","(2a) intermediate vocational","","","","","","","","",""
"2008","35-65 y.","(2b) intermediate general qualification","","","","","","","","",""
"2008","35-65 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2008","35-65 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2008","35-65 y.","(3a) lower tertiary education","","","","","","","","",""
"2008","35-65 y.","(3b) higher tertiary education","","","","","","","","",""
"2008","66 and older","(0) in school","","","","","","","","",""
"2008","66 and older","(1a) inadequately completed","","","","","","","","",""
"2008","66 and older","(1b) general elementary school","","","","","","","","",""
"2008","66 and older","(1c) basic vocational qualification","","","","","","","","",""
"2008","66 and older","(2a) intermediate vocational","","","","","","","","",""
"2008","66 and older","(2b) intermediate general qualification","","","","","","","","",""
"2008","66 and older","(2c_gen) general maturity certificate","","","","","","","","",""
"2008","66 and older","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2008","66 and older","(3a) lower tertiary education","","","","","","","","",""
"2008","66 and older","(3b) higher tertiary education","","","","","","","","",""
"2009","16-34 y.","(0) in school","3.9","4","309","3.72","4.08","2","3","5","6"
"2009","16-34 y.","(1a) inadequately completed","","","","","","","","",""
"2009","16-34 y.","(1b) general elementary school","4.1","4","258","3.87","4.33","1","3","5","6"
"2009","16-34 y.","(1c) basic vocational qualification","3.9","4","371","3.74","4.06","2","3","5","6"
"2009","16-34 y.","(2a) intermediate vocational","3.89","4","811","3.78","4","2","3","5","6"
"2009","16-34 y.","(2b) intermediate general qualification","3.71","4","308","3.53","3.89","2","2","5","6"
"2009","16-34 y.","(2c_gen) general maturity certificate","3.63","3","562","3.5","3.76","2","2","5","6"
"2009","16-34 y.","(2c_voc) vocational maturity certificate","3.78","4","372","3.61","3.95","2","2","5","6"
"2009","16-34 y.","(3a) lower tertiary education","3.67","4","183","3.44","3.9","1","3","5","6"
"2009","16-34 y.","(3b) higher tertiary education","3.73","4","356","3.56","3.9","2","2","5","6"
"2009","35-65 y.","(0) in school","","","","","","","","",""
"2009","35-65 y.","(1a) inadequately completed","4.4","4","90","4.04","4.76","2","3","6","7"
"2009","35-65 y.","(1b) general elementary school","4.19","4","509","4.05","4.33","2","3","5","7"
"2009","35-65 y.","(1c) basic vocational qualification","4.13","4","2564","4.07","4.19","2","3","5","6"
"2009","35-65 y.","(2a) intermediate vocational","4.05","4","3024","3.99","4.11","2","3","5","6"
"2009","35-65 y.","(2b) intermediate general qualification","4.22","4","88","3.87","4.57","2","3","5","6"
"2009","35-65 y.","(2c_gen) general maturity certificate","4.12","4","109","3.8","4.44","2","3","5","6"
"2009","35-65 y.","(2c_voc) vocational maturity certificate","3.96","4","805","3.85","4.07","2","3","5","6"
"2009","35-65 y.","(3a) lower tertiary education","4.04","4","1019","3.95","4.13","2","3","5","6"
"2009","35-65 y.","(3b) higher tertiary education","4.17","4","1595","4.09","4.25","2","3","5","6"
"2009","66 and older","(0) in school","","","","","","","","",""
"2009","66 and older","(1a) inadequately completed","4.47","4","55","4.06","4.88","3","4","5","7"
"2009","66 and older","(1b) general elementary school","4.61","5","621","4.5","4.72","3","4","6","6"
"2009","66 and older","(1c) basic vocational qualification","4.37","4","1859","4.3","4.44","2","3","5","6"
"2009","66 and older","(2a) intermediate vocational","4.69","5","527","4.56","4.82","3","4","6","6"
"2009","66 and older","(2b) intermediate general qualification","5.06","5","34","4.64","5.48","4","4","6","7"
"2009","66 and older","(2c_gen) general maturity certificate","","","","","","","","",""
"2009","66 and older","(2c_voc) vocational maturity certificate","4.48","5","146","4.22","4.74","2","4","6","7"
"2009","66 and older","(3a) lower tertiary education","4.21","4","379","4.06","4.36","2","3","5","6"
"2009","66 and older","(3b) higher tertiary education","4.31","4","496","4.18","4.44","2","4","5","6"
"2010","16-34 y.","(0) in school","","","","","","","","",""
"2010","16-34 y.","(1a) inadequately completed","","","","","","","","",""
"2010","16-34 y.","(1b) general elementary school","","","","","","","","",""
"2010","16-34 y.","(1c) basic vocational qualification","","","","","","","","",""
"2010","16-34 y.","(2a) intermediate vocational","","","","","","","","",""
"2010","16-34 y.","(2b) intermediate general qualification","","","","","","","","",""
"2010","16-34 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2010","16-34 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2010","16-34 y.","(3a) lower tertiary education","","","","","","","","",""
"2010","16-34 y.","(3b) higher tertiary education","","","","","","","","",""
"2010","35-65 y.","(0) in school","","","","","","","","",""
"2010","35-65 y.","(1a) inadequately completed","","","","","","","","",""
"2010","35-65 y.","(1b) general elementary school","","","","","","","","",""
"2010","35-65 y.","(1c) basic vocational qualification","","","","","","","","",""
"2010","35-65 y.","(2a) intermediate vocational","","","","","","","","",""
"2010","35-65 y.","(2b) intermediate general qualification","","","","","","","","",""
"2010","35-65 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2010","35-65 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2010","35-65 y.","(3a) lower tertiary education","","","","","","","","",""
"2010","35-65 y.","(3b) higher tertiary education","","","","","","","","",""
"2010","66 and older","(0) in school","","","","","","","","",""
"2010","66 and older","(1a) inadequately completed","","","","","","","","",""
"2010","66 and older","(1b) general elementary school","","","","","","","","",""
"2010","66 and older","(1c) basic vocational qualification","","","","","","","","",""
"2010","66 and older","(2a) intermediate vocational","","","","","","","","",""
"2010","66 and older","(2b) intermediate general qualification","","","","","","","","",""
"2010","66 and older","(2c_gen) general maturity certificate","","","","","","","","",""
"2010","66 and older","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2010","66 and older","(3a) lower tertiary education","","","","","","","","",""
"2010","66 and older","(3b) higher tertiary education","","","","","","","","",""
"2011","16-34 y.","(0) in school","","","","","","","","",""
"2011","16-34 y.","(1a) inadequately completed","","","","","","","","",""
"2011","16-34 y.","(1b) general elementary school","","","","","","","","",""
"2011","16-34 y.","(1c) basic vocational qualification","","","","","","","","",""
"2011","16-34 y.","(2a) intermediate vocational","","","","","","","","",""
"2011","16-34 y.","(2b) intermediate general qualification","","","","","","","","",""
"2011","16-34 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2011","16-34 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2011","16-34 y.","(3a) lower tertiary education","","","","","","","","",""
"2011","16-34 y.","(3b) higher tertiary education","","","","","","","","",""
"2011","35-65 y.","(0) in school","","","","","","","","",""
"2011","35-65 y.","(1a) inadequately completed","","","","","","","","",""
"2011","35-65 y.","(1b) general elementary school","","","","","","","","",""
"2011","35-65 y.","(1c) basic vocational qualification","","","","","","","","",""
"2011","35-65 y.","(2a) intermediate vocational","","","","","","","","",""
"2011","35-65 y.","(2b) intermediate general qualification","","","","","","","","",""
"2011","35-65 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2011","35-65 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2011","35-65 y.","(3a) lower tertiary education","","","","","","","","",""
"2011","35-65 y.","(3b) higher tertiary education","","","","","","","","",""
"2011","66 and older","(0) in school","","","","","","","","",""
"2011","66 and older","(1a) inadequately completed","","","","","","","","",""
"2011","66 and older","(1b) general elementary school","","","","","","","","",""
"2011","66 and older","(1c) basic vocational qualification","","","","","","","","",""
"2011","66 and older","(2a) intermediate vocational","","","","","","","","",""
"2011","66 and older","(2b) intermediate general qualification","","","","","","","","",""
"2011","66 and older","(2c_gen) general maturity certificate","","","","","","","","",""
"2011","66 and older","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2011","66 and older","(3a) lower tertiary education","","","","","","","","",""
"2011","66 and older","(3b) higher tertiary education","","","","","","","","",""
"2012","16-34 y.","(0) in school","3.47","3","191","3.24","3.7","1","2","5","6"
"2012","16-34 y.","(1a) inadequately completed","3.84","4","82","3.44","4.24","2","3","5","6"
"2012","16-34 y.","(1b) general elementary school","3.71","4","283","3.51","3.91","1","2","5","6"
"2012","16-34 y.","(1c) basic vocational qualification","3.79","4","309","3.6","3.98","1","2","5","6"
"2012","16-34 y.","(2a) intermediate vocational","3.56","4","520","3.41","3.71","1","2","5","6"
"2012","16-34 y.","(2b) intermediate general qualification","3.72","4","148","3.44","4","1","3","5","6"
"2012","16-34 y.","(2c_gen) general maturity certificate","3.72","4","128","3.44","4","2","3","5","6"
"2012","16-34 y.","(2c_voc) vocational maturity certificate","3.9","4","197","3.66","4.14","2","2","5","6"
"2012","16-34 y.","(3a) lower tertiary education","3.82","4","61","3.39","4.25","1","2","6","6"
"2012","16-34 y.","(3b) higher tertiary education","3.74","4","141","3.5","3.98","2","3","5","6"
"2012","35-65 y.","(0) in school","","","","","","","","",""
"2012","35-65 y.","(1a) inadequately completed","3.75","4","78","3.32","4.18","1","3","5","6"
"2012","35-65 y.","(1b) general elementary school","4.17","4","285","3.97","4.37","2","3","5","6"
"2012","35-65 y.","(1c) basic vocational qualification","4.03","4","815","3.92","4.14","2","3","5","6"
"2012","35-65 y.","(2a) intermediate vocational","3.77","4","1538","3.69","3.85","2","2","5","6"
"2012","35-65 y.","(2b) intermediate general qualification","3.88","4","82","3.52","4.24","2","3","5","6"
"2012","35-65 y.","(2c_gen) general maturity certificate","3.69","4","119","3.38","4","1","2","5","6"
"2012","35-65 y.","(2c_voc) vocational maturity certificate","3.83","4","678","3.71","3.95","2","3","5","6"
"2012","35-65 y.","(3a) lower tertiary education","3.79","4","392","3.64","3.94","2","2","5","6"
"2012","35-65 y.","(3b) higher tertiary education","3.81","4","896","3.71","3.91","2","3","5","6"
"2012","66 and older","(0) in school","","","","","","","","",""
"2012","66 and older","(1a) inadequately completed","","","","","","","","",""
"2012","66 and older","(1b) general elementary school","","","","","","","","",""
"2012","66 and older","(1c) basic vocational qualification","","","","","","","","",""
"2012","66 and older","(2a) intermediate vocational","","","","","","","","",""
"2012","66 and older","(2b) intermediate general qualification","","","","","","","","",""
"2012","66 and older","(2c_gen) general maturity certificate","","","","","","","","",""
"2012","66 and older","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2012","66 and older","(3a) lower tertiary education","","","","","","","","",""
"2012","66 and older","(3b) higher tertiary education","","","","","","","","",""
"2013","16-34 y.","(0) in school","4.01","4","262","3.81","4.21","2","2","6","6"
"2013","16-34 y.","(1a) inadequately completed","3.64","4","34","2.97","4.31","1","2","5","6"
"2013","16-34 y.","(1b) general elementary school","3.61","3","211","3.38","3.84","1","3","5","6"
"2013","16-34 y.","(1c) basic vocational qualification","3.67","4","309","3.48","3.86","1","2","5","6"
"2013","16-34 y.","(2a) intermediate vocational","3.78","4","672","3.66","3.9","2","2","5","6"
"2013","16-34 y.","(2b) intermediate general qualification","3.82","4","265","3.62","4.02","2","3","5","6"
"2013","16-34 y.","(2c_gen) general maturity certificate","3.75","4","566","3.62","3.88","2","3","5","6"
"2013","16-34 y.","(2c_voc) vocational maturity certificate","3.63","4","334","3.46","3.8","1","2","5","6"
"2013","16-34 y.","(3a) lower tertiary education","3.81","3","194","3.59","4.03","2","2","5","6"
"2013","16-34 y.","(3b) higher tertiary education","3.7","4","480","3.56","3.84","2","2","5","6"
"2013","35-65 y.","(0) in school","","","","","","","","",""
"2013","35-65 y.","(1a) inadequately completed","3.89","4","119","3.56","4.22","1","3","5","6"
"2013","35-65 y.","(1b) general elementary school","4.32","4","537","4.18","4.46","2","3","6","7"
"2013","35-65 y.","(1c) basic vocational qualification","4.3","4","2476","4.24","4.36","2","3","5","6"
"2013","35-65 y.","(2a) intermediate vocational","4.13","4","3170","4.07","4.19","2","3","5","6"
"2013","35-65 y.","(2b) intermediate general qualification","4.08","4","134","3.8","4.36","2","3","5","6"
"2013","35-65 y.","(2c_gen) general maturity certificate","4.24","4","162","3.98","4.5","2","3","5","6"
"2013","35-65 y.","(2c_voc) vocational maturity certificate","4.14","4","929","4.04","4.24","2","3","5","6"
"2013","35-65 y.","(3a) lower tertiary education","4.05","4","1009","3.96","4.14","2","3","5","6"
"2013","35-65 y.","(3b) higher tertiary education","4.06","4","1626","3.98","4.14","2","3","5","6"
"2013","66 and older","(0) in school","","","","","","","","",""
"2013","66 and older","(1a) inadequately completed","3.9","4","67","3.46","4.34","1","3","5","7"
"2013","66 and older","(1b) general elementary school","4.42","4","656","4.3","4.54","2","4","6","6"
"2013","66 and older","(1c) basic vocational qualification","4.55","5","2014","4.49","4.61","2","4","6","6"
"2013","66 and older","(2a) intermediate vocational","4.61","5","727","4.5","4.72","3","4","6","7"
"2013","66 and older","(2b) intermediate general qualification","4.46","4","68","4.05","4.87","2","4","6","7"
"2013","66 and older","(2c_gen) general maturity certificate","4.2","4","41","3.73","4.67","2","3","5","6"
"2013","66 and older","(2c_voc) vocational maturity certificate","4.31","4","192","4.08","4.54","2","3","5","6"
"2013","66 and older","(3a) lower tertiary education","4.39","5","476","4.26","4.52","2","3","5","6"
"2013","66 and older","(3b) higher tertiary education","4.43","5","674","4.31","4.55","2","3","6","6"
"2014","16-34 y.","(0) in school","","","","","","","","",""
"2014","16-34 y.","(1a) inadequately completed","","","","","","","","",""
"2014","16-34 y.","(1b) general elementary school","","","","","","","","",""
"2014","16-34 y.","(1c) basic vocational qualification","","","","","","","","",""
"2014","16-34 y.","(2a) intermediate vocational","","","","","","","","",""
"2014","16-34 y.","(2b) intermediate general qualification","","","","","","","","",""
"2014","16-34 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2014","16-34 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2014","16-34 y.","(3a) lower tertiary education","","","","","","","","",""
"2014","16-34 y.","(3b) higher tertiary education","","","","","","","","",""
"2014","35-65 y.","(0) in school","","","","","","","","",""
"2014","35-65 y.","(1a) inadequately completed","","","","","","","","",""
"2014","35-65 y.","(1b) general elementary school","","","","","","","","",""
"2014","35-65 y.","(1c) basic vocational qualification","","","","","","","","",""
"2014","35-65 y.","(2a) intermediate vocational","","","","","","","","",""
"2014","35-65 y.","(2b) intermediate general qualification","","","","","","","","",""
"2014","35-65 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2014","35-65 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2014","35-65 y.","(3a) lower tertiary education","","","","","","","","",""
"2014","35-65 y.","(3b) higher tertiary education","","","","","","","","",""
"2014","66 and older","(0) in school","","","","","","","","",""
"2014","66 and older","(1a) inadequately completed","","","","","","","","",""
"2014","66 and older","(1b) general elementary school","","","","","","","","",""
"2014","66 and older","(1c) basic vocational qualification","","","","","","","","",""
"2014","66 and older","(2a) intermediate vocational","","","","","","","","",""
"2014","66 and older","(2b) intermediate general qualification","","","","","","","","",""
"2014","66 and older","(2c_gen) general maturity certificate","","","","","","","","",""
"2014","66 and older","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2014","66 and older","(3a) lower tertiary education","","","","","","","","",""
"2014","66 and older","(3b) higher tertiary education","","","","","","","","",""
"2015","16-34 y.","(0) in school","","","","","","","","",""
"2015","16-34 y.","(1a) inadequately completed","","","","","","","","",""
"2015","16-34 y.","(1b) general elementary school","","","","","","","","",""
"2015","16-34 y.","(1c) basic vocational qualification","","","","","","","","",""
"2015","16-34 y.","(2a) intermediate vocational","","","","","","","","",""
"2015","16-34 y.","(2b) intermediate general qualification","","","","","","","","",""
"2015","16-34 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2015","16-34 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2015","16-34 y.","(3a) lower tertiary education","","","","","","","","",""
"2015","16-34 y.","(3b) higher tertiary education","","","","","","","","",""
"2015","35-65 y.","(0) in school","","","","","","","","",""
"2015","35-65 y.","(1a) inadequately completed","","","","","","","","",""
"2015","35-65 y.","(1b) general elementary school","","","","","","","","",""
"2015","35-65 y.","(1c) basic vocational qualification","","","","","","","","",""
"2015","35-65 y.","(2a) intermediate vocational","","","","","","","","",""
"2015","35-65 y.","(2b) intermediate general qualification","","","","","","","","",""
"2015","35-65 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2015","35-65 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2015","35-65 y.","(3a) lower tertiary education","","","","","","","","",""
"2015","35-65 y.","(3b) higher tertiary education","","","","","","","","",""
"2015","66 and older","(0) in school","","","","","","","","",""
"2015","66 and older","(1a) inadequately completed","","","","","","","","",""
"2015","66 and older","(1b) general elementary school","","","","","","","","",""
"2015","66 and older","(1c) basic vocational qualification","","","","","","","","",""
"2015","66 and older","(2a) intermediate vocational","","","","","","","","",""
"2015","66 and older","(2b) intermediate general qualification","","","","","","","","",""
"2015","66 and older","(2c_gen) general maturity certificate","","","","","","","","",""
"2015","66 and older","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2015","66 and older","(3a) lower tertiary education","","","","","","","","",""
"2015","66 and older","(3b) higher tertiary education","","","","","","","","",""
"2016","16-34 y.","(0) in school","","","","","","","","",""
"2016","16-34 y.","(1a) inadequately completed","","","","","","","","",""
"2016","16-34 y.","(1b) general elementary school","","","","","","","","",""
"2016","16-34 y.","(1c) basic vocational qualification","","","","","","","","",""
"2016","16-34 y.","(2a) intermediate vocational","","","","","","","","",""
"2016","16-34 y.","(2b) intermediate general qualification","","","","","","","","",""
"2016","16-34 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2016","16-34 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2016","16-34 y.","(3a) lower tertiary education","","","","","","","","",""
"2016","16-34 y.","(3b) higher tertiary education","","","","","","","","",""
"2016","35-65 y.","(0) in school","","","","","","","","",""
"2016","35-65 y.","(1a) inadequately completed","","","","","","","","",""
"2016","35-65 y.","(1b) general elementary school","","","","","","","","",""
"2016","35-65 y.","(1c) basic vocational qualification","","","","","","","","",""
"2016","35-65 y.","(2a) intermediate vocational","","","","","","","","",""
"2016","35-65 y.","(2b) intermediate general qualification","","","","","","","","",""
"2016","35-65 y.","(2c_gen) general maturity certificate","","","","","","","","",""
"2016","35-65 y.","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2016","35-65 y.","(3a) lower tertiary education","","","","","","","","",""
"2016","35-65 y.","(3b) higher tertiary education","","","","","","","","",""
"2016","66 and older","(0) in school","","","","","","","","",""
"2016","66 and older","(1a) inadequately completed","","","","","","","","",""
"2016","66 and older","(1b) general elementary school","","","","","","","","",""
"2016","66 and older","(1c) basic vocational qualification","","","","","","","","",""
"2016","66 and older","(2a) intermediate vocational","","","","","","","","",""
"2016","66 and older","(2b) intermediate general qualification","","","","","","","","",""
"2016","66 and older","(2c_gen) general maturity certificate","","","","","","","","",""
"2016","66 and older","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2016","66 and older","(3a) lower tertiary education","","","","","","","","",""
"2016","66 and older","(3b) higher tertiary education","","","","","","","","",""
"2017","16-34 y.","(0) in school","3.64","3","415","3.48","3.8","2","3","5","6"
"2017","16-34 y.","(1a) inadequately completed","4.04","4","590","3.87","4.21","1","3","6","7"
"2017","16-34 y.","(1b) general elementary school","3.86","4","821","3.73","3.99","1","2","5","7"
"2017","16-34 y.","(1c) basic vocational qualification","3.99","4","484","3.84","4.14","2","3","5","6"
"2017","16-34 y.","(2a) intermediate vocational","3.63","4","908","3.52","3.74","1","2","5","6"
"2017","16-34 y.","(2b) intermediate general qualification","3.85","4","493","3.7","4","2","2","5","6"
"2017","16-34 y.","(2c_gen) general maturity certificate","3.98","4","1205","3.88","4.08","2","3","5","6"
"2017","16-34 y.","(2c_voc) vocational maturity certificate","3.73","4","617","3.6","3.86","2","2","5","6"
"2017","16-34 y.","(3a) lower tertiary education","3.52","3","255","3.33","3.71","2","2","5","6"
"2017","16-34 y.","(3b) higher tertiary education","3.87","4","1014","3.77","3.97","2","3","5","6"
"2017","35-65 y.","(0) in school","","","","","","","","",""
"2017","35-65 y.","(1a) inadequately completed","4.12","4","767","3.98","4.26","1","3","5","7"
"2017","35-65 y.","(1b) general elementary school","4.29","4","1133","4.19","4.39","2","3","6","6"
"2017","35-65 y.","(1c) basic vocational qualification","4.13","4","2902","4.07","4.19","2","3","5","6"
