"plj0587","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Rarely ","2015","Not Employed","Not Working","","","","","4"
"Rarely ","2015","Not Employed","Full Time","","","","","4"
"Rarely ","2015","Employed","Part Time","","","","","4"
"Rarely ","2015","Employed","Full Time","","","","","4"
"Rarely ","2015","Employed","Not Working","","","","","4"
"Sometimes","2015","Not Employed","Not Working","","","","","3"
"Sometimes","2015","Employed","Full Time","","","","","3"
"Sometimes","2015","Not Employed","Full Time","","","","","3"
"Sometimes","2015","Not Employed","Part Time","","","","","3"
"Sometimes","2015","Employed","Part Time","","","","","3"
"Sometimes","2015","Employed","Not Working","","","","","3"
"Very often","2015","Not Employed","Full Time","","","","","1"
"Very often","2015","Not Employed","Part Time","","","","","1"
"Very often","2015","Not Employed","Not Working","","","","","1"
"Very often","2015","Employed","Full Time","","","","","1"
"Very often","2015","Employed","Part Time","","","","","1"
"Very often","2015","Employed","Not Working","","","","","1"
"Never","2016","Not Employed","Full Time","","","","","5"
"Never","2016","Not Employed","Part Time","","","","","5"
"Never","2016","Not Employed","Not Working","893","0.182232902888732","0.170639191524717","0.193826614252747","5"
"Never","2016","Employed","Full Time","","","","","5"
"Never","2016","Employed","Part Time","","","","","5"
"Never","2016","Employed","Not Working","","","","","5"
"Often","2016","Not Employed","Full Time","","","","","2"
"Often","2016","Not Employed","Part Time","","","","","2"
"Often","2016","Not Employed","Not Working","787","0.203974192015274","0.191872517839831","0.216075866190717","2"
"Often","2016","Employed","Full Time","","","","","2"
"Often","2016","Employed","Part Time","","","","","2"
"Often","2016","Employed","Not Working","","","","","2"
"Rarely ","2016","Not Employed","Full Time","","","","","4"
"Rarely ","2016","Not Employed","Part Time","","","","","4"
"Rarely ","2016","Not Employed","Not Working","640","0.131967458150396","0.121802731589329","0.142132184711463","4"
"Rarely ","2016","Employed","Full Time","","","","","4"
"Rarely ","2016","Employed","Part Time","","","","","4"
"Rarely ","2016","Employed","Not Working","","","","","4"
"Sometimes","2016","Not Employed","Full Time","","","","","3"
"Sometimes","2016","Not Employed","Part Time","","","","","3"
"Sometimes","2016","Not Employed","Not Working","1262","0.306837254901664","0.292986739906024","0.320687769897303","3"
"Sometimes","2016","Employed","Full Time","","","","","3"
"Sometimes","2016","Employed","Part Time","","","","","3"
"Sometimes","2016","Employed","Not Working","","","","","3"
"Very often","2016","Not Employed","Full Time","","","","","1"
"Very often","2016","Not Employed","Part Time","","","","","1"
"Very often","2016","Not Employed","Not Working","677","0.174988192043934","0.163577060147027","0.186399323940841","1"
"Very often","2016","Employed","Full Time","","","","","1"
"Very often","2016","Employed","Part Time","","","","","1"
"Very often","2016","Employed","Not Working","","","","","1"
"Never","2017","Not Employed","Full Time","","","","","5"
"Never","2017","Not Employed","Part Time","","","","","5"
"Never","2017","Not Employed","Not Working","2217","0.195148917113187","0.187893244575345","0.202404589651029","5"
"Never","2017","Employed","Full Time","2171","0.195717128796373","0.188089745654853","0.203344511937892","5"
"Never","2017","Employed","Part Time","1500","0.188498452357267","0.179744471158151","0.197252433556383","5"
"Never","2017","Employed","Not Working","","","","","5"
"Often","2017","Not Employed","Full Time","","","","","2"
"Often","2017","Not Employed","Not Working","1429","0.098740661652266","0.0932791892916527","0.104202134012879","2"
"Often","2017","Not Employed","Part Time","","","","","2"
"Often","2017","Employed","Not Working","","","","","2"
"Often","2017","Employed","Full Time","607","0.0584936465042139","0.0539821283383458","0.0630051646700821","2"
"Often","2017","Employed","Part Time","570","0.0694676743821198","0.0637769945619557","0.0751583542022838","2"
"Rarely ","2017","Not Employed","Full Time","","","","","4"
"Rarely ","2017","Not Employed","Part Time","","","","","4"
"Rarely ","2017","Employed","Part Time","3057","0.412237295398147","0.401219830091431","0.423254760704864","4"
"Rarely ","2017","Employed","Full Time","4355","0.433039535838396","0.423513835906675","0.442565235770118","4"
"Rarely ","2017","Employed","Not Working","","","","","4"
"Rarely ","2017","Not Employed","Not Working","3423","0.347241456904648","0.338525222486649","0.355957691322648","4"
"Sometimes","2017","Not Employed","Full Time","","","","","3"
"Sometimes","2017","Not Employed","Part Time","","","","","3"
"Sometimes","2017","Employed","Part Time","2419","0.314825523048067","0.304430089796833","0.3252209562993","3"
"Sometimes","2017","Employed","Not Working","","","","","3"
"Sometimes","2017","Not Employed","Not Working","3684","0.324584895541256","0.316012812448803","0.333156978633708","3"
"Sometimes","2017","Employed","Full Time","3157","0.303935128895056","0.295092690507796","0.312777567282315","3"
"Very often","2017","Not Employed","Not Working","708","0.0342840687886434","0.0309528150664944","0.0376153225107924","1"
"Very often","2017","Employed","Not Working","","","","","1"
"Very often","2017","Not Employed","Full Time","","","","","1"
"Very often","2017","Not Employed","Part Time","","","","","1"
"Very often","2017","Employed","Full Time","104","0.00881455996596114","0.00701761610218987","0.0106115038297324","1"
"Very often","2017","Employed","Part Time","122","0.0149710548143994","0.0122530029753897","0.0176891066534091","1"
"Never","2018","Not Employed","Full Time","","","","","5"
"Never","2018","Not Employed","Part Time","","","","","5"
"Never","2018","Not Employed","Not Working","104","0.247512674895549","0.206239130846508","0.28878621894459","5"
"Never","2018","Employed","Part Time","","","","","5"
"Never","2018","Employed","Not Working","","","","","5"
"Never","2018","Employed","Full Time","","","","","5"
"Often","2018","Not Employed","Not Working","79","0.22537946229164","0.185419495493228","0.265339429090051","2"
"Often","2018","Employed","Full Time","","","","","2"
"Often","2018","Employed","Not Working","","","","","2"
"Often","2018","Not Employed","Full Time","","","","","2"
"Often","2018","Not Employed","Part Time","","","","","2"
"Often","2018","Employed","Part Time","","","","","2"
"Rarely ","2018","Not Employed","Full Time","","","","","4"
"Rarely ","2018","Not Employed","Part Time","","","","","4"
"Rarely ","2018","Employed","Not Working","","","","","4"
"Rarely ","2018","Not Employed","Not Working","52","0.111318864941327","0.0812386586003434","0.141399071282311","4"
"Rarely ","2018","Employed","Full Time","","","","","4"
"Rarely ","2018","Employed","Part Time","","","","","4"
"Sometimes","2018","Not Employed","Full Time","","","","","3"
"Sometimes","2018","Not Employed","Part Time","","","","","3"
"Sometimes","2018","Not Employed","Not Working","129","0.308659940839491","0.264481595944363","0.35283828573462","3"
"Sometimes","2018","Employed","Not Working","","","","","3"
"Sometimes","2018","Employed","Full Time","","","","","3"
"Sometimes","2018","Employed","Part Time","","","","","3"
"Very often","2018","Not Employed","Not Working","56","0.107129057031993","0.0775508781032463","0.136707235960739","1"
"Very often","2018","Not Employed","Part Time","","","","","1"
"Very often","2018","Employed","Not Working","","","","","1"
"Very often","2018","Employed","Full Time","","","","","1"
"Very often","2018","Not Employed","Full Time","","","","","1"
"Very often","2018","Employed","Part Time","","","","","1"
"Never","2019","Not Employed","Full Time","","","","","5"
"Never","2019","Not Employed","Part Time","","","","","5"
"Never","2019","Not Employed","Not Working","51","0.188667007137153","0.142509632529171","0.234824381745135","5"
"Never","2019","Employed","Full Time","","","","","5"
"Never","2019","Employed","Part Time","","","","","5"
"Never","2019","Employed","Not Working","","","","","5"
"Often","2019","Not Employed","Full Time","","","","","2"
"Often","2019","Not Employed","Part Time","","","","","2"
"Often","2019","Not Employed","Not Working","62","0.229903428716749","0.180262617614144","0.279544239819355","2"
"Often","2019","Employed","Full Time","","","","","2"
"Often","2019","Employed","Not Working","","","","","2"
"Often","2019","Employed","Part Time","","","","","2"
"Rarely ","2019","Not Employed","Full Time","","","","","4"
"Rarely ","2019","Not Employed","Part Time","","","","","4"
"Rarely ","2019","Not Employed","Not Working","26","","","","4"
"Rarely ","2019","Employed","Full Time","","","","","4"
"Rarely ","2019","Employed","Not Working","","","","","4"
"Rarely ","2019","Employed","Part Time","","","","","4"
"Sometimes","2019","Not Employed","Not Working","98","0.352970088194506","0.296590138910837","0.409350037478175","3"
"Sometimes","2019","Employed","Not Working","","","","","3"
"Sometimes","2019","Not Employed","Part Time","","","","","3"
"Sometimes","2019","Not Employed","Full Time","","","","","3"
"Sometimes","2019","Employed","Full Time","","","","","3"
"Sometimes","2019","Employed","Part Time","","","","","3"
"Very often","2019","Employed","Not Working","","","","","1"
"Very often","2019","Employed","Full Time","","","","","1"
"Very often","2019","Not Employed","Full Time","","","","","1"
"Very often","2019","Not Employed","Part Time","","","","","1"
"Very often","2019","Not Employed","Not Working","39","0.148324031330998","0.10639290706727","0.190255155594726","1"
"Very often","2019","Employed","Part Time","","","","","1"
