"plb0218","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Rarely","2005","no migration background","Rural Area","881","0.240603360949994","0.226344071736437","0.254862650163551"
"Rarely","2005","direct migration background","Urban Area","211","0.225917452215674","0.200253913885251","0.251580990546098"
"Rarely","2005","direct migration background","Rural Area","45","0.29607751276948","0.230469520093492","0.361685505445467"
"Rarely","2005","indirect migration background","Urban Area","77","0.19809864749991","0.159471942285341","0.236725352714479"
"Rarely","2005","indirect migration background","Rural Area","11","","",""
"No, never","2006","no migration background","Urban Area","","","",""
"No, never","2006","no migration background","Rural Area","","","",""
"No, never","2006","direct migration background","Urban Area","","","",""
"No, never","2006","direct migration background","Rural Area","","","",""
"No, never","2006","indirect migration background","Urban Area","","","",""
"No, never","2006","indirect migration background","Rural Area","","","",""
"Yes, every week","2006","no migration background","Urban Area","","","",""
"Yes, every week","2006","no migration background","Rural Area","","","",""
"Yes, every week","2006","direct migration background","Urban Area","","","",""
"Yes, every week","2006","direct migration background","Rural Area","","","",""
"Yes, every week","2006","indirect migration background","Urban Area","","","",""
"Yes, every week","2006","indirect migration background","Rural Area","","","",""
"Yes, every 2 weeks","2006","no migration background","Urban Area","","","",""
"Yes, every 2 weeks","2006","no migration background","Rural Area","","","",""
"Yes, every 2 weeks","2006","direct migration background","Urban Area","","","",""
"Yes, every 2 weeks","2006","direct migration background","Rural Area","","","",""
"Yes, every 2 weeks","2006","indirect migration background","Urban Area","","","",""
"Yes, every 2 weeks","2006","indirect migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2006","no migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2006","no migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2006","indirect migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2006","indirect migration background","Rural Area","","","",""
"Rarely","2006","no migration background","Urban Area","","","",""
"Rarely","2006","no migration background","Rural Area","","","",""
"Rarely","2006","direct migration background","Urban Area","","","",""
"Rarely","2006","direct migration background","Rural Area","","","",""
"Rarely","2006","indirect migration background","Urban Area","","","",""
"Rarely","2006","indirect migration background","Rural Area","","","",""
"No, never","2007","no migration background","Urban Area","2368","0.360846882438947","0.349032974927326","0.372660789950568"
"No, never","2007","no migration background","Rural Area","1136","0.30563072595148","0.2905255657061","0.320735886196861"
"No, never","2007","direct migration background","Urban Area","360","0.409779319394665","0.377505683614972","0.442052955174358"
"No, never","2007","direct migration background","Rural Area","73","0.395664503957369","0.327031440796176","0.464297567118563"
"No, never","2007","indirect migration background","Urban Area","188","0.449464924032454","0.402004428834828","0.49692541923008"
"No, never","2007","indirect migration background","Rural Area","33","0.353798028088716","0.245585061573699","0.462010994603734"
"Yes, every week","2007","no migration background","Urban Area","908","0.144525767523579","0.135875974001807","0.153175561045352"
"Yes, every week","2007","no migration background","Rural Area","569","0.157570907349019","0.14562452861278","0.169517286085258"
"Yes, every week","2007","direct migration background","Urban Area","117","0.139226613535146","0.11650855526325","0.161944671807043"
"Yes, every week","2007","direct migration background","Rural Area","21","","",""
"Yes, every week","2007","indirect migration background","Urban Area","65","0.177720893251087","0.141247956211508","0.214193830290665"
"Yes, every week","2007","indirect migration background","Rural Area","13","","",""
"Yes, every 2 weeks","2007","no migration background","Urban Area","860","0.146090814678555","0.137402272173815","0.154779357183295"
"Yes, every 2 weeks","2007","no migration background","Rural Area","594","0.175852893379792","0.163370188260912","0.188335598498672"
"Yes, every 2 weeks","2007","direct migration background","Urban Area","151","0.177952377856809","0.152852821206145","0.203051934507474"
"Yes, every 2 weeks","2007","direct migration background","Rural Area","38","0.182094249681315","0.127927779919773","0.236260719442856"
"Yes, every 2 weeks","2007","indirect migration background","Urban Area","54","0.129893644645074","0.0978182515659565","0.161969037724192"
"Yes, every 2 weeks","2007","indirect migration background","Rural Area","4","","",""
"Yes, every 3-4 weeks","2007","no migration background","Urban Area","592","0.0989965033864062","0.0916496258989905","0.106343380873822"
"Yes, every 3-4 weeks","2007","no migration background","Rural Area","369","0.105302269480212","0.095237852625064","0.11536668633536"
"Yes, every 3-4 weeks","2007","direct migration background","Urban Area","84","0.0739840086896786","0.0568071462890752","0.091160871090282"
"Yes, every 3-4 weeks","2007","direct migration background","Rural Area","17","","",""
"Yes, every 3-4 weeks","2007","indirect migration background","Urban Area","44","0.132735434270432","0.100364062435189","0.165106806105674"
"Yes, every 3-4 weeks","2007","indirect migration background","Rural Area","9","","",""
"Rarely","2007","no migration background","Urban Area","1620","0.249540031972512","0.238894594572733","0.260185469372291"
"Rarely","2007","no migration background","Rural Area","905","0.255643203839496","0.241339803717165","0.269946603961828"
"Rarely","2007","direct migration background","Urban Area","180","0.199057680523701","0.172854394706659","0.225260966340743"
"Rarely","2007","direct migration background","Rural Area","46","0.234498694136456","0.175031976497695","0.293965411775217"
"Rarely","2007","indirect migration background","Urban Area","71","0.110185103800954","0.0803104319193151","0.140059775682592"
"Rarely","2007","indirect migration background","Rural Area","16","","",""
"No, never","2008","no migration background","Urban Area","","","",""
"No, never","2008","no migration background","Rural Area","","","",""
"No, never","2008","direct migration background","Urban Area","","","",""
"No, never","2008","direct migration background","Rural Area","","","",""
"No, never","2008","indirect migration background","Urban Area","","","",""
"No, never","2008","indirect migration background","Rural Area","","","",""
"Yes, every week","2008","no migration background","Urban Area","","","",""
"Yes, every week","2008","no migration background","Rural Area","","","",""
"Yes, every week","2008","direct migration background","Urban Area","","","",""
"Yes, every week","2008","direct migration background","Rural Area","","","",""
"Yes, every week","2008","indirect migration background","Urban Area","","","",""
"Yes, every week","2008","indirect migration background","Rural Area","","","",""
"Yes, every 2 weeks","2008","no migration background","Urban Area","","","",""
"Yes, every 2 weeks","2008","no migration background","Rural Area","","","",""
"Yes, every 2 weeks","2008","direct migration background","Urban Area","","","",""
"Yes, every 2 weeks","2008","direct migration background","Rural Area","","","",""
"Yes, every 2 weeks","2008","indirect migration background","Urban Area","","","",""
"Yes, every 2 weeks","2008","indirect migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2008","no migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2008","no migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2008","direct migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2008","direct migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2008","indirect migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2008","indirect migration background","Rural Area","","","",""
"Rarely","2008","no migration background","Urban Area","","","",""
"Rarely","2008","no migration background","Rural Area","","","",""
"Rarely","2008","direct migration background","Urban Area","","","",""
"Rarely","2008","direct migration background","Rural Area","","","",""
"Rarely","2008","indirect migration background","Urban Area","","","",""
"Rarely","2008","indirect migration background","Rural Area","","","",""
"No, never","2009","no migration background","Urban Area","2056","0.35454494862345","0.342051411229538","0.367038486017361"
"No, never","2009","no migration background","Rural Area","1065","0.321592141974894","0.305516335636238","0.33766794831355"
"No, never","2009","direct migration background","Urban Area","304","0.432820792245901","0.396854262595107","0.468787321896695"
"No, never","2009","direct migration background","Rural Area","58","0.347610101455581","0.270888609183264","0.424331593727897"
"No, never","2009","indirect migration background","Urban Area","166","0.436535960281043","0.386995408305959","0.486076512256127"
"No, never","2009","indirect migration background","Rural Area","32","0.333935833499743","0.226482033595333","0.441389633404153"
"Yes, every week","2009","no migration background","Urban Area","815","0.147446729518241","0.138187068197303","0.156706390839179"
"Yes, every week","2009","no migration background","Rural Area","524","0.154521942138492","0.142081928220324","0.16696195605666"
"Yes, every week","2009","direct migration background","Urban Area","125","0.178508726868291","0.150710600154736","0.206306853581846"
"Yes, every week","2009","direct migration background","Rural Area","21","","",""
"Yes, every week","2009","indirect migration background","Urban Area","66","0.16825236469141","0.130884859628991","0.20561986975383"
"Yes, every week","2009","indirect migration background","Rural Area","16","","",""
"Yes, every 2 weeks","2009","no migration background","Urban Area","756","0.143866940851369","0.134701192989906","0.153032688712831"
"Yes, every 2 weeks","2009","no migration background","Rural Area","507","0.166737381312503","0.153908698880889","0.179566063744116"
"Yes, every 2 weeks","2009","direct migration background","Urban Area","105","0.139542889098072","0.114389135863855","0.16469664233229"
"Yes, every 2 weeks","2009","direct migration background","Rural Area","25","","",""
"Yes, every 2 weeks","2009","indirect migration background","Urban Area","61","0.171559889667615","0.133901983903509","0.20921779543172"
"Yes, every 2 weeks","2009","indirect migration background","Rural Area","7","","",""
"Yes, every 3-4 weeks","2009","no migration background","Urban Area","500","0.0880490935364534","0.0806485274317115","0.0954496596411952"
"Yes, every 3-4 weeks","2009","no migration background","Rural Area","325","0.0959559087220548","0.0858190058790085","0.106092811565101"
"Yes, every 3-4 weeks","2009","direct migration background","Urban Area","47","0.0755153691125688","0.0563352257305221","0.0946955124946155"
"Yes, every 3-4 weeks","2009","direct migration background","Rural Area","14","","",""
"Yes, every 3-4 weeks","2009","indirect migration background","Urban Area","24","","",""
"Yes, every 3-4 weeks","2009","indirect migration background","Rural Area","4","","",""
"Rarely","2009","no migration background","Urban Area","1505","0.266092287470487","0.2545510165111","0.277633558429874"
"Rarely","2009","no migration background","Rural Area","822","0.261192625852056","0.246073708839285","0.276311542864828"
"Rarely","2009","direct migration background","Urban Area","148","0.173612222675167","0.146116419011472","0.201108026338862"
"Rarely","2009","direct migration background","Rural Area","30","0.227386605446699","0.159859087184706","0.294914123708693"
"Rarely","2009","indirect migration background","Urban Area","68","0.164608979108062","0.127567408886168","0.201650549329956"
"Rarely","2009","indirect migration background","Rural Area","15","","",""
"No, never","2010","no migration background","Urban Area","740","0.361731746284956","0.34133553861066","0.382127953959252"
"No, never","2010","no migration background","Rural Area","489","0.362033145009947","0.336992639295234","0.38707365072466"
"No, never","2010","direct migration background","Urban Area","166","0.308456353780106","0.269892631233302","0.347020076326911"
"No, never","2010","direct migration background","Rural Area","46","0.283312737856343","0.214765187327701","0.351860288384985"
"No, never","2010","indirect migration background","Urban Area","77","0.347023865869417","0.282019457973439","0.412028273765395"
"No, never","2010","indirect migration background","Rural Area","16","","",""
"Yes, every week","2010","no migration background","Urban Area","272","0.122569283545361","0.108648883010654","0.136489684080067"
"Yes, every week","2010","no migration background","Rural Area","214","0.145856182923437","0.127465502666514","0.164246863180361"
"Yes, every week","2010","direct migration background","Urban Area","81","0.139281437032957","0.110371343564295","0.168191530501619"
"Yes, every week","2010","direct migration background","Rural Area","27","","",""
"Yes, every week","2010","indirect migration background","Urban Area","28","","",""
"Yes, every week","2010","indirect migration background","Rural Area","11","","",""
"Yes, every 2 weeks","2010","no migration background","Urban Area","334","0.159481444375912","0.143940291814808","0.175022596937017"
"Yes, every 2 weeks","2010","no migration background","Rural Area","235","0.161220939230164","0.142060547466237","0.18038133099409"
"Yes, every 2 weeks","2010","direct migration background","Urban Area","106","0.181240603230219","0.149076000645684","0.213405205814754"
"Yes, every 2 weeks","2010","direct migration background","Rural Area","38","0.24299859925207","0.177754044213253","0.308243154290888"
"Yes, every 2 weeks","2010","indirect migration background","Urban Area","37","0.1862644392024","0.133100016406524","0.239428861998275"
"Yes, every 2 weeks","2010","indirect migration background","Rural Area","9","","",""
"Yes, every 3-4 weeks","2010","no migration background","Urban Area","189","0.0829851063766156","0.0712754874171532","0.094694725336078"
"Yes, every 3-4 weeks","2010","no migration background","Rural Area","138","0.0988722705226852","0.0833197672345239","0.114424773810846"
"Yes, every 3-4 weeks","2010","direct migration background","Urban Area","65","0.128382402112165","0.100451302396134","0.156313501828195"
"Yes, every 3-4 weeks","2010","direct migration background","Rural Area","18","","",""
"Yes, every 3-4 weeks","2010","indirect migration background","Urban Area","19","","",""
"Yes, every 3-4 weeks","2010","indirect migration background","Rural Area","4","","",""
"Rarely","2010","no migration background","Urban Area","597","0.273232419417156","0.254316895367714","0.292147943466597"
"Rarely","2010","no migration background","Rural Area","339","0.232017462313767","0.210023378288256","0.254011546339278"
"Rarely","2010","direct migration background","Urban Area","133","0.242639203844553","0.206845702119816","0.278432705569289"
"Rarely","2010","direct migration background","Rural Area","37","0.219331910755663","0.15638445637675","0.282279365134576"
"Rarely","2010","indirect migration background","Urban Area","45","0.224663315990139","0.167669763312786","0.281656868667491"
"Rarely","2010","indirect migration background","Rural Area","12","","",""
"No, never","2011","no migration background","Urban Area","3411","0.377790774986971","0.367657524978178","0.387924024995763"
"No, never","2011","no migration background","Rural Area","1906","0.351568090388024","0.33880382659423","0.364332354181819"
"No, never","2011","direct migration background","Urban Area","537","0.393835884489965","0.367723910616946","0.419947858362984"
"No, never","2011","direct migration background","Rural Area","152","0.374046381968767","0.327880017942976","0.420212745994559"
"No, never","2011","indirect migration background","Urban Area","261","0.410312532668162","0.373010869179376","0.447614196156949"
"No, never","2011","indirect migration background","Rural Area","52","0.228989729362014","0.162841179853449","0.295138278870578"
"Yes, every week","2011","no migration background","Urban Area","1254","0.14971049821397","0.142253493859217","0.157167502568723"
"Yes, every week","2011","no migration background","Rural Area","784","0.137442985515932","0.128238191962877","0.146647779068988"
"Yes, every week","2011","direct migration background","Urban Area","202","0.155114856597166","0.135767907748519","0.174461805445813"
"Yes, every week","2011","direct migration background","Rural Area","64","0.133723950425374","0.101250785505377","0.166197115345372"
"Yes, every week","2011","indirect migration background","Urban Area","113","0.198732696162165","0.168471699140998","0.228993693183332"
"Yes, every week","2011","indirect migration background","Rural Area","23","","",""
"Yes, every 2 weeks","2011","no migration background","Urban Area","1248","0.141755880385606","0.134465825125156","0.149045935646055"
"Yes, every 2 weeks","2011","no migration background","Rural Area","941","0.16835709418895","0.158353800697315","0.178360387680585"
"Yes, every 2 weeks","2011","direct migration background","Urban Area","225","0.180286405343846","0.159741719365862","0.20083109132183"
"Yes, every 2 weeks","2011","direct migration background","Rural Area","79","0.167446212647787","0.131822786973687","0.203069638321888"
"Yes, every 2 weeks","2011","indirect migration background","Urban Area","108","0.174690771091436","0.14589669211627","0.203484850066603"
"Yes, every 2 weeks","2011","indirect migration background","Rural Area","21","","",""
"Yes, every 3-4 weeks","2011","no migration background","Urban Area","787","0.0873769158911359","0.0814749194810635","0.0932789123012083"
"Yes, every 3-4 weeks","2011","no migration background","Rural Area","518","0.0951642214972123","0.0873194447475299","0.103008998246895"
"Yes, every 3-4 weeks","2011","direct migration background","Urban Area","124","0.0939699949660379","0.0783761633310067","0.109563826601069"
"Yes, every 3-4 weeks","2011","direct migration background","Rural Area","42","0.11257140922004","0.0824154862555292","0.142727332184551"
"Yes, every 3-4 weeks","2011","indirect migration background","Urban Area","56","0.0594653105647072","0.0415312300768205","0.0773993910525939"
"Yes, every 3-4 weeks","2011","indirect migration background","Rural Area","26","","",""
"Rarely","2011","no migration background","Urban Area","2094","0.243365930522318","0.234397267705031","0.252334593339604"
"Rarely","2011","no migration background","Rural Area","1226","0.247467608409881","0.235930933990254","0.259004282829508"
"Rarely","2011","direct migration background","Urban Area","257","0.176792858602985","0.156404893923068","0.197180823282902"
"Rarely","2011","direct migration background","Rural Area","85","0.212212045738031","0.173201542794283","0.251222548681779"
"Rarely","2011","indirect migration background","Urban Area","130","0.156798689513529","0.129224883843401","0.184372495183658"
"Rarely","2011","indirect migration background","Rural Area","33","0.237828980622611","0.170803359885711","0.304854601359512"
"No, never","2012","no migration background","Urban Area","983","0.404884957901816","0.385412064506867","0.424357851296765"
"No, never","2012","no migration background","Rural Area","676","0.400178599308088","0.376799463274738","0.423557735341437"
"No, never","2012","direct migration background","Urban Area","202","0.400723353370862","0.358644370570995","0.44280233617073"
"No, never","2012","direct migration background","Rural Area","71","0.330265427698742","0.264590758487512","0.395940096909973"
"No, never","2012","indirect migration background","Urban Area","90","0.376227429445731","0.315935301103089","0.436519557788373"
"No, never","2012","indirect migration background","Rural Area","27","","",""
"Yes, every week","2012","no migration background","Urban Area","346","0.135092970483237","0.121532795607274","0.148653145359199"
"Yes, every week","2012","no migration background","Rural Area","252","0.147822521455496","0.130885935175459","0.164759107735533"
"Yes, every week","2012","direct migration background","Urban Area","73","0.131269642708974","0.102272588534909","0.160266696883039"
"Yes, every week","2012","direct migration background","Rural Area","33","0.175728100982536","0.122582070419707","0.228874131545364"
"Yes, every week","2012","indirect migration background","Urban Area","32","0.14279874964861","0.0992549973392727","0.186342501957947"
"Yes, every week","2012","indirect migration background","Rural Area","9","","",""
"Yes, every 2 weeks","2012","no migration background","Urban Area","372","0.149056018160219","0.134927733239454","0.163184303080984"
"Yes, every 2 weeks","2012","no migration background","Rural Area","280","0.163842781599955","0.14618044416444","0.181505119035469"
"Yes, every 2 weeks","2012","direct migration background","Urban Area","94","0.209141519513435","0.174219548550919","0.244063490475952"
"Yes, every 2 weeks","2012","direct migration background","Rural Area","47","0.289817696512501","0.226465401663106","0.353169991361896"
"Yes, every 2 weeks","2012","indirect migration background","Urban Area","54","0.233370719957728","0.180728022501659","0.286013417413798"
"Yes, every 2 weeks","2012","indirect migration background","Rural Area","13","","",""
"Yes, every 3-4 weeks","2012","no migration background","Urban Area","216","0.0941345830365538","0.08255026044456","0.105718905628548"
"Yes, every 3-4 weeks","2012","no migration background","Rural Area","150","0.0813528015498547","0.0683075882709849","0.0943980148287245"
"Yes, every 3-4 weeks","2012","direct migration background","Urban Area","54","0.0929594852760039","0.0680256303893235","0.117893340162684"
"Yes, every 3-4 weeks","2012","direct migration background","Rural Area","25","","",""
"Yes, every 3-4 weeks","2012","indirect migration background","Urban Area","23","","",""
"Yes, every 3-4 weeks","2012","indirect migration background","Rural Area","3","","",""
"Rarely","2012","no migration background","Urban Area","524","0.216831470418175","0.200483909190687","0.233179031645663"
"Rarely","2012","no migration background","Rural Area","329","0.206803296086607","0.187476506060147","0.226130086113067"
"Rarely","2012","direct migration background","Urban Area","98","0.165905999130724","0.133963582252863","0.197848416008585"
"Rarely","2012","direct migration background","Rural Area","21","","",""
"Rarely","2012","indirect migration background","Urban Area","49","0.151322063476917","0.106721039059116","0.195923087894719"
"Rarely","2012","indirect migration background","Rural Area","10","","",""
"No, never","2013","no migration background","Urban Area","3247","0.369160634463113","0.358685576015923","0.379635692910304"
"No, never","2013","no migration background","Rural Area","1821","0.359662176898907","0.346378818573715","0.372945535224098"
"No, never","2013","direct migration background","Urban Area","479","0.39004473744516","0.362595903919527","0.417493570970793"
"No, never","2013","direct migration background","Rural Area","128","0.326110952884448","0.278018320363684","0.374203585405212"
"No, never","2013","indirect migration background","Urban Area","273","0.435579485832856","0.397461800841709","0.473697170824004"
"No, never","2013","indirect migration background","Rural Area","54","0.283354444614179","0.211240428603203","0.355468460625154"
"Yes, every week","2013","no migration background","Urban Area","1034","0.128886951380732","0.1216136580143","0.136160244747164"
"Yes, every week","2013","no migration background","Rural Area","692","0.135849375584303","0.126365639200379","0.145333111968227"
"Yes, every week","2013","direct migration background","Urban Area","199","0.170713015891809","0.149538990354009","0.191887041429608"
"Yes, every week","2013","direct migration background","Rural Area","53","0.119902595113854","0.0865767385758991","0.15322845165181"
"Yes, every week","2013","indirect migration background","Urban Area","98","0.172532125155087","0.143485079351147","0.201579170959027"
"Yes, every week","2013","indirect migration background","Rural Area","23","","",""
"Yes, every 2 weeks","2013","no migration background","Urban Area","1142","0.139094388276425","0.131582970049614","0.146605806503236"
"Yes, every 2 weeks","2013","no migration background","Rural Area","848","0.185629460549643","0.174867524558669","0.196391396540617"
"Yes, every 2 weeks","2013","direct migration background","Urban Area","206","0.15555619711505","0.13516011622319","0.17595227800691"
"Yes, every 2 weeks","2013","direct migration background","Rural Area","81","0.192852111672239","0.152376780063828","0.23332744328065"
"Yes, every 2 weeks","2013","indirect migration background","Urban Area","111","0.149495062129441","0.122082902234023","0.176907222024858"
"Yes, every 2 weeks","2013","indirect migration background","Rural Area","29","","",""
"Yes, every 3-4 weeks","2013","no migration background","Urban Area","699","0.096158504463571","0.089759250325421","0.102557758601721"
"Yes, every 3-4 weeks","2013","no migration background","Rural Area","464","0.082388233292414","0.0747776488631957","0.0899988177216322"
"Yes, every 3-4 weeks","2013","direct migration background","Urban Area","101","0.0986277076134461","0.0818485844426175","0.115406830784275"
"Yes, every 3-4 weeks","2013","direct migration background","Rural Area","31","0.0920700170889157","0.0624089378029781","0.121731096374853"
"Yes, every 3-4 weeks","2013","indirect migration background","Urban Area","54","0.0663860378319793","0.0472472928240899","0.0855247828398687"
"Yes, every 3-4 weeks","2013","indirect migration background","Rural Area","11","","",""
"Rarely","2013","no migration background","Urban Area","2031","0.266699521416159","0.257100179250264","0.276298863582053"
"Rarely","2013","no migration background","Rural Area","1189","0.236470753674734","0.224709395323821","0.248232112025647"
"Rarely","2013","direct migration background","Urban Area","228","0.185058341934535","0.163204123315969","0.206912560553101"
"Rarely","2013","direct migration background","Rural Area","72","0.269064323240543","0.223568733718482","0.314559912762604"
"Rarely","2013","indirect migration background","Urban Area","114","0.176007289050637","0.146730838336028","0.205283739765245"
"Rarely","2013","indirect migration background","Rural Area","33","0.169275173244647","0.109264611808049","0.229285734681245"
"No, never","2014","no migration background","Urban Area","","","",""
"No, never","2014","no migration background","Rural Area","","","",""
"No, never","2014","direct migration background","Urban Area","","","",""
"No, never","2014","direct migration background","Rural Area","","","",""
"No, never","2014","indirect migration background","Urban Area","","","",""
"No, never","2014","indirect migration background","Rural Area","","","",""
"Yes, every week","2014","no migration background","Urban Area","","","",""
"Yes, every week","2014","no migration background","Rural Area","","","",""
"Yes, every week","2014","direct migration background","Urban Area","","","",""
"Yes, every week","2014","direct migration background","Rural Area","","","",""
"Yes, every week","2014","indirect migration background","Urban Area","","","",""
"Yes, every week","2014","indirect migration background","Rural Area","","","",""
"Yes, every 2 weeks","2014","no migration background","Urban Area","","","",""
"Yes, every 2 weeks","2014","no migration background","Rural Area","","","",""
"Yes, every 2 weeks","2014","direct migration background","Urban Area","","","",""
"Yes, every 2 weeks","2014","direct migration background","Rural Area","","","",""
"Yes, every 2 weeks","2014","indirect migration background","Urban Area","","","",""
"Yes, every 2 weeks","2014","indirect migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2014","no migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2014","no migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2014","direct migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2014","direct migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2014","indirect migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2014","indirect migration background","Rural Area","","","",""
"Rarely","2014","no migration background","Urban Area","","","",""
"Rarely","2014","no migration background","Rural Area","","","",""
"Rarely","2014","direct migration background","Urban Area","","","",""
"Rarely","2014","direct migration background","Rural Area","","","",""
"Rarely","2014","indirect migration background","Urban Area","","","",""
"Rarely","2014","indirect migration background","Rural Area","","","",""
"No, never","2015","no migration background","Urban Area","2813","0.385510257965605","0.374181031416175","0.396839484515034"
"No, never","2015","no migration background","Rural Area","1647","0.364680624334753","0.350488791555319","0.378872457114187"
"No, never","2015","direct migration background","Urban Area","853","0.389738257468121","0.368632067012241","0.410844447924001"
"No, never","2015","direct migration background","Rural Area","300","0.415742084194334","0.37858949888479","0.452894669503878"
"No, never","2015","indirect migration background","Urban Area","365","0.408090397080164","0.375654965641049","0.440525828519279"
"No, never","2015","indirect migration background","Rural Area","78","0.33869157650713","0.273264986247856","0.404118166766405"
"Yes, every week","2015","no migration background","Urban Area","887","0.125872568539133","0.118151491330704","0.133593645747562"
"Yes, every week","2015","no migration background","Rural Area","586","0.136951325084264","0.126814852394404","0.147087797774124"
"Yes, every week","2015","direct migration background","Urban Area","340","0.172761787808863","0.156400992946187","0.189122582671539"
"Yes, every week","2015","direct migration background","Rural Area","90","0.132494268303897","0.106937292307968","0.158051244299825"
"Yes, every week","2015","indirect migration background","Urban Area","142","0.156923272490891","0.132918862977606","0.180927682004176"
"Yes, every week","2015","indirect migration background","Rural Area","29","","",""
"Yes, every 2 weeks","2015","no migration background","Urban Area","998","0.145491824111365","0.137284484979781","0.153699163242949"
"Yes, every 2 weeks","2015","no migration background","Rural Area","723","0.17330034045335","0.162140456526073","0.184460224380628"
"Yes, every 2 weeks","2015","direct migration background","Urban Area","349","0.181349135877689","0.164673885313858","0.198024386441521"
"Yes, every 2 weeks","2015","direct migration background","Rural Area","118","0.158710546444003","0.131165065546496","0.18625602734151"
"Yes, every 2 weeks","2015","indirect migration background","Urban Area","140","0.180028995917479","0.15467278967179","0.205385202163168"
"Yes, every 2 weeks","2015","indirect migration background","Rural Area","37","0.191168945437336","0.136807919653476","0.245529971221196"
"Yes, every 3-4 weeks","2015","no migration background","Urban Area","607","0.0865101871948437","0.0799666819695465","0.0930536924201408"
"Yes, every 3-4 weeks","2015","no migration background","Rural Area","379","0.0832299571043729","0.0750856126669531","0.0913743015417927"
"Yes, every 3-4 weeks","2015","direct migration background","Urban Area","159","0.0973459379481377","0.0845171729907943","0.110174702905481"
"Yes, every 3-4 weeks","2015","direct migration background","Rural Area","69","0.0937744667971874","0.0717991476033459","0.115749785991029"
"Yes, every 3-4 weeks","2015","indirect migration background","Urban Area","80","0.0853507206641927","0.0669114095072348","0.103790031821151"
"Yes, every 3-4 weeks","2015","indirect migration background","Rural Area","15","","",""
"Rarely","2015","no migration background","Urban Area","1785","0.256615162189054","0.246448626735441","0.266781697642666"
"Rarely","2015","no migration background","Rural Area","1084","0.24183775302326","0.229212816095312","0.254462689951207"
