"plb0218","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Yes, every 2 weeks","2007","66 and older","Male","13","","",""
"Yes, every 2 weeks","2007","66 and older","Female","","","",""
"Yes, every 3-4 weeks","2007","16-34 y.","Male","169","0.114724662731305","0.0988490611794434","0.130600264283166"
"Yes, every 3-4 weeks","2007","16-34 y.","Female","127","0.0953869044500359","0.0802777348698064","0.110496074030265"
"Yes, every 3-4 weeks","2007","35-65 y.","Male","505","0.116288531708912","0.106805667756089","0.125771395661734"
"Yes, every 3-4 weeks","2007","35-65 y.","Female","302","0.0771546297386315","0.0688227029593913","0.0854865565178718"
"Yes, every 3-4 weeks","2007","66 and older","Male","7","","",""
"Yes, every 3-4 weeks","2007","66 and older","Female","5","","",""
"Rarely","2007","16-34 y.","Male","370","0.236052294193735","0.214897999932266","0.257206588455205"
"Rarely","2007","16-34 y.","Female","254","0.170765105880955","0.151409662105009","0.190120549656901"
"Rarely","2007","35-65 y.","Male","1373","0.298693185787806","0.285154312683604","0.312232058892008"
"Rarely","2007","35-65 y.","Female","801","0.200002672556379","0.187512680916442","0.212492664196315"
"Rarely","2007","66 and older","Male","34","0.290565034420835","0.20966785560136","0.37146221324031"
"Rarely","2007","66 and older","Female","6","","",""
"No, never","2008","16-34 y.","Male","","","",""
"No, never","2008","16-34 y.","Female","","","",""
"No, never","2008","35-65 y.","Male","","","",""
"No, never","2008","35-65 y.","Female","","","",""
"No, never","2008","66 and older","Male","","","",""
"No, never","2008","66 and older","Female","","","",""
"Yes, every week","2008","16-34 y.","Male","","","",""
"Yes, every week","2008","16-34 y.","Female","","","",""
"Yes, every week","2008","35-65 y.","Male","","","",""
"Yes, every week","2008","35-65 y.","Female","","","",""
"Yes, every week","2008","66 and older","Male","","","",""
"Yes, every week","2008","66 and older","Female","","","",""
"Yes, every 2 weeks","2008","16-34 y.","Male","","","",""
"Yes, every 2 weeks","2008","16-34 y.","Female","","","",""
"Yes, every 2 weeks","2008","35-65 y.","Male","","","",""
"Yes, every 2 weeks","2008","35-65 y.","Female","","","",""
"Yes, every 2 weeks","2008","66 and older","Male","","","",""
"Yes, every 2 weeks","2008","66 and older","Female","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","Male","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","Female","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","Male","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","Female","","","",""
"Yes, every 3-4 weeks","2008","66 and older","Male","","","",""
"Yes, every 3-4 weeks","2008","66 and older","Female","","","",""
"Rarely","2008","16-34 y.","Male","","","",""
"Rarely","2008","16-34 y.","Female","","","",""
"Rarely","2008","35-65 y.","Male","","","",""
"Rarely","2008","35-65 y.","Female","","","",""
"Rarely","2008","66 and older","Male","","","",""
"Rarely","2008","66 and older","Female","","","",""
"No, never","2009","16-34 y.","Male","456","0.359633568111638","0.333466128886992","0.385801007336283"
"No, never","2009","16-34 y.","Female","525","0.396355629304918","0.369766169899995","0.422945088709841"
"No, never","2009","35-65 y.","Male","1073","0.271307904439277","0.257213419991047","0.285402388887507"
"No, never","2009","35-65 y.","Female","1552","0.439381874759445","0.423115005651296","0.455648743867595"
"No, never","2009","66 and older","Male","42","0.295176378672976","0.22093515604974","0.369417601296212"
"No, never","2009","66 and older","Female","33","0.455385248324713","0.342678054036245","0.568092442613181"
"Yes, every week","2009","16-34 y.","Male","182","0.146912235702051","0.127608441690965","0.166216029713137"
"Yes, every week","2009","16-34 y.","Female","199","0.168756751952128","0.148397066728815","0.189116437175441"
"Yes, every week","2009","35-65 y.","Male","622","0.164542832025769","0.152789864918671","0.176295799132866"
"Yes, every week","2009","35-65 y.","Female","509","0.143806511226174","0.132305803370587","0.155307219081762"
"Yes, every week","2009","66 and older","Male","39","0.226513381918275","0.158383533249545","0.294643230587005"
"Yes, every week","2009","66 and older","Female","16","","",""
"Yes, every 2 weeks","2009","16-34 y.","Male","194","0.141960843178237","0.12293014712617","0.160991539230305"
"Yes, every 2 weeks","2009","16-34 y.","Female","248","0.18452928591461","0.163442361084956","0.205616210744264"
"Yes, every 2 weeks","2009","35-65 y.","Male","478","0.137438039401821","0.126523772539434","0.148352306264209"
"Yes, every 2 weeks","2009","35-65 y.","Female","524","0.157127181000524","0.14519949988285","0.169054862118197"
"Yes, every 2 weeks","2009","66 and older","Male","9","","",""
"Yes, every 2 weeks","2009","66 and older","Female","8","","",""
"Yes, every 3-4 weeks","2009","16-34 y.","Male","132","0.104822803505627","0.0881196210591975","0.121525985952057"
"Yes, every 3-4 weeks","2009","16-34 y.","Female","86","0.0628239713159261","0.0496338225517907","0.0760141200800614"
"Yes, every 3-4 weeks","2009","35-65 y.","Male","406","0.101744315792014","0.0921613264117289","0.111327305172299"
"Yes, every 3-4 weeks","2009","35-65 y.","Female","279","0.0726105975433861","0.0641054783225394","0.0811157167642327"
"Yes, every 3-4 weeks","2009","66 and older","Male","11","","",""
"Yes, every 3-4 weeks","2009","66 and older","Female","","","",""
"Rarely","2009","16-34 y.","Male","328","0.246670549502447","0.223165132632949","0.270175966371944"
"Rarely","2009","16-34 y.","Female","242","0.187534361512418","0.166315633633511","0.208753089391324"
"Rarely","2009","35-65 y.","Male","1244","0.324966908341119","0.310120272951397","0.339813543730841"
"Rarely","2009","35-65 y.","Female","712","0.187073835470471","0.174292347604095","0.199855323336846"
"Rarely","2009","66 and older","Male","44","0.292832677676218","0.218763938622546","0.36690141672989"
"Rarely","2009","66 and older","Female","18","","",""
"No, never","2010","16-34 y.","Male","225","0.300959640903621","0.269055790881477","0.332863490925764"
"No, never","2010","16-34 y.","Female","237","0.348535425233655","0.311148077115634","0.385922773351677"
"No, never","2010","35-65 y.","Male","439","0.284589348888308","0.263000020383544","0.306178677393072"
"No, never","2010","35-65 y.","Female","633","0.458927265076938","0.433045561946114","0.484808968207763"
"No, never","2010","66 and older","Male","","","",""
"No, never","2010","66 and older","Female","","","",""
"Yes, every week","2010","16-34 y.","Male","98","0.119903356804285","0.0973080265725457","0.142498687036024"
"Yes, every week","2010","16-34 y.","Female","106","0.177586791649615","0.147601645834801","0.207571937464429"
"Yes, every week","2010","35-65 y.","Male","240","0.132781072468351","0.116544865722166","0.149017279214536"
"Yes, every week","2010","35-65 y.","Female","188","0.122975947714748","0.105918700751144","0.140033194678353"
"Yes, every week","2010","66 and older","Male","1","","",""
"Yes, every week","2010","66 and older","Female","","","",""
"Yes, every 2 weeks","2010","16-34 y.","Male","150","0.185317526635725","0.15829099757904","0.21234405569241"
"Yes, every 2 weeks","2010","16-34 y.","Female","145","0.256128739749235","0.221880847974378","0.290376631524093"
"Yes, every 2 weeks","2010","35-65 y.","Male","244","0.139305195562809","0.122737566570816","0.155872824554802"
"Yes, every 2 weeks","2010","35-65 y.","Female","220","0.146009330069014","0.127668881073839","0.16434977906419"
"Yes, every 2 weeks","2010","66 and older","Male","","","",""
"Yes, every 2 weeks","2010","66 and older","Female","","","",""
"Yes, every 3-4 weeks","2010","16-34 y.","Male","85","0.105486225546157","0.0841199299442632","0.126852521148052"
"Yes, every 3-4 weeks","2010","16-34 y.","Female","46","0.068788797878494","0.0489306494700797","0.0886469462869082"
"Yes, every 3-4 weeks","2010","35-65 y.","Male","197","0.123540195734451","0.107795935589292","0.13928445587961"
"Yes, every 3-4 weeks","2010","35-65 y.","Female","105","0.0740531061827509","0.060452515331053","0.0876536970344488"
"Yes, every 3-4 weeks","2010","66 and older","Male","","","",""
"Yes, every 3-4 weeks","2010","66 and older","Female","","","",""
"Rarely","2010","16-34 y.","Male","236","0.288333250110213","0.256825053904355","0.31984144631607"
"Rarely","2010","16-34 y.","Female","90","0.148960245489001","0.121024136928413","0.176896354049588"
"Rarely","2010","35-65 y.","Male","558","0.319784187346081","0.297468823769432","0.342099550922731"
"Rarely","2010","35-65 y.","Female","278","0.198034350956548","0.177335737977515","0.218732963935581"
"Rarely","2010","66 and older","Male","1","","",""
"Rarely","2010","66 and older","Female","","","",""
"No, never","2011","16-34 y.","Male","669","0.342818999572092","0.322011656151979","0.363626342992205"
"No, never","2011","16-34 y.","Female","922","0.435178921187871","0.414183348202131","0.456174494173612"
"No, never","2011","35-65 y.","Male","1884","0.299926378895691","0.288573408626535","0.311279349164847"
"No, never","2011","35-65 y.","Female","2766","0.442406939145608","0.429983737033608","0.454830141257607"
"No, never","2011","66 and older","Male","44","0.2978293485427","0.222613562012215","0.373045135073184"
"No, never","2011","66 and older","Female","34","0.511486353868832","0.400554526962918","0.622418180774745"
"Yes, every week","2011","16-34 y.","Male","283","0.142917700900986","0.127575206710929","0.158260195091042"
"Yes, every week","2011","16-34 y.","Female","296","0.138388492054473","0.123765235758727","0.153011748350219"
"Yes, every week","2011","35-65 y.","Male","954","0.148501251711978","0.139691019085744","0.157311484338211"
"Yes, every week","2011","35-65 y.","Female","855","0.149180311406247","0.140269065550222","0.158091557262271"
"Yes, every week","2011","66 and older","Male","33","0.249037835923938","0.177909014297166","0.320166657550711"
"Yes, every week","2011","66 and older","Female","19","","",""
"Yes, every 2 weeks","2011","16-34 y.","Male","325","0.154932830341911","0.139070790503378","0.170794870180443"
"Yes, every 2 weeks","2011","16-34 y.","Female","428","0.188336713316493","0.171779249961211","0.204894176671776"
"Yes, every 2 weeks","2011","35-65 y.","Male","870","0.143006027225544","0.134332487611626","0.151679566839461"
"Yes, every 2 weeks","2011","35-65 y.","Female","981","0.161129426923091","0.151933430013167","0.170325423833015"
"Yes, every 2 weeks","2011","66 and older","Male","8","","",""
"Yes, every 2 weeks","2011","66 and older","Female","10","","",""
"Yes, every 3-4 weeks","2011","16-34 y.","Male","208","0.085800149187299","0.0735227524940724","0.0980775458805256"
"Yes, every 3-4 weeks","2011","16-34 y.","Female","179","0.0750592242520617","0.0639009416515836","0.0862175068525399"
"Yes, every 3-4 weeks","2011","35-65 y.","Male","669","0.109659705959157","0.101918085701807","0.117401326216506"
"Yes, every 3-4 weeks","2011","35-65 y.","Female","476","0.0777439109734929","0.0710462545816347","0.0844415673653511"
"Yes, every 3-4 weeks","2011","66 and older","Male","16","","",""
"Yes, every 3-4 weeks","2011","66 and older","Female","5","","",""
"Rarely","2011","16-34 y.","Male","514","0.273530319997713","0.253989032360253","0.293071607635173"
"Rarely","2011","16-34 y.","Female","317","0.1630366491891","0.147393139376523","0.178680159001678"
"Rarely","2011","35-65 y.","Male","1881","0.298906636207631","0.287564730866692","0.310248541548569"
"Rarely","2011","35-65 y.","Female","1062","0.169539411551561","0.160153882581638","0.178924940521485"
"Rarely","2011","66 and older","Male","41","0.291390723455025","0.216652082495043","0.366129364415008"
"Rarely","2011","66 and older","Female","10","","",""
"No, never","2012","16-34 y.","Male","189","0.337400227030506","0.298378465939857","0.376421988121156"
"No, never","2012","16-34 y.","Female","294","0.450590163349551","0.412515572945506","0.488664753753597"
"No, never","2012","35-65 y.","Male","623","0.336953521822916","0.315677721251885","0.358229322393948"
"No, never","2012","35-65 y.","Female","942","0.466530953465274","0.444866515782288","0.48819539114826"
"No, never","2012","66 and older","Male","1","","",""
"No, never","2012","66 and older","Female","","","",""
"Yes, every week","2012","16-34 y.","Male","79","0.148902597420941","0.119522765401679","0.178282429440202"
"Yes, every week","2012","16-34 y.","Female","111","0.151782861510977","0.124325357162509","0.179240365859444"
"Yes, every week","2012","35-65 y.","Male","272","0.136075309820197","0.120642090307062","0.151508529333331"
"Yes, every week","2012","35-65 y.","Female","283","0.137915297421458","0.122941437499321","0.152889157343595"
"Yes, every week","2012","66 and older","Male","","","",""
"Yes, every week","2012","66 and older","Female","","","",""
"Yes, every 2 weeks","2012","16-34 y.","Male","111","0.209785846454953","0.176183544255167","0.243388148654738"
"Yes, every 2 weeks","2012","16-34 y.","Female","121","0.208286633403014","0.177211653234111","0.239361613571918"
"Yes, every 2 weeks","2012","35-65 y.","Male","299","0.16298690130373","0.146361528091554","0.179612274515905"
"Yes, every 2 weeks","2012","35-65 y.","Female","329","0.156925196601144","0.141129747726126","0.172720645476162"
"Yes, every 2 weeks","2012","66 and older","Male","","","",""
"Yes, every 2 weeks","2012","66 and older","Female","","","",""
"Yes, every 3-4 weeks","2012","16-34 y.","Male","57","0.0870073211031799","0.0637467654435896","0.11026787676277"
"Yes, every 3-4 weeks","2012","16-34 y.","Female","59","0.099531304920043","0.0766220834931193","0.122440526346967"
"Yes, every 3-4 weeks","2012","35-65 y.","Male","206","0.112689880786409","0.0984564661372336","0.126923295435585"
"Yes, every 3-4 weeks","2012","35-65 y.","Female","147","0.0679291846296884","0.0570020767126552","0.0788562925467216"
"Yes, every 3-4 weeks","2012","66 and older","Male","2","","",""
"Yes, every 3-4 weeks","2012","66 and older","Female","","","",""
"Rarely","2012","16-34 y.","Male","128","0.21690400799042","0.18289062508629","0.25091739089455"
"Rarely","2012","16-34 y.","Female","71","0.0898090368164148","0.0679302896105464","0.111687784022283"
"Rarely","2012","35-65 y.","Male","496","0.251294386266748","0.231770068710948","0.270818703822548"
"Rarely","2012","35-65 y.","Female","336","0.170699367882436","0.154360403307443","0.187038332457429"
"Rarely","2012","66 and older","Male","","","",""
"Rarely","2012","66 and older","Female","","","",""
"No, never","2013","16-34 y.","Male","676","0.38443551063962","0.361630729714104","0.407240291565137"
"No, never","2013","16-34 y.","Female","821","0.405529891891162","0.38340587548718","0.427653908295145"
"No, never","2013","35-65 y.","Male","1692","0.288603377113454","0.276767498634136","0.300439255592772"
"No, never","2013","35-65 y.","Female","2702","0.431016813688503","0.418481063763669","0.443552563613337"
"No, never","2013","66 and older","Male","54","0.400995063427778","0.326663277189481","0.475326849666076"
"No, never","2013","66 and older","Female","57","0.533180141308296","0.441194399843891","0.625165882772701"
"Yes, every week","2013","16-34 y.","Male","239","0.113553491106172","0.0986803092123039","0.128426673000039"
"Yes, every week","2013","16-34 y.","Female","273","0.144543576167351","0.128698808749741","0.16038834358496"
"Yes, every week","2013","35-65 y.","Male","786","0.139868897455923","0.130808718093293","0.148929076818554"
"Yes, every week","2013","35-65 y.","Female","745","0.133048765768433","0.124451581071077","0.141645950465789"
"Yes, every week","2013","66 and older","Male","30","0.151291973343877","0.0969448008624774","0.205639145825276"
"Yes, every week","2013","66 and older","Female","26","","",""
"Yes, every 2 weeks","2013","16-34 y.","Male","241","0.143167790156882","0.126748743776661","0.159586836537103"
"Yes, every 2 weeks","2013","16-34 y.","Female","378","0.196471768961672","0.178568259397877","0.214375278525467"
"Yes, every 2 weeks","2013","35-65 y.","Male","804","0.143454394028851","0.134297966403209","0.152610821654493"
"Yes, every 2 weeks","2013","35-65 y.","Female","970","0.165687112891993","0.156275537219819","0.175098688564167"
"Yes, every 2 weeks","2013","66 and older","Male","15","","",""
"Yes, every 2 weeks","2013","66 and older","Female","9","","",""
"Yes, every 3-4 weeks","2013","16-34 y.","Male","170","0.0954771469258382","0.0817007113615989","0.109253582490078"
"Yes, every 3-4 weeks","2013","16-34 y.","Female","146","0.0856586463136437","0.0730482914052814","0.0982690012220059"
"Yes, every 3-4 weeks","2013","35-65 y.","Male","578","0.106920608927487","0.0988488229312635","0.114992394923711"
"Yes, every 3-4 weeks","2013","35-65 y.","Female","451","0.0788189763488072","0.0719980810384519","0.0856398716591625"
"Yes, every 3-4 weeks","2013","66 and older","Male","13","","",""
"Yes, every 3-4 weeks","2013","66 and older","Female","2","","",""
"Rarely","2013","16-34 y.","Male","422","0.263366061171487","0.242717816237707","0.284014306105268"
"Rarely","2013","16-34 y.","Female","274","0.167796116666171","0.150958006492654","0.184634226839688"
"Rarely","2013","35-65 y.","Male","1770","0.321152722474284","0.308956207933435","0.333349237015134"
"Rarely","2013","35-65 y.","Female","1127","0.191428331302264","0.181469328280042","0.201387334324487"
"Rarely","2013","66 and older","Male","55","0.31478987680018","0.244351049091906","0.385228704508453"
"Rarely","2013","66 and older","Female","19","","",""
"No, never","2014","16-34 y.","Male","","","",""
"No, never","2014","16-34 y.","Female","","","",""
"No, never","2014","35-65 y.","Male","","","",""
"No, never","2014","35-65 y.","Female","","","",""
"No, never","2014","66 and older","Male","","","",""
"No, never","2014","66 and older","Female","","","",""
"Yes, every week","2014","16-34 y.","Male","","","",""
"Yes, every week","2014","16-34 y.","Female","","","",""
"Yes, every week","2014","35-65 y.","Male","","","",""
"Yes, every week","2014","35-65 y.","Female","","","",""
"Yes, every week","2014","66 and older","Male","","","",""
"Yes, every week","2014","66 and older","Female","","","",""
"Yes, every 2 weeks","2014","16-34 y.","Male","","","",""
"Yes, every 2 weeks","2014","16-34 y.","Female","","","",""
"Yes, every 2 weeks","2014","35-65 y.","Male","","","",""
"Yes, every 2 weeks","2014","35-65 y.","Female","","","",""
"Yes, every 2 weeks","2014","66 and older","Male","","","",""
"Yes, every 2 weeks","2014","66 and older","Female","","","",""
"Yes, every 3-4 weeks","2014","16-34 y.","Male","","","",""
"Yes, every 3-4 weeks","2014","16-34 y.","Female","","","",""
"Yes, every 3-4 weeks","2014","35-65 y.","Male","","","",""
"Yes, every 3-4 weeks","2014","35-65 y.","Female","","","",""
"Yes, every 3-4 weeks","2014","66 and older","Male","","","",""
"Yes, every 3-4 weeks","2014","66 and older","Female","","","",""
"Rarely","2014","16-34 y.","Male","","","",""
"Rarely","2014","16-34 y.","Female","","","",""
"Rarely","2014","35-65 y.","Male","","","",""
"Rarely","2014","35-65 y.","Female","","","",""
"Rarely","2014","66 and older","Male","","","",""
"Rarely","2014","66 and older","Female","","","",""
"No, never","2015","16-34 y.","Male","719","0.383237992990843","0.361017672866294","0.405458313115391"
"No, never","2015","16-34 y.","Female","794","0.406521549075706","0.384078418168448","0.428964679982963"
"No, never","2015","35-65 y.","Male","1732","0.312298410840625","0.299986829890664","0.324609991790586"
"No, never","2015","35-65 y.","Female","2666","0.435786092716443","0.423101176091478","0.448471009341409"
"No, never","2015","66 and older","Male","85","0.496477197763707","0.428692108432501","0.564262287094914"
"No, never","2015","66 and older","Female","60","0.561171183799766","0.471634225344153","0.650708142255378"
"Yes, every week","2015","16-34 y.","Male","249","0.136764429179885","0.121060494908299","0.15246836345147"
"Yes, every week","2015","16-34 y.","Female","288","0.144797851333684","0.128719014432477","0.160876688234892"
"Yes, every week","2015","35-65 y.","Male","750","0.133840034263275","0.12479477547455","0.142885293051999"
"Yes, every week","2015","35-65 y.","Female","729","0.132773345574984","0.124092724508396","0.141453966641571"
"Yes, every week","2015","66 and older","Male","41","0.184782720403372","0.132163753811742","0.237401686995003"
"Yes, every week","2015","66 and older","Female","17","","",""
"Yes, every 2 weeks","2015","16-34 y.","Male","284","0.145695810487796","0.129571281908994","0.161820339066598"
"Yes, every 2 weeks","2015","16-34 y.","Female","371","0.224061143835917","0.205009335490129","0.243112952181705"
"Yes, every 2 weeks","2015","35-65 y.","Male","759","0.148330634411363","0.138888289421282","0.157772979401444"
"Yes, every 2 weeks","2015","35-65 y.","Female","928","0.163344911036556","0.153887874361859","0.172801947711253"
"Yes, every 2 weeks","2015","66 and older","Male","10","","",""
"Yes, every 2 weeks","2015","66 and older","Female","13","","",""
"Yes, every 3-4 weeks","2015","16-34 y.","Male","169","0.0948220753748452","0.0814321261054689","0.108212024644222"
"Yes, every 3-4 weeks","2015","16-34 y.","Female","131","0.0737783215441478","0.061834012389902","0.0857226306983935"
"Yes, every 3-4 weeks","2015","35-65 y.","Male","552","0.100434524096025","0.0924493051852761","0.108419743006775"
"Yes, every 3-4 weeks","2015","35-65 y.","Female","435","0.075789818482494","0.0690193324238241","0.0825603045411638"
"Yes, every 3-4 weeks","2015","66 and older","Male","17","","",""
"Yes, every 3-4 weeks","2015","66 and older","Female","5","","",""
"Rarely","2015","16-34 y.","Male","418","0.239479691966632","0.219974645936488","0.258984737996775"
"Rarely","2015","16-34 y.","Female","256","0.150841134210546","0.134488280625581","0.16719398779551"
"Rarely","2015","35-65 y.","Male","1650","0.305096396388712","0.292864050728903","0.317328742048521"
"Rarely","2015","35-65 y.","Female","1112","0.192305832189523","0.182223784632853","0.202387879746194"
"Rarely","2015","66 and older","Male","56","0.227293129245282","0.170476496856997","0.284109761633566"
"Rarely","2015","66 and older","Female","23","","",""
"No, never","2016","16-34 y.","Male","","","",""
"No, never","2016","16-34 y.","Female","","","",""
"No, never","2016","35-65 y.","Male","","","",""
"No, never","2016","35-65 y.","Female","","","",""
"No, never","2016","66 and older","Male","","","",""
"No, never","2016","66 and older","Female","","","",""
"Yes, every week","2016","16-34 y.","Male","","","",""
"Yes, every week","2016","16-34 y.","Female","","","",""
"Yes, every week","2016","35-65 y.","Male","","","",""
"Yes, every week","2016","35-65 y.","Female","","","",""
"Yes, every week","2016","66 and older","Male","","","",""
"Yes, every week","2016","66 and older","Female","","","",""
"Yes, every 2 weeks","2016","16-34 y.","Male","","","",""
"Yes, every 2 weeks","2016","16-34 y.","Female","","","",""
"Yes, every 2 weeks","2016","35-65 y.","Male","","","",""
"Yes, every 2 weeks","2016","35-65 y.","Female","","","",""
"Yes, every 2 weeks","2016","66 and older","Male","","","",""
"Yes, every 2 weeks","2016","66 and older","Female","","","",""
"Yes, every 3-4 weeks","2016","16-34 y.","Male","","","",""
"Yes, every 3-4 weeks","2016","16-34 y.","Female","","","",""
"Yes, every 3-4 weeks","2016","35-65 y.","Male","","","",""
"Yes, every 3-4 weeks","2016","35-65 y.","Female","","","",""
"Yes, every 3-4 weeks","2016","66 and older","Male","","","",""
"Yes, every 3-4 weeks","2016","66 and older","Female","","","",""
"Rarely","2016","16-34 y.","Male","","","",""
"Rarely","2016","16-34 y.","Female","","","",""
"Rarely","2016","35-65 y.","Male","","","",""
"Rarely","2016","35-65 y.","Female","","","",""
"Rarely","2016","66 and older","Male","","","",""
"Rarely","2016","66 and older","Female","","","",""
"No, never","2017","16-34 y.","Male","834","0.421291569107131","0.399912026948879","0.442671111265383"
"No, never","2017","16-34 y.","Female","939","0.486549710473059","0.464764070303859","0.50833535064226"
"No, never","2017","35-65 y.","Male","2079","0.346318206748779","0.334164131255706","0.358472282241851"
"No, never","2017","35-65 y.","Female","3111","0.467075715904224","0.454904712973046","0.479246718835401"
