"plb0218","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes, every week","2005","35-65 y.","general elemantary","53","0.171818607662755","0.135437920556065","0.208199294769444"
"Yes, every week","2005","35-65 y.","middle vocational","527","0.138267777711869","0.127526309477216","0.149009245946521"
"Yes, every week","2005","35-65 y.","vocational + Abi","40","0.0980959097315299","0.070552689679324","0.125639129783736"
"Yes, every week","2005","35-65 y.","higher vocational","126","0.156359211894598","0.131783413744375","0.18093501004482"
"Yes, every week","2005","35-65 y.","higher education","357","0.155382450210505","0.140999387971831","0.16976551244918"
"Yes, every week","2005","66 and older","in school","","","",""
"Yes, every week","2005","66 and older","inadequately","","","",""
"Yes, every week","2005","66 and older","general elemantary","3","","",""
"Yes, every week","2005","66 and older","middle vocational","19","","",""
"Yes, every week","2005","66 and older","vocational + Abi","","","",""
"Yes, every week","2005","66 and older","higher vocational","2","","",""
"Yes, every week","2005","66 and older","higher education","11","","",""
"Yes, every 2 weeks","2005","16-34 y.","in school","7","","",""
"Yes, every 2 weeks","2005","16-34 y.","inadequately","1","","",""
"Yes, every 2 weeks","2005","16-34 y.","general elemantary","83","0.179751694405959","0.145648679267427","0.213854709544492"
"Yes, every 2 weeks","2005","16-34 y.","middle vocational","260","0.172386510831659","0.153422900291681","0.191350121371637"
"Yes, every 2 weeks","2005","16-34 y.","vocational + Abi","55","0.174987762681937","0.133679165673464","0.21629635969041"
"Yes, every 2 weeks","2005","16-34 y.","higher vocational","35","0.211302754262548","0.150294077062117","0.272311431462979"
"Yes, every 2 weeks","2005","16-34 y.","higher education","62","0.155240734733277","0.121326629577681","0.189154839888873"
"Yes, every 2 weeks","2005","35-65 y.","in school","","","",""
"Yes, every 2 weeks","2005","35-65 y.","inadequately","6","","",""
"Yes, every 2 weeks","2005","35-65 y.","general elemantary","56","0.143907815011391","0.110056501806773","0.177759128216009"
"Yes, every 2 weeks","2005","35-65 y.","middle vocational","582","0.146026101168843","0.135037193250865","0.15701500908682"
"Yes, every 2 weeks","2005","35-65 y.","vocational + Abi","55","0.108163104171254","0.0794029391904959","0.136923269152011"
"Yes, every 2 weeks","2005","35-65 y.","higher vocational","124","0.165531942615272","0.140383396949041","0.190680488281504"
"Yes, every 2 weeks","2005","35-65 y.","higher education","239","0.105902144381762","0.0936851259212495","0.118119162842274"
"Yes, every 2 weeks","2005","66 and older","in school","","","",""
"Yes, every 2 weeks","2005","66 and older","inadequately","","","",""
"Yes, every 2 weeks","2005","66 and older","general elemantary","","","",""
"Yes, every 2 weeks","2005","66 and older","middle vocational","2","","",""
"Yes, every 2 weeks","2005","66 and older","vocational + Abi","","","",""
"Yes, every 2 weeks","2005","66 and older","higher vocational","1","","",""
"Yes, every 2 weeks","2005","66 and older","higher education","6","","",""
"Yes, every 3-4 weeks","2005","16-34 y.","in school","3","","",""
"Yes, every 3-4 weeks","2005","16-34 y.","inadequately","1","","",""
"Yes, every 3-4 weeks","2005","16-34 y.","general elemantary","39","0.0761558326872734","0.0525980421173671","0.0997136232571796"
"Yes, every 3-4 weeks","2005","16-34 y.","middle vocational","147","0.102446230108577","0.0872220527069655","0.117670407510189"
"Yes, every 3-4 weeks","2005","16-34 y.","vocational + Abi","24","","",""
"Yes, every 3-4 weeks","2005","16-34 y.","higher vocational","16","","",""
"Yes, every 3-4 weeks","2005","16-34 y.","higher education","34","0.0851410820561357","0.0590039650905702","0.111278199021701"
"Yes, every 3-4 weeks","2005","35-65 y.","in school","","","",""
"Yes, every 3-4 weeks","2005","35-65 y.","inadequately","4","","",""
"Yes, every 3-4 weeks","2005","35-65 y.","general elemantary","31","0.0676454989489543","0.0434250017946122","0.0918659961032963"
"Yes, every 3-4 weeks","2005","35-65 y.","middle vocational","382","0.104509555607171","0.0949898072329279","0.114029303981414"
"Yes, every 3-4 weeks","2005","35-65 y.","vocational + Abi","45","0.0915089777309792","0.0648095928510786","0.11820836261088"
"Yes, every 3-4 weeks","2005","35-65 y.","higher vocational","86","0.0960985747435401","0.0761557754035033","0.116041374083577"
"Yes, every 3-4 weeks","2005","35-65 y.","higher education","219","0.0839171589104556","0.0729090406459006","0.0949252771750106"
"Yes, every 3-4 weeks","2005","66 and older","in school","","","",""
"Yes, every 3-4 weeks","2005","66 and older","inadequately","","","",""
"Yes, every 3-4 weeks","2005","66 and older","general elemantary","","","",""
"Yes, every 3-4 weeks","2005","66 and older","middle vocational","1","","",""
"Yes, every 3-4 weeks","2005","66 and older","vocational + Abi","","","",""
"Yes, every 3-4 weeks","2005","66 and older","higher vocational","2","","",""
"Yes, every 3-4 weeks","2005","66 and older","higher education","7","","",""
"Rarely","2005","16-34 y.","in school","9","","",""
"Rarely","2005","16-34 y.","inadequately","2","","",""
"Rarely","2005","16-34 y.","general elemantary","67","0.137875294686377","0.107254822568428","0.168495766804327"
"Rarely","2005","16-34 y.","middle vocational","320","0.221415260960636","0.200569760481854","0.242260761439418"
"Rarely","2005","16-34 y.","vocational + Abi","75","0.220614300050267","0.175532685968357","0.265695914132178"
"Rarely","2005","16-34 y.","higher vocational","50","0.304405670117362","0.235637375721182","0.373173964513541"
"Rarely","2005","16-34 y.","higher education","125","0.299991943939697","0.257076130277379","0.342907757602016"
"Rarely","2005","35-65 y.","in school","","","",""
"Rarely","2005","35-65 y.","inadequately","9","","",""
"Rarely","2005","35-65 y.","general elemantary","70","0.16993252281088","0.133710890579139","0.206154155042621"
"Rarely","2005","35-65 y.","middle vocational","979","0.23947971784729","0.226199452272685","0.252759983421894"
"Rarely","2005","35-65 y.","vocational + Abi","115","0.274390029016931","0.233071498475369","0.315708559558493"
"Rarely","2005","35-65 y.","higher vocational","245","0.292308502255714","0.261532668776232","0.323084335735196"
"Rarely","2005","35-65 y.","higher education","798","0.332967353713488","0.314256452810595","0.351678254616381"
"Rarely","2005","66 and older","in school","","","",""
"Rarely","2005","66 and older","inadequately","","","",""
"Rarely","2005","66 and older","general elemantary","2","","",""
"Rarely","2005","66 and older","middle vocational","8","","",""
"Rarely","2005","66 and older","vocational + Abi","","","",""
"Rarely","2005","66 and older","higher vocational","2","","",""
"Rarely","2005","66 and older","higher education","12","","",""
"No, never","2006","16-34 y.","in school","","","",""
"No, never","2006","16-34 y.","inadequately","","","",""
"No, never","2006","16-34 y.","general elemantary","","","",""
"No, never","2006","16-34 y.","middle vocational","","","",""
"No, never","2006","16-34 y.","vocational + Abi","","","",""
"No, never","2006","16-34 y.","higher vocational","","","",""
"No, never","2006","16-34 y.","higher education","","","",""
"No, never","2006","35-65 y.","in school","","","",""
"No, never","2006","35-65 y.","inadequately","","","",""
"No, never","2006","35-65 y.","general elemantary","","","",""
"No, never","2006","35-65 y.","middle vocational","","","",""
"No, never","2006","35-65 y.","vocational + Abi","","","",""
"No, never","2006","35-65 y.","higher vocational","","","",""
"No, never","2006","35-65 y.","higher education","","","",""
"No, never","2006","66 and older","in school","","","",""
"No, never","2006","66 and older","inadequately","","","",""
"No, never","2006","66 and older","general elemantary","","","",""
"No, never","2006","66 and older","middle vocational","","","",""
"No, never","2006","66 and older","vocational + Abi","","","",""
"No, never","2006","66 and older","higher vocational","","","",""
"No, never","2006","66 and older","higher education","","","",""
"Yes, every week","2006","16-34 y.","in school","","","",""
"Yes, every week","2006","16-34 y.","inadequately","","","",""
"Yes, every week","2006","16-34 y.","general elemantary","","","",""
"Yes, every week","2006","16-34 y.","middle vocational","","","",""
"Yes, every week","2006","16-34 y.","vocational + Abi","","","",""
"Yes, every week","2006","16-34 y.","higher vocational","","","",""
"Yes, every week","2006","16-34 y.","higher education","","","",""
"Yes, every week","2006","35-65 y.","in school","","","",""
"Yes, every week","2006","35-65 y.","inadequately","","","",""
"Yes, every week","2006","35-65 y.","general elemantary","","","",""
"Yes, every week","2006","35-65 y.","middle vocational","","","",""
"Yes, every week","2006","35-65 y.","vocational + Abi","","","",""
"Yes, every week","2006","35-65 y.","higher vocational","","","",""
"Yes, every week","2006","35-65 y.","higher education","","","",""
"Yes, every week","2006","66 and older","in school","","","",""
"Yes, every week","2006","66 and older","inadequately","","","",""
"Yes, every week","2006","66 and older","general elemantary","","","",""
"Yes, every week","2006","66 and older","middle vocational","","","",""
"Yes, every week","2006","66 and older","vocational + Abi","","","",""
"Yes, every week","2006","66 and older","higher vocational","","","",""
"Yes, every week","2006","66 and older","higher education","","","",""
"Yes, every 2 weeks","2006","16-34 y.","in school","","","",""
"Yes, every 2 weeks","2006","16-34 y.","inadequately","","","",""
"Yes, every 2 weeks","2006","16-34 y.","general elemantary","","","",""
"Yes, every 2 weeks","2006","16-34 y.","middle vocational","","","",""
"Yes, every 2 weeks","2006","16-34 y.","vocational + Abi","","","",""
"Yes, every 2 weeks","2006","16-34 y.","higher vocational","","","",""
"Yes, every 2 weeks","2006","16-34 y.","higher education","","","",""
"Yes, every 2 weeks","2006","35-65 y.","in school","","","",""
"Yes, every 2 weeks","2006","35-65 y.","inadequately","","","",""
"Yes, every 2 weeks","2006","35-65 y.","general elemantary","","","",""
"Yes, every 2 weeks","2006","35-65 y.","middle vocational","","","",""
"Yes, every 2 weeks","2006","35-65 y.","vocational + Abi","","","",""
"Yes, every 2 weeks","2006","35-65 y.","higher vocational","","","",""
"Yes, every 2 weeks","2006","35-65 y.","higher education","","","",""
"Yes, every 2 weeks","2006","66 and older","in school","","","",""
"Yes, every 2 weeks","2006","66 and older","inadequately","","","",""
"Yes, every 2 weeks","2006","66 and older","general elemantary","","","",""
"Yes, every 2 weeks","2006","66 and older","middle vocational","","","",""
"Yes, every 2 weeks","2006","66 and older","vocational + Abi","","","",""
"Yes, every 2 weeks","2006","66 and older","higher vocational","","","",""
"Yes, every 2 weeks","2006","66 and older","higher education","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","in school","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","inadequately","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","general elemantary","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","middle vocational","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","vocational + Abi","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","higher vocational","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","higher education","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","in school","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","inadequately","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","general elemantary","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","middle vocational","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","vocational + Abi","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","higher vocational","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","higher education","","","",""
"Yes, every 3-4 weeks","2006","66 and older","in school","","","",""
"Yes, every 3-4 weeks","2006","66 and older","inadequately","","","",""
"Yes, every 3-4 weeks","2006","66 and older","general elemantary","","","",""
"Yes, every 3-4 weeks","2006","66 and older","middle vocational","","","",""
"Yes, every 3-4 weeks","2006","66 and older","vocational + Abi","","","",""
"Yes, every 3-4 weeks","2006","66 and older","higher vocational","","","",""
"Yes, every 3-4 weeks","2006","66 and older","higher education","","","",""
"Rarely","2006","16-34 y.","in school","","","",""
"Rarely","2006","16-34 y.","inadequately","","","",""
"Rarely","2006","16-34 y.","general elemantary","","","",""
"Rarely","2006","16-34 y.","middle vocational","","","",""
"Rarely","2006","16-34 y.","vocational + Abi","","","",""
"Rarely","2006","16-34 y.","higher vocational","","","",""
"Rarely","2006","16-34 y.","higher education","","","",""
"Rarely","2006","35-65 y.","in school","","","",""
"Rarely","2006","35-65 y.","inadequately","","","",""
"Rarely","2006","35-65 y.","general elemantary","","","",""
"Rarely","2006","35-65 y.","middle vocational","","","",""
"Rarely","2006","35-65 y.","vocational + Abi","","","",""
"Rarely","2006","35-65 y.","higher vocational","","","",""
"Rarely","2006","35-65 y.","higher education","","","",""
"Rarely","2006","66 and older","in school","","","",""
"Rarely","2006","66 and older","inadequately","","","",""
"Rarely","2006","66 and older","general elemantary","","","",""
"Rarely","2006","66 and older","middle vocational","","","",""
"Rarely","2006","66 and older","vocational + Abi","","","",""
"Rarely","2006","66 and older","higher vocational","","","",""
"Rarely","2006","66 and older","higher education","","","",""
"No, never","2007","16-34 y.","in school","7","","",""
"No, never","2007","16-34 y.","inadequately","11","","",""
"No, never","2007","16-34 y.","general elemantary","163","0.406727651898272","0.358588659202858","0.454866644593686"
"No, never","2007","16-34 y.","middle vocational","527","0.344973761730145","0.320689966245539","0.369257557214752"
"No, never","2007","16-34 y.","vocational + Abi","131","0.410241229217144","0.356516156529499","0.463966301904788"
"No, never","2007","16-34 y.","higher vocational","35","0.242035228633864","0.167248141141305","0.316822316126422"
"No, never","2007","16-34 y.","higher education","168","0.312244996483634","0.270482914281935","0.354007078685332"
"No, never","2007","35-65 y.","in school","","","",""
"No, never","2007","35-65 y.","inadequately","21","","",""
"No, never","2007","35-65 y.","general elemantary","170","0.44204041088231","0.391161253746552","0.492919568018068"
"No, never","2007","35-65 y.","middle vocational","1520","0.365151320581489","0.350435208525868","0.379867432637111"
"No, never","2007","35-65 y.","vocational + Abi","193","0.373359324884287","0.330488044577844","0.41623060519073"
"No, never","2007","35-65 y.","higher vocational","267","0.284508951042772","0.253961417426137","0.315056484659407"
"No, never","2007","35-65 y.","higher education","796","0.304351948884283","0.286231543154246","0.322472354614321"
"No, never","2007","66 and older","in school","","","",""
"No, never","2007","66 and older","inadequately","1","","",""
"No, never","2007","66 and older","general elemantary","7","","",""
"No, never","2007","66 and older","middle vocational","26","","",""
"No, never","2007","66 and older","vocational + Abi","","","",""
"No, never","2007","66 and older","higher vocational","4","","",""
"No, never","2007","66 and older","higher education","25","","",""
"Yes, every week","2007","16-34 y.","in school","10","","",""
"Yes, every week","2007","16-34 y.","inadequately","4","","",""
"Yes, every week","2007","16-34 y.","general elemantary","73","0.213475300571081","0.173319517916173","0.253631083225989"
"Yes, every week","2007","16-34 y.","middle vocational","220","0.149242236431046","0.131039234267921","0.167445238594171"
"Yes, every week","2007","16-34 y.","vocational + Abi","36","0.122256096950968","0.0864761799103023","0.158036013991634"
"Yes, every week","2007","16-34 y.","higher vocational","19","","",""
"Yes, every week","2007","16-34 y.","higher education","54","0.10289461937607","0.0755144844546469","0.130274754297494"
"Yes, every week","2007","35-65 y.","in school","","","",""
"Yes, every week","2007","35-65 y.","inadequately","3","","",""
"Yes, every week","2007","35-65 y.","general elemantary","54","0.142805196455132","0.106960961233989","0.178649431676275"
"Yes, every week","2007","35-65 y.","middle vocational","572","0.143133287016237","0.132429227962023","0.153837346070451"
"Yes, every week","2007","35-65 y.","vocational + Abi","55","0.103742118283396","0.0767157487162154","0.130768487850576"
"Yes, every week","2007","35-65 y.","higher vocational","130","0.151968564420497","0.127662819387924","0.176274309453069"
"Yes, every week","2007","35-65 y.","higher education","399","0.162897908681007","0.148355643642223","0.17744017371979"
"Yes, every week","2007","66 and older","in school","","","",""
"Yes, every week","2007","66 and older","inadequately","","","",""
"Yes, every week","2007","66 and older","general elemantary","2","","",""
"Yes, every week","2007","66 and older","middle vocational","26","","",""
"Yes, every week","2007","66 and older","vocational + Abi","1","","",""
"Yes, every week","2007","66 and older","higher vocational","5","","",""
"Yes, every week","2007","66 and older","higher education","13","","",""
"Yes, every 2 weeks","2007","16-34 y.","in school","6","","",""
"Yes, every 2 weeks","2007","16-34 y.","inadequately","3","","",""
"Yes, every 2 weeks","2007","16-34 y.","general elemantary","67","0.162800523070115","0.126621197441903","0.198979848698327"
"Yes, every 2 weeks","2007","16-34 y.","middle vocational","274","0.173887798898034","0.154525886122923","0.193249711673145"
"Yes, every 2 weeks","2007","16-34 y.","vocational + Abi","50","0.150771332029485","0.111687974611637","0.189854689447333"
"Yes, every 2 weeks","2007","16-34 y.","higher vocational","31","0.291867468139095","0.212487131365346","0.371247804912845"
"Yes, every 2 weeks","2007","16-34 y.","higher education","71","0.183010865060799","0.14816396915472","0.217857760966878"
"Yes, every 2 weeks","2007","35-65 y.","in school","","","",""
"Yes, every 2 weeks","2007","35-65 y.","inadequately","4","","",""
"Yes, every 2 weeks","2007","35-65 y.","general elemantary","51","0.17595253732719","0.136942045247787","0.214963029406593"
"Yes, every 2 weeks","2007","35-65 y.","middle vocational","667","0.164692036271181","0.15335547998565","0.176028592556712"
"Yes, every 2 weeks","2007","35-65 y.","vocational + Abi","67","0.14654130566389","0.115196546066066","0.177886065261714"
"Yes, every 2 weeks","2007","35-65 y.","higher vocational","129","0.186155435714437","0.159802155717402","0.212508715711472"
"Yes, every 2 weeks","2007","35-65 y.","higher education","245","0.109107704489268","0.0968297675438279","0.121385641434708"
"Yes, every 2 weeks","2007","66 and older","in school","","","",""
"Yes, every 2 weeks","2007","66 and older","inadequately","","","",""
"Yes, every 2 weeks","2007","66 and older","general elemantary","","","",""
"Yes, every 2 weeks","2007","66 and older","middle vocational","5","","",""
"Yes, every 2 weeks","2007","66 and older","vocational + Abi","","","",""
"Yes, every 2 weeks","2007","66 and older","higher vocational","","","",""
"Yes, every 2 weeks","2007","66 and older","higher education","8","","",""
"Yes, every 3-4 weeks","2007","16-34 y.","in school","1","","",""
"Yes, every 3-4 weeks","2007","16-34 y.","inadequately","4","","",""
"Yes, every 3-4 weeks","2007","16-34 y.","general elemantary","41","0.112269001400454","0.0813312519610131","0.143206750839894"
"Yes, every 3-4 weeks","2007","16-34 y.","middle vocational","149","0.113877958370264","0.0976501155728339","0.130105801167694"
"Yes, every 3-4 weeks","2007","16-34 y.","vocational + Abi","28","","",""
"Yes, every 3-4 weeks","2007","16-34 y.","higher vocational","14","","",""
"Yes, every 3-4 weeks","2007","16-34 y.","higher education","50","0.119071279582625","0.0898841480245544","0.148258411140696"
"Yes, every 3-4 weeks","2007","35-65 y.","in school","","","",""
"Yes, every 3-4 weeks","2007","35-65 y.","inadequately","4","","",""
"Yes, every 3-4 weeks","2007","35-65 y.","general elemantary","25","","",""
"Yes, every 3-4 weeks","2007","35-65 y.","middle vocational","400","0.104954333502377","0.0955863887103078","0.114322278294446"
"Yes, every 3-4 weeks","2007","35-65 y.","vocational + Abi","52","0.122300221640652","0.0932613138388307","0.151339129442473"
"Yes, every 3-4 weeks","2007","35-65 y.","higher vocational","83","0.0711542745560347","0.0537482988624454","0.088560250249624"
"Yes, every 3-4 weeks","2007","35-65 y.","higher education","242","0.099262715710787","0.0874872732659032","0.111038158155671"
"Yes, every 3-4 weeks","2007","66 and older","in school","","","",""
"Yes, every 3-4 weeks","2007","66 and older","inadequately","","","",""
"Yes, every 3-4 weeks","2007","66 and older","general elemantary","","","",""
"Yes, every 3-4 weeks","2007","66 and older","middle vocational","4","","",""
"Yes, every 3-4 weeks","2007","66 and older","vocational + Abi","","","",""
"Yes, every 3-4 weeks","2007","66 and older","higher vocational","1","","",""
"Yes, every 3-4 weeks","2007","66 and older","higher education","7","","",""
"Rarely","2007","16-34 y.","in school","5","","",""
"Rarely","2007","16-34 y.","inadequately","4","","",""
"Rarely","2007","16-34 y.","general elemantary","56","0.104727523060078","0.0747202777931145","0.134734768327042"
"Rarely","2007","16-34 y.","middle vocational","302","0.218018244570511","0.196925217231679","0.239111271909342"
"Rarely","2007","16-34 y.","vocational + Abi","77","0.27053495205806","0.222013466373008","0.319056437743111"
"Rarely","2007","16-34 y.","higher vocational","27","","",""
"Rarely","2007","16-34 y.","higher education","130","0.282778239496871","0.242193081349212","0.323363397644531"
"Rarely","2007","35-65 y.","in school","","","",""
"Rarely","2007","35-65 y.","inadequately","4","","",""
"Rarely","2007","35-65 y.","general elemantary","66","0.1701855233916","0.131685644870372","0.208685401912828"
"Rarely","2007","35-65 y.","middle vocational","953","0.222069022628716","0.209365152030777","0.234772893226654"
"Rarely","2007","35-65 y.","vocational + Abi","122","0.254057029527775","0.215472600116731","0.292641458938818"
"Rarely","2007","35-65 y.","higher vocational","229","0.30621277426626","0.27500585600764","0.337419692524879"
"Rarely","2007","35-65 y.","higher education","795","0.324379722234655","0.305943867628005","0.342815576841305"
"Rarely","2007","66 and older","in school","","","",""
"Rarely","2007","66 and older","inadequately","","","",""
"Rarely","2007","66 and older","general elemantary","2","","",""
"Rarely","2007","66 and older","middle vocational","10","","",""
"Rarely","2007","66 and older","vocational + Abi","1","","",""
"Rarely","2007","66 and older","higher vocational","3","","",""
"Rarely","2007","66 and older","higher education","24","","",""
"No, never","2008","16-34 y.","in school","","","",""
"No, never","2008","16-34 y.","inadequately","","","",""
"No, never","2008","16-34 y.","general elemantary","","","",""
"No, never","2008","16-34 y.","middle vocational","","","",""
"No, never","2008","16-34 y.","vocational + Abi","","","",""
"No, never","2008","16-34 y.","higher vocational","","","",""
"No, never","2008","16-34 y.","higher education","","","",""
"No, never","2008","35-65 y.","in school","","","",""
"No, never","2008","35-65 y.","inadequately","","","",""
"No, never","2008","35-65 y.","general elemantary","","","",""
"No, never","2008","35-65 y.","middle vocational","","","",""
"No, never","2008","35-65 y.","vocational + Abi","","","",""
"No, never","2008","35-65 y.","higher vocational","","","",""
"No, never","2008","35-65 y.","higher education","","","",""
"No, never","2008","66 and older","in school","","","",""
"No, never","2008","66 and older","inadequately","","","",""
"No, never","2008","66 and older","general elemantary","","","",""
"No, never","2008","66 and older","middle vocational","","","",""
"No, never","2008","66 and older","vocational + Abi","","","",""
"No, never","2008","66 and older","higher vocational","","","",""
"No, never","2008","66 and older","higher education","","","",""
"Yes, every week","2008","16-34 y.","in school","","","",""
"Yes, every week","2008","16-34 y.","inadequately","","","",""
"Yes, every week","2008","16-34 y.","general elemantary","","","",""
"Yes, every week","2008","16-34 y.","middle vocational","","","",""
"Yes, every week","2008","16-34 y.","vocational + Abi","","","",""
"Yes, every week","2008","16-34 y.","higher vocational","","","",""
"Yes, every week","2008","16-34 y.","higher education","","","",""
"Yes, every week","2008","35-65 y.","in school","","","",""
"Yes, every week","2008","35-65 y.","inadequately","","","",""
"Yes, every week","2008","35-65 y.","general elemantary","","","",""
"Yes, every week","2008","35-65 y.","middle vocational","","","",""
"Yes, every week","2008","35-65 y.","vocational + Abi","","","",""
"Yes, every week","2008","35-65 y.","higher vocational","","","",""
"Yes, every week","2008","35-65 y.","higher education","","","",""
"Yes, every week","2008","66 and older","in school","","","",""
"Yes, every week","2008","66 and older","inadequately","","","",""
"Yes, every week","2008","66 and older","general elemantary","","","",""
"Yes, every week","2008","66 and older","middle vocational","","","",""
"Yes, every week","2008","66 and older","vocational + Abi","","","",""
"Yes, every week","2008","66 and older","higher vocational","","","",""
"Yes, every week","2008","66 and older","higher education","","","",""
"Yes, every 2 weeks","2008","16-34 y.","in school","","","",""
"Yes, every 2 weeks","2008","16-34 y.","inadequately","","","",""
"Yes, every 2 weeks","2008","16-34 y.","general elemantary","","","",""
"Yes, every 2 weeks","2008","16-34 y.","middle vocational","","","",""
"Yes, every 2 weeks","2008","16-34 y.","vocational + Abi","","","",""
"Yes, every 2 weeks","2008","16-34 y.","higher vocational","","","",""
"Yes, every 2 weeks","2008","16-34 y.","higher education","","","",""
"Yes, every 2 weeks","2008","35-65 y.","in school","","","",""
"Yes, every 2 weeks","2008","35-65 y.","inadequately","","","",""
"Yes, every 2 weeks","2008","35-65 y.","general elemantary","","","",""
"Yes, every 2 weeks","2008","35-65 y.","middle vocational","","","",""
"Yes, every 2 weeks","2008","35-65 y.","vocational + Abi","","","",""
"Yes, every 2 weeks","2008","35-65 y.","higher vocational","","","",""
"Yes, every 2 weeks","2008","35-65 y.","higher education","","","",""
"Yes, every 2 weeks","2008","66 and older","in school","","","",""
"Yes, every 2 weeks","2008","66 and older","inadequately","","","",""
"Yes, every 2 weeks","2008","66 and older","general elemantary","","","",""
"Yes, every 2 weeks","2008","66 and older","middle vocational","","","",""
"Yes, every 2 weeks","2008","66 and older","vocational + Abi","","","",""
"Yes, every 2 weeks","2008","66 and older","higher vocational","","","",""
"Yes, every 2 weeks","2008","66 and older","higher education","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","in school","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","inadequately","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","general elemantary","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","middle vocational","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","vocational + Abi","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","higher vocational","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","higher education","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","in school","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","inadequately","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","general elemantary","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","middle vocational","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","vocational + Abi","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","higher vocational","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","higher education","","","",""
"Yes, every 3-4 weeks","2008","66 and older","in school","","","",""
"Yes, every 3-4 weeks","2008","66 and older","inadequately","","","",""
"Yes, every 3-4 weeks","2008","66 and older","general elemantary","","","",""
"Yes, every 3-4 weeks","2008","66 and older","middle vocational","","","",""
"Yes, every 3-4 weeks","2008","66 and older","vocational + Abi","","","",""
"Yes, every 3-4 weeks","2008","66 and older","higher vocational","","","",""
"Yes, every 3-4 weeks","2008","66 and older","higher education","","","",""
"Rarely","2008","16-34 y.","in school","","","",""
"Rarely","2008","16-34 y.","inadequately","","","",""
