"plb0218","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Yes, every 2 weeks","2005","35-65 y.","(Married) couple without C. ","263","0.126153977360509","0.112440997803444","0.139866956917574","3"
"Yes, every 2 weeks","2005","35-65 y.","Couple + C. LE 16 ","295","0.15718554634537","0.141603490957734","0.172767601733005","3"
"Yes, every 2 weeks","2005","35-65 y.","Couple + C. LE and GT 16","115","0.144529635250899","0.120722506553727","0.16833676394807","3"
"Yes, every 2 weeks","2005","66 and older","1-pers.-HH","1","","","","3"
"Yes, every 2 weeks","2005","66 and older","Single parent ","","","","","3"
"Yes, every 2 weeks","2005","66 and older","Couple + C. LE 16 ","","","","","3"
"Yes, every 2 weeks","2005","66 and older","(Married) couple without C. ","7","","","","3"
"Yes, every 2 weeks","2005","66 and older","Couple + C. GT 16 ","","","","","3"
"Yes, every 2 weeks","2005","66 and older","Couple + C. LE and GT 16","","","","","3"
"Yes, every 3-4 weeks","2005","16-34 y.","1-pers.-HH","37","0.0737029135682406","0.0513949328403388","0.0960108942961424","4"
"Yes, every 3-4 weeks","2005","16-34 y.","Single parent ","19","","","","4"
"Yes, every 3-4 weeks","2005","16-34 y.","(Married) couple without C. ","68","0.0839277175275536","0.0646653735159047","0.103190061539203","4"
"Yes, every 3-4 weeks","2005","16-34 y.","Couple + C. LE 16 ","66","0.1170045289871","0.0927024163832553","0.141306641590946","4"
"Yes, every 3-4 weeks","2005","16-34 y.","Couple + C. GT 16 ","57","0.0766477643188035","0.0564282501238374","0.0968672785137695","4"
"Yes, every 3-4 weeks","2005","16-34 y.","Couple + C. LE and GT 16","13","","","","4"
"Yes, every 3-4 weeks","2005","35-65 y.","1-pers.-HH","69","0.0866474106028062","0.0672020011124115","0.106092820093201","4"
"Yes, every 3-4 weeks","2005","35-65 y.","(Married) couple without C. ","176","0.079925292406983","0.068725304313001","0.091125280500965","4"
"Yes, every 3-4 weeks","2005","35-65 y.","Couple + C. GT 16 ","158","0.115571276585233","0.0998664576430445","0.131276095527421","4"
"Yes, every 3-4 weeks","2005","35-65 y.","Couple + C. LE and GT 16","88","0.088899991676663","0.0696309566064965","0.10816902674683","4"
"Yes, every 3-4 weeks","2005","66 and older","1-pers.-HH","2","","","","4"
"Yes, every 3-4 weeks","2005","66 and older","(Married) couple without C. ","8","","","","4"
"Yes, every 3-4 weeks","2005","66 and older","Single parent ","","","","","4"
"Yes, every 3-4 weeks","2005","66 and older","Couple + C. LE 16 ","","","","","4"
"Yes, every 3-4 weeks","2005","66 and older","Couple + C. GT 16 ","","","","","4"
"Yes, every 3-4 weeks","2005","66 and older","Couple + C. LE and GT 16","","","","","4"
"Yes, every 3-4 weeks","2005","35-65 y.","Single parent ","42","0.115156243842966","0.0837956992641158","0.146516788421816","4"
"Yes, every 3-4 weeks","2005","35-65 y.","Couple + C. LE 16 ","218","0.102618404072525","0.0896270727399788","0.11560973540507","4"
"Yes, every week","2005","16-34 y.","1-pers.-HH","72","0.131587350348405","0.102726247337662","0.160448453359149","2"
"Yes, every week","2005","16-34 y.","Couple + C. LE and GT 16","37","0.218547431602432","0.163814312456612","0.273280550748253","2"
"Yes, every week","2005","16-34 y.","(Married) couple without C. ","104","0.154452583954222","0.129347705118593","0.17955746278985","2"
"Yes, every week","2005","16-34 y.","Couple + C. LE 16 ","116","0.183391660780268","0.154132615465865","0.212650706094671","2"
"Yes, every week","2005","16-34 y.","Couple + C. GT 16 ","100","0.13709481015299","0.110953381642183","0.163236238663797","2"
"Yes, every week","2005","35-65 y.","1-pers.-HH","118","0.168713923744056","0.142827575896383","0.194600271591728","2"
"Yes, every week","2005","35-65 y.","Couple + C. LE and GT 16","117","0.139117372887922","0.115686485462373","0.162548260313472","2"
"Yes, every week","2005","16-34 y.","Single parent ","26","","","","2"
"Yes, every week","2005","35-65 y.","(Married) couple without C. ","325","0.149414340323512","0.134690568888373","0.164138111758651","2"
"Yes, every week","2005","35-65 y.","Single parent ","55","0.154283991280423","0.118796176037759","0.189771806523087","2"
"Yes, every week","2005","35-65 y.","Couple + C. LE 16 ","254","0.131924234950136","0.117436731249828","0.146411738650445","2"
"Yes, every week","2005","35-65 y.","Couple + C. GT 16 ","207","0.117056925387679","0.101264767841921","0.132849082933437","2"
"Yes, every week","2005","66 and older","1-pers.-HH","8","","","","2"
"Yes, every week","2005","66 and older","(Married) couple without C. ","22","","","","2"
"Yes, every week","2005","66 and older","Single parent ","1","","","","2"
"Yes, every week","2005","66 and older","Couple + C. LE 16 ","","","","","2"
"Yes, every week","2005","66 and older","Couple + C. GT 16 ","2","","","","2"
"Yes, every week","2005","66 and older","Couple + C. LE and GT 16","","","","","2"
"No, never","2006","35-65 y.","Single parent ","","","","","1"
"No, never","2006","35-65 y.","Couple + C. LE 16 ","","","","","1"
"No, never","2006","16-34 y.","1-pers.-HH","","","","","1"
"No, never","2006","16-34 y.","(Married) couple without C. ","","","","","1"
"No, never","2006","16-34 y.","Single parent ","","","","","1"
"No, never","2006","16-34 y.","Couple + C. LE 16 ","","","","","1"
"No, never","2006","16-34 y.","Couple + C. GT 16 ","","","","","1"
"No, never","2006","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"No, never","2006","35-65 y.","1-pers.-HH","","","","","1"
"No, never","2006","35-65 y.","(Married) couple without C. ","","","","","1"
"No, never","2006","35-65 y.","Couple + C. GT 16 ","","","","","1"
"No, never","2006","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"No, never","2006","66 and older","1-pers.-HH","","","","","1"
"No, never","2006","66 and older","(Married) couple without C. ","","","","","1"
"No, never","2006","66 and older","Single parent ","","","","","1"
"No, never","2006","66 and older","Couple + C. LE 16 ","","","","","1"
"No, never","2006","66 and older","Couple + C. GT 16 ","","","","","1"
"No, never","2006","66 and older","Couple + C. LE and GT 16","","","","","1"
"Rarely","2006","35-65 y.","1-pers.-HH","","","","","5"
"Rarely","2006","16-34 y.","1-pers.-HH","","","","","5"
"Rarely","2006","16-34 y.","(Married) couple without C. ","","","","","5"
"Rarely","2006","16-34 y.","Couple + C. GT 16 ","","","","","5"
"Rarely","2006","16-34 y.","Couple + C. LE and GT 16","","","","","5"
"Rarely","2006","35-65 y.","(Married) couple without C. ","","","","","5"
"Rarely","2006","35-65 y.","Single parent ","","","","","5"
"Rarely","2006","16-34 y.","Single parent ","","","","","5"
"Rarely","2006","35-65 y.","Couple + C. LE 16 ","","","","","5"
"Rarely","2006","16-34 y.","Couple + C. LE 16 ","","","","","5"
"Rarely","2006","35-65 y.","Couple + C. GT 16 ","","","","","5"
"Rarely","2006","66 and older","1-pers.-HH","","","","","5"
"Rarely","2006","66 and older","(Married) couple without C. ","","","","","5"
"Rarely","2006","35-65 y.","Couple + C. LE and GT 16","","","","","5"
"Rarely","2006","66 and older","Single parent ","","","","","5"
"Rarely","2006","66 and older","Couple + C. LE 16 ","","","","","5"
"Rarely","2006","66 and older","Couple + C. GT 16 ","","","","","5"
"Rarely","2006","66 and older","Couple + C. LE and GT 16","","","","","5"
"Yes, every 2 weeks","2006","16-34 y.","Couple + C. LE 16 ","","","","","3"
"Yes, every 2 weeks","2006","35-65 y.","(Married) couple without C. ","","","","","3"
"Yes, every 2 weeks","2006","35-65 y.","Couple + C. LE and GT 16","","","","","3"
"Yes, every 2 weeks","2006","35-65 y.","1-pers.-HH","","","","","3"
"Yes, every 2 weeks","2006","16-34 y.","Single parent ","","","","","3"
"Yes, every 2 weeks","2006","35-65 y.","Couple + C. GT 16 ","","","","","3"
"Yes, every 2 weeks","2006","16-34 y.","Couple + C. LE and GT 16","","","","","3"
"Yes, every 2 weeks","2006","66 and older","1-pers.-HH","","","","","3"
"Yes, every 2 weeks","2006","66 and older","Single parent ","","","","","3"
"Yes, every 2 weeks","2006","16-34 y.","1-pers.-HH","","","","","3"
"Yes, every 2 weeks","2006","16-34 y.","(Married) couple without C. ","","","","","3"
"Yes, every 2 weeks","2006","16-34 y.","Couple + C. GT 16 ","","","","","3"
"Yes, every 2 weeks","2006","35-65 y.","Single parent ","","","","","3"
"Yes, every 2 weeks","2006","35-65 y.","Couple + C. LE 16 ","","","","","3"
"Yes, every 2 weeks","2006","66 and older","(Married) couple without C. ","","","","","3"
"Yes, every 2 weeks","2006","66 and older","Couple + C. LE 16 ","","","","","3"
"Yes, every 2 weeks","2006","66 and older","Couple + C. GT 16 ","","","","","3"
"Yes, every 2 weeks","2006","66 and older","Couple + C. LE and GT 16","","","","","3"
"Yes, every 3-4 weeks","2006","16-34 y.","Couple + C. LE and GT 16","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","1-pers.-HH","","","","","4"
"Yes, every 3-4 weeks","2006","16-34 y.","Couple + C. GT 16 ","","","","","4"
"Yes, every 3-4 weeks","2006","16-34 y.","1-pers.-HH","","","","","4"
"Yes, every 3-4 weeks","2006","16-34 y.","(Married) couple without C. ","","","","","4"
"Yes, every 3-4 weeks","2006","16-34 y.","Single parent ","","","","","4"
"Yes, every 3-4 weeks","2006","16-34 y.","Couple + C. LE 16 ","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","(Married) couple without C. ","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","Single parent ","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","Couple + C. LE 16 ","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","Couple + C. GT 16 ","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","Couple + C. LE and GT 16","","","","","4"
"Yes, every 3-4 weeks","2006","66 and older","1-pers.-HH","","","","","4"
"Yes, every 3-4 weeks","2006","66 and older","(Married) couple without C. ","","","","","4"
"Yes, every 3-4 weeks","2006","66 and older","Single parent ","","","","","4"
"Yes, every 3-4 weeks","2006","66 and older","Couple + C. LE 16 ","","","","","4"
"Yes, every 3-4 weeks","2006","66 and older","Couple + C. GT 16 ","","","","","4"
"Yes, every 3-4 weeks","2006","66 and older","Couple + C. LE and GT 16","","","","","4"
"Yes, every week","2006","16-34 y.","(Married) couple without C. ","","","","","2"
"Yes, every week","2006","16-34 y.","1-pers.-HH","","","","","2"
"Yes, every week","2006","16-34 y.","Couple + C. GT 16 ","","","","","2"
"Yes, every week","2006","16-34 y.","Single parent ","","","","","2"
"Yes, every week","2006","16-34 y.","Couple + C. LE and GT 16","","","","","2"
"Yes, every week","2006","35-65 y.","1-pers.-HH","","","","","2"
"Yes, every week","2006","16-34 y.","Couple + C. LE 16 ","","","","","2"
"Yes, every week","2006","35-65 y.","(Married) couple without C. ","","","","","2"
"Yes, every week","2006","35-65 y.","Single parent ","","","","","2"
"Yes, every week","2006","35-65 y.","Couple + C. LE 16 ","","","","","2"
"Yes, every week","2006","35-65 y.","Couple + C. GT 16 ","","","","","2"
"Yes, every week","2006","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"Yes, every week","2006","66 and older","1-pers.-HH","","","","","2"
"Yes, every week","2006","66 and older","(Married) couple without C. ","","","","","2"
"Yes, every week","2006","66 and older","Single parent ","","","","","2"
"Yes, every week","2006","66 and older","Couple + C. LE 16 ","","","","","2"
"Yes, every week","2006","66 and older","Couple + C. GT 16 ","","","","","2"
"Yes, every week","2006","66 and older","Couple + C. LE and GT 16","","","","","2"
"No, never","2007","16-34 y.","1-pers.-HH","157","0.264648403145149","0.226324356621685","0.302972449668612","1"
"No, never","2007","16-34 y.","(Married) couple without C. ","259","0.309332475468358","0.276029770680174","0.342635180256543","1"
"No, never","2007","16-34 y.","Single parent ","82","0.441806804454178","0.37332410429708","0.510289504611276","1"
"No, never","2007","16-34 y.","Couple + C. LE 16 ","224","0.367706288095956","0.330892090119108","0.404520486072803","1"
"No, never","2007","16-34 y.","Couple + C. GT 16 ","282","0.47582163729359","0.436916417380818","0.514726857206362","1"
"No, never","2007","16-34 y.","Couple + C. LE and GT 16","85","0.459950721904505","0.387741129511201","0.53216031429781","1"
"No, never","2007","35-65 y.","1-pers.-HH","293","0.319817303985955","0.289071508992481","0.35056309897943","1"
"No, never","2007","35-65 y.","(Married) couple without C. ","882","0.367845169805763","0.348402294568146","0.387288045043379","1"
"No, never","2007","35-65 y.","Single parent ","160","0.353027309395795","0.30780355948348","0.398251059308111","1"
"No, never","2007","35-65 y.","Couple + C. LE 16 ","739","0.332933239692116","0.312900991626908","0.352965487757324","1"
"No, never","2007","35-65 y.","Couple + C. GT 16 ","590","0.36930892874751","0.346015093022054","0.392602764472966","1"
"No, never","2007","35-65 y.","Couple + C. LE and GT 16","268","0.364062540603539","0.329511179845433","0.398613901361645","1"
"No, never","2007","66 and older","1-pers.-HH","12","","","","1"
"No, never","2007","66 and older","(Married) couple without C. ","46","0.447258774260751","0.35754741217038","0.536970136351123","1"
"No, never","2007","66 and older","Single parent ","","","","","1"
"No, never","2007","66 and older","Couple + C. LE 16 ","","","","","1"
"No, never","2007","66 and older","Couple + C. GT 16 ","4","","","","1"
"No, never","2007","66 and older","Couple + C. LE and GT 16","1","","","","1"
"Rarely","2007","16-34 y.","1-pers.-HH","108","0.24997075341011","0.212354728556939","0.28758677826328","5"
"Rarely","2007","16-34 y.","(Married) couple without C. ","166","0.238171504488887","0.207480879138197","0.268862129839576","5"
"Rarely","2007","16-34 y.","Single parent ","33","0.159692808282633","0.109176206793749","0.210209409771517","5"
"Rarely","2007","16-34 y.","Couple + C. GT 16 ","120","0.171835862796033","0.142448450238378","0.201223275353688","5"
"Rarely","2007","35-65 y.","1-pers.-HH","234","0.259553185452502","0.230654234714304","0.288452136190699","5"
"Rarely","2007","35-65 y.","(Married) couple without C. ","617","0.254254799880849","0.236697972313311","0.271811627448388","5"
"Rarely","2007","35-65 y.","Single parent ","96","0.236031054727929","0.195848099722488","0.276214009733371","5"
"Rarely","2007","35-65 y.","Couple + C. LE 16 ","567","0.258413913637007","0.239805678119124","0.277022149154891","5"
"Rarely","2007","16-34 y.","Couple + C. LE 16 ","150","0.199491126893342","0.168980561855651","0.230001691931032","5"
"Rarely","2007","16-34 y.","Couple + C. LE and GT 16","36","0.168809300464942","0.114537894978804","0.223080705951079","5"
"Rarely","2007","35-65 y.","Couple + C. GT 16 ","433","0.243999355932075","0.223269647870497","0.264729063993653","5"
"Rarely","2007","35-65 y.","Couple + C. LE and GT 16","194","0.268354836555942","0.236536686830514","0.300172986281369","5"
"Rarely","2007","66 and older","(Married) couple without C. ","28","","","","5"
"Rarely","2007","66 and older","1-pers.-HH","5","","","","5"
"Rarely","2007","66 and older","Single parent ","","","","","5"
"Rarely","2007","66 and older","Couple + C. LE 16 ","","","","","5"
"Rarely","2007","66 and older","Couple + C. GT 16 ","7","","","","5"
"Rarely","2007","66 and older","Couple + C. LE and GT 16","","","","","5"
"Yes, every 2 weeks","2007","16-34 y.","1-pers.-HH","95","0.178754518229184","0.145469085268102","0.212039951190267","3"
"Yes, every 2 weeks","2007","16-34 y.","(Married) couple without C. ","149","0.192385840223143","0.163985682906646","0.220785997539641","3"
"Yes, every 2 weeks","2007","16-34 y.","Single parent ","32","0.162826941822168","0.11191224511172","0.213741638532615","3"
"Yes, every 2 weeks","2007","16-34 y.","Couple + C. GT 16 ","91","0.159220045628593","0.130717327206555","0.187722764050631","3"
"Yes, every 2 weeks","2007","16-34 y.","Couple + C. LE and GT 16","23","","","","3"
"Yes, every 2 weeks","2007","35-65 y.","1-pers.-HH","124","0.156188979419733","0.132257488892253","0.180120469947213","3"
"Yes, every 2 weeks","2007","35-65 y.","(Married) couple without C. ","300","0.139720934463624","0.125742238846284","0.153699630080964","3"
"Yes, every 2 weeks","2007","35-65 y.","Single parent ","73","0.158820622677142","0.124233279697559","0.193407965656725","3"
"Yes, every 2 weeks","2007","35-65 y.","Couple + C. LE 16 ","326","0.175251782580191","0.159091149282892","0.191412415877489","3"
"Yes, every 2 weeks","2007","35-65 y.","Couple + C. GT 16 ","208","0.130505421104507","0.114246733795733","0.146764108413282","3"
"Yes, every 2 weeks","2007","66 and older","(Married) couple without C. ","11","","","","3"
"Yes, every 2 weeks","2007","66 and older","Single parent ","","","","","3"
"Yes, every 2 weeks","2007","16-34 y.","Couple + C. LE 16 ","126","0.211253226149226","0.180087600004915","0.242418852293537","3"
"Yes, every 2 weeks","2007","35-65 y.","Couple + C. LE and GT 16","110","0.134837519312549","0.11031166352763","0.159363375097467","3"
"Yes, every 2 weeks","2007","66 and older","1-pers.-HH","2","","","","3"
"Yes, every 2 weeks","2007","66 and older","Couple + C. LE 16 ","","","","","3"
"Yes, every 2 weeks","2007","66 and older","Couple + C. GT 16 ","","","","","3"
"Yes, every 2 weeks","2007","66 and older","Couple + C. LE and GT 16","","","","","3"
"Yes, every 3-4 weeks","2007","16-34 y.","(Married) couple without C. ","73","0.115367086749705","0.0923497675279266","0.138384405971484","4"
"Yes, every 3-4 weeks","2007","16-34 y.","1-pers.-HH","59","0.129696814551607","0.10050983584847","0.158883793254744","4"
"Yes, every 3-4 weeks","2007","16-34 y.","Single parent ","16","","","","4"
"Yes, every 3-4 weeks","2007","16-34 y.","Couple + C. LE 16 ","74","0.10118414726342","0.0781592880412347","0.124209006485605","4"
"Yes, every 3-4 weeks","2007","16-34 y.","Couple + C. GT 16 ","51","0.0792989221013202","0.0582495471698181","0.100348297032822","4"
"Yes, every 3-4 weeks","2007","16-34 y.","Couple + C. LE and GT 16","14","","","","4"
"Yes, every 3-4 weeks","2007","35-65 y.","1-pers.-HH","96","0.10606238229462","0.0857642418107335","0.126360522778506","4"
"Yes, every 3-4 weeks","2007","35-65 y.","Single parent ","43","0.102285913848161","0.0736113791296469","0.130960448566676","4"
"Yes, every 3-4 weeks","2007","35-65 y.","Couple + C. LE 16 ","201","0.100944459046454","0.0881388286023306","0.113750089490578","4"
"Yes, every 3-4 weeks","2007","35-65 y.","Couple + C. GT 16 ","170","0.110062145298242","0.0949565936454699","0.125167696951014","4"
"Yes, every 3-4 weeks","2007","35-65 y.","Couple + C. LE and GT 16","78","0.0928521837442912","0.0720118319656593","0.113692535522923","4"
"Yes, every 3-4 weeks","2007","66 and older","1-pers.-HH","3","","","","4"
"Yes, every 3-4 weeks","2007","66 and older","(Married) couple without C. ","7","","","","4"
"Yes, every 3-4 weeks","2007","35-65 y.","(Married) couple without C. ","209","0.0872901972580828","0.0759095929100785","0.098670801606087","4"
"Yes, every 3-4 weeks","2007","66 and older","Single parent ","","","","","4"
"Yes, every 3-4 weeks","2007","66 and older","Couple + C. LE 16 ","","","","","4"
"Yes, every 3-4 weeks","2007","66 and older","Couple + C. GT 16 ","2","","","","4"
"Yes, every 3-4 weeks","2007","66 and older","Couple + C. LE and GT 16","","","","","4"
"Yes, every week","2007","16-34 y.","1-pers.-HH","90","0.176929510663951","0.143777654202956","0.210081367124946","2"
"Yes, every week","2007","16-34 y.","(Married) couple without C. ","93","0.144743093069907","0.119393006268894","0.170093179870919","2"
"Yes, every week","2007","16-34 y.","Couple + C. LE 16 ","85","0.120365211598056","0.095522038009536","0.145208385186577","2"
"Yes, every week","2007","16-34 y.","Couple + C. GT 16 ","89","0.113823532180464","0.0890822403510891","0.138564824009839","2"
"Yes, every week","2007","16-34 y.","Couple + C. LE and GT 16","25","","","","2"
"Yes, every week","2007","16-34 y.","Single parent ","39","0.158594360163982","0.108218904765926","0.208969815562039","2"
"Yes, every week","2007","35-65 y.","1-pers.-HH","137","0.15837814884719","0.134310808969704","0.182445488724675","2"
"Yes, every week","2007","35-65 y.","(Married) couple without C. ","355","0.150888898591681","0.136456878197947","0.165320918985415","2"
"Yes, every week","2007","35-65 y.","Single parent ","57","0.149835099350972","0.116061463964945","0.183608734736998","2"
"Yes, every week","2007","35-65 y.","Couple + C. LE 16 ","293","0.132456605044232","0.118047106265677","0.146866103822787","2"
"Yes, every week","2007","35-65 y.","Couple + C. GT 16 ","248","0.146124148917666","0.129075258232402","0.16317303960293","2"
"Yes, every week","2007","35-65 y.","Couple + C. LE and GT 16","95","0.13989291978368","0.114984620039981","0.164801219527379","2"
"Yes, every week","2007","66 and older","1-pers.-HH","12","","","","2"
"Yes, every week","2007","66 and older","(Married) couple without C. ","26","","","","2"
"Yes, every week","2007","66 and older","Single parent ","2","","","","2"
"Yes, every week","2007","66 and older","Couple + C. LE 16 ","","","","","2"
"Yes, every week","2007","66 and older","Couple + C. GT 16 ","6","","","","2"
"Yes, every week","2007","66 and older","Couple + C. LE and GT 16","1","","","","2"
"No, never","2008","16-34 y.","1-pers.-HH","","","","","1"
"No, never","2008","16-34 y.","(Married) couple without C. ","","","","","1"
"No, never","2008","16-34 y.","Single parent ","","","","","1"
"No, never","2008","16-34 y.","Couple + C. LE 16 ","","","","","1"
"No, never","2008","16-34 y.","Couple + C. GT 16 ","","","","","1"
"No, never","2008","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"No, never","2008","35-65 y.","1-pers.-HH","","","","","1"
"No, never","2008","35-65 y.","(Married) couple without C. ","","","","","1"
"No, never","2008","35-65 y.","Single parent ","","","","","1"
"No, never","2008","35-65 y.","Couple + C. LE 16 ","","","","","1"
"No, never","2008","35-65 y.","Couple + C. GT 16 ","","","","","1"
"No, never","2008","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"No, never","2008","66 and older","1-pers.-HH","","","","","1"
"No, never","2008","66 and older","(Married) couple without C. ","","","","","1"
"No, never","2008","66 and older","Single parent ","","","","","1"
"No, never","2008","66 and older","Couple + C. LE 16 ","","","","","1"
"No, never","2008","66 and older","Couple + C. GT 16 ","","","","","1"
"No, never","2008","66 and older","Couple + C. LE and GT 16","","","","","1"
"Rarely","2008","16-34 y.","1-pers.-HH","","","","","5"
"Rarely","2008","16-34 y.","(Married) couple without C. ","","","","","5"
"Rarely","2008","16-34 y.","Single parent ","","","","","5"
"Rarely","2008","16-34 y.","Couple + C. LE 16 ","","","","","5"
"Rarely","2008","16-34 y.","Couple + C. LE and GT 16","","","","","5"
"Rarely","2008","35-65 y.","(Married) couple without C. ","","","","","5"
"Rarely","2008","35-65 y.","Single parent ","","","","","5"
"Rarely","2008","35-65 y.","Couple + C. LE 16 ","","","","","5"
"Rarely","2008","16-34 y.","Couple + C. GT 16 ","","","","","5"
"Rarely","2008","35-65 y.","1-pers.-HH","","","","","5"
"Rarely","2008","66 and older","1-pers.-HH","","","","","5"
"Rarely","2008","66 and older","(Married) couple without C. ","","","","","5"
"Rarely","2008","35-65 y.","Couple + C. GT 16 ","","","","","5"
"Rarely","2008","35-65 y.","Couple + C. LE and GT 16","","","","","5"
"Rarely","2008","66 and older","Single parent ","","","","","5"
"Rarely","2008","66 and older","Couple + C. LE 16 ","","","","","5"
"Rarely","2008","66 and older","Couple + C. GT 16 ","","","","","5"
"Rarely","2008","66 and older","Couple + C. LE and GT 16","","","","","5"
"Yes, every 2 weeks","2008","16-34 y.","1-pers.-HH","","","","","3"
"Yes, every 2 weeks","2008","16-34 y.","(Married) couple without C. ","","","","","3"
"Yes, every 2 weeks","2008","16-34 y.","Couple + C. GT 16 ","","","","","3"
"Yes, every 2 weeks","2008","16-34 y.","Couple + C. LE and GT 16","","","","","3"
"Yes, every 2 weeks","2008","16-34 y.","Single parent ","","","","","3"
"Yes, every 2 weeks","2008","16-34 y.","Couple + C. LE 16 ","","","","","3"
