"plb0218","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Yes, every 2 weeks","2013","35-65 y.","1774","0.153904629226382","0.14734488190022","0.160464376552545","3"
"Yes, every 3-4 weeks","2013","16-34 y.","316","0.0907708831530789","0.0814381822611575","0.100103584045","4"
"Yes, every 3-4 weeks","2013","35-65 y.","1029","0.0937117579682521","0.0884141254949017","0.0990093904416024","4"
"Yes, every 3-4 weeks","2013","66 and older","15","","","","4"
"Yes, every week","2013","16-34 y.","512","0.128407848242639","0.117539843007994","0.139275853477283","2"
"Yes, every week","2013","35-65 y.","1531","0.136663172566802","0.130419106451008","0.142907238682596","2"
"Yes, every week","2013","66 and older","56","0.197601187991264","0.150961139907252","0.244241236075276","2"
"No, never","2014","16-34 y.","","","","","1"
"No, never","2014","35-65 y.","","","","","1"
"No, never","2014","66 and older","","","","","1"
"Rarely","2014","16-34 y.","","","","","5"
"Rarely","2014","35-65 y.","","","","","5"
"Rarely","2014","66 and older","","","","","5"
"Yes, every 2 weeks","2014","16-34 y.","","","","","3"
"Yes, every 2 weeks","2014","66 and older","","","","","3"
"Yes, every 2 weeks","2014","35-65 y.","","","","","3"
"Yes, every 3-4 weeks","2014","16-34 y.","","","","","4"
"Yes, every 3-4 weeks","2014","66 and older","","","","","4"
"Yes, every 3-4 weeks","2014","35-65 y.","","","","","4"
"Yes, every week","2014","16-34 y.","","","","","2"
"Yes, every week","2014","35-65 y.","","","","","2"
"Yes, every week","2014","66 and older","","","","","2"
"No, never","2015","16-34 y.","1513","0.394014689748372","0.378225114323661","0.409804265173082","1"
"No, never","2015","35-65 y.","4398","0.371329288035527","0.362426000198758","0.380232575872296","1"
"No, never","2015","66 and older","145","0.524351411387887","0.470222593641955","0.57848022913382","1"
"Rarely","2015","66 and older","79","0.222415428129114","0.177340972859344","0.267489883398883","5"
"Rarely","2015","16-34 y.","674","0.198453705451493","0.185565955282236","0.211341455620751","5"
"Rarely","2015","35-65 y.","2762","0.251179067608652","0.243187354084939","0.259170781132365","5"
"Yes, every 2 weeks","2015","66 and older","23","","","","3"
"Yes, every 2 weeks","2015","16-34 y.","655","0.181966877962081","0.16949979603857","0.194433959885593","3"
"Yes, every 2 weeks","2015","35-65 y.","1687","0.155507916437949","0.148830119016373","0.162185713859525","3"
"Yes, every 3-4 weeks","2015","16-34 y.","300","0.0850820617426084","0.0760664900536828","0.094097633431534","4"
"Yes, every 3-4 weeks","2015","35-65 y.","987","0.088653603371966","0.0834158006857321","0.0938914060582","4"
"Yes, every 3-4 weeks","2015","66 and older","22","","","","4"
"Yes, every week","2015","16-34 y.","537","0.140482665095445","0.129254161408176","0.151711168782715","2"
"Yes, every week","2015","35-65 y.","1479","0.133330124545907","0.127066147026108","0.139594102065706","2"
"Yes, every week","2015","66 and older","58","0.166400305305691","0.126032973211174","0.206767637400208","2"
"No, never","2016","66 and older","","","","","1"
"No, never","2016","16-34 y.","","","","","1"
"No, never","2016","35-65 y.","","","","","1"
"Rarely","2016","16-34 y.","","","","","5"
"Rarely","2016","35-65 y.","","","","","5"
"Rarely","2016","66 and older","","","","","5"
"Yes, every 2 weeks","2016","35-65 y.","","","","","3"
"Yes, every 2 weeks","2016","66 and older","","","","","3"
"Yes, every 2 weeks","2016","16-34 y.","","","","","3"
"Yes, every 3-4 weeks","2016","16-34 y.","","","","","4"
"Yes, every 3-4 weeks","2016","66 and older","","","","","4"
"Yes, every 3-4 weeks","2016","35-65 y.","","","","","4"
"Yes, every week","2016","16-34 y.","","","","","2"
"Yes, every week","2016","35-65 y.","","","","","2"
"Yes, every week","2016","66 and older","","","","","2"
"No, never","2017","16-34 y.","1773","0.451674023732302","0.436386768822076","0.466961278642528","1"
"No, never","2017","35-65 y.","5190","0.40347984904593","0.394824615234225","0.412135082857635","1"
"No, never","2017","66 and older","196","0.50174754746164","0.452809881026131","0.550685213897149","1"
"Rarely","2017","16-34 y.","658","0.168997072107701","0.157485400102031","0.180508744113371","5"
"Rarely","2017","35-65 y.","2520","0.224306573432871","0.216947529831757","0.231665617033984","5"
"Rarely","2017","66 and older","86","0.215219568631803","0.174995049066962","0.255444088196645","5"
"Yes, every 2 weeks","2017","66 and older","29","","","","3"
"Yes, every 2 weeks","2017","16-34 y.","679","0.150744073543432","0.139753079906302","0.161735067180561","3"
"Yes, every 2 weeks","2017","35-65 y.","1805","0.150607033343897","0.144296990948145","0.15691707573965","3"
"Yes, every 3-4 weeks","2017","16-34 y.","370","0.0880818091777923","0.0793758105869072","0.0967878077686775","4"
"Yes, every 3-4 weeks","2017","35-65 y.","1224","0.092942112850586","0.0878196467558947","0.0980645789452772","4"
"Yes, every 3-4 weeks","2017","66 and older","21","","","","4"
"Yes, every week","2017","16-34 y.","591","0.140503021438773","0.129828152570402","0.151177890307144","2"
"Yes, every week","2017","35-65 y.","1603","0.128664431326716","0.122757290919729","0.134571571733703","2"
"Yes, every week","2017","66 and older","69","0.17474494135215","0.137576674677332","0.211913208026968","2"
"No, never","2018","66 and older","","","","","1"
"No, never","2018","16-34 y.","","","","","1"
"No, never","2018","35-65 y.","","","","","1"
"Rarely","2018","66 and older","","","","","5"
"Rarely","2018","16-34 y.","","","","","5"
"Rarely","2018","35-65 y.","","","","","5"
"Yes, every 2 weeks","2018","16-34 y.","","","","","3"
"Yes, every 2 weeks","2018","66 and older","","","","","3"
"Yes, every 2 weeks","2018","35-65 y.","","","","","3"
"Yes, every 3-4 weeks","2018","16-34 y.","","","","","4"
"Yes, every 3-4 weeks","2018","35-65 y.","","","","","4"
"Yes, every 3-4 weeks","2018","66 and older","","","","","4"
"Yes, every week","2018","35-65 y.","","","","","2"
"Yes, every week","2018","66 and older","","","","","2"
"Yes, every week","2018","16-34 y.","","","","","2"
"No, never","2019","66 and older","272","0.478147835344411","0.439805449363284","0.516490221325538","1"
"No, never","2019","16-34 y.","1646","0.447683747329578","0.431667867166134","0.463699627493022","1"
"No, never","2019","35-65 y.","5066","0.415738208369394","0.407117635036503","0.424358781702285","1"
"Rarely","2019","16-34 y.","594","0.169717144830594","0.157626565010655","0.181807724650534","5"
"Rarely","2019","35-65 y.","2732","0.229167896960816","0.221816341737173","0.23651945218446","5"
"Rarely","2019","66 and older","157","0.244692658424893","0.211693974771659","0.277691342078128","5"
"Yes, every 2 weeks","2019","66 and older","56","0.0828462030681856","0.0616878586752322","0.104004547461139","3"
"Yes, every 2 weeks","2019","16-34 y.","592","0.160992546017088","0.149155126781616","0.172829965252561","3"
"Yes, every 2 weeks","2019","35-65 y.","1842","0.14275052398115","0.136631743012913","0.148869304949388","3"
"Yes, every 3-4 weeks","2019","16-34 y.","343","0.0890686996323655","0.0798943221899746","0.0982430770747564","4"
"Yes, every 3-4 weeks","2019","66 and older","50","0.0611440634306925","0.0427532507852","0.0795348760761851","4"
"Yes, every 3-4 weeks","2019","35-65 y.","1128","0.0878294348107225","0.0828785763735067","0.0927802932479383","4"
"Yes, every week","2019","16-34 y.","528","0.132537862190373","0.121616759778148","0.143458964602599","2"
"Yes, every week","2019","35-65 y.","1788","0.124513935877917","0.118738882045193","0.13028898971064","2"
"Yes, every week","2019","66 and older","117","0.133169239731817","0.107090091043225","0.159248388420409","2"
