"m11125","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","higher vocational","2","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","in school","","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","higher education","3","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","inadequately","2","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","general elemantary","4","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","in school","","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","inadequately","4","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","middle vocational","6","","","","1"
"1 on Scale 1 to 10","1984","1-pers.-HH","higher education","","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","general elemantary","14","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","inadequately","3","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","higher education","","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","higher education","","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","in school","","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","inadequately","8","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","general elemantary","9","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","middle vocational","15","","","","1"
"1 on Scale 1 to 10","1984","1-pers.-HH","in school","","","","","1"
"1 on Scale 1 to 10","1984","1-pers.-HH","inadequately","1","","","","1"
"1 on Scale 1 to 10","1984","1-pers.-HH","general elemantary","17","","","","1"
"1 on Scale 1 to 10","1984","1-pers.-HH","middle vocational","11","","","","1"
"1 on Scale 1 to 10","1984","1-pers.-HH","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1984","1-pers.-HH","higher vocational","2","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","middle vocational","23","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","general elemantary","6","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","middle vocational","4","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","higher vocational","","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","higher education","1","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","in school","","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","inadequately","2","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","general elemantary","6","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","middle vocational","7","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","higher vocational","2","","","","1"
"10 Completely satisfied","1984","Single parent ","in school","2","","","","10"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","general elemantary","187","0.26648813515537","0.230993111367302","0.301983158943437","10"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","middle vocational","187","0.261745395538733","0.228754165261233","0.294736625816233","10"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","vocational + Abi","9","","","","10"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","inadequately","50","0.295724546354176","0.235556360478526","0.355892732229827","10"
"10 Completely satisfied","1984","Couple + C. LE 16 ","in school","","","","","10"
"10 Completely satisfied","1984","(Married) couple without C. ","higher education","39","0.195338841149796","0.140934465588433","0.24974321671116","10"
"10 Completely satisfied","1984","Single parent ","inadequately","10","","","","10"
"10 Completely satisfied","1984","Single parent ","higher education","3","","","","10"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","in school","37","0.455342608837404","0.34482496024419","0.565860257430618","10"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","higher vocational","7","","","","10"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","higher education","14","","","","10"
"10 Completely satisfied","1984","(Married) couple without C. ","higher vocational","17","","","","10"
"10 Completely satisfied","1984","Single parent ","general elemantary","48","0.228708198883642","0.170500113093014","0.286916284674269","10"
"10 Completely satisfied","1984","Couple + C. GT 16 ","higher education","21","","","","10"
"10 Completely satisfied","1984","Couple + C. LE 16 ","inadequately","97","0.304831257156246","0.254315412817059","0.355347101495432","10"
"10 Completely satisfied","1984","Single parent ","higher vocational","4","","","","10"
"10 Completely satisfied","1984","Single parent ","middle vocational","67","0.238017771523525","0.186252495910862","0.289783047136187","10"
"10 Completely satisfied","1984","Single parent ","vocational + Abi","4","","","","10"
"10 Completely satisfied","1984","Couple + C. LE 16 ","higher education","80","0.282216183040945","0.228026957750976","0.336405408330914","10"
"10 Completely satisfied","1984","Couple + C. GT 16 ","higher vocational","16","","","","10"
"10 Completely satisfied","1984","Couple + C. GT 16 ","vocational + Abi","9","","","","10"
"10 Completely satisfied","1984","1-pers.-HH","in school","1","","","","10"
"10 Completely satisfied","1984","1-pers.-HH","inadequately","10","","","","10"
"10 Completely satisfied","1984","1-pers.-HH","general elemantary","57","0.114414404634601","0.0829035137417853","0.145925295527417","10"
"10 Completely satisfied","1984","(Married) couple without C. ","in school","","","","","10"
"10 Completely satisfied","1984","(Married) couple without C. ","inadequately","28","","","","10"
"10 Completely satisfied","1984","(Married) couple without C. ","general elemantary","95","0.117157920455807","0.0932991686469504","0.141016672264664","10"
"10 Completely satisfied","1984","(Married) couple without C. ","middle vocational","247","0.165252286295948","0.145914154160896","0.184590418431","10"
"10 Completely satisfied","1984","(Married) couple without C. ","vocational + Abi","20","","","","10"
"10 Completely satisfied","1984","Couple + C. LE 16 ","general elemantary","201","0.277008978946247","0.242995532186587","0.311022425705907","10"
"10 Completely satisfied","1984","Couple + C. LE 16 ","middle vocational","375","0.241822032301796","0.220196384866081","0.263447679737511","10"
"10 Completely satisfied","1984","Couple + C. LE 16 ","vocational + Abi","22","","","","10"
"10 Completely satisfied","1984","Couple + C. LE 16 ","higher vocational","65","0.298905095328091","0.23639220987351","0.361417980782672","10"
"10 Completely satisfied","1984","1-pers.-HH","middle vocational","125","0.18666499661589","0.156068602762523","0.217261390469256","10"
"10 Completely satisfied","1984","1-pers.-HH","vocational + Abi","8","","","","10"
"10 Completely satisfied","1984","1-pers.-HH","higher vocational","13","","","","10"
"10 Completely satisfied","1984","1-pers.-HH","higher education","25","","","","10"
"10 Completely satisfied","1984","Couple + C. GT 16 ","in school","34","0.410862040101096","0.302371703217836","0.519352376984357","10"
"10 Completely satisfied","1984","Couple + C. GT 16 ","inadequately","28","","","","10"
"10 Completely satisfied","1984","Couple + C. GT 16 ","general elemantary","137","0.214794897506714","0.181600639541404","0.247989155472025","10"
"10 Completely satisfied","1984","Couple + C. GT 16 ","middle vocational","227","0.22128192908416","0.194617250597479","0.247946607570841","10"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","higher education","7","","","","2"
"2 on Scale 1 to 10","1984","Single parent ","in school","","","","","2"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","middle vocational","43","0.0296329564007619","0.0208038108560493","0.0384621019454745","2"
"2 on Scale 1 to 10","1984","Single parent ","higher education","","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","higher vocational","","","","","2"
"2 on Scale 1 to 10","1984","Single parent ","vocational + Abi","","","","","2"
"2 on Scale 1 to 10","1984","Single parent ","higher vocational","","","","","2"
"2 on Scale 1 to 10","1984","Single parent ","inadequately","3","","","","2"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","vocational + Abi","","","","","2"
"2 on Scale 1 to 10","1984","Single parent ","middle vocational","1","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","higher education","4","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","in school","","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","general elemantary","14","","","","2"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","inadequately","8","","","","2"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","general elemantary","44","0.065377316618644","0.0470393117414463","0.0837153214958417","2"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","higher vocational","3","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","inadequately","12","","","","2"
"2 on Scale 1 to 10","1984","Single parent ","general elemantary","1","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","higher vocational","3","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","middle vocational","18","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","vocational + Abi","","","","","2"
"2 on Scale 1 to 10","1984","1-pers.-HH","in school","","","","","2"
"2 on Scale 1 to 10","1984","1-pers.-HH","inadequately","2","","","","2"
"2 on Scale 1 to 10","1984","1-pers.-HH","middle vocational","18","","","","2"
"2 on Scale 1 to 10","1984","1-pers.-HH","vocational + Abi","1","","","","2"
"2 on Scale 1 to 10","1984","1-pers.-HH","higher vocational","2","","","","2"
"2 on Scale 1 to 10","1984","1-pers.-HH","higher education","4","","","","2"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","in school","","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","in school","","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","inadequately","10","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","general elemantary","22","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","middle vocational","30","0.019142902684583","0.0122223246448524","0.0260634807243137","2"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","higher education","1","","","","2"
"2 on Scale 1 to 10","1984","1-pers.-HH","general elemantary","24","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","vocational + Abi","2","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","higher vocational","2","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","higher education","2","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","in school","3","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","inadequately","8","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","general elemantary","14","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","middle vocational","19","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","vocational + Abi","","","","","2"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","higher vocational","2","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","higher education","2","","","","3"
"3 on Scale 1 to 10","1984","1-pers.-HH","in school","","","","","3"
"3 on Scale 1 to 10","1984","1-pers.-HH","inadequately","5","","","","3"
"3 on Scale 1 to 10","1984","1-pers.-HH","general elemantary","34","0.0880658564720285","0.060012128772571","0.116119584171486","3"
"3 on Scale 1 to 10","1984","1-pers.-HH","middle vocational","31","0.0549204110461365","0.0370306248998067","0.0728101971924662","3"
"3 on Scale 1 to 10","1984","1-pers.-HH","vocational + Abi","2","","","","3"
"3 on Scale 1 to 10","1984","1-pers.-HH","higher vocational","2","","","","3"
"3 on Scale 1 to 10","1984","1-pers.-HH","higher education","6","","","","3"
"3 on Scale 1 to 10","1984","(Married) couple without C. ","general elemantary","48","0.0744465754323164","0.0549730990510898","0.0939200518135429","3"
"3 on Scale 1 to 10","1984","Single parent ","in school","","","","","3"
"3 on Scale 1 to 10","1984","Single parent ","inadequately","4","","","","3"
"3 on Scale 1 to 10","1984","Single parent ","general elemantary","12","","","","3"
"3 on Scale 1 to 10","1984","Single parent ","middle vocational","9","","","","3"
"3 on Scale 1 to 10","1984","Single parent ","vocational + Abi","","","","","3"
"3 on Scale 1 to 10","1984","Single parent ","higher vocational","","","","","3"
"3 on Scale 1 to 10","1984","Single parent ","higher education","","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","in school","","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","inadequately","12","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","general elemantary","27","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","middle vocational","28","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","vocational + Abi","2","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","higher education","4","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","in school","1","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","inadequately","8","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","higher education","3","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","in school","1","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","inadequately","13","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","general elemantary","13","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","middle vocational","20","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","vocational + Abi","1","","","","3"
"3 on Scale 1 to 10","1984","(Married) couple without C. ","in school","","","","","3"
"3 on Scale 1 to 10","1984","(Married) couple without C. ","inadequately","6","","","","3"
"3 on Scale 1 to 10","1984","(Married) couple without C. ","middle vocational","67","0.0510804525620073","0.0396172694300388","0.0625436356939759","3"
"3 on Scale 1 to 10","1984","(Married) couple without C. ","vocational + Abi","4","","","","3"
"3 on Scale 1 to 10","1984","(Married) couple without C. ","higher vocational","12","","","","3"
"3 on Scale 1 to 10","1984","(Married) couple without C. ","higher education","7","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","higher vocational","7","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","general elemantary","20","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","middle vocational","35","0.0409151203964388","0.0281905335735445","0.053639707219333","3"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","vocational + Abi","1","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","higher vocational","2","","","","3"
"4 on Scale 1 to 10","1984","(Married) couple without C. ","middle vocational","62","0.0470054805579071","0.0359854546396382","0.0580255064761761","4"
"4 on Scale 1 to 10","1984","(Married) couple without C. ","general elemantary","45","0.065726574074842","0.0473430877803269","0.0841100603693571","4"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","in school","1","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","inadequately","8","","","","4"
"4 on Scale 1 to 10","1984","(Married) couple without C. ","inadequately","7","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","higher education","6","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","general elemantary","16","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","higher education","6","","","","4"
"4 on Scale 1 to 10","1984","1-pers.-HH","in school","","","","","4"
"4 on Scale 1 to 10","1984","1-pers.-HH","inadequately","6","","","","4"
"4 on Scale 1 to 10","1984","1-pers.-HH","general elemantary","25","","","","4"
"4 on Scale 1 to 10","1984","1-pers.-HH","middle vocational","34","0.0561458505160823","0.0380693089165854","0.0742223921155792","4"
"4 on Scale 1 to 10","1984","1-pers.-HH","vocational + Abi","5","","","","4"
"4 on Scale 1 to 10","1984","1-pers.-HH","higher vocational","3","","","","4"
"4 on Scale 1 to 10","1984","1-pers.-HH","higher education","3","","","","4"
"4 on Scale 1 to 10","1984","(Married) couple without C. ","in school","","","","","4"
"4 on Scale 1 to 10","1984","(Married) couple without C. ","vocational + Abi","5","","","","4"
"4 on Scale 1 to 10","1984","(Married) couple without C. ","higher vocational","5","","","","4"
"4 on Scale 1 to 10","1984","(Married) couple without C. ","higher education","6","","","","4"
"4 on Scale 1 to 10","1984","Single parent ","in school","","","","","4"
"4 on Scale 1 to 10","1984","Single parent ","inadequately","5","","","","4"
"4 on Scale 1 to 10","1984","Single parent ","general elemantary","12","","","","4"
"4 on Scale 1 to 10","1984","Single parent ","middle vocational","9","","","","4"
"4 on Scale 1 to 10","1984","Single parent ","vocational + Abi","","","","","4"
"4 on Scale 1 to 10","1984","Single parent ","higher vocational","1","","","","4"
"4 on Scale 1 to 10","1984","Single parent ","higher education","","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","in school","","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","inadequately","11","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","general elemantary","15","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","middle vocational","47","0.0280571561590086","0.0197169306605433","0.0363973816574738","4"
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","vocational + Abi","4","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","higher vocational","4","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","middle vocational","37","0.0408912775454926","0.0281702407021163","0.0536123143888689","4"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","vocational + Abi","","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","higher vocational","7","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","in school","1","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","inadequately","11","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","general elemantary","17","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","middle vocational","33","0.0449140928732669","0.0293698906197802","0.0604582951267537","4"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","vocational + Abi","","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","higher vocational","","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","higher education","","","","","4"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","higher education","8","","","","5"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","in school","2","","","","5"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","middle vocational","65","0.0934072960770038","0.0715673071557793","0.115247284998228","5"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","vocational + Abi","1","","","","5"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","inadequately","39","0.15357550888155","0.106041215068868","0.201109802694232","5"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","general elemantary","72","0.155775317845282","0.126661222039389","0.184889413651175","5"
"5 on Scale 1 to 10","1984","(Married) couple without C. ","general elemantary","151","0.230048717654692","0.198826631959636","0.261270803349749","5"
"5 on Scale 1 to 10","1984","(Married) couple without C. ","middle vocational","248","0.181078419024354","0.161028266947105","0.201128571101602","5"
"5 on Scale 1 to 10","1984","(Married) couple without C. ","vocational + Abi","14","","","","5"
"5 on Scale 1 to 10","1984","(Married) couple without C. ","higher vocational","38","0.242257490587615","0.176076298427411","0.308438682747819","5"
"5 on Scale 1 to 10","1984","(Married) couple without C. ","higher education","14","","","","5"
"5 on Scale 1 to 10","1984","Single parent ","in school","1","","","","5"
"5 on Scale 1 to 10","1984","Single parent ","inadequately","5","","","","5"
"5 on Scale 1 to 10","1984","Single parent ","general elemantary","35","0.181566573467297","0.128141796070192","0.234991350864403","5"
"5 on Scale 1 to 10","1984","Single parent ","middle vocational","42","0.161271990500527","0.116567467687594","0.205976513313459","5"
"5 on Scale 1 to 10","1984","Single parent ","vocational + Abi","","","","","5"
"5 on Scale 1 to 10","1984","Single parent ","higher vocational","4","","","","5"
"5 on Scale 1 to 10","1984","Single parent ","higher education","3","","","","5"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","in school","5","","","","5"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","inadequately","22","","","","5"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","general elemantary","98","0.184986575399782","0.153602313781498","0.216370837018065","5"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","middle vocational","137","0.158111835566689","0.134675881245737","0.18154778988764","5"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","vocational + Abi","2","","","","5"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","higher vocational","17","","","","5"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","higher vocational","7","","","","5"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","higher education","9","","","","5"
"5 on Scale 1 to 10","1984","1-pers.-HH","in school","","","","","5"
"5 on Scale 1 to 10","1984","1-pers.-HH","inadequately","11","","","","5"
"5 on Scale 1 to 10","1984","1-pers.-HH","general elemantary","73","0.185802387856764","0.147299295130424","0.224305480583105","5"
"5 on Scale 1 to 10","1984","1-pers.-HH","middle vocational","101","0.177274394937431","0.147285906180612","0.207262883694251","5"
"5 on Scale 1 to 10","1984","1-pers.-HH","vocational + Abi","3","","","","5"
"5 on Scale 1 to 10","1984","1-pers.-HH","higher vocational","17","","","","5"
"5 on Scale 1 to 10","1984","1-pers.-HH","higher education","15","","","","5"
"5 on Scale 1 to 10","1984","(Married) couple without C. ","in school","1","","","","5"
"5 on Scale 1 to 10","1984","(Married) couple without C. ","inadequately","23","","","","5"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","in school","","","","","5"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","inadequately","46","0.145186637753648","0.106527539055879","0.183845736451416","5"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","general elemantary","86","0.136519794930969","0.110424556160503","0.162615033701435","5"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","middle vocational","174","0.118745513877264","0.102407664753477","0.135083363001052","5"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","vocational + Abi","13","","","","5"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","higher vocational","23","","","","5"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","higher education","18","","","","5"
"6 on Scale 1 to 10","1984","Couple + C. LE 16 ","inadequately","25","","","","6"
"6 on Scale 1 to 10","1984","Couple + C. LE 16 ","in school","","","","","6"
"6 on Scale 1 to 10","1984","Single parent ","higher vocational","2","","","","6"
"6 on Scale 1 to 10","1984","Single parent ","higher education","","","","","6"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","higher education","3","","","","6"
"6 on Scale 1 to 10","1984","Single parent ","middle vocational","18","","","","6"
"6 on Scale 1 to 10","1984","Couple + C. LE 16 ","general elemantary","46","0.0672686130070187","0.0482305920479549","0.0863066339660826","6"
"6 on Scale 1 to 10","1984","Couple + C. GT 16 ","higher education","7","","","","6"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","in school","1","","","","6"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","higher vocational","2","","","","6"
"6 on Scale 1 to 10","1984","Single parent ","vocational + Abi","1","","","","6"
"6 on Scale 1 to 10","1984","Couple + C. LE 16 ","middle vocational","91","0.0555626651336768","0.0439931885050404","0.0671321417623132","6"
"6 on Scale 1 to 10","1984","Couple + C. LE 16 ","vocational + Abi","1","","","","6"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","inadequately","21","","","","6"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","general elemantary","34","0.0611719349299454","0.0419324207237043","0.0804114491361865","6"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","middle vocational","37","0.0532043186683998","0.0363598436224671","0.0700487937143326","6"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","vocational + Abi","1","","","","6"
