"m11125","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 on Scale 1 to 10","1984","indirect migration background","higher vocational","","","",""
"1 on Scale 1 to 10","1984","indirect migration background","higher education","1","","",""
"2 on Scale 1 to 10","1984","no migration background","in school","1","","",""
"2 on Scale 1 to 10","1984","no migration background","inadequately","3","","",""
"2 on Scale 1 to 10","1984","no migration background","general elemantary","102","0.0485839735388927","0.0398728953982931","0.0572950516794923"
"2 on Scale 1 to 10","1984","no migration background","middle vocational","115","0.0259367754134361","0.0213594121484884","0.0305141386783839"
"2 on Scale 1 to 10","1984","no migration background","vocational + Abi","1","","",""
"2 on Scale 1 to 10","1984","no migration background","higher vocational","11","","",""
"2 on Scale 1 to 10","1984","no migration background","higher education","16","","",""
"2 on Scale 1 to 10","1984","direct migration background","in school","","","",""
"2 on Scale 1 to 10","1984","direct migration background","inadequately","51","0.046201073586336","0.032767204238911","0.0596349429337609"
"2 on Scale 1 to 10","1984","direct migration background","general elemantary","30","0.0234412510535013","0.0143714279006707","0.0325110742063318"
"2 on Scale 1 to 10","1984","direct migration background","middle vocational","25","","",""
"2 on Scale 1 to 10","1984","direct migration background","vocational + Abi","2","","",""
"2 on Scale 1 to 10","1984","direct migration background","higher vocational","1","","",""
"2 on Scale 1 to 10","1984","direct migration background","higher education","2","","",""
"2 on Scale 1 to 10","1984","indirect migration background","in school","2","","",""
"2 on Scale 1 to 10","1984","indirect migration background","inadequately","","","",""
"2 on Scale 1 to 10","1984","indirect migration background","general elemantary","","","",""
"2 on Scale 1 to 10","1984","indirect migration background","middle vocational","","","",""
"2 on Scale 1 to 10","1984","indirect migration background","vocational + Abi","","","",""
"2 on Scale 1 to 10","1984","indirect migration background","higher vocational","","","",""
"2 on Scale 1 to 10","1984","indirect migration background","higher education","","","",""
"3 on Scale 1 to 10","1984","no migration background","in school","2","","",""
"3 on Scale 1 to 10","1984","no migration background","inadequately","3","","",""
"3 on Scale 1 to 10","1984","no migration background","general elemantary","122","0.0560309780218568","0.0467127542604797","0.065349201783234"
"3 on Scale 1 to 10","1984","no migration background","middle vocational","171","0.0396558364157155","0.0340359074852546","0.0452757653461765"
"3 on Scale 1 to 10","1984","no migration background","vocational + Abi","7","","",""
"3 on Scale 1 to 10","1984","no migration background","higher vocational","27","","",""
"3 on Scale 1 to 10","1984","no migration background","higher education","21","","",""
"3 on Scale 1 to 10","1984","direct migration background","in school","1","","",""
"3 on Scale 1 to 10","1984","direct migration background","inadequately","49","0.0485039806925567","0.0347560019844976","0.0622519594006157"
"3 on Scale 1 to 10","1984","direct migration background","general elemantary","48","0.0555910257659648","0.0418556155335449","0.0693264359983848"
"3 on Scale 1 to 10","1984","direct migration background","middle vocational","31","0.0254627856086468","0.0158379665365931","0.0350876046807006"
"3 on Scale 1 to 10","1984","direct migration background","vocational + Abi","5","","",""
"3 on Scale 1 to 10","1984","direct migration background","higher vocational","","","",""
"3 on Scale 1 to 10","1984","direct migration background","higher education","2","","",""
"3 on Scale 1 to 10","1984","indirect migration background","in school","","","",""
"3 on Scale 1 to 10","1984","indirect migration background","inadequately","","","",""
"3 on Scale 1 to 10","1984","indirect migration background","general elemantary","1","","",""
"3 on Scale 1 to 10","1984","indirect migration background","middle vocational","2","","",""
"3 on Scale 1 to 10","1984","indirect migration background","vocational + Abi","","","",""
"3 on Scale 1 to 10","1984","indirect migration background","higher vocational","","","",""
"3 on Scale 1 to 10","1984","indirect migration background","higher education","","","",""
"4 on Scale 1 to 10","1984","no migration background","in school","2","","",""
"4 on Scale 1 to 10","1984","no migration background","inadequately","5","","",""
"4 on Scale 1 to 10","1984","no migration background","general elemantary","119","0.0543698832675604","0.0451827501268321","0.0635570164082888"
"4 on Scale 1 to 10","1984","no migration background","middle vocational","191","0.0428831405185698","0.0370488293202205","0.0487174517169191"
"4 on Scale 1 to 10","1984","no migration background","vocational + Abi","8","","",""
"4 on Scale 1 to 10","1984","no migration background","higher vocational","22","","",""
"4 on Scale 1 to 10","1984","no migration background","higher education","21","","",""
"4 on Scale 1 to 10","1984","direct migration background","in school","","","",""
"4 on Scale 1 to 10","1984","direct migration background","inadequately","48","0.0497090053683324","0.0358001139939007","0.0636178967427641"
"4 on Scale 1 to 10","1984","direct migration background","general elemantary","28","","",""
"4 on Scale 1 to 10","1984","direct migration background","middle vocational","45","0.0460427574845518","0.0332375823934577","0.0588479325756459"
"4 on Scale 1 to 10","1984","direct migration background","vocational + Abi","6","","",""
"4 on Scale 1 to 10","1984","direct migration background","higher vocational","","","",""
"4 on Scale 1 to 10","1984","direct migration background","higher education","3","","",""
"4 on Scale 1 to 10","1984","indirect migration background","in school","","","",""
"4 on Scale 1 to 10","1984","indirect migration background","inadequately","","","",""
"4 on Scale 1 to 10","1984","indirect migration background","general elemantary","2","","",""
"4 on Scale 1 to 10","1984","indirect migration background","middle vocational","","","",""
"4 on Scale 1 to 10","1984","indirect migration background","vocational + Abi","","","",""
"4 on Scale 1 to 10","1984","indirect migration background","higher vocational","","","",""
"4 on Scale 1 to 10","1984","indirect migration background","higher education","","","",""
"5 on Scale 1 to 10","1984","no migration background","in school","9","","",""
"5 on Scale 1 to 10","1984","no migration background","inadequately","9","","",""
"5 on Scale 1 to 10","1984","no migration background","general elemantary","437","0.188044926647326","0.172212883213898","0.203876970080754"
"5 on Scale 1 to 10","1984","no migration background","middle vocational","668","0.149728857148406","0.139453538694307","0.160004175602506"
"5 on Scale 1 to 10","1984","no migration background","vocational + Abi","20","","",""
"5 on Scale 1 to 10","1984","no migration background","higher vocational","103","0.17708945392572","0.14659488427632","0.20758402357512"
"5 on Scale 1 to 10","1984","no migration background","higher education","60","0.0903488566094366","0.0685926116836617","0.112105101535212"
"5 on Scale 1 to 10","1984","direct migration background","in school","","","",""
"5 on Scale 1 to 10","1984","direct migration background","inadequately","154","0.147464908785834","0.124774247804571","0.170155569767098"
"5 on Scale 1 to 10","1984","direct migration background","general elemantary","128","0.156409559021504","0.134634631948058","0.17818448609495"
"5 on Scale 1 to 10","1984","direct migration background","middle vocational","126","0.150868560988822","0.128999645913123","0.172737476064521"
"5 on Scale 1 to 10","1984","direct migration background","vocational + Abi","15","","",""
"5 on Scale 1 to 10","1984","direct migration background","higher vocational","9","","",""
"5 on Scale 1 to 10","1984","direct migration background","higher education","11","","",""
"5 on Scale 1 to 10","1984","indirect migration background","in school","","","",""
"5 on Scale 1 to 10","1984","indirect migration background","inadequately","1","","",""
"5 on Scale 1 to 10","1984","indirect migration background","general elemantary","6","","",""
"5 on Scale 1 to 10","1984","indirect migration background","middle vocational","8","","",""
"5 on Scale 1 to 10","1984","indirect migration background","vocational + Abi","","","",""
"5 on Scale 1 to 10","1984","indirect migration background","higher vocational","","","",""
"5 on Scale 1 to 10","1984","indirect migration background","higher education","","","",""
"6 on Scale 1 to 10","1984","no migration background","in school","4","","",""
"6 on Scale 1 to 10","1984","no migration background","inadequately","7","","",""
"6 on Scale 1 to 10","1984","no migration background","general elemantary","157","0.0670229987541727","0.0568911765755881","0.0771548209327572"
"6 on Scale 1 to 10","1984","no migration background","middle vocational","321","0.069127540660827","0.0618223011461291","0.076432780175525"
"6 on Scale 1 to 10","1984","no migration background","vocational + Abi","16","","",""
"6 on Scale 1 to 10","1984","no migration background","higher vocational","37","0.0633153766945794","0.0438617248873704","0.0827690285017883"
"6 on Scale 1 to 10","1984","no migration background","higher education","35","0.0552599591043686","0.0379200580535438","0.0725998601551934"
"6 on Scale 1 to 10","1984","direct migration background","in school","","","",""
"6 on Scale 1 to 10","1984","direct migration background","inadequately","70","0.0759806696154911","0.0590240702763148","0.0929372689546674"
"6 on Scale 1 to 10","1984","direct migration background","general elemantary","72","0.0723624668541534","0.0568312645613037","0.087893669147003"
"6 on Scale 1 to 10","1984","direct migration background","middle vocational","61","0.0572575711118016","0.0430619829624025","0.0714531592612007"
"6 on Scale 1 to 10","1984","direct migration background","vocational + Abi","2","","",""
"6 on Scale 1 to 10","1984","direct migration background","higher vocational","2","","",""
"6 on Scale 1 to 10","1984","direct migration background","higher education","7","","",""
"6 on Scale 1 to 10","1984","indirect migration background","in school","","","",""
"6 on Scale 1 to 10","1984","indirect migration background","inadequately","","","",""
"6 on Scale 1 to 10","1984","indirect migration background","general elemantary","1","","",""
"6 on Scale 1 to 10","1984","indirect migration background","middle vocational","","","",""
"6 on Scale 1 to 10","1984","indirect migration background","vocational + Abi","","","",""
"6 on Scale 1 to 10","1984","indirect migration background","higher vocational","","","",""
"6 on Scale 1 to 10","1984","indirect migration background","higher education","","","",""
"7 on Scale 1 to 10","1984","no migration background","in school","11","","",""
"7 on Scale 1 to 10","1984","no migration background","inadequately","8","","",""
"7 on Scale 1 to 10","1984","no migration background","general elemantary","261","0.110768727370745","0.098052563698064","0.123484891043425"
"7 on Scale 1 to 10","1984","no migration background","middle vocational","581","0.126455465264932","0.116884072389073","0.136026858140792"
"7 on Scale 1 to 10","1984","no migration background","vocational + Abi","19","","",""
"7 on Scale 1 to 10","1984","no migration background","higher vocational","69","0.113590303154139","0.0882426518635786","0.1389379544447"
"7 on Scale 1 to 10","1984","no migration background","higher education","90","0.131461226076027","0.105817648220231","0.157104803931822"
"7 on Scale 1 to 10","1984","direct migration background","in school","2","","",""
"7 on Scale 1 to 10","1984","direct migration background","inadequately","98","0.117164565880559","0.0965827023770591","0.13774642938406"
"7 on Scale 1 to 10","1984","direct migration background","general elemantary","107","0.124902992924554","0.10508435697225","0.144721628876858"
"7 on Scale 1 to 10","1984","direct migration background","middle vocational","112","0.110397689661807","0.0912499132710687","0.129545466052546"
"7 on Scale 1 to 10","1984","direct migration background","vocational + Abi","14","","",""
"7 on Scale 1 to 10","1984","direct migration background","higher vocational","7","","",""
"7 on Scale 1 to 10","1984","direct migration background","higher education","14","","",""
"7 on Scale 1 to 10","1984","indirect migration background","in school","1","","",""
"7 on Scale 1 to 10","1984","indirect migration background","inadequately","","","",""
"7 on Scale 1 to 10","1984","indirect migration background","general elemantary","4","","",""
"7 on Scale 1 to 10","1984","indirect migration background","middle vocational","5","","",""
"7 on Scale 1 to 10","1984","indirect migration background","vocational + Abi","","","",""
"7 on Scale 1 to 10","1984","indirect migration background","higher vocational","","","",""
"7 on Scale 1 to 10","1984","indirect migration background","higher education","","","",""
"8 on Scale 1 to 10","1984","no migration background","in school","33","0.216201242041409","0.15201367341024","0.280388810672578"
"8 on Scale 1 to 10","1984","no migration background","inadequately","7","","",""
"8 on Scale 1 to 10","1984","no migration background","general elemantary","347","0.146270120842846","0.131952257497182","0.160587984188511"
"8 on Scale 1 to 10","1984","no migration background","middle vocational","894","0.186771637015767","0.175548208704781","0.197995065326753"
"8 on Scale 1 to 10","1984","no migration background","vocational + Abi","35","0.193256338106271","0.136358353830846","0.250154322381696"
"8 on Scale 1 to 10","1984","no migration background","higher vocational","137","0.216073775112552","0.183197055948333","0.248950494276771"
"8 on Scale 1 to 10","1984","no migration background","higher education","157","0.231821481111019","0.19979618961335","0.263846772608688"
"8 on Scale 1 to 10","1984","direct migration background","in school","1","","",""
"8 on Scale 1 to 10","1984","direct migration background","inadequately","128","0.142611926078964","0.120234336018269","0.164989516139658"
"8 on Scale 1 to 10","1984","direct migration background","general elemantary","166","0.14195197405911","0.121030814347533","0.162873133770687"
"8 on Scale 1 to 10","1984","direct migration background","middle vocational","166","0.132414213101169","0.111704984604655","0.153123441597683"
"8 on Scale 1 to 10","1984","direct migration background","vocational + Abi","18","","",""
"8 on Scale 1 to 10","1984","direct migration background","higher vocational","8","","",""
"8 on Scale 1 to 10","1984","direct migration background","higher education","30","0.319765444843776","0.237006816161348","0.402524073526203"
"8 on Scale 1 to 10","1984","indirect migration background","in school","1","","",""
"8 on Scale 1 to 10","1984","indirect migration background","inadequately","1","","",""
"8 on Scale 1 to 10","1984","indirect migration background","general elemantary","4","","",""
"8 on Scale 1 to 10","1984","indirect migration background","middle vocational","10","","",""
"8 on Scale 1 to 10","1984","indirect migration background","vocational + Abi","","","",""
"8 on Scale 1 to 10","1984","indirect migration background","higher vocational","","","",""
"8 on Scale 1 to 10","1984","indirect migration background","higher education","1","","",""
"9 on Scale 1 to 10","1984","no migration background","in school","31","0.202949451139018","0.140236618053498","0.265662284224539"
"9 on Scale 1 to 10","1984","no migration background","inadequately","7","","",""
"9 on Scale 1 to 10","1984","no migration background","general elemantary","206","0.0823595103732278","0.0712208407109731","0.0934981800354826"
"9 on Scale 1 to 10","1984","no migration background","middle vocational","544","0.110289730654386","0.101268710452292","0.11931075085648"
"9 on Scale 1 to 10","1984","no migration background","vocational + Abi","31","0.175343959484723","0.120548565528086","0.230139353441361"
"9 on Scale 1 to 10","1984","no migration background","higher vocational","61","0.102735013157637","0.0784817909192384","0.126988235396036"
"9 on Scale 1 to 10","1984","no migration background","higher education","105","0.155833002616768","0.128307891669059","0.183358113564478"
"9 on Scale 1 to 10","1984","direct migration background","in school","6","","",""
"9 on Scale 1 to 10","1984","direct migration background","inadequately","70","0.0775866887957061","0.0604667163461585","0.0947066612452538"
"9 on Scale 1 to 10","1984","direct migration background","general elemantary","125","0.103441271213621","0.0851856954594491","0.121696846967793"
"9 on Scale 1 to 10","1984","direct migration background","middle vocational","121","0.126215889747461","0.105925074729452","0.14650670476547"
"9 on Scale 1 to 10","1984","direct migration background","vocational + Abi","25","","",""
"9 on Scale 1 to 10","1984","direct migration background","higher vocational","7","","",""
"9 on Scale 1 to 10","1984","direct migration background","higher education","16","","",""
"9 on Scale 1 to 10","1984","indirect migration background","in school","1","","",""
"9 on Scale 1 to 10","1984","indirect migration background","inadequately","","","",""
"9 on Scale 1 to 10","1984","indirect migration background","general elemantary","15","","",""
"9 on Scale 1 to 10","1984","indirect migration background","middle vocational","6","","",""
"9 on Scale 1 to 10","1984","indirect migration background","vocational + Abi","","","",""
"9 on Scale 1 to 10","1984","indirect migration background","higher vocational","3","","",""
"9 on Scale 1 to 10","1984","indirect migration background","higher education","1","","",""
"10 Completely satisfied","1984","no migration background","in school","64","0.401406173700944","0.324973740031448","0.47783860737044"
"10 Completely satisfied","1984","no migration background","inadequately","18","","",""
"10 Completely satisfied","1984","no migration background","general elemantary","439","0.174832097691444","0.1594426898349","0.190221505547989"
"10 Completely satisfied","1984","no migration background","middle vocational","950","0.201326739193782","0.189778942805321","0.212874535582243"
"10 Completely satisfied","1984","no migration background","vocational + Abi","42","0.208119091328381","0.149620134224587","0.266618048432174"
"10 Completely satisfied","1984","no migration background","higher vocational","107","0.167086834764732","0.137286521824417","0.196887147705046"
"10 Completely satisfied","1984","no migration background","higher education","150","0.218480155977299","0.187121230169892","0.249839081784706"
"10 Completely satisfied","1984","direct migration background","in school","10","","",""
"10 Completely satisfied","1984","direct migration background","inadequately","218","0.228056138629543","0.201205141745494","0.254907135513592"
"10 Completely satisfied","1984","direct migration background","general elemantary","328","0.246351578157562","0.220521762314446","0.272181394000677"
"10 Completely satisfied","1984","direct migration background","middle vocational","301","0.27367544704642","0.246434407012477","0.300916487080363"
"10 Completely satisfied","1984","direct migration background","vocational + Abi","36","0.250505293525864","0.174847171488441","0.326163415563287"
"10 Completely satisfied","1984","direct migration background","higher vocational","16","","",""
"10 Completely satisfied","1984","direct migration background","higher education","35","0.197167150790862","0.126568236381706","0.267766065200018"
"10 Completely satisfied","1984","indirect migration background","in school","3","","",""
"10 Completely satisfied","1984","indirect migration background","inadequately","2","","",""
"10 Completely satisfied","1984","indirect migration background","general elemantary","20","","",""
"10 Completely satisfied","1984","indirect migration background","middle vocational","22","","",""
"10 Completely satisfied","1984","indirect migration background","vocational + Abi","1","","",""
"10 Completely satisfied","1984","indirect migration background","higher vocational","1","","",""
"10 Completely satisfied","1984","indirect migration background","higher education","","","",""
"0 Completely dissatisfied","1985","no migration background","in school","","","",""
"0 Completely dissatisfied","1985","no migration background","inadequately","6","","",""
"0 Completely dissatisfied","1985","no migration background","general elemantary","49","0.0245366566043263","0.0178992253522642","0.0311740878563884"
"0 Completely dissatisfied","1985","no migration background","middle vocational","89","0.0242190774015949","0.019578705920792","0.0288594488823978"
"0 Completely dissatisfied","1985","no migration background","vocational + Abi","4","","",""
"0 Completely dissatisfied","1985","no migration background","higher vocational","13","","",""
"0 Completely dissatisfied","1985","no migration background","higher education","4","","",""
"0 Completely dissatisfied","1985","direct migration background","in school","","","",""
"0 Completely dissatisfied","1985","direct migration background","inadequately","21","","",""
"0 Completely dissatisfied","1985","direct migration background","general elemantary","22","","",""
"0 Completely dissatisfied","1985","direct migration background","middle vocational","13","","",""
"0 Completely dissatisfied","1985","direct migration background","vocational + Abi","1","","",""
"0 Completely dissatisfied","1985","direct migration background","higher vocational","1","","",""
"0 Completely dissatisfied","1985","direct migration background","higher education","","","",""
"0 Completely dissatisfied","1985","indirect migration background","in school","","","",""
"0 Completely dissatisfied","1985","indirect migration background","inadequately","","","",""
"0 Completely dissatisfied","1985","indirect migration background","general elemantary","","","",""
"0 Completely dissatisfied","1985","indirect migration background","middle vocational","2","","",""
"0 Completely dissatisfied","1985","indirect migration background","vocational + Abi","","","",""
"0 Completely dissatisfied","1985","indirect migration background","higher vocational","","","",""
"0 Completely dissatisfied","1985","indirect migration background","higher education","1","","",""
"1 on Scale 1 to 10","1985","no migration background","in school","1","","",""
"1 on Scale 1 to 10","1985","no migration background","inadequately","2","","",""
"1 on Scale 1 to 10","1985","no migration background","general elemantary","31","0.0175564569792484","0.0119219086784453","0.0231910052800515"
"1 on Scale 1 to 10","1985","no migration background","middle vocational","50","0.0137856804012904","0.0102660460729046","0.0173053147296762"
"1 on Scale 1 to 10","1985","no migration background","vocational + Abi","","","",""
"1 on Scale 1 to 10","1985","no migration background","higher vocational","7","","",""
"1 on Scale 1 to 10","1985","no migration background","higher education","2","","",""
"1 on Scale 1 to 10","1985","direct migration background","in school","1","","",""
"1 on Scale 1 to 10","1985","direct migration background","inadequately","16","","",""
"1 on Scale 1 to 10","1985","direct migration background","general elemantary","8","","",""
"1 on Scale 1 to 10","1985","direct migration background","middle vocational","9","","",""
"1 on Scale 1 to 10","1985","direct migration background","vocational + Abi","2","","",""
"1 on Scale 1 to 10","1985","direct migration background","higher vocational","","","",""
"1 on Scale 1 to 10","1985","direct migration background","higher education","","","",""
"1 on Scale 1 to 10","1985","indirect migration background","in school","","","",""
"1 on Scale 1 to 10","1985","indirect migration background","inadequately","","","",""
"1 on Scale 1 to 10","1985","indirect migration background","general elemantary","1","","",""
"1 on Scale 1 to 10","1985","indirect migration background","middle vocational","1","","",""
"1 on Scale 1 to 10","1985","indirect migration background","vocational + Abi","","","",""
"1 on Scale 1 to 10","1985","indirect migration background","higher vocational","","","",""
"1 on Scale 1 to 10","1985","indirect migration background","higher education","","","",""
"2 on Scale 1 to 10","1985","no migration background","in school","1","","",""
"2 on Scale 1 to 10","1985","no migration background","inadequately","5","","",""
"2 on Scale 1 to 10","1985","no migration background","general elemantary","80","0.040768416261464","0.0322842236049158","0.0492526089180121"
"2 on Scale 1 to 10","1985","no migration background","middle vocational","94","0.0254961704337025","0.0207381419041102","0.0302541989632949"
"2 on Scale 1 to 10","1985","no migration background","vocational + Abi","10","","",""
"2 on Scale 1 to 10","1985","no migration background","higher vocational","16","","",""
"2 on Scale 1 to 10","1985","no migration background","higher education","9","","",""
"2 on Scale 1 to 10","1985","direct migration background","in school","","","",""
"2 on Scale 1 to 10","1985","direct migration background","inadequately","32","0.0371274276786612","0.0236496269302681","0.0506052284270544"
"2 on Scale 1 to 10","1985","direct migration background","general elemantary","24","","",""
"2 on Scale 1 to 10","1985","direct migration background","middle vocational","26","","",""
"2 on Scale 1 to 10","1985","direct migration background","vocational + Abi","","","",""
"2 on Scale 1 to 10","1985","direct migration background","higher vocational","1","","",""
"2 on Scale 1 to 10","1985","direct migration background","higher education","1","","",""
"2 on Scale 1 to 10","1985","indirect migration background","in school","","","",""
"2 on Scale 1 to 10","1985","indirect migration background","inadequately","1","","",""
"2 on Scale 1 to 10","1985","indirect migration background","general elemantary","","","",""
"2 on Scale 1 to 10","1985","indirect migration background","middle vocational","","","",""
"2 on Scale 1 to 10","1985","indirect migration background","vocational + Abi","","","",""
"2 on Scale 1 to 10","1985","indirect migration background","higher vocational","","","",""
"2 on Scale 1 to 10","1985","indirect migration background","higher education","","","",""
"3 on Scale 1 to 10","1985","no migration background","in school","","","",""
"3 on Scale 1 to 10","1985","no migration background","inadequately","4","","",""
"3 on Scale 1 to 10","1985","no migration background","general elemantary","99","0.0518197152355969","0.0423097301029451","0.0613297003682486"
"3 on Scale 1 to 10","1985","no migration background","middle vocational","149","0.0391165054552441","0.0332643860161084","0.0449686248943798"
"3 on Scale 1 to 10","1985","no migration background","vocational + Abi","5","","",""
"3 on Scale 1 to 10","1985","no migration background","higher vocational","21","","",""
"3 on Scale 1 to 10","1985","no migration background","higher education","21","","",""
"3 on Scale 1 to 10","1985","direct migration background","in school","","","",""
"3 on Scale 1 to 10","1985","direct migration background","inadequately","39","0.0547398556223296","0.0385249400962802","0.070954771148379"
"3 on Scale 1 to 10","1985","direct migration background","general elemantary","30","0.0447795925241015","0.0313934548302599","0.0581657302179432"
"3 on Scale 1 to 10","1985","direct migration background","middle vocational","40","0.0417873523292357","0.0287359375256622","0.0548387671328092"
"3 on Scale 1 to 10","1985","direct migration background","vocational + Abi","6","","",""
"3 on Scale 1 to 10","1985","direct migration background","higher vocational","3","","",""
"3 on Scale 1 to 10","1985","direct migration background","higher education","","","",""
"3 on Scale 1 to 10","1985","indirect migration background","in school","","","",""
"3 on Scale 1 to 10","1985","indirect migration background","inadequately","","","",""
"3 on Scale 1 to 10","1985","indirect migration background","general elemantary","","","",""
"3 on Scale 1 to 10","1985","indirect migration background","middle vocational","","","",""
"3 on Scale 1 to 10","1985","indirect migration background","vocational + Abi","","","",""
"3 on Scale 1 to 10","1985","indirect migration background","higher vocational","","","",""
"3 on Scale 1 to 10","1985","indirect migration background","higher education","","","",""
"4 on Scale 1 to 10","1985","no migration background","in school","4","","",""
"4 on Scale 1 to 10","1985","no migration background","inadequately","4","","",""
"4 on Scale 1 to 10","1985","no migration background","general elemantary","118","0.0591839524853299","0.0490602072535907","0.0693076977170691"
"4 on Scale 1 to 10","1985","no migration background","middle vocational","220","0.0540525515564266","0.04722697417181","0.0608781289410432"
"4 on Scale 1 to 10","1985","no migration background","vocational + Abi","8","","",""
"4 on Scale 1 to 10","1985","no migration background","higher vocational","27","","",""
"4 on Scale 1 to 10","1985","no migration background","higher education","11","","",""
"4 on Scale 1 to 10","1985","direct migration background","in school","1","","",""
"4 on Scale 1 to 10","1985","direct migration background","inadequately","45","0.0515825074305621","0.0358159021285554","0.0673491127325689"
"4 on Scale 1 to 10","1985","direct migration background","general elemantary","35","0.0455368215334701","0.0320433291155319","0.0590303139514082"
"4 on Scale 1 to 10","1985","direct migration background","middle vocational","27","","",""
"4 on Scale 1 to 10","1985","direct migration background","vocational + Abi","2","","",""
"4 on Scale 1 to 10","1985","direct migration background","higher vocational","5","","",""
"4 on Scale 1 to 10","1985","direct migration background","higher education","5","","",""
"4 on Scale 1 to 10","1985","indirect migration background","in school","","","",""
"4 on Scale 1 to 10","1985","indirect migration background","inadequately","","","",""
"4 on Scale 1 to 10","1985","indirect migration background","general elemantary","1","","",""
"4 on Scale 1 to 10","1985","indirect migration background","middle vocational","","","",""
"4 on Scale 1 to 10","1985","indirect migration background","vocational + Abi","","","",""
"4 on Scale 1 to 10","1985","indirect migration background","higher vocational","","","",""
"4 on Scale 1 to 10","1985","indirect migration background","higher education","1","","",""
"5 on Scale 1 to 10","1985","no migration background","in school","11","","",""
"5 on Scale 1 to 10","1985","no migration background","inadequately","18","","",""
"5 on Scale 1 to 10","1985","no migration background","general elemantary","382","0.189873159142254","0.173046605850802","0.206699712433705"
"5 on Scale 1 to 10","1985","no migration background","middle vocational","645","0.155434384499648","0.144497640743068","0.166371128256228"
"5 on Scale 1 to 10","1985","no migration background","vocational + Abi","17","","",""
"5 on Scale 1 to 10","1985","no migration background","higher vocational","88","0.158939775269113","0.12881875209863","0.189060798439596"
"5 on Scale 1 to 10","1985","no migration background","higher education","65","0.103517604594095","0.0799530862813313","0.127082122906858"
"5 on Scale 1 to 10","1985","direct migration background","in school","1","","",""
"5 on Scale 1 to 10","1985","direct migration background","inadequately","109","0.139150703163357","0.114479322146845","0.16382208417987"
"5 on Scale 1 to 10","1985","direct migration background","general elemantary","141","0.169752466840341","0.145454201673161","0.19405073200752"
"5 on Scale 1 to 10","1985","direct migration background","middle vocational","118","0.159553324131941","0.135669040157726","0.183437608106156"
"5 on Scale 1 to 10","1985","direct migration background","vocational + Abi","19","","",""
"5 on Scale 1 to 10","1985","direct migration background","higher vocational","4","","",""
"5 on Scale 1 to 10","1985","direct migration background","higher education","15","","",""
