"m11125","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"2 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"2 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"2 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"2 on Scale 1 to 10","1984","Saxony","in school","","","",""
"2 on Scale 1 to 10","1984","Saxony","inadequately","","","",""
"2 on Scale 1 to 10","1984","Saxony","general elemantary","","","",""
"2 on Scale 1 to 10","1984","Saxony","middle vocational","","","",""
"2 on Scale 1 to 10","1984","Saxony","vocational + Abi","","","",""
"2 on Scale 1 to 10","1984","Saxony","higher vocational","","","",""
"2 on Scale 1 to 10","1984","Saxony","higher education","","","",""
"2 on Scale 1 to 10","1984","Saxony-Anhalt","in school","","","",""
"2 on Scale 1 to 10","1984","Saxony-Anhalt","inadequately","","","",""
"2 on Scale 1 to 10","1984","Saxony-Anhalt","general elemantary","","","",""
"2 on Scale 1 to 10","1984","Saxony-Anhalt","middle vocational","","","",""
"2 on Scale 1 to 10","1984","Saxony-Anhalt","vocational + Abi","","","",""
"2 on Scale 1 to 10","1984","Saxony-Anhalt","higher vocational","","","",""
"2 on Scale 1 to 10","1984","Saxony-Anhalt","higher education","","","",""
"2 on Scale 1 to 10","1984","Thuringia","in school","","","",""
"2 on Scale 1 to 10","1984","Thuringia","inadequately","","","",""
"2 on Scale 1 to 10","1984","Thuringia","general elemantary","","","",""
"2 on Scale 1 to 10","1984","Thuringia","middle vocational","","","",""
"2 on Scale 1 to 10","1984","Thuringia","vocational + Abi","","","",""
"2 on Scale 1 to 10","1984","Thuringia","higher vocational","","","",""
"2 on Scale 1 to 10","1984","Thuringia","higher education","","","",""
"3 on Scale 1 to 10","1984","Schleswig-Holstein","in school","","","",""
"3 on Scale 1 to 10","1984","Schleswig-Holstein","inadequately","","","",""
"3 on Scale 1 to 10","1984","Schleswig-Holstein","general elemantary","4","","",""
"3 on Scale 1 to 10","1984","Schleswig-Holstein","middle vocational","8","","",""
"3 on Scale 1 to 10","1984","Schleswig-Holstein","vocational + Abi","1","","",""
"3 on Scale 1 to 10","1984","Schleswig-Holstein","higher vocational","2","","",""
"3 on Scale 1 to 10","1984","Schleswig-Holstein","higher education","","","",""
"3 on Scale 1 to 10","1984","Hamburg","in school","","","",""
"3 on Scale 1 to 10","1984","Hamburg","inadequately","","","",""
"3 on Scale 1 to 10","1984","Hamburg","general elemantary","2","","",""
"3 on Scale 1 to 10","1984","Hamburg","middle vocational","11","","",""
"3 on Scale 1 to 10","1984","Hamburg","vocational + Abi","2","","",""
"3 on Scale 1 to 10","1984","Hamburg","higher vocational","1","","",""
"3 on Scale 1 to 10","1984","Hamburg","higher education","1","","",""
"3 on Scale 1 to 10","1984","Lower Saxony","in school","","","",""
"3 on Scale 1 to 10","1984","Lower Saxony","inadequately","2","","",""
"3 on Scale 1 to 10","1984","Lower Saxony","general elemantary","23","","",""
"3 on Scale 1 to 10","1984","Lower Saxony","middle vocational","14","","",""
"3 on Scale 1 to 10","1984","Lower Saxony","vocational + Abi","","","",""
"3 on Scale 1 to 10","1984","Lower Saxony","higher vocational","3","","",""
"3 on Scale 1 to 10","1984","Lower Saxony","higher education","4","","",""
"3 on Scale 1 to 10","1984","Bremen","in school","","","",""
"3 on Scale 1 to 10","1984","Bremen","inadequately","1","","",""
"3 on Scale 1 to 10","1984","Bremen","general elemantary","2","","",""
"3 on Scale 1 to 10","1984","Bremen","middle vocational","3","","",""
"3 on Scale 1 to 10","1984","Bremen","vocational + Abi","","","",""
"3 on Scale 1 to 10","1984","Bremen","higher vocational","","","",""
"3 on Scale 1 to 10","1984","Bremen","higher education","","","",""
"3 on Scale 1 to 10","1984","North Rhine-Westphalia","in school","2","","",""
"3 on Scale 1 to 10","1984","North Rhine-Westphalia","inadequately","16","","",""
"3 on Scale 1 to 10","1984","North Rhine-Westphalia","general elemantary","42","0.0546638162104555","0.0395410463576502","0.0697865860632609"
"3 on Scale 1 to 10","1984","North Rhine-Westphalia","middle vocational","52","0.0357631284817543","0.0264673314561048","0.0450589255074039"
"3 on Scale 1 to 10","1984","North Rhine-Westphalia","vocational + Abi","3","","",""
"3 on Scale 1 to 10","1984","North Rhine-Westphalia","higher vocational","6","","",""
"3 on Scale 1 to 10","1984","North Rhine-Westphalia","higher education","6","","",""
"3 on Scale 1 to 10","1984","Hesse","in school","","","",""
"3 on Scale 1 to 10","1984","Hesse","inadequately","5","","",""
"3 on Scale 1 to 10","1984","Hesse","general elemantary","18","","",""
"3 on Scale 1 to 10","1984","Hesse","middle vocational","25","","",""
"3 on Scale 1 to 10","1984","Hesse","vocational + Abi","1","","",""
"3 on Scale 1 to 10","1984","Hesse","higher vocational","3","","",""
"3 on Scale 1 to 10","1984","Hesse","higher education","1","","",""
"3 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","in school","","","",""
"3 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","inadequately","3","","",""
"3 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","general elemantary","12","","",""
"3 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","middle vocational","13","","",""
"3 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","vocational + Abi","1","","",""
"3 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","higher vocational","","","",""
"3 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","higher education","1","","",""
"3 on Scale 1 to 10","1984","Baden-Württemberg","in school","1","","",""
"3 on Scale 1 to 10","1984","Baden-Württemberg","inadequately","17","","",""
"3 on Scale 1 to 10","1984","Baden-Württemberg","general elemantary","30","0.0524131347391664","0.0358206641209778","0.069005605357355"
"3 on Scale 1 to 10","1984","Baden-Württemberg","middle vocational","30","0.0362238343034347","0.0242792933314285","0.0481683752754409"
"3 on Scale 1 to 10","1984","Baden-Württemberg","vocational + Abi","2","","",""
"3 on Scale 1 to 10","1984","Baden-Württemberg","higher vocational","3","","",""
"3 on Scale 1 to 10","1984","Baden-Württemberg","higher education","3","","",""
"3 on Scale 1 to 10","1984","Bavaria","in school","","","",""
"3 on Scale 1 to 10","1984","Bavaria","inadequately","6","","",""
"3 on Scale 1 to 10","1984","Bavaria","general elemantary","28","","",""
"3 on Scale 1 to 10","1984","Bavaria","middle vocational","38","0.0415451060268291","0.0293940509667606","0.0536961610868975"
"3 on Scale 1 to 10","1984","Bavaria","vocational + Abi","2","","",""
"3 on Scale 1 to 10","1984","Bavaria","higher vocational","8","","",""
"3 on Scale 1 to 10","1984","Bavaria","higher education","5","","",""
