"plb0219","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Yes, every 3-4 weeks","2006","general elemantary","Female","","","",""
"Yes, every 3-4 weeks","2006","middle vocational","Male","","","",""
"Yes, every 3-4 weeks","2006","middle vocational","Female","","","",""
"Yes, every 3-4 weeks","2006","vocational + Abi","Male","","","",""
"Yes, every 3-4 weeks","2006","vocational + Abi","Female","","","",""
"Yes, every 3-4 weeks","2006","higher vocational","Male","","","",""
"Yes, every 3-4 weeks","2006","higher vocational","Female","","","",""
"Yes, every 3-4 weeks","2006","higher education","Male","","","",""
"Yes, every 3-4 weeks","2006","higher education","Female","","","",""
"Rarely","2006","in school","Male","","","",""
"Rarely","2006","in school","Female","","","",""
"Rarely","2006","inadequately","Male","","","",""
"Rarely","2006","inadequately","Female","","","",""
"Rarely","2006","general elemantary","Male","","","",""
"Rarely","2006","general elemantary","Female","","","",""
"Rarely","2006","middle vocational","Male","","","",""
"Rarely","2006","middle vocational","Female","","","",""
"Rarely","2006","vocational + Abi","Male","","","",""
"Rarely","2006","vocational + Abi","Female","","","",""
"Rarely","2006","higher vocational","Male","","","",""
"Rarely","2006","higher vocational","Female","","","",""
"Rarely","2006","higher education","Male","","","",""
"Rarely","2006","higher education","Female","","","",""
"No, never","2007","in school","Male","8","","",""
"No, never","2007","in school","Female","8","","",""
"No, never","2007","inadequately","Male","22","","",""
"No, never","2007","inadequately","Female","25","","",""
"No, never","2007","general elemantary","Male","249","0.646701388373926","0.597597005061145","0.695805771686707"
"No, never","2007","general elemantary","Female","263","0.70440629313677","0.658885099207112","0.749927487066428"
"No, never","2007","middle vocational","Male","1703","0.605604151332301","0.587607761463815","0.623600541200788"
"No, never","2007","middle vocational","Female","1848","0.692457877707546","0.674675130271519","0.710240625143573"
"No, never","2007","vocational + Abi","Male","206","0.604861163116378","0.552972365139384","0.656749961093373"
"No, never","2007","vocational + Abi","Female","313","0.67189170771804","0.628938065825528","0.714845349610552"
"No, never","2007","higher vocational","Male","276","0.490967504941209","0.449413793144276","0.532521216738141"
"No, never","2007","higher vocational","Female","234","0.556992944287899","0.507114170112206","0.606871718463592"
"No, never","2007","higher education","Male","765","0.436200985937354","0.412118959638223","0.460283012236485"
"No, never","2007","higher education","Female","739","0.544074393576322","0.517226606245231","0.570922180907413"
"Yes, every week","2007","in school","Male","1","","",""
"Yes, every week","2007","in school","Female","1","","",""
"Yes, every week","2007","inadequately","Male","1","","",""
"Yes, every week","2007","inadequately","Female","1","","",""
"Yes, every week","2007","general elemantary","Male","25","","",""
"Yes, every week","2007","general elemantary","Female","19","","",""
"Yes, every week","2007","middle vocational","Male","172","0.0570131831065581","0.0484750040397205","0.0655513621733957"
"Yes, every week","2007","middle vocational","Female","109","0.0507636168883971","0.0423047275484394","0.0592225062283548"
"Yes, every week","2007","vocational + Abi","Male","21","","",""
"Yes, every week","2007","vocational + Abi","Female","19","","",""
"Yes, every week","2007","higher vocational","Male","37","0.0697543620733872","0.0485807378122938","0.0909279863344806"
"Yes, every week","2007","higher vocational","Female","16","","",""
"Yes, every week","2007","higher education","Male","166","0.0904131727262274","0.0764872017809978","0.104339143671457"
"Yes, every week","2007","higher education","Female","132","0.101635371432666","0.0853468702092176","0.117923872656115"
"Yes, every 2 weeks","2007","in school","Male","2","","",""
"Yes, every 2 weeks","2007","in school","Female","3","","",""
"Yes, every 2 weeks","2007","inadequately","Male","2","","",""
"Yes, every 2 weeks","2007","inadequately","Female","4","","",""
"Yes, every 2 weeks","2007","general elemantary","Male","27","","",""
"Yes, every 2 weeks","2007","general elemantary","Female","38","0.109811586368376","0.078621290810644","0.141001881926107"
"Yes, every 2 weeks","2007","middle vocational","Male","222","0.0790373622534428","0.0691024959140349","0.0889722285928507"
"Yes, every 2 weeks","2007","middle vocational","Female","248","0.104970479920532","0.0931590589671743","0.11678190087389"
"Yes, every 2 weeks","2007","vocational + Abi","Male","24","","",""
"Yes, every 2 weeks","2007","vocational + Abi","Female","42","0.0906012897639458","0.0643418107604267","0.116860768767465"
"Yes, every 2 weeks","2007","higher vocational","Male","52","0.0795497635550727","0.05705764838631","0.102041878723835"
"Yes, every 2 weeks","2007","higher vocational","Female","57","0.20316217668492","0.162761187179894","0.243563166189947"
"Yes, every 2 weeks","2007","higher education","Male","130","0.0884102924771609","0.0746242799422558","0.102196305012066"
"Yes, every 2 weeks","2007","higher education","Female","86","0.0642984797754982","0.0510763509747575","0.077520608576239"
"Yes, every 3-4 weeks","2007","in school","Male","","","",""
"Yes, every 3-4 weeks","2007","in school","Female","2","","",""
"Yes, every 3-4 weeks","2007","inadequately","Male","3","","",""
"Yes, every 3-4 weeks","2007","inadequately","Female","","","",""
"Yes, every 3-4 weeks","2007","general elemantary","Male","22","","",""
"Yes, every 3-4 weeks","2007","general elemantary","Female","21","","",""
"Yes, every 3-4 weeks","2007","middle vocational","Male","159","0.0612305852308328","0.0524020536509829","0.0700591168106828"
"Yes, every 3-4 weeks","2007","middle vocational","Female","95","0.0403529546805061","0.032769915293906","0.0479359940671062"
"Yes, every 3-4 weeks","2007","vocational + Abi","Male","28","","",""
"Yes, every 3-4 weeks","2007","vocational + Abi","Female","18","","",""
"Yes, every 3-4 weeks","2007","higher vocational","Male","34","0.0499722748344922","0.031861234615892","0.0680833150530925"
"Yes, every 3-4 weeks","2007","higher vocational","Female","21","","",""
"Yes, every 3-4 weeks","2007","higher education","Male","112","0.0739726564954698","0.0612629634534665","0.0866823495374731"
"Yes, every 3-4 weeks","2007","higher education","Female","75","0.0642768106415265","0.0510567569399407","0.0774968643431124"
"Rarely","2007","in school","Male","","","",""
"Rarely","2007","in school","Female","2","","",""
"Rarely","2007","inadequately","Male","3","","",""
"Rarely","2007","inadequately","Female","1","","",""
"Rarely","2007","general elemantary","Male","41","0.114368156304337","0.0816735154540481","0.147062797154626"
"Rarely","2007","general elemantary","Female","45","0.111249917764249","0.079881391534527","0.142618443993972"
"Rarely","2007","middle vocational","Male","577","0.197114718076865","0.182465613521124","0.211763822632606"
"Rarely","2007","middle vocational","Female","287","0.111455070803019","0.0993284586111084","0.123581682994929"
"Rarely","2007","vocational + Abi","Male","62","0.141236164631383","0.104272013882244","0.178200315380521"
"Rarely","2007","vocational + Abi","Female","67","0.159167396864215","0.125699873398967","0.192634920329463"
"Rarely","2007","higher vocational","Male","157","0.309756094595839","0.27132153442006","0.348190654771618"
"Rarely","2007","higher vocational","Female","53","0.161165950247706","0.124246070719214","0.198085829776199"
"Rarely","2007","higher education","Male","456","0.311002892363788","0.288523816020415","0.333481968707161"
"Rarely","2007","higher education","Female","290","0.225714944573987","0.203179664536638","0.248250224611336"
"No, never","2008","in school","Male","","","",""
"No, never","2008","in school","Female","","","",""
"No, never","2008","inadequately","Male","","","",""
"No, never","2008","inadequately","Female","","","",""
"No, never","2008","general elemantary","Male","","","",""
"No, never","2008","general elemantary","Female","","","",""
"No, never","2008","middle vocational","Male","","","",""
"No, never","2008","middle vocational","Female","","","",""
"No, never","2008","vocational + Abi","Male","","","",""
"No, never","2008","vocational + Abi","Female","","","",""
"No, never","2008","higher vocational","Male","","","",""
"No, never","2008","higher vocational","Female","","","",""
"No, never","2008","higher education","Male","","","",""
"No, never","2008","higher education","Female","","","",""
"Yes, every week","2008","in school","Male","","","",""
"Yes, every week","2008","in school","Female","","","",""
"Yes, every week","2008","inadequately","Male","","","",""
"Yes, every week","2008","inadequately","Female","","","",""
"Yes, every week","2008","general elemantary","Male","","","",""
"Yes, every week","2008","general elemantary","Female","","","",""
"Yes, every week","2008","middle vocational","Male","","","",""
"Yes, every week","2008","middle vocational","Female","","","",""
"Yes, every week","2008","vocational + Abi","Male","","","",""
"Yes, every week","2008","vocational + Abi","Female","","","",""
"Yes, every week","2008","higher vocational","Male","","","",""
"Yes, every week","2008","higher vocational","Female","","","",""
"Yes, every week","2008","higher education","Male","","","",""
"Yes, every week","2008","higher education","Female","","","",""
"Yes, every 2 weeks","2008","in school","Male","","","",""
"Yes, every 2 weeks","2008","in school","Female","","","",""
"Yes, every 2 weeks","2008","inadequately","Male","","","",""
"Yes, every 2 weeks","2008","inadequately","Female","","","",""
"Yes, every 2 weeks","2008","general elemantary","Male","","","",""
"Yes, every 2 weeks","2008","general elemantary","Female","","","",""
"Yes, every 2 weeks","2008","middle vocational","Male","","","",""
"Yes, every 2 weeks","2008","middle vocational","Female","","","",""
"Yes, every 2 weeks","2008","vocational + Abi","Male","","","",""
"Yes, every 2 weeks","2008","vocational + Abi","Female","","","",""
"Yes, every 2 weeks","2008","higher vocational","Male","","","",""
"Yes, every 2 weeks","2008","higher vocational","Female","","","",""
"Yes, every 2 weeks","2008","higher education","Male","","","",""
"Yes, every 2 weeks","2008","higher education","Female","","","",""
"Yes, every 3-4 weeks","2008","in school","Male","","","",""
"Yes, every 3-4 weeks","2008","in school","Female","","","",""
"Yes, every 3-4 weeks","2008","inadequately","Male","","","",""
"Yes, every 3-4 weeks","2008","inadequately","Female","","","",""
"Yes, every 3-4 weeks","2008","general elemantary","Male","","","",""
"Yes, every 3-4 weeks","2008","general elemantary","Female","","","",""
"Yes, every 3-4 weeks","2008","middle vocational","Male","","","",""
"Yes, every 3-4 weeks","2008","middle vocational","Female","","","",""
"Yes, every 3-4 weeks","2008","vocational + Abi","Male","","","",""
"Yes, every 3-4 weeks","2008","vocational + Abi","Female","","","",""
"Yes, every 3-4 weeks","2008","higher vocational","Male","","","",""
"Yes, every 3-4 weeks","2008","higher vocational","Female","","","",""
"Yes, every 3-4 weeks","2008","higher education","Male","","","",""
"Yes, every 3-4 weeks","2008","higher education","Female","","","",""
"Rarely","2008","in school","Male","","","",""
"Rarely","2008","in school","Female","","","",""
"Rarely","2008","inadequately","Male","","","",""
"Rarely","2008","inadequately","Female","","","",""
"Rarely","2008","general elemantary","Male","","","",""
"Rarely","2008","general elemantary","Female","","","",""
"Rarely","2008","middle vocational","Male","","","",""
"Rarely","2008","middle vocational","Female","","","",""
"Rarely","2008","vocational + Abi","Male","","","",""
"Rarely","2008","vocational + Abi","Female","","","",""
"Rarely","2008","higher vocational","Male","","","",""
"Rarely","2008","higher vocational","Female","","","",""
"Rarely","2008","higher education","Male","","","",""
"Rarely","2008","higher education","Female","","","",""
"No, never","2009","in school","Male","13","","",""
"No, never","2009","in school","Female","10","","",""
"No, never","2009","inadequately","Male","21","","",""
"No, never","2009","inadequately","Female","15","","",""
"No, never","2009","general elemantary","Male","209","0.61790898140037","0.562925386369311","0.672892576431428"
"No, never","2009","general elemantary","Female","244","0.745139069405129","0.698543057007919","0.791735081802338"
"No, never","2009","middle vocational","Male","1441","0.574119265281098","0.554535384531032","0.593703146031164"
"No, never","2009","middle vocational","Female","1612","0.679519123471006","0.660627417007729","0.698410829934282"
"No, never","2009","vocational + Abi","Male","178","0.583090953786389","0.526827563998604","0.639354343574174"
"No, never","2009","vocational + Abi","Female","282","0.681035411386917","0.63536087185529","0.726709950918544"
"No, never","2009","higher vocational","Male","240","0.491390739963252","0.446898646869572","0.535882833056932"
"No, never","2009","higher vocational","Female","190","0.563663017784432","0.509662693424342","0.617663342144521"
"No, never","2009","higher education","Male","649","0.444537116404653","0.418682480306052","0.470391752503254"
"No, never","2009","higher education","Female","668","0.523266156658642","0.495466683619455","0.551065629697829"
"Yes, every week","2009","in school","Male","","","",""
"Yes, every week","2009","in school","Female","3","","",""
"Yes, every week","2009","inadequately","Male","2","","",""
"Yes, every week","2009","inadequately","Female","5","","",""
"Yes, every week","2009","general elemantary","Male","25","","",""
"Yes, every week","2009","general elemantary","Female","14","","",""
"Yes, every week","2009","middle vocational","Male","151","0.0594643229204963","0.0500979903405011","0.0688306555004914"
"Yes, every week","2009","middle vocational","Female","98","0.0416305501791912","0.0335443992517164","0.0497167011066659"
"Yes, every week","2009","vocational + Abi","Male","16","","",""
"Yes, every week","2009","vocational + Abi","Female","16","","",""
"Yes, every week","2009","higher vocational","Male","34","0.0664282593021855","0.0442653123784253","0.0885912062259456"
"Yes, every week","2009","higher vocational","Female","18","","",""
"Yes, every week","2009","higher education","Male","154","0.124095082497785","0.106941190886124","0.141248974109446"
"Yes, every week","2009","higher education","Female","146","0.111025784520763","0.0935396523784688","0.128511916663058"
"Yes, every 2 weeks","2009","in school","Male","1","","",""
"Yes, every 2 weeks","2009","in school","Female","2","","",""
"Yes, every 2 weeks","2009","inadequately","Male","1","","",""
"Yes, every 2 weeks","2009","inadequately","Female","1","","",""
"Yes, every 2 weeks","2009","general elemantary","Male","24","","",""
"Yes, every 2 weeks","2009","general elemantary","Female","34","0.0994390343389405","0.0674417249359981","0.131436343741883"
"Yes, every 2 weeks","2009","middle vocational","Male","200","0.0885181932013139","0.0772684147144523","0.0997679716881755"
"Yes, every 2 weeks","2009","middle vocational","Female","234","0.0895992733906641","0.0780371438977246","0.101161402883604"
"Yes, every 2 weeks","2009","vocational + Abi","Male","19","","",""
"Yes, every 2 weeks","2009","vocational + Abi","Female","30","0.0716254943496161","0.0463550129996042","0.096895975699628"
"Yes, every 2 weeks","2009","higher vocational","Male","44","0.0762380501811989","0.052620048633794","0.0998560517286037"
"Yes, every 2 weeks","2009","higher vocational","Female","53","0.162502724166873","0.122333114620717","0.202672333713029"
"Yes, every 2 weeks","2009","higher education","Male","100","0.0709237813468517","0.057567716891764","0.0842798458019394"
"Yes, every 2 weeks","2009","higher education","Female","90","0.0710779030073753","0.0567759878089293","0.0853798182058213"
"Yes, every 3-4 weeks","2009","in school","Male","","","",""
"Yes, every 3-4 weeks","2009","in school","Female","1","","",""
"Yes, every 3-4 weeks","2009","inadequately","Male","","","",""
"Yes, every 3-4 weeks","2009","inadequately","Female","1","","",""
"Yes, every 3-4 weeks","2009","general elemantary","Male","13","","",""
"Yes, every 3-4 weeks","2009","general elemantary","Female","12","","",""
"Yes, every 3-4 weeks","2009","middle vocational","Male","153","0.0671063728838784","0.0571968751094247","0.0770158706583321"
"Yes, every 3-4 weeks","2009","middle vocational","Female","105","0.0575437745421258","0.0481162199928727","0.0669713290913788"
"Yes, every 3-4 weeks","2009","vocational + Abi","Male","18","","",""
"Yes, every 3-4 weeks","2009","vocational + Abi","Female","16","","",""
"Yes, every 3-4 weeks","2009","higher vocational","Male","26","","",""
"Yes, every 3-4 weeks","2009","higher vocational","Female","17","","",""
"Yes, every 3-4 weeks","2009","higher education","Male","105","0.0707089480719189","0.0573715854487816","0.0840463106950562"
"Yes, every 3-4 weeks","2009","higher education","Female","77","0.0706409584806002","0.0563797179656038","0.0849021989955966"
"Rarely","2009","in school","Male","3","","",""
"Rarely","2009","in school","Female","4","","",""
"Rarely","2009","inadequately","Male","6","","",""
"Rarely","2009","inadequately","Female","","","",""
"Rarely","2009","general elemantary","Male","29","","",""
"Rarely","2009","general elemantary","Female","32","0.0713233551556617","0.0438047386145802","0.0988419716967431"
"Rarely","2009","middle vocational","Male","504","0.210791845713213","0.194637983147066","0.226945708279361"
"Rarely","2009","middle vocational","Female","295","0.131707278417013","0.118017158400478","0.145397398433548"
"Rarely","2009","vocational + Abi","Male","64","0.191561752873957","0.14665466322534","0.236468842522574"
"Rarely","2009","vocational + Abi","Female","56","0.162382034328995","0.126240209536209","0.198523859121781"
"Rarely","2009","higher vocational","Male","141","0.330753061754398","0.288881191963384","0.372624931545413"
"Rarely","2009","higher vocational","Female","46","0.1803125587802","0.138451258444121","0.22217385911628"
"Rarely","2009","higher education","Male","411","0.289735071678792","0.266132049589332","0.313338093768252"
"Rarely","2009","higher education","Female","259","0.223989197332619","0.200784031912397","0.24719436275284"
"No, never","2010","in school","Male","8","","",""
"No, never","2010","in school","Female","6","","",""
"No, never","2010","inadequately","Male","24","","",""
"No, never","2010","inadequately","Female","12","","",""
"No, never","2010","general elemantary","Male","146","0.701423235105111","0.639965526012416","0.762880944197806"
"No, never","2010","general elemantary","Female","101","0.650271733718964","0.577285832896666","0.723257634541261"
"No, never","2010","middle vocational","Male","637","0.572399002872496","0.543780564232992","0.601017441512"
"No, never","2010","middle vocational","Female","655","0.646663394002882","0.617414606597941","0.675912181407824"
"No, never","2010","vocational + Abi","Male","106","0.531542132750286","0.46238496341072","0.600699302089851"
"No, never","2010","vocational + Abi","Female","185","0.647342584385886","0.591177128026904","0.703508040744867"
"No, never","2010","higher vocational","Male","102","0.480840508033832","0.412278436582287","0.549402579485377"
"No, never","2010","higher vocational","Female","50","0.601687010280381","0.493044862579175","0.710329157981587"
"No, never","2010","higher education","Male","279","0.443545866439167","0.405324193038302","0.481767539840032"
"No, never","2010","higher education","Female","228","0.495710024958871","0.450412008752523","0.541008041165218"
"Yes, every week","2010","in school","Male","2","","",""
"Yes, every week","2010","in school","Female","2","","",""
"Yes, every week","2010","inadequately","Male","6","","",""
"Yes, every week","2010","inadequately","Female","3","","",""
"Yes, every week","2010","general elemantary","Male","10","","",""
"Yes, every week","2010","general elemantary","Female","17","","",""
"Yes, every week","2010","middle vocational","Male","64","0.0478289166793606","0.0354842345018672","0.060173598856854"
"Yes, every week","2010","middle vocational","Female","57","0.0567064553756976","0.0425545768407687","0.0708583339106266"
"Yes, every week","2010","vocational + Abi","Male","16","","",""
"Yes, every week","2010","vocational + Abi","Female","17","","",""
"Yes, every week","2010","higher vocational","Male","15","","",""
"Yes, every week","2010","higher vocational","Female","4","","",""
"Yes, every week","2010","higher education","Male","61","0.0812099327751082","0.060194493906675","0.102225371643541"
"Yes, every week","2010","higher education","Female","44","0.0811623546639363","0.0564210912186852","0.105903618109187"
"Yes, every 2 weeks","2010","in school","Male","","","",""
"Yes, every 2 weeks","2010","in school","Female","","","",""
"Yes, every 2 weeks","2010","inadequately","Male","6","","",""
"Yes, every 2 weeks","2010","inadequately","Female","2","","",""
"Yes, every 2 weeks","2010","general elemantary","Male","18","","",""
"Yes, every 2 weeks","2010","general elemantary","Female","26","","",""
"Yes, every 2 weeks","2010","middle vocational","Male","121","0.100792914053381","0.0833779730324321","0.11820785507433"
"Yes, every 2 weeks","2010","middle vocational","Female","126","0.114923252028123","0.0954082397072855","0.134438264348959"
"Yes, every 2 weeks","2010","vocational + Abi","Male","22","","",""
"Yes, every 2 weeks","2010","vocational + Abi","Female","27","","",""
"Yes, every 2 weeks","2010","higher vocational","Male","21","","",""
"Yes, every 2 weeks","2010","higher vocational","Female","5","","",""
"Yes, every 2 weeks","2010","higher education","Male","77","0.131748953025824","0.105728072611356","0.157769833440292"
"Yes, every 2 weeks","2010","higher education","Female","59","0.135588176014092","0.104571416476201","0.166604935551984"
"Yes, every 3-4 weeks","2010","in school","Male","","","",""
"Yes, every 3-4 weeks","2010","in school","Female","","","",""
"Yes, every 3-4 weeks","2010","inadequately","Male","3","","",""
"Yes, every 3-4 weeks","2010","inadequately","Female","1","","",""
"Yes, every 3-4 weeks","2010","general elemantary","Male","16","","",""
"Yes, every 3-4 weeks","2010","general elemantary","Female","5","","",""
"Yes, every 3-4 weeks","2010","middle vocational","Male","97","0.0884711627334319","0.0720439749836733","0.104898350483191"
"Yes, every 3-4 weeks","2010","middle vocational","Female","50","0.044068816726925","0.0315098641687666","0.0566277692850834"
"Yes, every 3-4 weeks","2010","vocational + Abi","Male","11","","",""
"Yes, every 3-4 weeks","2010","vocational + Abi","Female","10","","",""
"Yes, every 3-4 weeks","2010","higher vocational","Male","8","","",""
"Yes, every 3-4 weeks","2010","higher vocational","Female","4","","",""
"Yes, every 3-4 weeks","2010","higher education","Male","52","0.0689109156113515","0.0494230008932262","0.0883988303294769"
"Yes, every 3-4 weeks","2010","higher education","Female","37","0.0813981805128732","0.0566241787732374","0.106172182252509"
"Rarely","2010","in school","Male","1","","",""
"Rarely","2010","in school","Female","","","",""
"Rarely","2010","inadequately","Male","4","","",""
"Rarely","2010","inadequately","Female","2","","",""
"Rarely","2010","general elemantary","Male","23","","",""
"Rarely","2010","general elemantary","Female","15","","",""
