"plb0219","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Yes, every 3-4 weeks","2005","indirect migration background","Rural Area","2","","","","4"
"Yes, every week","2005","direct migration background","Urban Area","50","0.0529831083464373","0.0389516011118864","0.0670146155809882","2"
"Yes, every week","2005","no migration background","Urban Area","339","0.054142306911701","0.0484554740908372","0.0598291397325648","2"
"Yes, every week","2005","no migration background","Rural Area","223","0.0815465341965451","0.0721144120596917","0.0909786563333985","2"
"Yes, every week","2005","direct migration background","Rural Area","7","","","","2"
"Yes, every week","2005","indirect migration background","Urban Area","27","","","","2"
"Yes, every week","2005","indirect migration background","Rural Area","1","","","","2"
"No, never","2006","direct migration background","Urban Area","","","","","1"
"No, never","2006","direct migration background","Rural Area","","","","","1"
"No, never","2006","no migration background","Urban Area","","","","","1"
"No, never","2006","no migration background","Rural Area","","","","","1"
"No, never","2006","indirect migration background","Urban Area","","","","","1"
"No, never","2006","indirect migration background","Rural Area","","","","","1"
"Rarely","2006","no migration background","Urban Area","","","","","5"
"Rarely","2006","no migration background","Rural Area","","","","","5"
"Rarely","2006","direct migration background","Urban Area","","","","","5"
"Rarely","2006","direct migration background","Rural Area","","","","","5"
"Rarely","2006","indirect migration background","Urban Area","","","","","5"
"Rarely","2006","indirect migration background","Rural Area","","","","","5"
"Yes, every 2 weeks","2006","no migration background","Rural Area","","","","","3"
"Yes, every 2 weeks","2006","direct migration background","Urban Area","","","","","3"
"Yes, every 2 weeks","2006","direct migration background","Rural Area","","","","","3"
"Yes, every 2 weeks","2006","indirect migration background","Urban Area","","","","","3"
"Yes, every 2 weeks","2006","indirect migration background","Rural Area","","","","","3"
"Yes, every 2 weeks","2006","no migration background","Urban Area","","","","","3"
"Yes, every 3-4 weeks","2006","no migration background","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","no migration background","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2006","direct migration background","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","direct migration background","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2006","indirect migration background","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","indirect migration background","Rural Area","","","","","4"
"Yes, every week","2006","no migration background","Urban Area","","","","","2"
"Yes, every week","2006","no migration background","Rural Area","","","","","2"
"Yes, every week","2006","direct migration background","Urban Area","","","","","2"
"Yes, every week","2006","direct migration background","Rural Area","","","","","2"
"Yes, every week","2006","indirect migration background","Urban Area","","","","","2"
"Yes, every week","2006","indirect migration background","Rural Area","","","","","2"
"No, never","2007","no migration background","Urban Area","3739","0.599843024036619","0.587606382125166","0.612079665948072","1"
"No, never","2007","no migration background","Rural Area","1980","0.564644593510123","0.548003553696321","0.581285633323926","1"
"No, never","2007","direct migration background","Urban Area","594","0.679987389156226","0.648972361085994","0.711002417226459","1"
"No, never","2007","direct migration background","Rural Area","130","0.688548587459503","0.622175849067549","0.754921325851457","1"
"No, never","2007","indirect migration background","Urban Area","284","0.706443391621619","0.662309619204055","0.750577164039183","1"
"No, never","2007","indirect migration background","Rural Area","56","0.719405120837013","0.614898080269061","0.823912161404965","1"
"Rarely","2007","no migration background","Urban Area","1206","0.195675678566261","0.185767079093537","0.205584278038984","5"
"Rarely","2007","direct migration background","Rural Area","20","","","","5"
"Rarely","2007","no migration background","Rural Area","655","0.193506485278048","0.180247230868792","0.206765739687305","5"
"Rarely","2007","direct migration background","Urban Area","109","0.132382920750026","0.109849961648734","0.154915879851318","5"
"Rarely","2007","indirect migration background","Urban Area","54","0.12434686238042","0.0923674921644806","0.156326232596358","5"
"Rarely","2007","indirect migration background","Rural Area","9","","","","5"
"Yes, every 2 weeks","2007","no migration background","Urban Area","500","0.0889774847010889","0.0818664488824896","0.0960885205196883","3"
"Yes, every 2 weeks","2007","direct migration background","Urban Area","69","0.0934143891077668","0.0740657910547082","0.112762987160825","3"
"Yes, every 2 weeks","2007","indirect migration background","Urban Area","28","","","","3"
"Yes, every 2 weeks","2007","no migration background","Rural Area","329","0.105187451817897","0.0948902576614494","0.115484645974344","3"
"Yes, every 2 weeks","2007","direct migration background","Rural Area","20","","","","3"
"Yes, every 2 weeks","2007","indirect migration background","Rural Area","1","","","","3"
"Yes, every 3-4 weeks","2007","no migration background","Urban Area","308","0.0525147496306527","0.046943467812973","0.0580860314483324","4"
"Yes, every 3-4 weeks","2007","no migration background","Rural Area","195","0.0623024251127485","0.0541899239164342","0.0704149263090627","4"
"Yes, every 3-4 weeks","2007","direct migration background","Urban Area","54","0.0488078350916149","0.0344820936919325","0.0631335764912972","4"
"Yes, every 3-4 weeks","2007","direct migration background","Rural Area","12","","","","4"
"Yes, every 3-4 weeks","2007","indirect migration background","Urban Area","23","","","","4"
"Yes, every 3-4 weeks","2007","indirect migration background","Rural Area","2","","","","4"
"Yes, every week","2007","no migration background","Urban Area","405","0.0629890630653783","0.0569212365838378","0.0690568895469188","2"
"Yes, every week","2007","direct migration background","Urban Area","43","0.0454074658943657","0.031565083187619","0.0592498486011125","2"
"Yes, every week","2007","no migration background","Rural Area","251","0.0743590442811834","0.0655534416713091","0.0831646468910577","2"
"Yes, every week","2007","direct migration background","Rural Area","5","","","","2"
"Yes, every week","2007","indirect migration background","Urban Area","20","","","","2"
"Yes, every week","2007","indirect migration background","Rural Area","3","","","","2"
"No, never","2008","no migration background","Urban Area","","","","","1"
"No, never","2008","no migration background","Rural Area","","","","","1"
"No, never","2008","direct migration background","Urban Area","","","","","1"
"No, never","2008","direct migration background","Rural Area","","","","","1"
"No, never","2008","indirect migration background","Urban Area","","","","","1"
"No, never","2008","indirect migration background","Rural Area","","","","","1"
"Rarely","2008","no migration background","Urban Area","","","","","5"
"Rarely","2008","direct migration background","Urban Area","","","","","5"
"Rarely","2008","no migration background","Rural Area","","","","","5"
"Rarely","2008","direct migration background","Rural Area","","","","","5"
"Rarely","2008","indirect migration background","Urban Area","","","","","5"
"Rarely","2008","indirect migration background","Rural Area","","","","","5"
"Yes, every 2 weeks","2008","no migration background","Urban Area","","","","","3"
"Yes, every 2 weeks","2008","no migration background","Rural Area","","","","","3"
"Yes, every 2 weeks","2008","direct migration background","Urban Area","","","","","3"
"Yes, every 2 weeks","2008","indirect migration background","Urban Area","","","","","3"
"Yes, every 2 weeks","2008","direct migration background","Rural Area","","","","","3"
"Yes, every 2 weeks","2008","indirect migration background","Rural Area","","","","","3"
"Yes, every 3-4 weeks","2008","no migration background","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2008","no migration background","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2008","direct migration background","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2008","direct migration background","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2008","indirect migration background","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2008","indirect migration background","Rural Area","","","","","4"
"Yes, every week","2008","no migration background","Urban Area","","","","","2"
"Yes, every week","2008","no migration background","Rural Area","","","","","2"
"Yes, every week","2008","direct migration background","Urban Area","","","","","2"
"Yes, every week","2008","indirect migration background","Urban Area","","","","","2"
"Yes, every week","2008","direct migration background","Rural Area","","","","","2"
"Yes, every week","2008","indirect migration background","Rural Area","","","","","2"
"No, never","2009","direct migration background","Urban Area","469","0.65849337598777","0.623587363102801","0.693399388872738","1"
"No, never","2009","indirect migration background","Rural Area","53","0.730755524278154","0.627579599330582","0.833931449225726","1"
"No, never","2009","no migration background","Urban Area","3217","0.581327918309448","0.568203629987101","0.594452206631795","1"
"No, never","2009","no migration background","Rural Area","1800","0.566822077249725","0.549398633394918","0.584245521104532","1"
"No, never","2009","direct migration background","Rural Area","96","0.572918345144471","0.492681566185117","0.653155124103826","1"
"No, never","2009","indirect migration background","Urban Area","240","0.627182546093553","0.578109979265039","0.676255112922066","1"
"Rarely","2009","no migration background","Urban Area","1100","0.211501207380271","0.200637323540909","0.222365091219632","5"
"Rarely","2009","direct migration background","Urban Area","99","0.123238863382357","0.0990430926305983","0.147434634134117","5"
"Rarely","2009","no migration background","Rural Area","593","0.199878863190409","0.185817132651273","0.213940593729544","5"
"Rarely","2009","direct migration background","Rural Area","16","","","","5"
"Rarely","2009","indirect migration background","Urban Area","49","0.137637522370764","0.102674656505217","0.172600388236312","5"
"Rarely","2009","indirect migration background","Rural Area","10","","","","5"
"Yes, every 2 weeks","2009","no migration background","Rural Area","295","0.0999068198672786","0.0893624952521959","0.110451144482361","3"
"Yes, every 2 weeks","2009","no migration background","Urban Area","450","0.0797573020709991","0.0725501350119529","0.0869644691300454","3"
"Yes, every 2 weeks","2009","direct migration background","Urban Area","55","0.0854403710254651","0.0648642953017543","0.106016446749176","3"
"Yes, every 2 weeks","2009","indirect migration background","Urban Area","33","0.0764467012453019","0.0494814772655237","0.10341192522508","3"
"Yes, every 2 weeks","2009","direct migration background","Rural Area","14","","","","3"
"Yes, every 2 weeks","2009","indirect migration background","Rural Area","3","","","","3"
"Yes, every 3-4 weeks","2009","no migration background","Urban Area","288","0.0540002424133421","0.0479875146785257","0.0600129701481585","4"
"Yes, every 3-4 weeks","2009","no migration background","Rural Area","189","0.0670468379263219","0.0582526339400324","0.0758410419126114","4"
"Yes, every 3-4 weeks","2009","direct migration background","Urban Area","37","0.0622099866892343","0.0444309662418019","0.0799890071366668","4"
"Yes, every 3-4 weeks","2009","direct migration background","Rural Area","11","","","","4"
"Yes, every 3-4 weeks","2009","indirect migration background","Urban Area","24","","","","4"
"Yes, every 3-4 weeks","2009","indirect migration background","Rural Area","2","","","","4"
"Yes, every week","2009","no migration background","Rural Area","230","0.0663454017662657","0.0575940327134066","0.0750967708191248","2"
"Yes, every week","2009","no migration background","Urban Area","373","0.0734133298259402","0.0664749406308349","0.0803517190210455","2"
"Yes, every week","2009","direct migration background","Urban Area","49","0.0706174029151734","0.0517601636223127","0.0894746422080341","2"
"Yes, every week","2009","direct migration background","Rural Area","9","","","","2"
"Yes, every week","2009","indirect migration background","Urban Area","27","","","","2"
"Yes, every week","2009","indirect migration background","Rural Area","3","","","","2"
"No, never","2010","no migration background","Urban Area","1179","0.574209909920351","0.553221110015956","0.595198709824745","1"
"No, never","2010","no migration background","Rural Area","835","0.604652209271884","0.579186314248777","0.630118104294992","1"
"No, never","2010","direct migration background","Urban Area","292","0.538041517351586","0.49633813438135","0.579744900321822","1"
"No, never","2010","indirect migration background","Rural Area","26","","","","1"
"No, never","2010","direct migration background","Rural Area","100","0.638664520363597","0.565586673019272","0.711742367707922","1"
"No, never","2010","indirect migration background","Urban Area","115","0.550093214221298","0.482158164683154","0.618028263759442","1"
"Rarely","2010","no migration background","Urban Area","448","0.19939684539254","0.182436984689339","0.21635670609574","5"
"Rarely","2010","no migration background","Rural Area","241","0.16480483314973","0.14548090462188","0.184128761677579","5"
"Rarely","2010","direct migration background","Urban Area","99","0.175753896646371","0.143916111222425","0.207591682070316","5"
"Rarely","2010","direct migration background","Rural Area","21","","","","5"
"Rarely","2010","indirect migration background","Urban Area","35","0.173239625414","0.121558980379829","0.22492027044817","5"
"Rarely","2010","indirect migration background","Rural Area","5","","","","5"
"Yes, every 2 weeks","2010","direct migration background","Urban Area","68","0.122015335326397","0.094636649836602","0.149394020816192","3"
"Yes, every 2 weeks","2010","indirect migration background","Rural Area","7","","","","3"
"Yes, every 2 weeks","2010","no migration background","Urban Area","239","0.115693582972764","0.102116373618206","0.129270792327323","3"
"Yes, every 2 weeks","2010","no migration background","Rural Area","147","0.0991658588212267","0.0835983194863106","0.114733398156143","3"
"Yes, every 2 weeks","2010","direct migration background","Rural Area","18","","","","3"
"Yes, every 2 weeks","2010","indirect migration background","Urban Area","32","0.144563458646835","0.0965417459840128","0.192585171309657","3"
"Yes, every 3-4 weeks","2010","no migration background","Rural Area","96","0.0667675140324945","0.0537659981260305","0.0797690299389586","4"
"Yes, every 3-4 weeks","2010","no migration background","Urban Area","130","0.0522596388304491","0.0428128897300208","0.0617063879308774","4"
"Yes, every 3-4 weeks","2010","direct migration background","Urban Area","44","0.091160782939458","0.06708338938773","0.115238176491186","4"
"Yes, every 3-4 weeks","2010","direct migration background","Rural Area","9","","","","4"
"Yes, every 3-4 weeks","2010","indirect migration background","Urban Area","13","","","","4"
"Yes, every 3-4 weeks","2010","indirect migration background","Rural Area","3","","","","4"
"Yes, every week","2010","no migration background","Rural Area","97","0.0646095847246645","0.0518051209174651","0.077414048531864","2"
"Yes, every week","2010","no migration background","Urban Area","136","0.0584400228838965","0.0484829044153141","0.0683971413524788","2"
"Yes, every week","2010","direct migration background","Urban Area","46","0.0730284677361884","0.0512643427386222","0.0947925927337545","2"
"Yes, every week","2010","direct migration background","Rural Area","18","","","","2"
"Yes, every week","2010","indirect migration background","Urban Area","11","","","","2"
"Yes, every week","2010","indirect migration background","Rural Area","11","","","","2"
"No, never","2011","no migration background","Urban Area","5193","0.599351357616489","0.589017461876158","0.60968525335682","1"
"No, never","2011","direct migration background","Urban Area","878","0.679764392819211","0.654689661608384","0.704839124030037","1"
"No, never","2011","no migration background","Rural Area","3099","0.584953526392985","0.571654242670061","0.598252810115909","1"
"No, never","2011","direct migration background","Rural Area","271","0.651511869392549","0.605778286658729","0.69724545212637","1"
"No, never","2011","indirect migration background","Rural Area","96","0.59942178509263","0.521264486136687","0.677579084048572","1"
"No, never","2011","indirect migration background","Urban Area","383","0.599104903481516","0.561687625281962","0.636522181681069","1"
"Rarely","2011","direct migration background","Urban Area","158","0.0952381225419893","0.0794621976553048","0.111014047428674","5"
"Rarely","2011","direct migration background","Rural Area","47","0.142998663069762","0.109398854595887","0.176598471543638","5"
"Rarely","2011","no migration background","Urban Area","1537","0.185182215037225","0.176990565223165","0.193373864851284","5"
"Rarely","2011","no migration background","Rural Area","916","0.195767506890733","0.185057732596478","0.206477281184988","5"
"Rarely","2011","indirect migration background","Urban Area","107","0.13051716372254","0.104797238346863","0.156237089098217","5"
"Rarely","2011","indirect migration background","Rural Area","19","","","","5"
"Yes, every 2 weeks","2011","no migration background","Urban Area","781","0.0877890149707469","0.0818212841170256","0.0937567458244681","3"
"Yes, every 2 weeks","2011","no migration background","Rural Area","570","0.104241140513472","0.0959934123489805","0.112488868677964","3"
"Yes, every 2 weeks","2011","direct migration background","Urban Area","130","0.10448038185922","0.0880413136165498","0.120919450101891","3"
"Yes, every 2 weeks","2011","direct migration background","Rural Area","41","0.0804088292374415","0.0543095009979738","0.106508157476909","3"
"Yes, every 2 weeks","2011","indirect migration background","Urban Area","75","0.140450854210562","0.113922950487727","0.166978757933398","3"
"Yes, every 2 weeks","2011","indirect migration background","Rural Area","14","","","","3"
"Yes, every 3-4 weeks","2011","no migration background","Rural Area","332","0.0527934096777902","0.0467576572623603","0.0588291620932202","4"
"Yes, every 3-4 weeks","2011","no migration background","Urban Area","480","0.0514572087306204","0.0467982049023927","0.0561162125588482","4"
"Yes, every 3-4 weeks","2011","direct migration background","Urban Area","66","0.0453409452124917","0.0341596605727708","0.0565222298522126","4"
"Yes, every 3-4 weeks","2011","direct migration background","Rural Area","25","","","","4"
"Yes, every 3-4 weeks","2011","indirect migration background","Rural Area","14","","","","4"
"Yes, every 3-4 weeks","2011","indirect migration background","Urban Area","45","0.0649224639351551","0.046110822484079","0.0837341053862311","4"
"Yes, every week","2011","no migration background","Urban Area","647","0.0762202036449191","0.0706244218191813","0.0818159854706569","2"
"Yes, every week","2011","no migration background","Rural Area","356","0.0622444165250195","0.0557234160055134","0.0687654170445256","2"
"Yes, every week","2011","direct migration background","Urban Area","98","0.0751761575670881","0.0610054400306046","0.0893468751035715","2"
"Yes, every week","2011","direct migration background","Rural Area","33","0.0674961789052574","0.043416817382071","0.0915755404284438","2"
"Yes, every week","2011","indirect migration background","Urban Area","49","0.0650046146502271","0.0461819020347031","0.0838273272657512","2"
"Yes, every week","2011","indirect migration background","Rural Area","8","","","","2"
"No, never","2012","no migration background","Urban Area","1471","0.609217224785449","0.589861118656492","0.628573330914407","1"
"No, never","2012","direct migration background","Urban Area","325","0.655225457672006","0.614413050941639","0.696037864402373","1"
"No, never","2012","indirect migration background","Rural Area","36","0.721140114669446","0.609516753479721","0.832763475859172","1"
"No, never","2012","no migration background","Rural Area","1068","0.646929209856597","0.624116410491579","0.669742009221614","1"
"No, never","2012","direct migration background","Rural Area","125","0.638946709720815","0.571875992497609","0.706017426944021","1"
"No, never","2012","indirect migration background","Urban Area","146","0.627946460368248","0.567789445236937","0.688103475499559","1"
"Rarely","2012","no migration background","Rural Area","221","0.135976194908914","0.119615053363497","0.152337336454331","5"
"Rarely","2012","direct migration background","Urban Area","64","0.0829271299401969","0.0592472514378331","0.106607008442561","5"
"Rarely","2012","indirect migration background","Urban Area","40","0.124262080696643","0.0832058912404287","0.165318270152858","5"
"Rarely","2012","no migration background","Urban Area","407","0.169146657721758","0.154275043971714","0.184018271471802","5"
"Rarely","2012","direct migration background","Rural Area","25","","","","5"
"Rarely","2012","indirect migration background","Rural Area","5","","","","5"
"Yes, every 2 weeks","2012","no migration background","Urban Area","232","0.0845815175563839","0.073542973987865","0.0956200611249028","3"
"Yes, every 2 weeks","2012","no migration background","Rural Area","170","0.0979113498650229","0.0837253342277806","0.112097365502265","3"
"Yes, every 2 weeks","2012","direct migration background","Urban Area","60","0.124215868721889","0.0958943651705528","0.152537372273224","3"
"Yes, every 2 weeks","2012","direct migration background","Rural Area","16","","","","3"
"Yes, every 2 weeks","2012","indirect migration background","Urban Area","36","0.145955285707536","0.10201402946261","0.189896541952461","3"
"Yes, every 2 weeks","2012","indirect migration background","Rural Area","12","","","","3"
"Yes, every 3-4 weeks","2012","no migration background","Urban Area","133","0.0595112381612299","0.0501261036914288","0.068896372631031","4"
"Yes, every 3-4 weeks","2012","no migration background","Rural Area","100","0.0519733772864612","0.0413779117807549","0.0625688427921675","4"
"Yes, every 3-4 weeks","2012","direct migration background","Urban Area","33","0.0571654611641306","0.0372305719309026","0.0771003503973587","4"
"Yes, every 3-4 weeks","2012","direct migration background","Rural Area","18","","","","4"
"Yes, every 3-4 weeks","2012","indirect migration background","Urban Area","15","","","","4"
"Yes, every 3-4 weeks","2012","indirect migration background","Rural Area","2","","","","4"
"Yes, every week","2012","no migration background","Urban Area","198","0.0775433617751783","0.0669335056623598","0.0881532178879968","2"
"Yes, every week","2012","no migration background","Rural Area","127","0.0672098680830053","0.0552582199440742","0.0791615162219364","2"
"Yes, every week","2012","direct migration background","Urban Area","39","0.0804660825017777","0.0571089494327485","0.103823215570807","2"
"Yes, every week","2012","direct migration background","Rural Area","13","","","","2"
"Yes, every week","2012","indirect migration background","Urban Area","11","","","","2"
"Yes, every week","2012","indirect migration background","Rural Area","7","","","","2"
"No, never","2013","no migration background","Urban Area","4914","0.593369038188701","0.582627366607185","0.604110709770217","1"
"No, never","2013","no migration background","Rural Area","2915","0.587338563190941","0.57358908631885","0.601088040063032","1"
"No, never","2013","indirect migration background","Urban Area","401","0.644331103835265","0.607500975306629","0.681161232363901","1"
"No, never","2013","indirect migration background","Rural Area","91","0.669007759244605","0.593195102308215","0.744820416180995","1"
"No, never","2013","direct migration background","Urban Area","768","0.639426526812882","0.612213633916959","0.666639419708805","1"
"No, never","2013","direct migration background","Rural Area","223","0.616659822223232","0.566295664612799","0.667023979833665","1"
"Rarely","2013","no migration background","Rural Area","880","0.189138208750825","0.17820096155919","0.200075455942461","5"
"Rarely","2013","no migration background","Urban Area","1504","0.204706115647335","0.195882665470555","0.213529565824114","5"
"Rarely","2013","direct migration background","Urban Area","153","0.117605944588694","0.0993489862201709","0.135862902957218","5"
"Rarely","2013","indirect migration background","Urban Area","87","0.139929447852879","0.113239523557851","0.166619372147907","5"
"Rarely","2013","direct migration background","Rural Area","43","0.174720578775289","0.135385582310753","0.214055575239825","5"
"Rarely","2013","indirect migration background","Rural Area","20","","","","5"
"Yes, every 2 weeks","2013","no migration background","Urban Area","695","0.0855913859021535","0.0794735983549635","0.0917091734493436","3"
"Yes, every 2 weeks","2013","no migration background","Rural Area","532","0.113897608355978","0.105025144672855","0.1227700720391","3"
"Yes, every 2 weeks","2013","direct migration background","Urban Area","128","0.104699658923691","0.0873480596380038","0.122051258209378","3"
"Yes, every 2 weeks","2013","direct migration background","Rural Area","52","0.126749940329285","0.092287202876804","0.161212677781765","3"
"Yes, every 2 weeks","2013","indirect migration background","Urban Area","72","0.0993337147760087","0.0763216263502843","0.122345803201733","3"
"Yes, every 2 weeks","2013","indirect migration background","Rural Area","21","","","","3"
"Yes, every 3-4 weeks","2013","no migration background","Urban Area","396","0.0544223887755348","0.0494616472616722","0.0593831302893975","4"
"Yes, every 3-4 weeks","2013","no migration background","Rural Area","289","0.0549036916178649","0.0485418364147345","0.0612655468209952","4"
"Yes, every 3-4 weeks","2013","direct migration background","Urban Area","59","0.0527457681632922","0.0400777234075119","0.0654138129190725","4"
"Yes, every 3-4 weeks","2013","direct migration background","Rural Area","18","","","","4"
"Yes, every 3-4 weeks","2013","indirect migration background","Urban Area","35","0.0524675496402873","0.0353134400686581","0.0696216592119164","4"
"Yes, every 3-4 weeks","2013","indirect migration background","Rural Area","5","","","","4"
"Yes, every week","2013","no migration background","Rural Area","309","0.0547219280843911","0.0483700016320576","0.0610738545367246","2"
"Yes, every week","2013","no migration background","Urban Area","524","0.0619110714862758","0.056641013753191","0.0671811292193606","2"
"Yes, every week","2013","direct migration background","Urban Area","88","0.0855221015114409","0.0696728670483993","0.101371335974483","2"
"Yes, every week","2013","direct migration background","Rural Area","22","","","","2"
"Yes, every week","2013","indirect migration background","Rural Area","11","","","","2"
"Yes, every week","2013","indirect migration background","Urban Area","54","0.0639381838955605","0.04511651384974","0.0827598539413811","2"
"No, never","2014","no migration background","Urban Area","","","","","1"
"No, never","2014","no migration background","Rural Area","","","","","1"
"No, never","2014","direct migration background","Urban Area","","","","","1"
"No, never","2014","direct migration background","Rural Area","","","","","1"
"No, never","2014","indirect migration background","Urban Area","","","","","1"
"No, never","2014","indirect migration background","Rural Area","","","","","1"
"Rarely","2014","no migration background","Rural Area","","","","","5"
"Rarely","2014","direct migration background","Urban Area","","","","","5"
"Rarely","2014","no migration background","Urban Area","","","","","5"
"Rarely","2014","direct migration background","Rural Area","","","","","5"
"Rarely","2014","indirect migration background","Urban Area","","","","","5"
"Rarely","2014","indirect migration background","Rural Area","","","","","5"
"Yes, every 2 weeks","2014","no migration background","Rural Area","","","","","3"
"Yes, every 2 weeks","2014","direct migration background","Urban Area","","","","","3"
"Yes, every 2 weeks","2014","indirect migration background","Urban Area","","","","","3"
"Yes, every 2 weeks","2014","indirect migration background","Rural Area","","","","","3"
"Yes, every 2 weeks","2014","no migration background","Urban Area","","","","","3"
"Yes, every 2 weeks","2014","direct migration background","Rural Area","","","","","3"
"Yes, every 3-4 weeks","2014","no migration background","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2014","no migration background","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2014","direct migration background","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2014","direct migration background","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2014","indirect migration background","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2014","indirect migration background","Urban Area","","","","","4"
"Yes, every week","2014","no migration background","Urban Area","","","","","2"
"Yes, every week","2014","no migration background","Rural Area","","","","","2"
"Yes, every week","2014","direct migration background","Urban Area","","","","","2"
"Yes, every week","2014","direct migration background","Rural Area","","","","","2"
"Yes, every week","2014","indirect migration background","Rural Area","","","","","2"
"Yes, every week","2014","indirect migration background","Urban Area","","","","","2"
"No, never","2015","no migration background","Urban Area","4178","0.582650101890929","0.571076695886977","0.594223507894882","1"
"No, never","2015","no migration background","Rural Area","2599","0.613080379765132","0.598566820898197","0.627593938632066","1"
"No, never","2015","direct migration background","Urban Area","1307","0.602813231370496","0.581616058381846","0.624010404359145","1"
"No, never","2015","indirect migration background","Urban Area","562","0.610420407366187","0.578182542147773","0.642658272584602","1"
"No, never","2015","direct migration background","Rural Area","440","0.612188498861813","0.575376153791694","0.649000843931931","1"
"No, never","2015","indirect migration background","Rural Area","112","0.547133073137621","0.477623157024943","0.616642989250299","1"
"Rarely","2015","no migration background","Rural Area","750","0.166050081784698","0.15496103117422","0.177139132395176","5"
"Rarely","2015","direct migration background","Urban Area","263","0.132791912733646","0.118091259187184","0.147492566280107","5"
"Rarely","2015","indirect migration background","Urban Area","112","0.126068008489941","0.10412506329411","0.148010953685773","5"
"Rarely","2015","indirect migration background","Rural Area","34","0.20118282708298","0.145202668083256","0.257162986082703","5"
"Rarely","2015","no migration background","Urban Area","1342","0.208228250533317","0.19869860063694","0.217757900429693","5"
"Rarely","2015","direct migration background","Rural Area","55","0.114453006368059","0.0904005205166837","0.138505492219434","5"
"Yes, every 2 weeks","2015","no migration background","Urban Area","629","0.0905154154746772","0.0837815247385936","0.0972493062107609","3"
"Yes, every 2 weeks","2015","direct migration background","Urban Area","215","0.116422453113679","0.102528370453781","0.130316535773576","3"
"Yes, every 2 weeks","2015","no migration background","Rural Area","458","0.106493799520283","0.0973016775178447","0.115685921522721","3"
"Yes, every 2 weeks","2015","direct migration background","Rural Area","81","0.0989679760715813","0.076406993154035","0.121528958989128","3"
"Yes, every 2 weeks","2015","indirect migration background","Rural Area","27","","","","3"
"Yes, every 2 weeks","2015","indirect migration background","Urban Area","103","0.147409485307469","0.12397331654161","0.170845654073328","3"
"Yes, every 3-4 weeks","2015","no migration background","Urban Area","357","0.0555365375789522","0.050161405994825","0.0609116691630794","4"
