"plb0219","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Yes, every 2 weeks","2006","vocational + Abi","Urban Area","","","","","3"
"Yes, every 2 weeks","2006","vocational + Abi","Rural Area","","","","","3"
"Yes, every 2 weeks","2006","in school","Urban Area","","","","","3"
"Yes, every 2 weeks","2006","in school","Rural Area","","","","","3"
"Yes, every 2 weeks","2006","general elemantary","Urban Area","","","","","3"
"Yes, every 2 weeks","2006","general elemantary","Rural Area","","","","","3"
"Yes, every 2 weeks","2006","higher vocational","Rural Area","","","","","3"
"Yes, every 2 weeks","2006","higher education","Urban Area","","","","","3"
"Yes, every 2 weeks","2006","higher education","Rural Area","","","","","3"
"Yes, every 2 weeks","2006","inadequately","Urban Area","","","","","3"
"Yes, every 2 weeks","2006","inadequately","Rural Area","","","","","3"
"Yes, every 2 weeks","2006","higher vocational","Urban Area","","","","","3"
"Yes, every 3-4 weeks","2006","higher vocational","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2006","higher education","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","in school","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2006","in school","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","middle vocational","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","vocational + Abi","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2006","higher vocational","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","higher education","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2006","middle vocational","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2006","vocational + Abi","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","inadequately","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","inadequately","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2006","general elemantary","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","general elemantary","Rural Area","","","","","4"
"Yes, every week","2006","inadequately","Urban Area","","","","","2"
"Yes, every week","2006","middle vocational","Urban Area","","","","","2"
"Yes, every week","2006","general elemantary","Urban Area","","","","","2"
"Yes, every week","2006","in school","Urban Area","","","","","2"
"Yes, every week","2006","in school","Rural Area","","","","","2"
"Yes, every week","2006","middle vocational","Rural Area","","","","","2"
"Yes, every week","2006","vocational + Abi","Urban Area","","","","","2"
"Yes, every week","2006","inadequately","Rural Area","","","","","2"
"Yes, every week","2006","vocational + Abi","Rural Area","","","","","2"
"Yes, every week","2006","higher vocational","Urban Area","","","","","2"
"Yes, every week","2006","higher vocational","Rural Area","","","","","2"
"Yes, every week","2006","higher education","Urban Area","","","","","2"
"Yes, every week","2006","general elemantary","Rural Area","","","","","2"
"Yes, every week","2006","higher education","Rural Area","","","","","2"
"No, never","2007","in school","Urban Area","12","","","","1"
"No, never","2007","in school","Rural Area","4","","","","1"
"No, never","2007","inadequately","Urban Area","32","0.836909536052057","0.727746578106314","0.9460724939978","1"
"No, never","2007","inadequately","Rural Area","15","","","","1"
"No, never","2007","general elemantary","Urban Area","345","0.68753217819456","0.64682391402447","0.728240442364649","1"
"No, never","2007","general elemantary","Rural Area","167","0.650946594252511","0.59209388771766","0.709799300787361","1"
"No, never","2007","middle vocational","Urban Area","2334","0.671365643073593","0.655678185719067","0.687053100428118","1"
"No, never","2007","middle vocational","Rural Area","1217","0.595568556881057","0.573929269332451","0.617207844429664","1"
"No, never","2007","vocational + Abi","Urban Area","396","0.65855236724821","0.620450450933892","0.696654283562528","1"
"No, never","2007","vocational + Abi","Rural Area","123","0.596936367797603","0.529790083189078","0.664082652406128","1"
"No, never","2007","higher vocational","Urban Area","337","0.56955848913974","0.529537698315506","0.609579279963974","1"
"No, never","2007","higher vocational","Rural Area","173","0.414381238499003","0.362698810237235","0.46606366676077","1"
"No, never","2007","higher education","Urban Area","1082","0.469891454811523","0.448770399257376","0.49101251036567","1"
"No, never","2007","higher education","Rural Area","422","0.517525203651843","0.48302802019232","0.552022387111366","1"
"Rarely","2007","vocational + Abi","Rural Area","40","0.177818443502506","0.125477273321698","0.230159613683314","5"
"Rarely","2007","in school","Urban Area","2","","","","5"
"Rarely","2007","middle vocational","Rural Area","331","0.172466792685988","0.15580966635647","0.189123919015506","5"
"Rarely","2007","vocational + Abi","Urban Area","89","0.141772900551419","0.113745208805449","0.16980059229739","5"
"Rarely","2007","middle vocational","Urban Area","533","0.151002719155429","0.139044622671622","0.162960815639236","5"
"Rarely","2007","higher vocational","Rural Area","85","0.332299335926684","0.282880669884708","0.38171800196866","5"
"Rarely","2007","higher education","Urban Area","554","0.288114862696632","0.268949270771971","0.307280454621293","5"
"Rarely","2007","higher education","Rural Area","192","0.234562968064603","0.205310330583327","0.263815605545879","5"
"Rarely","2007","higher vocational","Urban Area","125","0.211904149728207","0.178873381155015","0.2449349183014","5"
"Rarely","2007","in school","Rural Area","","","","","5"
"Rarely","2007","inadequately","Urban Area","2","","","","5"
"Rarely","2007","inadequately","Rural Area","2","","","","5"
"Rarely","2007","general elemantary","Urban Area","57","0.110224493022136","0.0827194266069987","0.137729559437274","5"
"Rarely","2007","general elemantary","Rural Area","29","","","","5"
"Yes, every 2 weeks","2007","middle vocational","Urban Area","268","0.0802505939789525","0.0711770822404043","0.0893241057175007","3"
"Yes, every 2 weeks","2007","general elemantary","Urban Area","39","0.105401534439199","0.0784321545482715","0.132370914330126","3"
"Yes, every 2 weeks","2007","in school","Urban Area","5","","","","3"
"Yes, every 2 weeks","2007","in school","Rural Area","","","","","3"
"Yes, every 2 weeks","2007","higher education","Urban Area","155","0.0800577514100173","0.0685731369912035","0.091542365828831","3"
"Yes, every 2 weeks","2007","general elemantary","Rural Area","26","","","","3"
"Yes, every 2 weeks","2007","vocational + Abi","Urban Area","49","0.0846297168246426","0.0622657182121036","0.106993715437182","3"
"Yes, every 2 weeks","2007","middle vocational","Rural Area","202","0.109990627754638","0.0961953721637041","0.123785883345572","3"
"Yes, every 2 weeks","2007","higher vocational","Rural Area","38","0.107157578250524","0.074706118971786","0.139609037529262","3"
"Yes, every 2 weeks","2007","inadequately","Urban Area","5","","","","3"
"Yes, every 2 weeks","2007","inadequately","Rural Area","1","","","","3"
"Yes, every 2 weeks","2007","vocational + Abi","Rural Area","17","","","","3"
"Yes, every 2 weeks","2007","higher vocational","Urban Area","71","0.136500325737485","0.10875068525404","0.16424996622093","3"
"Yes, every 2 weeks","2007","higher education","Rural Area","61","0.0728955456032689","0.0549483994544519","0.090842691752086","3"
"Yes, every 3-4 weeks","2007","in school","Urban Area","2","","","","4"
"Yes, every 3-4 weeks","2007","in school","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2007","middle vocational","Urban Area","145","0.0468444680293286","0.0397873470632607","0.0539015889953966","4"
"Yes, every 3-4 weeks","2007","inadequately","Urban Area","3","","","","4"
"Yes, every 3-4 weeks","2007","inadequately","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2007","general elemantary","Urban Area","30","0.0449417290755015","0.0267458415651077","0.0631376165858953","4"
"Yes, every 3-4 weeks","2007","middle vocational","Rural Area","109","0.061023387894991","0.0504690701205041","0.0715777056694779","4"
"Yes, every 3-4 weeks","2007","vocational + Abi","Urban Area","31","0.0690240361702824","0.0486555375545851","0.0893925347859797","4"
"Yes, every 3-4 weeks","2007","vocational + Abi","Rural Area","15","","","","4"
"Yes, every 3-4 weeks","2007","higher vocational","Urban Area","31","0.0411978279775021","0.0251335543679312","0.057262101587073","4"
"Yes, every 3-4 weeks","2007","higher vocational","Rural Area","24","","","","4"
"Yes, every 3-4 weeks","2007","higher education","Urban Area","140","0.0712586308071795","0.0603718225281384","0.0821454390862207","4"
"Yes, every 3-4 weeks","2007","higher education","Rural Area","47","0.0656455730041224","0.0485478169776068","0.0827433290306379","4"
"Yes, every 3-4 weeks","2007","general elemantary","Rural Area","13","","","","4"
"Yes, every week","2007","higher vocational","Urban Area","24","","","","2"
"Yes, every week","2007","in school","Urban Area","1","","","","2"
"Yes, every week","2007","vocational + Abi","Rural Area","10","","","","2"
"Yes, every week","2007","in school","Rural Area","1","","","","2"
"Yes, every week","2007","inadequately","Urban Area","2","","","","2"
"Yes, every week","2007","inadequately","Rural Area","","","","","2"
"Yes, every week","2007","middle vocational","Urban Area","164","0.0505365757626972","0.0432208309982767","0.0578523205271177","2"
"Yes, every week","2007","middle vocational","Rural Area","117","0.0609506347833257","0.050402201773638","0.0714990677930134","2"
"Yes, every week","2007","vocational + Abi","Urban Area","30","0.0460209792054457","0.0291850555485758","0.0628569028623155","2"
"Yes, every week","2007","general elemantary","Urban Area","27","","","","2"
"Yes, every week","2007","general elemantary","Rural Area","17","","","","2"
"Yes, every week","2007","higher vocational","Rural Area","29","","","","2"
"Yes, every week","2007","higher education","Urban Area","214","0.0906773002746481","0.0785254404878862","0.10282916006141","2"
"Yes, every week","2007","higher education","Rural Area","84","0.109370709676162","0.0878240688566097","0.130917350495715","2"
"No, never","2008","in school","Urban Area","","","","","1"
"No, never","2008","in school","Rural Area","","","","","1"
"No, never","2008","inadequately","Urban Area","","","","","1"
"No, never","2008","inadequately","Rural Area","","","","","1"
"No, never","2008","general elemantary","Urban Area","","","","","1"
"No, never","2008","general elemantary","Rural Area","","","","","1"
"No, never","2008","middle vocational","Urban Area","","","","","1"
"No, never","2008","middle vocational","Rural Area","","","","","1"
"No, never","2008","vocational + Abi","Urban Area","","","","","1"
"No, never","2008","vocational + Abi","Rural Area","","","","","1"
"No, never","2008","higher vocational","Urban Area","","","","","1"
"No, never","2008","higher vocational","Rural Area","","","","","1"
"No, never","2008","higher education","Urban Area","","","","","1"
"No, never","2008","higher education","Rural Area","","","","","1"
"Rarely","2008","in school","Urban Area","","","","","5"
"Rarely","2008","middle vocational","Urban Area","","","","","5"
"Rarely","2008","middle vocational","Rural Area","","","","","5"
"Rarely","2008","vocational + Abi","Urban Area","","","","","5"
"Rarely","2008","vocational + Abi","Rural Area","","","","","5"
"Rarely","2008","higher vocational","Urban Area","","","","","5"
"Rarely","2008","higher vocational","Rural Area","","","","","5"
"Rarely","2008","higher education","Urban Area","","","","","5"
"Rarely","2008","higher education","Rural Area","","","","","5"
"Rarely","2008","in school","Rural Area","","","","","5"
"Rarely","2008","inadequately","Urban Area","","","","","5"
"Rarely","2008","inadequately","Rural Area","","","","","5"
"Rarely","2008","general elemantary","Urban Area","","","","","5"
"Rarely","2008","general elemantary","Rural Area","","","","","5"
"Yes, every 2 weeks","2008","middle vocational","Rural Area","","","","","3"
"Yes, every 2 weeks","2008","vocational + Abi","Rural Area","","","","","3"
"Yes, every 2 weeks","2008","middle vocational","Urban Area","","","","","3"
"Yes, every 2 weeks","2008","vocational + Abi","Urban Area","","","","","3"
"Yes, every 2 weeks","2008","in school","Urban Area","","","","","3"
"Yes, every 2 weeks","2008","in school","Rural Area","","","","","3"
"Yes, every 2 weeks","2008","inadequately","Urban Area","","","","","3"
"Yes, every 2 weeks","2008","inadequately","Rural Area","","","","","3"
"Yes, every 2 weeks","2008","general elemantary","Urban Area","","","","","3"
"Yes, every 2 weeks","2008","general elemantary","Rural Area","","","","","3"
"Yes, every 2 weeks","2008","higher vocational","Urban Area","","","","","3"
"Yes, every 2 weeks","2008","higher vocational","Rural Area","","","","","3"
"Yes, every 2 weeks","2008","higher education","Urban Area","","","","","3"
"Yes, every 2 weeks","2008","higher education","Rural Area","","","","","3"
"Yes, every 3-4 weeks","2008","in school","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2008","in school","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2008","middle vocational","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2008","vocational + Abi","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2008","middle vocational","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2008","inadequately","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2008","inadequately","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2008","general elemantary","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2008","general elemantary","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2008","vocational + Abi","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2008","higher vocational","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2008","higher vocational","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2008","higher education","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2008","higher education","Rural Area","","","","","4"
"Yes, every week","2008","in school","Urban Area","","","","","2"
"Yes, every week","2008","general elemantary","Urban Area","","","","","2"
"Yes, every week","2008","middle vocational","Urban Area","","","","","2"
"Yes, every week","2008","middle vocational","Rural Area","","","","","2"
"Yes, every week","2008","vocational + Abi","Rural Area","","","","","2"
"Yes, every week","2008","higher vocational","Urban Area","","","","","2"
"Yes, every week","2008","in school","Rural Area","","","","","2"
"Yes, every week","2008","inadequately","Urban Area","","","","","2"
"Yes, every week","2008","inadequately","Rural Area","","","","","2"
"Yes, every week","2008","vocational + Abi","Urban Area","","","","","2"
"Yes, every week","2008","general elemantary","Rural Area","","","","","2"
"Yes, every week","2008","higher vocational","Rural Area","","","","","2"
"Yes, every week","2008","higher education","Urban Area","","","","","2"
"Yes, every week","2008","higher education","Rural Area","","","","","2"
"No, never","2009","in school","Urban Area","18","","","","1"
"No, never","2009","in school","Rural Area","5","","","","1"
"No, never","2009","inadequately","Urban Area","23","","","","1"
"No, never","2009","inadequately","Rural Area","13","","","","1"
"No, never","2009","general elemantary","Urban Area","320","0.678627576884153","0.63489237945879","0.722362774309516","1"
"No, never","2009","general elemantary","Rural Area","133","0.686374224894822","0.621749031931592","0.750999417858053","1"
"No, never","2009","middle vocational","Urban Area","1963","0.647038062472437","0.629902962351223","0.664173162593652","1"
"No, never","2009","middle vocational","Rural Area","1090","0.579504874499048","0.556731965146728","0.602277783851367","1"
"No, never","2009","vocational + Abi","Urban Area","336","0.627258805688476","0.585578595625366","0.668939015751586","1"
"No, never","2009","vocational + Abi","Rural Area","124","0.657852496412024","0.588156305845636","0.727548686978412","1"
"No, never","2009","higher vocational","Urban Area","275","0.527154564373489","0.48317265516151","0.571136473585468","1"
"No, never","2009","higher vocational","Rural Area","155","0.502898866873032","0.447596213092981","0.558201520653084","1"
"No, never","2009","higher education","Urban Area","928","0.478209483882836","0.45576622702382","0.500652740741852","1"
"No, never","2009","higher education","Rural Area","389","0.480808689169064","0.445193352435259","0.516424025902869","1"
"Rarely","2009","higher vocational","Rural Area","71","0.257647991713981","0.209275151063955","0.306020832364008","5"
"Rarely","2009","in school","Urban Area","5","","","","5"
"Rarely","2009","middle vocational","Urban Area","468","0.161604535901637","0.148406508441466","0.174802563361808","5"
"Rarely","2009","middle vocational","Rural Area","331","0.196848386659306","0.178505225326559","0.215191547992053","5"
"Rarely","2009","vocational + Abi","Urban Area","93","0.176300599208058","0.143452209180087","0.209148989236029","5"
"Rarely","2009","vocational + Abi","Rural Area","27","","","","5"
"Rarely","2009","higher vocational","Urban Area","116","0.281857795385029","0.242223992768008","0.32149159800205","5"
"Rarely","2009","higher education","Urban Area","508","0.266861041392837","0.246987995554817","0.286734087230857","5"
"Rarely","2009","higher education","Rural Area","162","0.241871133615067","0.211346481022342","0.272395786207792","5"
"Rarely","2009","in school","Rural Area","2","","","","5"
"Rarely","2009","inadequately","Urban Area","6","","","","5"
"Rarely","2009","inadequately","Rural Area","","","","","5"
"Rarely","2009","general elemantary","Urban Area","38","0.0845711047740703","0.0585135087965753","0.110628700751565","5"
"Rarely","2009","general elemantary","Rural Area","23","","","","5"
"Yes, every 2 weeks","2009","inadequately","Rural Area","","","","","3"
"Yes, every 2 weeks","2009","middle vocational","Urban Area","255","0.0822217049932942","0.0723720748044908","0.0920713351820975","3"
"Yes, every 2 weeks","2009","middle vocational","Rural Area","179","0.101197388139306","0.0872842113800533","0.115110564898558","3"
"Yes, every 2 weeks","2009","in school","Urban Area","3","","","","3"
"Yes, every 2 weeks","2009","in school","Rural Area","","","","","3"
"Yes, every 2 weeks","2009","inadequately","Urban Area","2","","","","3"
"Yes, every 2 weeks","2009","vocational + Abi","Urban Area","35","0.0631307198204765","0.0421672730801387","0.0840941665608143","3"
"Yes, every 2 weeks","2009","vocational + Abi","Rural Area","14","","","","3"
"Yes, every 2 weeks","2009","general elemantary","Urban Area","38","0.0963366825232424","0.0687048170546814","0.123968547991803","3"
"Yes, every 2 weeks","2009","general elemantary","Rural Area","20","","","","3"
"Yes, every 2 weeks","2009","higher vocational","Urban Area","57","0.103186234670126","0.0763879184843597","0.129984550855893","3"
"Yes, every 2 weeks","2009","higher vocational","Rural Area","40","0.120252477811068","0.0842767730863478","0.156228182535789","3"
"Yes, every 2 weeks","2009","higher education","Urban Area","136","0.0706237703288421","0.0591131182614718","0.0821344223962124","3"
"Yes, every 2 weeks","2009","higher education","Rural Area","54","0.0722207640942115","0.0537688868352664","0.0906726413531567","3"
"Yes, every 3-4 weeks","2009","middle vocational","Urban Area","148","0.0569679776721053","0.0486573004359376","0.0652786549082731","4"
"Yes, every 3-4 weeks","2009","middle vocational","Rural Area","110","0.0729306190759448","0.0609350582650187","0.0849261798868708","4"
"Yes, every 3-4 weeks","2009","vocational + Abi","Urban Area","28","","","","4"
"Yes, every 3-4 weeks","2009","in school","Urban Area","1","","","","4"
"Yes, every 3-4 weeks","2009","in school","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2009","inadequately","Urban Area","1","","","","4"
"Yes, every 3-4 weeks","2009","inadequately","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2009","general elemantary","Urban Area","16","","","","4"
"Yes, every 3-4 weeks","2009","general elemantary","Rural Area","9","","","","4"
"Yes, every 3-4 weeks","2009","vocational + Abi","Rural Area","6","","","","4"
"Yes, every 3-4 weeks","2009","higher vocational","Urban Area","21","","","","4"
"Yes, every 3-4 weeks","2009","higher vocational","Rural Area","22","","","","4"
"Yes, every 3-4 weeks","2009","higher education","Urban Area","128","0.0701292905647236","0.0586559547932136","0.0816026263362336","4"
"Yes, every 3-4 weeks","2009","higher education","Rural Area","54","0.0725222355192244","0.0540348908536089","0.0910095801848399","4"
"Yes, every week","2009","in school","Urban Area","2","","","","2"
"Yes, every week","2009","inadequately","Urban Area","6","","","","2"
"Yes, every week","2009","middle vocational","Rural Area","95","0.0495187316263952","0.0395103000327247","0.0595271632200658","2"
"Yes, every week","2009","general elemantary","Urban Area","26","","","","2"
"Yes, every week","2009","vocational + Abi","Rural Area","7","","","","2"
"Yes, every week","2009","higher vocational","Urban Area","26","","","","2"
"Yes, every week","2009","in school","Rural Area","1","","","","2"
"Yes, every week","2009","inadequately","Rural Area","1","","","","2"
"Yes, every week","2009","middle vocational","Urban Area","154","0.0521677189605263","0.0441946693558395","0.0601407685652132","2"
"Yes, every week","2009","vocational + Abi","Urban Area","25","","","","2"
"Yes, every week","2009","general elemantary","Rural Area","13","","","","2"
"Yes, every week","2009","higher vocational","Rural Area","26","","","","2"
"Yes, every week","2009","higher education","Urban Area","203","0.114176413830761","0.0998877862864007","0.128465041375122","2"
"Yes, every week","2009","higher education","Rural Area","97","0.132577177602434","0.108403818697146","0.156750536507721","2"
"No, never","2010","in school","Urban Area","7","","","","1"
"No, never","2010","in school","Rural Area","7","","","","1"
"No, never","2010","inadequately","Urban Area","22","","","","1"
"No, never","2010","inadequately","Rural Area","14","","","","1"
"No, never","2010","general elemantary","Urban Area","160","0.675676282431616","0.617059261744793","0.734293303118439","1"
"No, never","2010","general elemantary","Rural Area","87","0.688009977977616","0.608973269390951","0.767046686564281","1"
"No, never","2010","middle vocational","Urban Area","721","0.609042787945079","0.581582429142684","0.636503146747474","1"
"No, never","2010","middle vocational","Rural Area","571","0.604555205512955","0.573641767234551","0.635468643791358","1"
"No, never","2010","vocational + Abi","Urban Area","212","0.589234702233902","0.537245889326381","0.641223515141424","1"
"No, never","2010","vocational + Abi","Rural Area","79","0.613858334087366","0.531424954939158","0.696291713235574","1"
"No, never","2010","higher vocational","Urban Area","81","0.441312892812045","0.365777293497774","0.516848492126315","1"
