"plb0219","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No, never","2007","indirect migration background","general elemantary","62","0.698209249260181","0.603373386863268","0.793045111657094","1"
"No, never","2007","indirect migration background","middle vocational","159","0.74018744312821","0.681840360081844","0.798534526174575","1"
"No, never","2007","indirect migration background","vocational + Abi","24","","","","1"
"No, never","2007","indirect migration background","higher vocational","18","","","","1"
"No, never","2007","indirect migration background","higher education","49","0.629968665272134","0.519964037371368","0.7399732931729","1"
"Rarely","2007","direct migration background","in school","","","","","5"
"Rarely","2007","direct migration background","higher vocational","4","","","","5"
"Rarely","2007","indirect migration background","vocational + Abi","7","","","","5"
"Rarely","2007","indirect migration background","higher education","12","","","","5"
"Rarely","2007","direct migration background","inadequately","2","","","","5"
"Rarely","2007","direct migration background","middle vocational","46","0.127824517216042","0.0959299979332142","0.15971903649887","5"
"Rarely","2007","direct migration background","vocational + Abi","10","","","","5"
"Rarely","2007","indirect migration background","middle vocational","26","","","","5"
"Rarely","2007","indirect migration background","higher vocational","3","","","","5"
"Rarely","2007","direct migration background","general elemantary","16","","","","5"
"Rarely","2007","no migration background","in school","2","","","","5"
"Rarely","2007","no migration background","inadequately","2","","","","5"
"Rarely","2007","no migration background","general elemantary","57","0.11835588828032","0.0895178202396439","0.147193956320996","5"
"Rarely","2007","no migration background","middle vocational","792","0.163220167386133","0.152745606708771","0.173694728063496","5"
"Rarely","2007","no migration background","vocational + Abi","112","0.162848779040159","0.133994051411772","0.191703506668546","5"
"Rarely","2007","no migration background","higher vocational","203","0.276829213768643","0.24655356159731","0.307104865939976","5"
"Rarely","2007","no migration background","higher education","685","0.279733645150549","0.262691729914985","0.296775560386113","5"
"Rarely","2007","direct migration background","higher education","49","0.265524684468637","0.206078879336013","0.324970489601262","5"
"Rarely","2007","indirect migration background","in school","","","","","5"
"Rarely","2007","indirect migration background","inadequately","","","","","5"
"Rarely","2007","indirect migration background","general elemantary","13","","","","5"
"Yes, every 2 weeks","2007","no migration background","in school","5","","","","3"
"Yes, every 2 weeks","2007","no migration background","vocational + Abi","51","0.0858283425810614","0.0639380277592369","0.107718657402886","3"
"Yes, every 2 weeks","2007","direct migration background","general elemantary","15","","","","3"
"Yes, every 2 weeks","2007","direct migration background","middle vocational","29","","","","3"
"Yes, every 2 weeks","2007","direct migration background","vocational + Abi","12","","","","3"
"Yes, every 2 weeks","2007","direct migration background","higher education","17","","","","3"
"Yes, every 2 weeks","2007","no migration background","inadequately","2","","","","3"
"Yes, every 2 weeks","2007","no migration background","general elemantary","47","0.123109911771975","0.0937777776263212","0.152442045917629","3"
"Yes, every 2 weeks","2007","no migration background","middle vocational","428","0.0949431434518347","0.0866348268082859","0.103251460095383","3"
"Yes, every 2 weeks","2007","direct migration background","higher vocational","13","","","","3"
"Yes, every 2 weeks","2007","direct migration background","in school","","","","","3"
"Yes, every 2 weeks","2007","direct migration background","inadequately","3","","","","3"
"Yes, every 2 weeks","2007","no migration background","higher vocational","93","0.113991592967493","0.0924874349166492","0.135495751018336","3"
"Yes, every 2 weeks","2007","no migration background","higher education","194","0.0792827367082808","0.069024990639886","0.0895404827766756","3"
"Yes, every 2 weeks","2007","indirect migration background","in school","","","","","3"
"Yes, every 2 weeks","2007","indirect migration background","inadequately","1","","","","3"
"Yes, every 2 weeks","2007","indirect migration background","general elemantary","3","","","","3"
"Yes, every 2 weeks","2007","indirect migration background","middle vocational","13","","","","3"
"Yes, every 2 weeks","2007","indirect migration background","vocational + Abi","3","","","","3"
"Yes, every 2 weeks","2007","indirect migration background","higher vocational","3","","","","3"
"Yes, every 2 weeks","2007","indirect migration background","higher education","5","","","","3"
"Yes, every 3-4 weeks","2007","direct migration background","in school","","","","","4"
"Yes, every 3-4 weeks","2007","direct migration background","inadequately","2","","","","4"
"Yes, every 3-4 weeks","2007","direct migration background","general elemantary","11","","","","4"
"Yes, every 3-4 weeks","2007","direct migration background","middle vocational","21","","","","4"
"Yes, every 3-4 weeks","2007","direct migration background","vocational + Abi","14","","","","4"
"Yes, every 3-4 weeks","2007","direct migration background","higher vocational","8","","","","4"
"Yes, every 3-4 weeks","2007","direct migration background","higher education","10","","","","4"
"Yes, every 3-4 weeks","2007","indirect migration background","in school","","","","","4"
"Yes, every 3-4 weeks","2007","indirect migration background","inadequately","","","","","4"
"Yes, every 3-4 weeks","2007","indirect migration background","general elemantary","8","","","","4"
"Yes, every 3-4 weeks","2007","indirect migration background","middle vocational","7","","","","4"
"Yes, every 3-4 weeks","2007","indirect migration background","vocational + Abi","2","","","","4"
"Yes, every 3-4 weeks","2007","indirect migration background","higher vocational","3","","","","4"
"Yes, every 3-4 weeks","2007","indirect migration background","higher education","5","","","","4"
"Yes, every 3-4 weeks","2007","no migration background","in school","2","","","","4"
"Yes, every 3-4 weeks","2007","no migration background","inadequately","1","","","","4"
"Yes, every 3-4 weeks","2007","no migration background","general elemantary","24","","","","4"
"Yes, every 3-4 weeks","2007","no migration background","middle vocational","226","0.0543648162161649","0.0479384706036916","0.0607911618286383","4"
"Yes, every 3-4 weeks","2007","no migration background","vocational + Abi","30","0.0687239624943318","0.0489535341616784","0.0884943908269853","4"
"Yes, every 3-4 weeks","2007","no migration background","higher vocational","44","0.0394521290249579","0.0262798221512895","0.0526244358986262","4"
"Yes, every 3-4 weeks","2007","no migration background","higher education","172","0.0711775139138165","0.0614155487797874","0.0809394790478456","4"
"Yes, every week","2007","indirect migration background","vocational + Abi","1","","","","2"
"Yes, every week","2007","indirect migration background","middle vocational","12","","","","2"
"Yes, every week","2007","direct migration background","in school","","","","","2"
"Yes, every week","2007","direct migration background","inadequately","1","","","","2"
"Yes, every week","2007","direct migration background","general elemantary","8","","","","2"
"Yes, every week","2007","direct migration background","middle vocational","19","","","","2"
"Yes, every week","2007","direct migration background","vocational + Abi","5","","","","2"
"Yes, every week","2007","direct migration background","higher vocational","2","","","","2"
"Yes, every week","2007","direct migration background","higher education","12","","","","2"
"Yes, every week","2007","indirect migration background","in school","","","","","2"
"Yes, every week","2007","indirect migration background","inadequately","","","","","2"
"Yes, every week","2007","indirect migration background","general elemantary","4","","","","2"
"Yes, every week","2007","indirect migration background","higher vocational","2","","","","2"
"Yes, every week","2007","indirect migration background","higher education","3","","","","2"
"Yes, every week","2007","no migration background","in school","2","","","","2"
"Yes, every week","2007","no migration background","inadequately","1","","","","2"
"Yes, every week","2007","no migration background","general elemantary","32","0.0662918220135364","0.0440812301832745","0.0885024138437982","2"
"Yes, every week","2007","no migration background","middle vocational","250","0.0559117975771025","0.0493999936094645","0.0624236015447404","2"
"Yes, every week","2007","no migration background","vocational + Abi","34","0.043468913850781","0.0275335601695726","0.0594042675319894","2"
"Yes, every week","2007","no migration background","higher vocational","49","0.0601360592648747","0.044049354662339","0.0762227638674104","2"
"Yes, every week","2007","no migration background","higher education","283","0.103524757668459","0.091958556389504","0.115090958947414","2"
"No, never","2008","direct migration background","vocational + Abi","","","","","1"
"No, never","2008","direct migration background","higher vocational","","","","","1"
"No, never","2008","direct migration background","higher education","","","","","1"
"No, never","2008","indirect migration background","in school","","","","","1"
"No, never","2008","indirect migration background","inadequately","","","","","1"
"No, never","2008","no migration background","in school","","","","","1"
"No, never","2008","no migration background","inadequately","","","","","1"
"No, never","2008","no migration background","general elemantary","","","","","1"
"No, never","2008","no migration background","middle vocational","","","","","1"
"No, never","2008","no migration background","vocational + Abi","","","","","1"
"No, never","2008","no migration background","higher vocational","","","","","1"
"No, never","2008","no migration background","higher education","","","","","1"
"No, never","2008","direct migration background","in school","","","","","1"
"No, never","2008","direct migration background","inadequately","","","","","1"
"No, never","2008","direct migration background","general elemantary","","","","","1"
"No, never","2008","direct migration background","middle vocational","","","","","1"
"No, never","2008","indirect migration background","general elemantary","","","","","1"
"No, never","2008","indirect migration background","middle vocational","","","","","1"
"No, never","2008","indirect migration background","vocational + Abi","","","","","1"
"No, never","2008","indirect migration background","higher vocational","","","","","1"
"No, never","2008","indirect migration background","higher education","","","","","1"
"Rarely","2008","direct migration background","middle vocational","","","","","5"
"Rarely","2008","direct migration background","vocational + Abi","","","","","5"
"Rarely","2008","indirect migration background","vocational + Abi","","","","","5"
"Rarely","2008","indirect migration background","higher education","","","","","5"
"Rarely","2008","indirect migration background","middle vocational","","","","","5"
"Rarely","2008","indirect migration background","higher vocational","","","","","5"
"Rarely","2008","direct migration background","in school","","","","","5"
"Rarely","2008","direct migration background","general elemantary","","","","","5"
"Rarely","2008","direct migration background","inadequately","","","","","5"
"Rarely","2008","direct migration background","higher vocational","","","","","5"
"Rarely","2008","direct migration background","higher education","","","","","5"
"Rarely","2008","indirect migration background","in school","","","","","5"
"Rarely","2008","indirect migration background","inadequately","","","","","5"
"Rarely","2008","indirect migration background","general elemantary","","","","","5"
"Rarely","2008","no migration background","in school","","","","","5"
"Rarely","2008","no migration background","inadequately","","","","","5"
"Rarely","2008","no migration background","general elemantary","","","","","5"
"Rarely","2008","no migration background","middle vocational","","","","","5"
"Rarely","2008","no migration background","vocational + Abi","","","","","5"
"Rarely","2008","no migration background","higher vocational","","","","","5"
"Rarely","2008","no migration background","higher education","","","","","5"
"Yes, every 2 weeks","2008","direct migration background","higher education","","","","","3"
"Yes, every 2 weeks","2008","direct migration background","vocational + Abi","","","","","3"
"Yes, every 2 weeks","2008","direct migration background","middle vocational","","","","","3"
"Yes, every 2 weeks","2008","direct migration background","higher vocational","","","","","3"
"Yes, every 2 weeks","2008","direct migration background","general elemantary","","","","","3"
"Yes, every 2 weeks","2008","direct migration background","in school","","","","","3"
"Yes, every 2 weeks","2008","direct migration background","inadequately","","","","","3"
"Yes, every 2 weeks","2008","no migration background","in school","","","","","3"
"Yes, every 2 weeks","2008","no migration background","inadequately","","","","","3"
"Yes, every 2 weeks","2008","no migration background","general elemantary","","","","","3"
"Yes, every 2 weeks","2008","no migration background","middle vocational","","","","","3"
"Yes, every 2 weeks","2008","no migration background","vocational + Abi","","","","","3"
"Yes, every 2 weeks","2008","no migration background","higher vocational","","","","","3"
"Yes, every 2 weeks","2008","no migration background","higher education","","","","","3"
"Yes, every 2 weeks","2008","indirect migration background","in school","","","","","3"
"Yes, every 2 weeks","2008","indirect migration background","inadequately","","","","","3"
"Yes, every 2 weeks","2008","indirect migration background","general elemantary","","","","","3"
"Yes, every 2 weeks","2008","indirect migration background","middle vocational","","","","","3"
"Yes, every 2 weeks","2008","indirect migration background","vocational + Abi","","","","","3"
"Yes, every 2 weeks","2008","indirect migration background","higher vocational","","","","","3"
"Yes, every 2 weeks","2008","indirect migration background","higher education","","","","","3"
"Yes, every 3-4 weeks","2008","direct migration background","in school","","","","","4"
"Yes, every 3-4 weeks","2008","direct migration background","inadequately","","","","","4"
"Yes, every 3-4 weeks","2008","direct migration background","vocational + Abi","","","","","4"
"Yes, every 3-4 weeks","2008","direct migration background","higher vocational","","","","","4"
"Yes, every 3-4 weeks","2008","direct migration background","higher education","","","","","4"
"Yes, every 3-4 weeks","2008","indirect migration background","in school","","","","","4"
"Yes, every 3-4 weeks","2008","indirect migration background","inadequately","","","","","4"
"Yes, every 3-4 weeks","2008","indirect migration background","general elemantary","","","","","4"
"Yes, every 3-4 weeks","2008","indirect migration background","middle vocational","","","","","4"
"Yes, every 3-4 weeks","2008","indirect migration background","vocational + Abi","","","","","4"
"Yes, every 3-4 weeks","2008","indirect migration background","higher vocational","","","","","4"
"Yes, every 3-4 weeks","2008","indirect migration background","higher education","","","","","4"
"Yes, every 3-4 weeks","2008","no migration background","vocational + Abi","","","","","4"
"Yes, every 3-4 weeks","2008","no migration background","higher vocational","","","","","4"
"Yes, every 3-4 weeks","2008","no migration background","higher education","","","","","4"
"Yes, every 3-4 weeks","2008","direct migration background","general elemantary","","","","","4"
"Yes, every 3-4 weeks","2008","direct migration background","middle vocational","","","","","4"
"Yes, every 3-4 weeks","2008","no migration background","middle vocational","","","","","4"
