"plb0219","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Yes, every 2 weeks","2006","Not Employed","indirect migration background","","","",""
"Yes, every 2 weeks","2006","Employed","no migration background","","","",""
"Yes, every 2 weeks","2006","Employed","direct migration background","","","",""
"Yes, every 2 weeks","2006","Employed","indirect migration background","","","",""
"Yes, every 3-4 weeks","2006","Not Employed","no migration background","","","",""
"Yes, every 3-4 weeks","2006","Not Employed","direct migration background","","","",""
"Yes, every 3-4 weeks","2006","Not Employed","indirect migration background","","","",""
"Yes, every 3-4 weeks","2006","Employed","no migration background","","","",""
"Yes, every 3-4 weeks","2006","Employed","direct migration background","","","",""
"Yes, every 3-4 weeks","2006","Employed","indirect migration background","","","",""
"Rarely","2006","Not Employed","no migration background","","","",""
"Rarely","2006","Not Employed","direct migration background","","","",""
"Rarely","2006","Not Employed","indirect migration background","","","",""
"Rarely","2006","Employed","no migration background","","","",""
"Rarely","2006","Employed","direct migration background","","","",""
"Rarely","2006","Employed","indirect migration background","","","",""
"No, never","2007","Not Employed","no migration background","128","0.688252134274409","0.61942669455462","0.757077573994198"
"No, never","2007","Not Employed","direct migration background","15","","",""
"No, never","2007","Not Employed","indirect migration background","12","","",""
"No, never","2007","Employed","no migration background","5591","0.58579461757114","0.575833607696878","0.595755627445402"
"No, never","2007","Employed","direct migration background","709","0.67804788566422","0.649651880585589","0.706443890742852"
"No, never","2007","Employed","indirect migration background","328","0.705764654122364","0.664301104920881","0.747228203323846"
"Yes, every week","2007","Not Employed","no migration background","13","","",""
"Yes, every week","2007","Not Employed","direct migration background","1","","",""
"Yes, every week","2007","Not Employed","indirect migration background","","","",""
"Yes, every week","2007","Employed","no migration background","643","0.0670622218956344","0.0620041136165455","0.0721203301747233"
"Yes, every week","2007","Employed","direct migration background","47","0.0385062004616758","0.0268120144110853","0.0502003865122662"
"Yes, every week","2007","Employed","indirect migration background","23","","",""
"Yes, every 2 weeks","2007","Not Employed","no migration background","11","","",""
"Yes, every 2 weeks","2007","Not Employed","direct migration background","","","",""
"Yes, every 2 weeks","2007","Not Employed","indirect migration background","1","","",""
"Yes, every 2 weeks","2007","Employed","no migration background","818","0.0940594454578362","0.088156430675956","0.0999624602397164"
"Yes, every 2 weeks","2007","Employed","direct migration background","89","0.0974529558099216","0.0794284297744652","0.115477481845378"
"Yes, every 2 weeks","2007","Employed","indirect migration background","28","","",""
"Yes, every 3-4 weeks","2007","Not Employed","no migration background","5","","",""
"Yes, every 3-4 weeks","2007","Not Employed","direct migration background","","","",""
"Yes, every 3-4 weeks","2007","Not Employed","indirect migration background","","","",""
"Yes, every 3-4 weeks","2007","Employed","no migration background","498","0.0564335203369066","0.0517671668294925","0.0610998738443208"
"Yes, every 3-4 weeks","2007","Employed","direct migration background","66","0.0521055390864849","0.0385987113547459","0.0656123668182239"
"Yes, every 3-4 weeks","2007","Employed","indirect migration background","25","","",""
"Rarely","2007","Not Employed","no migration background","17","","",""
"Rarely","2007","Not Employed","direct migration background","","","",""
"Rarely","2007","Not Employed","indirect migration background","3","","",""
"Rarely","2007","Employed","no migration background","1844","0.196650194738483","0.188612669495864","0.204687719981101"
"Rarely","2007","Employed","direct migration background","129","0.133887418977698","0.113191320619652","0.154583517335743"
"Rarely","2007","Employed","indirect migration background","60","0.136321293831671","0.105100276055063","0.167542311608278"
"No, never","2008","Not Employed","no migration background","","","",""
"No, never","2008","Not Employed","direct migration background","","","",""
"No, never","2008","Not Employed","indirect migration background","","","",""
"No, never","2008","Employed","no migration background","","","",""
"No, never","2008","Employed","direct migration background","","","",""
"No, never","2008","Employed","indirect migration background","","","",""
"Yes, every week","2008","Not Employed","no migration background","","","",""
"Yes, every week","2008","Not Employed","direct migration background","","","",""
"Yes, every week","2008","Not Employed","indirect migration background","","","",""
"Yes, every week","2008","Employed","no migration background","","","",""
"Yes, every week","2008","Employed","direct migration background","","","",""
"Yes, every week","2008","Employed","indirect migration background","","","",""
"Yes, every 2 weeks","2008","Not Employed","no migration background","","","",""
"Yes, every 2 weeks","2008","Not Employed","direct migration background","","","",""
"Yes, every 2 weeks","2008","Not Employed","indirect migration background","","","",""
"Yes, every 2 weeks","2008","Employed","no migration background","","","",""
"Yes, every 2 weeks","2008","Employed","direct migration background","","","",""
"Yes, every 2 weeks","2008","Employed","indirect migration background","","","",""
"Yes, every 3-4 weeks","2008","Not Employed","no migration background","","","",""
"Yes, every 3-4 weeks","2008","Not Employed","direct migration background","","","",""
"Yes, every 3-4 weeks","2008","Not Employed","indirect migration background","","","",""
"Yes, every 3-4 weeks","2008","Employed","no migration background","","","",""
"Yes, every 3-4 weeks","2008","Employed","direct migration background","","","",""
"Yes, every 3-4 weeks","2008","Employed","indirect migration background","","","",""
"Rarely","2008","Not Employed","no migration background","","","",""
"Rarely","2008","Not Employed","direct migration background","","","",""
"Rarely","2008","Not Employed","indirect migration background","","","",""
"Rarely","2008","Employed","no migration background","","","",""
"Rarely","2008","Employed","direct migration background","","","",""
"Rarely","2008","Employed","indirect migration background","","","",""
"No, never","2009","Not Employed","no migration background","76","0.631186188037426","0.541021999119257","0.721350376955594"
"No, never","2009","Not Employed","direct migration background","12","","",""
"No, never","2009","Not Employed","indirect migration background","5","","",""
"No, never","2009","Employed","no migration background","4941","0.575649398105134","0.565095702231016","0.586203093979251"
"No, never","2009","Employed","direct migration background","553","0.641626519814413","0.609179396771547","0.674073642857279"
"No, never","2009","Employed","indirect migration background","288","0.647286121188047","0.60238441077998","0.692187831596115"
"Yes, every week","2009","Not Employed","no migration background","5","","",""
"Yes, every week","2009","Not Employed","direct migration background","1","","",""
"Yes, every week","2009","Not Employed","indirect migration background","2","","",""
"Yes, every week","2009","Employed","no migration background","598","0.0715337007539392","0.0660306748721826","0.0770367266356957"
"Yes, every week","2009","Employed","direct migration background","57","0.0806790596648228","0.0622509367299725","0.0991071825996731"
"Yes, every week","2009","Employed","indirect migration background","28","","",""
"Yes, every 2 weeks","2009","Not Employed","no migration background","11","","",""
"Yes, every 2 weeks","2009","Not Employed","direct migration background","1","","",""
"Yes, every 2 weeks","2009","Not Employed","indirect migration background","","","",""
"Yes, every 2 weeks","2009","Employed","no migration background","734","0.0857284693762333","0.079750368083985","0.0917065706684815"
"Yes, every 2 weeks","2009","Employed","direct migration background","68","0.0828014622190517","0.0641540835284399","0.101448840909664"
"Yes, every 2 weeks","2009","Employed","indirect migration background","36","0.0703084799325344","0.0462827411089544","0.0943342187561145"
"Yes, every 3-4 weeks","2009","Not Employed","no migration background","7","","",""
"Yes, every 3-4 weeks","2009","Not Employed","direct migration background","1","","",""
"Yes, every 3-4 weeks","2009","Not Employed","indirect migration background","1","","",""
"Yes, every 3-4 weeks","2009","Employed","no migration background","470","0.0574118794522741","0.0524445267311631","0.062379232173385"
"Yes, every 3-4 weeks","2009","Employed","direct migration background","47","0.0588759621255459","0.042948024279821","0.0748038999712708"
"Yes, every 3-4 weeks","2009","Employed","indirect migration background","25","","",""
"Rarely","2009","Not Employed","no migration background","11","","",""
"Rarely","2009","Not Employed","direct migration background","1","","",""
"Rarely","2009","Not Employed","indirect migration background","1","","",""
"Rarely","2009","Employed","no migration background","1682","0.20967655231242","0.200984136298761","0.218368968326079"
"Rarely","2009","Employed","direct migration background","114","0.136016996176167","0.112820825266204","0.15921316708613"
"Rarely","2009","Employed","indirect migration background","58","0.143056690548283","0.110153834629351","0.175959546467214"
"No, never","2010","Not Employed","no migration background","118","0.694186995330734","0.624721209927474","0.763652780733994"
"No, never","2010","Not Employed","direct migration background","26","","",""
"No, never","2010","Not Employed","indirect migration background","10","","",""
"No, never","2010","Employed","no migration background","1896","0.579781225343971","0.563138524947283","0.59642392574066"
"No, never","2010","Employed","direct migration background","366","0.543685301889527","0.506275917615232","0.581094686163821"
"No, never","2010","Employed","indirect migration background","131","0.541659331669795","0.479012045012027","0.604306618327563"
"Yes, every week","2010","Not Employed","no migration background","7","","",""
"Yes, every week","2010","Not Employed","direct migration background","3","","",""
"Yes, every week","2010","Not Employed","indirect migration background","1","","",""
"Yes, every week","2010","Employed","no migration background","226","0.0623817291180578","0.0542272592891055","0.0705361989470101"
"Yes, every week","2010","Employed","direct migration background","61","0.074336862003098","0.0546351878535438","0.0940385361526521"
"Yes, every week","2010","Employed","indirect migration background","21","","",""
"Yes, every 2 weeks","2010","Not Employed","no migration background","18","","",""
"Yes, every 2 weeks","2010","Not Employed","direct migration background","","","",""
"Yes, every 2 weeks","2010","Not Employed","indirect migration background","2","","",""
"Yes, every 2 weeks","2010","Employed","no migration background","368","0.107898323706495","0.0974374364455337","0.118359210967456"
"Yes, every 2 weeks","2010","Employed","direct migration background","86","0.123082346764039","0.0984076499175239","0.147757043610554"
"Yes, every 2 weeks","2010","Employed","indirect migration background","37","0.137615485110457","0.094301406364776","0.180929563856137"
"Yes, every 3-4 weeks","2010","Not Employed","no migration background","5","","",""
"Yes, every 3-4 weeks","2010","Not Employed","direct migration background","2","","",""
"Yes, every 3-4 weeks","2010","Not Employed","indirect migration background","","","",""
"Yes, every 3-4 weeks","2010","Employed","no migration background","221","0.0593285037403327","0.0513631570128683","0.0672938504677972"
"Yes, every 3-4 weeks","2010","Employed","direct migration background","51","0.0874691478416017","0.0662501063940109","0.108688189289193"
"Yes, every 3-4 weeks","2010","Employed","indirect migration background","16","","",""
"Rarely","2010","Not Employed","no migration background","21","","",""
"Rarely","2010","Not Employed","direct migration background","3","","",""
"Rarely","2010","Not Employed","indirect migration background","2","","",""
"Rarely","2010","Employed","no migration background","668","0.190610218091143","0.177366621513185","0.203853814669102"
"Rarely","2010","Employed","direct migration background","117","0.171426341501734","0.143120317237803","0.199732365765666"
"Rarely","2010","Employed","indirect migration background","38","0.164270935204036","0.117684650964928","0.210857219443145"
"No, never","2011","Not Employed","no migration background","230","0.737185177499789","0.689108618077243","0.785261736922335"
"No, never","2011","Not Employed","direct migration background","56","0.871494706209733","0.793653097482493","0.949336314936974"
"No, never","2011","Not Employed","indirect migration background","19","","",""
"No, never","2011","Employed","no migration background","8062","0.591738092580928","0.583474126317247","0.60000205884461"
"No, never","2011","Employed","direct migration background","1093","0.669053851096234","0.646525973011887","0.691581729180582"
"No, never","2011","Employed","indirect migration background","460","0.597771002751295","0.563359400072117","0.632182605430472"
"Yes, every week","2011","Not Employed","no migration background","19","","",""
"Yes, every week","2011","Not Employed","direct migration background","4","","",""
"Yes, every week","2011","Not Employed","indirect migration background","3","","",""
"Yes, every week","2011","Employed","no migration background","984","0.0719604763715358","0.0676155282758826","0.0763054244671891"
"Yes, every week","2011","Employed","direct migration background","127","0.0743412899356229","0.0617823906949155","0.0869001891763302"
"Yes, every week","2011","Employed","indirect migration background","54","0.0587492077026387","0.042246527867997","0.0752518875372804"
"Yes, every 2 weeks","2011","Not Employed","no migration background","26","","",""
"Yes, every 2 weeks","2011","Not Employed","direct migration background","4","","",""
"Yes, every 2 weeks","2011","Not Employed","indirect migration background","2","","",""
"Yes, every 2 weeks","2011","Employed","no migration background","1325","0.0935534112593133","0.0886572550521432","0.0984495674664833"
"Yes, every 2 weeks","2011","Employed","direct migration background","167","0.100015076441354","0.0856515381465536","0.114378614736154"
"Yes, every 2 weeks","2011","Employed","indirect migration background","87","0.129374132467849","0.105821454274511","0.152926810661187"
"Yes, every 3-4 weeks","2011","Not Employed","no migration background","14","","",""
"Yes, every 3-4 weeks","2011","Not Employed","direct migration background","3","","",""
"Yes, every 3-4 weeks","2011","Not Employed","indirect migration background","4","","",""
"Yes, every 3-4 weeks","2011","Employed","no migration background","798","0.0524125926317506","0.0486656089345152","0.0561595763289859"
"Yes, every 3-4 weeks","2011","Employed","direct migration background","88","0.0489415703800833","0.0386126808233677","0.0592704599367989"
"Yes, every 3-4 weeks","2011","Employed","indirect migration background","55","0.0813307694759471","0.0621481542515591","0.100513384700335"
"Rarely","2011","Not Employed","no migration background","33","0.107885939729846","0.074000527634042","0.141771351825649"
"Rarely","2011","Not Employed","direct migration background","4","","",""
"Rarely","2011","Not Employed","indirect migration background","2","","",""
"Rarely","2011","Employed","no migration background","2420","0.190335427156472","0.183735080803336","0.196935773509607"
"Rarely","2011","Employed","direct migration background","201","0.107648212146706","0.0928099669423683","0.122486457351043"
"Rarely","2011","Employed","indirect migration background","124","0.132774887602271","0.108961307939405","0.156588467265136"
"No, never","2012","Not Employed","no migration background","128","0.737270856222532","0.6718763709767","0.802665341468364"
"No, never","2012","Not Employed","direct migration background","22","","",""
"No, never","2012","Not Employed","indirect migration background","15","","",""
"No, never","2012","Employed","no migration background","2411","0.618875474784241","0.603735687675517","0.634015261892966"
"No, never","2012","Employed","direct migration background","428","0.651033918732206","0.615287613834252","0.686780223630159"
"No, never","2012","Employed","indirect migration background","167","0.621098908340819","0.565457261361639","0.676740555319999"
"Yes, every week","2012","Not Employed","no migration background","13","","",""
"Yes, every week","2012","Not Employed","direct migration background","2","","",""
"Yes, every week","2012","Not Employed","indirect migration background","","","",""
"Yes, every week","2012","Employed","no migration background","312","0.0733397158440728","0.065213009437353","0.0814664222507926"
"Yes, every week","2012","Employed","direct migration background","50","0.0694966332761506","0.0504254079847717","0.0885678585675296"
"Yes, every week","2012","Employed","indirect migration background","18","","",""
"Yes, every 2 weeks","2012","Not Employed","no migration background","15","","",""
"Yes, every 2 weeks","2012","Not Employed","direct migration background","2","","",""
"Yes, every 2 weeks","2012","Not Employed","indirect migration background","2","","",""
"Yes, every 2 weeks","2012","Employed","no migration background","387","0.0902632997885745","0.0813302831169335","0.0991963164602154"
"Yes, every 2 weeks","2012","Employed","direct migration background","74","0.121700221033155","0.0971811049700997","0.14621933709621"
"Yes, every 2 weeks","2012","Employed","indirect migration background","46","0.147970163405606","0.107244220917282","0.188696105893931"
"Yes, every 3-4 weeks","2012","Not Employed","no migration background","4","","",""
"Yes, every 3-4 weeks","2012","Not Employed","direct migration background","3","","",""
"Yes, every 3-4 weeks","2012","Not Employed","indirect migration background","","","",""
"Yes, every 3-4 weeks","2012","Employed","no migration background","229","0.0582253859972609","0.0509255288425911","0.0655252431519306"
"Yes, every 3-4 weeks","2012","Employed","direct migration background","48","0.0656119757644207","0.04704278709308","0.0841811644357614"
"Yes, every 3-4 weeks","2012","Employed","indirect migration background","17","","",""
"Rarely","2012","Not Employed","no migration background","14","","",""
"Rarely","2012","Not Employed","direct migration background","6","","",""
"Rarely","2012","Not Employed","indirect migration background","1","","",""
"Rarely","2012","Employed","no migration background","614","0.159296123585851","0.147888141971686","0.170704105200015"
"Rarely","2012","Employed","direct migration background","83","0.092157251194068","0.070464840911304","0.113849661476832"
"Rarely","2012","Employed","indirect migration background","44","0.121440802932762","0.083975910067922","0.158905695797603"
"No, never","2013","Not Employed","no migration background","202","0.610976809181915","0.556793190610123","0.665160427753707"
"No, never","2013","Not Employed","direct migration background","37","0.586049174380021","0.445236882286825","0.726861466473217"
"No, never","2013","Not Employed","indirect migration background","11","","",""
"No, never","2013","Employed","no migration background","7627","0.590903569837301","0.5823346617696","0.599472477905001"
"No, never","2013","Employed","direct migration background","954","0.635627587938791","0.61132986487194","0.659925311005642"
"No, never","2013","Employed","indirect migration background","481","0.646856387455494","0.613207024010402","0.680505750900587"
"Yes, every week","2013","Not Employed","no migration background","21","","",""
"Yes, every week","2013","Not Employed","direct migration background","4","","",""
"Yes, every week","2013","Not Employed","indirect migration background","2","","",""
"Yes, every week","2013","Employed","no migration background","812","0.0597091124513856","0.0555795336935959","0.0638386912091753"
"Yes, every week","2013","Employed","direct migration background","106","0.0729602648712013","0.0598296869716862","0.0860908427707165"
"Yes, every week","2013","Employed","indirect migration background","63","0.0659975112405723","0.0485177685306535","0.0834772539504912"
"Yes, every 2 weeks","2013","Not Employed","no migration background","28","","",""
"Yes, every 2 weeks","2013","Not Employed","direct migration background","1","","",""
"Yes, every 2 weeks","2013","Not Employed","indirect migration background","6","","",""
"Yes, every 2 weeks","2013","Employed","no migration background","1199","0.0959475986228166","0.0908146349739812","0.101080562271652"
"Yes, every 2 weeks","2013","Employed","direct migration background","179","0.111670465406557","0.0957686144481088","0.127572316365004"
"Yes, every 2 weeks","2013","Employed","indirect migration background","87","0.105497855631665","0.0838701849105293","0.1271255263528"
"Yes, every 3-4 weeks","2013","Not Employed","no migration background","22","","",""
"Yes, every 3-4 weeks","2013","Not Employed","direct migration background","2","","",""
"Yes, every 3-4 weeks","2013","Not Employed","indirect migration background","1","","",""
"Yes, every 3-4 weeks","2013","Employed","no migration background","663","0.0538011787413415","0.0498689259581498","0.0577334315245332"
"Yes, every 3-4 weeks","2013","Employed","direct migration background","75","0.0499248660664321","0.0389290138359184","0.0609207182969458"
"Yes, every 3-4 weeks","2013","Employed","indirect migration background","39","0.0553116836584675","0.0392182041627493","0.0714051631541857"
"Rarely","2013","Not Employed","no migration background","38","0.182025721520034","0.139140851237412","0.224910591802656"
"Rarely","2013","Not Employed","direct migration background","3","","",""
"Rarely","2013","Not Employed","indirect migration background","2","","",""
"Rarely","2013","Employed","no migration background","2346","0.199638540347156","0.192671960670851","0.20660512002346"
"Rarely","2013","Employed","direct migration background","193","0.129816815717019","0.112847579930622","0.146786051503416"
"Rarely","2013","Employed","indirect migration background","105","0.126336562013801","0.102946366739768","0.149726757287834"
"No, never","2014","Not Employed","no migration background","","","",""
"No, never","2014","Not Employed","direct migration background","","","",""
"No, never","2014","Not Employed","indirect migration background","","","",""
"No, never","2014","Employed","no migration background","","","",""
"No, never","2014","Employed","direct migration background","","","",""
"No, never","2014","Employed","indirect migration background","","","",""
"Yes, every week","2014","Not Employed","no migration background","","","",""
"Yes, every week","2014","Not Employed","direct migration background","","","",""
"Yes, every week","2014","Not Employed","indirect migration background","","","",""
"Yes, every week","2014","Employed","no migration background","","","",""
"Yes, every week","2014","Employed","direct migration background","","","",""
"Yes, every week","2014","Employed","indirect migration background","","","",""
"Yes, every 2 weeks","2014","Not Employed","no migration background","","","",""
"Yes, every 2 weeks","2014","Not Employed","direct migration background","","","",""
"Yes, every 2 weeks","2014","Not Employed","indirect migration background","","","",""
"Yes, every 2 weeks","2014","Employed","no migration background","","","",""
"Yes, every 2 weeks","2014","Employed","direct migration background","","","",""
"Yes, every 2 weeks","2014","Employed","indirect migration background","","","",""
"Yes, every 3-4 weeks","2014","Not Employed","no migration background","","","",""
"Yes, every 3-4 weeks","2014","Not Employed","direct migration background","","","",""
"Yes, every 3-4 weeks","2014","Not Employed","indirect migration background","","","",""
"Yes, every 3-4 weeks","2014","Employed","no migration background","","","",""
"Yes, every 3-4 weeks","2014","Employed","direct migration background","","","",""
"Yes, every 3-4 weeks","2014","Employed","indirect migration background","","","",""
"Rarely","2014","Not Employed","no migration background","","","",""
"Rarely","2014","Not Employed","direct migration background","","","",""
"Rarely","2014","Not Employed","indirect migration background","","","",""
"Rarely","2014","Employed","no migration background","","","",""
"Rarely","2014","Employed","direct migration background","","","",""
"Rarely","2014","Employed","indirect migration background","","","",""
"No, never","2015","Not Employed","no migration background","152","0.661462730286742","0.599354151326461","0.723571309247022"
"No, never","2015","Not Employed","direct migration background","61","0.675319286792224","0.579635798557896","0.771002775026552"
"No, never","2015","Not Employed","indirect migration background","33","0.735119281562904","0.612807816360785","0.857430746765022"
"No, never","2015","Employed","no migration background","6625","0.591763377912595","0.582610302586492","0.600916453238698"
"No, never","2015","Employed","direct migration background","1686","0.603130155306352","0.584424842182009","0.621835468430695"
"No, never","2015","Employed","indirect migration background","641","0.593628972277468","0.563575592212703","0.623682352342234"
"Yes, every week","2015","Not Employed","no migration background","18","","",""
"Yes, every week","2015","Not Employed","direct migration background","9","","",""
"Yes, every week","2015","Not Employed","indirect migration background","4","","",""
"Yes, every week","2015","Employed","no migration background","717","0.0601725572874024","0.0557440199686686","0.0646010946061361"
"Yes, every week","2015","Employed","direct migration background","198","0.0867084430356063","0.0759494698297874","0.0974674162414252"
"Yes, every week","2015","Employed","indirect migration background","74","0.068188876461476","0.0527649437021023","0.0836128092208497"
"Yes, every 2 weeks","2015","Not Employed","no migration background","22","","",""
"Yes, every 2 weeks","2015","Not Employed","direct migration background","8","","",""
"Yes, every 2 weeks","2015","Not Employed","indirect migration background","6","","",""
"Yes, every 2 weeks","2015","Employed","no migration background","1065","0.0958383649241878","0.0903564820940537","0.101320247754322"
"Yes, every 2 weeks","2015","Employed","direct migration background","288","0.113063147414638","0.100955987010488","0.125170307818787"
"Yes, every 2 weeks","2015","Employed","indirect migration background","124","0.146987690316931","0.125321001660121","0.168654378973742"
"Yes, every 3-4 weeks","2015","Not Employed","no migration background","10","","",""
"Yes, every 3-4 weeks","2015","Not Employed","direct migration background","6","","",""
"Yes, every 3-4 weeks","2015","Not Employed","indirect migration background","2","","",""
"Yes, every 3-4 weeks","2015","Employed","no migration background","599","0.0569631013508255","0.0526469350527168","0.0612792676489341"
"Yes, every 3-4 weeks","2015","Employed","direct migration background","146","0.0668015607687549","0.0572556863377694","0.0763474351997405"
"Yes, every 3-4 weeks","2015","Employed","indirect migration background","46","0.047969433082947","0.0348932151572268","0.0610456510086671"
"Rarely","2015","Not Employed","no migration background","21","","",""
"Rarely","2015","Not Employed","direct migration background","8","","",""
"Rarely","2015","Not Employed","indirect migration background","5","","",""
"Rarely","2015","Employed","no migration background","2071","0.195262598524989","0.187880605362444","0.202644591687534"
"Rarely","2015","Employed","direct migration background","310","0.130296693474649","0.117426423157282","0.143166963792016"
"Rarely","2015","Employed","indirect migration background","141","0.143225027861177","0.121790335531382","0.164659720190973"
"No, never","2016","Not Employed","no migration background","","","",""
"No, never","2016","Not Employed","direct migration background","","","",""
"No, never","2016","Not Employed","indirect migration background","","","",""
"No, never","2016","Employed","no migration background","","","",""
"No, never","2016","Employed","direct migration background","","","",""
"No, never","2016","Employed","indirect migration background","","","",""
"Yes, every week","2016","Not Employed","no migration background","","","",""
"Yes, every week","2016","Not Employed","direct migration background","","","",""
"Yes, every week","2016","Not Employed","indirect migration background","","","",""
"Yes, every week","2016","Employed","no migration background","","","",""
"Yes, every week","2016","Employed","direct migration background","","","",""
"Yes, every week","2016","Employed","indirect migration background","","","",""
"Yes, every 2 weeks","2016","Not Employed","no migration background","","","",""
"Yes, every 2 weeks","2016","Not Employed","direct migration background","","","",""
"Yes, every 2 weeks","2016","Not Employed","indirect migration background","","","",""
"Yes, every 2 weeks","2016","Employed","no migration background","","","",""
"Yes, every 2 weeks","2016","Employed","direct migration background","","","",""
"Yes, every 2 weeks","2016","Employed","indirect migration background","","","",""
"Yes, every 3-4 weeks","2016","Not Employed","no migration background","","","",""
"Yes, every 3-4 weeks","2016","Not Employed","direct migration background","","","",""
"Yes, every 3-4 weeks","2016","Not Employed","indirect migration background","","","",""
"Yes, every 3-4 weeks","2016","Employed","no migration background","","","",""
"Yes, every 3-4 weeks","2016","Employed","direct migration background","","","",""
"Yes, every 3-4 weeks","2016","Employed","indirect migration background","","","",""
"Rarely","2016","Not Employed","no migration background","","","",""
"Rarely","2016","Not Employed","direct migration background","","","",""
"Rarely","2016","Not Employed","indirect migration background","","","",""
"Rarely","2016","Employed","no migration background","","","",""
"Rarely","2016","Employed","direct migration background","","","",""
"Rarely","2016","Employed","indirect migration background","","","",""
"No, never","2017","Not Employed","no migration background","186","0.766062399329151","0.714103482408489","0.818021316249813"
"No, never","2017","Not Employed","direct migration background","79","0.881025417250077","0.817250220394755","0.944800614105398"
"No, never","2017","Not Employed","indirect migration background","28","","",""
"No, never","2017","Employed","no migration background","7564","0.616606629437478","0.607987059862856","0.625226199012101"
"No, never","2017","Employed","direct migration background","1900","0.638025393193233","0.620372642333522","0.655678144052945"
"No, never","2017","Employed","indirect migration background","711","0.65611951282571","0.628226158789469","0.68401286686195"
"Yes, every week","2017","Not Employed","no migration background","19","","",""
"Yes, every week","2017","Not Employed","direct migration background","3","","",""
"Yes, every week","2017","Not Employed","indirect migration background","3","","",""
"Yes, every week","2017","Employed","no migration background","823","0.0620677772839234","0.0577903955563376","0.0663451590115092"
"Yes, every week","2017","Employed","direct migration background","188","0.0792162970567427","0.0692956399697625","0.0891369541437228"
"Yes, every week","2017","Employed","indirect migration background","88","0.0729566419945814","0.0576849225491897","0.088228361439973"
"Yes, every 2 weeks","2017","Not Employed","no migration background","21","","",""
"Yes, every 2 weeks","2017","Not Employed","direct migration background","6","","",""
"Yes, every 2 weeks","2017","Not Employed","indirect migration background","3","","",""
"Yes, every 2 weeks","2017","Employed","no migration background","1149","0.0939577209946534","0.0887852310613993","0.0991302109279075"
"Yes, every 2 weeks","2017","Employed","direct migration background","324","0.106521288688694","0.0951890772793871","0.117853500098001"
