"plb0219","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes, every 2 weeks","2005","college entrance qualification","(3b) higher tertiary education","119","0.086307308410119","0.0724694553891573","0.100145161431081"
"Yes, every 2 weeks","2005","Other degree","(0) in school","","","",""
"Yes, every 2 weeks","2005","Other degree","(1a) inadequately completed","","","",""
"Yes, every 2 weeks","2005","Other degree","(1b) general elementary school","9","","",""
"Yes, every 2 weeks","2005","Other degree","(1c) basic vocational qualification","12","","",""
"Yes, every 2 weeks","2005","Other degree","(2b) intermediate general qualification","","","",""
"Yes, every 2 weeks","2005","Other degree","(2a) intermediate vocational","","","",""
"Yes, every 2 weeks","2005","Other degree","(2c_gen) general maturity certificate","3","","",""
"Yes, every 2 weeks","2005","Other degree","(2c_voc) vocational maturity certificate","12","","",""
"Yes, every 2 weeks","2005","Other degree","(3a) lower tertiary education","1","","",""
"Yes, every 2 weeks","2005","Other degree","(3b) higher tertiary education","8","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","(0) in school","4","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","(1a) inadequately completed","5","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Yes, every 3-4 weeks","2005","lower secondary degree","(0) in school","","","",""
"Yes, every 3-4 weeks","2005","lower secondary degree","(1a) inadequately completed","","","",""
"Yes, every 3-4 weeks","2005","lower secondary degree","(1b) general elementary school","20","","",""
"Yes, every 3-4 weeks","2005","lower secondary degree","(1c) basic vocational qualification","100","0.0537584898652103","0.0443616481331536","0.0631553315972671"
"Yes, every 3-4 weeks","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes, every 3-4 weeks","2005","lower secondary degree","(2a) intermediate vocational","1","","",""
"Yes, every 3-4 weeks","2005","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes, every 3-4 weeks","2005","lower secondary degree","(2c_voc) vocational maturity certificate","2","","",""
"Yes, every 3-4 weeks","2005","lower secondary degree","(3a) lower tertiary education","2","","",""
"Yes, every 3-4 weeks","2005","lower secondary degree","(3b) higher tertiary education","3","","",""
"Yes, every 3-4 weeks","2005","secondary school degree","(0) in school","","","",""
"Yes, every 3-4 weeks","2005","secondary school degree","(1a) inadequately completed","","","",""
"Yes, every 3-4 weeks","2005","secondary school degree","(1b) general elementary school","","","",""
"Yes, every 3-4 weeks","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes, every 3-4 weeks","2005","secondary school degree","(2b) intermediate general qualification","12","","",""
"Yes, every 3-4 weeks","2005","secondary school degree","(2a) intermediate vocational","162","0.0623761165583762","0.0538848423933494","0.0708673907234029"
"Yes, every 3-4 weeks","2005","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes, every 3-4 weeks","2005","secondary school degree","(2c_voc) vocational maturity certificate","2","","",""
"Yes, every 3-4 weeks","2005","secondary school degree","(3a) lower tertiary education","19","","",""
"Yes, every 3-4 weeks","2005","secondary school degree","(3b) higher tertiary education","1","","",""
"Yes, every 3-4 weeks","2005","college entrance qualification","(0) in school","","","",""
"Yes, every 3-4 weeks","2005","college entrance qualification","(1a) inadequately completed","","","",""
"Yes, every 3-4 weeks","2005","college entrance qualification","(1b) general elementary school","","","",""
"Yes, every 3-4 weeks","2005","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes, every 3-4 weeks","2005","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes, every 3-4 weeks","2005","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes, every 3-4 weeks","2005","college entrance qualification","(2c_gen) general maturity certificate","20","","",""
"Yes, every 3-4 weeks","2005","college entrance qualification","(2c_voc) vocational maturity certificate","42","0.0455072995123076","0.0318071896920402","0.059207409332575"
"Yes, every 3-4 weeks","2005","college entrance qualification","(3a) lower tertiary education","23","","",""
"Yes, every 3-4 weeks","2005","college entrance qualification","(3b) higher tertiary education","111","0.0743402193159697","0.0614136741609268","0.0872667644710127"
"Yes, every 3-4 weeks","2005","Other degree","(0) in school","","","",""
"Yes, every 3-4 weeks","2005","Other degree","(1a) inadequately completed","","","",""
"Yes, every 3-4 weeks","2005","Other degree","(1b) general elementary school","6","","",""
"Yes, every 3-4 weeks","2005","Other degree","(1c) basic vocational qualification","10","","",""
"Yes, every 3-4 weeks","2005","Other degree","(2b) intermediate general qualification","","","",""
"Yes, every 3-4 weeks","2005","Other degree","(2a) intermediate vocational","","","",""
"Yes, every 3-4 weeks","2005","Other degree","(2c_gen) general maturity certificate","4","","",""
"Yes, every 3-4 weeks","2005","Other degree","(2c_voc) vocational maturity certificate","4","","",""
"Yes, every 3-4 weeks","2005","Other degree","(3a) lower tertiary education","1","","",""
"Yes, every 3-4 weeks","2005","Other degree","(3b) higher tertiary education","5","","",""
"Yes, every 3-4 weeks","2005","no degree/no degree yet","(0) in school","3","","",""
"Yes, every 3-4 weeks","2005","no degree/no degree yet","(1a) inadequately completed","3","","",""
"Yes, every 3-4 weeks","2005","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes, every 3-4 weeks","2005","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes, every 3-4 weeks","2005","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes, every 3-4 weeks","2005","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes, every 3-4 weeks","2005","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes, every 3-4 weeks","2005","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 3-4 weeks","2005","no degree/no degree yet","(3a) lower tertiary education","1","","",""
"Yes, every 3-4 weeks","2005","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Rarely","2005","lower secondary degree","(0) in school","","","",""
"Rarely","2005","lower secondary degree","(1a) inadequately completed","","","",""
"Rarely","2005","lower secondary degree","(1b) general elementary school","43","0.0937624224746823","0.066146366810717","0.121378478138648"
"Rarely","2005","lower secondary degree","(1c) basic vocational qualification","356","0.154210095366923","0.139163264633791","0.169256926100055"
"Rarely","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"Rarely","2005","lower secondary degree","(2a) intermediate vocational","","","",""
"Rarely","2005","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"Rarely","2005","lower secondary degree","(2c_voc) vocational maturity certificate","3","","",""
"Rarely","2005","lower secondary degree","(3a) lower tertiary education","8","","",""
"Rarely","2005","lower secondary degree","(3b) higher tertiary education","3","","",""
"Rarely","2005","secondary school degree","(0) in school","","","",""
"Rarely","2005","secondary school degree","(1a) inadequately completed","","","",""
"Rarely","2005","secondary school degree","(1b) general elementary school","","","",""
"Rarely","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"Rarely","2005","secondary school degree","(2b) intermediate general qualification","25","","",""
"Rarely","2005","secondary school degree","(2a) intermediate vocational","570","0.182812518359299","0.169241476665264","0.196383560053334"
"Rarely","2005","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Rarely","2005","secondary school degree","(2c_voc) vocational maturity certificate","1","","",""
"Rarely","2005","secondary school degree","(3a) lower tertiary education","66","0.215469813208515","0.170975017597108","0.259964608819922"
"Rarely","2005","secondary school degree","(3b) higher tertiary education","15","","",""
"Rarely","2005","college entrance qualification","(0) in school","","","",""
"Rarely","2005","college entrance qualification","(1a) inadequately completed","","","",""
"Rarely","2005","college entrance qualification","(1b) general elementary school","","","",""
"Rarely","2005","college entrance qualification","(1c) basic vocational qualification","","","",""
"Rarely","2005","college entrance qualification","(2b) intermediate general qualification","","","",""
"Rarely","2005","college entrance qualification","(2a) intermediate vocational","","","",""
"Rarely","2005","college entrance qualification","(2c_gen) general maturity certificate","39","0.118929896152542","0.0841098131859896","0.153749979119095"
"Rarely","2005","college entrance qualification","(2c_voc) vocational maturity certificate","183","0.194943867094484","0.168902422005496","0.220985312183471"
"Rarely","2005","college entrance qualification","(3a) lower tertiary education","181","0.270976521570398","0.237643527232628","0.304309515908167"
"Rarely","2005","college entrance qualification","(3b) higher tertiary education","395","0.268379627832217","0.246544159077736","0.290215096586697"
"Rarely","2005","Other degree","(0) in school","","","",""
"Rarely","2005","Other degree","(1a) inadequately completed","","","",""
"Rarely","2005","Other degree","(1b) general elementary school","9","","",""
"Rarely","2005","Other degree","(1c) basic vocational qualification","16","","",""
"Rarely","2005","Other degree","(2b) intermediate general qualification","","","",""
"Rarely","2005","Other degree","(2a) intermediate vocational","","","",""
"Rarely","2005","Other degree","(2c_gen) general maturity certificate","5","","",""
"Rarely","2005","Other degree","(2c_voc) vocational maturity certificate","8","","",""
"Rarely","2005","Other degree","(3a) lower tertiary education","1","","",""
"Rarely","2005","Other degree","(3b) higher tertiary education","13","","",""
"Rarely","2005","no degree/no degree yet","(0) in school","5","","",""
"Rarely","2005","no degree/no degree yet","(1a) inadequately completed","8","","",""
"Rarely","2005","no degree/no degree yet","(1b) general elementary school","","","",""
"Rarely","2005","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Rarely","2005","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Rarely","2005","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Rarely","2005","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Rarely","2005","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2005","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Rarely","2005","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No, never","2006","lower secondary degree","(0) in school","","","",""
"No, never","2006","lower secondary degree","(1a) inadequately completed","","","",""
"No, never","2006","lower secondary degree","(1b) general elementary school","","","",""
"No, never","2006","lower secondary degree","(1c) basic vocational qualification","","","",""
"No, never","2006","lower secondary degree","(2b) intermediate general qualification","","","",""
"No, never","2006","lower secondary degree","(2a) intermediate vocational","","","",""
"No, never","2006","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"No, never","2006","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"No, never","2006","lower secondary degree","(3a) lower tertiary education","","","",""
"No, never","2006","lower secondary degree","(3b) higher tertiary education","","","",""
"No, never","2006","secondary school degree","(0) in school","","","",""
"No, never","2006","secondary school degree","(1a) inadequately completed","","","",""
"No, never","2006","secondary school degree","(1b) general elementary school","","","",""
"No, never","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"No, never","2006","secondary school degree","(2b) intermediate general qualification","","","",""
"No, never","2006","secondary school degree","(2a) intermediate vocational","","","",""
"No, never","2006","secondary school degree","(2c_gen) general maturity certificate","","","",""
"No, never","2006","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"No, never","2006","secondary school degree","(3a) lower tertiary education","","","",""
"No, never","2006","secondary school degree","(3b) higher tertiary education","","","",""
"No, never","2006","college entrance qualification","(0) in school","","","",""
"No, never","2006","college entrance qualification","(1a) inadequately completed","","","",""
"No, never","2006","college entrance qualification","(1b) general elementary school","","","",""
"No, never","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"No, never","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"No, never","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"No, never","2006","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"No, never","2006","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"No, never","2006","college entrance qualification","(3a) lower tertiary education","","","",""
"No, never","2006","college entrance qualification","(3b) higher tertiary education","","","",""
"No, never","2006","Other degree","(0) in school","","","",""
"No, never","2006","Other degree","(1a) inadequately completed","","","",""
"No, never","2006","Other degree","(1b) general elementary school","","","",""
"No, never","2006","Other degree","(1c) basic vocational qualification","","","",""
"No, never","2006","Other degree","(2b) intermediate general qualification","","","",""
"No, never","2006","Other degree","(2a) intermediate vocational","","","",""
"No, never","2006","Other degree","(2c_gen) general maturity certificate","","","",""
"No, never","2006","Other degree","(2c_voc) vocational maturity certificate","","","",""
"No, never","2006","Other degree","(3a) lower tertiary education","","","",""
"No, never","2006","Other degree","(3b) higher tertiary education","","","",""
"No, never","2006","no degree/no degree yet","(0) in school","","","",""
"No, never","2006","no degree/no degree yet","(1a) inadequately completed","","","",""
"No, never","2006","no degree/no degree yet","(1b) general elementary school","","","",""
"No, never","2006","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No, never","2006","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No, never","2006","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No, never","2006","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No, never","2006","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No, never","2006","no degree/no degree yet","(3a) lower tertiary education","","","",""
"No, never","2006","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Yes, every week","2006","lower secondary degree","(0) in school","","","",""
"Yes, every week","2006","lower secondary degree","(1a) inadequately completed","","","",""
"Yes, every week","2006","lower secondary degree","(1b) general elementary school","","","",""
"Yes, every week","2006","lower secondary degree","(1c) basic vocational qualification","","","",""
"Yes, every week","2006","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes, every week","2006","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes, every week","2006","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes, every week","2006","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes, every week","2006","lower secondary degree","(3a) lower tertiary education","","","",""
"Yes, every week","2006","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes, every week","2006","secondary school degree","(0) in school","","","",""
"Yes, every week","2006","secondary school degree","(1a) inadequately completed","","","",""
"Yes, every week","2006","secondary school degree","(1b) general elementary school","","","",""
"Yes, every week","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes, every week","2006","secondary school degree","(2b) intermediate general qualification","","","",""
"Yes, every week","2006","secondary school degree","(2a) intermediate vocational","","","",""
"Yes, every week","2006","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes, every week","2006","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Yes, every week","2006","secondary school degree","(3a) lower tertiary education","","","",""
"Yes, every week","2006","secondary school degree","(3b) higher tertiary education","","","",""
"Yes, every week","2006","college entrance qualification","(0) in school","","","",""
"Yes, every week","2006","college entrance qualification","(1a) inadequately completed","","","",""
"Yes, every week","2006","college entrance qualification","(1b) general elementary school","","","",""
"Yes, every week","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes, every week","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes, every week","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes, every week","2006","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Yes, every week","2006","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Yes, every week","2006","college entrance qualification","(3a) lower tertiary education","","","",""
"Yes, every week","2006","college entrance qualification","(3b) higher tertiary education","","","",""
"Yes, every week","2006","Other degree","(0) in school","","","",""
"Yes, every week","2006","Other degree","(1a) inadequately completed","","","",""
"Yes, every week","2006","Other degree","(1b) general elementary school","","","",""
"Yes, every week","2006","Other degree","(1c) basic vocational qualification","","","",""
"Yes, every week","2006","Other degree","(2b) intermediate general qualification","","","",""
"Yes, every week","2006","Other degree","(2a) intermediate vocational","","","",""
"Yes, every week","2006","Other degree","(2c_gen) general maturity certificate","","","",""
"Yes, every week","2006","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Yes, every week","2006","Other degree","(3a) lower tertiary education","","","",""
"Yes, every week","2006","Other degree","(3b) higher tertiary education","","","",""
"Yes, every week","2006","no degree/no degree yet","(0) in school","","","",""
"Yes, every week","2006","no degree/no degree yet","(1a) inadequately completed","","","",""
"Yes, every week","2006","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes, every week","2006","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes, every week","2006","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes, every week","2006","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes, every week","2006","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes, every week","2006","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes, every week","2006","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes, every week","2006","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Yes, every 2 weeks","2006","lower secondary degree","(0) in school","","","",""
"Yes, every 2 weeks","2006","lower secondary degree","(1a) inadequately completed","","","",""
"Yes, every 2 weeks","2006","lower secondary degree","(1b) general elementary school","","","",""
"Yes, every 2 weeks","2006","lower secondary degree","(1c) basic vocational qualification","","","",""
"Yes, every 2 weeks","2006","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes, every 2 weeks","2006","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes, every 2 weeks","2006","lower secondary degree","(2c_gen) general maturity certificate","","","",""
