"plb0219","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"No, never","2008","35-65 y.","Rural Area","","","",""
"No, never","2008","66 and older","Urban Area","","","",""
"No, never","2008","66 and older","Rural Area","","","",""
"Yes, every week","2008","16-34 y.","Urban Area","","","",""
"Yes, every week","2008","16-34 y.","Rural Area","","","",""
"Yes, every week","2008","35-65 y.","Urban Area","","","",""
"Yes, every week","2008","35-65 y.","Rural Area","","","",""
"Yes, every week","2008","66 and older","Urban Area","","","",""
"Yes, every week","2008","66 and older","Rural Area","","","",""
"Yes, every 2 weeks","2008","16-34 y.","Urban Area","","","",""
"Yes, every 2 weeks","2008","16-34 y.","Rural Area","","","",""
"Yes, every 2 weeks","2008","35-65 y.","Urban Area","","","",""
"Yes, every 2 weeks","2008","35-65 y.","Rural Area","","","",""
"Yes, every 2 weeks","2008","66 and older","Urban Area","","","",""
"Yes, every 2 weeks","2008","66 and older","Rural Area","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","Urban Area","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","Rural Area","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","Urban Area","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","Rural Area","","","",""
"Yes, every 3-4 weeks","2008","66 and older","Urban Area","","","",""
"Yes, every 3-4 weeks","2008","66 and older","Rural Area","","","",""
"Rarely","2008","16-34 y.","Urban Area","","","",""
"Rarely","2008","16-34 y.","Rural Area","","","",""
"Rarely","2008","35-65 y.","Urban Area","","","",""
"Rarely","2008","35-65 y.","Rural Area","","","",""
"Rarely","2008","66 and older","Urban Area","","","",""
"Rarely","2008","66 and older","Rural Area","","","",""
"No, never","2009","16-34 y.","Urban Area","1045","0.627353282574499","0.604205157449899","0.650501407699098"
"No, never","2009","16-34 y.","Rural Area","517","0.565752110763114","0.532371956807918","0.599132264718311"
"No, never","2009","35-65 y.","Urban Area","2799","0.581231401559766","0.567122298692079","0.595340504427453"
"No, never","2009","35-65 y.","Rural Area","1394","0.578943470801089","0.55923568791532","0.598651253686857"
"No, never","2009","66 and older","Urban Area","82","0.628171698018804","0.547243809036828","0.709099587000781"
"No, never","2009","66 and older","Rural Area","38","0.508784969046528","0.388176144932668","0.629393793160387"
"Yes, every week","2009","16-34 y.","Urban Area","105","0.0584295903591226","0.0472002587897228","0.0696589219285224"
"Yes, every week","2009","16-34 y.","Rural Area","50","0.0717721832731954","0.0543897026437332","0.0891546639026576"
"Yes, every week","2009","35-65 y.","Urban Area","337","0.0788671198519168","0.0711590268867311","0.0865752128171025"
"Yes, every week","2009","35-65 y.","Rural Area","183","0.0673143774508139","0.0573127414753013","0.0773160134263265"
"Yes, every week","2009","66 and older","Urban Area","7","","",""
"Yes, every week","2009","66 and older","Rural Area","9","","",""
"Yes, every 2 weeks","2009","16-34 y.","Urban Area","160","0.0912024677942267","0.0774193347490887","0.104985600839365"
"Yes, every 2 weeks","2009","16-34 y.","Rural Area","89","0.105938102260663","0.0852120650394443","0.126664139481882"
"Yes, every 2 weeks","2009","35-65 y.","Urban Area","368","0.0759252393186434","0.0683502077004369","0.0835002709368499"
"Yes, every 2 weeks","2009","35-65 y.","Rural Area","221","0.0920678238616307","0.0805271776232036","0.103608470100058"
"Yes, every 2 weeks","2009","66 and older","Urban Area","10","","",""
"Yes, every 2 weeks","2009","66 and older","Rural Area","2","","",""
"Yes, every 3-4 weeks","2009","16-34 y.","Urban Area","99","0.0667095234941251","0.0547637735321722","0.0786552734560779"
"Yes, every 3-4 weeks","2009","16-34 y.","Rural Area","38","0.0428182465140317","0.0291844116154998","0.0564520814125637"
"Yes, every 3-4 weeks","2009","35-65 y.","Urban Area","247","0.055315210856641","0.048777833441256","0.061852588272026"
"Yes, every 3-4 weeks","2009","35-65 y.","Rural Area","159","0.0727472022522921","0.062380116046536","0.0831142884580482"
"Yes, every 3-4 weeks","2009","66 and older","Urban Area","3","","",""
"Yes, every 3-4 weeks","2009","66 and older","Rural Area","5","","",""
"Rarely","2009","16-34 y.","Urban Area","267","0.156305135778027","0.138919506664231","0.173690764891823"
"Rarely","2009","16-34 y.","Rural Area","153","0.213719357188995","0.186112491172338","0.241326223205652"
"Rarely","2009","35-65 y.","Urban Area","946","0.208661028413033","0.197040128525586","0.220281928300479"
"Rarely","2009","35-65 y.","Rural Area","454","0.188927125634175","0.173301889727722","0.204552361540627"
"Rarely","2009","66 and older","Urban Area","35","0.226547988144725","0.156453382122959","0.296642594166491"
"Rarely","2009","66 and older","Rural Area","12","","",""
"No, never","2010","16-34 y.","Urban Area","492","0.561022437264055","0.528252816640242","0.593792057887869"
"No, never","2010","16-34 y.","Rural Area","313","0.597224200878261","0.555780613971244","0.638667787785279"
"No, never","2010","35-65 y.","Urban Area","1093","0.564193788765904","0.542483775412361","0.585903802119448"
"No, never","2010","35-65 y.","Rural Area","648","0.61129062886695","0.582431767731804","0.640149490002097"
"No, never","2010","66 and older","Urban Area","1","","",""
"No, never","2010","66 and older","Rural Area","","","",""
"Yes, every week","2010","16-34 y.","Urban Area","63","0.0631505693121198","0.0470891592380091","0.0792119793862305"
"Yes, every week","2010","16-34 y.","Rural Area","45","0.0791291360980885","0.0563191756906352","0.101939096505542"
"Yes, every week","2010","35-65 y.","Urban Area","130","0.0601453381939397","0.0497358214522092","0.0705548549356703"
"Yes, every week","2010","35-65 y.","Rural Area","81","0.0654382053715762","0.0507974826532413","0.0800789280899112"
"Yes, every week","2010","66 and older","Urban Area","","","",""
"Yes, every week","2010","66 and older","Rural Area","","","",""
"Yes, every 2 weeks","2010","16-34 y.","Urban Area","123","0.154700343355942","0.130821619021252","0.178579067690632"
"Yes, every 2 weeks","2010","16-34 y.","Rural Area","64","0.114705835249623","0.0877784917892962","0.14163317870995"
"Yes, every 2 weeks","2010","35-65 y.","Urban Area","216","0.10031828693618","0.0871650170084188","0.11347155686394"
"Yes, every 2 weeks","2010","35-65 y.","Rural Area","108","0.0909008360196734","0.0738819009305514","0.107919771108795"
"Yes, every 2 weeks","2010","66 and older","Urban Area","","","",""
"Yes, every 2 weeks","2010","66 and older","Rural Area","","","",""
"Yes, every 3-4 weeks","2010","16-34 y.","Urban Area","48","0.0535146286994098","0.0386534468642593","0.0683758105345603"
"Yes, every 3-4 weeks","2010","16-34 y.","Rural Area","28","","",""
"Yes, every 3-4 weeks","2010","35-65 y.","Urban Area","139","0.0711041515454861","0.0598521386134194","0.0823561644775527"
"Yes, every 3-4 weeks","2010","35-65 y.","Rural Area","80","0.0744190930860126","0.0588811976610443","0.0899569885109809"
"Yes, every 3-4 weeks","2010","66 and older","Urban Area","","","",""
"Yes, every 3-4 weeks","2010","66 and older","Rural Area","","","",""
"Rarely","2010","16-34 y.","Urban Area","155","0.167612021368473","0.142947333810549","0.192276708926397"
"Rarely","2010","16-34 y.","Rural Area","88","0.159402894821105","0.128471535914841","0.19033425372737"
"Rarely","2010","35-65 y.","Urban Area","426","0.20423843455849","0.186587835551687","0.221889033565293"
"Rarely","2010","35-65 y.","Rural Area","179","0.157951236655787","0.136360227061947","0.179542246249628"
"Rarely","2010","66 and older","Urban Area","1","","",""
"Rarely","2010","66 and older","Rural Area","","","",""
"No, never","2011","16-34 y.","Urban Area","1648","0.633163749639784","0.61462816622392","0.651699333055648"
"No, never","2011","16-34 y.","Rural Area","939","0.637325765775352","0.612798790014963","0.66185274153574"
"No, never","2011","35-65 y.","Urban Area","4719","0.602119125701715","0.591314927910125","0.612923323493305"
"No, never","2011","35-65 y.","Rural Area","2491","0.575677550331786","0.560898259129263","0.590456841534309"
"No, never","2011","66 and older","Urban Area","87","0.602362326725866","0.522976252449252","0.681748401002479"
"No, never","2011","66 and older","Rural Area","36","0.498547864976602","0.380572394380466","0.616523335572738"
"Yes, every week","2011","16-34 y.","Urban Area","175","0.0734211562002837","0.0633897015120283","0.083452610888539"
"Yes, every week","2011","16-34 y.","Rural Area","78","0.0395260385129607","0.0295859705267158","0.0494661064992056"
"Yes, every week","2011","35-65 y.","Urban Area","606","0.0745838252853127","0.0687846577816032","0.0803829927890221"
"Yes, every week","2011","35-65 y.","Rural Area","310","0.0677602322775234","0.0602445707989067","0.0752758937561401"
"Yes, every week","2011","66 and older","Urban Area","13","","",""
"Yes, every week","2011","66 and older","Rural Area","9","","",""
"Yes, every 2 weeks","2011","16-34 y.","Urban Area","266","0.102208629965748","0.0905581554860401","0.113859104445456"
"Yes, every 2 weeks","2011","16-34 y.","Rural Area","166","0.0981972427278853","0.0830158946314736","0.113378590824297"
"Yes, every 2 weeks","2011","35-65 y.","Urban Area","706","0.0903844836348489","0.0840552569006367","0.0967137103690611"
"Yes, every 2 weeks","2011","35-65 y.","Rural Area","456","0.104029417816028","0.0949000456048052","0.11315879002725"
"Yes, every 2 weeks","2011","66 and older","Urban Area","14","","",""
"Yes, every 2 weeks","2011","66 and older","Rural Area","3","","",""
"Yes, every 3-4 weeks","2011","16-34 y.","Urban Area","141","0.0470992892805305","0.0389514375287337","0.0552471410323272"
"Yes, every 3-4 weeks","2011","16-34 y.","Rural Area","81","0.0515509219276311","0.0402703754324532","0.062831468422809"
"Yes, every 3-4 weeks","2011","35-65 y.","Urban Area","446","0.0538210507942294","0.0488398102962991","0.0588022912921597"
"Yes, every 3-4 weeks","2011","35-65 y.","Rural Area","287","0.0583518756145199","0.0513423651631359","0.0653613860659039"
"Yes, every 3-4 weeks","2011","66 and older","Urban Area","4","","",""
"Yes, every 3-4 weeks","2011","66 and older","Rural Area","3","","",""
"Rarely","2011","16-34 y.","Urban Area","367","0.144107174913654","0.130599997283276","0.157614352544031"
"Rarely","2011","16-34 y.","Rural Area","212","0.173400031056171","0.154085810340482","0.19271425177186"
"Rarely","2011","35-65 y.","Urban Area","1407","0.179091514583894","0.170627826294364","0.187555202873425"
"Rarely","2011","35-65 y.","Rural Area","752","0.194180923960143","0.18235219696763","0.206009650952656"
"Rarely","2011","66 and older","Urban Area","28","","",""
"Rarely","2011","66 and older","Rural Area","18","","",""
"No, never","2012","16-34 y.","Urban Area","457","0.658629904810494","0.623603527556571","0.693656282064417"
"No, never","2012","16-34 y.","Rural Area","334","0.665522410205985","0.624774125574954","0.706270694837017"
"No, never","2012","35-65 y.","Urban Area","1483","0.607597511064058","0.58847236333308","0.626722658795035"
"No, never","2012","35-65 y.","Rural Area","895","0.640546206546899","0.61566744577668","0.665424967317117"
"No, never","2012","66 and older","Urban Area","2","","",""
"No, never","2012","66 and older","Rural Area","","","",""
"Yes, every week","2012","16-34 y.","Urban Area","47","0.0663803523444982","0.0479909959615861","0.0847697087274102"
"Yes, every week","2012","16-34 y.","Rural Area","34","0.0619738531234496","0.0411502346608067","0.0827974715860925"
"Yes, every week","2012","35-65 y.","Urban Area","201","0.0789153211787285","0.0683553830867293","0.0894752592707277"
"Yes, every week","2012","35-65 y.","Rural Area","113","0.0651977373287752","0.052397791960149","0.0779976826974015"
"Yes, every week","2012","66 and older","Urban Area","","","",""
"Yes, every week","2012","66 and older","Rural Area","","","",""
"Yes, every 2 weeks","2012","16-34 y.","Urban Area","70","0.109599328856098","0.0865234394894859","0.13267521822271"
"Yes, every 2 weeks","2012","16-34 y.","Rural Area","52","0.0924310204995497","0.0674164429886823","0.117445598010417"
"Yes, every 2 weeks","2012","35-65 y.","Urban Area","258","0.0953081171966286","0.083806836027038","0.106809398366219"
"Yes, every 2 weeks","2012","35-65 y.","Rural Area","146","0.101556267318506","0.0858948600479137","0.117217674589099"
"Yes, every 2 weeks","2012","66 and older","Urban Area","","","",""
"Yes, every 2 weeks","2012","66 and older","Rural Area","","","",""
"Yes, every 3-4 weeks","2012","16-34 y.","Urban Area","40","0.0628118923511429","0.0448894956960751","0.0807342890062107"
"Yes, every 3-4 weeks","2012","16-34 y.","Rural Area","29","","",""
"Yes, every 3-4 weeks","2012","35-65 y.","Urban Area","141","0.0574089093852225","0.0482975696134575","0.0665202491569876"
"Yes, every 3-4 weeks","2012","35-65 y.","Rural Area","90","0.0596751074279669","0.0473931511252951","0.0719570637306387"
"Yes, every 3-4 weeks","2012","66 and older","Urban Area","","","",""
"Yes, every 3-4 weeks","2012","66 and older","Rural Area","1","","",""
"Rarely","2012","16-34 y.","Urban Area","90","0.102578521637767","0.0801661296773923","0.124990913598142"
"Rarely","2012","16-34 y.","Rural Area","66","0.130400590973188","0.101317278174348","0.159483903772027"
"Rarely","2012","35-65 y.","Urban Area","421","0.160770141175363","0.146383013790881","0.175157268559845"
"Rarely","2012","35-65 y.","Rural Area","185","0.133024681377853","0.115417028926535","0.150632333829171"
"Rarely","2012","66 and older","Urban Area","","","",""
"Rarely","2012","66 and older","Rural Area","","","",""
"No, never","2013","16-34 y.","Urban Area","1520","0.632394986147036","0.612888615670432","0.651901356623641"
"No, never","2013","16-34 y.","Rural Area","787","0.622432654988115","0.595504486690669","0.64936082328556"
"No, never","2013","35-65 y.","Urban Area","4442","0.585818128737094","0.574548578244221","0.597087679229967"
"No, never","2013","35-65 y.","Rural Area","2389","0.578487143247794","0.563375818753471","0.593598467742117"
"No, never","2013","66 and older","Urban Area","121","0.663698023359102","0.596871718325142","0.730524328393062"
"No, never","2013","66 and older","Rural Area","53","0.658002275069423","0.556556549171707","0.759448000967139"
"Yes, every week","2013","16-34 y.","Urban Area","144","0.0511055219104201","0.0421964098867115","0.0600146339341288"
"Yes, every week","2013","16-34 y.","Rural Area","73","0.051879686721426","0.0395601659698451","0.0641992074730068"
"Yes, every week","2013","35-65 y.","Urban Area","508","0.0686999315220054","0.0629129430570306","0.0744869199869802"
"Yes, every week","2013","35-65 y.","Rural Area","263","0.0551753641148408","0.048188239783285","0.0621624884463966"
"Yes, every week","2013","66 and older","Urban Area","14","","",""
"Yes, every week","2013","66 and older","Rural Area","6","","",""
"Yes, every 2 weeks","2013","16-34 y.","Urban Area","235","0.0903382045383569","0.0787406278950524","0.101935781181661"
"Yes, every 2 weeks","2013","16-34 y.","Rural Area","160","0.142483730528122","0.12306739634294","0.161900064713305"
"Yes, every 2 weeks","2013","35-65 y.","Urban Area","652","0.0890103112240861","0.0824954294700372","0.0955251929781349"
"Yes, every 2 weeks","2013","35-65 y.","Rural Area","441","0.107818346848969","0.0983271005969218","0.117309593101017"
"Yes, every 2 weeks","2013","66 and older","Urban Area","8","","",""
"Yes, every 2 weeks","2013","66 and older","Rural Area","4","","",""
"Yes, every 3-4 weeks","2013","16-34 y.","Urban Area","132","0.0573646158054197","0.0479568724799682","0.0667723591308712"
"Yes, every 3-4 weeks","2013","16-34 y.","Rural Area","69","0.0448414258676039","0.0333455818739192","0.0563372698612886"
"Yes, every 3-4 weeks","2013","35-65 y.","Urban Area","353","0.054325258427286","0.0491396294281157","0.0595108874264564"
"Yes, every 3-4 weeks","2013","35-65 y.","Rural Area","239","0.0578129174539741","0.050670729434565","0.0649551054733832"
"Yes, every 3-4 weeks","2013","66 and older","Urban Area","5","","",""
"Yes, every 3-4 weeks","2013","66 and older","Rural Area","4","","",""
"Rarely","2013","16-34 y.","Urban Area","316","0.168796671598767","0.153642677199164","0.18395066599837"
"Rarely","2013","16-34 y.","Rural Area","156","0.138362501894733","0.1191831064326","0.157541897356867"
"Rarely","2013","35-65 y.","Urban Area","1384","0.202146370089529","0.192958301398194","0.211334438780864"
"Rarely","2013","35-65 y.","Rural Area","770","0.200706228334422","0.188449236343939","0.212963220324904"
"Rarely","2013","66 and older","Urban Area","44","0.182266590536017","0.127658513647953","0.236874667424081"
"Rarely","2013","66 and older","Rural Area","17","","",""
"No, never","2014","16-34 y.","Urban Area","","","",""
"No, never","2014","16-34 y.","Rural Area","","","",""
"No, never","2014","35-65 y.","Urban Area","","","",""
"No, never","2014","35-65 y.","Rural Area","","","",""
"No, never","2014","66 and older","Urban Area","","","",""
"No, never","2014","66 and older","Rural Area","","","",""
"Yes, every week","2014","16-34 y.","Urban Area","","","",""
"Yes, every week","2014","16-34 y.","Rural Area","","","",""
"Yes, every week","2014","35-65 y.","Urban Area","","","",""
"Yes, every week","2014","35-65 y.","Rural Area","","","",""
"Yes, every week","2014","66 and older","Urban Area","","","",""
"Yes, every week","2014","66 and older","Rural Area","","","",""
"Yes, every 2 weeks","2014","16-34 y.","Urban Area","","","",""
"Yes, every 2 weeks","2014","16-34 y.","Rural Area","","","",""
"Yes, every 2 weeks","2014","35-65 y.","Urban Area","","","",""
"Yes, every 2 weeks","2014","35-65 y.","Rural Area","","","",""
"Yes, every 2 weeks","2014","66 and older","Urban Area","","","",""
"Yes, every 2 weeks","2014","66 and older","Rural Area","","","",""
"Yes, every 3-4 weeks","2014","16-34 y.","Urban Area","","","",""
"Yes, every 3-4 weeks","2014","16-34 y.","Rural Area","","","",""
"Yes, every 3-4 weeks","2014","35-65 y.","Urban Area","","","",""
"Yes, every 3-4 weeks","2014","35-65 y.","Rural Area","","","",""
"Yes, every 3-4 weeks","2014","66 and older","Urban Area","","","",""
"Yes, every 3-4 weeks","2014","66 and older","Rural Area","","","",""
"Rarely","2014","16-34 y.","Urban Area","","","",""
"Rarely","2014","16-34 y.","Rural Area","","","",""
"Rarely","2014","35-65 y.","Urban Area","","","",""
"Rarely","2014","35-65 y.","Rural Area","","","",""
"Rarely","2014","66 and older","Urban Area","","","",""
"Rarely","2014","66 and older","Rural Area","","","",""
"No, never","2015","16-34 y.","Urban Area","1571","0.599410604820236","0.580050655357049","0.618770554283423"
"No, never","2015","16-34 y.","Rural Area","741","0.625057591490585","0.597412518222521","0.652702664758649"
"No, never","2015","35-65 y.","Urban Area","4340","0.5793395281577","0.567957975903836","0.590721080411564"
"No, never","2015","35-65 y.","Rural Area","2348","0.605038950168398","0.589726277143344","0.620351623193451"
"No, never","2015","66 and older","Urban Area","136","0.680384780799431","0.617612026991401","0.743157534607462"
"No, never","2015","66 and older","Rural Area","62","0.640454213431175","0.54778176782727","0.73312665903508"
"Yes, every week","2015","16-34 y.","Urban Area","160","0.0647698458941771","0.0550460022576848","0.0744936895306693"
"Yes, every week","2015","16-34 y.","Rural Area","80","0.0603747209618004","0.0467734228297701","0.0739760190938307"
"Yes, every week","2015","35-65 y.","Urban Area","508","0.0655803171730239","0.0598730683263018","0.0712875660197459"
"Yes, every week","2015","35-65 y.","Rural Area","246","0.0611504863431715","0.0536449771998962","0.0686559954864467"
"Yes, every week","2015","66 and older","Urban Area","18","","",""
"Yes, every week","2015","66 and older","Rural Area","8","","",""
"Yes, every 2 weeks","2015","16-34 y.","Urban Area","272","0.110720962565679","0.0983236874778907","0.123118237653466"
"Yes, every 2 weeks","2015","16-34 y.","Rural Area","156","0.141217354658036","0.121330728418464","0.161103980897608"
"Yes, every 2 weeks","2015","35-65 y.","Urban Area","670","0.0972390950219025","0.0904082270793201","0.104069962964485"
"Yes, every 2 weeks","2015","35-65 y.","Rural Area","405","0.0970279622778229","0.0877560820249081","0.106299842530738"
"Yes, every 2 weeks","2015","66 and older","Urban Area","5","","",""
"Yes, every 2 weeks","2015","66 and older","Rural Area","5","","",""
"Yes, every 3-4 weeks","2015","16-34 y.","Urban Area","133","0.0665609763325105","0.0567130429386775","0.0764089097263435"
"Yes, every 3-4 weeks","2015","16-34 y.","Rural Area","62","0.0419973753667499","0.0305430406401644","0.0534517100933353"
"Yes, every 3-4 weeks","2015","35-65 y.","Urban Area","360","0.0535312725486803","0.0483417669850103","0.0587207781123504"
"Yes, every 3-4 weeks","2015","35-65 y.","Rural Area","240","0.0673807109522667","0.0595283148442898","0.0752331070602437"
"Yes, every 3-4 weeks","2015","66 and older","Urban Area","10","","",""
"Yes, every 3-4 weeks","2015","66 and older","Rural Area","4","","",""
"Rarely","2015","16-34 y.","Urban Area","325","0.158537610387398","0.144107296007902","0.172967924766894"
"Rarely","2015","16-34 y.","Rural Area","139","0.131352957522829","0.112063631817487","0.15064228322817"
"Rarely","2015","35-65 y.","Urban Area","1349","0.204309787098693","0.195014010940431","0.213605563256956"
"Rarely","2015","35-65 y.","Rural Area","676","0.169401890258341","0.157651919032895","0.181151861483788"
"Rarely","2015","66 and older","Urban Area","43","0.176449355080856","0.125135416025941","0.227763294135771"
"Rarely","2015","66 and older","Rural Area","24","","",""
"No, never","2016","16-34 y.","Urban Area","","","",""
