"pli0096_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Never","1985","North Rhine-Westphalia","no migration background","1583","0.768928279628686","0.750856901898258","0.786999657359114"
"Never","1985","North Rhine-Westphalia","direct migration background","725","0.895125641518295","0.873907443868195","0.916343839168395"
"Never","1985","North Rhine-Westphalia","indirect migration background","39","0.842955862491904","0.735449285330101","0.950462439653706"
"Never","1985","Hesse","no migration background","498","0.721798192836815","0.688578365431349","0.755018020242282"
"Never","1985","Hesse","direct migration background","381","0.936684786060346","0.913112216000949","0.960257356119742"
"Never","1985","Hesse","indirect migration background","11","","",""
"Never","1985","Rhineland-Palatinate,Saarland","no migration background","447","0.727230907561427","0.692257511094619","0.762204304028235"
"Never","1985","Rhineland-Palatinate,Saarland","direct migration background","118","0.855705778547421","0.795068467002861","0.916343090091981"
"Never","1985","Rhineland-Palatinate,Saarland","indirect migration background","7","","",""
"Never","1985","Baden-Württemberg","no migration background","898","0.750455659570278","0.726122621646196","0.774788697494361"
"Never","1985","Baden-Württemberg","direct migration background","713","0.82737808262746","0.801024812143504","0.853731353111416"
"Never","1985","Baden-Württemberg","indirect migration background","25","","",""
"Never","1985","Bavaria","no migration background","1070","0.739353026271233","0.71688145829962","0.761824594242846"
"Never","1985","Bavaria","direct migration background","334","0.824113637298012","0.78637646569945","0.861850808896574"
"Never","1985","Bavaria","indirect migration background","24","","",""
"Never","1985","Berlin","no migration background","201","0.796130502639968","0.747160551022454","0.845100454257481"
"Never","1985","Berlin","direct migration background","95","0.890449668777761","0.829837539482744","0.951061798072778"
"Never","1985","Berlin","indirect migration background","3","","",""
"Never","1985","Brandenburg","no migration background","","","",""
"Never","1985","Brandenburg","direct migration background","","","",""
"Never","1985","Brandenburg","indirect migration background","","","",""
"Never","1985","Mecklenburg-Western Pomerania","no migration background","","","",""
"Never","1985","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Never","1985","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Never","1985","Saxony","no migration background","","","",""
"Never","1985","Saxony","direct migration background","","","",""
"Never","1985","Saxony","indirect migration background","","","",""
"Never","1985","Saxony-Anhalt","no migration background","","","",""
"Never","1985","Saxony-Anhalt","direct migration background","","","",""
"Never","1985","Saxony-Anhalt","indirect migration background","","","",""
"Never","1985","Thuringia","no migration background","","","",""
"Never","1985","Thuringia","direct migration background","","","",""
"Never","1985","Thuringia","indirect migration background","","","",""
"Daily","1986","Schleswig-Holstein","no migration background","","","",""
"Daily","1986","Schleswig-Holstein","direct migration background","","","",""
"Daily","1986","Schleswig-Holstein","indirect migration background","","","",""
"Daily","1986","Hamburg","no migration background","","","",""
"Daily","1986","Hamburg","direct migration background","","","",""
"Daily","1986","Hamburg","indirect migration background","","","",""
"Daily","1986","Lower Saxony","no migration background","","","",""
"Daily","1986","Lower Saxony","direct migration background","","","",""
"Daily","1986","Lower Saxony","indirect migration background","","","",""
"Daily","1986","Bremen","no migration background","","","",""
"Daily","1986","Bremen","direct migration background","","","",""
"Daily","1986","Bremen","indirect migration background","","","",""
"Daily","1986","North Rhine-Westphalia","no migration background","","","",""
"Daily","1986","North Rhine-Westphalia","direct migration background","","","",""
"Daily","1986","North Rhine-Westphalia","indirect migration background","","","",""
"Daily","1986","Hesse","no migration background","","","",""
"Daily","1986","Hesse","direct migration background","","","",""
"Daily","1986","Hesse","indirect migration background","","","",""
"Daily","1986","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Daily","1986","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Daily","1986","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Daily","1986","Baden-Württemberg","no migration background","","","",""
"Daily","1986","Baden-Württemberg","direct migration background","","","",""
"Daily","1986","Baden-Württemberg","indirect migration background","","","",""
"Daily","1986","Bavaria","no migration background","","","",""
"Daily","1986","Bavaria","direct migration background","","","",""
"Daily","1986","Bavaria","indirect migration background","","","",""
"Daily","1986","Berlin","no migration background","","","",""
"Daily","1986","Berlin","direct migration background","","","",""
"Daily","1986","Berlin","indirect migration background","","","",""
"Daily","1986","Brandenburg","no migration background","","","",""
"Daily","1986","Brandenburg","direct migration background","","","",""
"Daily","1986","Brandenburg","indirect migration background","","","",""
"Daily","1986","Mecklenburg-Western Pomerania","no migration background","","","",""
"Daily","1986","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Daily","1986","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Daily","1986","Saxony","no migration background","","","",""
"Daily","1986","Saxony","direct migration background","","","",""
"Daily","1986","Saxony","indirect migration background","","","",""
"Daily","1986","Saxony-Anhalt","no migration background","","","",""
"Daily","1986","Saxony-Anhalt","direct migration background","","","",""
"Daily","1986","Saxony-Anhalt","indirect migration background","","","",""
"Daily","1986","Thuringia","no migration background","","","",""
"Daily","1986","Thuringia","direct migration background","","","",""
"Daily","1986","Thuringia","indirect migration background","","","",""
"Min 1x per week","1986","Schleswig-Holstein","no migration background","15","","",""
"Min 1x per week","1986","Schleswig-Holstein","direct migration background","1","","",""
"Min 1x per week","1986","Schleswig-Holstein","indirect migration background","","","",""
"Min 1x per week","1986","Hamburg","no migration background","10","","",""
"Min 1x per week","1986","Hamburg","direct migration background","3","","",""
"Min 1x per week","1986","Hamburg","indirect migration background","","","",""
"Min 1x per week","1986","Lower Saxony","no migration background","85","0.09016848120643","0.0716301221552383","0.108706840257622"
"Min 1x per week","1986","Lower Saxony","direct migration background","5","","",""
"Min 1x per week","1986","Lower Saxony","indirect migration background","1","","",""
"Min 1x per week","1986","Bremen","no migration background","1","","",""
"Min 1x per week","1986","Bremen","direct migration background","","","",""
"Min 1x per week","1986","Bremen","indirect migration background","","","",""
"Min 1x per week","1986","North Rhine-Westphalia","no migration background","167","0.0822179392458399","0.0702447294786635","0.0941911490130162"
"Min 1x per week","1986","North Rhine-Westphalia","direct migration background","24","","",""
"Min 1x per week","1986","North Rhine-Westphalia","indirect migration background","3","","",""
"Min 1x per week","1986","Hesse","no migration background","68","0.0997838475983736","0.0767431864853128","0.122824508711434"
"Min 1x per week","1986","Hesse","direct migration background","14","","",""
"Min 1x per week","1986","Hesse","indirect migration background","1","","",""
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","no migration background","50","0.0765649360533362","0.0557520424889893","0.0973778296176832"
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","direct migration background","4","","",""
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Min 1x per week","1986","Baden-Württemberg","no migration background","109","0.0907192512018593","0.0743111401691204","0.107127362234598"
"Min 1x per week","1986","Baden-Württemberg","direct migration background","31","0.057491345851738","0.0410389620518321","0.0739437296516438"
"Min 1x per week","1986","Baden-Württemberg","indirect migration background","4","","",""
"Min 1x per week","1986","Bavaria","no migration background","128","0.0936477317682746","0.0781182526314701","0.109177210905079"
"Min 1x per week","1986","Bavaria","direct migration background","27","","",""
"Min 1x per week","1986","Bavaria","indirect migration background","2","","",""
"Min 1x per week","1986","Berlin","no migration background","19","","",""
"Min 1x per week","1986","Berlin","direct migration background","3","","",""
"Min 1x per week","1986","Berlin","indirect migration background","","","",""
"Min 1x per week","1986","Brandenburg","no migration background","","","",""
"Min 1x per week","1986","Brandenburg","direct migration background","","","",""
"Min 1x per week","1986","Brandenburg","indirect migration background","","","",""
"Min 1x per week","1986","Mecklenburg-Western Pomerania","no migration background","","","",""
"Min 1x per week","1986","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Min 1x per week","1986","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Min 1x per week","1986","Saxony","no migration background","","","",""
"Min 1x per week","1986","Saxony","direct migration background","","","",""
"Min 1x per week","1986","Saxony","indirect migration background","","","",""
"Min 1x per week","1986","Saxony-Anhalt","no migration background","","","",""
"Min 1x per week","1986","Saxony-Anhalt","direct migration background","","","",""
"Min 1x per week","1986","Saxony-Anhalt","indirect migration background","","","",""
"Min 1x per week","1986","Thuringia","no migration background","","","",""
"Min 1x per week","1986","Thuringia","direct migration background","","","",""
"Min 1x per week","1986","Thuringia","indirect migration background","","","",""
"Min 1x per month","1986","Schleswig-Holstein","no migration background","15","","",""
"Min 1x per month","1986","Schleswig-Holstein","direct migration background","3","","",""
"Min 1x per month","1986","Schleswig-Holstein","indirect migration background","","","",""
"Min 1x per month","1986","Hamburg","no migration background","9","","",""
"Min 1x per month","1986","Hamburg","direct migration background","","","",""
"Min 1x per month","1986","Hamburg","indirect migration background","","","",""
"Min 1x per month","1986","Lower Saxony","no migration background","57","0.0525050281877028","0.0380688468702329","0.0669412095051726"
"Min 1x per month","1986","Lower Saxony","direct migration background","1","","",""
"Min 1x per month","1986","Lower Saxony","indirect migration background","1","","",""
"Min 1x per month","1986","Bremen","no migration background","7","","",""
"Min 1x per month","1986","Bremen","direct migration background","","","",""
"Min 1x per month","1986","Bremen","indirect migration background","","","",""
"Min 1x per month","1986","North Rhine-Westphalia","no migration background","137","0.0638163095926537","0.0531625254368002","0.0744700937485071"
"Min 1x per month","1986","North Rhine-Westphalia","direct migration background","25","","",""
"Min 1x per month","1986","North Rhine-Westphalia","indirect migration background","","","",""
"Min 1x per month","1986","Hesse","no migration background","42","0.062436415463756","0.043836509052137","0.0810363218753751"
"Min 1x per month","1986","Hesse","direct migration background","4","","",""
"Min 1x per month","1986","Hesse","indirect migration background","1","","",""
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","no migration background","39","0.0595952315700015","0.0410651433169656","0.0781253198230374"
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","direct migration background","3","","",""
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Min 1x per month","1986","Baden-Württemberg","no migration background","84","0.0679999470056442","0.0536178532602231","0.0823820407510654"
"Min 1x per month","1986","Baden-Württemberg","direct migration background","25","","",""
"Min 1x per month","1986","Baden-Württemberg","indirect migration background","3","","",""
"Min 1x per month","1986","Bavaria","no migration background","129","0.0948126081787922","0.079196887211819","0.110428329145765"
"Min 1x per month","1986","Bavaria","direct migration background","12","","",""
"Min 1x per month","1986","Bavaria","indirect migration background","1","","",""
"Min 1x per month","1986","Berlin","no migration background","16","","",""
"Min 1x per month","1986","Berlin","direct migration background","4","","",""
"Min 1x per month","1986","Berlin","indirect migration background","1","","",""
"Min 1x per month","1986","Brandenburg","no migration background","","","",""
"Min 1x per month","1986","Brandenburg","direct migration background","","","",""
"Min 1x per month","1986","Brandenburg","indirect migration background","","","",""
"Min 1x per month","1986","Mecklenburg-Western Pomerania","no migration background","","","",""
"Min 1x per month","1986","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Min 1x per month","1986","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Min 1x per month","1986","Saxony","no migration background","","","",""
"Min 1x per month","1986","Saxony","direct migration background","","","",""
"Min 1x per month","1986","Saxony","indirect migration background","","","",""
"Min 1x per month","1986","Saxony-Anhalt","no migration background","","","",""
"Min 1x per month","1986","Saxony-Anhalt","direct migration background","","","",""
"Min 1x per month","1986","Saxony-Anhalt","indirect migration background","","","",""
"Min 1x per month","1986","Thuringia","no migration background","","","",""
"Min 1x per month","1986","Thuringia","direct migration background","","","",""
"Min 1x per month","1986","Thuringia","indirect migration background","","","",""
"Rarely","1986","Schleswig-Holstein","no migration background","20","","",""
"Rarely","1986","Schleswig-Holstein","direct migration background","1","","",""
"Rarely","1986","Schleswig-Holstein","indirect migration background","","","",""
"Rarely","1986","Hamburg","no migration background","5","","",""
"Rarely","1986","Hamburg","direct migration background","2","","",""
"Rarely","1986","Hamburg","indirect migration background","","","",""
"Rarely","1986","Lower Saxony","no migration background","64","0.066097235363551","0.0500165001428735","0.0821779705842286"
"Rarely","1986","Lower Saxony","direct migration background","8","","",""
"Rarely","1986","Lower Saxony","indirect migration background","","","",""
"Rarely","1986","Bremen","no migration background","3","","",""
"Rarely","1986","Bremen","direct migration background","1","","",""
"Rarely","1986","Bremen","indirect migration background","","","",""
"Rarely","1986","North Rhine-Westphalia","no migration background","158","0.0753365316198142","0.0638324441182135","0.0868406191214149"
"Rarely","1986","North Rhine-Westphalia","direct migration background","37","0.0443432405153855","0.0297747320490375","0.0589117489817335"
"Rarely","1986","North Rhine-Westphalia","indirect migration background","7","","",""
"Rarely","1986","Hesse","no migration background","60","0.0862769129624032","0.0646922132758868","0.10786161264892"
"Rarely","1986","Hesse","direct migration background","7","","",""
"Rarely","1986","Hesse","indirect migration background","","","",""
"Rarely","1986","Rhineland-Palatinate,Saarland","no migration background","57","0.0876356807150005","0.0655027487468435","0.109768612683158"
"Rarely","1986","Rhineland-Palatinate,Saarland","direct migration background","5","","",""
"Rarely","1986","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Rarely","1986","Baden-Württemberg","no migration background","144","0.116702222319465","0.0983599561376358","0.135044488501295"
"Rarely","1986","Baden-Württemberg","direct migration background","37","0.0481465544110604","0.0330160791248485","0.0632770296972722"
"Rarely","1986","Baden-Württemberg","indirect migration background","3","","",""
"Rarely","1986","Bavaria","no migration background","113","0.0777549829937186","0.0634809393843483","0.0920290266030888"
"Rarely","1986","Bavaria","direct migration background","16","","",""
"Rarely","1986","Bavaria","indirect migration background","1","","",""
"Rarely","1986","Berlin","no migration background","16","","",""
"Rarely","1986","Berlin","direct migration background","2","","",""
"Rarely","1986","Berlin","indirect migration background","","","",""
"Rarely","1986","Brandenburg","no migration background","","","",""
"Rarely","1986","Brandenburg","direct migration background","","","",""
"Rarely","1986","Brandenburg","indirect migration background","","","",""
"Rarely","1986","Mecklenburg-Western Pomerania","no migration background","","","",""
"Rarely","1986","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Rarely","1986","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Rarely","1986","Saxony","no migration background","","","",""
"Rarely","1986","Saxony","direct migration background","","","",""
"Rarely","1986","Saxony","indirect migration background","","","",""
"Rarely","1986","Saxony-Anhalt","no migration background","","","",""
"Rarely","1986","Saxony-Anhalt","direct migration background","","","",""
"Rarely","1986","Saxony-Anhalt","indirect migration background","","","",""
"Rarely","1986","Thuringia","no migration background","","","",""
"Rarely","1986","Thuringia","direct migration background","","","",""
"Rarely","1986","Thuringia","indirect migration background","","","",""
"Never","1986","Schleswig-Holstein","no migration background","226","0.827998295820579","0.783476297759865","0.872520293881293"
"Never","1986","Schleswig-Holstein","direct migration background","33","0.766537592522857","0.63203473788496","0.901040447160754"
"Never","1986","Schleswig-Holstein","indirect migration background","1","","",""
"Never","1986","Hamburg","no migration background","155","0.868273619320909","0.818730167899982","0.917817070741836"
"Never","1986","Hamburg","direct migration background","62","0.897636290645055","0.825053460464057","0.970219120826053"
"Never","1986","Hamburg","indirect migration background","2","","",""
"Never","1986","Lower Saxony","no migration background","711","0.791229255242316","0.764923582570864","0.817534927913769"
"Never","1986","Lower Saxony","direct migration background","157","0.872544198270764","0.822561055689582","0.922527340851946"
"Never","1986","Lower Saxony","indirect migration background","8","","",""
