"plh0206i03","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"6 on scale 1-7","2012","Employed","","","","","6"
"7 Strongly agree","2012","Not Employed","","","","","7"
"7 Strongly agree","2012","Employed","","","","","7"
"1 Strongly disagree","2013","Not Employed","","","","","1"
"1 Strongly disagree","2013","Employed","","","","","1"
"2 on scale 1-7 ","2013","Employed","","","","","2"
"2 on scale 1-7 ","2013","Not Employed","","","","","2"
"3 on scale 1-7 ","2013","Employed","","","","","3"
"3 on scale 1-7 ","2013","Not Employed","","","","","3"
"4 on scale 1-7","2013","Employed","","","","","4"
"4 on scale 1-7","2013","Not Employed","","","","","4"
"5 on scale 1-7","2013","Not Employed","","","","","5"
"5 on scale 1-7","2013","Employed","","","","","5"
"6 on scale 1-7","2013","Employed","","","","","6"
"6 on scale 1-7","2013","Not Employed","","","","","6"
"7 Strongly agree","2013","Not Employed","","","","","7"
"7 Strongly agree","2013","Employed","","","","","7"
"1 Strongly disagree","2014","Not Employed","","","","","1"
"1 Strongly disagree","2014","Employed","","","","","1"
"2 on scale 1-7 ","2014","Not Employed","","","","","2"
"2 on scale 1-7 ","2014","Employed","","","","","2"
"3 on scale 1-7 ","2014","Employed","","","","","3"
"3 on scale 1-7 ","2014","Not Employed","","","","","3"
"4 on scale 1-7","2014","Employed","","","","","4"
"4 on scale 1-7","2014","Not Employed","","","","","4"
"5 on scale 1-7","2014","Employed","","","","","5"
"5 on scale 1-7","2014","Not Employed","","","","","5"
"6 on scale 1-7","2014","Not Employed","","","","","6"
"6 on scale 1-7","2014","Employed","","","","","6"
"7 Strongly agree","2014","Not Employed","","","","","7"
"7 Strongly agree","2014","Employed","","","","","7"
"1 Strongly disagree","2015","Not Employed","3726","0.351700745731059","0.34239340868167","0.361008082780449","1"
"1 Strongly disagree","2015","Employed","5223","0.286964168040605","0.280084013960375","0.293844322120836","1"
"2 on scale 1-7 ","2015","Employed","4875","0.299882222373969","0.292912915880781","0.306851528867158","2"
"2 on scale 1-7 ","2015","Not Employed","2669","0.265051344236736","0.256448450840012","0.273654237633459","2"
"3 on scale 1-7 ","2015","Employed","2701","0.177916889322572","0.172099942381599","0.183733836263545","3"
"3 on scale 1-7 ","2015","Not Employed","1397","0.143772422096915","0.136933566458078","0.150611277735752","3"
"4 on scale 1-7","2015","Employed","2009","0.124560945323771","0.119538299466904","0.129583591180638","4"
"4 on scale 1-7","2015","Not Employed","1134","0.115488411335201","0.109258641477715","0.121718181192686","4"
"5 on scale 1-7","2015","Not Employed","574","0.0593064981979193","0.0547025943106155","0.0639104020852231","5"
"5 on scale 1-7","2015","Employed","967","0.0615119027787524","0.0578574477975823","0.0651663577599225","5"
"6 on scale 1-7","2015","Employed","450","0.028314952009668","0.0257920561386772","0.0308378478806587","6"
"6 on scale 1-7","2015","Not Employed","312","0.0357185435313642","0.0321011162109008","0.0393359708518276","6"
"7 Strongly agree","2015","Not Employed","299","0.0289620348708057","0.0256932700382038","0.0322307997034077","7"
"7 Strongly agree","2015","Employed","380","0.020848920150662","0.0186757422115172","0.0230220980898067","7"
"1 Strongly disagree","2016","Not Employed","3328","0.635091997652885","0.620706565867076","0.649477429438694","1"
"1 Strongly disagree","2016","Employed","","","","","1"
"2 on scale 1-7 ","2016","Employed","","","","","2"
"2 on scale 1-7 ","2016","Not Employed","395","0.124526961387038","0.114660396612187","0.134393526161889","2"
"3 on scale 1-7 ","2016","Employed","","","","","3"
"3 on scale 1-7 ","2016","Not Employed","147","0.0725268128662802","0.064776613647798","0.0802770120847624","3"
"4 on scale 1-7","2016","Not Employed","175","0.0802218802727912","0.0721047812607841","0.0883389792847983","4"
"4 on scale 1-7","2016","Employed","","","","","4"
"5 on scale 1-7","2016","Employed","","","","","5"
"5 on scale 1-7","2016","Not Employed","97","0.0337930497154975","0.0283934488259485","0.0391926506050466","5"
"6 on scale 1-7","2016","Not Employed","52","0.0181141394196004","0.0141289199434936","0.0220993588957071","6"
"6 on scale 1-7","2016","Employed","","","","","6"
"7 Strongly agree","2016","Not Employed","108","0.0357251586859078","0.0301788965862495","0.0412714207855661","7"
"7 Strongly agree","2016","Employed","","","","","7"
"1 Strongly disagree","2017","Not Employed","2169","0.743940361636591","0.727879899133518","0.760000824139664","1"
"1 Strongly disagree","2017","Employed","","","","","1"
"2 on scale 1-7 ","2017","Employed","","","","","2"
"2 on scale 1-7 ","2017","Not Employed","271","0.105155488544172","0.0938677176724363","0.116443259415908","2"
"3 on scale 1-7 ","2017","Employed","","","","","3"
"3 on scale 1-7 ","2017","Not Employed","111","0.0347529354783482","0.0280133464452655","0.0414925245114309","3"
"4 on scale 1-7","2017","Employed","","","","","4"
"4 on scale 1-7","2017","Not Employed","101","0.0396370989898013","0.0324577173315642","0.0468164806480384","4"
"5 on scale 1-7","2017","Not Employed","53","0.0181807448913544","0.0132644261473124","0.0230970636353963","5"
"5 on scale 1-7","2017","Employed","","","","","5"
"6 on scale 1-7","2017","Employed","","","","","6"
"6 on scale 1-7","2017","Not Employed","31","0.012430714182518","0.00835362462902473","0.0165078037360114","6"
"7 Strongly agree","2017","Not Employed","101","0.045902656277215","0.038201894735765","0.0536034178186649","7"
"7 Strongly agree","2017","Employed","","","","","7"
"1 Strongly disagree","2018","Employed","","","","","1"
"1 Strongly disagree","2018","Not Employed","306","0.789341351202358","0.749918388913801","0.828764313490915","1"
"2 on scale 1-7 ","2018","Employed","","","","","2"
"2 on scale 1-7 ","2018","Not Employed","34","0.0548128841780534","0.032807578595061","0.0768181897610457","2"
"3 on scale 1-7 ","2018","Employed","","","","","3"
"3 on scale 1-7 ","2018","Not Employed","17","","","","3"
"4 on scale 1-7","2018","Not Employed","19","","","","4"
"4 on scale 1-7","2018","Employed","","","","","4"
"5 on scale 1-7","2018","Employed","","","","","5"
"5 on scale 1-7","2018","Not Employed","7","","","","5"
"6 on scale 1-7","2018","Not Employed","7","","","","6"
"6 on scale 1-7","2018","Employed","","","","","6"
"7 Strongly agree","2018","Not Employed","21","","","","7"
"7 Strongly agree","2018","Employed","","","","","7"
"1 Strongly disagree","2019","Employed","","","","","1"
"1 Strongly disagree","2019","Not Employed","166","0.637135441503655","0.580306456139177","0.693964426868134","1"
"2 on scale 1-7 ","2019","Employed","","","","","2"
"2 on scale 1-7 ","2019","Not Employed","36","0.119169835621534","0.0808775752163749","0.157462096026694","2"
"3 on scale 1-7 ","2019","Not Employed","29","","","","3"
"3 on scale 1-7 ","2019","Employed","","","","","3"
"4 on scale 1-7","2019","Employed","","","","","4"
"4 on scale 1-7","2019","Not Employed","18","","","","4"
"5 on scale 1-7","2019","Not Employed","11","","","","5"
"5 on scale 1-7","2019","Employed","","","","","5"
"6 on scale 1-7","2019","Employed","","","","","6"
"6 on scale 1-7","2019","Not Employed","6","","","","6"
"7 Strongly agree","2019","Not Employed","9","","","","7"
"7 Strongly agree","2019","Employed","","","","","7"
