"plh0206i03","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"6 on scale 1-7","2005","(Married) couple without C. ","273","0.0388195969480183","0.0342941856261972","0.0433450082698394","6"
"7 Strongly agree","2005","Couple + C. LE and GT 16","74","0.0527563569370333","0.0421235605668381","0.0633891533072285","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","111","0.0386677981821106","0.0324026952537268","0.0449329011104943","7"
"7 Strongly agree","2005","Single parent ","42","0.0406727829866639","0.0289837090687973","0.0523618569045305","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","142","0.0423207480229257","0.0358303875708333","0.0488111084750182","7"
"7 Strongly agree","2005","1-pers.-HH","91","0.0311962761848195","0.0249238903657639","0.0374686620038751","7"
"7 Strongly agree","2005","(Married) couple without C. ","205","0.0333572096835903","0.0291503506483026","0.037564068718878","7"
"1 Strongly disagree","2006","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2006","Single parent ","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2006","1-pers.-HH","","","","","1"
"2 on scale 1-7 ","2006","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2006","Single parent ","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2006","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. GT 16 ","","","","","2"
"3 on scale 1-7 ","2006","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2006","Single parent ","","","","","3"
"3 on scale 1-7 ","2006","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2006","1-pers.-HH","","","","","3"
"4 on scale 1-7","2006","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2006","1-pers.-HH","","","","","4"
"4 on scale 1-7","2006","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2006","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2006","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2006","Single parent ","","","","","4"
"5 on scale 1-7","2006","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2006","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2006","Single parent ","","","","","5"
"5 on scale 1-7","2006","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2006","1-pers.-HH","","","","","5"
"5 on scale 1-7","2006","(Married) couple without C. ","","","","","5"
"6 on scale 1-7","2006","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2006","Single parent ","","","","","6"
"6 on scale 1-7","2006","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2006","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2006","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2006","1-pers.-HH","","","","","6"
"7 Strongly agree","2006","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2006","Single parent ","","","","","7"
"7 Strongly agree","2006","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2006","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2006","1-pers.-HH","","","","","7"
"7 Strongly agree","2006","(Married) couple without C. ","","","","","7"
"1 Strongly disagree","2007","1-pers.-HH","","","","","1"
"1 Strongly disagree","2007","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2007","Single parent ","","","","","1"
"1 Strongly disagree","2007","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2007","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2007","Couple + C. LE and GT 16","","","","","1"
"2 on scale 1-7 ","2007","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2007","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2007","Single parent ","","","","","2"
"2 on scale 1-7 ","2007","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2007","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2007","Couple + C. LE 16 ","","","","","2"
"3 on scale 1-7 ","2007","Single parent ","","","","","3"
"3 on scale 1-7 ","2007","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2007","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2007","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2007","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2007","Couple + C. GT 16 ","","","","","3"
"4 on scale 1-7","2007","1-pers.-HH","","","","","4"
"4 on scale 1-7","2007","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2007","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2007","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2007","Single parent ","","","","","4"
"4 on scale 1-7","2007","Couple + C. LE 16 ","","","","","4"
"5 on scale 1-7","2007","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2007","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2007","Single parent ","","","","","5"
"5 on scale 1-7","2007","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2007","1-pers.-HH","","","","","5"
"5 on scale 1-7","2007","(Married) couple without C. ","","","","","5"
"6 on scale 1-7","2007","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2007","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2007","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2007","1-pers.-HH","","","","","6"
"6 on scale 1-7","2007","Single parent ","","","","","6"
"6 on scale 1-7","2007","(Married) couple without C. ","","","","","6"
"7 Strongly agree","2007","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2007","1-pers.-HH","","","","","7"
"7 Strongly agree","2007","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2007","Single parent ","","","","","7"
"7 Strongly agree","2007","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2007","Couple + C. GT 16 ","","","","","7"
"1 Strongly disagree","2008","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2008","Single parent ","","","","","1"
"1 Strongly disagree","2008","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2008","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2008","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2008","1-pers.-HH","","","","","1"
"2 on scale 1-7 ","2008","Single parent ","","","","","2"
"2 on scale 1-7 ","2008","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2008","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2008","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2008","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2008","1-pers.-HH","","","","","2"
"3 on scale 1-7 ","2008","Single parent ","","","","","3"
"3 on scale 1-7 ","2008","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2008","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2008","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2008","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2008","Couple + C. GT 16 ","","","","","3"
"4 on scale 1-7","2008","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2008","Single parent ","","","","","4"
"4 on scale 1-7","2008","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2008","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2008","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2008","1-pers.-HH","","","","","4"
"5 on scale 1-7","2008","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2008","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2008","Single parent ","","","","","5"
"5 on scale 1-7","2008","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2008","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2008","1-pers.-HH","","","","","5"
"6 on scale 1-7","2008","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2008","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2008","Single parent ","","","","","6"
"6 on scale 1-7","2008","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2008","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2008","1-pers.-HH","","","","","6"
"7 Strongly agree","2008","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2008","1-pers.-HH","","","","","7"
"7 Strongly agree","2008","Single parent ","","","","","7"
"7 Strongly agree","2008","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2008","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2008","(Married) couple without C. ","","","","","7"
"1 Strongly disagree","2009","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2009","Single parent ","","","","","1"
"1 Strongly disagree","2009","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2009","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2009","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2009","1-pers.-HH","","","","","1"
"2 on scale 1-7 ","2009","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2009","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2009","Single parent ","","","","","2"
"2 on scale 1-7 ","2009","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2009","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2009","(Married) couple without C. ","","","","","2"
"3 on scale 1-7 ","2009","Single parent ","","","","","3"
"3 on scale 1-7 ","2009","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2009","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2009","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2009","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2009","Couple + C. LE 16 ","","","","","3"
"4 on scale 1-7","2009","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2009","Single parent ","","","","","4"
"4 on scale 1-7","2009","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2009","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2009","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2009","1-pers.-HH","","","","","4"
"5 on scale 1-7","2009","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2009","Single parent ","","","","","5"
"5 on scale 1-7","2009","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2009","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2009","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2009","1-pers.-HH","","","","","5"
"6 on scale 1-7","2009","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2009","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2009","Single parent ","","","","","6"
"6 on scale 1-7","2009","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2009","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2009","1-pers.-HH","","","","","6"
"7 Strongly agree","2009","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2009","1-pers.-HH","","","","","7"
"7 Strongly agree","2009","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2009","Single parent ","","","","","7"
"7 Strongly agree","2009","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2009","Couple + C. GT 16 ","","","","","7"
"1 Strongly disagree","2010","(Married) couple without C. ","1573","0.24561779901857","0.234992744191777","0.256242853845364","1"
"1 Strongly disagree","2010","Single parent ","223","0.222134494743419","0.194778876161124","0.249490113325714","1"
"1 Strongly disagree","2010","Couple + C. LE 16 ","500","0.205445666540174","0.189733302758823","0.221158030321525","1"
"1 Strongly disagree","2010","Couple + C. GT 16 ","514","0.162356252077921","0.148738078926392","0.17597442522945","1"
"1 Strongly disagree","2010","Couple + C. LE and GT 16","230","0.204381886911616","0.179932753022304","0.228831020800929","1"
"1 Strongly disagree","2010","1-pers.-HH","802","0.295641249282124","0.278532914235216","0.312749584329031","1"
"2 on scale 1-7 ","2010","Single parent ","209","0.228081936702087","0.200468699154911","0.255695174249263","2"
"2 on scale 1-7 ","2010","Couple + C. LE 16 ","655","0.235295999977505","0.218799751645597","0.251792248309413","2"
"2 on scale 1-7 ","2010","(Married) couple without C. ","1567","0.230972588839211","0.220569634874353","0.241375542804068","2"
"2 on scale 1-7 ","2010","Couple + C. LE and GT 16","284","0.250141699209815","0.223883037069385","0.276400361350246","2"
"2 on scale 1-7 ","2010","Couple + C. GT 16 ","683","0.215513373745439","0.200329431175931","0.230697316314947","2"
"2 on scale 1-7 ","2010","1-pers.-HH","655","0.233110025099198","0.217258345667969","0.248961704530427","2"
"3 on scale 1-7 ","2010","(Married) couple without C. ","1227","0.198581428856344","0.188734414701244","0.208428443011444","3"
"3 on scale 1-7 ","2010","Single parent ","162","0.189405804461077","0.163619763516505","0.21519184540565","3"
"3 on scale 1-7 ","2010","1-pers.-HH","494","0.182395588775886","0.167917639406952","0.196873538144821","3"
"3 on scale 1-7 ","2010","Couple + C. LE and GT 16","202","0.22404896270922","0.198768875162761","0.249329050255679","3"
"3 on scale 1-7 ","2010","Couple + C. GT 16 ","583","0.211260201968129","0.196186136736815","0.226334267199443","3"
"3 on scale 1-7 ","2010","Couple + C. LE 16 ","514","0.189533297052189","0.174291310293503","0.204775283810875","3"
"4 on scale 1-7","2010","Couple + C. LE and GT 16","178","0.16827944296735","0.145596771813946","0.190962114120754","4"
"4 on scale 1-7","2010","Couple + C. GT 16 ","504","0.207504078465928","0.192529089742529","0.222479067189327","4"
"4 on scale 1-7","2010","Single parent ","153","0.186449289448254","0.16081867830304","0.212079900593468","4"
"4 on scale 1-7","2010","(Married) couple without C. ","986","0.161379013202647","0.152298467750091","0.170459558655203","4"
"4 on scale 1-7","2010","Couple + C. LE 16 ","456","0.186453067430526","0.171306741260309","0.201599393600744","4"
"4 on scale 1-7","2010","1-pers.-HH","398","0.148763731068139","0.135422316916509","0.162105145219769","4"
"5 on scale 1-7","2010","Couple + C. LE and GT 16","87","0.0995285931553712","0.0813776648252457","0.117679521485497","5"
"5 on scale 1-7","2010","Single parent ","80","0.0913894595138653","0.0724257532018416","0.110353165825889","5"
"5 on scale 1-7","2010","Couple + C. GT 16 ","283","0.09687534780785","0.0859525183352748","0.107798177280425","5"
"5 on scale 1-7","2010","Couple + C. LE 16 ","237","0.108572191385388","0.0964736330316489","0.120670749739127","5"
"5 on scale 1-7","2010","(Married) couple without C. ","575","0.0983770572724458","0.0910257438975981","0.105728370647294","5"
"5 on scale 1-7","2010","1-pers.-HH","195","0.0749764253401439","0.0651030183117795","0.0848498323685083","5"
"6 on scale 1-7","2010","Couple + C. LE and GT 16","40","0.032199523955962","0.0214964731488022","0.0429025747631218","6"
"6 on scale 1-7","2010","Single parent ","29","","","","6"
"6 on scale 1-7","2010","Couple + C. GT 16 ","146","0.0551052531844521","0.0466788373777928","0.0635316689911113","6"
"6 on scale 1-7","2010","(Married) couple without C. ","200","0.0323999533655194","0.02802950817213","0.0367703985589088","6"
"6 on scale 1-7","2010","Couple + C. LE 16 ","98","0.0444384112034426","0.0364245865373689","0.0524522358695162","6"
"6 on scale 1-7","2010","1-pers.-HH","101","0.036033141421697","0.0290458253381225","0.0430204575052716","6"
"7 Strongly agree","2010","Couple + C. LE and GT 16","24","","","","7"
"7 Strongly agree","2010","1-pers.-HH","88","0.0290798390128123","0.0227801946345906","0.035379483391034","7"
"7 Strongly agree","2010","(Married) couple without C. ","177","0.0326721594452628","0.0282840110162498","0.0370603078742757","7"
"7 Strongly agree","2010","Single parent ","31","0.0445887385669547","0.0310057901254964","0.058171687008413","7"
"7 Strongly agree","2010","Couple + C. LE 16 ","80","0.0302613664107745","0.0235993937101925","0.0369233391113565","7"
"7 Strongly agree","2010","Couple + C. GT 16 ","104","0.0513854927502811","0.0432324482775665","0.0595385372229957","7"
"1 Strongly disagree","2011","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2011","Single parent ","","","","","1"
"1 Strongly disagree","2011","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2011","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2011","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2011","1-pers.-HH","","","","","1"
"2 on scale 1-7 ","2011","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2011","Single parent ","","","","","2"
"2 on scale 1-7 ","2011","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2011","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2011","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2011","Couple + C. GT 16 ","","","","","2"
"3 on scale 1-7 ","2011","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2011","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2011","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2011","Single parent ","","","","","3"
"3 on scale 1-7 ","2011","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2011","1-pers.-HH","","","","","3"
"4 on scale 1-7","2011","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2011","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2011","Single parent ","","","","","4"
"4 on scale 1-7","2011","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2011","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2011","1-pers.-HH","","","","","4"
"5 on scale 1-7","2011","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2011","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2011","Single parent ","","","","","5"
"5 on scale 1-7","2011","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2011","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2011","1-pers.-HH","","","","","5"
"6 on scale 1-7","2011","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2011","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2011","Single parent ","","","","","6"
"6 on scale 1-7","2011","1-pers.-HH","","","","","6"
"6 on scale 1-7","2011","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2011","Couple + C. GT 16 ","","","","","6"
"7 Strongly agree","2011","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2011","Single parent ","","","","","7"
"7 Strongly agree","2011","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2011","1-pers.-HH","","","","","7"
"7 Strongly agree","2011","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2011","Couple + C. GT 16 ","","","","","7"
"1 Strongly disagree","2012","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2012","Single parent ","","","","","1"
"1 Strongly disagree","2012","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2012","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2012","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2012","1-pers.-HH","","","","","1"
"2 on scale 1-7 ","2012","Single parent ","","","","","2"
"2 on scale 1-7 ","2012","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2012","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2012","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2012","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2012","Couple + C. GT 16 ","","","","","2"
"3 on scale 1-7 ","2012","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2012","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2012","Single parent ","","","","","3"
"3 on scale 1-7 ","2012","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2012","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2012","1-pers.-HH","","","","","3"
"4 on scale 1-7","2012","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2012","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2012","Single parent ","","","","","4"
"4 on scale 1-7","2012","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2012","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2012","1-pers.-HH","","","","","4"
"5 on scale 1-7","2012","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2012","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2012","Single parent ","","","","","5"
"5 on scale 1-7","2012","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2012","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2012","1-pers.-HH","","","","","5"
"6 on scale 1-7","2012","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2012","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2012","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2012","1-pers.-HH","","","","","6"
"6 on scale 1-7","2012","Single parent ","","","","","6"
"6 on scale 1-7","2012","Couple + C. LE 16 ","","","","","6"
"7 Strongly agree","2012","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2012","Single parent ","","","","","7"
"7 Strongly agree","2012","1-pers.-HH","","","","","7"
"7 Strongly agree","2012","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2012","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2012","Couple + C. GT 16 ","","","","","7"
"1 Strongly disagree","2013","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2013","Single parent ","","","","","1"
"1 Strongly disagree","2013","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2013","1-pers.-HH","","","","","1"
"1 Strongly disagree","2013","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2013","Couple + C. GT 16 ","","","","","1"
"2 on scale 1-7 ","2013","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2013","Single parent ","","","","","2"
"2 on scale 1-7 ","2013","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2013","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2013","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2013","Couple + C. GT 16 ","","","","","2"
"3 on scale 1-7 ","2013","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2013","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2013","Single parent ","","","","","3"
"3 on scale 1-7 ","2013","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2013","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2013","1-pers.-HH","","","","","3"
"4 on scale 1-7","2013","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2013","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2013","Single parent ","","","","","4"
"4 on scale 1-7","2013","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2013","1-pers.-HH","","","","","4"
"4 on scale 1-7","2013","(Married) couple without C. ","","","","","4"
"5 on scale 1-7","2013","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2013","Single parent ","","","","","5"
"5 on scale 1-7","2013","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2013","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2013","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2013","1-pers.-HH","","","","","5"
"6 on scale 1-7","2013","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2013","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2013","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2013","Single parent ","","","","","6"
