"plh0206i03","year","regtyp","n","percent","lower_confidence","upper_confidence"
"5 on scale 1-7","2010","Rural Area","552","0.0935326383857119","0.0859314455224699","0.101133831248954"
"6 on scale 1-7","2010","Urban Area","372","0.0337825946286235","0.0304055686355295","0.0371596206217174"
"6 on scale 1-7","2010","Rural Area","251","0.0499924493871673","0.0443033986114671","0.0556815001628674"
"7 Strongly agree","2010","Urban Area","317","0.0317517016814964","0.0284743175383207","0.035029085824672"
"7 Strongly agree","2010","Rural Area","199","0.0408452542604728","0.0356782452900392","0.0460122632309063"
"1 Strongly disagree","2011","Urban Area","","","",""
"1 Strongly disagree","2011","Rural Area","","","",""
"2 on scale 1-7 ","2011","Urban Area","","","",""
"2 on scale 1-7 ","2011","Rural Area","","","",""
"3 on scale 1-7 ","2011","Urban Area","","","",""
"3 on scale 1-7 ","2011","Rural Area","","","",""
"4 on scale 1-7","2011","Urban Area","","","",""
"4 on scale 1-7","2011","Rural Area","","","",""
"5 on scale 1-7","2011","Urban Area","","","",""
"5 on scale 1-7","2011","Rural Area","","","",""
"6 on scale 1-7","2011","Urban Area","","","",""
"6 on scale 1-7","2011","Rural Area","","","",""
"7 Strongly agree","2011","Urban Area","","","",""
"7 Strongly agree","2011","Rural Area","","","",""
"1 Strongly disagree","2012","Urban Area","","","",""
"1 Strongly disagree","2012","Rural Area","","","",""
"2 on scale 1-7 ","2012","Urban Area","","","",""
"2 on scale 1-7 ","2012","Rural Area","","","",""
"3 on scale 1-7 ","2012","Urban Area","","","",""
"3 on scale 1-7 ","2012","Rural Area","","","",""
"4 on scale 1-7","2012","Urban Area","","","",""
"4 on scale 1-7","2012","Rural Area","","","",""
"5 on scale 1-7","2012","Urban Area","","","",""
"5 on scale 1-7","2012","Rural Area","","","",""
"6 on scale 1-7","2012","Urban Area","","","",""
"6 on scale 1-7","2012","Rural Area","","","",""
"7 Strongly agree","2012","Urban Area","","","",""
"7 Strongly agree","2012","Rural Area","","","",""
"1 Strongly disagree","2013","Urban Area","","","",""
"1 Strongly disagree","2013","Rural Area","","","",""
"2 on scale 1-7 ","2013","Urban Area","","","",""
"2 on scale 1-7 ","2013","Rural Area","","","",""
"3 on scale 1-7 ","2013","Urban Area","","","",""
"3 on scale 1-7 ","2013","Rural Area","","","",""
"4 on scale 1-7","2013","Urban Area","","","",""
"4 on scale 1-7","2013","Rural Area","","","",""
"5 on scale 1-7","2013","Urban Area","","","",""
"5 on scale 1-7","2013","Rural Area","","","",""
"6 on scale 1-7","2013","Urban Area","","","",""
"6 on scale 1-7","2013","Rural Area","","","",""
"7 Strongly agree","2013","Urban Area","","","",""
"7 Strongly agree","2013","Rural Area","","","",""
"1 Strongly disagree","2014","Urban Area","","","",""
"1 Strongly disagree","2014","Rural Area","","","",""
"2 on scale 1-7 ","2014","Urban Area","","","",""
"2 on scale 1-7 ","2014","Rural Area","","","",""
"3 on scale 1-7 ","2014","Urban Area","","","",""
"3 on scale 1-7 ","2014","Rural Area","","","",""
"4 on scale 1-7","2014","Urban Area","","","",""
"4 on scale 1-7","2014","Rural Area","","","",""
"5 on scale 1-7","2014","Urban Area","","","",""
"5 on scale 1-7","2014","Rural Area","","","",""
"6 on scale 1-7","2014","Urban Area","","","",""
"6 on scale 1-7","2014","Rural Area","","","",""
"7 Strongly agree","2014","Urban Area","","","",""
"7 Strongly agree","2014","Rural Area","","","",""
"1 Strongly disagree","2015","Urban Area","6120","0.323082779086821","0.316171992000067","0.329993566173576"
"1 Strongly disagree","2015","Rural Area","2829","0.286960187771613","0.277679089568577","0.296241285974649"
"2 on scale 1-7 ","2015","Urban Area","5016","0.288077475679047","0.281385199658809","0.294769751699284"
"2 on scale 1-7 ","2015","Rural Area","2528","0.283220011893214","0.273975445227503","0.292464578558925"
"3 on scale 1-7 ","2015","Urban Area","2629","0.160627650719483","0.155201519278584","0.166053782160382"
"3 on scale 1-7 ","2015","Rural Area","1469","0.174071999485006","0.16629222141454","0.181851777555473"
"4 on scale 1-7","2015","Urban Area","1973","0.117369178602822","0.112612876804794","0.12212548040085"
"4 on scale 1-7","2015","Rural Area","1170","0.129214250399274","0.122331809078746","0.136096691719802"
"5 on scale 1-7","2015","Urban Area","959","0.0586294767734231","0.0551577852138543","0.0621011683329919"
"5 on scale 1-7","2015","Rural Area","582","0.0651207145472419","0.0600581683232188","0.070183260771265"
"6 on scale 1-7","2015","Urban Area","474","0.0303256421960759","0.027791559486825","0.0328597249053268"
"6 on scale 1-7","2015","Rural Area","288","0.0329456208868391","0.0292833037369312","0.0366079380367471"
"7 Strongly agree","2015","Urban Area","420","0.0218877969423285","0.0197255853527899","0.0240500085318671"
"7 Strongly agree","2015","Rural Area","259","0.028467215016812","0.0250550276113034","0.0318794024223206"
"1 Strongly disagree","2016","Urban Area","2314","0.611261224565813","0.593782885939145","0.628739563192481"
"1 Strongly disagree","2016","Rural Area","1031","0.698830254498284","0.67423018226891","0.723430326727659"
"2 on scale 1-7 ","2016","Urban Area","275","0.119923161324372","0.108274671502599","0.131571651146146"
"2 on scale 1-7 ","2016","Rural Area","121","0.135516000418577","0.117162511689053","0.153869489148102"
"3 on scale 1-7 ","2016","Urban Area","102","0.083855038347655","0.0739169129074914","0.0937931637878185"
"3 on scale 1-7 ","2016","Rural Area","45","0.0419296133014811","0.0311821988013525","0.0526770278016097"
"4 on scale 1-7","2016","Urban Area","116","0.0867052362928622","0.0766153576824186","0.0967951149033058"
"4 on scale 1-7","2016","Rural Area","60","0.0627291409952536","0.0497270832840799","0.0757311987064273"
"5 on scale 1-7","2016","Urban Area","77","0.037121727157852","0.0303428529474749","0.0439006013682291"
"5 on scale 1-7","2016","Rural Area","22","","",""
"6 on scale 1-7","2016","Urban Area","31","0.0185197547936746","0.0136856485405133","0.0233538610468359"
"6 on scale 1-7","2016","Rural Area","21","","",""
"7 Strongly agree","2016","Urban Area","73","0.042613857517771","0.035371552899447","0.049856162136095"
"7 Strongly agree","2016","Rural Area","36","0.0173302571221097","0.0103326241952391","0.0243278900489803"
"1 Strongly disagree","2017","Urban Area","1544","0.712525339698688","0.693019135535922","0.732031543861455"
"1 Strongly disagree","2017","Rural Area","625","0.829345639228552","0.802756064027553","0.85593521442955"
"2 on scale 1-7 ","2017","Urban Area","208","0.110224161705129","0.0967267178299402","0.123721605580318"
"2 on scale 1-7 ","2017","Rural Area","63","0.0913757293197434","0.0710103494197271","0.11174110921976"
"3 on scale 1-7 ","2017","Urban Area","84","0.0371296094710169","0.0289803728080285","0.0452788461340052"
"3 on scale 1-7 ","2017","Rural Area","27","","",""
"4 on scale 1-7","2017","Urban Area","86","0.0483949704447867","0.0391458315210813","0.0576441093684922"
"4 on scale 1-7","2017","Rural Area","15","","",""
"5 on scale 1-7","2017","Urban Area","43","0.0221866323626592","0.0158384922683762","0.0285347724569423"
"5 on scale 1-7","2017","Rural Area","10","","",""
"6 on scale 1-7","2017","Urban Area","22","","",""
"6 on scale 1-7","2017","Rural Area","9","","",""
"7 Strongly agree","2017","Urban Area","81","0.0549613285528846","0.0451387338405401","0.064783923265229"
"7 Strongly agree","2017","Rural Area","20","","",""
"1 Strongly disagree","2018","Urban Area","196","0.794227518562962","0.745182607647896","0.843272429478027"
"1 Strongly disagree","2018","Rural Area","110","0.779893452501804","0.713589933399399","0.846196971604208"
"2 on scale 1-7 ","2018","Urban Area","23","","",""
"2 on scale 1-7 ","2018","Rural Area","11","","",""
"3 on scale 1-7 ","2018","Urban Area","13","","",""
"3 on scale 1-7 ","2018","Rural Area","4","","",""
"4 on scale 1-7","2018","Urban Area","13","","",""
"4 on scale 1-7","2018","Rural Area","6","","",""
"5 on scale 1-7","2018","Urban Area","4","","",""
"5 on scale 1-7","2018","Rural Area","3","","",""
"6 on scale 1-7","2018","Urban Area","2","","",""
"6 on scale 1-7","2018","Rural Area","5","","",""
"7 Strongly agree","2018","Urban Area","10","","",""
"7 Strongly agree","2018","Rural Area","11","","",""
"1 Strongly disagree","2019","Urban Area","104","0.651468856361508","0.580049215663426","0.72288849705959"
"1 Strongly disagree","2019","Rural Area","60","0.611651744431178","0.516602166479982","0.706701322382373"
"2 on scale 1-7 ","2019","Urban Area","16","","",""
"2 on scale 1-7 ","2019","Rural Area","20","","",""
"3 on scale 1-7 ","2019","Urban Area","21","","",""
"3 on scale 1-7 ","2019","Rural Area","8","","",""
"4 on scale 1-7","2019","Urban Area","9","","",""
"4 on scale 1-7","2019","Rural Area","8","","",""
"5 on scale 1-7","2019","Urban Area","9","","",""
"5 on scale 1-7","2019","Rural Area","2","","",""
"6 on scale 1-7","2019","Urban Area","5","","",""
"6 on scale 1-7","2019","Rural Area","1","","",""
"7 Strongly agree","2019","Urban Area","7","","",""
"7 Strongly agree","2019","Rural Area","2","","",""
