"plh0206i03","year","n","percent","lower_confidence","upper_confidence"
"3 on scale 1-7 ","2015","4098","0.164849483742821","0.160400215945857","0.169298751539785"
"4 on scale 1-7","2015","3143","0.121088802077803","0.117176910008969","0.125000694146638"
"5 on scale 1-7","2015","1541","0.0606678739076991","0.0578053353231733","0.063530412492225"
"6 on scale 1-7","2015","762","0.0311483754314314","0.029065282190088","0.0332314686727748"
"7 Strongly agree","2015","679","0.0239538847079506","0.0221203652646813","0.0257874041512199"
"1 Strongly disagree","2016","3345","0.63536518420482","0.621018682255257","0.649711686154383"
"2 on scale 1-7 ","2016","396","0.124215194300804","0.114384338792363","0.134046049809244"
"3 on scale 1-7 ","2016","147","0.0723147854301511","0.0645947531411236","0.0800348177191787"
"4 on scale 1-7","2016","176","0.0801056561239349","0.0720145888228532","0.0881967234250166"
"5 on scale 1-7","2016","99","0.0342836181845206","0.0288601965086403","0.0397070398604009"
"6 on scale 1-7","2016","52","0.01806118390719","0.0140918231676884","0.0220305446466916"
"7 Strongly agree","2016","109","0.0356543778485802","0.0301275232871951","0.0411812324099652"
"1 Strongly disagree","2017","2169","0.743940361636591","0.727879899133518","0.760000824139664"
"2 on scale 1-7 ","2017","271","0.105155488544172","0.0938677176724363","0.116443259415908"
"3 on scale 1-7 ","2017","111","0.0347529354783482","0.0280133464452655","0.0414925245114309"
"4 on scale 1-7","2017","101","0.0396370989898013","0.0324577173315642","0.0468164806480384"
"5 on scale 1-7","2017","53","0.0181807448913544","0.0132644261473124","0.0230970636353963"
"6 on scale 1-7","2017","31","0.012430714182518","0.00835362462902473","0.0165078037360114"
"7 Strongly agree","2017","101","0.045902656277215","0.038201894735765","0.0536034178186649"
"1 Strongly disagree","2018","306","0.789341351202358","0.749918388913801","0.828764313490915"
"2 on scale 1-7 ","2018","34","0.0548128841780534","0.032807578595061","0.0768181897610457"
"3 on scale 1-7 ","2018","17","","",""
"4 on scale 1-7","2018","19","","",""
"5 on scale 1-7","2018","7","","",""
"6 on scale 1-7","2018","7","","",""
"7 Strongly agree","2018","21","","",""
"1 Strongly disagree","2019","166","0.637135441503655","0.580306456139177","0.693964426868134"
"2 on scale 1-7 ","2019","36","0.119169835621534","0.0808775752163749","0.157462096026694"
"3 on scale 1-7 ","2019","29","","",""
"4 on scale 1-7","2019","18","","",""
"5 on scale 1-7","2019","11","","",""
"6 on scale 1-7","2019","6","","",""
"7 Strongly agree","2019","9","","",""
