"plh0206i03","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"2 on scale 1-7 ","2008","East Germany","","","","","2"
"3 on scale 1-7 ","2008","East Germany","","","","","3"
"3 on scale 1-7 ","2008","West Germany","","","","","3"
"4 on scale 1-7","2008","West Germany","","","","","4"
"4 on scale 1-7","2008","East Germany","","","","","4"
"5 on scale 1-7","2008","East Germany","","","","","5"
"5 on scale 1-7","2008","West Germany","","","","","5"
"6 on scale 1-7","2008","East Germany","","","","","6"
"6 on scale 1-7","2008","West Germany","","","","","6"
"7 Strongly agree","2008","West Germany","","","","","7"
"7 Strongly agree","2008","East Germany","","","","","7"
"1 Strongly disagree","2009","West Germany","","","","","1"
"1 Strongly disagree","2009","East Germany","","","","","1"
"2 on scale 1-7 ","2009","East Germany","","","","","2"
"2 on scale 1-7 ","2009","West Germany","","","","","2"
"3 on scale 1-7 ","2009","West Germany","","","","","3"
"3 on scale 1-7 ","2009","East Germany","","","","","3"
"4 on scale 1-7","2009","East Germany","","","","","4"
"4 on scale 1-7","2009","West Germany","","","","","4"
"5 on scale 1-7","2009","East Germany","","","","","5"
"5 on scale 1-7","2009","West Germany","","","","","5"
"6 on scale 1-7","2009","East Germany","","","","","6"
"6 on scale 1-7","2009","West Germany","","","","","6"
"7 Strongly agree","2009","West Germany","","","","","7"
"7 Strongly agree","2009","East Germany","","","","","7"
"1 Strongly disagree","2010","West Germany","2988","0.238123458462524","0.23065781921696","0.245589097708087","1"
"1 Strongly disagree","2010","East Germany","926","0.243517639930266","0.230424528545633","0.256610751314899","1"
"2 on scale 1-7 ","2010","West Germany","3117","0.230436060517253","0.223054958904874","0.237817162129631","2"
"2 on scale 1-7 ","2010","East Germany","1015","0.229440522317501","0.216613779373285","0.242267265261717","2"
"3 on scale 1-7 ","2010","East Germany","794","0.185701648083986","0.1738391022443","0.197564193923672","3"
"3 on scale 1-7 ","2010","West Germany","2442","0.197729626256171","0.190748590560202","0.20471066195214","3"
"4 on scale 1-7","2010","East Germany","700","0.165928290449773","0.154579746040577","0.177276834858969","4"
"4 on scale 1-7","2010","West Germany","2028","0.170034276128753","0.16344978941741","0.176618762840097","4"
"5 on scale 1-7","2010","East Germany","390","0.0899934759617221","0.0812636414112886","0.0987233105121556","5"
"5 on scale 1-7","2010","West Germany","1093","0.0930067890695902","0.0879160252104847","0.0980975529286957","5"
"6 on scale 1-7","2010","West Germany","447","0.0362181066704737","0.0329433739311234","0.039492839409824","6"
"6 on scale 1-7","2010","East Germany","176","0.0502602709317571","0.043595381297857","0.0569251605656572","6"
"7 Strongly agree","2010","West Germany","389","0.0344516828952353","0.0312548801851561","0.0376484856053144","7"
"7 Strongly agree","2010","East Germany","127","0.0351581523249951","0.0295396659211152","0.0407766387288749","7"
"1 Strongly disagree","2011","West Germany","","","","","1"
"1 Strongly disagree","2011","East Germany","","","","","1"
"2 on scale 1-7 ","2011","East Germany","","","","","2"
"2 on scale 1-7 ","2011","West Germany","","","","","2"
"3 on scale 1-7 ","2011","West Germany","","","","","3"
"3 on scale 1-7 ","2011","East Germany","","","","","3"
"4 on scale 1-7","2011","East Germany","","","","","4"
"4 on scale 1-7","2011","West Germany","","","","","4"
"5 on scale 1-7","2011","East Germany","","","","","5"
"5 on scale 1-7","2011","West Germany","","","","","5"
"6 on scale 1-7","2011","East Germany","","","","","6"
"6 on scale 1-7","2011","West Germany","","","","","6"
"7 Strongly agree","2011","West Germany","","","","","7"
"7 Strongly agree","2011","East Germany","","","","","7"
"1 Strongly disagree","2012","West Germany","","","","","1"
"1 Strongly disagree","2012","East Germany","","","","","1"
"2 on scale 1-7 ","2012","West Germany","","","","","2"
"2 on scale 1-7 ","2012","East Germany","","","","","2"
"3 on scale 1-7 ","2012","East Germany","","","","","3"
"3 on scale 1-7 ","2012","West Germany","","","","","3"
"4 on scale 1-7","2012","East Germany","","","","","4"
"4 on scale 1-7","2012","West Germany","","","","","4"
"5 on scale 1-7","2012","East Germany","","","","","5"
"5 on scale 1-7","2012","West Germany","","","","","5"
"6 on scale 1-7","2012","West Germany","","","","","6"
"6 on scale 1-7","2012","East Germany","","","","","6"
"7 Strongly agree","2012","West Germany","","","","","7"
"7 Strongly agree","2012","East Germany","","","","","7"
"1 Strongly disagree","2013","West Germany","","","","","1"
"1 Strongly disagree","2013","East Germany","","","","","1"
"2 on scale 1-7 ","2013","East Germany","","","","","2"
"2 on scale 1-7 ","2013","West Germany","","","","","2"
"3 on scale 1-7 ","2013","East Germany","","","","","3"
"3 on scale 1-7 ","2013","West Germany","","","","","3"
"4 on scale 1-7","2013","East Germany","","","","","4"
"4 on scale 1-7","2013","West Germany","","","","","4"
"5 on scale 1-7","2013","West Germany","","","","","5"
"5 on scale 1-7","2013","East Germany","","","","","5"
"6 on scale 1-7","2013","East Germany","","","","","6"
"6 on scale 1-7","2013","West Germany","","","","","6"
"7 Strongly agree","2013","West Germany","","","","","7"
"7 Strongly agree","2013","East Germany","","","","","7"
"1 Strongly disagree","2014","West Germany","","","","","1"
"1 Strongly disagree","2014","East Germany","","","","","1"
"2 on scale 1-7 ","2014","West Germany","","","","","2"
"2 on scale 1-7 ","2014","East Germany","","","","","2"
"3 on scale 1-7 ","2014","East Germany","","","","","3"
"3 on scale 1-7 ","2014","West Germany","","","","","3"
"4 on scale 1-7","2014","East Germany","","","","","4"
"4 on scale 1-7","2014","West Germany","","","","","4"
"5 on scale 1-7","2014","East Germany","","","","","5"
"5 on scale 1-7","2014","West Germany","","","","","5"
"6 on scale 1-7","2014","West Germany","","","","","6"
"6 on scale 1-7","2014","East Germany","","","","","6"
"7 Strongly agree","2014","West Germany","","","","","7"
"7 Strongly agree","2014","East Germany","","","","","7"
"1 Strongly disagree","2015","West Germany","7316","0.318137094183021","0.311880082711375","0.324394105654667","1"
"1 Strongly disagree","2015","East Germany","1633","0.282238975709205","0.270268632042199","0.294209319376212","1"
"2 on scale 1-7 ","2015","East Germany","1521","0.285834733056647","0.273818591045833","0.29785087506746","2"
"2 on scale 1-7 ","2015","West Germany","6023","0.286707697578325","0.280632439816346","0.292782955340304","2"
"3 on scale 1-7 ","2015","East Germany","902","0.179934057430641","0.169717860305217","0.190150254556066","3"
"3 on scale 1-7 ","2015","West Germany","3196","0.161578161202873","0.156633530223177","0.166522792182569","3"
"4 on scale 1-7","2015","East Germany","657","0.113123508287199","0.104699550266405","0.121547466307992","4"
"4 on scale 1-7","2015","West Germany","2486","0.122816198930626","0.118406749245837","0.127225648615415","4"
"5 on scale 1-7","2015","West Germany","1159","0.056988125764313","0.0538738143933811","0.060102437135245","5"
"5 on scale 1-7","2015","East Germany","382","0.0776357611593181","0.0705188699765546","0.0847526523420816","5"
"6 on scale 1-7","2015","East Germany","170","0.0318334793163083","0.0271644642627098","0.0365024943699068","6"
"6 on scale 1-7","2015","West Germany","592","0.0309998000837162","0.0286714266059744","0.033328173561458","6"
"7 Strongly agree","2015","West Germany","513","0.0227729222571257","0.0207688268550672","0.0247770176591843","7"
"7 Strongly agree","2015","East Germany","166","0.0293994850406821","0.024906879276129","0.0338920908052353","7"
"1 Strongly disagree","2016","West Germany","2799","0.612484670071693","0.596559257247554","0.628410082895832","1"
"1 Strongly disagree","2016","East Germany","546","0.771274056038262","0.740784829819025","0.801763282257498","1"
"2 on scale 1-7 ","2016","East Germany","79","0.099161302909469","0.0774653386889131","0.120857267130025","2"
"2 on scale 1-7 ","2016","West Germany","317","0.128433064027305","0.117496335335852","0.139369792718758","2"
"3 on scale 1-7 ","2016","East Germany","26","","","","3"
"3 on scale 1-7 ","2016","West Germany","121","0.0768258425552102","0.0681203343545213","0.085531350755899","3"
"4 on scale 1-7","2016","West Germany","145","0.0873871397691097","0.0781557795436979","0.0966184999945214","4"
"4 on scale 1-7","2016","East Germany","31","0.0368540831159414","0.0231776395969933","0.0505305266348895","4"
"5 on scale 1-7","2016","East Germany","10","","","","5"
"5 on scale 1-7","2016","West Germany","89","0.0376302239978768","0.031409541537502","0.0438509064582516","5"
"6 on scale 1-7","2016","West Germany","45","0.0198004592415892","0.015246454037166","0.0243544644460124","6"
"6 on scale 1-7","2016","East Germany","7","","","","6"
"7 Strongly agree","2016","West Germany","79","0.0374386003372162","0.0312331591120592","0.0436440415623732","7"
"7 Strongly agree","2016","East Germany","30","0.0250562040435912","0.0137104920394178","0.0364019160477645","7"
"1 Strongly disagree","2017","West Germany","1977","0.748145761039621","0.731376591252451","0.764914930826791","1"
"1 Strongly disagree","2017","East Germany","192","0.713687797848494","0.659056152399831","0.768319443297157","1"
"2 on scale 1-7 ","2017","East Germany","29","","","","2"
"2 on scale 1-7 ","2017","West Germany","242","0.107322703426518","0.0953653004283645","0.119280106424672","2"
"3 on scale 1-7 ","2017","East Germany","7","","","","3"
"3 on scale 1-7 ","2017","West Germany","104","0.0376942906427444","0.0303366573538153","0.0450519239316736","3"
"4 on scale 1-7","2017","East Germany","13","","","","4"
"4 on scale 1-7","2017","West Germany","88","0.0322550225566653","0.0254297035002535","0.0390803416130771","4"
"5 on scale 1-7","2017","West Germany","48","0.0182657700625285","0.0130925639777299","0.023438976147327","5"
"5 on scale 1-7","2017","East Germany","5","","","","5"
"6 on scale 1-7","2017","East Germany","3","","","","6"
"6 on scale 1-7","2017","West Germany","28","","","","6"
"7 Strongly agree","2017","West Germany","87","0.0431510173545989","0.0353011731187571","0.0510008615904407","7"
"7 Strongly agree","2017","East Germany","14","","","","7"
"1 Strongly disagree","2018","East Germany","39","0.902348893985352","0.817484602349868","0.987213185620836","1"
"1 Strongly disagree","2018","West Germany","267","0.769511309877333","0.726247006755981","0.812775612998684","1"
"2 on scale 1-7 ","2018","East Germany","1","","","","2"
"2 on scale 1-7 ","2018","West Germany","33","0.0639419971894341","0.0388091391577019","0.0890748552211663","2"
"3 on scale 1-7 ","2018","East Germany","1","","","","3"
"3 on scale 1-7 ","2018","West Germany","16","","","","3"
"4 on scale 1-7","2018","West Germany","17","","","","4"
"4 on scale 1-7","2018","East Germany","2","","","","4"
"5 on scale 1-7","2018","East Germany","","","","","5"
"5 on scale 1-7","2018","West Germany","7","","","","5"
"6 on scale 1-7","2018","West Germany","5","","","","6"
"6 on scale 1-7","2018","East Germany","2","","","","6"
"7 Strongly agree","2018","West Germany","19","","","","7"
"7 Strongly agree","2018","East Germany","2","","","","7"
"1 Strongly disagree","2019","East Germany","15","","","","1"
"1 Strongly disagree","2019","West Germany","151","0.635673365557418","0.576256424539839","0.695090306574997","1"
"2 on scale 1-7 ","2019","East Germany","1","","","","2"
"2 on scale 1-7 ","2019","West Germany","35","0.130894862585375","0.0892515489386908","0.172538176232059","2"
"3 on scale 1-7 ","2019","West Germany","26","","","","3"
"3 on scale 1-7 ","2019","East Germany","3","","","","3"
"4 on scale 1-7","2019","East Germany","2","","","","4"
"4 on scale 1-7","2019","West Germany","16","","","","4"
"5 on scale 1-7","2019","West Germany","11","","","","5"
"5 on scale 1-7","2019","East Germany","","","","","5"
"6 on scale 1-7","2019","East Germany","","","","","6"
"6 on scale 1-7","2019","West Germany","6","","","","6"
"7 Strongly agree","2019","West Germany","7","","","","7"
"7 Strongly agree","2019","East Germany","2","","","","7"
