"plh0206i03","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"3 on scale 1-7 ","2017","16-34 y.","76","0.0321839573041515","0.0241198683532017","0.0402480462551014","3"
"4 on scale 1-7","2017","35-65 y.","19","","","","4"
"4 on scale 1-7","2017","66 and older","","","","","4"
"4 on scale 1-7","2017","16-34 y.","82","0.0478940553462998","0.0381369133856318","0.0576511973069678","4"
"5 on scale 1-7","2017","66 and older","1","","","","5"
"5 on scale 1-7","2017","16-34 y.","42","0.021855708234298","0.0151749910959146","0.0285364253726813","5"
"5 on scale 1-7","2017","35-65 y.","10","","","","5"
"6 on scale 1-7","2017","35-65 y.","10","","","","6"
"6 on scale 1-7","2017","16-34 y.","21","","","","6"
"6 on scale 1-7","2017","66 and older","","","","","6"
"7 Strongly agree","2017","66 and older","","","","","7"
"7 Strongly agree","2017","16-34 y.","78","0.052258682516929","0.0420900321504512","0.0624273328834068","7"
"7 Strongly agree","2017","35-65 y.","23","","","","7"
"1 Strongly disagree","2018","35-65 y.","126","0.806468604952201","0.745061450205733","0.867875759698668","1"
"1 Strongly disagree","2018","66 and older","4","","","","1"
"1 Strongly disagree","2018","16-34 y.","176","0.779136146864236","0.727507439761874","0.830764853966598","1"
"2 on scale 1-7 ","2018","66 and older","","","","","2"
"2 on scale 1-7 ","2018","35-65 y.","13","","","","2"
"2 on scale 1-7 ","2018","16-34 y.","21","","","","2"
"3 on scale 1-7 ","2018","35-65 y.","4","","","","3"
"3 on scale 1-7 ","2018","66 and older","","","","","3"
"3 on scale 1-7 ","2018","16-34 y.","13","","","","3"
"4 on scale 1-7","2018","35-65 y.","5","","","","4"
"4 on scale 1-7","2018","66 and older","","","","","4"
"4 on scale 1-7","2018","16-34 y.","14","","","","4"
"5 on scale 1-7","2018","16-34 y.","5","","","","5"
"5 on scale 1-7","2018","35-65 y.","2","","","","5"
"5 on scale 1-7","2018","66 and older","","","","","5"
"6 on scale 1-7","2018","35-65 y.","2","","","","6"
"6 on scale 1-7","2018","66 and older","","","","","6"
"6 on scale 1-7","2018","16-34 y.","5","","","","6"
"7 Strongly agree","2018","16-34 y.","14","","","","7"
"7 Strongly agree","2018","35-65 y.","7","","","","7"
"7 Strongly agree","2018","66 and older","","","","","7"
"1 Strongly disagree","2019","35-65 y.","78","0.641721466446026","0.556983270662119","0.726459662229934","1"
"1 Strongly disagree","2019","66 and older","4","","","","1"
"1 Strongly disagree","2019","16-34 y.","84","0.622892592142075","0.544276622021721","0.70150856226243","1"
"2 on scale 1-7 ","2019","66 and older","2","","","","2"
"2 on scale 1-7 ","2019","35-65 y.","18","","","","2"
"2 on scale 1-7 ","2019","16-34 y.","16","","","","2"
"3 on scale 1-7 ","2019","16-34 y.","19","","","","3"
"3 on scale 1-7 ","2019","35-65 y.","10","","","","3"
"3 on scale 1-7 ","2019","66 and older","","","","","3"
"4 on scale 1-7","2019","35-65 y.","9","","","","4"
"4 on scale 1-7","2019","16-34 y.","9","","","","4"
"4 on scale 1-7","2019","66 and older","","","","","4"
"5 on scale 1-7","2019","16-34 y.","8","","","","5"
"5 on scale 1-7","2019","35-65 y.","3","","","","5"
"5 on scale 1-7","2019","66 and older","","","","","5"
"6 on scale 1-7","2019","35-65 y.","3","","","","6"
"6 on scale 1-7","2019","16-34 y.","3","","","","6"
"6 on scale 1-7","2019","66 and older","","","","","6"
"7 Strongly agree","2019","16-34 y.","7","","","","7"
"7 Strongly agree","2019","35-65 y.","2","","","","7"
"7 Strongly agree","2019","66 and older","","","","","7"
