"plh0206i03","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no degree/no degree yet","in school","127","0.201237819093944","0.170320959042643","0.232154679145245"
"1 Strongly disagree","2005","no degree/no degree yet","inadequately","65","0.329413609107617","0.263276476441513","0.395550741773721"
"1 Strongly disagree","2005","no degree/no degree yet","general elemantary","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","middle vocational","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","vocational + Abi","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","higher vocational","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","higher education","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","in school","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","inadequately","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","general elemantary","292","0.18117518797647","0.161631409254554","0.200718966698385"
"2 on scale 1-7 ","2005","lower secondary degree","middle vocational","1056","0.205883905916792","0.194568196575912","0.217199615257673"
"2 on scale 1-7 ","2005","lower secondary degree","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","higher vocational","121","0.24571386619568","0.206025632768424","0.285402099622936"
"2 on scale 1-7 ","2005","lower secondary degree","higher education","45","0.246939679603226","0.184289442411515","0.309589916794936"
"2 on scale 1-7 ","2005","secondary school degree","in school","","","",""
"2 on scale 1-7 ","2005","secondary school degree","inadequately","","","",""
"2 on scale 1-7 ","2005","secondary school degree","general elemantary","125","0.20346361964377","0.170558735957845","0.236368503329695"
"2 on scale 1-7 ","2005","secondary school degree","middle vocational","987","0.237400708176068","0.224339993584023","0.250461422768113"
"2 on scale 1-7 ","2005","secondary school degree","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","secondary school degree","higher vocational","169","0.234623178770558","0.203095538545801","0.266150818995316"
"2 on scale 1-7 ","2005","secondary school degree","higher education","173","0.2760552447079","0.240894909624257","0.311215579791543"
"2 on scale 1-7 ","2005","college entrance qualification","in school","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","inadequately","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","general elemantary","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","middle vocational","209","0.263989449674707","0.232057322098911","0.295921577250504"
"2 on scale 1-7 ","2005","college entrance qualification","vocational + Abi","279","0.28201414486248","0.253430144623805","0.310598145101154"
"2 on scale 1-7 ","2005","college entrance qualification","higher vocational","99","0.306844647053592","0.258180052447562","0.355509241659622"
"2 on scale 1-7 ","2005","college entrance qualification","higher education","882","0.267630576962928","0.252179803904251","0.283081350021605"
"2 on scale 1-7 ","2005","Other degree","in school","","","",""
"2 on scale 1-7 ","2005","Other degree","inadequately","","","",""
"2 on scale 1-7 ","2005","Other degree","general elemantary","62","0.255475259434765","0.208277089395325","0.302673429474206"
"2 on scale 1-7 ","2005","Other degree","middle vocational","91","0.212379517850974","0.171683956429997","0.253075079271952"
"2 on scale 1-7 ","2005","Other degree","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Other degree","higher vocational","","","",""
"2 on scale 1-7 ","2005","Other degree","higher education","41","0.206146993345354","0.148010321186344","0.264283665504364"
"2 on scale 1-7 ","2005","no degree/no degree yet","in school","146","0.20752756929781","0.176255126057323","0.238800012538298"
"2 on scale 1-7 ","2005","no degree/no degree yet","inadequately","33","0.139068093385919","0.090377465164414","0.187758721607424"
"2 on scale 1-7 ","2005","no degree/no degree yet","general elemantary","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","middle vocational","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","higher vocational","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","higher education","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","in school","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","inadequately","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","general elemantary","228","0.150670246416016","0.132518617770564","0.168821875061469"
"3 on scale 1-7 ","2005","lower secondary degree","middle vocational","861","0.1778792846849","0.167177429545721","0.188581139824078"
"3 on scale 1-7 ","2005","lower secondary degree","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","higher vocational","81","0.161041776906223","0.127155932050804","0.194927621761641"
"3 on scale 1-7 ","2005","lower secondary degree","higher education","38","0.193369814555664","0.135992003981261","0.250747625130066"
"3 on scale 1-7 ","2005","secondary school degree","in school","","","",""
"3 on scale 1-7 ","2005","secondary school degree","inadequately","","","",""
"3 on scale 1-7 ","2005","secondary school degree","general elemantary","97","0.169097631306491","0.138459806443831","0.199735456169152"
"3 on scale 1-7 ","2005","secondary school degree","middle vocational","752","0.180867067133256","0.16905204126332","0.192682093003192"
"3 on scale 1-7 ","2005","secondary school degree","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","secondary school degree","higher vocational","136","0.188034420073598","0.15896369640169","0.217105143745505"
"3 on scale 1-7 ","2005","secondary school degree","higher education","113","0.191932993708463","0.160958743876868","0.222907243540059"
"3 on scale 1-7 ","2005","college entrance qualification","in school","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","inadequately","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","general elemantary","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","middle vocational","156","0.224442179061095","0.194218183302859","0.254666174819331"
"3 on scale 1-7 ","2005","college entrance qualification","vocational + Abi","203","0.201098372751922","0.175637074284467","0.226559671219378"
"3 on scale 1-7 ","2005","college entrance qualification","higher vocational","70","0.229039757663564","0.184698299321806","0.273381216005323"
"3 on scale 1-7 ","2005","college entrance qualification","higher education","627","0.193636991169982","0.179846596111805","0.207427386228159"
"3 on scale 1-7 ","2005","Other degree","in school","","","",""
"3 on scale 1-7 ","2005","Other degree","inadequately","","","",""
"3 on scale 1-7 ","2005","Other degree","general elemantary","33","0.111263216663025","0.0772323074431096","0.145294125882941"
"3 on scale 1-7 ","2005","Other degree","middle vocational","42","0.110345024350804","0.0791690947817601","0.141520953919847"
"3 on scale 1-7 ","2005","Other degree","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Other degree","higher vocational","","","",""
"3 on scale 1-7 ","2005","Other degree","higher education","43","0.26532666687477","0.201877020247423","0.328776313502118"
"3 on scale 1-7 ","2005","no degree/no degree yet","in school","118","0.190209796900342","0.159945225207504","0.22047436859318"
"3 on scale 1-7 ","2005","no degree/no degree yet","inadequately","37","0.235972821947946","0.176223549278829","0.295722094617062"
"3 on scale 1-7 ","2005","no degree/no degree yet","general elemantary","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","middle vocational","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","higher vocational","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","higher education","","","",""
"4 on scale 1-7","2005","lower secondary degree","in school","","","",""
"4 on scale 1-7","2005","lower secondary degree","inadequately","","","",""
"4 on scale 1-7","2005","lower secondary degree","general elemantary","262","0.180021544616464","0.160526369432857","0.199516719800072"
"4 on scale 1-7","2005","lower secondary degree","middle vocational","826","0.170024038696142","0.159511284593775","0.180536792798509"
"4 on scale 1-7","2005","lower secondary degree","vocational + Abi","","","",""
"4 on scale 1-7","2005","lower secondary degree","higher vocational","76","0.19085076602529","0.154623117887706","0.227078414162873"
"4 on scale 1-7","2005","lower secondary degree","higher education","","","",""
"4 on scale 1-7","2005","secondary school degree","in school","","","",""
"4 on scale 1-7","2005","secondary school degree","inadequately","","","",""
"4 on scale 1-7","2005","secondary school degree","general elemantary","103","0.192246696096459","0.160037270300144","0.224456121892774"
"4 on scale 1-7","2005","secondary school degree","middle vocational","710","0.177697397470233","0.165963721217513","0.189431073722953"
"4 on scale 1-7","2005","secondary school degree","vocational + Abi","","","",""
"4 on scale 1-7","2005","secondary school degree","higher vocational","128","0.193986650999123","0.16456782105864","0.223405480939606"
"4 on scale 1-7","2005","secondary school degree","higher education","109","0.167994646784685","0.138590195956264","0.197399097613106"
"4 on scale 1-7","2005","college entrance qualification","in school","","","",""
"4 on scale 1-7","2005","college entrance qualification","inadequately","","","",""
"4 on scale 1-7","2005","college entrance qualification","general elemantary","","","",""
"4 on scale 1-7","2005","college entrance qualification","middle vocational","116","0.153246537360825","0.12715099206884","0.17934208265281"
"4 on scale 1-7","2005","college entrance qualification","vocational + Abi","151","0.148396139290109","0.125814278341886","0.170978000238333"
"4 on scale 1-7","2005","college entrance qualification","higher vocational","47","0.132575570886209","0.0967917986479611","0.168359343124458"
"4 on scale 1-7","2005","college entrance qualification","higher education","484","0.161822312312479","0.148969312663327","0.17467531196163"
"4 on scale 1-7","2005","Other degree","in school","","","",""
"4 on scale 1-7","2005","Other degree","inadequately","","","",""
"4 on scale 1-7","2005","Other degree","general elemantary","54","0.139323163037085","0.101848055345278","0.176798270728892"
"4 on scale 1-7","2005","Other degree","middle vocational","78","0.214184442369802","0.1733631734455","0.255005711294105"
"4 on scale 1-7","2005","Other degree","vocational + Abi","","","",""
"4 on scale 1-7","2005","Other degree","higher vocational","","","",""
"4 on scale 1-7","2005","Other degree","higher education","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","in school","128","0.148559018851072","0.121133262208566","0.175984775493579"
"4 on scale 1-7","2005","no degree/no degree yet","inadequately","31","0.148246624643543","0.0982435666811398","0.198249682605946"
"4 on scale 1-7","2005","no degree/no degree yet","general elemantary","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","middle vocational","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","vocational + Abi","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","higher vocational","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","higher education","","","",""
"5 on scale 1-7","2005","lower secondary degree","in school","","","",""
"5 on scale 1-7","2005","lower secondary degree","inadequately","","","",""
"5 on scale 1-7","2005","lower secondary degree","general elemantary","156","0.0962870418890618","0.0813190735264785","0.111255010251645"
"5 on scale 1-7","2005","lower secondary degree","middle vocational","451","0.0850357063057721","0.0772296564648492","0.0928417561466951"
"5 on scale 1-7","2005","lower secondary degree","vocational + Abi","","","",""
"5 on scale 1-7","2005","lower secondary degree","higher vocational","35","0.0779577333904397","0.0532414087872252","0.102674057993654"
"5 on scale 1-7","2005","lower secondary degree","higher education","","","",""
"5 on scale 1-7","2005","secondary school degree","in school","","","",""
"5 on scale 1-7","2005","secondary school degree","inadequately","","","",""
"5 on scale 1-7","2005","secondary school degree","general elemantary","62","0.0941623585960675","0.0702909517539114","0.118033765438224"
"5 on scale 1-7","2005","secondary school degree","middle vocational","384","0.0870613921778349","0.0784075030679855","0.0957152812876843"
"5 on scale 1-7","2005","secondary school degree","vocational + Abi","","","",""
"5 on scale 1-7","2005","secondary school degree","higher vocational","49","0.0828272344245597","0.0623212552822961","0.103333213566823"
"5 on scale 1-7","2005","secondary school degree","higher education","36","0.0492401282615889","0.0322225678743444","0.0662576886488333"
"5 on scale 1-7","2005","college entrance qualification","in school","","","",""
"5 on scale 1-7","2005","college entrance qualification","inadequately","","","",""
"5 on scale 1-7","2005","college entrance qualification","general elemantary","","","",""
"5 on scale 1-7","2005","college entrance qualification","middle vocational","72","0.0921437562831639","0.071191343134148","0.11309616943218"
"5 on scale 1-7","2005","college entrance qualification","vocational + Abi","82","0.089725317318587","0.0715712747171136","0.10787935992006"
"5 on scale 1-7","2005","college entrance qualification","higher vocational","41","0.0729996291165527","0.0455498518870634","0.100449406346042"
"5 on scale 1-7","2005","college entrance qualification","higher education","256","0.0734619851200089","0.064356979927976","0.0825669903120419"
"5 on scale 1-7","2005","Other degree","in school","","","",""
"5 on scale 1-7","2005","Other degree","inadequately","","","",""
"5 on scale 1-7","2005","Other degree","general elemantary","","","",""
"5 on scale 1-7","2005","Other degree","middle vocational","36","0.097561595670652","0.0680372378513619","0.127085953489942"
"5 on scale 1-7","2005","Other degree","vocational + Abi","","","",""
"5 on scale 1-7","2005","Other degree","higher vocational","","","",""
"5 on scale 1-7","2005","Other degree","higher education","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","in school","68","0.129525587758012","0.103632274670601","0.155418900845423"
"5 on scale 1-7","2005","no degree/no degree yet","inadequately","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","general elemantary","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","middle vocational","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","vocational + Abi","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","higher vocational","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","higher education","","","",""
"6 on scale 1-7","2005","lower secondary degree","in school","","","",""
"6 on scale 1-7","2005","lower secondary degree","inadequately","","","",""
"6 on scale 1-7","2005","lower secondary degree","general elemantary","79","0.0526861946056211","0.0413502157154293","0.0640221734958128"
"6 on scale 1-7","2005","lower secondary degree","middle vocational","235","0.0467501557759825","0.0408423870179682","0.0526579245339967"
"6 on scale 1-7","2005","lower secondary degree","vocational + Abi","","","",""
"6 on scale 1-7","2005","lower secondary degree","higher vocational","","","",""
"6 on scale 1-7","2005","lower secondary degree","higher education","","","",""
"6 on scale 1-7","2005","secondary school degree","in school","","","",""
"6 on scale 1-7","2005","secondary school degree","inadequately","","","",""
"6 on scale 1-7","2005","secondary school degree","general elemantary","34","0.0577296609540112","0.0386662139076765","0.0767931080003459"
"6 on scale 1-7","2005","secondary school degree","middle vocational","173","0.0493385692240902","0.0426906773350171","0.0559864611131634"
"6 on scale 1-7","2005","secondary school degree","vocational + Abi","","","",""
"6 on scale 1-7","2005","secondary school degree","higher vocational","","","",""
"6 on scale 1-7","2005","secondary school degree","higher education","","","",""
"6 on scale 1-7","2005","college entrance qualification","in school","","","",""
"6 on scale 1-7","2005","college entrance qualification","inadequately","","","",""
"6 on scale 1-7","2005","college entrance qualification","general elemantary","","","",""
"6 on scale 1-7","2005","college entrance qualification","middle vocational","30","0.0566465955529565","0.0399003803469737","0.0733928107589392"
"6 on scale 1-7","2005","college entrance qualification","vocational + Abi","","","",""
"6 on scale 1-7","2005","college entrance qualification","higher vocational","","","",""
"6 on scale 1-7","2005","college entrance qualification","higher education","85","0.0241958269473669","0.0188333082813678","0.0295583456133661"
"6 on scale 1-7","2005","Other degree","in school","","","",""
"6 on scale 1-7","2005","Other degree","inadequately","","","",""
"6 on scale 1-7","2005","Other degree","general elemantary","","","",""
"6 on scale 1-7","2005","Other degree","middle vocational","","","",""
"6 on scale 1-7","2005","Other degree","vocational + Abi","","","",""
"6 on scale 1-7","2005","Other degree","higher vocational","","","",""
"6 on scale 1-7","2005","Other degree","higher education","","","",""
"6 on scale 1-7","2005","no degree/no degree yet","in school","33","0.0611163922129557","0.0426442797076547","0.0795885047182566"
"6 on scale 1-7","2005","no degree/no degree yet","inadequately","","","",""
"6 on scale 1-7","2005","no degree/no degree yet","general elemantary","","","",""
"6 on scale 1-7","2005","no degree/no degree yet","middle vocational","","","",""
"6 on scale 1-7","2005","no degree/no degree yet","vocational + Abi","","","",""
"6 on scale 1-7","2005","no degree/no degree yet","higher vocational","","","",""
"6 on scale 1-7","2005","no degree/no degree yet","higher education","","","",""
"7 Strongly agree","2005","lower secondary degree","in school","","","",""
"7 Strongly agree","2005","lower secondary degree","inadequately","","","",""
"7 Strongly agree","2005","lower secondary degree","general elemantary","74","0.0565547811194748","0.0448339964750076","0.0682755657639421"
"7 Strongly agree","2005","lower secondary degree","middle vocational","220","0.0445215116177396","0.0387495425806159","0.0502934806548632"
"7 Strongly agree","2005","lower secondary degree","vocational + Abi","","","",""
"7 Strongly agree","2005","lower secondary degree","higher vocational","","","",""
"7 Strongly agree","2005","lower secondary degree","higher education","","","",""
"7 Strongly agree","2005","secondary school degree","in school","","","",""
"7 Strongly agree","2005","secondary school degree","inadequately","","","",""
"7 Strongly agree","2005","secondary school degree","general elemantary","","","",""
"7 Strongly agree","2005","secondary school degree","middle vocational","121","0.0274346630105345","0.0224206328301064","0.0324486931909627"
"7 Strongly agree","2005","secondary school degree","vocational + Abi","","","",""
"7 Strongly agree","2005","secondary school degree","higher vocational","","","",""
"7 Strongly agree","2005","secondary school degree","higher education","","","",""
"7 Strongly agree","2005","college entrance qualification","in school","","","",""
"7 Strongly agree","2005","college entrance qualification","inadequately","","","",""
"7 Strongly agree","2005","college entrance qualification","general elemantary","","","",""
"7 Strongly agree","2005","college entrance qualification","middle vocational","","","",""
"7 Strongly agree","2005","college entrance qualification","vocational + Abi","","","",""
"7 Strongly agree","2005","college entrance qualification","higher vocational","","","",""
"7 Strongly agree","2005","college entrance qualification","higher education","55","0.0183263217355068","0.0136453235468746","0.0230073199241391"
"7 Strongly agree","2005","Other degree","in school","","","",""
"7 Strongly agree","2005","Other degree","inadequately","","","",""
"7 Strongly agree","2005","Other degree","general elemantary","","","",""
"7 Strongly agree","2005","Other degree","middle vocational","","","",""
"7 Strongly agree","2005","Other degree","vocational + Abi","","","",""
"7 Strongly agree","2005","Other degree","higher vocational","","","",""
"7 Strongly agree","2005","Other degree","higher education","","","",""
"7 Strongly agree","2005","no degree/no degree yet","in school","","","",""
"7 Strongly agree","2005","no degree/no degree yet","inadequately","","","",""
"7 Strongly agree","2005","no degree/no degree yet","general elemantary","","","",""
"7 Strongly agree","2005","no degree/no degree yet","middle vocational","","","",""
"7 Strongly agree","2005","no degree/no degree yet","vocational + Abi","","","",""
"7 Strongly agree","2005","no degree/no degree yet","higher vocational","","","",""
"7 Strongly agree","2005","no degree/no degree yet","higher education","","","",""
"1 Strongly disagree","2006","lower secondary degree","in school","","","",""
"1 Strongly disagree","2006","lower secondary degree","inadequately","","","",""
"1 Strongly disagree","2006","lower secondary degree","general elemantary","","","",""
"1 Strongly disagree","2006","lower secondary degree","middle vocational","","","",""
"1 Strongly disagree","2006","lower secondary degree","vocational + Abi","","","",""
"1 Strongly disagree","2006","lower secondary degree","higher vocational","","","",""
"1 Strongly disagree","2006","lower secondary degree","higher education","","","",""
"1 Strongly disagree","2006","secondary school degree","in school","","","",""
"1 Strongly disagree","2006","secondary school degree","inadequately","","","",""
"1 Strongly disagree","2006","secondary school degree","general elemantary","","","",""
"1 Strongly disagree","2006","secondary school degree","middle vocational","","","",""
"1 Strongly disagree","2006","secondary school degree","vocational + Abi","","","",""
"1 Strongly disagree","2006","secondary school degree","higher vocational","","","",""
"1 Strongly disagree","2006","secondary school degree","higher education","","","",""
"1 Strongly disagree","2006","college entrance qualification","in school","","","",""
"1 Strongly disagree","2006","college entrance qualification","inadequately","","","",""
"1 Strongly disagree","2006","college entrance qualification","general elemantary","","","",""
"1 Strongly disagree","2006","college entrance qualification","middle vocational","","","",""
"1 Strongly disagree","2006","college entrance qualification","vocational + Abi","","","",""
"1 Strongly disagree","2006","college entrance qualification","higher vocational","","","",""
"1 Strongly disagree","2006","college entrance qualification","higher education","","","",""
"1 Strongly disagree","2006","Other degree","in school","","","",""
"1 Strongly disagree","2006","Other degree","inadequately","","","",""
"1 Strongly disagree","2006","Other degree","general elemantary","","","",""
"1 Strongly disagree","2006","Other degree","middle vocational","","","",""
"1 Strongly disagree","2006","Other degree","vocational + Abi","","","",""
"1 Strongly disagree","2006","Other degree","higher vocational","","","",""
"1 Strongly disagree","2006","Other degree","higher education","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","in school","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","inadequately","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","general elemantary","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","middle vocational","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","vocational + Abi","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","higher vocational","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","higher education","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","in school","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","inadequately","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","general elemantary","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","middle vocational","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","higher vocational","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","higher education","","","",""
"2 on scale 1-7 ","2006","secondary school degree","in school","","","",""
"2 on scale 1-7 ","2006","secondary school degree","inadequately","","","",""
"2 on scale 1-7 ","2006","secondary school degree","general elemantary","","","",""
"2 on scale 1-7 ","2006","secondary school degree","middle vocational","","","",""
"2 on scale 1-7 ","2006","secondary school degree","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","secondary school degree","higher vocational","","","",""
"2 on scale 1-7 ","2006","secondary school degree","higher education","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","in school","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","inadequately","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","general elemantary","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","middle vocational","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","higher vocational","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","higher education","","","",""
"2 on scale 1-7 ","2006","Other degree","in school","","","",""
"2 on scale 1-7 ","2006","Other degree","inadequately","","","",""
"2 on scale 1-7 ","2006","Other degree","general elemantary","","","",""
"2 on scale 1-7 ","2006","Other degree","middle vocational","","","",""
"2 on scale 1-7 ","2006","Other degree","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","Other degree","higher vocational","","","",""
"2 on scale 1-7 ","2006","Other degree","higher education","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","in school","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","inadequately","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","general elemantary","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","middle vocational","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","higher vocational","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","higher education","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","in school","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","inadequately","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","general elemantary","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","middle vocational","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","higher vocational","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","higher education","","","",""
"3 on scale 1-7 ","2006","secondary school degree","in school","","","",""
"3 on scale 1-7 ","2006","secondary school degree","inadequately","","","",""
"3 on scale 1-7 ","2006","secondary school degree","general elemantary","","","",""
"3 on scale 1-7 ","2006","secondary school degree","middle vocational","","","",""
"3 on scale 1-7 ","2006","secondary school degree","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","secondary school degree","higher vocational","","","",""
"3 on scale 1-7 ","2006","secondary school degree","higher education","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","in school","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","inadequately","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","general elemantary","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","middle vocational","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","higher vocational","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","higher education","","","",""
"3 on scale 1-7 ","2006","Other degree","in school","","","",""
"3 on scale 1-7 ","2006","Other degree","inadequately","","","",""
"3 on scale 1-7 ","2006","Other degree","general elemantary","","","",""
"3 on scale 1-7 ","2006","Other degree","middle vocational","","","",""
"3 on scale 1-7 ","2006","Other degree","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","Other degree","higher vocational","","","",""
"3 on scale 1-7 ","2006","Other degree","higher education","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","in school","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","inadequately","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","general elemantary","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","middle vocational","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","higher vocational","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","higher education","","","",""
"4 on scale 1-7","2006","lower secondary degree","in school","","","",""
"4 on scale 1-7","2006","lower secondary degree","inadequately","","","",""
"4 on scale 1-7","2006","lower secondary degree","general elemantary","","","",""
"4 on scale 1-7","2006","lower secondary degree","middle vocational","","","",""
"4 on scale 1-7","2006","lower secondary degree","vocational + Abi","","","",""
"4 on scale 1-7","2006","lower secondary degree","higher vocational","","","",""
"4 on scale 1-7","2006","lower secondary degree","higher education","","","",""
"4 on scale 1-7","2006","secondary school degree","in school","","","",""
"4 on scale 1-7","2006","secondary school degree","inadequately","","","",""
"4 on scale 1-7","2006","secondary school degree","general elemantary","","","",""
"4 on scale 1-7","2006","secondary school degree","middle vocational","","","",""
"4 on scale 1-7","2006","secondary school degree","vocational + Abi","","","",""
