"pli0082","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1996","direct migration background","Rural Area","","","",""
"Min 1x per week","1996","indirect migration background","Urban Area","","","",""
"Min 1x per week","1996","indirect migration background","Rural Area","","","",""
"Min 1x per month","1996","no migration background","Urban Area","","","",""
"Min 1x per month","1996","no migration background","Rural Area","","","",""
"Min 1x per month","1996","direct migration background","Urban Area","","","",""
"Min 1x per month","1996","direct migration background","Rural Area","","","",""
"Min 1x per month","1996","indirect migration background","Urban Area","","","",""
"Min 1x per month","1996","indirect migration background","Rural Area","","","",""
"Rarely","1996","no migration background","Urban Area","","","",""
"Rarely","1996","no migration background","Rural Area","","","",""
"Rarely","1996","direct migration background","Urban Area","","","",""
"Rarely","1996","direct migration background","Rural Area","","","",""
"Rarely","1996","indirect migration background","Urban Area","","","",""
"Rarely","1996","indirect migration background","Rural Area","","","",""
"Never","1996","no migration background","Urban Area","","","",""
"Never","1996","no migration background","Rural Area","","","",""
"Never","1996","direct migration background","Urban Area","","","",""
"Never","1996","direct migration background","Rural Area","","","",""
"Never","1996","indirect migration background","Urban Area","","","",""
"Never","1996","indirect migration background","Rural Area","","","",""
"Daily","1997","no migration background","Urban Area","","","",""
"Daily","1997","no migration background","Rural Area","","","",""
"Daily","1997","direct migration background","Urban Area","","","",""
"Daily","1997","direct migration background","Rural Area","","","",""
"Daily","1997","indirect migration background","Urban Area","","","",""
"Daily","1997","indirect migration background","Rural Area","","","",""
"Min 1x per week","1997","no migration background","Urban Area","","","",""
"Min 1x per week","1997","no migration background","Rural Area","","","",""
"Min 1x per week","1997","direct migration background","Urban Area","","","",""
"Min 1x per week","1997","direct migration background","Rural Area","","","",""
"Min 1x per week","1997","indirect migration background","Urban Area","","","",""
"Min 1x per week","1997","indirect migration background","Rural Area","","","",""
"Min 1x per month","1997","no migration background","Urban Area","","","",""
"Min 1x per month","1997","no migration background","Rural Area","","","",""
"Min 1x per month","1997","direct migration background","Urban Area","","","",""
"Min 1x per month","1997","direct migration background","Rural Area","","","",""
"Min 1x per month","1997","indirect migration background","Urban Area","","","",""
"Min 1x per month","1997","indirect migration background","Rural Area","","","",""
"Rarely","1997","no migration background","Urban Area","","","",""
"Rarely","1997","no migration background","Rural Area","","","",""
"Rarely","1997","direct migration background","Urban Area","","","",""
"Rarely","1997","direct migration background","Rural Area","","","",""
"Rarely","1997","indirect migration background","Urban Area","","","",""
"Rarely","1997","indirect migration background","Rural Area","","","",""
"Never","1997","no migration background","Urban Area","","","",""
"Never","1997","no migration background","Rural Area","","","",""
"Never","1997","direct migration background","Urban Area","","","",""
"Never","1997","direct migration background","Rural Area","","","",""
"Never","1997","indirect migration background","Urban Area","","","",""
"Never","1997","indirect migration background","Rural Area","","","",""
"Daily","1998","no migration background","Urban Area","4","","",""
"Daily","1998","no migration background","Rural Area","3","","",""
"Daily","1998","direct migration background","Urban Area","5","","",""
"Daily","1998","direct migration background","Rural Area","","","",""
"Daily","1998","indirect migration background","Urban Area","2","","",""
"Daily","1998","indirect migration background","Rural Area","","","",""
"Min 1x per week","1998","no migration background","Urban Area","365","0.054037842349489","0.0486883987163011","0.0593872859826769"
"Min 1x per week","1998","no migration background","Rural Area","211","0.0512322467048228","0.0446902978715547","0.0577741955380909"
"Min 1x per week","1998","direct migration background","Urban Area","58","0.0292949077928289","0.0218895994638219","0.0367002161218358"
"Min 1x per week","1998","direct migration background","Rural Area","11","","",""
"Min 1x per week","1998","indirect migration background","Urban Area","25","","",""
"Min 1x per week","1998","indirect migration background","Rural Area","5","","",""
"Min 1x per month","1998","no migration background","Urban Area","1855","0.271168551105594","0.260649999391031","0.281687102820157"
"Min 1x per month","1998","no migration background","Rural Area","1065","0.240629527324459","0.227945510876317","0.253313543772602"
"Min 1x per month","1998","direct migration background","Urban Area","353","0.209174729429851","0.191314036610978","0.227035422248724"
"Min 1x per month","1998","direct migration background","Rural Area","75","0.220347205451011","0.17998034504273","0.260714065859291"
"Min 1x per month","1998","indirect migration background","Urban Area","110","0.196302102019298","0.161727833338579","0.230876370700016"
"Min 1x per month","1998","indirect migration background","Rural Area","24","","",""
"Rarely","1998","no migration background","Urban Area","4049","0.574985865093197","0.563289443729787","0.586682286456607"
"Rarely","1998","no migration background","Rural Area","2688","0.605127506072679","0.590622852087662","0.619632160057696"
"Rarely","1998","direct migration background","Urban Area","1200","0.584187667430281","0.562544127226608","0.605831207633954"
"Rarely","1998","direct migration background","Rural Area","241","0.544203421397301","0.495698395167658","0.592708447626944"
"Rarely","1998","indirect migration background","Urban Area","306","0.621956130680037","0.579748100182572","0.664164161177502"
"Rarely","1998","indirect migration background","Rural Area","59","0.640692248365639","0.542113018043877","0.739271478687401"
"Never","1998","no migration background","Urban Area","589","0.0991816418016389","0.0921094017267476","0.10625388187653"
"Never","1998","no migration background","Rural Area","396","0.102466451362984","0.0934679191033765","0.111464983622592"
"Never","1998","direct migration background","Urban Area","376","0.175358538955529","0.158659192831851","0.192057885079207"
"Never","1998","direct migration background","Rural Area","78","0.204624245352699","0.165333949507524","0.243914541197873"
"Never","1998","indirect migration background","Urban Area","64","0.109577600182488","0.0823879861798708","0.136767214185104"
"Never","1998","indirect migration background","Rural Area","3","","",""
"Daily","1999","no migration background","Urban Area","","","",""
"Daily","1999","no migration background","Rural Area","","","",""
"Daily","1999","direct migration background","Urban Area","","","",""
"Daily","1999","direct migration background","Rural Area","","","",""
"Daily","1999","indirect migration background","Urban Area","","","",""
"Daily","1999","indirect migration background","Rural Area","","","",""
"Min 1x per week","1999","no migration background","Urban Area","","","",""
"Min 1x per week","1999","no migration background","Rural Area","","","",""
"Min 1x per week","1999","direct migration background","Urban Area","","","",""
"Min 1x per week","1999","direct migration background","Rural Area","","","",""
"Min 1x per week","1999","indirect migration background","Urban Area","","","",""
"Min 1x per week","1999","indirect migration background","Rural Area","","","",""
"Min 1x per month","1999","no migration background","Urban Area","","","",""
"Min 1x per month","1999","no migration background","Rural Area","","","",""
"Min 1x per month","1999","direct migration background","Urban Area","","","",""
"Min 1x per month","1999","direct migration background","Rural Area","","","",""
"Min 1x per month","1999","indirect migration background","Urban Area","","","",""
"Min 1x per month","1999","indirect migration background","Rural Area","","","",""
"Rarely","1999","no migration background","Urban Area","","","",""
"Rarely","1999","no migration background","Rural Area","","","",""
"Rarely","1999","direct migration background","Urban Area","","","",""
"Rarely","1999","direct migration background","Rural Area","","","",""
"Rarely","1999","indirect migration background","Urban Area","","","",""
"Rarely","1999","indirect migration background","Rural Area","","","",""
"Never","1999","no migration background","Urban Area","","","",""
"Never","1999","no migration background","Rural Area","","","",""
"Never","1999","direct migration background","Urban Area","","","",""
"Never","1999","direct migration background","Rural Area","","","",""
"Never","1999","indirect migration background","Urban Area","","","",""
"Never","1999","indirect migration background","Rural Area","","","",""
"Daily","2000","no migration background","Urban Area","","","",""
"Daily","2000","no migration background","Rural Area","","","",""
"Daily","2000","direct migration background","Urban Area","","","",""
"Daily","2000","direct migration background","Rural Area","","","",""
"Daily","2000","indirect migration background","Urban Area","","","",""
"Daily","2000","indirect migration background","Rural Area","","","",""
"Min 1x per week","2000","no migration background","Urban Area","","","",""
"Min 1x per week","2000","no migration background","Rural Area","","","",""
"Min 1x per week","2000","direct migration background","Urban Area","","","",""
"Min 1x per week","2000","direct migration background","Rural Area","","","",""
"Min 1x per week","2000","indirect migration background","Urban Area","","","",""
"Min 1x per week","2000","indirect migration background","Rural Area","","","",""
"Min 1x per month","2000","no migration background","Urban Area","","","",""
"Min 1x per month","2000","no migration background","Rural Area","","","",""
"Min 1x per month","2000","direct migration background","Urban Area","","","",""
"Min 1x per month","2000","direct migration background","Rural Area","","","",""
"Min 1x per month","2000","indirect migration background","Urban Area","","","",""
"Min 1x per month","2000","indirect migration background","Rural Area","","","",""
"Rarely","2000","no migration background","Urban Area","","","",""
"Rarely","2000","no migration background","Rural Area","","","",""
"Rarely","2000","direct migration background","Urban Area","","","",""
"Rarely","2000","direct migration background","Rural Area","","","",""
"Rarely","2000","indirect migration background","Urban Area","","","",""
"Rarely","2000","indirect migration background","Rural Area","","","",""
"Never","2000","no migration background","Urban Area","","","",""
"Never","2000","no migration background","Rural Area","","","",""
"Never","2000","direct migration background","Urban Area","","","",""
"Never","2000","direct migration background","Rural Area","","","",""
"Never","2000","indirect migration background","Urban Area","","","",""
"Never","2000","indirect migration background","Rural Area","","","",""
"Daily","2001","no migration background","Urban Area","","","",""
"Daily","2001","no migration background","Rural Area","","","",""
"Daily","2001","direct migration background","Urban Area","","","",""
"Daily","2001","direct migration background","Rural Area","","","",""
"Daily","2001","indirect migration background","Urban Area","","","",""
"Daily","2001","indirect migration background","Rural Area","","","",""
"Min 1x per week","2001","no migration background","Urban Area","","","",""
"Min 1x per week","2001","no migration background","Rural Area","","","",""
"Min 1x per week","2001","direct migration background","Urban Area","","","",""
"Min 1x per week","2001","direct migration background","Rural Area","","","",""
"Min 1x per week","2001","indirect migration background","Urban Area","","","",""
"Min 1x per week","2001","indirect migration background","Rural Area","","","",""
"Min 1x per month","2001","no migration background","Urban Area","","","",""
"Min 1x per month","2001","no migration background","Rural Area","","","",""
"Min 1x per month","2001","direct migration background","Urban Area","","","",""
"Min 1x per month","2001","direct migration background","Rural Area","","","",""
"Min 1x per month","2001","indirect migration background","Urban Area","","","",""
"Min 1x per month","2001","indirect migration background","Rural Area","","","",""
"Rarely","2001","no migration background","Urban Area","","","",""
"Rarely","2001","no migration background","Rural Area","","","",""
"Rarely","2001","direct migration background","Urban Area","","","",""
"Rarely","2001","direct migration background","Rural Area","","","",""
"Rarely","2001","indirect migration background","Urban Area","","","",""
"Rarely","2001","indirect migration background","Rural Area","","","",""
"Never","2001","no migration background","Urban Area","","","",""
"Never","2001","no migration background","Rural Area","","","",""
"Never","2001","direct migration background","Urban Area","","","",""
"Never","2001","direct migration background","Rural Area","","","",""
"Never","2001","indirect migration background","Urban Area","","","",""
"Never","2001","indirect migration background","Rural Area","","","",""
"Daily","2002","no migration background","Urban Area","","","",""
"Daily","2002","no migration background","Rural Area","","","",""
"Daily","2002","direct migration background","Urban Area","","","",""
"Daily","2002","direct migration background","Rural Area","","","",""
"Daily","2002","indirect migration background","Urban Area","","","",""
"Daily","2002","indirect migration background","Rural Area","","","",""
"Min 1x per week","2002","no migration background","Urban Area","","","",""
"Min 1x per week","2002","no migration background","Rural Area","","","",""
"Min 1x per week","2002","direct migration background","Urban Area","","","",""
"Min 1x per week","2002","direct migration background","Rural Area","","","",""
"Min 1x per week","2002","indirect migration background","Urban Area","","","",""
"Min 1x per week","2002","indirect migration background","Rural Area","","","",""
"Min 1x per month","2002","no migration background","Urban Area","","","",""
"Min 1x per month","2002","no migration background","Rural Area","","","",""
"Min 1x per month","2002","direct migration background","Urban Area","","","",""
"Min 1x per month","2002","direct migration background","Rural Area","","","",""
"Min 1x per month","2002","indirect migration background","Urban Area","","","",""
"Min 1x per month","2002","indirect migration background","Rural Area","","","",""
"Rarely","2002","no migration background","Urban Area","","","",""
"Rarely","2002","no migration background","Rural Area","","","",""
"Rarely","2002","direct migration background","Urban Area","","","",""
"Rarely","2002","direct migration background","Rural Area","","","",""
"Rarely","2002","indirect migration background","Urban Area","","","",""
"Rarely","2002","indirect migration background","Rural Area","","","",""
"Never","2002","no migration background","Urban Area","","","",""
"Never","2002","no migration background","Rural Area","","","",""
"Never","2002","direct migration background","Urban Area","","","",""
"Never","2002","direct migration background","Rural Area","","","",""
"Never","2002","indirect migration background","Urban Area","","","",""
"Never","2002","indirect migration background","Rural Area","","","",""
"Daily","2003","no migration background","Urban Area","14","","",""
"Daily","2003","no migration background","Rural Area","3","","",""
"Daily","2003","direct migration background","Urban Area","1","","",""
"Daily","2003","direct migration background","Rural Area","","","",""
"Daily","2003","indirect migration background","Urban Area","","","",""
"Daily","2003","indirect migration background","Rural Area","1","","",""
"Min 1x per week","2003","no migration background","Urban Area","642","0.0510692087226602","0.0471316443247057","0.0550067731206146"
"Min 1x per week","2003","no migration background","Rural Area","318","0.0448019606556249","0.0398698340226286","0.0497340872886212"
"Min 1x per week","2003","direct migration background","Urban Area","66","0.0278617943380128","0.0209213102595456","0.03480227841648"
"Min 1x per week","2003","direct migration background","Rural Area","20","","",""
"Min 1x per week","2003","indirect migration background","Urban Area","31","0.0547930882158736","0.0377382983094841","0.071847878122263"
"Min 1x per week","2003","indirect migration background","Rural Area","3","","",""
"Min 1x per month","2003","no migration background","Urban Area","3339","0.259656569388989","0.251814203391264","0.267498935386714"
"Min 1x per month","2003","no migration background","Rural Area","1668","0.230919264762436","0.220871833430536","0.240966696094335"
"Min 1x per month","2003","direct migration background","Urban Area","391","0.184228010660365","0.16787930250276","0.200576718817971"
"Min 1x per month","2003","direct migration background","Rural Area","93","0.223817855177957","0.185728961007777","0.261906749348137"
"Min 1x per month","2003","indirect migration background","Urban Area","140","0.174107003202622","0.145689229464952","0.202524776940292"
"Min 1x per month","2003","indirect migration background","Rural Area","23","","",""
"Rarely","2003","no migration background","Urban Area","6809","0.563639332548858","0.554768706318203","0.572509958779513"
"Rarely","2003","no migration background","Rural Area","4047","0.598276712155124","0.58658835292653","0.609965071383719"
"Rarely","2003","direct migration background","Urban Area","1204","0.551787423358528","0.530814975010331","0.572759871706726"
"Rarely","2003","direct migration background","Rural Area","269","0.571261961404283","0.526036517645495","0.616487405163072"
"Rarely","2003","indirect migration background","Urban Area","396","0.569750659614327","0.532646502944676","0.606854816283979"
"Rarely","2003","indirect migration background","Rural Area","61","0.49576915476105","0.398260792953427","0.593277516568674"
"Never","2003","no migration background","Urban Area","1203","0.124231937297504","0.118332073085491","0.130131801509517"
"Never","2003","no migration background","Rural Area","722","0.125533460183533","0.117634128577593","0.133432791789472"
"Never","2003","direct migration background","Urban Area","498","0.235129853985138","0.217245677061551","0.253014030908725"
"Never","2003","direct migration background","Rural Area","78","0.175396569711895","0.140642770196668","0.210150369227122"
"Never","2003","indirect migration background","Urban Area","117","0.201349248967177","0.171297240718522","0.231401257215832"
"Never","2003","indirect migration background","Rural Area","13","","",""
"Daily","2004","no migration background","Urban Area","","","",""
"Daily","2004","no migration background","Rural Area","","","",""
"Daily","2004","direct migration background","Urban Area","","","",""
"Daily","2004","direct migration background","Rural Area","","","",""
"Daily","2004","indirect migration background","Urban Area","","","",""
"Daily","2004","indirect migration background","Rural Area","","","",""
"Min 1x per week","2004","no migration background","Urban Area","","","",""
"Min 1x per week","2004","no migration background","Rural Area","","","",""
"Min 1x per week","2004","direct migration background","Urban Area","","","",""
"Min 1x per week","2004","direct migration background","Rural Area","","","",""
"Min 1x per week","2004","indirect migration background","Urban Area","","","",""
"Min 1x per week","2004","indirect migration background","Rural Area","","","",""
"Min 1x per month","2004","no migration background","Urban Area","","","",""
"Min 1x per month","2004","no migration background","Rural Area","","","",""
"Min 1x per month","2004","direct migration background","Urban Area","","","",""
"Min 1x per month","2004","direct migration background","Rural Area","","","",""
"Min 1x per month","2004","indirect migration background","Urban Area","","","",""
"Min 1x per month","2004","indirect migration background","Rural Area","","","",""
"Rarely","2004","no migration background","Urban Area","","","",""
"Rarely","2004","no migration background","Rural Area","","","",""
"Rarely","2004","direct migration background","Urban Area","","","",""
"Rarely","2004","direct migration background","Rural Area","","","",""
"Rarely","2004","indirect migration background","Urban Area","","","",""
"Rarely","2004","indirect migration background","Rural Area","","","",""
"Never","2004","no migration background","Urban Area","","","",""
"Never","2004","no migration background","Rural Area","","","",""
"Never","2004","direct migration background","Urban Area","","","",""
"Never","2004","direct migration background","Rural Area","","","",""
"Never","2004","indirect migration background","Urban Area","","","",""
"Never","2004","indirect migration background","Rural Area","","","",""
"Daily","2005","no migration background","Urban Area","","","",""
"Daily","2005","no migration background","Rural Area","","","",""
"Daily","2005","direct migration background","Urban Area","","","",""
"Daily","2005","direct migration background","Rural Area","","","",""
"Daily","2005","indirect migration background","Urban Area","","","",""
"Daily","2005","indirect migration background","Rural Area","","","",""
"Min 1x per week","2005","no migration background","Urban Area","","","",""
