"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2015","indirect migration background","7.2","8","444","4","6","9","10","6.99","7.41","8","8"
"2015","no migration background","7.27","8","3486","4","6","9","10","7.2","7.34","8","8"
"2016","direct migration background","7.45","8","1441","4","6","9","10","7.34","7.56","8","8"
"2016","indirect migration background","7.4","8","410","4","6","9","10","7.18","7.62","8","8"
"2016","no migration background","7.29","8","2994","4","6","9","10","7.21","7.37","8","8"
"2017","direct migration background","7.47","8","1230","5","6","9","10","7.35","7.59","8","8"
"2017","indirect migration background","6.99","7","359","4","5","9","10","6.73","7.25","7","8"
"2017","no migration background","7.24","8","2881","4","6","9","10","7.16","7.32","8","8"
"2018","direct migration background","7.23","8","1158","4","6","9","10","7.1","7.36","8","8"
"2018","indirect migration background","6.94","8","363","3","6","9","10","6.67","7.21","8","8"
"2018","no migration background","7.08","8","2718","4","6","9","10","6.99","7.17","8","8"
"2019","direct migration background","7.2","8","953","4","6","9","10","7.06","7.34","8","8"
"2019","indirect migration background","7.48","8","331","4","6","9","10","7.23","7.73","8","8"
"2019","no migration background","7.29","8","2756","4","6","9","10","7.21","7.37","8","8"
