"pgoeffd","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Yes","1988","Full Time","Other degree","50","0.089605195596957","0.0671051059808248","0.112105285213089"
"Yes","1988","Full Time","no degree/no degree yet","30","0.0795818631169403","0.0497885984254638","0.109375127808417"
"Yes","1988","Part Time","lower secondary degree","101","0.182317913417962","0.15139776339018","0.213238063445745"
"Yes","1988","Part Time","secondary school degree","80","0.275791975873096","0.223445005121252","0.32813894662494"
"Yes","1988","Part Time","college entrance qualification","89","0.467310761731444","0.397282936678856","0.537338586784031"
"Yes","1988","Part Time","Other degree","21","","",""
"Yes","1988","Part Time","no degree/no degree yet","7","","",""
"Yes","1988","Not Working","lower secondary degree","12","","",""
"Yes","1988","Not Working","secondary school degree","5","","",""
"Yes","1988","Not Working","college entrance qualification","2","","",""
"Yes","1988","Not Working","Other degree","2","","",""
"Yes","1988","Not Working","no degree/no degree yet","2","","",""
"No","1988","Full Time","lower secondary degree","1616","0.792772005272209","0.774927905984468","0.810616104559949"
"No","1988","Full Time","secondary school degree","572","0.695207312398139","0.663662287344272","0.726752337452007"
"No","1988","Full Time","college entrance qualification","311","0.576080086018972","0.534087210414372","0.618072961623571"
"No","1988","Full Time","Other degree","569","0.910394804403043","0.887894714786911","0.932894894019175"
"No","1988","Full Time","no degree/no degree yet","287","0.92041813688306","0.890624872191583","0.950211401574536"
"No","1988","Part Time","lower secondary degree","498","0.817682086582038","0.786761936554255","0.84860223660982"
"No","1988","Part Time","secondary school degree","200","0.724208024126904","0.67186105337506","0.776554994878748"
"No","1988","Part Time","college entrance qualification","106","0.532689238268557","0.462661413215969","0.602717063321144"
"No","1988","Part Time","Other degree","94","0.812724735059402","0.741421190470924","0.88402827964788"
"No","1988","Part Time","no degree/no degree yet","60","0.898310766402259","0.825940282059935","0.970681250744582"
"No","1988","Not Working","lower secondary degree","32","0.73144952727747","0.600493076808247","0.862405977746694"
"No","1988","Not Working","secondary school degree","13","","",""
"No","1988","Not Working","college entrance qualification","15","","",""
"No","1988","Not Working","Other degree","6","","",""
"No","1988","Not Working","no degree/no degree yet","8","","",""
"Yes","1989","Full Time","lower secondary degree","354","0.200175233542253","0.182532851729144","0.217817615355363"
"Yes","1989","Full Time","secondary school degree","250","0.297539356759393","0.266787067267365","0.328291646251421"
"Yes","1989","Full Time","college entrance qualification","226","0.393970428649505","0.354509330746222","0.433431526552789"
"Yes","1989","Full Time","Other degree","48","0.0838679846567193","0.0621367092357685","0.10559926007767"
"Yes","1989","Full Time","no degree/no degree yet","25","","",""
"Yes","1989","Part Time","lower secondary degree","116","0.192647951528052","0.161529413703565","0.223766489352538"
"Yes","1989","Part Time","secondary school degree","79","0.304537241506269","0.249541495794369","0.359532987218169"
"Yes","1989","Part Time","college entrance qualification","82","0.425845342997439","0.355720515749959","0.495970170244919"
"Yes","1989","Part Time","Other degree","20","","",""
"Yes","1989","Part Time","no degree/no degree yet","15","","",""
"Yes","1989","Not Working","lower secondary degree","9","","",""
"Yes","1989","Not Working","secondary school degree","5","","",""
"Yes","1989","Not Working","college entrance qualification","4","","",""
"Yes","1989","Not Working","Other degree","1","","",""
"Yes","1989","Not Working","no degree/no degree yet","5","","",""
"No","1989","Full Time","lower secondary degree","1622","0.799824766457747","0.782182384644637","0.817467148270856"
"No","1989","Full Time","secondary school degree","599","0.702460643240607","0.671708353748579","0.733212932732635"
"No","1989","Full Time","college entrance qualification","363","0.606029571350495","0.566568473447211","0.645490669253778"
"No","1989","Full Time","Other degree","577","0.916132015343281","0.89440073992233","0.937863290764231"
"No","1989","Full Time","no degree/no degree yet","268","0.908061308147424","0.874977078521941","0.941145537772906"
"No","1989","Part Time","lower secondary degree","501","0.807352048471948","0.776233510647462","0.838470586296435"
"No","1989","Part Time","secondary school degree","190","0.695462758493731","0.640467012781831","0.750458504205631"
"No","1989","Part Time","college entrance qualification","109","0.574154657002561","0.504029829755081","0.644279484250041"
"No","1989","Part Time","Other degree","89","0.777324716869565","0.699220930698046","0.855428503041084"
"No","1989","Part Time","no degree/no degree yet","74","0.918403024480617","0.861529941512908","0.975276107448325"
"No","1989","Not Working","lower secondary degree","32","0.706619593988425","0.567251117281776","0.845988070695075"
"No","1989","Not Working","secondary school degree","21","","",""
"No","1989","Not Working","college entrance qualification","18","","",""
"No","1989","Not Working","Other degree","12","","",""
"No","1989","Not Working","no degree/no degree yet","8","","",""
"Yes","1990","Full Time","lower secondary degree","337","0.200751191799901","0.182658924487482","0.218843459112321"
"Yes","1990","Full Time","secondary school degree","253","0.311013490799796","0.279783501120234","0.342243480479357"
"Yes","1990","Full Time","college entrance qualification","217","0.378182091822289","0.338784589365923","0.417579594278655"
"Yes","1990","Full Time","Other degree","45","0.0820741759502812","0.0600934647933276","0.104054887107235"
"Yes","1990","Full Time","no degree/no degree yet","23","","",""
"Yes","1990","Part Time","lower secondary degree","120","0.211622980059691","0.178858044607606","0.244387915511777"
"Yes","1990","Part Time","secondary school degree","77","0.269318603498636","0.21539751892809","0.323239688069183"
"Yes","1990","Part Time","college entrance qualification","87","0.436770347666558","0.367685178618419","0.505855516714698"
"Yes","1990","Part Time","Other degree","16","","",""
"Yes","1990","Part Time","no degree/no degree yet","13","","",""
"Yes","1990","Not Working","lower secondary degree","7","","",""
"Yes","1990","Not Working","secondary school degree","3","","",""
"Yes","1990","Not Working","college entrance qualification","3","","",""
"Yes","1990","Not Working","Other degree","1","","",""
"Yes","1990","Not Working","no degree/no degree yet","2","","",""
"No","1990","Full Time","lower secondary degree","1546","0.799248808200099","0.781156540887679","0.817341075512518"
"No","1990","Full Time","secondary school degree","591","0.688986509200204","0.657756519520643","0.720216498879766"
"No","1990","Full Time","college entrance qualification","365","0.621817908177711","0.582420405721345","0.661215410634077"
"No","1990","Full Time","Other degree","554","0.917925824049719","0.895945112892765","0.939906535206672"
"No","1990","Full Time","no degree/no degree yet","260","0.902913265933448","0.868418131947066","0.93740839991983"
"No","1990","Part Time","lower secondary degree","477","0.788377019940309","0.755612084488223","0.821141955392394"
"No","1990","Part Time","secondary school degree","183","0.730681396501364","0.676760311930817","0.78460248107191"
"No","1990","Part Time","college entrance qualification","111","0.563229652333442","0.494144483285302","0.632314821381581"
"No","1990","Part Time","Other degree","84","0.874742053789731","0.809865057078594","0.939619050500868"
"No","1990","Part Time","no degree/no degree yet","67","0.882334948537946","0.811728627529184","0.952941269546708"
"No","1990","Not Working","lower secondary degree","29","","",""
"No","1990","Not Working","secondary school degree","11","","",""
"No","1990","Not Working","college entrance qualification","6","","",""
"No","1990","Not Working","Other degree","9","","",""
"No","1990","Not Working","no degree/no degree yet","6","","",""
"Yes","1991","Full Time","lower secondary degree","342","0.196735390298108","0.178963158803387","0.214507621792829"
"Yes","1991","Full Time","secondary school degree","267","0.3131134274841","0.281899851652173","0.344327003316028"
"Yes","1991","Full Time","college entrance qualification","229","0.38850481281413","0.349373926535311","0.427635699092949"
"Yes","1991","Full Time","Other degree","54","0.102085071712981","0.077634492101464","0.126535651324499"
"Yes","1991","Full Time","no degree/no degree yet","31","0.125418224187598","0.0865561009427598","0.164280347432436"
"Yes","1991","Part Time","lower secondary degree","126","0.229209381551456","0.195771546567676","0.262647216535237"
"Yes","1991","Part Time","secondary school degree","78","0.255571951140366","0.203830962120378","0.307312940160354"
"Yes","1991","Part Time","college entrance qualification","90","0.399077407679599","0.335926450383062","0.462228364976136"
"Yes","1991","Part Time","Other degree","14","","",""
"Yes","1991","Part Time","no degree/no degree yet","14","","",""
"Yes","1991","Not Working","lower secondary degree","5","","",""
"Yes","1991","Not Working","secondary school degree","4","","",""
"Yes","1991","Not Working","college entrance qualification","7","","",""
"Yes","1991","Not Working","Other degree","5","","",""
"Yes","1991","Not Working","no degree/no degree yet","1","","",""
"No","1991","Full Time","lower secondary degree","1580","0.803264609701892","0.785492378207171","0.821036841196613"
"No","1991","Full Time","secondary school degree","581","0.6868865725159","0.655672996683972","0.718100148347827"
"No","1991","Full Time","college entrance qualification","367","0.61149518718587","0.572364300907051","0.650626073464689"
"No","1991","Full Time","Other degree","535","0.897914928287019","0.873464348675501","0.922365507898536"
"No","1991","Full Time","no degree/no degree yet","248","0.874581775812402","0.835719652567564","0.91344389905724"
"No","1991","Part Time","lower secondary degree","481","0.770790618448544","0.737352783464763","0.804228453432324"
"No","1991","Part Time","secondary school degree","195","0.744428048859634","0.692687059839646","0.796169037879622"
"No","1991","Part Time","college entrance qualification","141","0.600922592320401","0.537771635023864","0.664073549616938"
"No","1991","Part Time","Other degree","101","0.822046927420734","0.752143218081616","0.891950636759853"
"No","1991","Part Time","no degree/no degree yet","80","0.826337198999744","0.749757048271649","0.902917349727838"
"No","1991","Not Working","lower secondary degree","49","0.87892270629738","0.791914962755603","0.965930449839157"
"No","1991","Not Working","secondary school degree","16","","",""
"No","1991","Not Working","college entrance qualification","16","","",""
"No","1991","Not Working","Other degree","12","","",""
"No","1991","Not Working","no degree/no degree yet","14","","",""
"Yes","1992","Full Time","lower secondary degree","477","0.210620580114013","0.194162866803381","0.227078293424645"
"Yes","1992","Full Time","secondary school degree","657","0.328234961578972","0.307467736645954","0.34900218651199"
"Yes","1992","Full Time","college entrance qualification","347","0.40109606142368","0.368968178027939","0.433223944819421"
"Yes","1992","Full Time","Other degree","58","0.113082153553601","0.0871968715377566","0.138967435569445"
"Yes","1992","Full Time","no degree/no degree yet","29","","",""
"Yes","1992","Part Time","lower secondary degree","165","0.231585715673649","0.200178092427186","0.262993338920112"
"Yes","1992","Part Time","secondary school degree","190","0.314854176183002","0.275086640078993","0.354621712287012"
"Yes","1992","Part Time","college entrance qualification","134","0.486322921152055","0.427674887932753","0.544970954371358"
"Yes","1992","Part Time","Other degree","16","","",""
"Yes","1992","Part Time","no degree/no degree yet","16","","",""
"Yes","1992","Not Working","lower secondary degree","6","","",""
"Yes","1992","Not Working","secondary school degree","12","","",""
"Yes","1992","Not Working","college entrance qualification","13","","",""
"Yes","1992","Not Working","Other degree","","","",""
"Yes","1992","Not Working","no degree/no degree yet","2","","",""
"No","1992","Full Time","lower secondary degree","1881","0.789379419885987","0.772921706575355","0.805837133196619"
"No","1992","Full Time","secondary school degree","1307","0.671765038421028","0.65099781348801","0.692532263354046"
"No","1992","Full Time","college entrance qualification","547","0.59890393857632","0.566776055180579","0.631031821972061"
"No","1992","Full Time","Other degree","517","0.886917846446399","0.861032564430555","0.912803128462243"
"No","1992","Full Time","no degree/no degree yet","237","0.862644882113032","0.821278673220528","0.904011091005535"
"No","1992","Part Time","lower secondary degree","528","0.768414284326351","0.737006661079888","0.799821907572814"
"No","1992","Part Time","secondary school degree","334","0.685145823816998","0.645378287712988","0.724913359921007"
"No","1992","Part Time","college entrance qualification","145","0.513677078847945","0.455029045628642","0.572325112067247"
"No","1992","Part Time","Other degree","90","0.849620597418099","0.781574714711564","0.917666480124635"
"No","1992","Part Time","no degree/no degree yet","56","0.722589536872325","0.619173213014272","0.826005860730378"
"No","1992","Not Working","lower secondary degree","31","0.794239181210378","0.663981236120726","0.924497126300029"
"No","1992","Not Working","secondary school degree","34","0.641823706687815","0.503267663906435","0.780379749469194"
"No","1992","Not Working","college entrance qualification","11","","",""
"No","1992","Not Working","Other degree","6","","",""
"No","1992","Not Working","no degree/no degree yet","3","","",""
"Yes","1993","Full Time","lower secondary degree","428","0.203300757393339","0.186456747973273","0.220144766813405"
"Yes","1993","Full Time","secondary school degree","648","0.310138598763618","0.289815946500046","0.33046125102719"
"Yes","1993","Full Time","college entrance qualification","341","0.384088577925064","0.352170223782166","0.416006932067962"
"Yes","1993","Full Time","Other degree","51","0.119371815010154","0.0918980367208418","0.146845593299467"
"Yes","1993","Full Time","no degree/no degree yet","30","0.198251100492408","0.149221514921008","0.247280686063809"
"Yes","1993","Part Time","lower secondary degree","138","0.196141504165929","0.166535239232739","0.225747769099119"
"Yes","1993","Part Time","secondary school degree","165","0.323911428247117","0.282391832822564","0.365431023671671"
"Yes","1993","Part Time","college entrance qualification","147","0.478466508857698","0.421845269641985","0.535087748073411"
"Yes","1993","Part Time","Other degree","15","","",""
"Yes","1993","Part Time","no degree/no degree yet","15","","",""
"Yes","1993","Not Working","lower secondary degree","11","","",""
"Yes","1993","Not Working","secondary school degree","20","","",""
"Yes","1993","Not Working","college entrance qualification","11","","",""
"Yes","1993","Not Working","Other degree","1","","",""
"Yes","1993","Not Working","no degree/no degree yet","3","","",""
"No","1993","Full Time","lower secondary degree","1765","0.796699242606661","0.779855233186595","0.813543252026727"
"No","1993","Full Time","secondary school degree","1342","0.689861401236382","0.66953874897281","0.710184053499954"
"No","1993","Full Time","college entrance qualification","551","0.615911422074936","0.583993067932038","0.647829776217834"
"No","1993","Full Time","Other degree","484","0.880628184989845","0.853154406700533","0.908101963279158"
"No","1993","Full Time","no degree/no degree yet","224","0.801748899507592","0.752719313936191","0.850778485078992"
"No","1993","Part Time","lower secondary degree","553","0.803858495834071","0.774252230900881","0.833464760767261"
"No","1993","Part Time","secondary school degree","323","0.676088571752883","0.63456897632833","0.717608167177436"
"No","1993","Part Time","college entrance qualification","152","0.521533491142302","0.464912251926589","0.578154730358015"
"No","1993","Part Time","Other degree","94","0.869474327913526","0.806231512867862","0.932717142959189"
"No","1993","Part Time","no degree/no degree yet","54","0.805376914329542","0.711961120029131","0.898792708629953"
"No","1993","Not Working","lower secondary degree","39","0.654461321746578","0.52264978746254","0.786272856030615"
"No","1993","Not Working","secondary school degree","45","0.749242629068444","0.643869589895087","0.854615668241801"
"No","1993","Not Working","college entrance qualification","19","","",""
"No","1993","Not Working","Other degree","10","","",""
"No","1993","Not Working","no degree/no degree yet","8","","",""
"Yes","1994","Full Time","lower secondary degree","385","0.204310881940775","0.186591516786078","0.222030247095472"
"Yes","1994","Full Time","secondary school degree","635","0.325866259845165","0.304901484803783","0.346831034886548"
"Yes","1994","Full Time","college entrance qualification","366","0.396237860296194","0.3647517402539","0.427723980338488"
"Yes","1994","Full Time","Other degree","42","0.108399982386702","0.0796762101641742","0.137123754609229"
"Yes","1994","Full Time","no degree/no degree yet","23","","",""
"Yes","1994","Part Time","lower secondary degree","126","0.199052609124965","0.167495554186186","0.230609664063744"
"Yes","1994","Part Time","secondary school degree","145","0.292716203199018","0.25196874054071","0.333463665857326"
"Yes","1994","Part Time","college entrance qualification","127","0.451880973344497","0.393999658552819","0.509762288136176"
"Yes","1994","Part Time","Other degree","19","","",""
"Yes","1994","Part Time","no degree/no degree yet","17","","",""
"Yes","1994","Not Working","lower secondary degree","5","","",""
"Yes","1994","Not Working","secondary school degree","7","","",""
"Yes","1994","Not Working","college entrance qualification","10","","",""
"Yes","1994","Not Working","Other degree","","","",""
"Yes","1994","Not Working","no degree/no degree yet","2","","",""
"No","1994","Full Time","lower secondary degree","1604","0.795689118059225","0.777969752904527","0.813408483213922"
"No","1994","Full Time","secondary school degree","1285","0.674133740154835","0.653168965113452","0.695098515196217"
"No","1994","Full Time","college entrance qualification","561","0.603762139703806","0.572276019661512","0.6352482597461"
"No","1994","Full Time","Other degree","408","0.891600017613298","0.862876245390771","0.920323789835826"
"No","1994","Full Time","no degree/no degree yet","191","0.8223545929169","0.771145420505198","0.873563765328602"
"No","1994","Part Time","lower secondary degree","489","0.800947390875035","0.769390335936256","0.832504445813814"
"No","1994","Part Time","secondary school degree","334","0.707283796800982","0.666536334142674","0.74803125945929"
"No","1994","Part Time","college entrance qualification","157","0.548119026655503","0.490237711863824","0.606000341447181"
"No","1994","Part Time","Other degree","87","0.807092848273273","0.731977087135722","0.882208609410824"
"No","1994","Part Time","no degree/no degree yet","55","0.800406905317282","0.708083883235006","0.892729927399559"
"No","1994","Not Working","lower secondary degree","38","0.823425715762666","0.709455911221913","0.93739552030342"
"No","1994","Not Working","secondary school degree","21","","",""
"No","1994","Not Working","college entrance qualification","26","","",""
"No","1994","Not Working","Other degree","7","","",""
"No","1994","Not Working","no degree/no degree yet","5","","",""
"Yes","1995","Full Time","lower secondary degree","366","0.213050345641837","0.194658334767741","0.231442356515933"
"Yes","1995","Full Time","secondary school degree","593","0.305936497630402","0.285399587381254","0.32647340787955"
"Yes","1995","Full Time","college entrance qualification","362","0.386219062313188","0.355626544498496","0.416811580127881"
"Yes","1995","Full Time","Other degree","58","0.121178648815373","0.0936544577606956","0.148702839870051"
"Yes","1995","Full Time","no degree/no degree yet","23","","",""
"Yes","1995","Part Time","lower secondary degree","138","0.194359896108012","0.165232689194926","0.223487103021097"
"Yes","1995","Part Time","secondary school degree","185","0.301308751392701","0.264534315146532","0.33808318763887"
"Yes","1995","Part Time","college entrance qualification","145","0.430929706056938","0.378369497977074","0.483489914136803"
"Yes","1995","Part Time","Other degree","37","0.233539424197024","0.171386280088348","0.2956925683057"
"Yes","1995","Part Time","no degree/no degree yet","17","","",""
"Yes","1995","Not Working","lower secondary degree","8","","",""
"Yes","1995","Not Working","secondary school degree","15","","",""
"Yes","1995","Not Working","college entrance qualification","8","","",""
"Yes","1995","Not Working","Other degree","2","","",""
"Yes","1995","Not Working","no degree/no degree yet","","","",""
"No","1995","Full Time","lower secondary degree","1538","0.786949654358163","0.768557643484067","0.805341665232259"
"No","1995","Full Time","secondary school degree","1341","0.694063502369598","0.67352659212045","0.714600412618746"
"No","1995","Full Time","college entrance qualification","611","0.613780937686812","0.583188419872119","0.644373455501504"
"No","1995","Full Time","Other degree","482","0.878821351184627","0.851297160129949","0.906345542239304"
"No","1995","Full Time","no degree/no degree yet","162","0.828358872420036","0.774023559764629","0.882694185075443"
"No","1995","Part Time","lower secondary degree","571","0.805640103891988","0.776512896978903","0.834767310805074"
"No","1995","Part Time","secondary school degree","413","0.698691248607299","0.66191681236113","0.735465684853468"
"No","1995","Part Time","college entrance qualification","196","0.569070293943062","0.516510085863197","0.621630502022926"
"No","1995","Part Time","Other degree","141","0.766460575802976","0.7043074316943","0.828613719911652"
"No","1995","Part Time","no degree/no degree yet","58","0.808740011749188","0.719730998455314","0.897749025043061"
"No","1995","Not Working","lower secondary degree","54","0.893501640103412","0.816717525096564","0.97028575511026"
"No","1995","Not Working","secondary school degree","50","0.766535538819076","0.663694145929258","0.869376931708893"
"No","1995","Not Working","college entrance qualification","26","","",""
"No","1995","Not Working","Other degree","11","","",""
