"pgoeffd","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1984","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1984","indirect migration background","(3b) higher tertiary education","1","","",""
"No","1984","no migration background","(0) in school","3","","",""
"No","1984","no migration background","(1a) inadequately completed","21","","",""
"No","1984","no migration background","(1b) general elementary school","594","0.829294961004669","0.801716326836543","0.856873595172795"
"No","1984","no migration background","(1c) basic vocational qualification","1705","0.795993851857712","0.778940453878558","0.813047249836866"
"No","1984","no migration background","(2b) intermediate general qualification","139","0.722278301484167","0.659091462903792","0.785465140064541"
"No","1984","no migration background","(2a) intermediate vocational","613","0.697092337191053","0.666834943611116","0.727349730770991"
"No","1984","no migration background","(2c_gen) general maturity certificate","59","0.741282544913587","0.644713197276751","0.837851892550423"
"No","1984","no migration background","(2c_voc) vocational maturity certificate","129","0.658458630873538","0.592236845896886","0.72468041585019"
"No","1984","no migration background","(3a) lower tertiary education","125","0.687196294355437","0.619652546860022","0.754740041850852"
"No","1984","no migration background","(3b) higher tertiary education","130","0.368609700157715","0.317629539198681","0.419589861116749"
"No","1984","direct migration background","(0) in school","","","",""
"No","1984","direct migration background","(1a) inadequately completed","581","0.91401117442826","0.892257405402091","0.935764943454428"
"No","1984","direct migration background","(1b) general elementary school","620","0.898397035449732","0.875655457829528","0.921138613069936"
"No","1984","direct migration background","(1c) basic vocational qualification","530","0.906152373757583","0.882275193265313","0.930029554249854"
"No","1984","direct migration background","(2b) intermediate general qualification","22","","",""
"No","1984","direct migration background","(2a) intermediate vocational","38","0.690840151376422","0.56400391949528","0.817676383257565"
"No","1984","direct migration background","(2c_gen) general maturity certificate","63","0.743992823709085","0.645222175874096","0.842763471544074"
"No","1984","direct migration background","(2c_voc) vocational maturity certificate","91","0.81374082845391","0.739974513416318","0.887507143491501"
"No","1984","direct migration background","(3a) lower tertiary education","14","","",""
"No","1984","direct migration background","(3b) higher tertiary education","42","0.533811605361626","0.420912059762873","0.646711150960378"
"No","1984","indirect migration background","(0) in school","","","",""
"No","1984","indirect migration background","(1a) inadequately completed","3","","",""
"No","1984","indirect migration background","(1b) general elementary school","20","","",""
"No","1984","indirect migration background","(1c) basic vocational qualification","20","","",""
"No","1984","indirect migration background","(2b) intermediate general qualification","7","","",""
"No","1984","indirect migration background","(2a) intermediate vocational","7","","",""
"No","1984","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"No","1984","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"No","1984","indirect migration background","(3a) lower tertiary education","1","","",""
"No","1984","indirect migration background","(3b) higher tertiary education","1","","",""
"Yes","1985","no migration background","(0) in school","","","",""
"Yes","1985","no migration background","(1a) inadequately completed","4","","",""
"Yes","1985","no migration background","(1b) general elementary school","110","0.180774806673126","0.150109945255567","0.211439668090686"
"Yes","1985","no migration background","(1c) basic vocational qualification","404","0.218223461395317","0.19941212558067","0.237034797209963"
"Yes","1985","no migration background","(2b) intermediate general qualification","42","0.236160053697345","0.172501841337109","0.29981826605758"
"Yes","1985","no migration background","(2a) intermediate vocational","272","0.320295614479859","0.288437503755543","0.352153725204175"
"Yes","1985","no migration background","(2c_gen) general maturity certificate","17","","",""
"Yes","1985","no migration background","(2c_voc) vocational maturity certificate","63","0.371659307906074","0.299016314770722","0.444302301041426"
"Yes","1985","no migration background","(3a) lower tertiary education","51","0.330881194166942","0.258424545291824","0.403337843042061"
"Yes","1985","no migration background","(3b) higher tertiary education","199","0.604814157974139","0.551905976782318","0.65772233916596"
"Yes","1985","direct migration background","(0) in school","","","",""
"Yes","1985","direct migration background","(1a) inadequately completed","43","0.0789847062856936","0.0548811858783067","0.10308822669308"
"Yes","1985","direct migration background","(1b) general elementary school","48","0.109446287010377","0.0832594921963672","0.135633081824386"
"Yes","1985","direct migration background","(1c) basic vocational qualification","38","0.0862253391826043","0.0614726933620954","0.110977985003113"
"Yes","1985","direct migration background","(2b) intermediate general qualification","4","","",""
"Yes","1985","direct migration background","(2a) intermediate vocational","9","","",""
"Yes","1985","direct migration background","(2c_gen) general maturity certificate","6","","",""
"Yes","1985","direct migration background","(2c_voc) vocational maturity certificate","11","","",""
"Yes","1985","direct migration background","(3a) lower tertiary education","3","","",""
"Yes","1985","direct migration background","(3b) higher tertiary education","29","","",""
"Yes","1985","indirect migration background","(0) in school","","","",""
"Yes","1985","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1985","indirect migration background","(1b) general elementary school","3","","",""
"Yes","1985","indirect migration background","(1c) basic vocational qualification","2","","",""
"Yes","1985","indirect migration background","(2b) intermediate general qualification","2","","",""
"Yes","1985","indirect migration background","(2a) intermediate vocational","1","","",""
"Yes","1985","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1985","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1985","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1985","indirect migration background","(3b) higher tertiary education","1","","",""
"No","1985","no migration background","(0) in school","2","","",""
"No","1985","no migration background","(1a) inadequately completed","18","","",""
"No","1985","no migration background","(1b) general elementary school","495","0.819225193326874","0.788560331909314","0.849890054744433"
"No","1985","no migration background","(1c) basic vocational qualification","1448","0.781776538604683","0.762965202790037","0.80058787441933"
"No","1985","no migration background","(2b) intermediate general qualification","129","0.763839946302655","0.70018173394242","0.827498158662891"
"No","1985","no migration background","(2a) intermediate vocational","552","0.679704385520141","0.647846274795825","0.711562496244457"
"No","1985","no migration background","(2c_gen) general maturity certificate","47","0.755294006776668","0.649967319179651","0.860620694373684"
"No","1985","no migration background","(2c_voc) vocational maturity certificate","107","0.628340692093926","0.555697698958574","0.700983685229278"
"No","1985","no migration background","(3a) lower tertiary education","111","0.669118805833058","0.596662156957939","0.741575454708176"
"No","1985","no migration background","(3b) higher tertiary education","129","0.395185842025861","0.34227766083404","0.448094023217682"
"No","1985","direct migration background","(0) in school","","","",""
"No","1985","direct migration background","(1a) inadequately completed","438","0.921015293714306","0.89691177330692","0.945118814121693"
"No","1985","direct migration background","(1b) general elementary school","498","0.890553712989623","0.864366918175614","0.916740507803633"
"No","1985","direct migration background","(1c) basic vocational qualification","456","0.913774660817396","0.889022014996887","0.938527306637905"
"No","1985","direct migration background","(2b) intermediate general qualification","24","","",""
"No","1985","direct migration background","(2a) intermediate vocational","39","0.754654298915718","0.632926232404689","0.876382365426746"
"No","1985","direct migration background","(2c_gen) general maturity certificate","49","0.852336844264885","0.758578819315505","0.946094869214265"
"No","1985","direct migration background","(2c_voc) vocational maturity certificate","75","0.839262739771845","0.761636934699087","0.916888544844603"
"No","1985","direct migration background","(3a) lower tertiary education","12","","",""
"No","1985","direct migration background","(3b) higher tertiary education","34","0.567537315669829","0.445202704201194","0.689871927138464"
"No","1985","indirect migration background","(0) in school","","","",""
"No","1985","indirect migration background","(1a) inadequately completed","3","","",""
"No","1985","indirect migration background","(1b) general elementary school","15","","",""
"No","1985","indirect migration background","(1c) basic vocational qualification","21","","",""
"No","1985","indirect migration background","(2b) intermediate general qualification","6","","",""
"No","1985","indirect migration background","(2a) intermediate vocational","6","","",""
"No","1985","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"No","1985","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"No","1985","indirect migration background","(3a) lower tertiary education","1","","",""
"No","1985","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","1986","no migration background","(0) in school","","","",""
"Yes","1986","no migration background","(1a) inadequately completed","5","","",""
"Yes","1986","no migration background","(1b) general elementary school","97","0.176347839668955","0.144554544286958","0.208141135050952"
"Yes","1986","no migration background","(1c) basic vocational qualification","387","0.225706769949232","0.205961797079141","0.245451742819324"
"Yes","1986","no migration background","(2b) intermediate general qualification","51","0.294770869738958","0.225826174993947","0.363715564483969"
"Yes","1986","no migration background","(2a) intermediate vocational","249","0.309270042305383","0.276666670711143","0.341873413899623"
"Yes","1986","no migration background","(2c_gen) general maturity certificate","21","","",""
"Yes","1986","no migration background","(2c_voc) vocational maturity certificate","61","0.366628330444934","0.29376051032707","0.439496150562797"
"Yes","1986","no migration background","(3a) lower tertiary education","47","0.318276579820159","0.244225269887567","0.392327889752751"
"Yes","1986","no migration background","(3b) higher tertiary education","196","0.60357769127193","0.550315231533443","0.656840151010417"
"Yes","1986","direct migration background","(0) in school","","","",""
"Yes","1986","direct migration background","(1a) inadequately completed","38","0.0824198990575026","0.0556699409189924","0.109169857196013"
"Yes","1986","direct migration background","(1b) general elementary school","40","0.105664936098527","0.0792685297140195","0.132061342483034"
"Yes","1986","direct migration background","(1c) basic vocational qualification","31","0.0906858503593146","0.0645007741233817","0.116870926595248"
"Yes","1986","direct migration background","(2b) intermediate general qualification","7","","",""
"Yes","1986","direct migration background","(2a) intermediate vocational","8","","",""
"Yes","1986","direct migration background","(2c_gen) general maturity certificate","5","","",""
"Yes","1986","direct migration background","(2c_voc) vocational maturity certificate","11","","",""
"Yes","1986","direct migration background","(3a) lower tertiary education","2","","",""
"Yes","1986","direct migration background","(3b) higher tertiary education","26","","",""
"Yes","1986","indirect migration background","(0) in school","","","",""
"Yes","1986","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1986","indirect migration background","(1b) general elementary school","3","","",""
"Yes","1986","indirect migration background","(1c) basic vocational qualification","3","","",""
"Yes","1986","indirect migration background","(2b) intermediate general qualification","1","","",""
"Yes","1986","indirect migration background","(2a) intermediate vocational","4","","",""
"Yes","1986","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1986","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1986","indirect migration background","(3b) higher tertiary education","2","","",""
"No","1986","no migration background","(0) in school","2","","",""
"No","1986","no migration background","(1a) inadequately completed","18","","",""
"No","1986","no migration background","(1b) general elementary school","455","0.823652160331045","0.791858864949048","0.855445455713042"
"No","1986","no migration background","(1c) basic vocational qualification","1335","0.774293230050768","0.754548257180676","0.794038202920859"
"No","1986","no migration background","(2b) intermediate general qualification","117","0.705229130261042","0.636284435516031","0.774173825006053"
"No","1986","no migration background","(2a) intermediate vocational","523","0.690729957694617","0.658126586100377","0.723333329288857"
"No","1986","no migration background","(2c_gen) general maturity certificate","49","0.696616621817493","0.588922529832077","0.804310713802909"
"No","1986","no migration background","(2c_voc) vocational maturity certificate","107","0.633371669555066","0.560503849437203","0.706239489672929"
"No","1986","no migration background","(3a) lower tertiary education","105","0.681723420179841","0.607672110247249","0.755774730112433"
"No","1986","no migration background","(3b) higher tertiary education","128","0.39642230872807","0.343159848989583","0.449684768466557"
"No","1986","direct migration background","(0) in school","","","",""
"No","1986","direct migration background","(1a) inadequately completed","368","0.917580100942497","0.890830142803987","0.944330059081008"
"No","1986","direct migration background","(1b) general elementary school","481","0.894335063901473","0.867938657516966","0.92073147028598"
"No","1986","direct migration background","(1c) basic vocational qualification","431","0.909314149640685","0.883129073404752","0.935499225876618"
"No","1986","direct migration background","(2b) intermediate general qualification","23","","",""
"No","1986","direct migration background","(2a) intermediate vocational","41","0.770457772065001","0.652709167898305","0.888206376231696"
"No","1986","direct migration background","(2c_gen) general maturity certificate","44","0.842306327163357","0.740261212804228","0.944351441522485"
"No","1986","direct migration background","(2c_voc) vocational maturity certificate","72","0.847564893544998","0.770236671667671","0.924893115422325"
"No","1986","direct migration background","(3a) lower tertiary education","12","","",""
"No","1986","direct migration background","(3b) higher tertiary education","34","0.569794679598771","0.444518197555313","0.695071161642229"
"No","1986","indirect migration background","(0) in school","","","",""
"No","1986","indirect migration background","(1a) inadequately completed","4","","",""
"No","1986","indirect migration background","(1b) general elementary school","19","","",""
"No","1986","indirect migration background","(1c) basic vocational qualification","27","","",""
"No","1986","indirect migration background","(2b) intermediate general qualification","5","","",""
"No","1986","indirect migration background","(2a) intermediate vocational","5","","",""
"No","1986","indirect migration background","(2c_gen) general maturity certificate","","","",""
"No","1986","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"No","1986","indirect migration background","(3a) lower tertiary education","1","","",""
"No","1986","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","1987","no migration background","(0) in school","","","",""
"Yes","1987","no migration background","(1a) inadequately completed","4","","",""
"Yes","1987","no migration background","(1b) general elementary school","90","0.170364544586868","0.139198947817574","0.201530141356161"
"Yes","1987","no migration background","(1c) basic vocational qualification","382","0.221804080695977","0.202226713797959","0.241381447593996"
"Yes","1987","no migration background","(2b) intermediate general qualification","57","0.332557521005967","0.263921971909533","0.401193070102402"
"Yes","1987","no migration background","(2a) intermediate vocational","254","0.312019396533318","0.279670171903713","0.344368621162922"
"Yes","1987","no migration background","(2c_gen) general maturity certificate","26","","",""
"Yes","1987","no migration background","(2c_voc) vocational maturity certificate","61","0.364082706756991","0.292381678680085","0.435783734833897"
"Yes","1987","no migration background","(3a) lower tertiary education","46","0.317415170915521","0.243417431437688","0.391412910393354"
"Yes","1987","no migration background","(3b) higher tertiary education","192","0.571040752331949","0.517882885709977","0.62419861895392"
"Yes","1987","direct migration background","(0) in school","","","",""
"Yes","1987","direct migration background","(1a) inadequately completed","37","0.0800583926750833","0.0535952771583344","0.106521508191832"
"Yes","1987","direct migration background","(1b) general elementary school","48","0.11331180973273","0.0863515618791258","0.140272057586335"
"Yes","1987","direct migration background","(1c) basic vocational qualification","30","0.0776770937838729","0.053190423705123","0.102163763862623"
"Yes","1987","direct migration background","(2b) intermediate general qualification","8","","",""
"Yes","1987","direct migration background","(2a) intermediate vocational","12","","",""
"Yes","1987","direct migration background","(2c_gen) general maturity certificate","7","","",""
"Yes","1987","direct migration background","(2c_voc) vocational maturity certificate","13","","",""
"Yes","1987","direct migration background","(3a) lower tertiary education","2","","",""
"Yes","1987","direct migration background","(3b) higher tertiary education","25","","",""
"Yes","1987","indirect migration background","(0) in school","","","",""
"Yes","1987","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1987","indirect migration background","(1b) general elementary school","4","","",""
"Yes","1987","indirect migration background","(1c) basic vocational qualification","3","","",""
"Yes","1987","indirect migration background","(2b) intermediate general qualification","1","","",""
"Yes","1987","indirect migration background","(2a) intermediate vocational","3","","",""
"Yes","1987","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1987","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1987","indirect migration background","(3b) higher tertiary education","2","","",""
"No","1987","no migration background","(0) in school","4","","",""
"No","1987","no migration background","(1a) inadequately completed","16","","",""
"No","1987","no migration background","(1b) general elementary school","469","0.829635455413133","0.798469858643839","0.860801052182426"
"No","1987","no migration background","(1c) basic vocational qualification","1348","0.778195919304023","0.758618552406004","0.797773286202041"
"No","1987","no migration background","(2b) intermediate general qualification","124","0.667442478994033","0.598806929897598","0.736078028090467"
"No","1987","no migration background","(2a) intermediate vocational","534","0.687980603466682","0.655631378837078","0.720329828096287"
"No","1987","no migration background","(2c_gen) general maturity certificate","49","0.634129114954918","0.525118138058843","0.743140091850994"
"No","1987","no migration background","(2c_voc) vocational maturity certificate","112","0.635917293243008","0.564216265166103","0.707618321319914"
"No","1987","no migration background","(3a) lower tertiary education","106","0.682584829084479","0.608587089606646","0.756582568562312"
"No","1987","no migration background","(3b) higher tertiary education","141","0.428959247668051","0.375801381046079","0.482117114290023"
"No","1987","direct migration background","(0) in school","1","","",""
"No","1987","direct migration background","(1a) inadequately completed","367","0.919941607324917","0.893478491808168","0.946404722841666"
"No","1987","direct migration background","(1b) general elementary school","483","0.88668819026727","0.859727942413665","0.913648438120874"
"No","1987","direct migration background","(1c) basic vocational qualification","429","0.922322906216127","0.897836236137377","0.946809576294877"
"No","1987","direct migration background","(2b) intermediate general qualification","21","","",""
"No","1987","direct migration background","(2a) intermediate vocational","43","0.729832271645028","0.612479050872755","0.8471854924173"
"No","1987","direct migration background","(2c_gen) general maturity certificate","48","0.825932210201726","0.725725188280046","0.926139232123407"
"No","1987","direct migration background","(2c_voc) vocational maturity certificate","70","0.79565830530348","0.708912029146902","0.882404581460058"
"No","1987","direct migration background","(3a) lower tertiary education","11","","",""
"No","1987","direct migration background","(3b) higher tertiary education","28","","",""
"No","1987","indirect migration background","(0) in school","","","",""
"No","1987","indirect migration background","(1a) inadequately completed","4","","",""
"No","1987","indirect migration background","(1b) general elementary school","15","","",""
"No","1987","indirect migration background","(1c) basic vocational qualification","27","","",""
"No","1987","indirect migration background","(2b) intermediate general qualification","5","","",""
"No","1987","indirect migration background","(2a) intermediate vocational","7","","",""
"No","1987","indirect migration background","(2c_gen) general maturity certificate","3","","",""
"No","1987","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"No","1987","indirect migration background","(3a) lower tertiary education","1","","",""
"No","1987","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","1988","no migration background","(0) in school","","","",""
"Yes","1988","no migration background","(1a) inadequately completed","2","","",""
"Yes","1988","no migration background","(1b) general elementary school","84","0.16745367585901","0.135785065325775","0.199122286392246"
"Yes","1988","no migration background","(1c) basic vocational qualification","360","0.222952274594233","0.2029114015302","0.242993147658266"
"Yes","1988","no migration background","(2b) intermediate general qualification","56","0.29795731433007","0.233598799867762","0.362315828792378"
"Yes","1988","no migration background","(2a) intermediate vocational","243","0.307568894912382","0.274951865018859","0.340185924805906"
"Yes","1988","no migration background","(2c_gen) general maturity certificate","28","","",""
"Yes","1988","no migration background","(2c_voc) vocational maturity certificate","58","0.345773907917055","0.27427759101478","0.417270224819329"
"Yes","1988","no migration background","(3a) lower tertiary education","41","0.300005498904041","0.226669977644787","0.373341020163296"
"Yes","1988","no migration background","(3b) higher tertiary education","180","0.548352811940166","0.494164542861044","0.602541081019288"
"Yes","1988","direct migration background","(0) in school","","","",""
"Yes","1988","direct migration background","(1a) inadequately completed","36","0.0748956344548457","0.0480748888895271","0.101716380020164"
"Yes","1988","direct migration background","(1b) general elementary school","52","0.120936474478962","0.0934105134506175","0.148462435507307"
"Yes","1988","direct migration background","(1c) basic vocational qualification","25","","",""
"Yes","1988","direct migration background","(2b) intermediate general qualification","6","","",""
"Yes","1988","direct migration background","(2a) intermediate vocational","12","","",""
"Yes","1988","direct migration background","(2c_gen) general maturity certificate","5","","",""
"Yes","1988","direct migration background","(2c_voc) vocational maturity certificate","11","","",""
"Yes","1988","direct migration background","(3a) lower tertiary education","3","","",""
"Yes","1988","direct migration background","(3b) higher tertiary education","22","","",""
"Yes","1988","indirect migration background","(0) in school","","","",""
"Yes","1988","indirect migration background","(1a) inadequately completed","1","","",""
"Yes","1988","indirect migration background","(1b) general elementary school","3","","",""
"Yes","1988","indirect migration background","(1c) basic vocational qualification","4","","",""
"Yes","1988","indirect migration background","(2b) intermediate general qualification","1","","",""
"Yes","1988","indirect migration background","(2a) intermediate vocational","2","","",""
"Yes","1988","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Yes","1988","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1988","indirect migration background","(3b) higher tertiary education","1","","",""
"No","1988","no migration background","(0) in school","5","","",""
"No","1988","no migration background","(1a) inadequately completed","16","","",""
"No","1988","no migration background","(1b) general elementary school","450","0.83254632414099","0.800877713607754","0.864214934674225"
"No","1988","no migration background","(1c) basic vocational qualification","1297","0.777047725405767","0.757006852341735","0.7970885984698"
"No","1988","no migration background","(2b) intermediate general qualification","138","0.70204268566993","0.637684171207622","0.766401200132238"
"No","1988","no migration background","(2a) intermediate vocational","526","0.692431105087618","0.659814075194094","0.725048134981142"
"No","1988","no migration background","(2c_gen) general maturity certificate","50","0.639352048536126","0.532787547689842","0.745916549382411"
"No","1988","no migration background","(2c_voc) vocational maturity certificate","112","0.654226092082945","0.582729775180671","0.725722408985219"
"No","1988","no migration background","(3a) lower tertiary education","109","0.699994501095959","0.626658979836704","0.773330022355213"
"No","1988","no migration background","(3b) higher tertiary education","144","0.451647188059834","0.397458918980712","0.505835457138956"
"No","1988","direct migration background","(0) in school","","","",""
"No","1988","direct migration background","(1a) inadequately completed","334","0.925104365545154","0.898283619979836","0.951925111110473"
"No","1988","direct migration background","(1b) general elementary school","487","0.879063525521038","0.851537564492693","0.906589486549383"
"No","1988","direct migration background","(1c) basic vocational qualification","418","0.935028001293819","0.912075942387821","0.957980060199816"
"No","1988","direct migration background","(2b) intermediate general qualification","25","","",""
"No","1988","direct migration background","(2a) intermediate vocational","42","0.723385456146826","0.604076347003829","0.842694565289824"
"No","1988","direct migration background","(2c_gen) general maturity certificate","47","0.828369969073989","0.725886166165295","0.930853771982684"
"No","1988","direct migration background","(2c_voc) vocational maturity certificate","64","0.816430899454967","0.72881620195382","0.904045596956114"
"No","1988","direct migration background","(3a) lower tertiary education","10","","",""
"No","1988","direct migration background","(3b) higher tertiary education","26","","",""
"No","1988","indirect migration background","(0) in school","1","","",""
"No","1988","indirect migration background","(1a) inadequately completed","5","","",""
"No","1988","indirect migration background","(1b) general elementary school","26","","",""
"No","1988","indirect migration background","(1c) basic vocational qualification","34","0.868162726443649","0.760596491595652","0.975728961291647"
"No","1988","indirect migration background","(2b) intermediate general qualification","11","","",""
"No","1988","indirect migration background","(2a) intermediate vocational","11","","",""
"No","1988","indirect migration background","(2c_gen) general maturity certificate","3","","",""
"No","1988","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"No","1988","indirect migration background","(3a) lower tertiary education","1","","",""
"No","1988","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","1989","no migration background","(0) in school","","","",""
"Yes","1989","no migration background","(1a) inadequately completed","2","","",""
"Yes","1989","no migration background","(1b) general elementary school","94","0.178156621783369","0.145823140421776","0.210490103144963"
"Yes","1989","no migration background","(1c) basic vocational qualification","344","0.209121237837701","0.189480612164175","0.228761863511227"
"Yes","1989","no migration background","(2b) intermediate general qualification","51","0.273158889333326","0.209295097814351","0.337022680852301"
"Yes","1989","no migration background","(2a) intermediate vocational","249","0.306371336507982","0.2743671707038","0.338375502312165"
"Yes","1989","no migration background","(2c_gen) general maturity certificate","35","0.349081872484311","0.254705803288808","0.443457941679814"
"Yes","1989","no migration background","(2c_voc) vocational maturity certificate","50","0.279987406290179","0.215806113395833","0.344168699184526"
"Yes","1989","no migration background","(3a) lower tertiary education","44","0.310289256312682","0.237694933783747","0.382883578841617"
"Yes","1989","no migration background","(3b) higher tertiary education","173","0.529712782280613","0.475365554011879","0.584060010549348"
"Yes","1989","direct migration background","(0) in school","","","",""
"Yes","1989","direct migration background","(1a) inadequately completed","41","0.111328970963374","0.0787011108629544","0.143956831063794"
"Yes","1989","direct migration background","(1b) general elementary school","45","0.114393735825464","0.0877204886582317","0.141066982992697"
"Yes","1989","direct migration background","(1c) basic vocational qualification","36","0.133071395244382","0.101478412690225","0.164664377798539"
"Yes","1989","direct migration background","(2b) intermediate general qualification","7","","",""
"Yes","1989","direct migration background","(2a) intermediate vocational","14","","",""
"Yes","1989","direct migration background","(2c_gen) general maturity certificate","7","","",""
"Yes","1989","direct migration background","(2c_voc) vocational maturity certificate","9","","",""
"Yes","1989","direct migration background","(3a) lower tertiary education","4","","",""
"Yes","1989","direct migration background","(3b) higher tertiary education","21","","",""
"Yes","1989","indirect migration background","(0) in school","2","","",""
"Yes","1989","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1989","indirect migration background","(1b) general elementary school","4","","",""
"Yes","1989","indirect migration background","(1c) basic vocational qualification","4","","",""
"Yes","1989","indirect migration background","(2b) intermediate general qualification","2","","",""
"Yes","1989","indirect migration background","(2a) intermediate vocational","2","","",""
"Yes","1989","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Yes","1989","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1989","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1989","indirect migration background","(3b) higher tertiary education","1","","",""
"No","1989","no migration background","(0) in school","6","","",""
"No","1989","no migration background","(1a) inadequately completed","23","","",""
"No","1989","no migration background","(1b) general elementary school","444","0.821843378216631","0.789509896855038","0.854176859578224"
"No","1989","no migration background","(1c) basic vocational qualification","1303","0.790878762162299","0.771238136488773","0.810519387835825"
"No","1989","no migration background","(2b) intermediate general qualification","136","0.726841110666674","0.662977319147699","0.790704902185649"
"No","1989","no migration background","(2a) intermediate vocational","548","0.693628663492018","0.661624497687835","0.7256328292962"
"No","1989","no migration background","(2c_gen) general maturity certificate","63","0.650918127515689","0.556542058320186","0.745294196711192"
"No","1989","no migration background","(2c_voc) vocational maturity certificate","138","0.720012593709821","0.655831300815474","0.784193886604167"
"No","1989","no migration background","(3a) lower tertiary education","112","0.689710743687318","0.617116421158383","0.762305066216253"
"No","1989","no migration background","(3b) higher tertiary education","151","0.470287217719387","0.415939989450652","0.524634445988121"
"No","1989","direct migration background","(0) in school","1","","",""
"No","1989","direct migration background","(1a) inadequately completed","316","0.888671029036626","0.856043168936206","0.921298889137045"
"No","1989","direct migration background","(1b) general elementary school","502","0.885606264174536","0.858933017007303","0.912279511341768"
"No","1989","direct migration background","(1c) basic vocational qualification","408","0.866928604755618","0.835335622201461","0.898521587309775"
"No","1989","direct migration background","(2b) intermediate general qualification","28","","",""
"No","1989","direct migration background","(2a) intermediate vocational","41","0.671422097525734","0.547290101756645","0.795554093294822"
"No","1989","direct migration background","(2c_gen) general maturity certificate","48","0.788360944778807","0.680409811988778","0.896312077568836"
